SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,CA,06,,,,,04000US06,California,38654206,19200970,1277459,1295679,1295400,800330,548548,309098,306053,883164,1505740,1419349,1293345,1294750,1297127,1300080,1179528,430372,567891,346029,428748,538074,374949,267766,241491,19453236,1222102,1243193,1241495,764625,519943,286577,278352,827776,1412695,1363383,1278035,1292901,1294480,1323507,1238979,462083,623185,389084,490069,630402,468253,364898,437219,23680584,11826914,713390,734949,749024,462231,313659,862004,878615,840234,1540313,1645743,1482950,949588,468346,185868,11853670,686202,704031,710078,440525,293407,793150,814446,789869,1477437,1619418,1538762,1058171,594221,333953,2261835,1117961,68578,69741,73361,48549,34804,101042,91932,79439,144909,163877,132357,68068,32411,8893,1143874,66515,68924,69494,47133,33103,91581,85895,76744,145117,166638,143419,84326,45325,19660,285512,142659,8810,10083,9584,6114,4351,13910,11252,10382,18812,20746,16522,7899,3199,995,142853,8530,9849,9829,6113,4579,10915,10644,9720,19071,19221,18933,9416,4174,1859,5354608,2533524,138918,146397,143601,90703,65054,185458,210642,200055,385008,356405,300689,183376,95381,31837,2821084,130776,137645,139577,85099,62877,177427,214673,223924,449012,415283,368518,229984,128363,57926,150908,74903,5174,4898,4682,3119,2534,6651,6527,6136,10930,10255,7703,4132,1823,339,76005,4723,4553,4683,3060,2175,6024,6807,6397,11294,11198,8089,4516,1947,539,5133600,2611892,214637,217919,214292,132982,92841,248897,239168,224851,399835,326165,184984,74990,30241,10090,2521708,204669,211752,210281,126946,90650,233639,212394,199208,379141,309239,190384,92263,44294,16848,1787159,893117,127952,111692,100856,56632,35305,80353,67604,58252,88288,74016,52586,24798,11314,3469,894042,120687,106439,97553,55749,33152,79969,67836,57521,89864,76990,56142,30879,14827,6434,14837242,7405470,326448,331841,349592,224925,158894,467785,515797,496913,914496,1132552,1154830,782719,389649,159029,7431772,310384,314323,330080,212595,145475,422922,476718,459045,857740,1101656,1175878,854370,485253,285333,14903982,7502138,668837,679895,664741,398748,266862,689440,636980,597888,1072354,880394,540451,252845,113864,38839,7401844,643607,657824,639503,384324,256613,645904,582724,558385,1045769,866417,582274,309331,160733,68436,36.0,34.9,37.1,38.5,37.3,39.7,35.8,34.4,37.2,34.5,33.4,35.7,39.0,37.2,40.4,33.8,33.0,34.6,29.0,28.8,29.2,21.4,20.8,22.0,45.5,44.1,46.9,28.4,27.9,29.0,38654206
40,CA,06,,,,,04001US06,California -- Urban,36758589,18207776,1228738,1238788,1236816,762565,522591,294502,291964,844848,1448130,1362559,1236665,1238598,1232350,1224215,1102398,399428,523172,316731,392391,490464,346456,247445,225962,18550813,1175448,1191716,1185953,730898,500307,276804,268953,800999,1367455,1317406,1231639,1242883,1236103,1249199,1161464,430899,580308,361962,455316,585644,438955,344302,416200,22130342,11020599,677192,691326,703739,433076,295018,813281,835962,797854,1454172,1530793,1347380,845042,423935,171829,11109743,650735,665270,667921,414185,278515,758458,780510,753802,1401750,1508331,1404545,961774,548988,314959,2222672,1091235,67881,68889,72471,47676,33882,97434,89178,76860,140296,159357,129909,66950,31700,8752,1131437,65844,67999,68764,46585,32792,90691,84850,76049,143372,165002,141824,83397,44849,19419,248757,124370,7529,8905,8116,5141,3746,12473,9946,9101,16779,17951,14396,6827,2627,833,124387,7497,8476,8373,5332,4092,9792,9376,8729,16866,16669,16027,7911,3596,1651,5288901,2502957,137201,144297,141774,89448,64255,183151,208555,198087,380078,352424,296860,181015,94362,31450,2785944,129382,135787,137580,84146,62189,175799,212514,221501,443786,409527,363515,226516,126718,56984,147280,72842,5054,4776,4593,3053,2420,6521,6343,5996,10489,9977,7484,4032,1805,299,74438,4609,4463,4621,3056,2125,5920,6657,6158,11063,11042,7892,4388,1917,527,5006401,2540306,210313,212686,209313,129680,89633,241416,232939,218676,388858,315866,179469,72679,29089,9689,2466095,200552,206723,205168,124181,88907,228409,208032,195482,371175,301498,186214,89971,43180,16603,1714236,855467,123568,107909,96810,54491,33637,77038,65207,55985,84591,70197,49500,23041,10383,3110,858769,116829,102998,93526,53413,31687,77687,65516,55685,86510,73233,52654,28965,14009,6057,13607664,6773183,302864,304234,320001,205486,146418,434242,486283,467107,853043,1038732,1034039,685969,348715,146050,6834481,287666,289841,301453,194753,135356,398693,453006,432709,801037,1009246,1055001,764647,443369,267704,14424732,7239102,649732,657122,642290,384561,256662,664699,616158,578163,1034732,847218,519240,242278,108930,37317,7185630,625003,636971,619189,371938,249393,629228,566993,544101,1017633,838667,563729,300002,156040,66743,35.6,34.5,36.8,37.9,36.7,39.2,35.8,34.4,37.2,34.3,33.4,35.3,38.9,37.2,40.4,33.7,32.9,34.6,29.0,28.7,29.2,21.3,20.7,21.9,44.9,43.5,46.3,28.4,27.8,29.0,36758589
40,CA,06,,,,,04043US06,California -- Rural,1895617,993194,48721,56891,58584,37765,25957,14596,14089,38316,57610,56790,56680,56152,64777,75865,77130,30944,44719,29298,36357,47610,28493,20321,15529,902423,46654,51477,55542,33727,19636,9773,9399,26777,45240,45977,46396,50018,58377,74308,77515,31184,42877,27122,34753,44758,29298,20596,21019,1550242,806315,36198,43623,45285,29155,18641,48723,42653,42380,86141,114950,135570,104546,44411,14039,743927,35467,38761,42157,26340,14892,34692,33936,36067,75687,111087,134217,96397,45233,18994,39163,26726,697,852,890,873,922,3608,2754,2579,4613,4520,2448,1118,711,141,12437,671,925,730,548,311,890,1045,695,1745,1636,1595,929,476,241,36755,18289,1281,1178,1468,973,605,1437,1306,1281,2033,2795,2126,1072,572,162,18466,1033,1373,1456,781,487,1123,1268,991,2205,2552,2906,1505,578,208,65707,30567,1717,2100,1827,1255,799,2307,2087,1968,4930,3981,3829,2361,1019,387,35140,1394,1858,1997,953,688,1628,2159,2423,5226,5756,5003,3468,1645,942,3628,2061,120,122,89,66,114,130,184,140,441,278,219,100,18,40,1567,114,90,62,4,50,104,150,239,231,156,197,128,30,12,127199,71586,4324,5233,4979,3302,3208,7481,6229,6175,10977,10299,5515,2311,1152,401,55613,4117,5029,5113,2765,1743,5230,4362,3726,7966,7741,4170,2292,1114,245,72923,37650,4384,3783,4046,2141,1668,3315,2397,2267,3697,3819,3086,1757,931,359,35273,3858,3441,4027,2336,1465,2282,2320,1836,3354,3757,3488,1914,818,377,1229578,632287,23584,27607,29591,19439,12476,33543,29514,29806,61453,93820,120791,96750,40934,12979,597291,22718,24482,28627,17842,10119,24229,23712,26336,56703,92410,120877,89723,41884,17629,479250,263036,19105,22773,22451,14187,10200,24741,20822,19725,37622,33176,21211,10567,4934,1522,216214,18604,20853,20314,12386,7220,16676,15731,14284,28136,27750,18545,9329,4693,1693,44.3,42.7,45.9,47.3,46.0,48.6,35.8,35.3,37.2,35.7,33.3,38.5,40.7,37.5,43.5,35.3,36.1,34.6,30.2,30.7,29.4,24.6,23.9,25.5,51.7,50.8,52.5,29.0,29.2,28.8,1895617
40,CA,06,,,,,040A0US06,California -- In metropolitan or micropolitan statistical area,38384347,19063268,1270813,1287540,1287844,795093,545307,307334,304410,878990,1498886,1411701,1286357,1287124,1288517,1289721,1168367,425828,561026,341536,422876,530487,370251,264504,238756,19321079,1215211,1236049,1234077,760151,517274,285019,277197,823797,1406734,1356401,1271413,1286146,1286804,1313501,1227572,457190,616294,384760,484201,623059,463571,361191,433467,23445220,11707582,707942,728246,742486,457875,311238,855859,872712,833804,1528051,1629861,1462321,932875,460930,183382,11737638,680592,698077,704076,436642,291505,787410,809372,783887,1466133,1603440,1517535,1042192,586329,330448,2258793,1115759,68566,69722,73290,48488,34731,100835,91807,79334,144415,163296,132219,67811,32359,8886,1143034,66494,68899,69378,47126,33102,91536,85825,76727,145003,166447,143342,84202,45303,19650,277726,138922,8563,9890,9266,5944,4216,13716,11124,10079,18440,20068,16009,7594,3063,950,138804,8338,9526,9446,5989,4481,10756,10444,9432,18541,18705,18383,9047,3987,1729,5350757,2531439,138848,146222,143497,90599,64973,185214,210450,200012,384775,356114,300391,183238,95279,31827,2819318,130758,137585,139496,85063,62830,177312,214660,223784,448728,415036,368170,229687,128314,57895,149977,74523,5114,4851,4669,3110,2523,6643,6515,6112,10851,10182,7688,4109,1817,339,75454,4630,4483,4655,3060,2149,6009,6783,6288,11200,11186,8065,4460,1947,539,5124902,2606817,214403,217725,214190,132738,92525,248409,238801,224298,399112,325165,184458,74779,30154,10060,2518085,204414,211528,209945,126770,90486,233210,212126,198992,378568,308933,190100,91995,44212,16806,1776972,888226,127377,110884,100446,56339,35101,80058,67477,58062,87837,73552,52135,24493,11153,3312,888746,119985,105951,97081,55501,32721,79780,67524,57291,89386,76558,55461,30437,14670,6400,14641989,7307000,322686,327254,345288,221772,157045,463246,511420,492121,904904,1118948,1135923,767117,382689,156587,7334989,306652,310088,326133,209854,144079,418656,472775,454538,848850,1088034,1156328,839352,477671,281979,14851645,7474388,666691,677279,662204,397168,265856,687228,635030,595635,1068762,876886,538133,251476,113299,38741,7377257,641155,655675,636948,382944,255761,643937,581239,556590,1042709,863609,580137,308033,160274,68246,35.9,34.8,37.1,38.4,37.2,39.6,35.7,34.4,37.2,34.3,33.3,35.6,39.0,37.2,40.4,33.8,33.0,34.7,29.0,28.7,29.2,21.4,20.8,22.0,45.4,44.0,46.8,28.4,27.9,29.0,38384347
40,CA,06,,,,,040C0US06,California -- In metropolitan statistical area,37822589,18775498,1255636,1270970,1272557,784983,537782,302969,300406,866507,1479948,1391911,1267882,1271143,1271436,1270095,1147448,417823,547332,333205,412509,517879,362203,259398,233476,19047091,1200794,1220951,1218932,750678,510583,281796,274050,813594,1391827,1340953,1256472,1271744,1271016,1293784,1205001,447503,602982,376566,473606,609704,454622,354274,425659,22972537,11468185,696476,715375,730626,449795,305783,840566,858373,818398,1499431,1598464,1423967,903700,448866,178365,11504352,669441,686457,692645,429205,286561,774229,797111,771037,1441509,1572642,1476467,1012437,571449,323162,2249832,1108875,68466,69632,73210,48353,34478,99738,90600,78470,143294,162270,131703,67614,32203,8844,1140957,66341,68873,69288,47002,32954,91340,85659,76611,144758,166261,142987,84059,45220,19604,258661,129359,7836,9149,8550,5332,3786,12824,10472,9411,17228,19025,14906,7084,2831,925,129302,7757,8893,8677,5590,4247,9877,9769,8932,17315,17576,16991,8367,3692,1619,5340530,2526905,138630,145810,143233,90499,64797,184798,209982,199495,384316,355493,299874,182973,95225,31780,2813625,130477,137281,139105,84756,62483,177043,214292,223477,447951,414074,367464,229206,128180,57836,148921,73860,5106,4846,4655,3077,2500,6573,6410,5990,10744,10103,7670,4066,1809,311,75061,4614,4445,4625,3050,2142,5994,6745,6199,11123,11185,8023,4436,1941,539,5100534,2593281,213390,216717,213071,132312,92107,246656,237377,222983,397483,323616,183376,74258,29910,10025,2507253,203519,210202,209031,126359,89929,232108,211336,198130,377342,307736,189198,91577,44056,16730,1751574,875033,125732,109441,99212,55615,34331,78727,66734,57164,86529,72560,51107,23898,10757,3226,876541,118645,104800,95561,54716,32267,78849,66915,56567,88218,75326,54356,29794,14358,6169,14225025,7098830,313844,317307,336046,215279,152673,450972,499836,479679,881154,1090763,1099433,739027,371094,151723,7126195,298162,300896,316987,203682,140077,407333,462402,443461,827636,1059787,1117066,810494,463307,274905,14762657,7424751,662440,672799,658082,394742,263876,681927,630549,591113,1061619,871881,534879,249818,112475,38551,7337906,636959,651550,633200,380940,254027,640676,578370,553761,1037829,859488,577116,306526,159557,67907,35.8,34.7,37.0,38.2,37.1,39.5,35.8,34.4,37.2,34.5,33.5,35.6,39.0,37.3,40.4,33.8,33.0,34.7,29.0,28.7,29.2,21.4,20.8,22.0,45.3,44.0,46.7,28.4,27.9,29.0,37822589
40,CA,06,,,,,040C1US06,California -- In metropolitan statistical area -- in principal city,17657516,8756525,589565,572217,557219,339593,243949,140000,141087,422610,769430,719844,633153,611911,591283,574128,505481,185023,239612,145596,177432,220945,155376,113478,107593,8900991,568540,549776,534871,327782,243871,133910,133181,410212,728471,684247,616745,597986,584845,579562,534707,199468,268119,165226,205481,269048,201684,162435,200824,10020232,5013144,305366,297293,295601,181526,129060,379801,427603,405686,701889,689115,583145,360572,178278,78209,5007088,296601,285170,280023,173191,127141,359388,401018,372047,653133,662557,605075,410481,237981,143282,1218853,592508,37196,35878,36702,23849,17744,52277,51346,42262,75455,86207,73276,37188,18165,4963,626345,36690,36581,35558,23708,18366,51199,47974,43666,79241,89281,79993,46054,26080,11954,116717,59034,3578,4059,3476,2407,1541,6070,5511,4819,8098,8654,6378,2784,1253,406,57683,3926,4046,4044,2293,1822,4318,4924,4194,7770,7996,6668,3422,1456,804,2971388,1409824,78432,81240,77426,46144,37378,107211,127163,120919,216314,191931,157323,97406,52667,18270,1561564,72251,74528,73525,45813,37718,106529,130808,132495,246314,219808,193213,122750,71464,34348,71612,34918,2220,2412,2183,1227,1279,3239,2516,3399,5168,4378,3782,2085,896,134,36694,2225,1866,2217,1458,1011,3196,2868,3220,5401,5532,4177,2335,869,319,2440639,1240411,103554,102631,98870,60762,41798,118167,119875,112995,196019,151994,83154,33488,12848,4256,1200228,100152,100062,97467,58717,42867,114246,105089,99048,180637,144545,89020,41650,19508,7220,818075,406686,59219,48704,42961,23678,15149,36932,35416,29764,42121,33132,23058,10450,4747,1355,411389,56695,47523,42037,22602,14946,38427,35790,29577,42235,34688,24148,13063,6761,2897,6163019,3087653,134651,125842,127440,81308,62542,204148,260798,248780,422682,468151,445939,292276,146078,67018,3075366,130307,117787,119145,77993,62767,192622,244620,223002,377946,439515,449593,325888,191766,122415,6730223,3384094,304784,300513,289500,173742,116985,316331,304857,285162,496937,391398,233219,107205,47334,16127,3346129,295976,293056,280735,166229,115416,300609,278277,262083,479423,386093,257361,132079,69294,29498,35.1,34.1,36.0,37.0,36.1,38.1,36.0,34.9,37.4,33.3,32.8,33.9,37.9,36.3,39.3,34.4,33.5,35.4,28.9,28.9,29.0,22.3,21.7,22.9,43.4,42.1,44.8,28.4,28.0,28.9,17657516
40,CA,06,,,,,040C2US06,California -- In metropolitan statistical area -- not in principal city,20165073,10018973,666071,698753,715338,445390,293833,162969,159319,443897,710518,672067,634729,659232,680153,695967,641967,232800,307720,187609,235077,296934,206827,145920,125883,10146100,632254,671175,684061,422896,266712,147886,140869,403382,663356,656706,639727,673758,686171,714222,670294,248035,334863,211340,268125,340656,252938,191839,224835,12952305,6455041,391110,418082,435025,268269,176723,460765,430770,412712,797542,909349,840822,543128,270588,100156,6497264,372840,401287,412622,256014,159420,414841,396093,398990,788376,910085,871392,601956,333468,179880,1030979,516367,31270,33754,36508,24504,16734,47461,39254,36208,67839,76063,58427,30426,14038,3881,514612,29651,32292,33730,23294,14588,40141,37685,32945,65517,76980,62994,38005,19140,7650,141944,70325,4258,5090,5074,2925,2245,6754,4961,4592,9130,10371,8528,4300,1578,519,71619,3831,4847,4633,3297,2425,5559,4845,4738,9545,9580,10323,4945,2236,815,2369142,1117081,60198,64570,65807,44355,27419,77587,82819,78576,168002,163562,142551,85567,42558,13510,1252061,58226,62753,65580,38943,24765,70514,83484,90982,201637,194266,174251,106456,56716,23488,77309,38942,2886,2434,2472,1850,1221,3334,3894,2591,5576,5725,3888,1981,913,177,38367,2389,2579,2408,1592,1131,2798,3877,2979,5722,5653,3846,2101,1072,220,2659895,1352870,109836,114086,114201,71550,50309,128489,117502,109988,201464,171622,100222,40770,17062,5769,1307025,103367,110140,111564,67642,47062,117862,106247,99082,196705,163191,100178,49927,24548,9510,933499,468347,66513,60737,56251,31937,19182,41795,31318,27400,44408,39428,28049,13448,6010,1871,465152,61950,57277,53524,32114,17321,40422,31125,26990,45983,40638,30208,16731,7597,3272,8062006,4011177,179193,191465,208606,133971,90131,246824,239038,230899,458472,622612,653494,446751,225016,84705,4050829,167855,183109,197842,125689,77310,214711,217782,220459,449690,620272,667473,484606,271541,152490,8032434,4040657,357656,372286,368582,221000,146891,365596,325692,305951,564682,480483,301660,142613,65141,22424,3991777,340983,358494,352465,214711,138611,340067,300093,291678,558406,473395,319755,174447,90263,38409,36.6,35.3,38.0,39.3,37.9,40.6,35.4,33.9,37.0,35.5,34.2,36.9,40.3,38.5,41.7,33.0,32.4,33.8,29.0,28.6,29.5,20.5,19.9,21.2,46.8,45.5,48.1,28.4,27.8,29.1,20165073
40,CA,06,,,,,040E0US06,California -- In micropolitan statistical area,561758,287770,15177,16570,15287,10110,7525,4365,4004,12483,18938,19790,18475,15981,17081,19626,20919,8005,13694,8331,10367,12608,8048,5106,5280,273988,14417,15098,15145,9473,6691,3223,3147,10203,14907,15448,14941,14402,15788,19717,22571,9687,13312,8194,10595,13355,8949,6917,7808,472683,239397,11466,12871,11860,8080,5455,15293,14339,15406,28620,31397,38354,29175,12064,5017,233286,11151,11620,11431,7437,4944,13181,12261,12850,24624,30798,41068,29755,14880,7286,8961,6884,100,90,80,135,253,1097,1207,864,1121,1026,516,197,156,42,2077,153,26,90,124,148,196,166,116,245,186,355,143,83,46,19065,9563,727,741,716,612,430,892,652,668,1212,1043,1103,510,232,25,9502,581,633,769,399,234,879,675,500,1226,1129,1392,680,295,110,10227,4534,218,412,264,100,176,416,468,517,459,621,517,265,54,47,5693,281,304,391,307,347,269,368,307,777,962,706,481,134,59,1056,663,8,5,14,33,23,70,105,122,107,79,18,43,8,28,393,16,38,30,10,7,15,38,89,77,1,42,24,6,0,24368,13536,1013,1008,1119,426,418,1753,1424,1315,1629,1549,1082,521,244,35,10832,895,1326,914,411,557,1102,790,862,1226,1197,902,418,156,76,25398,13193,1645,1443,1234,724,770,1331,743,898,1308,992,1028,595,396,86,12205,1340,1151,1520,785,454,931,609,724,1168,1232,1105,643,312,231,416964,208170,8842,9947,9242,6493,4372,12274,11584,12442,23750,28185,36490,28090,11595,4864,208794,8490,9192,9146,6172,4002,11323,10373,11077,21214,28247,39262,28858,14364,7074,88988,49637,4251,4480,4122,2426,1980,5301,4481,4522,7143,5005,3254,1658,824,190,39351,4196,4125,3748,2004,1734,3261,2869,2829,4880,4121,3021,1507,717,339,42.5,40.3,45.0,45.6,43.6,47.9,32.7,32.5,36.3,32.5,30.1,35.4,34.8,31.9,37.3,30.9,30.9,31.0,27.8,28.7,25.9,23.4,22.6,24.6,48.8,47.1,50.4,26.9,27.4,26.1,561758
40,CA,06,,,,,040E1US06,California -- In micropolitan statistical area -- in principal city,158135,83238,4397,4643,4087,2836,3185,1919,1736,5214,7199,7477,6033,5370,5155,4970,5123,1698,2373,1925,1710,2337,1669,950,1232,74897,4415,4036,4381,2456,2443,1254,1438,3976,4747,4944,4709,3824,4489,4713,5340,1966,2821,1834,2067,2718,2044,1680,2602,128221,66353,3375,3574,2906,2206,2470,6138,5330,5546,9317,8544,7940,5543,2321,1143,61868,3277,2846,3236,1842,1629,5296,3768,4036,7170,7995,8792,6027,3537,2417,5044,4052,8,41,36,99,155,830,705,568,622,538,243,44,121,42,992,80,10,29,80,102,77,69,76,91,92,107,110,28,41,4132,2071,188,211,195,108,163,163,135,122,312,127,210,99,38,0,2061,137,100,174,96,59,255,115,112,274,229,273,133,80,24,4110,1976,129,193,174,11,18,201,176,273,266,215,181,99,10,30,2134,119,156,135,155,193,130,206,87,309,229,162,209,12,32,513,353,8,0,9,21,7,53,96,93,9,57,0,0,0,0,160,11,6,3,3,7,15,35,33,7,0,33,7,0,0,8911,5005,378,284,414,231,159,903,497,611,639,413,319,114,35,8,3906,475,499,396,105,251,374,303,320,366,283,437,32,19,46,7204,3428,311,340,353,160,213,581,260,264,238,231,301,73,94,9,3776,316,419,408,175,202,521,251,280,316,374,323,101,48,42,109365,54667,2740,2869,2360,1598,2041,4441,3956,3966,7279,7395,7378,5307,2230,1107,54698,2377,2216,2423,1504,1345,4624,3266,3498,6303,7209,8388,5760,3427,2358,30497,18105,1180,1187,1039,935,743,2778,1955,2279,2907,1585,993,348,130,46,12392,1541,1259,1368,499,673,1192,879,910,1358,1220,916,336,129,112,35.9,34.2,38.3,38.5,36.7,41.7,31.2,31.1,32.4,28.0,25.1,34.4,31.0,31.4,28.9,29.6,29.6,29.5,24.9,26.2,23.5,22.5,22.4,23.0,41.7,39.6,44.5,26.5,27.8,23.7,158135
40,CA,06,,,,,040E2US06,California -- In micropolitan statistical area -- not in principal city,403623,204532,10780,11927,11200,7274,4340,2446,2268,7269,11739,12313,12442,10611,11926,14656,15796,6307,11321,6406,8657,10271,6379,4156,4048,199091,10002,11062,10764,7017,4248,1969,1709,6227,10160,10504,10232,10578,11299,15004,17231,7721,10491,6360,8528,10637,6905,5237,5206,344462,173044,8091,9297,8954,5874,2985,9155,9009,9860,19303,22853,30414,23632,9743,3874,171418,7874,8774,8195,5595,3315,7885,8493,8814,17454,22803,32276,23728,11343,4869,3917,2832,92,49,44,36,98,267,502,296,499,488,273,153,35,0,1085,73,16,61,44,46,119,97,40,154,94,248,33,55,5,14933,7492,539,530,521,504,267,729,517,546,900,916,893,411,194,25,7441,444,533,595,303,175,624,560,388,952,900,1119,547,215,86,6117,2558,89,219,90,89,158,215,292,244,193,406,336,166,44,17,3559,162,148,256,152,154,139,162,220,468,733,544,272,122,27,543,310,0,5,5,12,16,17,9,29,98,22,18,43,8,28,233,5,32,27,7,0,0,3,56,70,1,9,17,6,0,15457,8531,635,724,705,195,259,850,927,704,990,1136,763,407,209,27,6926,420,827,518,306,306,728,487,542,860,914,465,386,137,30,18194,9765,1334,1103,881,564,557,750,483,634,1070,761,727,522,302,77,8429,1024,732,1112,610,252,410,358,444,852,858,782,542,264,189,307599,153503,6102,7078,6882,4895,2331,7833,7628,8476,16471,20790,29112,22783,9365,3757,154096,6113,6976,6723,4668,2657,6699,7107,7579,14911,21038,30874,23098,10937,4716,58491,31532,3071,3293,3083,1491,1237,2523,2526,2243,4236,3420,2261,1310,694,144,26959,2655,2866,2380,1505,1061,2069,1990,1919,3522,2901,2105,1171,588,227,45.5,44.0,47.4,48.5,47.0,50.0,36.4,35.5,42.3,33.2,31.3,35.6,39.3,32.5,42.9,39.1,41.8,31.8,29.5,29.9,28.4,23.9,23.1,26.3,51.1,50.0,52.2,27.2,27.0,27.4,403623
