SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,CO,08,,,,,04000US08,Colorado,5359295,2689636,171602,182693,179296,103842,74213,39665,41634,117304,207489,205243,188656,183409,175786,182810,173732,65844,88824,54824,65699,75581,52147,32221,27122,2669659,163890,172645,172535,99678,67883,36131,36646,109288,192351,192927,179556,172745,173510,186432,182687,67910,92399,57543,70333,85262,61476,44794,51038,4517058,2265531,136003,143744,144231,83744,60134,160117,170901,170173,310582,308928,293755,179875,77865,25479,2251527,127940,136530,136800,78926,54888,146429,158711,160852,294198,310886,306217,194040,97591,47519,219349,116796,7678,9541,7524,4800,3502,10536,9996,9700,16964,16361,11928,5519,2163,584,102553,7654,7743,7972,4787,3211,8692,8082,7649,13210,13302,10607,5769,2629,1246,50160,24975,1464,1831,1985,1078,851,1945,2084,1746,3821,3350,2921,1425,426,48,25185,1807,1588,1724,950,890,2503,2008,1803,3697,3222,2894,1440,468,191,157523,71262,4423,4992,4623,2474,1835,6017,6665,6811,11898,9447,6252,3623,1656,546,86261,4562,5327,5346,3131,2293,5975,7188,7486,14483,12286,9219,5344,2646,975,7441,3693,218,257,287,101,243,351,308,427,671,337,287,133,57,16,3748,282,276,217,130,176,370,448,574,459,276,455,67,18,0,224029,114734,9042,10043,10368,5813,3860,10184,10355,9772,18549,13276,8433,3429,1412,198,109295,8946,10172,9781,5740,3024,9606,9176,8468,16616,12787,8377,4225,1685,692,183735,92645,12774,12285,10278,5832,3788,9453,7180,6614,9580,6897,4824,2100,789,251,91090,12699,11009,10695,6014,3401,8490,6738,6095,9638,7183,5227,2253,1233,415,3696127,1848259,96917,101862,104237,61673,45512,125013,137294,135410,250910,265099,265196,164497,71130,23509,1847868,91519,96721,97656,58309,41129,114162,128108,128594,237923,267467,276193,176781,88839,44467,1132292,576379,53929,57686,55857,30341,20051,49717,47105,47762,82977,60729,39403,19977,8568,2277,555913,51589,54656,53745,29209,18687,45991,43003,43287,77504,59711,41088,22429,11104,3910,36.4,35.5,37.4,38.0,36.9,39.1,32.4,32.5,32.1,33.4,33.4,33.3,34.9,33.4,36.1,30.3,30.8,29.6,28.9,28.8,29.1,20.7,20.6,20.9,40.7,39.6,42.1,27.4,27.1,27.8,5359295
40,CO,08,,,,,04001US08,Colorado -- Urban,4627677,2313429,152783,161210,154467,88154,65509,35713,37870,106890,189456,185982,167626,161290,149570,151733,140505,51646,69880,42890,50416,58674,41298,26921,22946,2314248,146328,151656,150116,85607,60361,33351,33669,99681,177453,174867,159784,150957,148722,155389,147718,54731,75028,46976,56646,69764,51554,39136,44754,3838650,1916988,119370,124314,122323,69523,52302,143908,154904,152692,271292,255094,230294,137365,62154,21453,1921662,112423,117747,116550,66328,48313,132800,145096,144297,255750,258786,243720,155879,82550,41423,212605,112282,7500,9255,7246,4577,3331,10215,9568,9309,16225,15604,11517,5233,2131,571,100323,7530,7387,7881,4682,3102,8352,7985,7493,13093,12962,10431,5619,2593,1213,41544,20730,1213,1602,1585,914,746,1680,1765,1523,3058,2800,2309,1149,352,34,20814,1592,1353,1386,766,761,2111,1763,1583,3166,2508,2274,1077,350,124,150572,68378,4225,4834,4408,2423,1760,5843,6432,6503,11544,9022,5917,3341,1626,500,82194,4415,5069,5062,2965,2191,5853,7017,7165,13814,11555,8591,4985,2559,953,6683,3425,196,243,258,97,207,327,283,424,626,318,252,129,49,16,3258,269,276,191,91,146,359,440,393,387,217,418,56,15,0,210216,107248,8620,9501,9449,5388,3651,9696,9988,9301,17221,12329,7631,3025,1253,195,102968,8511,9608,9200,5456,2748,9244,8898,8178,15534,11723,7745,3949,1537,637,167407,84378,11659,11461,9198,5232,3512,8804,6516,6230,8950,6136,4111,1738,654,177,83029,11588,10216,9846,5319,3100,7982,6254,5758,8997,6360,4298,1821,1086,404,3087400,1536036,82824,85384,85893,49608,39193,111504,123832,120418,216297,215795,205290,124009,56244,19745,1551364,78293,81546,80689,47566,35811,102983,116189,114425,203673,219364,216874,140461,74831,38659,1043528,530143,50698,53940,50969,27670,18293,46346,44070,44608,76750,54967,34820,17458,7561,1993,513385,48431,50244,49558,26810,17075,42933,40921,40428,72028,54376,36975,20203,9833,3570,35.3,34.4,36.3,36.7,35.6,37.8,32.3,32.4,32.2,32.6,32.8,32.5,34.6,33.3,35.8,29.8,31.0,28.0,28.7,28.6,28.8,20.6,20.5,20.8,39.3,38.1,40.7,27.2,26.9,27.6,4627677
40,CO,08,,,,,04043US08,Colorado -- Rural,731618,376207,18819,21483,24829,15688,8704,3952,3764,10414,18033,19261,21030,22119,26216,31077,33227,14198,18944,11934,15283,16907,10849,5300,4176,355411,17562,20989,22419,14071,7522,2780,2977,9607,14898,18060,19772,21788,24788,31043,34969,13179,17371,10567,13687,15498,9922,5658,6284,678408,348543,16633,19430,21908,14221,7832,16209,15997,17481,39290,53834,63461,42510,15711,4026,329865,15517,18783,20250,12598,6575,13629,13615,16555,38448,52100,62497,38161,15041,6096,6744,4514,178,286,278,223,171,321,428,391,739,757,411,286,32,13,2230,124,356,91,105,109,340,97,156,117,340,176,150,36,33,8616,4245,251,229,400,164,105,265,319,223,763,550,612,276,74,14,4371,215,235,338,184,129,392,245,220,531,714,620,363,118,67,6951,2884,198,158,215,51,75,174,233,308,354,425,335,282,30,46,4067,147,258,284,166,102,122,171,321,669,731,628,359,87,22,758,268,22,14,29,4,36,24,25,3,45,19,35,4,8,0,490,13,0,26,39,30,11,8,181,72,59,37,11,3,0,13813,7486,422,542,919,425,209,488,367,471,1328,947,802,404,159,3,6327,435,564,581,284,276,362,278,290,1082,1064,632,276,148,55,16328,8267,1115,824,1080,600,276,649,664,384,630,761,713,362,135,74,8061,1111,793,849,695,301,508,484,337,641,823,929,432,147,11,608727,312223,14093,16478,18344,12065,6319,13509,13462,14992,34613,49304,59906,40488,14886,3764,296504,13226,15175,16967,10743,5318,11179,11919,14169,34250,48103,59319,36320,14008,5808,88764,46236,3231,3746,4888,2671,1758,3371,3035,3154,6227,5762,4583,2519,1007,284,42528,3158,4412,4187,2399,1612,3058,2082,2859,5476,5335,4113,2226,1271,340,45.5,45.0,46.1,46.5,46.0,47.0,33.1,34.8,24.0,37.6,36.7,39.0,39.9,35.7,42.3,34.1,27.7,34.4,35.0,33.8,35.6,22.3,22.1,22.5,48.3,47.9,48.7,30.6,30.6,30.6,731618
40,CO,08,,,,,040A0US08,Colorado -- In metropolitan or micropolitan statistical area,5054337,2532400,163321,173515,169809,98565,69778,37228,39610,111371,197621,195265,179260,174216,166710,171715,161941,60848,81707,50059,60095,68524,47285,29413,24544,2521937,155777,164386,162881,94384,63932,34176,35082,104012,185035,184762,171753,165148,164820,175493,170801,62858,85716,52925,65119,78326,56387,41066,47098,4238951,2123043,128598,135310,136009,78940,56239,150890,162398,161617,294275,290566,271445,163277,70475,23004,2115908,120577,129195,128271,74112,51369,138625,152275,153478,279935,292852,284186,178210,89081,43742,215713,113930,7588,9526,7405,4773,3374,10312,9600,9299,16228,15859,11739,5498,2163,566,101783,7642,7647,7807,4741,3118,8639,8044,7577,13199,13242,10503,5759,2623,1242,43732,21755,1192,1579,1746,967,777,1657,1804,1516,3392,3012,2473,1224,370,46,21977,1575,1272,1497,860,768,2206,1795,1593,3374,2763,2560,1182,375,157,155549,70501,4413,4968,4611,2454,1789,5903,6609,6662,11807,9391,6189,3543,1649,513,85048,4527,5288,5259,3100,2263,5886,7106,7439,14265,12107,9012,5225,2620,951,7009,3435,218,250,277,101,207,335,253,427,594,310,259,133,55,16,3574,281,276,211,114,167,370,353,552,455,276,437,67,15,0,215386,110026,8727,9836,9842,5641,3728,9900,10086,9404,17832,12741,7814,3053,1252,170,105360,8766,9932,9471,5603,2951,9258,8905,8190,16196,12147,7935,3836,1569,601,177997,89710,12585,12046,9919,5689,3664,9212,6871,6340,9348,6546,4577,1950,734,229,88287,12409,10776,10365,5854,3296,8286,6557,5933,9477,6926,4742,2091,1170,405,3478114,1737761,91943,96141,98600,58428,42978,118473,131266,129459,238703,250141,245905,149850,64608,21266,1740353,86581,91741,91842,54794,38753,108584,123197,123184,226831,252553,256933,162725,81597,41038,1059956,537825,51028,54578,52537,28581,18484,46563,44178,44566,78012,56638,35550,17563,7554,1993,522131,48868,51904,50441,27660,17396,43270,41146,40831,73818,55800,37670,20207,9662,3458,36.1,35.3,37.1,37.7,36.6,38.8,32.3,32.4,32.2,33.5,33.6,33.4,34.8,33.4,36.0,30.4,30.7,30.1,28.7,28.5,28.8,20.6,20.4,20.8,40.4,39.2,41.7,27.2,26.9,27.6,5054337
40,CO,08,,,,,040C0US08,Colorado -- In metropolitan statistical area,4668277,2329500,152372,161672,157631,91174,65102,34753,37362,103191,182298,179131,163582,160856,153033,157133,148051,54854,73820,45007,54434,62078,42852,26674,22440,2338777,145202,152477,152489,87668,59596,32406,33036,97527,172924,172292,159437,154064,152564,161808,156312,57363,78727,48446,59336,71817,52078,37806,43402,3891553,1941739,119127,125339,125310,72531,52213,140196,149090,147777,269076,264714,245230,146668,63488,20980,1949814,111677,118505,119150,68349,47860,130152,141463,142352,258689,268845,258815,162163,81657,40137,209801,109264,7583,9378,7293,4705,3247,9611,8914,8535,15402,15053,11501,5340,2163,539,100537,7597,7573,7756,4635,3079,8499,7833,7535,13108,13034,10427,5634,2603,1224,37941,18530,1043,1388,1610,823,606,1400,1460,1236,2810,2583,2108,1099,318,46,19411,1457,1153,1325,732,582,1913,1620,1405,3017,2484,2258,988,348,129,152511,69215,4335,4862,4533,2350,1787,5792,6503,6533,11629,9198,6061,3518,1617,497,83296,4400,5167,5111,3049,2128,5792,6975,7279,14041,11855,8813,5126,2620,940,6428,3059,204,190,277,57,206,324,235,424,422,280,256,129,55,0,3369,274,276,167,114,163,370,353,489,408,268,408,64,15,0,199472,101833,8003,8993,9044,5224,3460,9097,9501,8590,16199,12162,7216,2946,1232,166,97639,7899,9365,8859,5093,2722,8400,8338,7515,15158,11303,7239,3666,1513,569,170571,85860,12077,11522,9564,5484,3583,8886,6595,6036,8900,6176,4353,1819,653,212,84711,11898,10438,10121,5696,3062,7843,6342,5717,9080,6583,4442,1958,1128,403,3186431,1586760,85224,88478,90769,53569,39925,110010,120437,118734,218619,228009,221519,134079,57928,19460,1599671,80159,84255,84959,50417,36163,101557,114360,114146,209585,231307,233094,147430,74579,37660,984476,497014,47295,51118,48623,26514,17251,43251,40897,40401,71084,52132,32952,16532,7205,1759,487462,45162,47969,47574,25728,16154,40780,38471,38047,68611,52055,35267,19256,9175,3213,35.9,35.0,36.9,37.4,36.4,38.6,32.3,32.3,32.2,33.5,33.6,33.5,34.9,33.4,36.1,30.0,30.4,29.5,28.8,28.7,28.9,20.5,20.3,20.6,40.1,38.9,41.3,27.1,26.7,27.6,4668277
40,CO,08,,,,,040C1US08,Colorado -- In metropolitan statistical area -- in principal city,2206096,1096076,73321,72373,65605,37340,33704,20926,20939,58098,101898,95804,79538,74972,67353,65625,62125,23385,31043,18813,22884,26648,18844,13491,11347,1110020,69638,68922,65256,36982,34362,19453,19991,56583,96406,89449,75822,68862,64940,68214,65668,25799,34459,21464,26497,33237,24579,19392,24045,1716591,853560,52952,50227,46812,26561,25305,76632,80029,75456,119646,105537,96454,59167,28322,10460,863031,48830,47864,45064,25098,25989,73215,76186,70341,111449,104749,104205,69769,38585,21687,161676,82461,6058,6995,5343,3072,2271,7577,6949,6362,11480,11052,8835,4215,1800,452,79215,5785,5685,6207,3801,2614,6891,5983,5986,9970,10048,8450,4488,2183,1124,20348,9400,550,633,722,435,271,628,679,757,1594,1443,1026,488,158,16,10948,850,646,644,340,341,1104,935,879,1654,1397,1313,559,201,85,77497,34471,1886,1816,1966,1161,1193,3570,3655,3580,5529,4240,3152,1621,874,228,43026,2088,2066,2333,1608,1434,3797,3493,3762,6406,6155,4933,2886,1529,536,3382,1740,119,126,144,23,119,148,143,277,260,123,165,44,49,0,1642,95,175,76,36,104,204,162,225,183,107,250,10,15,0,133735,68069,5452,6498,6045,3335,2355,6099,6627,5684,11164,7554,4597,1829,746,84,65666,5597,6791,5898,3479,1873,5855,5804,5084,10004,7322,4335,2351,850,423,92867,46375,6304,6078,4573,2753,2190,5309,3816,3688,4837,3029,2324,981,386,107,46492,6393,5695,5034,2620,2007,4961,3843,3172,5018,3376,2440,1135,608,190,1342559,664158,34375,31421,29216,17332,18782,59134,64204,59550,92845,86381,83929,52437,25109,9443,678401,32348,29902,28082,16464,19433,56985,61466,55404,86361,85443,90327,61765,34233,20188,554844,281269,27384,28305,26476,13772,9674,25985,24257,23505,40544,28672,18165,9097,4259,1174,273575,25676,27361,25302,13422,9646,24381,22389,21434,37742,28319,19489,10865,5544,2005,34.0,33.2,34.9,35.4,34.5,36.5,32.3,32.4,32.3,34.3,35.1,33.9,34.5,32.8,36.2,30.2,30.9,29.2,27.9,28.0,27.7,21.0,20.8,21.3,38.0,36.7,39.3,27.1,26.8,27.4,2206096
40,CO,08,,,,,040C2US08,Colorado -- In metropolitan statistical area -- not in principal city,2462181,1233424,79051,89299,92026,53834,31398,13827,16423,45093,80400,83327,84044,85884,85680,91508,85926,31469,42777,26194,31550,35430,24008,13183,11093,1228757,75564,83555,87233,50686,25234,12953,13045,40944,76518,82843,83615,85202,87624,93594,90644,31564,44268,26982,32839,38580,27499,18414,19357,2174962,1088179,66175,75112,78498,45970,26908,63564,69061,72321,149430,159177,148776,87501,35166,10520,1086783,62847,70641,74086,43251,21871,56937,65277,72011,147240,164096,154610,92394,43072,18450,48125,26803,1525,2383,1950,1633,976,2034,1965,2173,3922,4001,2666,1125,363,87,21322,1812,1888,1549,834,465,1608,1850,1549,3138,2986,1977,1146,420,100,17593,9130,493,755,888,388,335,772,781,479,1216,1140,1082,611,160,30,8463,607,507,681,392,241,809,685,526,1363,1087,945,429,147,44,75014,34744,2449,3046,2567,1189,594,2222,2848,2953,6100,4958,2909,1897,743,269,40270,2312,3101,2778,1441,694,1995,3482,3517,7635,5700,3880,2240,1091,404,3046,1319,85,64,133,34,87,176,92,147,162,157,91,85,6,0,1727,179,101,91,78,59,166,191,264,225,161,158,54,0,0,65737,33764,2551,2495,2999,1889,1105,2998,2874,2906,5035,4608,2619,1117,486,82,31973,2302,2574,2961,1614,849,2545,2534,2431,5154,3981,2904,1315,663,146,77704,39485,5773,5444,4991,2731,1393,3577,2779,2348,4063,3147,2029,838,267,105,38219,5505,4743,5087,3076,1055,2882,2499,2545,4062,3207,2002,823,520,213,1843872,922602,50849,57057,61553,36237,21143,50876,56233,59184,125774,141628,137590,81642,32819,10017,921270,47811,54353,56877,33953,16730,44572,52894,58742,123224,145864,142767,85665,40346,17472,429632,215745,19911,22813,22147,12742,7577,17266,16640,16896,30540,23460,14787,7435,2946,585,213887,19486,20608,22272,12306,6508,16399,16082,16613,30869,23736,15778,8391,3631,1208,37.9,36.8,38.9,39.2,38.1,40.3,32.2,32.3,32.1,32.4,31.5,32.8,35.2,34.1,35.9,29.6,29.3,29.9,30.5,29.9,31.2,19.1,19.0,19.2,41.7,40.5,42.8,27.2,26.6,27.9,2462181
40,CO,08,,,,,040E0US08,Colorado -- In micropolitan statistical area,386060,202900,10949,11843,12178,7391,4676,2475,2248,8180,15323,16134,15678,13360,13677,14582,13890,5994,7887,5052,5661,6446,4433,2739,2104,183160,10575,11909,10392,6716,4336,1770,2046,6485,12111,12470,12316,11084,12256,13685,14489,5495,6989,4479,5783,6509,4309,3260,3696,347398,181304,9471,9971,10699,6409,4026,10694,13308,13840,25199,25852,26215,16609,6987,2024,166094,8900,10690,9121,5763,3509,8473,10812,11126,21246,24007,25371,16047,7424,3605,5912,4666,5,148,112,68,127,701,686,764,826,806,238,158,0,27,1246,45,74,51,106,39,140,211,42,91,208,76,125,20,18,5791,3225,149,191,136,144,171,257,344,280,582,429,365,125,52,0,2566,118,119,172,128,186,293,175,188,357,279,302,194,27,28,3038,1286,78,106,78,104,2,111,106,129,178,193,128,25,32,16,1752,127,121,148,51,135,94,131,160,224,252,199,99,0,11,581,376,14,60,0,44,1,11,18,3,172,30,3,4,0,16,205,7,0,44,0,4,0,0,63,47,8,29,3,0,0,15914,8193,724,843,798,417,268,803,585,814,1633,579,598,107,20,4,7721,867,567,612,510,229,858,567,675,1038,844,696,170,56,32,7426,3850,508,524,355,205,81,326,276,304,448,370,224,131,81,17,3576,511,338,244,158,234,443,215,216,397,343,300,133,42,2,291683,151001,6719,7663,7831,4859,3053,8463,10829,10725,20084,22132,24386,15771,6680,1806,140682,6422,7486,6883,4377,2590,7027,8837,9038,17246,21246,23839,15295,7018,3378,75480,40811,3733,3460,3914,2067,1233,3312,3281,4165,6928,4506,2598,1031,349,234,34669,3706,3935,2867,1932,1242,2490,2675,2784,5207,3745,2403,951,487,245,38.9,37.8,40.2,40.4,39.4,41.8,32.9,33.1,28.9,33.4,34.0,31.9,31.0,31.8,30.7,37.6,41.0,32.7,27.3,27.4,26.6,24.0,24.5,23.4,43.8,42.5,45.2,28.2,28.9,27.1,386060
40,CO,08,,,,,040E1US08,Colorado -- In micropolitan statistical area -- in principal city,123618,62985,3275,3522,3958,2383,2078,1501,1093,3173,5728,4894,4701,3943,3888,3574,3540,1433,2168,1435,1420,2104,1410,883,881,60633,3399,3764,3046,2061,1911,893,1059,2644,4473,4190,3824,3412,3914,3965,4340,1752,1908,1226,1836,2196,1581,1500,1739,112339,56645,3040,3105,3618,1942,1730,4516,5056,4426,7736,6891,6644,4862,2236,843,55694,3095,3523,2826,1757,1549,3857,4059,3886,6651,7212,7530,5019,3020,1710,2057,1481,0,31,80,41,65,406,220,216,169,172,48,24,0,9,576,21,35,31,43,12,122,50,1,82,85,40,45,0,9,1904,1012,0,68,10,61,145,70,217,32,190,125,94,0,0,0,892,79,36,0,13,126,113,111,104,65,50,94,91,10,0,1239,613,18,9,56,104,1,57,78,60,98,43,46,0,32,11,626,62,45,72,46,58,0,71,27,79,28,103,35,0,0,196,192,0,45,0,0,0,11,0,0,116,0,0,4,0,16,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3812,1905,127,120,136,145,74,415,105,122,248,130,242,41,0,0,1907,96,112,38,167,36,437,114,142,185,310,162,56,34,18,2071,1137,90,144,58,90,63,292,52,38,87,101,67,28,25,2,934,46,13,79,35,126,67,68,30,174,194,71,12,17,2,93084,46560,2275,2151,2560,1509,1397,3522,4150,3669,5949,5779,6108,4509,2168,814,46524,2064,2411,2018,1391,1007,3373,3368,3120,5249,6361,6999,4707,2789,1667,24204,12855,965,1190,1239,608,422,1672,1093,926,2109,1291,827,416,68,29,11349,1157,1236,850,543,620,849,857,914,1649,1221,749,368,275,61,36.2,34.9,38.3,37.1,35.8,39.5,27.3,27.4,25.7,29.1,29.3,28.5,27.6,27.5,27.7,41.3,41.3,.,25.0,24.4,28.8,24.7,22.3,35.1,40.4,37.6,43.4,26.5,26.4,26.6,123618
40,CO,08,,,,,040E2US08,Colorado -- In micropolitan statistical area -- not in principal city,262442,139915,7674,8321,8220,5008,2598,974,1155,5007,9595,11240,10977,9417,9789,11008,10350,4561,5719,3617,4241,4342,3023,1856,1223,122527,7176,8145,7346,4655,2425,877,987,3841,7638,8280,8492,7672,8342,9720,10149,3743,5081,3253,3947,4313,2728,1760,1957,235059,124659,6431,6866,7081,4467,2296,6178,8252,9414,17463,18961,19571,11747,4751,1181,110400,5805,7167,6295,4006,1960,4616,6753,7240,14595,16795,17841,11028,4404,1895,3855,3185,5,117,32,27,62,295,466,548,657,634,190,134,0,18,670,24,39,20,63,27,18,161,41,9,123,36,80,20,9,3887,2213,149,123,126,83,26,187,127,248,392,304,271,125,52,0,1674,39,83,172,115,60,180,64,84,292,229,208,103,17,28,1799,673,60,97,22,0,1,54,28,69,80,150,82,25,0,5,1126,65,76,76,5,77,94,60,133,145,224,96,64,0,11,385,184,14,15,0,44,1,0,18,3,56,30,3,0,0,0,201,7,0,44,0,0,0,0,63,47,8,29,3,0,0,12102,6288,597,723,662,272,194,388,480,692,1385,449,356,66,20,4,5814,771,455,574,343,193,421,453,533,853,534,534,114,22,14,5355,2713,418,380,297,115,18,34,224,266,361,269,157,103,56,15,2642,465,325,165,123,108,376,147,186,223,149,229,121,25,0,198599,104441,4444,5512,5271,3350,1656,4941,6679,7056,14135,16353,18278,11262,4512,992,94158,4358,5075,4865,2986,1583,3654,5469,5918,11997,14885,16840,10588,4229,1711,51276,27956,2768,2270,2675,1459,811,1640,2188,3239,4819,3215,1771,615,281,205,23320,2549,2699,2017,1389,622,1641,1818,1870,3558,2524,1654,583,212,184,40.1,39.6,40.9,41.9,40.9,42.8,34.8,35.4,29.5,36.2,35.8,37.4,34.4,37.1,32.4,32.7,30.5,32.7,27.8,28.3,26.3,23.1,26.1,22.5,45.1,44.3,45.8,28.8,30.3,27.3,262442
