SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,CT,09,,,,,04000US09,Connecticut,3588570,1750270,96313,107749,116685,74774,54309,25986,26042,73878,112436,108354,102147,112756,127850,137202,129033,45692,60804,36999,46364,57749,39732,28816,28600,1838300,92499,102808,111858,70966,52473,25584,24156,66361,107880,109801,104588,120115,135544,145381,134745,50489,66289,41509,52849,68489,51857,42732,59327,2768080,1347656,64188,73885,83617,54496,39786,88632,79265,75832,156614,215458,202551,124604,61943,26785,1420424,61510,69758,79908,51157,38223,83430,76518,76029,163921,225155,213828,141278,84330,55379,372696,178688,12543,13351,13557,9117,6576,17394,13867,12297,23409,24297,18076,9169,3849,1186,194008,11560,12774,13047,8457,6417,15499,13962,13521,26433,28865,21284,13035,6305,2849,9399,4899,317,464,295,258,159,402,341,254,705,852,455,264,111,22,4500,332,157,187,401,166,394,238,274,820,546,626,218,122,19,152782,73251,4784,4999,4784,2765,2128,5570,6615,7262,13129,9631,6400,3371,1608,205,79531,4635,4827,5184,3043,2522,5540,6708,7601,14891,10871,7320,4048,1956,385,1031,448,18,32,57,42,17,74,55,8,15,102,28,0,0,0,583,34,29,55,10,0,44,40,56,163,39,49,64,0,0,177594,92506,6650,7154,7628,4538,3104,9098,9477,9229,16020,10633,5340,2607,752,276,85088,6429,7111,7042,4218,2524,6574,6705,9079,13813,11306,5602,2940,1241,504,106988,52822,7813,7864,6747,3558,2539,4736,2816,3472,5011,4079,2679,1097,285,126,54166,7999,8152,6435,3680,2621,4620,3709,3241,4662,4143,2814,1264,635,191,2464450,1200237,51590,59699,70926,46506,34196,75350,67141,64753,136226,197074,191262,119631,59704,26179,1264213,48574,56554,67142,43969,33146,69732,63844,64779,140332,205312,200884,134708,80966,54271,537728,268392,24091,25461,23513,14420,10200,25284,23056,22135,39400,30726,17825,8206,3092,983,269336,23583,24142,22941,13635,9052,22728,21194,21986,40285,32934,19956,10357,4929,1614,40.6,38.8,42.1,44.1,42.6,45.5,33.5,31.0,35.7,35.4,34.5,36.6,34.0,33.3,34.8,31.0,23.6,40.1,30.1,29.3,31.0,18.5,18.3,18.6,46.1,44.6,47.4,28.2,27.3,29.3,3588570
40,CT,09,,,,,04001US09,Connecticut -- Urban,3163056,1537645,87577,95939,101769,64931,49177,23347,23800,67321,103155,99432,91569,99292,110556,117153,109663,38285,51197,30924,38740,48773,34119,25206,25720,1625411,83420,90400,97654,61643,48268,23377,22042,60667,99908,100966,93402,105834,117152,125231,116010,43001,57120,35572,44986,59947,45812,38616,54383,2369153,1148083,56278,63368,70099,45526,34973,78065,70524,67668,134296,180033,167682,102561,53042,23968,1221070,53716,58794,66950,42736,34505,74071,69157,67952,140447,188339,179772,119640,74447,50544,367151,175480,12409,13173,13424,8958,6530,17216,13749,12058,22962,23661,17535,8935,3717,1153,191671,11390,12635,13014,8404,6361,15370,13833,13407,26180,28372,20959,12785,6219,2742,8421,4311,315,400,234,225,154,331,319,246,636,718,369,244,100,20,4110,312,150,157,362,161,364,225,237,737,484,583,216,103,19,144659,69557,4685,4740,4447,2591,2028,5362,6374,6913,12517,9087,6058,3091,1470,194,75102,4385,4608,4766,2866,2428,5379,6435,7245,13971,10196,6879,3743,1816,385,1014,443,18,32,57,42,17,74,55,8,15,97,28,0,0,0,571,34,29,55,10,0,44,40,56,151,39,49,64,0,0,174962,91278,6602,7044,7491,4426,3065,8943,9406,9165,15887,10485,5169,2571,748,276,83684,6315,6970,6981,4042,2519,6429,6664,8915,13533,11151,5511,2933,1219,502,97696,48493,7270,7182,6017,3163,2410,4477,2728,3374,4548,3628,2304,1035,248,109,49203,7268,7214,5731,3223,2294,4429,3554,3154,4217,3802,2378,1124,624,191,2075416,1005824,44082,49679,57907,38007,29541,65159,58688,56879,114712,162379,156844,97729,50851,23367,1069592,41232,45918,54566,35848,29505,60705,56762,56863,117575,169369,167214,113318,71271,49446,523839,261139,23549,24742,22787,13773,9982,24705,22656,21733,38225,29764,17175,8030,3040,978,262700,22896,23564,22459,13118,8959,22222,20858,21656,39268,31825,19489,10074,4708,1604,39.8,37.9,41.4,43.5,41.8,45.1,33.3,30.8,35.5,35.1,34.0,36.5,33.8,33.2,34.6,29.5,23.6,40.1,30.2,29.3,31.0,18.7,18.5,18.9,45.8,44.1,47.4,28.2,27.3,29.3,3163056
40,CT,09,,,,,04043US09,Connecticut -- Rural,425514,212625,8736,11810,14916,9843,5132,2639,2242,6557,9281,8922,10578,13464,17294,20049,19370,7407,9607,6075,7624,8976,5613,3610,2880,212889,9079,12408,14204,9323,4205,2207,2114,5694,7972,8835,11186,14281,18392,20150,18735,7488,9169,5937,7863,8542,6045,4116,4944,398927,199573,7910,10517,13518,8970,4813,10567,8741,8164,22318,35425,34869,22043,8901,2817,199354,7794,10964,12958,8421,3718,9359,7361,8077,23474,36816,34056,21638,9883,4835,5545,3208,134,178,133,159,46,178,118,239,447,636,541,234,132,33,2337,170,139,33,53,56,129,129,114,253,493,325,250,86,107,978,588,2,64,61,33,5,71,22,8,69,134,86,20,11,2,390,20,7,30,39,5,30,13,37,83,62,43,2,19,0,8123,3694,99,259,337,174,100,208,241,349,612,544,342,280,138,11,4429,250,219,418,177,94,161,273,356,920,675,441,305,140,0,17,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,12,0,0,0,0,0,0,0,0,12,0,0,0,0,0,2632,1228,48,110,137,112,39,155,71,64,133,148,171,36,4,0,1404,114,141,61,176,5,145,41,164,280,155,91,7,22,2,9292,4329,543,682,730,395,129,259,88,98,463,451,375,62,37,17,4963,731,938,704,457,327,191,155,87,445,341,436,140,11,0,389034,194413,7508,10020,13019,8499,4655,10191,8453,7874,21514,34695,34418,21902,8853,2812,194621,7342,10636,12576,8121,3641,9027,7082,7916,22757,35943,33670,21390,9695,4825,13889,7253,542,719,726,647,218,579,400,402,1175,962,650,176,52,5,6636,687,578,482,517,93,506,336,330,1017,1109,467,283,221,10,46.1,45.7,46.5,47.0,46.5,47.3,45.6,44.1,47.3,40.0,42.4,37.8,36.8,35.7,38.7,44.4,.,.,29.3,25.7,30.2,15.9,16.8,15.5,47.3,46.9,47.6,29.7,27.6,30.8,425514
40,CT,09,,,,,040A0US09,Connecticut -- In metropolitan or micropolitan statistical area,3588570,1750270,96313,107749,116685,74774,54309,25986,26042,73878,112436,108354,102147,112756,127850,137202,129033,45692,60804,36999,46364,57749,39732,28816,28600,1838300,92499,102808,111858,70966,52473,25584,24156,66361,107880,109801,104588,120115,135544,145381,134745,50489,66289,41509,52849,68489,51857,42732,59327,2768080,1347656,64188,73885,83617,54496,39786,88632,79265,75832,156614,215458,202551,124604,61943,26785,1420424,61510,69758,79908,51157,38223,83430,76518,76029,163921,225155,213828,141278,84330,55379,372696,178688,12543,13351,13557,9117,6576,17394,13867,12297,23409,24297,18076,9169,3849,1186,194008,11560,12774,13047,8457,6417,15499,13962,13521,26433,28865,21284,13035,6305,2849,9399,4899,317,464,295,258,159,402,341,254,705,852,455,264,111,22,4500,332,157,187,401,166,394,238,274,820,546,626,218,122,19,152782,73251,4784,4999,4784,2765,2128,5570,6615,7262,13129,9631,6400,3371,1608,205,79531,4635,4827,5184,3043,2522,5540,6708,7601,14891,10871,7320,4048,1956,385,1031,448,18,32,57,42,17,74,55,8,15,102,28,0,0,0,583,34,29,55,10,0,44,40,56,163,39,49,64,0,0,177594,92506,6650,7154,7628,4538,3104,9098,9477,9229,16020,10633,5340,2607,752,276,85088,6429,7111,7042,4218,2524,6574,6705,9079,13813,11306,5602,2940,1241,504,106988,52822,7813,7864,6747,3558,2539,4736,2816,3472,5011,4079,2679,1097,285,126,54166,7999,8152,6435,3680,2621,4620,3709,3241,4662,4143,2814,1264,635,191,2464450,1200237,51590,59699,70926,46506,34196,75350,67141,64753,136226,197074,191262,119631,59704,26179,1264213,48574,56554,67142,43969,33146,69732,63844,64779,140332,205312,200884,134708,80966,54271,537728,268392,24091,25461,23513,14420,10200,25284,23056,22135,39400,30726,17825,8206,3092,983,269336,23583,24142,22941,13635,9052,22728,21194,21986,40285,32934,19956,10357,4929,1614,40.6,38.8,42.1,44.1,42.6,45.5,33.5,31.0,35.7,35.4,34.5,36.6,34.0,33.3,34.8,31.0,23.6,40.1,30.1,29.3,31.0,18.5,18.3,18.6,46.1,44.6,47.4,28.2,27.3,29.3,3588570
40,CT,09,,,,,040C0US09,Connecticut -- In metropolitan statistical area,3403429,1658801,92226,102659,111034,70870,52116,25177,25071,70598,107791,103768,97495,107118,120705,128957,120920,42558,56786,34656,43165,53834,37420,26974,26903,1744628,88748,98340,106280,67417,50660,24714,23378,63364,103531,105248,99904,114185,128060,136908,126296,47414,62215,38877,49642,64167,48894,40639,55747,2595437,1262551,60526,69243,78653,50971,37802,84038,75116,71611,147303,200997,187945,115425,57825,25096,1332886,58216,65854,74920,47878,36516,79246,72539,71897,154236,209983,198914,131457,79396,51834,369542,177018,12417,13291,13422,9004,6554,17229,13804,12196,23117,24126,17846,9009,3825,1178,192524,11486,12607,12973,8396,6364,15334,13897,13355,26294,28635,21145,12926,6296,2816,9113,4704,317,419,295,258,159,402,341,254,700,774,405,247,111,22,4409,332,157,166,401,166,370,238,264,820,537,599,218,122,19,149271,71604,4678,4867,4624,2677,2033,5508,6501,7156,12873,9422,6182,3279,1599,205,77667,4481,4743,4974,2995,2511,5439,6586,7529,14490,10610,7098,3916,1910,385,1025,448,18,32,57,42,17,74,55,8,15,102,28,0,0,0,577,34,29,55,10,0,44,40,56,157,39,49,64,0,0,174930,91188,6592,7091,7514,4479,3069,9006,9208,9123,15735,10434,5311,2601,749,276,83742,6314,6978,6899,4120,2519,6488,6624,8950,13528,11223,5495,2888,1214,502,104111,51288,7678,7716,6469,3439,2482,4589,2766,3420,4870,3807,2547,1094,285,126,52823,7885,7972,6293,3617,2584,4535,3607,3197,4564,3941,2625,1217,595,191,2297971,1118357,48263,55410,66250,43203,32336,70992,63142,60803,127325,183015,176936,110535,55636,24511,1179614,45530,52860,62456,40863,31525,65754,60062,60877,131061,190604,186191,124979,76086,50766,527725,263300,23655,24984,22998,14111,10003,24876,22623,21744,38647,30096,17492,8070,3039,962,264425,23157,23726,22412,13357,8900,22383,20863,21601,39550,32295,19593,10186,4828,1574,40.2,38.5,41.8,43.9,42.3,45.3,33.5,31.0,35.7,35.1,33.5,36.7,33.9,33.3,34.7,30.7,23.6,40.1,30.2,29.3,31.0,18.4,18.3,18.5,45.9,44.4,47.3,28.2,27.3,29.3,3403429
40,CT,09,,,,,040C1US09,Connecticut -- In metropolitan statistical area -- in principal city,1033511,499324,32361,32366,30861,19765,17062,8536,9409,26302,41787,39575,33397,31973,32411,33894,31198,10315,14115,8919,10436,12513,9164,6159,6806,534187,29736,31345,30436,18969,18109,8665,8596,22681,42626,39781,33947,35445,35362,37114,33534,12961,16149,10815,12489,16644,13258,10569,14956,600052,290214,15825,15104,14343,9461,9440,23695,23399,21817,35583,42180,38251,22998,12289,5829,309838,14120,14819,14394,8733,10233,21188,24044,21073,37074,42454,42589,28142,18082,12893,226253,104616,7616,8774,8462,5733,3716,10222,7959,7061,12703,13198,10895,5460,2063,754,121637,7014,8146,8587,5095,4187,9940,9355,8249,16454,17889,12986,8167,4072,1496,4283,2336,77,174,115,164,117,184,114,158,400,447,185,166,35,0,1947,144,20,80,94,77,217,163,108,323,248,349,82,29,13,50340,24433,1632,1308,1128,649,598,2306,2890,3373,4320,2652,1885,1112,502,78,25907,1511,1125,1066,887,898,2406,3160,3184,4491,2955,2270,1207,575,172,371,163,18,0,9,0,11,46,36,8,15,0,20,0,0,0,208,0,29,5,0,0,0,26,49,34,17,13,35,0,0,112135,57803,4259,4282,4536,2638,2122,5728,5962,5765,10503,6517,3291,1709,355,136,54332,4219,4598,4206,2735,1804,4139,4394,5554,9186,7146,3407,1819,814,311,40077,19759,2934,2724,2268,1120,1058,2066,1427,1393,1846,1311,1101,423,79,9,20318,2728,2608,2098,1425,910,2052,1484,1564,1830,1767,1030,496,255,71,459401,221540,10478,8663,9390,5993,6910,17287,17150,16159,26163,33217,32979,20561,10949,5641,237861,8246,9025,8834,5875,7938,15020,17808,15366,26459,33621,36215,24831,16275,12348,283162,141235,12070,12812,10930,7042,5571,13713,12980,12368,21566,16335,9180,4560,1751,357,141927,12019,12313,11470,6873,4821,11723,11643,12347,21532,17059,10745,5669,2857,856,35.5,34.0,37.3,40.4,38.3,42.3,32.6,29.9,35.1,36.0,35.5,37.0,32.7,32.6,32.8,30.7,23.9,34.8,30.2,29.4,30.8,20.2,19.7,20.8,44.4,42.2,46.6,29.0,28.0,30.0,1033511
40,CT,09,,,,,040C2US09,Connecticut -- In metropolitan statistical area -- not in principal city,2369918,1159477,59865,70293,80173,51105,35054,16641,15662,44296,66004,64193,64098,75145,88294,95063,89722,32243,42671,25737,32729,41321,28256,20815,20097,1210441,59012,66995,75844,48448,32551,16049,14782,40683,60905,65467,65957,78740,92698,99794,92762,34453,46066,28062,37153,47523,35636,30070,40791,1995385,972337,44701,54139,64310,41510,28362,60343,51717,49794,111720,158817,149694,92427,45536,19267,1023048,44096,51035,60526,39145,26283,58058,48495,50824,117162,167529,156325,103315,61314,38941,143289,72402,4801,4517,4960,3271,2838,7007,5845,5135,10414,10928,6951,3549,1762,424,70887,4472,4461,4386,3301,2177,5394,4542,5106,9840,10746,8159,4759,2224,1320,4830,2368,240,245,180,94,42,218,227,96,300,327,220,81,76,22,2462,188,137,86,307,89,153,75,156,497,289,250,136,93,6,98931,47171,3046,3559,3496,2028,1435,3202,3611,3783,8553,6770,4297,2167,1097,127,51760,2970,3618,3908,2108,1613,3033,3426,4345,9999,7655,4828,2709,1335,213,654,285,0,32,48,42,6,28,19,0,0,102,8,0,0,0,369,34,0,50,10,0,44,14,7,123,22,36,29,0,0,62795,33385,2333,2809,2978,1841,947,3278,3246,3358,5232,3917,2020,892,394,140,29410,2095,2380,2693,1385,715,2349,2230,3396,4342,4077,2088,1069,400,191,64034,31529,4744,4992,4201,2319,1424,2523,1339,2027,3024,2496,1446,671,206,117,32505,5157,5364,4195,2192,1674,2483,2123,1633,2734,2174,1595,721,340,120,1838570,896817,37785,46747,56860,37210,25426,53705,45992,44644,101162,149798,143957,89974,44687,18870,941753,37284,43835,53622,34988,23587,50734,42254,45511,104602,156983,149976,100148,59811,38418,244563,122065,11585,12172,12068,7069,4432,11163,9643,9376,17081,13761,8312,3510,1288,605,122498,11138,11413,10942,6484,4079,10660,9220,9254,18018,15236,8848,4517,1971,718,42.4,40.8,43.8,44.8,43.5,46.1,34.7,32.9,36.7,32.3,28.9,36.4,35.1,33.9,35.9,31.0,20.5,40.4,30.1,29.2,31.3,17.3,17.4,17.1,46.2,44.9,47.4,27.4,26.3,28.5,2369918
40,CT,09,,,,,040E0US09,Connecticut -- In micropolitan statistical area,185141,91469,4087,5090,5651,3904,2193,809,971,3280,4645,4586,4652,5638,7145,8245,8113,3134,4018,2343,3199,3915,2312,1842,1697,93672,3751,4468,5578,3549,1813,870,778,2997,4349,4553,4684,5930,7484,8473,8449,3075,4074,2632,3207,4322,2963,2093,3580,172643,85105,3662,4642,4964,3525,1984,4594,4149,4221,9311,14461,14606,9179,4118,1689,87538,3294,3904,4988,3279,1707,4184,3979,4132,9685,15172,14914,9821,4934,3545,3154,1670,126,60,135,113,22,165,63,101,292,171,230,160,24,8,1484,74,167,74,61,53,165,65,166,139,230,139,109,9,33,286,195,0,45,0,0,0,0,0,0,5,78,50,17,0,0,91,0,0,21,0,0,24,0,10,0,9,27,0,0,0,3511,1647,106,132,160,88,95,62,114,106,256,209,218,92,9,0,1864,154,84,210,48,11,101,122,72,401,261,222,132,46,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2664,1318,58,63,114,59,35,92,269,106,285,199,29,6,3,0,1346,115,133,143,98,5,86,81,129,285,83,107,52,27,2,2877,1534,135,148,278,119,57,147,50,52,141,272,132,3,0,0,1343,114,180,142,63,37,85,102,44,98,202,189,47,40,0,166479,81880,3327,4289,4676,3303,1860,4358,3999,3950,8901,14059,14326,9096,4068,1668,84599,3044,3694,4686,3106,1621,3978,3782,3902,9271,14708,14693,9729,4880,3505,10003,5092,436,477,515,309,197,408,433,391,753,630,333,136,53,21,4911,426,416,529,278,152,345,331,385,735,639,363,171,101,40,46.4,45.2,47.5,47.3,46.2,48.3,33.9,36.5,31.5,48.7,50.4,34.1,35.9,33.2,38.3,.,.,.,29.5,28.5,30.6,23.1,20.6,28.4,47.9,46.8,48.9,28.2,26.0,29.9,185141
40,CT,09,,,,,040E1US09,Connecticut -- In micropolitan statistical area -- in principal city,35227,17772,1162,1096,1026,718,478,141,123,437,919,1145,1052,1122,1234,1642,1535,609,711,396,441,732,319,271,463,17455,657,703,879,599,202,126,165,715,1247,1074,988,1067,1238,1512,1778,468,538,456,613,715,433,447,835,31113,15618,944,925,692,608,453,588,847,976,1794,2612,2626,1517,581,455,15495,591,577,693,566,192,789,1094,896,1750,2526,2508,1652,826,835,1096,683,76,24,57,32,0,57,16,79,151,32,133,18,0,8,413,0,24,67,16,0,49,0,65,47,50,39,50,6,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,24,0,0,0,1295,612,83,36,78,43,16,17,29,37,109,53,69,33,9,0,683,44,20,68,17,8,33,50,58,164,68,103,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,746,325,8,38,60,0,2,1,0,50,57,108,0,1,0,0,421,16,35,42,0,0,73,25,26,79,71,9,45,0,0,953,534,51,73,139,35,7,38,27,3,63,71,27,0,0,0,419,6,47,9,0,2,62,78,29,15,35,101,17,18,0,28834,14367,825,722,589,537,384,507,766,848,1697,2424,2546,1502,581,439,14467,460,547,610,512,142,710,1005,779,1578,2426,2433,1618,817,830,3552,1895,170,255,265,99,70,99,85,181,212,309,118,16,0,16,1657,147,65,148,54,52,136,167,177,255,213,114,106,18,5,44.5,42.3,46.4,46.3,44.9,47.9,33.8,35.1,33.6,.,.,.,35.6,30.3,40.4,.,.,.,34.9,36.1,34.5,25.2,15.1,33.1,47.9,46.3,49.1,29.4,24.9,31.2,35227
40,CT,09,,,,,040E2US09,Connecticut -- In micropolitan statistical area -- not in principal city,149914,73697,2925,3994,4625,3186,1715,668,848,2843,3726,3441,3600,4516,5911,6603,6578,2525,3307,1947,2758,3183,1993,1571,1234,76217,3094,3765,4699,2950,1611,744,613,2282,3102,3479,3696,4863,6246,6961,6671,2607,3536,2176,2594,3607,2530,1646,2745,141530,69487,2718,3717,4272,2917,1531,4006,3302,3245,7517,11849,11980,7662,3537,1234,72043,2703,3327,4295,2713,1515,3395,2885,3236,7935,12646,12406,8169,4108,2710,2058,987,50,36,78,81,22,108,47,22,141,139,97,142,24,0,1071,74,143,7,45,53,116,65,101,92,180,100,59,3,33,262,195,0,45,0,0,0,0,0,0,5,78,50,17,0,0,67,0,0,21,0,0,24,0,10,0,9,3,0,0,0,2216,1035,23,96,82,45,79,45,85,69,147,156,149,59,0,0,1181,110,64,142,31,3,68,72,14,237,193,119,112,16,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1918,993,50,25,54,59,33,91,269,56,228,91,29,5,3,0,925,99,98,101,98,5,13,56,103,206,12,98,7,27,2,1924,1000,84,75,139,84,50,109,23,49,78,201,105,3,0,0,924,108,133,133,63,35,23,24,15,83,167,88,30,22,0,137645,67513,2502,3567,4087,2766,1476,3851,3233,3102,7204,11635,11780,7594,3487,1229,70132,2584,3147,4076,2594,1479,3268,2777,3123,7693,12282,12260,8111,4063,2675,6451,3197,266,222,250,210,127,309,348,210,541,321,215,120,53,5,3254,279,351,381,224,100,209,164,208,480,426,249,65,83,35,46.8,45.7,47.7,47.5,46.5,48.4,34.3,40.0,30.5,48.4,50.4,24.5,35.9,34.5,37.7,.,.,.,28.2,27.4,29.8,22.2,23.3,19.7,47.9,46.9,48.9,27.6,27.4,29.0,149914
