SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,DE,10,,,,,04000US10,Delaware,934695,452416,28344,27859,29815,17676,12912,6771,6702,18574,31941,29156,26498,27215,30011,32458,30465,11357,16377,10695,13473,17964,12116,7657,6380,482279,27267,28707,27593,16931,12927,7205,5852,18645,31864,29724,28685,28069,32293,35039,35369,12522,18039,12267,16092,20363,14926,10278,11622,647002,315198,16826,16938,18260,11085,8035,19989,21007,19416,36426,45166,45259,34609,16721,5461,331804,15967,16646,16891,10537,8262,19573,21108,19124,37167,46839,49702,39131,20805,10052,203027,95468,6897,7315,7545,4848,3338,8175,7049,6185,11871,13368,10072,5831,2243,731,107559,6578,7542,7135,4717,3323,8578,7575,7262,13655,15838,12941,7474,3548,1393,3494,1693,111,7,66,53,72,132,126,57,215,288,335,143,72,16,1801,179,66,151,37,26,220,70,34,211,233,281,165,104,24,34428,16666,1065,915,1043,617,481,1334,1535,1739,2860,2080,1485,969,472,71,17762,1058,1103,1017,541,357,1425,1682,1782,2785,2323,1729,1329,553,78,461,254,36,0,0,0,11,33,28,62,0,31,9,6,3,35,207,33,12,27,0,0,24,42,5,27,15,22,0,0,0,20452,10395,978,630,903,360,429,1052,1424,1038,1658,964,572,241,115,31,10057,998,1287,653,440,381,972,916,766,1485,1113,655,279,105,7,25831,12742,2431,2054,1998,713,546,1332,772,659,683,572,467,333,147,35,13089,2454,2051,1719,659,578,910,471,751,1424,971,600,344,89,68,593565,287482,13886,14275,15183,9663,7197,17759,19027,16796,31816,42382,43708,33936,16503,5351,306083,13313,13837,14220,9238,7328,17608,18939,17023,33131,44558,48334,38169,20533,9852,82662,42498,4543,4008,4653,2035,1404,3648,3739,3873,6604,4101,2299,995,418,178,40164,4356,4709,3743,2005,1408,3298,3351,3395,5912,3868,2193,1275,426,225,39.6,38.0,41.1,43.8,42.2,45.2,33.9,32.0,35.9,43.5,45.6,41.5,34.4,33.7,34.8,27.6,34.2,25.5,26.9,27.2,26.4,15.5,14.7,16.5,45.9,44.5,47.2,26.0,26.1,25.9,934695
40,DE,10,,,,,04001US10,Delaware -- Urban,772541,372463,23622,23731,24940,14471,10982,5404,5803,16084,27569,24617,22698,22750,23817,26029,24234,9242,12938,8411,10328,13799,9356,6164,5474,400078,23337,23974,22719,13684,11487,6204,5051,16049,27783,25947,24219,23182,26183,28385,28835,9987,14372,9821,12657,16005,12331,8379,9487,509866,247404,13149,13719,14353,8572,6422,16131,17301,15697,29427,34271,34860,25988,12875,4639,262462,12956,12930,13106,7991,7086,16058,17618,15879,29573,35764,38492,30033,16810,8166,185382,86764,6234,6729,6926,4356,3144,7538,6650,5545,10931,12115,8943,5004,1982,667,98618,6079,7041,6454,4176,3134,7933,7145,6889,12512,14501,11690,6689,3147,1228,2738,1247,102,7,47,53,72,107,29,48,172,203,224,127,43,13,1491,177,64,106,32,10,217,68,16,182,199,216,117,80,7,32070,15734,991,891,1012,546,439,1246,1513,1673,2772,1845,1424,928,383,71,16336,996,891,907,504,355,1359,1651,1711,2503,2129,1670,1100,496,64,442,250,36,0,0,0,11,33,27,62,0,31,9,6,0,35,192,33,12,27,0,0,24,42,5,12,15,22,0,0,0,18897,9692,839,595,874,330,393,985,1346,985,1541,906,541,221,105,31,9205,893,1092,635,389,357,888,816,740,1366,1068,604,247,105,5,23146,11372,2271,1790,1728,614,501,1251,703,607,605,475,413,264,132,18,11774,2203,1944,1484,592,545,825,443,707,1253,892,500,297,72,17,463988,223960,10502,11362,11802,7371,5861,14262,15637,13328,25607,31997,33497,25492,12702,4540,240028,10696,10565,10657,6874,6260,14320,15578,14131,26220,33675,37210,29236,16582,8024,72970,37219,4095,3634,4053,1782,1091,3222,3260,3592,5575,3519,2066,800,363,167,35751,3825,4038,3427,1730,1275,2986,3112,3007,5074,3614,2062,1062,382,157,38.4,36.9,39.9,42.8,41.3,44.4,33.6,31.6,35.4,41.9,44.0,38.0,34.1,33.6,34.5,27.3,34.1,25.0,27.0,27.2,26.8,15.5,14.7,16.4,45.2,43.7,46.7,26.0,26.0,26.0,772541
40,DE,10,,,,,04043US10,Delaware -- Rural,162154,79953,4722,4128,4875,3205,1930,1367,899,2490,4372,4539,3800,4465,6194,6429,6231,2115,3439,2284,3145,4165,2760,1493,906,82201,3930,4733,4874,3247,1440,1001,801,2596,4081,3777,4466,4887,6110,6654,6534,2535,3667,2446,3435,4358,2595,1899,2135,137136,67794,3677,3219,3907,2513,1613,3858,3706,3719,6999,10895,10399,8621,3846,822,69342,3011,3716,3785,2546,1176,3515,3490,3245,7594,11075,11210,9098,3995,1886,17645,8704,663,586,619,492,194,637,399,640,940,1253,1129,827,261,64,8941,499,501,681,541,189,645,430,373,1143,1337,1251,785,401,165,756,446,9,0,19,0,0,25,97,9,43,85,111,16,29,3,310,2,2,45,5,16,3,2,18,29,34,65,48,24,17,2358,932,74,24,31,71,42,88,22,66,88,235,61,41,89,0,1426,62,212,110,37,2,66,31,71,282,194,59,229,57,14,19,4,0,0,0,0,0,0,1,0,0,0,0,0,3,0,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1555,703,139,35,29,30,36,67,78,53,117,58,31,20,10,0,852,105,195,18,51,24,84,100,26,119,45,51,32,0,2,2685,1370,160,264,270,99,45,81,69,52,78,97,54,69,15,17,1315,251,107,235,67,33,85,28,44,171,79,100,47,17,51,129577,63522,3384,2913,3381,2292,1336,3497,3390,3468,6209,10385,10211,8444,3801,811,66055,2617,3272,3563,2364,1068,3288,3361,2892,6911,10883,11124,8933,3951,1828,9692,5279,448,374,600,253,313,426,479,281,1029,582,233,195,55,11,4413,531,671,316,275,133,312,239,388,838,254,131,213,44,68,45.2,44.1,46.1,46.6,45.6,47.6,38.7,36.1,40.5,50.3,49.5,54.9,37.7,39.5,37.5,37.6,.,.,23.8,27.8,22.6,15.7,14.9,17.9,48.0,47.1,48.7,26.3,28.1,23.8,162154
40,DE,10,,,,,040A0US10,Delaware -- In metropolitan or micropolitan statistical area,934695,452416,28344,27859,29815,17676,12912,6771,6702,18574,31941,29156,26498,27215,30011,32458,30465,11357,16377,10695,13473,17964,12116,7657,6380,482279,27267,28707,27593,16931,12927,7205,5852,18645,31864,29724,28685,28069,32293,35039,35369,12522,18039,12267,16092,20363,14926,10278,11622,647002,315198,16826,16938,18260,11085,8035,19989,21007,19416,36426,45166,45259,34609,16721,5461,331804,15967,16646,16891,10537,8262,19573,21108,19124,37167,46839,49702,39131,20805,10052,203027,95468,6897,7315,7545,4848,3338,8175,7049,6185,11871,13368,10072,5831,2243,731,107559,6578,7542,7135,4717,3323,8578,7575,7262,13655,15838,12941,7474,3548,1393,3494,1693,111,7,66,53,72,132,126,57,215,288,335,143,72,16,1801,179,66,151,37,26,220,70,34,211,233,281,165,104,24,34428,16666,1065,915,1043,617,481,1334,1535,1739,2860,2080,1485,969,472,71,17762,1058,1103,1017,541,357,1425,1682,1782,2785,2323,1729,1329,553,78,461,254,36,0,0,0,11,33,28,62,0,31,9,6,3,35,207,33,12,27,0,0,24,42,5,27,15,22,0,0,0,20452,10395,978,630,903,360,429,1052,1424,1038,1658,964,572,241,115,31,10057,998,1287,653,440,381,972,916,766,1485,1113,655,279,105,7,25831,12742,2431,2054,1998,713,546,1332,772,659,683,572,467,333,147,35,13089,2454,2051,1719,659,578,910,471,751,1424,971,600,344,89,68,593565,287482,13886,14275,15183,9663,7197,17759,19027,16796,31816,42382,43708,33936,16503,5351,306083,13313,13837,14220,9238,7328,17608,18939,17023,33131,44558,48334,38169,20533,9852,82662,42498,4543,4008,4653,2035,1404,3648,3739,3873,6604,4101,2299,995,418,178,40164,4356,4709,3743,2005,1408,3298,3351,3395,5912,3868,2193,1275,426,225,39.6,38.0,41.1,43.8,42.2,45.2,33.9,32.0,35.9,43.5,45.6,41.5,34.4,33.7,34.8,27.6,34.2,25.5,26.9,27.2,26.4,15.5,14.7,16.5,45.9,44.5,47.2,26.0,26.1,25.9,934695
40,DE,10,,,,,040C0US10,Delaware -- In metropolitan statistical area,934695,452416,28344,27859,29815,17676,12912,6771,6702,18574,31941,29156,26498,27215,30011,32458,30465,11357,16377,10695,13473,17964,12116,7657,6380,482279,27267,28707,27593,16931,12927,7205,5852,18645,31864,29724,28685,28069,32293,35039,35369,12522,18039,12267,16092,20363,14926,10278,11622,647002,315198,16826,16938,18260,11085,8035,19989,21007,19416,36426,45166,45259,34609,16721,5461,331804,15967,16646,16891,10537,8262,19573,21108,19124,37167,46839,49702,39131,20805,10052,203027,95468,6897,7315,7545,4848,3338,8175,7049,6185,11871,13368,10072,5831,2243,731,107559,6578,7542,7135,4717,3323,8578,7575,7262,13655,15838,12941,7474,3548,1393,3494,1693,111,7,66,53,72,132,126,57,215,288,335,143,72,16,1801,179,66,151,37,26,220,70,34,211,233,281,165,104,24,34428,16666,1065,915,1043,617,481,1334,1535,1739,2860,2080,1485,969,472,71,17762,1058,1103,1017,541,357,1425,1682,1782,2785,2323,1729,1329,553,78,461,254,36,0,0,0,11,33,28,62,0,31,9,6,3,35,207,33,12,27,0,0,24,42,5,27,15,22,0,0,0,20452,10395,978,630,903,360,429,1052,1424,1038,1658,964,572,241,115,31,10057,998,1287,653,440,381,972,916,766,1485,1113,655,279,105,7,25831,12742,2431,2054,1998,713,546,1332,772,659,683,572,467,333,147,35,13089,2454,2051,1719,659,578,910,471,751,1424,971,600,344,89,68,593565,287482,13886,14275,15183,9663,7197,17759,19027,16796,31816,42382,43708,33936,16503,5351,306083,13313,13837,14220,9238,7328,17608,18939,17023,33131,44558,48334,38169,20533,9852,82662,42498,4543,4008,4653,2035,1404,3648,3739,3873,6604,4101,2299,995,418,178,40164,4356,4709,3743,2005,1408,3298,3351,3395,5912,3868,2193,1275,426,225,39.6,38.0,41.1,43.8,42.2,45.2,33.9,32.0,35.9,43.5,45.6,41.5,34.4,33.7,34.8,27.6,34.2,25.5,26.9,27.2,26.4,15.5,14.7,16.5,45.9,44.5,47.2,26.0,26.1,25.9,934695
40,DE,10,,,,,040C1US10,Delaware -- In metropolitan statistical area -- in principal city,108853,51141,3990,3356,3218,1984,1899,1150,1118,2610,4935,3763,3183,2867,3167,3202,2993,952,1280,1030,913,1421,807,698,605,57712,3883,3288,3452,1772,2242,1230,1120,2799,5034,3785,3909,3033,3732,2998,3557,1335,1600,1295,1534,1848,1529,1329,1408,41331,19940,1092,614,738,503,373,1796,2362,1815,2576,2765,2356,1732,830,388,21391,1090,748,806,415,484,1894,2295,1534,2445,2293,2667,2193,1560,967,57483,26059,2104,2410,2145,1311,1267,2315,2030,1520,2893,3296,2553,1444,587,184,31424,2260,2126,2336,1184,1626,2824,2241,1941,3706,3924,3436,2201,1189,430,302,110,7,0,0,0,48,0,0,0,18,19,5,5,8,0,192,7,17,0,17,7,19,0,0,19,5,49,24,28,0,2047,1054,76,13,90,48,75,191,40,35,221,57,56,137,13,2,993,70,40,24,20,6,116,163,62,217,95,52,72,53,3,74,61,0,0,0,0,7,0,3,51,0,0,0,0,0,0,13,0,0,0,0,0,0,13,0,0,0,0,0,0,0,3978,2190,237,95,168,80,49,226,372,213,292,131,222,31,43,31,1788,111,126,110,107,45,100,252,123,251,232,208,101,22,0,3638,1727,474,224,77,42,80,350,128,129,50,101,33,15,24,0,1911,345,231,176,29,74,196,70,125,304,181,80,86,6,8,35443,17019,694,439,433,410,323,1485,2129,1351,2247,2414,2222,1668,816,388,18424,885,552,460,317,354,1512,1974,1302,1985,2045,2412,2123,1557,946,12052,6102,893,547,575,188,121,607,706,713,640,536,369,95,72,40,5950,452,565,545,216,249,585,624,499,802,698,469,200,25,21,33.4,31.7,35.4,39.0,37.3,41.1,30.9,28.6,32.6,44.5,29.0,59.1,33.2,29.6,34.1,34.3,34.4,.,28.7,27.4,31.6,20.5,19.4,22.9,42.4,41.0,44.5,26.6,25.7,27.6,108853
40,DE,10,,,,,040C2US10,Delaware -- In metropolitan statistical area -- not in principal city,825842,401275,24354,24503,26597,15692,11013,5621,5584,15964,27006,25393,23315,24348,26844,29256,27472,10405,15097,9665,12560,16543,11309,6959,5775,424567,23384,25419,24141,15159,10685,5975,4732,15846,26830,25939,24776,25036,28561,32041,31812,11187,16439,10972,14558,18515,13397,8949,10214,605671,295258,15734,16324,17522,10582,7662,18193,18645,17601,33850,42401,42903,32877,15891,5073,310413,14877,15898,16085,10122,7778,17679,18813,17590,34722,44546,47035,36938,19245,9085,145544,69409,4793,4905,5400,3537,2071,5860,5019,4665,8978,10072,7519,4387,1656,547,76135,4318,5416,4799,3533,1697,5754,5334,5321,9949,11914,9505,5273,2359,963,3192,1583,104,7,66,53,24,132,126,57,197,269,330,138,64,16,1609,172,49,151,20,19,201,70,34,192,228,232,141,76,24,32381,15612,989,902,953,569,406,1143,1495,1704,2639,2023,1429,832,459,69,16769,988,1063,993,521,351,1309,1519,1720,2568,2228,1677,1257,500,75,387,193,36,0,0,0,4,33,25,11,0,31,9,6,3,35,194,33,12,27,0,0,24,29,5,27,15,22,0,0,0,16474,8205,741,535,735,280,380,826,1052,825,1366,833,350,210,72,0,8269,887,1161,543,333,336,872,664,643,1234,881,447,178,83,7,22193,11015,1957,1830,1921,671,466,982,644,530,633,471,434,318,123,35,11178,2109,1820,1543,630,504,714,401,626,1120,790,520,258,83,60,558122,270463,13192,13836,14750,9253,6874,16274,16898,15445,29569,39968,41486,32268,15687,4963,287659,12428,13285,13760,8921,6974,16096,16965,15721,31146,42513,45922,36046,18976,8906,70610,36396,3650,3461,4078,1847,1283,3041,3033,3160,5964,3565,1930,900,346,138,34214,3904,4144,3198,1789,1159,2713,2727,2896,5110,3170,1724,1075,401,204,40.5,39.0,41.9,44.1,42.6,45.4,35.2,33.1,36.9,43.4,46.9,40.0,34.4,33.8,34.8,26.4,27.7,25.1,26.3,27.2,25.0,14.9,14.5,15.6,46.1,44.7,47.3,25.8,26.2,25.4,825842
50,DE,10,001,,,,05000US10001,"Kent County, Delaware",171474,82687,5678,5534,5951,3443,2578,1766,1402,3648,5846,5187,4563,4841,5286,5658,5010,1748,2752,1835,2230,3234,2117,1312,1068,88787,5349,5914,5345,3276,2621,1315,1355,3915,5861,5551,5367,5257,5728,6154,5954,2064,2982,2146,2654,3698,2770,1875,1636,114958,56262,3315,3432,3556,2110,1318,3995,4064,3666,6468,7979,7073,5673,2718,895,58696,3258,3174,3353,1987,1194,3557,4001,3741,7054,8147,7787,6495,3659,1289,42097,19556,1476,1458,1523,978,904,1989,1409,1117,2188,2494,1941,1350,573,156,22541,1312,1701,1236,1083,1198,2394,1478,1372,2520,2914,2607,1647,791,288,1123,504,18,0,0,18,41,9,33,6,65,107,104,69,29,5,619,7,27,24,9,23,35,70,18,94,100,111,38,45,18,3433,1536,63,41,161,86,60,156,38,69,305,236,153,138,18,12,1897,25,93,121,30,33,224,84,88,264,284,264,244,115,28,104,73,0,0,0,0,7,0,4,59,0,0,0,0,3,0,31,0,0,0,0,0,16,0,0,0,0,15,0,0,0,2551,1245,147,75,102,29,36,211,167,75,224,38,64,19,58,0,1306,100,141,112,75,19,152,134,78,205,144,144,0,0,2,7208,3511,659,528,609,222,212,456,131,195,154,90,175,50,30,0,3697,647,778,499,92,154,207,94,254,487,293,72,74,35,11,108515,52971,3096,3131,3238,1943,1233,3608,3830,3292,6016,7561,6892,5564,2683,884,55544,2952,2980,3009,1845,1062,3285,3776,3427,6579,7905,7613,6272,3614,1225,11326,5682,620,580,549,259,150,624,521,503,791,515,318,142,99,11,5644,556,532,578,279,222,505,458,471,813,510,330,232,69,89,37.2,35.4,38.6,40.9,39.2,42.3,31.8,30.2,33.3,49.6,50.3,45.5,42.1,41.2,43.2,34.3,34.3,23.0,26.4,26.1,27.2,14.6,14.8,14.3,41.9,40.5,43.1,25.6,25.3,26.1,171474
50,DE,10,003,,,,05000US10003,"New Castle County, Delaware",551997,267276,16832,16455,17992,10852,8324,3766,4164,11743,20582,18407,16914,16976,18474,19669,17853,6678,8848,5378,6350,8091,5662,3744,3522,284721,16152,17075,16590,10451,8481,4742,3758,11304,20468,18722,18001,17301,20060,21235,20588,6852,9577,6265,7900,9498,7756,5482,6463,359253,175051,9436,9276,10293,6506,5229,12086,12789,11436,21528,26132,24807,15063,7471,2999,184202,8783,9458,9327,6199,5786,12213,12872,11172,21599,27000,26319,17545,10349,5580,134502,63165,4508,4848,5086,3280,2036,5085,4686,4266,8237,9073,6650,3590,1409,411,71337,4358,4925,4927,2998,1795,5178,5070,5106,9514,10960,8599,4776,2308,823,1347,717,68,0,37,35,24,74,29,43,102,129,140,25,3,8,630,22,11,127,22,3,55,0,2,91,110,112,45,30,0,28581,14007,908,725,849,480,383,1119,1446,1582,2427,1679,1209,752,389,59,14574,1005,879,868,481,293,1093,1551,1567,2326,1826,1323,897,419,46,209,87,0,0,0,0,4,3,24,3,0,31,9,6,0,7,122,12,12,27,0,0,8,26,5,12,13,7,0,0,0,14025,7196,566,432,634,210,369,493,1058,781,1143,821,418,188,52,31,6829,619,894,441,292,289,638,611,531,1059,823,343,198,91,0,14080,7053,1346,1174,1093,341,279,813,550,296,453,278,146,195,82,7,7027,1353,896,873,459,315,619,338,339,701,563,314,202,41,14,326993,158486,7776,7747,8485,5570,4736,10631,11609,9943,18707,24467,23820,14712,7368,2915,168507,7396,7875,7704,5298,5171,10896,11497,9999,19069,25549,25422,17013,10153,5465,51912,26568,2535,2428,2931,1338,956,2263,2320,2446,4105,2740,1520,623,239,124,25344,2482,2851,2377,1305,924,2208,2135,2150,3709,2610,1419,747,312,115,37.6,36.2,39.0,41.2,39.9,42.6,34.4,32.5,36.3,39.8,38.4,44.3,33.5,33.4,33.7,27.7,45.8,27.1,27.7,28.9,26.6,16.3,14.6,17.5,43.4,41.9,44.7,26.5,26.6,26.3,551997
50,DE,10,005,,,,05000US10005,"Sussex County, Delaware",211224,102453,5834,5870,5872,3381,2010,1239,1136,3183,5513,5562,5021,5398,6251,7131,7602,2931,4777,3482,4893,6639,4337,2601,1790,108771,5766,5718,5658,3204,1825,1148,739,3426,5535,5451,5317,5511,6505,7650,8827,3606,5480,3856,5538,7167,4400,2921,3523,172791,83885,4075,4230,4411,2469,1488,3908,4154,4314,8430,11055,13379,13873,6532,1567,88906,3926,4014,4211,2351,1282,3803,4235,4211,8514,11692,15596,15091,6797,3183,26428,12747,913,1009,936,590,398,1101,954,802,1446,1801,1481,891,261,164,13681,908,916,972,636,330,1006,1027,784,1621,1964,1735,1051,449,282,1024,472,25,7,29,0,7,49,64,8,48,52,91,49,40,3,552,150,28,0,6,0,130,0,14,26,23,58,82,29,6,2414,1123,94,149,33,51,38,59,51,88,128,165,123,79,65,0,1291,28,131,28,30,31,108,47,127,195,213,142,188,19,4,148,94,36,0,0,0,0,30,0,0,0,0,0,0,0,28,54,21,0,0,0,0,0,16,0,15,2,0,0,0,0,3876,1954,265,123,167,121,24,348,199,182,291,105,90,34,5,0,1922,279,252,100,73,73,182,171,157,221,146,168,81,14,5,4543,2178,426,352,296,150,55,63,91,168,76,204,146,88,35,28,2365,454,377,347,108,109,84,39,158,236,115,214,68,13,43,158057,76025,3014,3397,3460,2150,1228,3520,3588,3561,7093,10354,12996,13660,6452,1552,82032,2965,2982,3507,2095,1095,3427,3666,3597,7483,11104,15299,14884,6766,3162,19424,10248,1388,1000,1173,438,298,761,898,924,1708,846,461,230,80,43,9176,1318,1326,788,421,262,585,758,774,1390,748,444,296,45,21,47.6,46.1,48.9,50.7,49.5,51.9,34.6,32.2,36.8,33.6,44.0,23.7,37.9,34.7,39.1,22.1,21.7,25.4,24.6,24.5,25.0,15.2,16.2,15.1,53.1,52.2,54.2,24.9,25.4,23.6,211224
