SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,FL,12,,,,,04000US12,Florida,19934451,9741262,558670,571008,583860,363328,245922,139232,134229,391801,660191,617424,588665,618111,652788,693463,641400,239610,337776,226636,315411,427820,320189,221663,192065,10193189,535543,545791,561698,346378,229916,135805,127541,370042,638989,615923,594164,633332,671345,726973,701147,270593,394168,264201,356264,493807,373731,283192,322646,15130748,7420731,368476,381691,402333,250942,167868,460132,473133,449062,898226,1057816,998105,846908,488342,177697,7710017,351442,364771,382778,238127,158380,432700,450046,433248,889397,1075830,1101366,959936,579027,292969,3216994,1543524,120328,118988,120154,76799,52542,140686,123503,108677,195963,196910,156085,85078,37309,10502,1673470,116249,115062,117804,72846,48613,140483,130338,120345,220745,219187,184972,107743,56409,22674,52904,27162,1281,1252,1675,1174,1016,1813,1458,1788,4037,4467,3691,2461,830,219,25742,1082,1414,1491,1311,701,1719,1531,1349,3951,4009,3971,2146,853,214,521272,238708,12306,15719,13588,8851,6885,17788,19247,18673,39835,33781,25619,17366,7363,1687,282564,13226,15378,14716,8601,5900,17846,20734,23176,48363,42264,36140,23201,9792,3227,11288,5496,535,191,410,109,168,531,519,553,919,661,457,360,60,23,5792,243,400,368,148,226,400,483,788,937,754,453,375,196,21,505877,256846,18982,18110,18512,11769,8053,23516,25177,25006,42516,32483,18946,9011,3684,1081,249031,18137,17757,17588,11453,6678,19876,20768,22460,39918,34319,21715,11391,5122,1849,495368,248795,36762,35057,27188,13684,9390,20796,17154,13665,25280,20133,15883,8683,4264,856,246573,35164,31009,26953,13892,9418,20364,15089,14557,24185,21955,17291,9480,5524,1692,11080426,5432459,230355,242151,262761,167117,110679,309134,319742,295108,591306,775097,816340,732193,424681,155795,5647967,219281,230595,249318,157803,102982,293680,307124,288279,580108,782127,888691,810315,486101,251563,4806854,2373232,172405,171104,169490,102192,70044,184733,188671,186522,366022,328680,210587,129189,69890,23703,2433622,164888,163971,161955,97421,66186,168637,171458,175483,364870,340758,244942,167079,101475,44499,41.6,40.1,43.1,45.1,43.5,46.5,32.4,30.7,33.9,40.6,40.5,40.8,38.3,36.7,39.5,32.9,32.2,34.1,31.7,30.8,32.8,21.0,20.5,21.6,49.1,47.7,50.4,34.8,33.4,36.3,19934451
40,FL,12,,,,,04001US12,Florida -- Urban,18192592,8840691,515780,522169,531795,330065,225858,128545,123648,360157,605996,565201,537800,563495,590915,623169,574521,212314,299429,201660,277745,381156,287902,202113,179258,9351901,494100,500215,512604,316095,214818,127666,118907,345007,597120,571408,549939,583115,614783,661175,632604,243431,355520,237533,320210,447733,343247,261198,303473,13644055,6661202,333076,342206,359611,224504,152427,418870,430588,407871,814332,945381,880580,746280,439736,165740,6982853,318044,327164,343094,212573,145800,398216,414720,396315,809068,969500,982143,859910,530931,275375,3051254,1448552,116978,114282,114897,72208,49287,132141,114558,100686,181012,182908,145348,79218,35111,9918,1602702,112371,110902,112429,70077,46959,135653,126340,115661,211994,208557,175111,102008,53356,21284,43803,22328,974,898,1343,1023,872,1664,1258,1537,3388,3681,2997,1780,732,181,21475,907,1188,1273,1109,597,1509,1337,952,3346,3495,3171,1619,759,213,501305,229998,11824,15122,12957,8558,6548,17446,18852,18194,38125,32562,24581,16495,7103,1631,271307,12734,14822,14127,8254,5745,17422,20302,22165,46477,40477,34381,21898,9388,3115,10419,5000,524,154,410,109,135,489,475,518,816,636,345,306,60,23,5419,181,377,368,146,226,375,459,788,914,609,400,366,196,14,480681,242512,17900,16949,17439,11077,7603,21975,23975,23530,40234,30736,17945,8631,3516,1002,238169,17139,16662,16543,10942,6517,19207,19624,21604,38449,32838,20953,11021,4840,1830,461075,231099,34504,32558,25138,12586,8986,19765,16290,12865,23388,18180,14468,7851,3757,763,229976,32724,29100,24770,12994,8974,19198,14338,13923,22806,20482,15396,8654,4975,1642,9733583,4748857,200851,208651,225667,144034,98041,273564,283119,260326,518844,672842,705620,635079,377894,144325,4984726,190933,198993,214985,135426,92692,263454,275384,255915,509616,683508,775488,714211,439685,234436,4632518,2277001,164789,163540,162053,97799,66611,176939,180984,178225,351500,315984,202539,125015,67908,23115,2355517,158398,156744,155421,93559,63568,163204,166779,169842,353123,331064,237704,162618,99494,43999,41.3,39.7,42.8,44.8,43.2,46.4,32.1,30.4,33.7,40.1,39.9,40.5,38.1,36.5,39.3,32.5,31.5,33.5,31.8,30.8,33.0,20.9,20.4,21.6,49.2,47.6,50.5,35.0,33.5,36.5,18192592
40,FL,12,,,,,04043US12,Florida -- Rural,1741859,900571,42890,48839,52065,33263,20064,10687,10581,31644,54195,52223,50865,54616,61873,70294,66879,27296,38347,24976,37666,46664,32287,19550,12807,841288,41443,45576,49094,30283,15098,8139,8634,25035,41869,44515,44225,50217,56562,65798,68543,27162,38648,26668,36054,46074,30484,21994,19173,1486693,759529,35400,39485,42722,26438,15441,41262,42545,41191,83894,112435,117525,100628,48606,11957,727164,33398,37607,39684,25554,12580,34484,35326,36933,80329,106330,119223,100026,48096,17594,165740,94972,3350,4706,5257,4591,3255,8545,8945,7991,14951,14002,10737,5860,2198,584,70768,3878,4160,5375,2769,1654,4830,3998,4684,8751,10630,9861,5735,3053,1390,9101,4834,307,354,332,151,144,149,200,251,649,786,694,681,98,38,4267,175,226,218,202,104,210,194,397,605,514,800,527,94,1,19967,8710,482,597,631,293,337,342,395,479,1710,1219,1038,871,260,56,11257,492,556,589,347,155,424,432,1011,1886,1787,1759,1303,404,112,869,496,11,37,0,0,33,42,44,35,103,25,112,54,0,0,373,62,23,0,2,0,25,24,0,23,145,53,9,0,7,25196,14334,1082,1161,1073,692,450,1541,1202,1476,2282,1747,1001,380,168,79,10862,998,1095,1045,511,161,669,1144,856,1469,1481,762,370,282,19,34293,17696,2258,2499,2050,1098,404,1031,864,800,1892,1953,1415,832,507,93,16597,2440,1909,2183,898,444,1166,751,634,1379,1473,1895,826,549,50,1346843,683602,29504,33500,37094,23083,12638,35570,36623,34782,72462,102255,110720,97114,46787,11470,663241,28348,31602,34333,22377,10290,30226,31740,32364,70492,98619,113203,96104,46416,17127,174336,96231,7616,7564,7437,4393,3433,7794,7687,8297,14522,12696,8048,4174,1982,588,78105,6490,7227,6534,3862,2618,5433,4679,5641,11747,9694,7238,4461,1981,500,45.2,44.0,46.4,47.0,46.1,48.0,37.0,35.5,40.0,43.0,43.8,42.1,42.2,40.0,43.7,44.2,40.7,47.6,29.4,29.8,29.0,22.3,21.9,22.7,48.8,48.0,49.5,31.4,31.2,31.8,1741859
40,FL,12,,,,,040A0US12,Florida -- In metropolitan or micropolitan statistical area,19587806,9553034,549844,561030,574247,357143,241655,136804,132011,382880,645992,603802,575483,605291,639798,679529,628315,234898,330843,222096,309023,420078,314730,217954,189588,10034772,526548,536515,551964,340962,226719,134169,126102,364896,630158,607375,586201,623720,661957,715612,688977,265826,387540,259639,349856,485122,367605,279066,318243,14860904,7278532,361859,374334,394866,246239,165130,451259,463671,439883,879664,1037617,977939,830597,480089,175385,7582372,344757,357393,375447,233880,155946,426562,443418,426507,875552,1058773,1081925,942935,570109,289168,3153823,1505043,118674,117140,118542,75645,51214,136472,119386,104796,189591,191304,152152,83216,36544,10367,1648780,114600,113666,115962,71906,47999,138532,128504,118782,217833,216243,181745,105529,55373,22106,50536,26047,1259,1160,1565,1143,998,1750,1397,1766,3911,4255,3540,2271,813,219,24489,1062,1311,1442,1257,661,1681,1467,1279,3818,3770,3733,1985,810,213,519778,237992,12251,15710,13524,8835,6878,17730,19196,18589,39728,33695,25549,17267,7353,1687,281786,13214,15352,14705,8580,5897,17831,20694,23088,48268,42120,35977,23124,9722,3214,10947,5256,535,191,410,109,168,505,483,462,850,653,450,357,60,23,5691,195,400,368,148,202,388,483,788,937,749,441,375,196,21,503041,254949,18934,17888,18366,11658,8013,23347,24951,24838,42262,32167,18780,9001,3674,1070,248092,18027,17704,17491,11413,6658,19869,20670,22444,39708,34136,21673,11379,5079,1841,488777,245215,36332,34607,26974,13514,9254,20632,16908,13468,24768,19636,15646,8488,4151,837,243562,34693,30689,26549,13778,9356,20304,14922,14487,23805,21778,16849,9290,5382,1680,10827829,5300819,224332,235320,255864,162688,108302,301265,311365,287355,574739,756099,797191,716211,416581,153507,5527010,213212,224078,242890,153830,100847,287816,300868,281996,567272,765548,869806,793736,477321,247790,4785200,2359566,171684,170334,168706,101806,69586,183336,187237,184819,363500,327039,209382,128745,69731,23661,2425634,164088,162984,160982,97045,65841,168330,170956,174962,363676,340099,244322,166602,101284,44463,41.6,40.1,43.1,45.1,43.5,46.5,32.3,30.6,33.9,40.4,40.3,40.4,38.3,36.7,39.5,33.2,32.4,34.3,31.7,30.8,32.8,20.9,20.4,21.6,49.2,47.8,50.5,34.9,33.4,36.3,19587806
40,FL,12,,,,,040C0US12,Florida -- In metropolitan statistical area,19229922,9364808,538827,550100,562883,350087,237022,133793,129257,375127,633423,592195,564445,593164,627820,665948,615550,229600,324176,218265,302381,411220,308412,214278,186835,9865114,516565,526274,541921,335008,223200,132341,124209,359237,619946,597759,577116,613116,651434,703092,676412,261150,380105,254948,344049,476679,361696,274744,314113,14567624,7125717,353465,366216,386250,240762,161927,441568,453613,430808,861339,1016342,956600,813087,470804,172936,7441907,337022,349457,367819,229246,153130,419222,435186,419030,859395,1039385,1060782,925830,561060,285343,3109383,1480570,117203,115270,116836,74426,50224,133835,117523,103193,186189,188081,149786,81845,36002,10157,1628813,113019,112297,114496,71098,47577,137005,127108,117392,215382,213621,179271,104174,54529,21844,48737,25039,1147,1140,1470,1093,966,1692,1361,1699,3663,4156,3412,2229,811,200,23698,1014,1264,1391,1237,641,1632,1455,1194,3659,3728,3581,1936,775,191,516893,236878,12188,15629,13447,8790,6872,17649,19131,18414,39548,33530,25451,17201,7341,1687,280015,13094,15277,14615,8512,5878,17788,20641,22923,48005,41834,35637,22969,9637,3205,10752,5185,524,180,410,109,168,505,467,462,827,653,450,347,60,23,5567,195,389,358,148,202,388,453,788,937,716,441,335,196,21,493814,249564,18348,17581,17895,11508,7731,22503,24490,24324,41593,31739,18343,8891,3611,1007,244250,17737,17264,17054,11239,6513,19640,20329,22079,39377,33642,21359,11245,4939,1833,482719,241855,35952,34084,26575,13399,9134,20425,16838,13295,24450,19267,15284,8266,4061,825,240864,34484,30326,26188,13528,9259,20112,14774,14353,23477,21600,16596,9187,5304,1676,10602714,5186253,219132,230509,250190,159168,106269,294748,304921,281350,562444,739471,778650,700144,408043,151214,5416461,208403,219148,237927,150672,99162,282579,294909,276301,555806,749623,850884,777874,468903,244270,4705109,2314479,167725,166569,165123,99689,68037,179275,183058,181107,356488,321804,206089,127141,68932,23442,2390630,160794,159462,157625,95298,64536,165886,168287,172751,358423,335995,241722,165209,100492,44150,41.6,40.1,43.1,45.1,43.5,46.5,32.3,30.6,33.9,40.5,40.6,40.4,38.3,36.7,39.4,33.2,32.4,34.3,31.8,30.9,32.9,20.9,20.4,21.6,49.2,47.7,50.5,35.0,33.5,36.4,19229922
40,FL,12,,,,,040C1US12,Florida -- In metropolitan statistical area -- in principal city,5283762,2570185,152596,146620,141788,86155,70209,43228,40559,115766,202729,181522,162055,161651,166959,176139,162904,60897,87128,57243,77431,102719,73714,51311,48862,2713577,146637,141568,139093,84736,73130,44012,41512,115989,203536,180757,161981,161421,168661,182566,179748,70033,98887,65744,89313,117121,89733,69849,87550,3726002,1830711,89218,86541,85881,51813,43923,129070,139425,127212,231843,254418,240986,198164,108078,44139,1895291,84754,83242,82944,51681,46458,126774,135414,119716,216492,251736,264013,221111,134077,76879,1119429,526178,44626,41924,41101,25428,18919,50990,41821,35952,60957,64974,53389,29507,12969,3621,593251,41846,39253,41204,24053,19359,56153,49053,42831,74386,73409,64533,38763,19715,8693,13611,7148,331,138,365,312,302,681,407,693,1033,1193,814,594,248,37,6463,354,273,343,202,119,553,443,423,1059,925,979,485,250,55,149818,70148,3382,3967,3420,2138,2513,6608,7153,5920,12378,9128,6623,4511,1990,417,79670,3861,4475,3754,2289,2021,5543,6964,7205,13451,11159,9509,6023,2449,967,3286,1588,150,23,121,22,60,206,256,181,265,196,58,24,26,0,1698,104,110,72,78,80,232,149,157,205,221,104,91,95,0,128517,64855,4269,4078,3637,2600,1837,6064,7576,7035,10839,8235,5024,2481,863,317,63662,4472,4053,3600,2669,1871,5425,6571,5927,10523,8610,5037,2986,1402,516,143099,69557,10620,9949,7263,3842,2655,5934,6091,4529,6391,4954,4035,2112,851,331,73542,11246,10162,7176,3764,3222,6833,4942,4498,7286,5167,4493,2719,1594,440,2799015,1371877,58138,56066,55972,35609,31274,94111,100239,87257,159350,192620,199855,171432,92181,37773,1427138,55683,53714,55313,35054,33278,94392,99002,83993,149631,188547,216834,186427,110056,65214,1124920,558776,39829,37590,36698,20780,15877,43767,49758,49135,87235,73807,48855,30752,17651,7042,566144,38331,36911,33821,20466,16421,41422,45180,43788,81006,74749,55360,39522,26571,12596,39.4,38.1,40.7,43.5,42.0,45.0,31.4,29.8,32.9,38.9,37.9,39.5,36.3,35.0,37.5,29.6,27.7,30.2,31.9,31.6,32.5,20.5,20.3,20.6,46.7,45.4,48.1,34.6,33.5,35.8,5283762
40,FL,12,,,,,040C2US12,Florida -- In metropolitan statistical area -- not in principal city,13946160,6794623,386231,403480,421095,263932,166813,90565,88698,259361,430694,410673,402390,431513,460861,489809,452646,168703,237048,161022,224950,308501,234698,162967,137973,7151537,369928,384706,402828,250272,150070,88329,82697,243248,416410,417002,415135,451695,482773,520526,496664,191117,281218,189204,254736,359558,271963,204895,226563,10841622,5295006,264247,279675,300369,188949,118004,312498,314188,303596,629496,761924,715614,614923,362726,128797,5546616,252268,266215,284875,177565,106672,292448,299772,299314,642903,787649,796769,704719,426983,208464,1989954,954392,72577,73346,75735,48998,31305,82845,75702,67241,125232,123107,96397,52338,23033,6536,1035562,71173,73044,73292,47045,28218,80852,78055,74561,140996,140212,114738,65411,34814,13151,35126,17891,816,1002,1105,781,664,1011,954,1006,2630,2963,2598,1635,563,163,17235,660,991,1048,1035,522,1079,1012,771,2600,2803,2602,1451,525,136,367075,166730,8806,11662,10027,6652,4359,11041,11978,12494,27170,24402,18828,12690,5351,1270,200345,9233,10802,10861,6223,3857,12245,13677,15718,34554,30675,26128,16946,7188,2238,7466,3597,374,157,289,87,108,299,211,281,562,457,392,323,34,23,3869,91,279,286,70,122,156,304,631,732,495,337,244,101,21,365297,184709,14079,13503,14258,8908,5894,16439,16914,17289,30754,23504,13319,6410,2748,690,180588,13265,13211,13454,8570,4642,14215,13758,16152,28854,25032,16322,8259,3537,1317,339620,172298,25332,24135,19312,9557,6479,14491,10747,8766,18059,14313,11249,6154,3210,494,167322,23238,20164,19012,9764,6037,13279,9832,9855,16191,16433,12103,6468,3710,1236,7803699,3814376,160994,174443,194218,123559,74995,200637,204682,194093,403094,546851,578795,528712,315862,113441,3989323,152720,165434,182614,115618,65884,188187,195907,192308,406175,561076,634050,591447,358847,179056,3580189,1755703,127896,128979,128425,78909,52160,135508,133300,131972,269253,247997,157234,96389,51281,16400,1824486,122463,122551,123804,74832,48115,124464,123107,128963,277417,261246,186362,125687,73921,31554,42.4,40.8,44.0,45.6,44.0,47.1,32.8,31.1,34.4,41.5,41.7,41.1,39.1,37.6,40.2,34.9,34.7,35.0,31.7,30.6,32.9,21.2,20.4,22.1,50.0,48.6,51.2,35.1,33.5,36.6,13946160
40,FL,12,,,,,040E0US12,Florida -- In micropolitan statistical area,357884,188226,11017,10930,11364,7056,4633,3011,2754,7753,12569,11607,11038,12127,11978,13581,12765,5298,6667,3831,6642,8858,6318,3676,2753,169658,9983,10241,10043,5954,3519,1828,1893,5659,10212,9616,9085,10604,10523,12520,12565,4676,7435,4691,5807,8443,5909,4322,4130,293280,152815,8394,8118,8616,5477,3203,9691,10058,9075,18325,21275,21339,17510,9285,2449,140465,7735,7936,7628,4634,2816,7340,8232,7477,16157,19388,21143,17105,9049,3825,44440,24473,1471,1870,1706,1219,990,2637,1863,1603,3402,3223,2366,1371,542,210,19967,1581,1369,1466,808,422,1527,1396,1390,2451,2622,2474,1355,844,262,1799,1008,112,20,95,50,32,58,36,67,248,99,128,42,2,19,791,48,47,51,20,20,49,12,85,159,42,152,49,35,22,2885,1114,63,81,77,45,6,81,65,175,180,165,98,66,12,0,1771,120,75,90,68,19,43,53,165,263,286,340,155,85,9,195,71,11,11,0,0,0,0,16,0,23,0,0,10,0,0,124,0,11,10,0,0,0,30,0,0,33,0,40,0,0,9227,5385,586,307,471,150,282,844,461,514,669,428,437,110,63,63,3842,290,440,437,174,145,229,341,365,331,494,314,134,140,8,6058,3360,380,523,399,115,120,207,70,173,318,369,362,222,90,12,2698,209,363,361,250,97,192,148,134,328,178,253,103,78,4,225115,114566,5200,4811,5674,3520,2033,6517,6444,6005,12295,16628,18541,16067,8538,2293,110549,4809,4930,4963,3158,1685,5237,5959,5695,11466,15925,18922,15862,8418,3520,80091,45087,3959,3765,3583,2117,1549,4061,4179,3712,7012,5235,3293,1604,799,219,35004,3294,3522,3357,1747,1305,2444,2669,2211,5253,4104,2600,1393,792,313,41.6,40.2,43.1,43.8,42.8,45.1,32.9,31.5,35.1,38.0,38.1,36.6,40.2,34.0,43.8,35.4,27.6,54.3,27.2,25.5,28.2,23.3,24.4,22.5,49.1,48.0,50.2,28.8,29.2,28.1,357884
40,FL,12,,,,,040E1US12,Florida -- In micropolitan statistical area -- in principal city,74152,37024,2273,2310,2366,1366,898,594,614,1884,2689,2569,2767,2364,2325,2576,2228,1054,958,584,1040,1264,1029,610,662,37128,2258,2379,2115,1372,719,482,561,1498,2462,2531,2204,2711,2197,2649,2201,1206,1275,698,968,1351,973,1065,1253,53464,27139,1355,1427,1647,865,422,1955,2071,1979,3845,3975,3444,2229,1444,481,26325,1323,1523,1162,920,461,1636,1780,1876,3439,3416,3472,2485,1710,1122,16565,7883,732,781,520,406,308,794,512,453,1071,765,635,562,195,149,8682,766,643,709,302,190,771,610,545,1172,1054,1005,485,316,114,201,153,12,0,0,0,4,9,0,11,46,8,46,0,0,17,48,9,0,11,5,0,9,0,0,0,0,14,0,0,0,968,290,27,21,0,7,0,4,23,38,81,51,11,27,0,0,678,77,54,68,13,0,31,48,78,86,84,121,9,0,9,19,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1674,981,81,20,93,15,144,287,83,56,44,29,99,15,0,15,693,4,91,78,2,10,41,19,32,113,237,27,19,12,8,1261,568,66,61,106,73,20,43,0,32,44,73,5,45,0,0,693,79,68,87,130,58,53,5,0,105,55,43,10,0,0,39513,19859,932,787,939,452,318,1435,1697,1354,2614,3080,2740,2018,1089,404,19654,753,959,640,641,254,1056,1556,1432,2297,2527,2887,2214,1388,1050,16168,8487,553,681,822,428,248,820,457,707,1337,933,794,253,362,92,7681,599,655,760,304,217,628,243,510,1297,1136,628,290,334,80,37.8,36.3,40.0,41.0,39.4,42.3,31.0,29.2,32.6,38.7,38.9,15.8,32.9,39.5,30.9,.,.,.,24.8,24.0,44.1,17.3,17.4,17.1,44.0,41.9,45.8,32.9,32.0,34.0,74152
40,FL,12,,,,,040E2US12,Florida -- In micropolitan statistical area -- not in principal city,283732,151202,8744,8620,8998,5690,3735,2417,2140,5869,9880,9038,8271,9763,9653,11005,10537,4244,5709,3247,5602,7594,5289,3066,2091,132530,7725,7862,7928,4582,2800,1346,1332,4161,7750,7085,6881,7893,8326,9871,10364,3470,6160,3993,4839,7092,4936,3257,2877,239816,125676,7039,6691,6969,4612,2781,7736,7987,7096,14480,17300,17895,15281,7841,1968,114140,6412,6413,6466,3714,2355,5704,6452,5601,12718,15972,17671,14620,7339,2703,27875,16590,739,1089,1186,813,682,1843,1351,1150,2331,2458,1731,809,347,61,11285,815,726,757,506,232,756,786,845,1279,1568,1469,870,528,148,1598,855,100,20,95,50,28,49,36,56,202,91,82,42,2,2,743,39,47,40,15,20,40,12,85,159,42,138,49,35,22,1917,824,36,60,77,38,6,77,42,137,99,114,87,39,12,0,1093,43,21,22,55,19,12,5,87,177,202,219,146,85,0,176,61,11,11,0,0,0,0,16,0,23,0,0,0,0,0,115,0,11,10,0,0,0,30,0,0,33,0,31,0,0,7553,4404,505,287,378,135,138,557,378,458,625,399,338,95,63,48,3149,286,349,359,172,135,188,322,333,218,257,287,115,128,0,4797,2792,314,462,293,42,100,164,70,141,274,296,357,177,90,12,2005,130,295,274,120,39,139,143,134,223,123,210,93,78,4,185602,94707,4268,4024,4735,3068,1715,5082,4747,4651,9681,13548,15801,14049,7449,1889,90895,4056,3971,4323,2517,1431,4181,4403,4263,9169,13398,16035,13648,7030,2470,63923,36600,3406,3084,2761,1689,1301,3241,3722,3005,5675,4302,2499,1351,437,127,27323,2695,2867,2597,1443,1088,1816,2426,1701,3956,2968,1972,1103,458,233,42.6,41.3,44.3,44.6,43.6,45.8,33.9,32.7,36.7,36.3,34.7,38.9,42.4,33.6,49.2,28.9,25.9,54.2,27.7,28.3,27.1,25.3,28.0,25.1,50.1,49.4,50.7,28.0,28.8,27.0,283732
