SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,ID,16,,,,,04000US16,Idaho,1635483,819845,57990,63121,63203,36789,22642,11934,11537,35001,54240,54435,53019,48371,48507,51252,49215,20505,28359,18120,22862,27426,18939,12222,10156,815638,56073,59474,59972,34698,22205,11743,11277,30218,52734,52869,49177,49867,47933,52092,52611,20549,28525,17897,22612,30223,21033,15401,16455,1493155,747393,51064,56056,55549,32740,19939,51505,48390,49495,92271,92012,92585,65722,30206,9859,745762,49079,52888,53291,30195,19125,47241,48146,48001,90139,92568,95998,67623,35311,16157,10433,5978,411,277,533,369,222,770,666,401,797,779,450,157,141,5,4455,409,451,582,446,300,517,271,254,575,240,252,88,40,30,21454,10728,755,805,959,588,364,830,835,599,1437,1420,1237,616,203,80,10726,785,742,797,627,348,894,787,726,1257,1338,1351,740,253,81,21630,9434,483,596,571,434,172,985,906,1067,1435,1166,879,493,198,49,12196,466,701,873,489,465,835,878,1130,2191,1692,1206,761,409,100,2003,939,25,31,124,36,59,151,61,43,280,44,27,58,0,0,1064,26,131,106,23,97,176,46,104,145,58,98,35,16,3,44758,23273,2030,2247,2199,1336,1055,2204,1917,1675,3471,2761,1514,557,219,88,21485,2152,1981,2081,1336,938,2323,1449,1531,2837,2643,1358,670,166,20,42050,22100,3222,3109,3268,1286,831,2027,1465,1155,1699,1577,1387,805,194,75,19950,3156,2580,2242,1582,932,1252,1157,1123,1900,1486,1422,815,239,64,1355896,676566,43456,47705,48089,28552,17276,45036,42558,43598,82976,85496,88833,63541,29760,9690,679330,41393,44505,45979,26712,16897,41772,42547,42853,81384,86713,92482,65734,34378,15981,195589,101303,10895,11429,10747,6154,3889,9250,8408,7945,13319,9609,5699,2925,730,304,94286,10726,11364,10076,5516,3497,8359,7366,6997,12182,8813,5328,2650,1198,214,35.7,34.9,36.6,36.7,35.9,37.6,24.6,26.8,20.5,32.6,32.0,33.1,34.4,31.9,36.7,26.0,28.6,24.6,25.6,26.3,24.8,18.6,18.3,18.8,38.4,37.4,39.5,23.7,23.9,23.3,1635483
40,ID,16,,,,,04001US16,Idaho -- Urban,1165685,578825,43674,46400,44362,25605,16608,9581,9018,28227,43888,42003,38641,34976,33511,34398,31542,12243,17257,11236,13664,16051,11438,7712,6790,586860,42893,43636,42270,23630,16966,9255,9221,25270,43206,41162,35898,36513,33752,34540,33533,13607,18241,11507,14252,20252,14110,10734,12412,1057057,523848,37927,40893,38648,22445,14592,41183,39264,37908,66802,62336,57355,39373,18567,6555,533209,37542,38573,37107,20258,14486,38877,39230,37178,65694,62725,61317,43945,24055,12222,9408,5332,400,258,463,334,184,678,628,357,655,696,407,130,138,4,4076,386,441,506,390,236,506,257,252,500,235,229,77,31,30,10141,5028,335,301,381,277,184,402,442,305,769,655,619,220,88,50,5113,296,334,315,357,217,442,527,348,649,622,651,222,93,40,19122,8463,483,509,565,399,146,969,772,1023,1325,964,677,434,148,49,10659,433,649,637,431,356,810,863,1017,1804,1468,1079,677,374,61,1690,730,25,31,95,28,59,109,36,25,259,34,22,7,0,0,960,26,131,106,6,97,141,43,82,145,48,98,21,16,0,34750,17955,1734,1834,1609,1117,739,1711,1518,1459,2539,2113,1037,356,119,70,16795,1544,1524,1689,997,793,1873,1204,1376,2162,2006,1018,454,147,8,33517,17469,2770,2574,2601,1005,704,1774,1228,926,1268,1111,925,431,90,62,16048,2666,1984,1910,1191,781,1097,1082,909,1457,1188,989,615,128,51,952813,470735,31949,34574,33026,19260,12571,36006,34460,33579,59938,57727,54956,37944,18303,6442,482078,31388,31950,31701,17708,12816,34277,34667,33192,59164,58346,58857,42558,23362,12092,149771,76666,8804,8813,8060,4769,2867,7380,6819,6040,9800,6964,3813,1899,422,216,73105,8473,8924,7617,4167,2738,6935,5994,5622,9214,6654,3830,1883,916,138,33.5,32.6,34.5,34.5,33.5,35.5,24.5,26.7,21.0,32.4,33.7,31.4,33.6,31.4,36.3,24.9,28.3,24.5,25.3,25.8,24.9,18.1,17.5,18.6,36.1,35.0,37.1,23.1,23.2,23.1,1165685
40,ID,16,,,,,04043US16,Idaho -- Rural,469798,241020,14316,16721,18841,11184,6034,2353,2519,6774,10352,12432,14378,13395,14996,16854,17673,8262,11102,6884,9198,11375,7501,4510,3366,228778,13180,15838,17702,11068,5239,2488,2056,4948,9528,11707,13279,13354,14181,17552,19078,6942,10284,6390,8360,9971,6923,4667,4043,436098,223545,13137,15163,16901,10295,5347,10322,9126,11587,25469,29676,35230,26349,11639,3304,212553,11537,14315,16184,9937,4639,8364,8916,10823,24445,29843,34681,23678,11256,3935,1025,646,11,19,70,35,38,92,38,44,142,83,43,27,3,1,379,23,10,76,56,64,11,14,2,75,5,23,11,9,0,11313,5700,420,504,578,311,180,428,393,294,668,765,618,396,115,30,5613,489,408,482,270,131,452,260,378,608,716,700,518,160,41,2508,971,0,87,6,35,26,16,134,44,110,202,202,59,50,0,1537,33,52,236,58,109,25,15,113,387,224,127,84,35,39,313,209,0,0,29,8,0,42,25,18,21,10,5,51,0,0,104,0,0,0,17,0,35,3,22,0,10,0,14,0,3,10008,5318,296,413,590,219,316,493,399,216,932,648,477,201,100,18,4690,608,457,392,339,145,450,245,155,675,637,340,216,19,12,8533,4631,452,535,667,281,127,253,237,229,431,466,462,374,104,13,3902,490,596,332,391,151,155,75,214,443,298,433,200,111,13,403083,205831,11507,13131,15063,9292,4705,9030,8098,10019,23038,27769,33877,25597,11457,3248,197252,10005,12555,14278,9004,4081,7495,7880,9661,22220,28367,33625,23176,11016,3889,45818,24637,2091,2616,2687,1385,1022,1870,1589,1905,3519,2645,1886,1026,308,88,21181,2253,2440,2459,1349,759,1424,1372,1375,2968,2159,1498,767,282,76,42.3,41.8,42.8,43.4,42.9,43.9,25.8,33.4,18.8,32.7,30.5,34.5,40.9,48.0,38.5,28.9,30.1,25.5,26.3,28.5,24.5,22.5,25.0,19.9,45.1,44.6,45.7,25.8,26.9,24.7,469798
40,ID,16,,,,,040A0US16,Idaho -- In metropolitan or micropolitan statistical area,1497570,749131,54074,58713,58364,33765,21044,11175,10710,32822,50947,50992,49135,44507,44603,46394,43894,17995,25016,16115,19923,23125,16240,10658,8920,748439,52145,54873,55929,31994,20880,11119,10745,28440,49743,49638,45721,46110,44072,47225,46868,18486,25306,15750,19797,26867,18509,13524,14698,1365410,682272,47506,52186,51244,30052,18530,48252,45516,46258,85313,83951,81844,56924,26055,8641,683138,45586,48763,49666,27827,17941,44684,45323,44948,83437,84440,85482,59579,31023,14439,10185,5795,406,277,509,369,222,730,639,388,784,749,419,157,141,5,4390,404,451,578,444,300,517,271,254,553,225,252,79,32,30,18498,9142,659,611,842,482,320,730,772,544,1262,1151,1055,472,180,62,9356,643,675,683,528,329,814,737,672,1126,1124,1123,610,228,64,21054,9238,483,592,565,434,146,975,878,1039,1406,1158,863,489,161,49,11816,466,663,836,421,457,833,868,1125,2124,1683,1178,712,369,81,1914,897,25,31,124,36,59,147,61,25,264,44,27,54,0,0,1017,26,131,106,23,96,160,36,104,145,55,98,21,16,0,41466,21302,1891,2125,1954,1236,950,1974,1715,1633,3125,2548,1426,455,182,88,20164,1980,1811,1952,1279,902,2114,1400,1485,2707,2420,1308,620,166,20,39043,20485,3104,2891,3126,1156,817,1899,1366,1105,1488,1396,1271,612,179,75,18558,3040,2379,2108,1472,855,1182,1108,1050,1739,1350,1219,793,199,64,1236590,615813,40259,44295,44299,26093,15972,42143,40061,40745,76515,77851,78450,54986,25669,8475,620777,38405,40907,42753,24595,15800,39497,40087,40126,75175,78919,82282,57812,30127,14292,182952,94400,10316,10754,9959,5741,3675,8628,7783,7473,12409,8924,5254,2563,633,288,88552,10041,10599,9514,5170,3375,7824,6947,6610,11506,8223,4919,2478,1161,185,35.0,34.2,35.9,36.0,35.2,36.9,24.3,26.8,20.2,32.0,31.5,32.6,34.4,31.8,36.6,24.9,28.2,24.4,25.7,26.5,25.1,18.3,17.9,18.6,37.6,36.6,38.6,23.6,23.8,23.3,1497570
40,ID,16,,,,,040C0US16,Idaho -- In metropolitan statistical area,1086896,542347,38521,42081,43376,24867,14247,8041,7111,20168,36904,38075,37162,33435,33353,33983,31733,12844,18465,11604,14046,16821,11331,7688,6491,544549,36921,39743,41185,23483,13383,7700,7129,18597,36665,37133,34485,34720,33093,34720,34420,13401,18417,11630,14143,19828,13246,9637,10870,989372,492853,33649,37310,37727,21926,12744,30694,33070,34434,64199,62310,59192,40896,18388,6314,496519,32217,35368,36473,20407,11350,29431,33353,33604,62713,62853,62312,43545,22190,10703,7955,4600,340,258,435,309,111,461,449,284,711,574,379,144,141,4,3355,312,353,458,300,206,286,210,217,501,199,183,74,31,25,12967,6495,535,425,551,387,256,418,504,408,953,814,791,274,133,46,6472,510,380,501,363,186,650,470,472,789,816,747,405,134,49,16148,7309,358,362,451,349,81,728,695,911,1233,892,685,407,108,49,8839,335,491,616,300,250,616,613,757,1599,1363,1002,545,309,43,1426,645,13,31,99,22,25,122,19,9,236,26,27,16,0,0,781,15,102,87,17,77,139,36,92,108,15,72,21,0,0,28453,14186,1267,1473,1434,873,433,1387,1079,1112,2114,1628,968,286,83,49,14267,1312,1292,1328,942,672,1447,1044,1115,2017,1576,959,428,123,12,30575,16259,2359,2222,2679,1001,597,1510,1088,917,1151,1092,1000,448,166,29,14316,2220,1757,1722,1154,642,857,939,876,1478,991,963,583,96,38,908183,451215,29192,32547,33323,19395,11058,27107,29413,30869,58530,58552,57145,39725,18148,6211,456968,27712,30396,31967,18366,10082,26336,29912,30494,57462,59308,60361,42327,21642,10603,119094,60873,6551,6806,6700,3786,2286,5422,5190,4964,8068,5576,3401,1594,377,152,58221,6509,6867,6350,3428,2165,4925,4686,4484,7662,5351,3244,1725,695,130,35.5,34.7,36.4,36.5,35.7,37.4,26.3,29.4,20.8,32.3,32.3,32.4,35.9,32.6,38.9,24.6,28.6,24.2,25.7,26.2,25.4,18.2,17.7,18.8,37.8,36.9,38.9,23.6,23.8,23.4,1086896
40,ID,16,,,,,040C1US16,Idaho -- In metropolitan statistical area -- in principal city,412528,204774,13963,12784,14885,8652,5654,3757,2933,10626,17291,15299,14104,11924,12251,12408,11771,4959,6741,4301,5031,6085,3617,2823,2915,207754,13689,13374,12858,7529,5591,3363,3144,9595,16294,14215,13318,12493,12451,13244,13358,5308,6909,4109,5314,6815,5364,3963,5456,372118,184495,11844,10951,12906,7661,5058,15145,15154,13719,23439,22755,21970,14815,6235,2843,187623,11503,11905,11127,6377,4725,14411,14404,12683,23151,23837,23650,15465,8982,5403,4926,2664,164,220,280,227,79,261,388,110,301,260,235,34,105,0,2262,281,82,273,248,156,218,196,178,279,105,149,58,31,8,4432,2064,140,70,232,165,86,178,146,80,385,168,292,56,37,29,2368,151,91,207,151,108,105,228,231,345,300,355,72,16,8,9545,4387,289,231,283,125,21,425,471,588,758,563,226,339,54,14,5158,199,352,362,147,112,346,352,459,883,718,691,315,197,25,421,172,13,18,8,0,25,52,0,9,40,7,0,0,0,0,249,15,0,4,0,28,94,19,40,34,0,13,2,0,0,8389,4326,515,368,334,182,207,372,462,472,639,451,260,64,0,0,4063,441,395,205,316,183,381,524,214,503,394,333,99,75,0,12697,6666,998,926,842,292,178,883,670,321,466,455,488,109,9,29,6031,1099,549,680,290,279,547,571,410,616,341,384,227,26,12,349093,172707,10660,9934,11515,7177,4651,13846,13805,12587,21817,21802,21428,14492,6190,2803,176386,10354,10283,9789,5834,4389,13287,13349,11885,21844,22886,23096,15159,8844,5387,34699,17844,2068,1624,1865,736,668,1857,2020,1629,2327,1482,1032,451,45,40,16855,1946,2064,1637,964,629,1701,1750,1134,1904,1418,1062,409,221,16,35.1,33.8,36.4,36.2,34.9,37.6,24.8,26.2,21.9,33.5,32.0,33.6,35.1,32.5,38.4,24.1,22.3,24.4,25.9,27.9,25.4,20.6,20.5,20.6,37.3,36.0,38.8,24.3,25.2,23.3,412528
40,ID,16,,,,,040C2US16,Idaho -- In metropolitan statistical area -- not in principal city,674368,337573,24558,29297,28491,16215,8593,4284,4178,9542,19613,22776,23058,21511,21102,21575,19962,7885,11724,7303,9015,10736,7714,4865,3576,336795,23232,26369,28327,15954,7792,4337,3985,9002,20371,22918,21167,22227,20642,21476,21062,8093,11508,7521,8829,13013,7882,5674,5414,617254,308358,21805,26359,24821,14265,7686,15549,17916,20715,40760,39555,37222,26081,12153,3471,308896,20714,23463,25346,14030,6625,15020,18949,20921,39562,39016,38662,28080,13208,5300,3029,1936,176,38,155,82,32,200,61,174,410,314,144,110,36,4,1093,31,271,185,52,50,68,14,39,222,94,34,16,0,17,8535,4431,395,355,319,222,170,240,358,328,568,646,499,218,96,17,4104,359,289,294,212,78,545,242,241,444,516,392,333,118,41,6603,2922,69,131,168,224,60,303,224,323,475,329,459,68,54,35,3681,136,139,254,153,138,270,261,298,716,645,311,230,112,18,1005,473,0,13,91,22,0,70,19,0,196,19,27,16,0,0,532,0,102,83,17,49,45,17,52,74,15,59,19,0,0,20064,9860,752,1105,1100,691,226,1015,617,640,1475,1177,708,222,83,49,10204,871,897,1123,626,489,1066,520,901,1514,1182,626,329,48,12,17878,9593,1361,1296,1837,709,419,627,418,596,685,637,512,339,157,0,8285,1121,1208,1042,864,363,310,368,466,862,650,579,356,70,26,559090,278508,18532,22613,21808,12218,6407,13261,15608,18282,36713,36750,35717,25233,11958,3408,280582,17358,20113,22178,12532,5693,13049,16563,18609,35618,36422,37265,27168,12798,5216,84395,43029,4483,5182,4835,3050,1618,3565,3170,3335,5741,4094,2369,1143,332,112,41366,4563,4803,4713,2464,1536,3224,2936,3350,5758,3933,2182,1316,474,114,35.8,35.3,36.4,36.6,36.1,37.3,33.4,37.0,19.1,31.8,32.3,31.3,37.5,34.1,40.1,26.6,36.6,20.9,25.4,25.4,25.4,17.2,16.6,17.7,38.2,37.5,38.9,23.0,22.8,23.4,674368
40,ID,16,,,,,040E0US16,Idaho -- In micropolitan statistical area,410674,206784,15553,16632,14988,8898,6797,3134,3599,12654,14043,12917,11973,11072,11250,12411,12161,5151,6551,4511,5877,6304,4909,2970,2429,203890,15224,15130,14744,8511,7497,3419,3616,9843,13078,12505,11236,11390,10979,12505,12448,5085,6889,4120,5654,7039,5263,3887,3828,376038,189419,13857,14876,13517,8126,5786,17558,12446,11824,21114,21641,22652,16028,7667,2327,186619,13369,13395,13193,7420,6591,15253,11970,11344,20724,21587,23170,16034,8833,3736,2230,1195,66,19,74,60,111,269,190,104,73,175,40,13,0,1,1035,92,98,120,144,94,231,61,37,52,26,69,5,1,5,5531,2647,124,186,291,95,64,312,268,136,309,337,264,198,47,16,2884,133,295,182,165,143,164,267,200,337,308,376,205,94,15,4906,1929,125,230,114,85,65,247,183,128,173,266,178,82,53,0,2977,131,172,220,121,207,217,255,368,525,320,176,167,60,38,488,252,12,0,25,14,34,25,42,16,28,18,0,38,0,0,236,11,29,19,6,19,21,0,12,37,40,26,0,16,0,13013,7116,624,652,520,363,517,587,636,521,1011,920,458,169,99,39,5897,668,519,624,337,230,667,356,370,690,844,349,192,43,8,8468,4226,745,669,447,155,220,389,278,188,337,304,271,164,13,46,4242,820,622,386,318,213,325,169,174,261,359,256,210,103,26,328407,164598,11067,11748,10976,6698,4914,15036,10648,9876,17985,19299,21305,15261,7521,2264,163809,10693,10511,10786,6229,5718,13161,10175,9632,17713,19611,21921,15485,8485,3689,63858,33527,3765,3948,3259,1955,1389,3206,2593,2509,4341,3348,1853,969,256,136,30331,3532,3732,3164,1742,1210,2899,2261,2126,3844,2872,1675,753,466,55,33.5,32.9,34.3,34.5,33.7,35.3,22.4,24.9,19.3,31.0,29.8,32.8,31.0,28.1,32.1,28.5,28.0,35.1,25.8,26.6,24.3,18.3,18.6,17.8,36.6,35.7,37.7,23.5,23.7,23.3,410674
40,ID,16,,,,,040E1US16,Idaho -- In micropolitan statistical area -- in principal city,150431,74831,6088,6273,4816,2653,3068,1426,2235,7726,6769,5608,4065,3704,3215,3507,3723,1257,1680,1039,1356,1657,1430,827,709,75600,6206,5112,4609,2633,4573,1977,2283,6060,6179,5159,3659,3859,3298,3942,3265,1559,1694,935,1642,2074,1837,1354,1691,137041,68153,5458,5535,4367,2414,2588,10471,5972,5034,7145,6157,6251,3908,2177,676,68888,5487,4637,4014,2196,4063,9491,5595,4642,6997,6486,6165,4381,3048,1686,1328,807,23,0,55,14,73,180,142,100,44,130,34,12,0,0,521,28,51,83,67,43,116,61,35,13,19,0,0,0,5,1477,624,21,62,55,16,10,75,127,53,54,69,44,15,23,0,853,52,97,11,81,90,42,89,40,102,115,52,48,34,0,3280,1405,101,188,79,77,55,201,152,97,100,141,129,69,16,0,1875,99,133,91,82,207,183,206,253,217,145,117,108,34,0,202,86,0,0,0,0,34,16,9,0,24,3,0,0,0,0,116,0,0,0,0,19,19,0,0,10,37,15,0,16,0,3550,2042,215,202,68,54,144,205,240,217,333,162,147,14,41,0,1508,120,78,206,86,49,239,117,93,116,246,124,0,34,0,3553,1714,270,286,192,78,164,239,127,107,69,60,55,34,0,33,1839,420,116,204,121,102,230,111,96,63,192,45,114,25,0,121570,60305,4471,4523,3488,2024,2295,9431,5444,4392,6085,5644,6005,3736,2129,638,61265,4563,3707,3568,1915,3625,8424,4907,3967,6150,5843,5775,4300,2879,1642,20394,10516,1320,1264,1023,519,492,1262,859,859,1444,711,406,197,89,71,9878,1122,1120,680,551,545,1371,838,781,1035,940,534,81,236,44,27.6,26.7,28.5,28.1,27.1,29.1,23.4,25.9,19.6,28.3,28.4,28.1,26.7,26.0,28.5,35.4,20.6,47.3,26.1,26.7,24.8,18.6,18.3,19.3,29.1,28.2,29.9,23.2,22.6,24.1,150431
40,ID,16,,,,,040E2US16,Idaho -- In micropolitan statistical area -- not in principal city,260243,131953,9465,10359,10172,6245,3729,1708,1364,4928,7274,7309,7908,7368,8035,8904,8438,3894,4871,3472,4521,4647,3479,2143,1720,128290,9018,10018,10135,5878,2924,1442,1333,3783,6899,7346,7577,7531,7681,8563,9183,3526,5195,3185,4012,4965,3426,2533,2137,238997,121266,8399,9341,9150,5712,3198,7087,6474,6790,13969,15484,16401,12120,5490,1651,117731,7882,8758,9179,5224,2528,5762,6375,6702,13727,15101,17005,11653,5785,2050,902,388,43,19,19,46,38,89,48,4,29,45,6,1,0,1,514,64,47,37,77,51,115,0,2,39,7,69,5,1,0,4054,2023,103,124,236,79,54,237,141,83,255,268,220,183,24,16,2031,81,198,171,84,53,122,178,160,235,193,324,157,60,15,1626,524,24,42,35,8,10,46,31,31,73,125,49,13,37,0,1102,32,39,129,39,0,34,49,115,308,175,59,59,26,38,286,166,12,0,25,14,0,9,33,16,4,15,0,38,0,0,120,11,29,19,6,0,2,0,12,27,3,11,0,0,0,9463,5074,409,450,452,309,373,382,396,304,678,758,311,155,58,39,4389,548,441,418,251,181,428,239,277,574,598,225,192,9,8,4915,2512,475,383,255,77,56,150,151,81,268,244,216,130,13,13,2403,400,506,182,197,111,95,58,78,198,167,211,96,78,26,206837,104293,6596,7225,7488,4674,2619,5605,5204,5484,11900,13655,15300,11525,5392,1626,102544,6130,6804,7218,4314,2093,4737,5268,5665,11563,13768,16146,11185,5606,2047,43464,23011,2445,2684,2236,1436,897,1944,1734,1650,2897,2637,1447,772,167,65,20453,2410,2612,2484,1191,665,1528,1423,1345,2809,1932,1141,672,230,11,37.7,37.0,38.3,38.7,38.0,39.7,20.3,21.5,19.0,32.8,31.0,34.3,38.1,37.8,38.3,28.3,28.6,15.2,25.7,26.6,23.7,17.9,21.0,17.2,42.0,41.0,42.8,23.7,24.5,22.6,260243
