SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,IL,17,,,,,04000US17,Illinois,12851684,6310460,403373,423475,433141,265587,177077,93019,92459,271599,451382,444848,416098,418066,425138,447134,418778,155332,206225,120685,149494,192932,130990,93075,80553,6541224,386832,406002,417184,255035,167960,88219,90762,261676,440623,443426,417582,420620,433245,462938,444516,166337,221899,135306,170843,230977,173922,137340,167980,9270907,4575085,263301,279339,290788,179893,118268,306110,313885,314731,591388,662138,619816,377792,186725,70911,4695822,252377,263364,277198,170938,111359,294515,302481,307048,579107,667280,641962,426584,255082,146527,1837612,863538,63049,63317,68045,44253,31018,79589,64983,57118,107290,111962,93767,49622,23248,6277,974074,60577,63281,66948,43352,29792,78476,68362,63888,125192,131304,118923,70008,38364,15607,29399,14886,731,1041,1265,581,424,1087,961,1011,2452,2234,1850,814,394,41,14513,834,1151,943,554,323,1107,870,1090,2028,2176,1793,1138,345,161,655799,316062,19807,20304,18262,11204,8560,23707,28071,29808,53662,39259,32005,21216,8380,1817,339737,18098,19709,19241,10855,7651,23655,28936,32298,58261,44285,38338,24285,10614,3511,4186,2313,202,188,32,31,9,289,271,163,400,291,257,113,28,39,1873,72,116,105,83,141,187,82,253,337,268,115,82,18,14,753559,390049,32107,36089,35575,19849,12782,33531,33105,34343,66171,45949,25891,10045,3639,973,363510,30515,36809,34331,19667,11940,30367,29368,30041,58895,39911,24468,10819,4920,1459,300222,148527,24176,23197,19174,9776,6016,12764,10106,7674,12801,10439,6749,3509,1651,495,151695,24359,21572,18418,9586,6754,12350,10524,8808,14382,10959,7153,4210,1919,701,7996856,3924960,205384,216264,229273,145073,95425,252910,261673,260611,491971,589071,574319,356705,177916,68365,4071896,195099,202467,220316,137495,89752,243214,255653,257521,486465,598314,597900,402450,243242,142008,2136474,1095509,98860,107451,103646,58155,37975,91289,89248,91551,171324,122998,73932,32302,13096,3682,1040965,95957,105393,98067,56284,35720,85798,79940,82773,157053,113231,71075,36331,17232,6111,37.4,36.1,38.7,40.1,38.8,41.4,33.9,31.5,35.9,36.9,36.4,37.8,35.6,34.7,36.6,33.7,33.7,34.0,28.4,28.8,28.1,18.0,17.4,18.6,42.6,41.1,44.0,27.7,27.8,27.7,12851684
40,IL,17,,,,,04001US17,Illinois -- Urban,11397206,5568770,364735,378243,384646,234079,159956,84572,84626,246469,413132,405156,374793,373486,372865,386230,358028,131649,174395,101104,124264,159359,108478,78679,69826,5828436,350602,364692,370579,226670,154114,80872,83456,240404,406810,406692,379241,378515,382511,403168,385188,143875,191732,115985,145974,197384,150322,120208,149442,7877320,3868280,227080,236618,244883,149930,102298,267714,278670,277847,510507,553877,506955,301115,150466,60320,4009040,218532,224695,233424,144056,98443,260131,269832,271839,501541,559877,532817,350449,215057,128347,1813033,846743,62606,62733,67390,43832,30449,77714,62986,55197,104419,109309,92015,48924,22948,6221,966290,60174,62862,66338,43001,29446,77897,68026,63313,124468,130164,117830,69396,38028,15347,27005,13612,655,974,1211,524,415,1065,949,967,2268,2005,1563,656,333,27,13393,748,1057,870,508,304,1087,809,1035,1932,2011,1569,1014,308,141,647415,312522,19597,19951,17929,10992,8511,23528,27898,29582,52941,38844,31614,21025,8293,1817,334893,17813,19411,18826,10712,7586,23476,28629,31938,57403,43610,37645,23871,10484,3489,3852,2092,188,183,28,31,7,253,266,148,378,251,224,70,28,37,1760,68,116,105,83,141,168,82,233,317,246,101,79,7,14,746905,386634,31869,35795,35295,19714,12617,33285,32743,34046,65715,45456,25574,9933,3619,973,360271,30297,36358,33928,19453,11829,30094,29202,29852,58434,39453,24276,10727,4909,1459,281676,138887,22740,21989,17910,9056,5659,12108,9620,7369,12051,9353,6127,3004,1470,431,142789,22970,20193,17088,8857,6365,11879,10230,8482,13661,10318,6557,3807,1737,645,6631949,3233841,170406,175105,185173,116011,80060,215854,227193,225181,413335,482831,462568,280419,141898,57807,3398108,162528,165270,177932,111443,77217,209738,223722,223160,410737,492330,489809,326825,203463,123934,2098334,1075093,97165,105422,101424,56966,37142,89622,88069,89752,168543,120260,72468,31783,12828,3649,1023241,94138,103237,96008,55115,35178,84506,78953,81660,154712,111269,69798,35693,16970,6004,36.7,35.4,38.0,39.3,37.9,40.6,33.9,31.4,35.9,35.9,35.2,36.9,35.6,34.7,36.5,33.3,33.3,33.0,28.5,28.8,28.1,18.0,17.3,18.7,42.0,40.4,43.5,27.8,27.8,27.7,11397206
40,IL,17,,,,,04043US17,Illinois -- Rural,1454478,741690,38638,45232,48495,31508,17121,8447,7833,25130,38250,39692,41305,44580,52273,60904,60750,23683,31830,19581,25230,33573,22512,14396,10727,712788,36230,41310,46605,28365,13846,7347,7306,21272,33813,36734,38341,42105,50734,59770,59328,22462,30167,19321,24869,33593,23600,17132,18538,1393587,706805,36221,42721,45905,29963,15970,38396,35215,36884,80881,108261,112861,76677,36259,10591,686782,33845,38669,43774,26882,12916,34384,32649,35209,77566,107403,109145,76135,40025,18180,24579,16795,443,584,655,421,569,1875,1997,1921,2871,2653,1752,698,300,56,7784,403,419,610,351,346,579,336,575,724,1140,1093,612,336,260,2394,1274,76,67,54,57,9,22,12,44,184,229,287,158,61,14,1120,86,94,73,46,19,20,61,55,96,165,224,124,37,20,8384,3540,210,353,333,212,49,179,173,226,721,415,391,191,87,0,4844,285,298,415,143,65,179,307,360,858,675,693,414,130,22,334,221,14,5,4,0,2,36,5,15,22,40,33,43,0,2,113,4,0,0,0,0,19,0,20,20,22,14,3,11,0,6654,3415,238,294,280,135,165,246,362,297,456,493,317,112,20,0,3239,218,451,403,214,111,273,166,189,461,458,192,92,11,0,18546,9640,1436,1208,1264,720,357,656,486,305,750,1086,622,505,181,64,8906,1389,1379,1330,729,389,471,294,326,721,641,596,403,182,56,1364907,691119,34978,41159,44100,29062,15365,37056,34480,35430,78636,106240,111751,76286,36018,10558,673788,32571,37197,42384,26052,12535,33476,31931,34361,75728,105984,108091,75625,39779,18074,38140,20416,1695,2029,2222,1189,833,1667,1179,1799,2781,2738,1464,519,268,33,17724,1819,2156,2059,1169,542,1292,987,1113,2341,1962,1277,638,262,107,44.3,43.3,45.3,44.9,44.0,45.8,35.7,34.8,37.7,49.4,50.4,45.6,37.5,35.8,39.3,46.1,46.5,41.5,26.8,29.3,24.3,17.6,19.1,16.5,45.3,44.5,46.2,26.0,26.9,24.3,1454478
40,IL,17,,,,,040A0US17,Illinois -- In metropolitan or micropolitan statistical area,12240398,6000059,386431,404974,413950,253451,169966,89025,88517,259741,432274,425280,396875,398815,404313,423852,395991,146759,194009,113324,139862,179814,121565,86473,74798,6240339,370387,388806,398439,243785,162040,85106,87587,251680,424867,426661,401580,403044,414586,440924,421811,157739,210052,127400,160495,216444,162214,128467,156225,8697032,4290378,247582,261863,272610,168704,112042,289383,297617,298063,557811,621931,578268,348347,170970,65187,4406654,237013,247190,259842,160354,105854,278966,287602,291107,546797,627818,599927,394397,234829,134958,1816010,845898,62776,63052,67770,43920,30500,77025,62725,54765,103370,108974,92349,49304,23109,6259,970112,60284,63013,66595,43127,29726,78153,68120,63499,124780,130921,118432,69773,38217,15472,28362,14366,704,1000,1251,550,424,1063,926,989,2379,2176,1767,738,365,34,13996,803,1115,921,548,306,1099,802,1071,2004,2055,1706,1078,338,150,652740,314796,19696,20248,18182,11088,8494,23623,27984,29737,53379,39151,31859,21180,8358,1817,337944,17953,19609,19098,10799,7636,23610,28746,32174,57944,44052,38108,24151,10554,3510,3996,2220,177,188,28,31,9,289,270,154,399,268,245,95,28,39,1776,72,108,105,83,141,163,82,253,325,249,101,73,7,14,749820,387896,31873,35909,35326,19784,12675,33373,32871,34107,65823,45782,25793,9968,3639,973,361924,30420,36633,34068,19562,11918,30298,29199,29923,58600,39783,24396,10759,4918,1447,292438,144505,23623,22714,18783,9374,5822,12527,9881,7465,12529,9883,6478,3368,1569,489,147933,23842,21138,17810,9312,6459,12084,10316,8634,14174,10632,6932,4108,1818,674,7435413,3647654,190017,199375,211811,134170,89536,236955,246102,244852,459620,549741,533178,327394,162251,62652,3787759,180337,186775,203404,127197,84406,228218,241090,241877,454799,559356,556232,370470,223061,130537,2118753,1085087,98183,106573,102660,57664,37508,90300,88212,90372,169653,121794,73404,32087,13006,3671,1033666,95132,104630,97242,55844,35525,85080,79402,82284,156119,112557,70624,36066,17160,6001,37.2,35.9,38.5,39.9,38.6,41.1,33.9,31.3,36.0,36.6,36.1,37.3,35.6,34.7,36.6,33.5,33.6,33.1,28.5,28.8,28.1,17.9,17.3,18.6,42.5,41.0,43.9,27.7,27.8,27.7,12240398
40,IL,17,,,,,040C0US17,Illinois -- In metropolitan statistical area,11355718,5558350,361692,377767,386462,236437,157807,81968,81934,240503,404813,398246,370583,372357,375594,391279,364425,134552,176585,102991,127074,162487,108203,77692,66899,5797368,347051,363662,371386,227461,150231,78142,81423,235081,400643,402056,377282,378471,386873,408663,389174,145883,192838,116467,146325,196528,146354,115951,139423,7881011,3887029,225607,237358,247695,153132,101762,261418,273874,274195,510870,565261,519852,309138,149446,57421,3993982,216579,225000,235703,145584,95905,252456,265219,268217,501555,570936,540516,350756,207121,118435,1780323,824083,61771,61878,66860,43392,29533,73592,60326,52631,99746,105979,90851,48627,22725,6172,956240,59250,61943,65737,42484,28636,76298,67094,62670,123029,129475,117430,69069,37816,15309,26776,13597,677,993,1201,536,356,1053,865,964,2272,2011,1642,676,325,26,13179,706,1077,874,530,294,993,795,1027,1940,1940,1550,1016,320,117,646141,311939,19490,20086,17959,10958,8366,23326,27816,29446,52897,38781,31635,21038,8324,1817,334202,17744,19383,18745,10702,7496,23250,28464,31845,57325,43589,37731,23960,10483,3485,3574,1908,174,183,28,31,9,233,176,151,373,244,146,95,28,37,1666,68,108,105,83,141,134,82,238,287,249,96,60,7,8,741462,383301,31590,35718,35075,19549,12361,33012,32400,33650,64886,45265,25354,9859,3609,973,358161,30151,36177,33653,19377,11737,29979,28960,29738,58082,39252,24120,10622,4889,1424,276431,136493,22383,21551,17644,8839,5420,11771,9356,7209,11896,9332,6082,3119,1438,453,139938,22553,19974,16569,8701,6022,11536,10029,8321,13535,10095,6452,3837,1669,645,6650071,3261226,169673,176768,188672,119425,79885,210574,223594,222337,415286,494644,475832,288730,140893,54913,3388845,161186,166070,180592,113230,75142,203081,219473,219961,411460,503712,497785,327434,195555,114164,2076353,1061812,96077,104282,100447,56524,36479,88083,86272,88493,165976,119585,71796,31372,12782,3644,1014541,93412,102535,95155,54778,34602,83197,78301,81056,153536,110644,69304,35291,16918,5812,36.9,35.6,38.2,39.6,38.3,40.8,34.0,31.3,36.1,36.3,35.7,37.0,35.7,34.7,36.6,33.5,33.6,32.9,28.4,28.7,28.1,18.0,17.3,18.7,42.3,40.9,43.7,27.8,27.8,27.8,11355718
40,IL,17,,,,,040C1US17,Illinois -- In metropolitan statistical area -- in principal city,4217690,2050515,139949,131038,126412,77837,61099,33039,34207,102798,188875,176239,149768,133729,129164,128407,120334,45063,59669,33713,41346,52452,36403,26462,22512,2167175,137288,127657,123047,73994,61894,33204,35655,105112,193683,178433,146832,136688,130241,134461,132549,49492,67360,39801,50265,67715,51067,40720,50017,2357011,1164824,67716,61367,57572,36643,31930,91262,114646,107530,164814,151445,140228,82462,40626,16583,1192187,66387,58794,56668,34333,32301,91832,113775,102400,152823,147798,145871,95535,57340,36330,1048266,479664,37100,36213,38063,23663,16092,42702,35846,30049,55820,61339,53990,29582,15072,4133,568602,36684,35441,36989,23683,16738,46664,41374,37725,69987,73933,69606,43573,25597,10608,11950,5810,364,312,375,239,173,596,478,336,861,947,688,261,154,26,6140,356,443,336,228,116,490,372,632,807,894,784,471,183,28,311555,151955,9182,8068,7783,4241,4987,14010,16776,17188,24951,17301,13877,8715,4031,845,159600,8621,7974,7314,4285,4460,14014,17534,17899,25967,18077,16344,10225,5131,1755,1330,730,49,39,0,13,7,70,87,62,170,125,36,29,18,25,600,32,30,41,41,20,58,42,114,95,60,40,22,5,0,369545,190133,15720,16963,16101,9828,5776,16265,16145,17215,31422,22753,13782,5268,2215,680,179412,15350,17444,15560,8540,6018,15433,14798,15060,27764,19739,13807,6225,2747,927,118033,57399,9818,8076,6518,3210,2134,5139,4897,3859,5459,3661,2465,1194,749,220,60634,9858,7531,6139,2884,2241,5480,5788,4603,6077,4201,2949,1730,784,369,1807275,885387,44545,37261,34592,22645,22260,67735,89935,83440,121649,119494,119007,71495,35913,15416,921888,43370,35121,33916,20952,22870,69499,91601,80188,112768,117968,125052,83339,51237,34007,966491,493278,42841,44609,41856,24910,16356,41710,42441,42754,76953,56532,36191,16898,7325,1902,473213,41709,44226,40959,23180,16418,39582,38934,38992,70106,51471,36038,19179,9089,3330,34.5,33.6,35.4,36.5,35.7,37.3,34.2,31.7,36.2,36.1,35.3,36.6,33.7,33.1,34.3,34.2,37.3,31.7,29.2,29.5,28.8,20.2,19.0,21.2,39.0,38.0,40.3,29.0,29.0,28.9,4217690
40,IL,17,,,,,040C2US17,Illinois -- In metropolitan statistical area -- not in principal city,7138028,3507835,221743,246729,260050,158600,96708,48929,47727,137705,215938,222007,220815,238628,246430,262872,244091,89489,116916,69278,85728,110035,71800,51230,44387,3630193,209763,236005,248339,153467,88337,44938,45768,129969,206960,223623,230450,241783,256632,274202,256625,96391,125478,76666,96060,128813,95287,75231,89406,5524000,2722205,157891,175991,190123,116489,69832,170156,159228,166665,346056,413816,379624,226676,108820,40838,2801795,150192,166206,179035,111251,63604,160624,151444,165817,348732,423138,394645,255221,149781,82105,732057,344419,24671,25665,28797,19729,13441,30890,24480,22582,43926,44640,36861,19045,7653,2039,387638,22566,26502,28748,18801,11898,29634,25720,24945,53042,55542,47824,25496,12219,4701,14826,7787,313,681,826,297,183,457,387,628,1411,1064,954,415,171,0,7039,350,634,538,302,178,503,423,395,1133,1046,766,545,137,89,334586,159984,10308,12018,10176,6717,3379,9316,11040,12258,27946,21480,17758,12323,4293,972,174602,9123,11409,11431,6417,3036,9236,10930,13946,31358,25512,21387,13735,5352,1730,2244,1178,125,144,28,18,2,163,89,89,203,119,110,66,10,12,1066,36,78,64,42,121,76,40,124,192,189,56,38,2,8,371917,193168,15870,18755,18974,9721,6585,16747,16255,16435,33464,22512,11572,4591,1394,293,178749,14801,18733,18093,10837,5719,14546,14162,14678,30318,19513,10313,4397,2142,497,158398,79094,12565,13475,11126,5629,3286,6632,4459,3350,6437,5671,3617,1925,689,233,79304,12695,12443,10430,5817,3781,6056,4241,3718,7458,5894,3503,2107,885,276,4842796,2375839,125128,139507,154080,96780,57625,142839,133659,138897,293637,375150,356825,217235,104980,39497,2466957,117816,130949,146676,92278,52272,133582,127872,139773,298692,385744,372733,244095,144318,80157,1109862,568534,53236,59673,58591,31614,20123,46373,43831,45739,89023,63053,35605,14474,5457,1742,541328,51703,58309,54196,31598,18184,43615,39367,42064,83430,59173,33266,16112,7829,2482,38.6,37.2,39.9,41.0,39.7,42.4,33.7,30.9,35.9,36.5,35.9,37.5,38.0,36.9,38.8,33.1,33.0,34.1,27.8,28.1,27.5,16.6,16.3,17.0,43.5,42.1,44.8,26.7,26.7,26.7,7138028
40,IL,17,,,,,040E0US17,Illinois -- In micropolitan statistical area,884680,441709,24739,27207,27488,17014,12159,7057,6583,19238,27461,27034,26292,26458,28719,32573,31566,12207,17424,10333,12788,17327,13362,8781,7899,442971,23336,25144,27053,16324,11809,6964,6164,16599,24224,24605,24298,24573,27713,32261,32637,11856,17214,10933,14170,19916,15860,12516,16802,816021,403349,21975,24505,24915,15572,10280,27965,23743,23868,46941,56670,58416,39209,21524,7766,412672,20434,22190,24139,14770,9949,26510,22383,22890,45242,56882,59411,43641,27708,16523,35687,21815,1005,1174,910,528,967,3433,2399,2134,3624,2995,1498,677,384,87,13872,1034,1070,858,643,1090,1855,1026,829,1751,1446,1002,704,401,163,1586,769,27,7,50,14,68,10,61,25,107,165,125,62,40,8,817,97,38,47,18,12,106,7,44,64,115,156,62,18,33,6599,2857,206,162,223,130,128,297,168,291,482,370,224,142,34,0,3742,209,226,353,97,140,360,282,329,619,463,377,191,71,25,422,312,3,5,0,0,0,56,94,3,26,24,99,0,0,2,110,4,0,0,0,0,29,0,15,38,0,5,13,0,6,8358,4595,283,191,251,235,314,361,471,457,937,517,439,109,30,0,3763,269,456,415,185,181,319,239,185,518,531,276,137,29,23,16007,8012,1240,1163,1139,535,402,756,525,256,633,551,396,249,131,36,7995,1289,1164,1241,611,437,548,287,313,639,537,480,271,149,29,785342,386428,20344,22607,23139,14745,9651,26381,22508,22515,44334,55097,57346,38664,21358,7739,398914,19151,20705,22812,13967,9264,25137,21617,21916,43339,55644,58447,43036,27506,16373,42400,23275,2106,2291,2213,1140,1029,2217,1940,1879,3677,2209,1608,715,224,27,19125,1720,2095,2087,1066,923,1883,1101,1228,2583,1913,1320,775,242,189,41.3,39.7,43.2,42.9,41.1,44.5,29.8,30.9,26.4,44.1,48.9,43.3,32.8,32.2,33.2,35.1,29.9,37.9,30.1,32.0,25.8,17.1,17.6,16.6,43.8,42.1,45.3,25.6,26.8,24.4,884680
40,IL,17,,,,,040E1US17,Illinois -- In micropolitan statistical area -- in principal city,330695,162470,9688,9904,9380,5324,5798,3605,3498,9430,12095,10729,9663,9034,9965,10713,10227,4170,5710,3264,4197,5257,4475,3144,3200,168225,9528,8993,9127,5610,6599,3968,3449,7969,10318,9636,8936,8207,9134,10817,11124,3690,5769,3811,4976,6815,6059,5251,8439,286855,138115,7625,8087,7855,4437,4517,13074,9855,8754,15250,17980,18388,11964,7201,3128,148740,7608,7130,7328,4623,5003,12812,9199,8691,15055,18021,19354,14725,10898,8293,25668,15239,905,974,659,455,774,2533,1404,1416,2318,1873,971,545,340,72,10429,816,757,595,525,1045,1603,678,525,1178,1007,684,578,327,111,575,247,0,0,25,0,41,0,2,10,40,88,28,13,0,0,328,22,21,35,15,9,33,0,18,32,77,37,16,13,0,3817,1731,137,96,93,22,95,257,96,167,297,239,146,81,5,0,2086,122,171,214,52,88,321,211,148,293,233,153,50,24,6,296,233,0,0,0,0,0,46,61,0,17,24,85,0,0,0,63,0,0,0,0,0,19,0,0,20,0,5,13,0,6,4773,2672,231,112,155,123,231,182,348,242,486,237,275,50,0,0,2101,144,268,262,80,138,238,92,94,196,332,137,82,15,23,8711,4233,790,635,593,287,140,441,329,140,289,237,214,65,73,0,4478,816,646,693,315,316,360,138,160,369,281,213,138,33,0,274286,130987,7137,7242,7283,4131,4234,12263,9315,8126,14054,17242,17950,11755,7142,3113,143299,7041,6595,6891,4320,4706,12097,8904,8362,14363,17603,18963,14458,10817,8179,19463,10942,849,1099,831,450,532,1209,1063,905,1774,1036,807,292,80,15,8521,808,892,922,421,483,1045,446,462,1002,853,563,373,107,144,37.7,35.8,40.0,40.3,38.3,43.0,28.1,29.7,24.4,42.5,50.2,42.1,28.9,33.0,26.5,38.6,35.6,40.3,25.9,28.9,23.5,16.0,16.4,15.7,41.2,39.2,43.8,25.4,27.4,23.4,330695
40,IL,17,,,,,040E2US17,Illinois -- In micropolitan statistical area -- not in principal city,553985,279239,15051,17303,18108,11690,6361,3452,3085,9808,15366,16305,16629,17424,18754,21860,21339,8037,11714,7069,8591,12070,8887,5637,4699,274746,13808,16151,17926,10714,5210,2996,2715,8630,13906,14969,15362,16366,18579,21444,21513,8166,11445,7122,9194,13101,9801,7265,8363,529166,265234,14350,16418,17060,11135,5763,14891,13888,15114,31691,38690,40028,27245,14323,4638,263932,12826,15060,16811,10147,4946,13698,13184,14199,30187,38861,40057,28916,16810,8230,10019,6576,100,200,251,73,193,900,995,718,1306,1122,527,132,44,15,3443,218,313,263,118,45,252,348,304,573,439,318,126,74,52,1011,522,27,7,25,14,27,10,59,15,67,77,97,49,40,8,489,75,17,12,3,3,73,7,26,32,38,119,46,5,33,2782,1126,69,66,130,108,33,40,72,124,185,131,78,61,29,0,1656,87,55,139,45,52,39,71,181,326,230,224,141,47,19,126,79,3,5,0,0,0,10,33,3,9,0,14,0,0,2,47,4,0,0,0,0,10,0,15,18,0,0,0,0,0,3585,1923,52,79,96,112,83,179,123,215,451,280,164,59,30,0,1662,125,188,153,105,43,81,147,91,322,199,139,55,14,0,7296,3779,450,528,546,248,262,315,196,116,344,314,182,184,58,36,3517,473,518,548,296,121,188,149,153,270,256,267,133,116,29,511056,255441,13207,15365,15856,10614,5417,14118,13193,14389,30280,37855,39396,26909,14216,4626,255615,12110,14110,15921,9647,4558,13040,12713,13554,28976,38041,39484,28578,16689,8194,22937,12333,1257,1192,1382,690,497,1008,877,974,1903,1173,801,423,144,12,10604,912,1203,1165,645,440,838,655,766,1581,1060,757,402,135,45,43.3,41.9,44.6,44.0,42.6,45.3,33.4,33.7,31.9,46.4,48.5,44.0,36.8,31.7,41.0,27.9,27.7,32.6,33.2,35.4,29.4,18.2,19.2,17.4,44.8,43.5,46.0,26.0,26.0,26.1,553985
