SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,IN,18,,,,,04000US18,Indiana,6589578,3245322,215031,227477,227010,139071,95685,51231,51327,143287,213314,210903,202924,208123,213177,228785,217747,81208,110018,67015,80389,102983,70263,47898,40456,3344256,204993,215528,219506,133376,90946,51154,50603,133666,211008,210483,202776,208221,214538,234785,230461,85070,115823,72956,92044,120459,91083,71002,83775,5534759,2728641,166225,177169,179653,111890,76179,196395,174202,173252,343394,385494,366977,230053,109810,37948,2806118,157930,166899,171884,106805,71761,190481,171092,171369,340496,388380,382479,258990,149369,78183,608226,292601,23898,25563,24622,15134,10018,27002,21413,20383,37564,35620,29120,14066,6303,1895,315625,22673,24016,24093,14864,9394,25221,23104,22499,41304,40116,35158,18894,9596,4693,15799,8085,431,581,442,161,324,550,459,686,1039,1319,1121,651,231,90,7714,142,574,546,355,265,494,330,384,1172,1412,1247,578,179,36,130232,63313,4393,4416,3589,2214,3205,9063,5876,6228,10024,7075,4018,2412,690,110,66919,3918,4538,4663,2370,3040,7058,5937,6460,11130,7989,5381,3031,1078,326,2746,1251,125,65,105,49,83,80,127,94,248,128,105,42,0,0,1495,141,214,170,62,35,88,176,71,177,203,92,47,19,0,151500,78708,6976,8007,8501,3971,2448,6690,6960,7200,13243,8370,4366,1316,356,304,72792,7862,8334,8013,3760,2726,5942,5759,6086,11026,6689,3663,1915,856,161,146316,72723,12983,11676,10098,5652,3428,6065,4277,3060,5535,3956,3266,1847,771,109,73593,12327,10953,10137,5160,3725,6139,4610,3614,5692,4534,3334,2004,988,376,5284680,2599204,153278,162494,166193,104843,70963,185605,164561,162817,323916,372816,359567,226574,108195,37382,2685476,145006,153056,158452,100045,67389,180705,162969,162202,323162,377643,374586,255399,147503,77359,429522,222524,23121,24933,23775,11836,8315,18425,17790,18403,33930,21697,12270,5151,2101,777,206998,22799,24115,23343,11455,7775,16681,14912,16275,29561,18657,12125,5479,2826,995,37.4,36.1,38.7,39.5,38.2,40.8,31.6,29.7,33.3,40.0,39.2,41.5,30.3,28.9,31.5,26.5,28.6,26.0,26.1,27.2,24.8,16.3,15.8,16.9,40.4,39.1,41.7,24.7,25.2,24.1,6589578
40,IN,18,,,,,04001US18,Indiana -- Urban,4797751,2331882,162244,166477,162361,96908,73678,40447,41110,112889,167920,162493,151030,150188,147660,154259,144853,54183,73468,43120,52855,65690,45572,32586,29891,2465869,158094,158957,158758,94583,72822,42122,41320,107480,168922,164428,152917,152467,151310,163478,159239,59116,80282,51114,63093,83926,63912,52565,64964,3798085,1845610,115959,119000,117855,71582,55216,147368,131203,127050,237662,249301,232874,142843,70208,27489,1952475,113070,112899,113819,69480,54554,147149,130340,126833,237884,257101,252365,173043,104390,59548,594886,283204,23487,25214,24027,14610,9734,25949,20415,19507,36030,34193,28306,13722,6145,1865,311682,22508,23742,23780,14624,9222,25063,22826,22150,40820,39516,34694,18661,9432,4644,11874,5950,418,382,309,132,260,472,376,521,895,894,673,400,191,27,5924,121,482,365,324,234,454,282,274,940,1000,870,419,128,31,121241,59868,4113,4095,3343,1987,3048,8790,5722,5974,9481,6482,3840,2206,677,110,61373,3703,4103,4206,2004,2861,6850,5685,6028,10049,7038,4870,2688,1033,255,2176,962,106,49,65,49,83,80,117,62,146,106,69,30,0,0,1214,132,170,125,62,35,88,142,53,163,142,66,33,3,0,142850,73790,6557,7489,8124,3786,2324,6416,6345,6765,12281,7822,4120,1120,341,300,69060,7532,7904,7785,3660,2605,5682,5365,5837,10554,6253,3161,1762,804,156,126639,62498,11604,10248,8638,4762,3013,5371,3742,2614,4723,3121,2622,1344,596,100,64141,11028,9657,8678,4429,3311,5636,4282,3253,4974,3738,2611,1527,687,330,3575336,1730454,104528,106052,105989,65389,50481,137703,122430,117575,220130,238013,226385,139846,68880,27053,1844882,101257,100774,102079,63480,50646,138179,122975,118705,222053,247734,245438,170016,102766,58780,390990,202010,20952,22477,21482,10647,7638,16964,16224,17005,30969,19720,11046,4445,1798,643,188980,21181,21756,21178,10424,7147,15589,13756,14985,27468,16759,10542,4734,2534,927,35.7,34.4,37.1,38.0,36.5,39.6,31.5,29.5,33.3,38.4,36.7,39.5,30.0,28.8,31.1,25.5,26.0,24.7,25.7,27.0,24.3,16.0,15.5,16.7,39.1,37.5,40.6,24.7,25.3,24.0,4797751
40,IN,18,,,,,04043US18,Indiana -- Rural,1791827,913440,52787,61000,64649,42163,22007,10784,10217,30398,45394,48410,51894,57935,65517,74526,72894,27025,36550,23895,27534,37293,24691,15312,10565,878387,46899,56571,60748,38793,18124,9032,9283,26186,42086,46055,49859,55754,63228,71307,71222,25954,35541,21842,28951,36533,27171,18437,18811,1736674,883031,50266,58169,61798,40308,20963,49027,42999,46202,105732,136193,134103,87210,39602,10459,853643,44860,54000,58065,37325,17207,43332,40752,44536,102612,131279,130114,85947,44979,18635,13340,9397,411,349,595,524,284,1053,998,876,1534,1427,814,344,158,30,3943,165,274,313,240,172,158,278,349,484,600,464,233,164,49,3925,2135,13,199,133,29,64,78,83,165,144,425,448,251,40,63,1790,21,92,181,31,31,40,48,110,232,412,377,159,51,5,8991,3445,280,321,246,227,157,273,154,254,543,593,178,206,13,0,5546,215,435,457,366,179,208,252,432,1081,951,511,343,45,71,570,289,19,16,40,0,0,0,10,32,102,22,36,12,0,0,281,9,44,45,0,0,0,34,18,14,61,26,14,16,0,8650,4918,419,518,377,185,124,274,615,435,962,548,246,196,15,4,3732,330,430,228,100,121,260,394,249,472,436,502,153,52,5,19677,10225,1379,1428,1460,890,415,694,535,446,812,835,644,503,175,9,9452,1299,1296,1459,731,414,503,328,361,718,796,723,477,301,46,1709344,868750,48750,56442,60204,39454,20482,47902,42131,45242,103786,134803,133182,86728,39315,10329,840594,43749,52282,56373,36565,16743,42526,39994,43497,101109,129909,129148,85383,44737,18579,38532,20514,2169,2456,2293,1189,677,1461,1566,1398,2961,1977,1224,706,303,134,18018,1618,2359,2165,1031,628,1092,1156,1290,2093,1898,1583,745,292,68,42.4,41.6,43.2,42.8,42.1,43.6,33.3,32.5,35.5,50.4,50.3,50.6,35.2,30.8,36.5,37.2,37.5,32.6,29.7,29.4,30.1,17.9,17.9,17.8,43.1,42.4,43.9,25.2,25.0,25.4,1791827
40,IN,18,,,,,040A0US18,Indiana -- In metropolitan or micropolitan statistical area,6128383,3015320,200555,212142,210092,128750,90137,48333,48631,135038,200562,197904,189926,193509,197912,211586,200873,74612,101450,61538,73418,93768,63636,43815,37133,3113063,191200,200330,204232,123612,85977,48711,47959,126187,198765,197640,189664,194358,199409,217713,213815,78352,107250,67251,84312,110449,83367,65250,77260,5089153,2506634,152434,162496,163599,101958,70849,183154,162231,160737,316865,353910,335737,208759,99262,34643,2582519,144801,152526,157383,97494,67120,178297,159440,159074,314305,357065,351231,235906,136134,71743,604620,290381,23849,25475,24541,15050,9948,26629,21181,20206,37141,35382,28858,13994,6242,1885,314239,22620,23955,24022,14772,9343,25115,22951,22351,41171,39866,35071,18803,9543,4656,14907,7683,415,549,431,158,324,544,427,635,1007,1282,983,614,224,90,7224,123,541,541,355,256,482,275,344,1149,1283,1147,526,166,36,128729,62778,4317,4411,3565,2207,3197,9010,5802,6178,9962,6987,4002,2381,649,110,65951,3914,4496,4608,2237,3033,7058,5880,6285,10970,7850,5256,2988,1057,319,2576,1126,125,65,105,49,83,61,106,94,196,95,105,42,0,0,1450,141,214,150,49,35,88,176,71,177,191,92,47,19,0,147941,76777,6814,7806,8302,3876,2435,6622,6649,7065,12913,8098,4284,1277,336,300,71164,7710,8131,7881,3723,2632,5890,5566,5950,10802,6564,3499,1843,812,161,140457,69941,12601,11340,9549,5452,3301,5982,4166,2989,5351,3744,2966,1657,738,105,70516,11891,10467,9647,4982,3558,5927,4477,3565,5448,4303,3121,1899,886,345,4846295,2380778,139961,148239,150536,95063,65740,172752,152871,150692,297836,341457,328462,205336,97668,34165,2465517,132443,139139,144306,90986,62872,168732,151542,150311,297271,346639,343559,232466,134309,70942,417967,216537,22476,24193,22982,11580,8178,17956,17163,17874,33152,21172,12020,5050,2056,685,201430,22042,23418,22752,11130,7546,16383,14524,15742,29018,18222,11697,5256,2735,965,37.2,35.9,38.4,39.4,38.1,40.7,31.5,29.6,33.3,39.7,39.1,41.3,30.2,28.9,31.4,26.4,26.8,26.1,26.0,27.1,24.6,16.3,15.8,16.9,40.3,38.9,41.6,24.7,25.3,24.1,6128383
40,IN,18,,,,,040C0US18,Indiana -- In metropolitan statistical area,5119962,2513346,168998,177227,176137,106716,75481,40866,41717,114475,171225,168170,160363,161688,164438,174799,165538,61534,82744,49788,59769,75493,50706,35218,30256,2606616,161362,168483,170676,102562,72613,41517,41329,108305,171261,169410,160657,163913,166999,181141,177191,65833,88150,55286,68922,89151,67068,52262,62525,4141018,2037624,123889,130790,132835,81844,57745,151650,135074,133308,259825,287280,271080,166350,78053,27901,2103394,117570,123303,126689,78170,55209,148613,133394,132523,258423,291052,285054,188609,107556,57229,585995,279544,23245,24865,23714,14477,9197,25422,20464,19357,35811,33905,27730,13542,6054,1761,306451,22089,23387,23485,14375,8722,24339,22606,21925,40300,38854,34321,18327,9190,4531,12506,6278,404,473,396,123,286,350,381,554,816,1029,709,469,198,90,6228,115,483,426,338,229,436,232,309,1028,1060,990,416,146,20,121629,59641,4071,4235,3322,2113,3089,8787,5696,5809,9138,6653,3795,2213,610,110,61988,3699,4190,4270,2093,2795,6860,5630,5941,10258,7228,4909,2765,1031,319,2328,1024,125,41,89,36,76,54,105,90,191,82,105,30,0,0,1304,134,198,135,38,35,88,165,55,165,147,92,33,19,0,131544,67507,5770,6728,7343,3325,2222,5680,5900,6466,11380,7130,3834,1128,306,295,64037,7037,7397,7026,3100,2394,5335,5151,5481,9512,5912,3131,1671,729,161,124942,61728,11494,10095,8438,4798,2866,5115,3605,2586,4890,3158,2563,1318,703,99,63214,10718,9525,8645,4448,3229,5480,4083,3176,4884,3887,2677,1538,659,265,3927992,1927205,113017,118604,121260,75768,53302,142523,126820,124758,242894,276272,264608,163259,76633,27487,2000787,106781,111670,115446,72604,51702,140099,126419,124869,243460,281588,278268,185450,105926,56505,368471,190179,19559,20757,20296,10118,7232,15611,15102,15688,29464,18658,10719,4511,1848,616,178292,19463,20616,19887,9500,6499,14649,13143,14026,25580,16441,10400,4750,2450,888,36.7,35.5,37.9,39.1,37.8,40.4,31.6,29.6,33.3,39.3,38.2,40.6,30.0,28.5,31.2,26.3,28.2,25.6,26.2,27.5,24.7,16.1,15.5,16.8,40.0,38.7,41.3,25.0,25.5,24.5,5119962
40,IN,18,,,,,040C1US18,Indiana -- In metropolitan statistical area -- in principal city,2170246,1050362,76877,73145,69108,41095,37523,21379,22444,58654,85829,76474,65830,63507,62182,67192,61846,23761,31735,18249,21968,26310,18601,13306,13347,1119884,73725,71066,67238,39727,38158,22500,23029,58389,89248,76824,67801,64259,64791,71379,70826,25720,34663,21795,26411,34830,26483,22470,28552,1508903,732622,45673,42495,41384,24756,25210,70835,60966,53179,90223,95496,91155,53463,26213,11574,776281,44269,41963,38716,23662,26024,73367,61896,52064,88524,97376,98631,65444,40002,24343,444068,207766,18467,18402,17571,10788,6874,18771,14849,13971,24904,24980,21166,10724,4830,1469,236302,16638,17541,17662,10679,6894,19826,17926,16282,29964,30005,26708,14485,7856,3836,5890,2931,239,255,182,70,136,169,162,282,493,412,275,163,66,27,2959,30,323,183,107,72,275,147,150,572,416,473,130,66,15,75106,38228,2602,2607,1935,1230,2476,6356,4179,4030,5549,3676,2068,1074,381,65,36878,2199,2457,2345,1252,2048,4678,3947,3741,5595,3853,2646,1491,482,144,1410,545,106,32,45,25,29,54,70,26,78,26,26,28,0,0,865,118,158,61,38,35,71,142,24,122,45,42,9,0,0,65658,34382,3272,4041,3439,1802,1064,3002,3304,3575,5436,3307,1503,358,119,160,31276,4016,3278,3889,1537,1315,2453,2720,2653,4476,2525,1493,680,211,30,69211,33888,6518,5313,4552,2424,1734,3290,2299,1411,2654,1477,1149,717,298,52,35323,6455,5346,4382,2452,1770,3248,2470,1910,2807,1950,1216,797,336,184,1398588,675729,39599,35758,34957,21774,22817,65956,56498,48406,81862,90264,88374,52305,25709,11450,722859,37878,35421,32899,20751,23938,68593,57892,47615,80599,93180,96229,64213,39572,24079,186165,96387,10899,11322,10317,5059,3701,8270,8188,8431,14431,8845,4427,1676,644,177,89778,11069,10436,10501,4758,3652,7710,7141,7510,12867,7349,4005,1807,675,298,33.7,32.5,35.0,36.4,35.2,37.8,31.5,29.4,33.4,36.5,34.5,38.6,28.2,27.1,29.1,22.8,22.7,22.8,24.8,26.0,23.0,16.1,15.7,16.6,37.8,36.3,39.4,23.4,24.1,22.7,2170246
40,IN,18,,,,,040C2US18,Indiana -- In metropolitan statistical area -- not in principal city,2949716,1462984,92121,104082,107029,65621,37958,19487,19273,55821,85396,91696,94533,98181,102256,107607,103692,37773,51009,31539,37801,49183,32105,21912,16909,1486732,87637,97417,103438,62835,34455,19017,18300,49916,82013,92586,92856,99654,102208,109762,106365,40113,53487,33491,42511,54321,40585,29792,33973,2632115,1305002,78216,88295,91451,57088,32535,80815,74108,80129,169602,191784,179925,112887,51840,16327,1327113,73301,81340,87973,54508,29185,75246,71498,80459,169899,193676,186423,123165,67554,32886,141927,71778,4778,6463,6143,3689,2323,6651,5615,5386,10907,8925,6564,2818,1224,292,70149,5451,5846,5823,3696,1828,4513,4680,5643,10336,8849,7613,3842,1334,695,6616,3347,165,218,214,53,150,181,219,272,323,617,434,306,132,63,3269,85,160,243,231,157,161,85,159,456,644,517,286,80,5,46523,21413,1469,1628,1387,883,613,2431,1517,1779,3589,2977,1727,1139,229,45,25110,1500,1733,1925,841,747,2182,1683,2200,4663,3375,2263,1274,549,175,918,479,19,9,44,11,47,0,35,64,113,56,79,2,0,0,439,16,40,74,0,0,17,23,31,43,102,50,24,19,0,65886,33125,2498,2687,3904,1523,1158,2678,2596,2891,5944,3823,2331,770,187,135,32761,3021,4119,3137,1563,1079,2882,2431,2828,5036,3387,1638,991,518,131,55731,27840,4976,4782,3886,2374,1132,1825,1306,1175,2236,1681,1414,601,405,47,27891,4263,4179,4263,1996,1459,2232,1613,1266,2077,1937,1461,741,323,81,2529404,1251476,73418,82846,86303,53994,30485,76567,70322,76352,161032,186008,176234,110954,50924,16037,1277928,68903,76249,82547,51853,27764,71506,68527,77254,162861,188408,182039,121237,66354,32426,182306,93792,8660,9435,9979,5059,3531,7341,6914,7257,15033,9813,6292,2835,1204,439,88514,8394,10180,9386,4742,2847,6939,6002,6516,12713,9092,6395,2943,1775,590,39.0,37.9,40.1,40.5,39.3,41.7,31.9,30.2,33.2,42.1,40.9,42.9,33.4,32.3,34.4,37.6,36.9,42.2,28.2,29.0,26.1,16.1,15.3,17.0,41.0,39.8,42.2,26.8,27.2,26.4,2949716
40,IN,18,,,,,040E0US18,Indiana -- In micropolitan statistical area,1008421,501974,31557,34915,33955,22034,14656,7467,6914,20563,29337,29734,29563,31821,33474,36787,35335,13078,18706,11750,13649,18275,12930,8597,6877,506447,29838,31847,33556,21050,13364,7194,6630,17882,27504,28230,29007,30445,32410,36572,36624,12519,19100,11965,15390,21298,16299,12988,14735,948135,469010,28545,31706,30764,20114,13104,31504,27157,27429,57040,66630,64657,42409,21209,6742,479125,27231,29223,30694,19324,11911,29684,26046,26551,55882,66013,66177,47297,28578,14514,18625,10837,604,610,827,573,751,1207,717,849,1330,1477,1128,452,188,124,7788,531,568,537,397,621,776,345,426,871,1012,750,476,353,125,2401,1405,11,76,35,35,38,194,46,81,191,253,274,145,26,0,996,8,58,115,17,27,46,43,35,121,223,157,110,20,16,7100,3137,246,176,243,94,108,223,106,369,824,334,207,168,39,0,3963,215,306,338,144,238,198,250,344,712,622,347,223,26,0,248,102,0,24,16,13,7,7,1,4,5,13,0,12,0,0,146,7,16,15,11,0,0,11,16,12,44,0,14,0,0,16397,9270,1044,1078,959,551,213,942,749,599,1533,968,450,149,30,5,7127,673,734,855,623,238,555,415,469,1290,652,368,172,83,0,15515,8213,1107,1245,1111,654,435,867,561,403,461,586,403,339,35,6,7302,1173,942,1002,534,329,447,394,389,564,416,444,361,227,80,918303,453573,26944,29635,29276,19295,12438,30229,26051,25934,54942,65185,63854,42077,21035,6678,464730,25662,27469,28860,18382,11170,28633,25123,25442,53811,65051,65291,47016,28383,14437,49496,26358,2917,3436,2686,1462,946,2345,2061,2186,3688,2514,1301,539,208,69,23138,2579,2802,2865,1630,1047,1734,1381,1716,3438,1781,1297,506,285,77,39.8,38.4,41.1,40.7,39.4,42.0,30.6,30.5,30.9,46.1,44.1,47.6,34.7,35.0,34.5,26.7,16.8,33.3,24.3,24.4,23.7,18.0,18.0,18.0,41.5,40.1,42.7,22.8,23.7,21.5,1008421
40,IN,18,,,,,040E1US18,Indiana -- In micropolitan statistical area -- in principal city,360002,172348,11777,11970,11377,6727,5821,3231,2673,8432,12028,11471,11134,10741,10696,10716,10441,4092,6109,3550,4465,5333,4070,2840,2654,187654,12418,11176,11387,6808,5612,3341,2897,7478,11531,11105,10952,10712,10707,11849,12481,4175,6477,4531,5618,7855,6371,5552,6621,323024,152653,9975,10092,9638,5774,4809,12184,10655,10164,19092,19093,19191,12762,6645,2579,170371,10727,9503,9615,5740,4747,12391,10598,9930,19399,20811,21787,17201,11475,6447,13735,7484,397,416,654,282,591,773,377,514,877,1098,905,352,176,72,6251,438,449,439,303,447,567,300,361,611,864,660,416,278,118,883,471,11,10,0,14,10,95,37,7,94,87,72,22,12,0,412,0,0,10,9,10,29,39,4,68,66,105,52,8,12,4167,2006,159,111,61,34,42,124,75,317,658,188,109,89,39,0,2161,169,164,188,41,145,132,147,242,412,239,177,84,21,0,149,67,0,17,9,13,7,7,0,4,0,10,0,0,0,0,82,0,0,11,11,0,0,0,8,10,42,0,0,0,0,10560,5820,580,622,648,394,130,641,508,332,907,698,280,52,28,0,4740,394,507,675,408,116,407,203,325,903,399,234,94,75,0,7484,3847,655,702,367,216,232,512,376,133,247,238,85,71,10,3,3637,690,553,449,296,147,190,244,235,261,135,170,157,66,44,308093,145196,9122,9044,8843,5456,4553,11627,10214,9353,17906,18516,18812,12655,6555,2540,162897,9704,8475,8771,5345,4336,11703,10190,9434,18358,20369,21380,17098,11339,6395,27579,14278,1627,1822,1547,787,434,1261,1092,1216,2145,1360,669,161,118,39,13301,1672,1765,1582,829,603,1183,639,938,2010,937,675,198,218,52,37.5,35.3,39.6,38.8,36.6,41.1,32.3,31.9,33.2,41.8,38.5,49.8,34.3,36.1,32.5,21.9,16.6,48.0,23.7,24.1,23.0,16.6,17.7,16.0,39.9,37.5,42.2,22.0,23.4,20.5,360002
40,IN,18,,,,,040E2US18,Indiana -- In micropolitan statistical area -- not in principal city,648419,329626,19780,22945,22578,15307,8835,4236,4241,12131,17309,18263,18429,21080,22778,26071,24894,8986,12597,8200,9184,12942,8860,5757,4223,318793,17420,20671,22169,14242,7752,3853,3733,10404,15973,17125,18055,19733,21703,24723,24143,8344,12623,7434,9772,13443,9928,7436,8114,625111,316357,18570,21614,21126,14340,8295,19320,16502,17265,37948,47537,45466,29647,14564,4163,308754,16504,19720,21079,13584,7164,17293,15448,16621,36483,45202,44390,30096,17103,8067,4890,3353,207,194,173,291,160,434,340,335,453,379,223,100,12,52,1537,93,119,98,94,174,209,45,65,260,148,90,60,75,7,1518,934,0,66,35,21,28,99,9,74,97,166,202,123,14,0,584,8,58,105,8,17,17,4,31,53,157,52,58,12,4,2933,1131,87,65,182,60,66,99,31,52,166,146,98,79,0,0,1802,46,142,150,103,93,66,103,102,300,383,170,139,5,0,99,35,0,7,7,0,0,0,1,0,5,3,0,12,0,0,64,7,16,4,0,0,0,11,8,2,2,0,14,0,0,5837,3450,464,456,311,157,83,301,241,267,626,270,170,97,2,5,2387,279,227,180,215,122,148,212,144,387,253,134,78,8,0,8031,4366,452,543,744,438,203,355,185,270,214,348,318,268,25,3,3665,483,389,553,238,182,257,150,154,303,281,274,204,161,36,610210,308377,17822,20591,20433,13839,7885,18602,15837,16581,37036,46669,45042,29422,14480,4138,301833,15958,18994,20089,13037,6834,16930,14933,16008,35453,44682,43911,29918,17044,8042,21917,12080,1290,1614,1139,675,512,1084,969,970,1543,1154,632,378,90,30,9837,907,1037,1283,801,444,551,742,778,1428,844,622,308,67,25,41.1,40.2,42.0,41.7,40.9,42.5,27.1,27.5,24.7,46.3,46.8,41.7,36.0,26.4,38.2,26.8,35.6,26.5,24.9,24.7,26.1,19.1,18.0,19.9,42.2,41.4,43.0,23.8,23.8,23.9,648419
