SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,LA,22,,,,,04000US22,Louisiana,4645670,2271684,157603,158955,157523,93769,62901,36920,36798,99946,169347,162758,144108,137510,142660,154526,149898,56020,75355,46914,55859,69420,48180,30275,24439,2373986,151654,153849,150008,90661,58771,35757,35632,98944,170262,163843,144702,142987,148834,164657,162855,60512,81420,49305,63461,86940,61583,48804,48545,2909290,1440703,87781,88251,88371,53690,33916,98542,103734,102399,183117,199602,193930,126998,60640,19732,1468587,83178,84430,83670,51153,32127,93939,101176,98948,176756,201029,201609,141670,81574,37328,1494201,708883,56783,59388,59149,34668,24858,64585,55154,49642,82269,84880,77473,39798,16001,4235,785318,56134,57524,56622,33834,22923,67433,59727,56376,94592,99392,92455,52315,25820,10171,26403,13168,852,545,1142,492,598,997,895,863,1779,2317,1440,889,289,70,13235,527,688,971,680,411,928,846,869,1937,1991,1663,1028,558,138,78719,37862,2221,2569,2051,1433,1220,3754,3511,3219,6040,4865,4031,2168,609,171,40857,2576,2405,2485,1481,1054,3123,3527,3643,6959,5000,4662,2455,1084,403,1464,607,41,22,63,41,76,10,96,23,75,78,28,31,6,17,857,71,27,33,63,26,50,75,61,121,150,42,111,27,0,50434,28604,2699,2111,1662,889,804,2639,3358,4017,4710,2632,1906,805,307,65,21830,2627,1906,1436,835,522,1691,2126,1940,3366,2431,1692,603,434,221,85159,41857,7226,6069,5085,2556,1429,3137,2599,2595,3628,2812,2465,1504,603,149,43302,6541,6869,4791,2615,1708,3169,2785,2006,3958,3498,2664,1524,890,284,2754643,1357375,79300,81568,83154,50836,31263,91644,96021,94114,168811,190636,187909,123816,58996,19307,1397268,75454,78148,78822,48388,29732,89068,94853,92467,166564,193944,195836,138314,79080,36598,223408,121136,11933,9886,8136,4065,3832,10068,11929,12982,20286,12630,8544,4363,2007,475,102272,11606,9428,7448,4181,3246,7512,8947,9046,14219,10216,8149,4295,3001,978,36.2,35.0,37.5,39.7,38.4,41.0,31.8,30.0,33.3,36.9,35.9,37.5,34.4,32.9,35.2,32.5,27.2,36.6,29.9,30.1,29.3,18.5,18.0,19.1,40.5,39.2,41.8,29.9,30.2,29.2,4645670
40,LA,22,,,,,04001US22,Louisiana -- Urban,3411420,1649319,118629,116808,112723,66470,46521,27796,28961,77221,132380,123024,104462,97916,100829,108837,105854,39411,52293,31703,38029,47380,32820,20888,18364,1762101,113950,112207,109856,65430,46169,27349,27928,78463,132351,126862,106721,104662,107617,119333,120208,44368,57536,35102,45019,61464,44381,36925,38200,1945584,957628,59108,56126,54935,32879,22972,70399,76609,72195,121450,130148,125880,80838,39483,14606,987956,54878,52853,52816,31986,22927,67683,72101,69478,114956,133106,134712,93881,57638,28941,1268488,592029,49101,51341,50331,29337,20510,54568,46790,41637,67221,69296,63665,32101,12760,3371,676459,49020,50070,49637,28928,20168,58272,52287,50005,82829,83245,78756,43404,21406,8432,15971,7769,420,329,649,308,376,677,528,556,1077,1368,808,488,153,32,8202,325,426,476,475,300,653,510,538,1367,1169,916,630,326,91,72785,35393,2023,2427,1830,1311,1041,3519,3416,2966,5634,4604,3802,2059,590,171,37392,2425,2132,2318,1313,1036,3084,3284,3403,6180,4598,4280,2076,941,322,1119,462,41,22,36,41,76,10,65,23,50,70,19,9,0,0,657,71,27,16,63,26,44,65,61,95,65,31,75,18,0,42829,24127,2205,1833,1264,755,501,2273,2865,3531,4059,2251,1627,634,264,65,18702,2233,1575,1183,638,484,1448,1850,1682,2866,2161,1467,549,395,171,64644,31911,5731,4730,3678,1839,1045,2532,2107,2116,2887,1929,1757,983,458,119,32733,4998,5124,3410,2027,1228,2556,2254,1695,3090,2606,1950,970,582,243,1813673,886948,52002,50680,50610,30633,20655,64384,69887,65074,109214,122513,120962,78116,38008,14210,926725,48186,47597,48837,29701,20904,63098,66633,63923,106431,127005,129759,90999,55406,28246,190437,102559,10008,8122,6697,3237,3147,8718,10308,11168,17327,10898,7093,3625,1789,422,87878,10122,7906,6069,3391,2761,6907,7777,7852,12032,8827,6976,3664,2683,911,35.3,33.9,36.8,39.2,37.6,41.0,31.2,29.2,32.9,36.2,35.2,37.3,34.2,33.2,34.7,27.2,25.4,31.6,30.2,30.4,29.8,18.7,18.0,19.3,40.3,38.5,42.1,30.0,30.3,29.4,3411420
40,LA,22,,,,,04043US22,Louisiana -- Rural,1234250,622365,38974,42147,44800,27299,16380,9124,7837,22725,36967,39734,39646,39594,41831,45689,44044,16609,23062,15211,17830,22040,15360,9387,6075,611885,37704,41642,40152,25231,12602,8408,7704,20481,37911,36981,37981,38325,41217,45324,42647,16144,23884,14203,18442,25476,17202,11879,10345,963706,483075,28673,32125,33436,20811,10944,28143,27125,30204,61667,69454,68050,46160,21157,5126,480631,28300,31577,30854,19167,9200,26256,29075,29470,61800,67923,66897,47789,23936,8387,225713,116854,7682,8047,8818,5331,4348,10017,8364,8005,15048,15584,13808,7697,3241,864,108859,7114,7454,6985,4906,2755,9161,7440,6371,11763,16147,13699,8911,4414,1739,10432,5399,432,216,493,184,222,320,367,307,702,949,632,401,136,38,5033,202,262,495,205,111,275,336,331,570,822,747,398,232,47,5934,2469,198,142,221,122,179,235,95,253,406,261,229,109,19,0,3465,151,273,167,168,18,39,243,240,779,402,382,379,143,81,345,145,0,0,27,0,0,0,31,0,25,8,9,22,6,17,200,0,0,17,0,0,6,10,0,26,85,11,36,9,0,7605,4477,494,278,398,134,303,366,493,486,651,381,279,171,43,0,3128,394,331,253,197,38,243,276,258,500,270,225,54,39,50,20515,9946,1495,1339,1407,717,384,605,492,479,741,883,708,521,145,30,10569,1543,1745,1381,588,480,613,531,311,868,892,714,554,308,41,940970,470427,27298,30888,32544,20203,10608,27260,26134,29040,59597,68123,66947,45700,20988,5097,470543,27268,30551,29985,18687,8828,25970,28220,28544,60133,66939,66077,47315,23674,8352,32971,18577,1925,1764,1439,828,685,1350,1621,1814,2959,1732,1451,738,218,53,14394,1484,1522,1379,790,485,605,1170,1194,2187,1389,1173,631,318,67,39.0,38.1,39.9,40.5,39.9,41.0,35.0,33.8,36.6,37.6,37.3,38.1,36.7,30.5,42.6,47.5,40.6,52.2,26.8,27.0,26.5,18.1,18.1,18.2,40.8,40.3,41.3,28.7,29.0,28.4,1234250
40,LA,22,,,,,040A0US22,Louisiana -- In metropolitan or micropolitan statistical area,4316480,2102580,147059,147728,146213,86927,58248,34370,34087,92973,157566,150939,133180,127110,131536,142786,138755,51906,69327,43002,51113,63743,44048,27659,22305,2213900,141556,143069,139607,84592,55097,34189,33738,93300,160836,154202,135475,133656,138716,153356,151584,56217,75464,45326,58653,79620,56345,44527,44775,2694532,1331862,81570,81380,81780,49406,31629,92122,96700,95281,169616,184385,178779,115937,55239,18038,1362670,77320,77936,77589,47340,29860,88759,95081,92575,164404,186690,186644,129708,74286,34478,1391268,654669,53203,55659,54939,32331,22786,59132,50747,45396,75183,78111,71836,36815,14727,3804,736599,52501,53992,53072,31793,21666,63713,56688,53394,88887,92914,86393,48493,23811,9282,22679,11337,700,427,995,388,500,921,823,777,1518,1959,1279,740,248,62,11342,450,522,704,633,382,839,739,734,1792,1649,1424,894,442,138,77951,37469,2180,2547,2029,1404,1220,3700,3511,3198,5986,4764,3997,2153,609,171,40482,2541,2400,2465,1455,1042,3107,3519,3636,6878,4957,4645,2385,1054,398,1389,560,41,22,63,33,76,10,96,23,45,69,28,31,6,17,829,71,27,16,63,26,50,75,61,121,139,42,111,27,0,48375,27246,2645,2002,1558,884,641,2535,3142,3845,4470,2542,1834,777,306,65,21129,2533,1791,1359,817,489,1669,2121,1853,3256,2362,1643,602,423,211,80286,39437,6720,5691,4849,2481,1396,3010,2547,2419,3472,2492,2235,1405,572,148,40849,6140,6401,4402,2491,1632,3090,2613,1949,3793,3361,2474,1406,829,268,2544406,1251544,73289,74886,76663,46679,29023,85418,89393,87326,155951,175762,173034,112878,53624,17618,1292862,69730,71773,72847,44689,27498,83948,88882,86300,154465,179668,181002,126438,71861,33761,215932,116090,11636,9551,7919,3891,3616,9725,11248,12448,19276,12060,8132,4150,1975,463,99842,11412,9160,7191,4049,3213,7410,8769,8745,13858,10071,7913,4192,2909,950,36.0,34.8,37.4,39.5,38.2,40.8,31.6,29.8,33.2,37.0,35.7,37.8,34.3,32.9,35.1,31.9,26.7,36.7,30.0,30.2,29.3,18.6,18.0,19.3,40.3,39.0,41.6,29.8,30.1,29.2,4316480
40,LA,22,,,,,040C0US22,Louisiana -- In metropolitan statistical area,3879661,1887131,131490,132639,130430,77859,51560,29789,30177,81060,142446,137010,120858,114597,119076,129126,125767,46641,62111,38435,45711,56952,39002,24580,19815,1992530,126703,128201,125247,75775,48950,30187,29808,82534,146619,140200,122791,121191,125808,138650,137480,50678,67679,40829,52064,71162,49846,39853,40275,2417019,1193473,72495,72627,72508,44005,27843,80674,87660,86368,152993,166621,161175,103468,49027,16009,1223546,68925,69394,69096,42080,26506,78815,86494,83923,148098,168791,168430,115755,66071,31168,1252411,587984,47906,50437,49389,29198,20316,51561,45628,41134,67892,70501,64708,32964,12951,3399,664427,47265,48910,47925,28596,19154,55893,51758,48740,81242,84112,78019,43470,21163,8180,20176,10157,687,357,925,363,474,783,716,760,1375,1723,1120,597,230,47,10019,364,484,677,602,341,675,669,682,1599,1406,1273,722,396,129,74259,35789,2096,2485,1885,1357,1109,3419,3282,3059,5773,4630,3843,2098,582,171,38470,2478,2299,2368,1404,961,2912,3407,3464,6513,4771,4312,2200,986,395,1122,446,26,22,51,33,47,10,89,23,36,62,19,11,0,17,676,41,12,11,63,26,32,38,61,101,126,38,100,27,0,43848,24829,2353,1849,1514,806,529,2065,2746,3613,4216,2352,1703,738,292,53,19019,2146,1590,1239,794,474,1425,1876,1564,3011,2250,1528,542,397,183,70826,34453,5927,4862,4158,2097,1242,2514,2325,2053,3170,2313,1951,1222,500,119,36373,5484,5512,3931,2236,1488,2777,2377,1766,3418,3002,2237,1266,659,220,2276634,1118341,64644,66578,67904,41448,25361,74552,80817,78897,140241,158482,155803,100546,47439,15629,1158293,61817,63748,64708,39735,24292,74264,80662,78126,138887,162052,163126,112720,63697,30459,200482,107864,10794,8857,7188,3635,3345,8572,10430,11739,18008,11397,7622,3906,1948,423,92618,10359,8368,6705,3647,3010,6794,8124,7978,12829,9647,7473,3910,2837,937,36.1,35.0,37.4,39.6,38.3,40.8,31.7,29.9,33.3,36.3,35.1,37.5,34.4,33.3,34.9,33.5,26.8,37.7,30.4,30.6,29.9,18.9,18.2,19.4,40.4,39.2,41.7,30.1,30.4,29.5,3879661
40,LA,22,,,,,040C1US22,Louisiana -- In metropolitan statistical area -- in principal city,1389374,663916,45160,43617,41694,24192,20134,13495,13573,35120,59254,50693,41599,37781,38068,41899,42242,16283,21634,12957,14972,18656,13534,9082,8277,725458,44935,42642,40756,24478,22531,13984,12941,37348,59261,53642,41630,41357,41955,47195,48742,18197,23552,14730,18022,25013,18247,16126,18174,653293,322572,16320,15182,13776,8271,8717,29255,31481,26194,41012,40947,42725,27835,14759,6098,330721,15868,14184,14145,9018,10027,27604,27595,23836,36618,41222,44591,32131,21114,12768,655434,301253,24989,25127,25324,14288,10171,28595,23888,20860,32572,35184,34073,17096,7084,2002,354181,25228,24566,24328,13966,11176,32750,27837,26458,40886,43746,42212,23897,12151,4980,5051,2480,126,116,169,45,188,304,202,134,440,291,271,149,45,0,2571,132,98,89,137,36,219,145,204,404,412,295,170,162,68,35697,17721,868,1132,715,735,544,2308,1936,1477,2818,1994,1806,928,368,92,17976,942,1167,765,627,633,1883,1914,1853,2675,1973,2074,877,465,128,424,161,0,0,13,0,13,0,27,23,14,52,19,0,0,0,263,23,12,0,30,8,32,3,15,64,9,16,33,18,0,14901,8021,869,724,419,226,131,820,861,1063,1272,715,567,169,169,16,6880,899,539,473,84,100,518,794,575,946,734,572,315,256,75,24574,11708,1988,1336,1278,627,370,906,859,942,1252,784,698,408,191,69,12866,1843,2076,956,616,551,1267,973,701,1394,1054,731,342,207,155,601282,294758,13733,13706,12176,7511,7821,26669,28204,22969,35944,38105,40881,26860,14228,5951,306524,13271,12354,12823,8089,9221,25689,25247,21588,33021,38705,42941,30933,20215,12427,73652,39452,3808,2479,2499,1078,1219,3598,4406,4579,6870,4059,2772,1222,714,149,34200,3921,2687,2138,1269,1002,2802,3327,3057,4794,3606,2451,1509,1198,439,34.8,33.5,36.1,39.4,37.7,41.3,31.5,29.5,33.2,38.1,32.7,39.8,32.5,32.1,32.8,36.5,37.9,36.3,30.0,29.8,30.3,21.2,21.4,21.0,40.8,38.9,42.6,30.3,30.5,29.9,1389374
40,LA,22,,,,,040C2US22,Louisiana -- In metropolitan statistical area -- not in principal city,2490287,1223215,86330,89022,88736,53667,31426,16294,16604,45940,83192,86317,79259,76816,81008,87227,83525,30358,40477,25478,30739,38296,25468,15498,11538,1267072,81768,85559,84491,51297,26419,16203,16867,45186,87358,86558,81161,79834,83853,91455,88738,32481,44127,26099,34042,46149,31599,23727,22101,1763726,870901,56175,57445,58732,35734,19126,51419,56179,60174,111981,125674,118450,75633,34268,9911,892825,53057,55210,54951,33062,16479,51211,58899,60087,111480,127569,123839,83624,44957,18400,596977,286731,22917,25310,24065,14910,10145,22966,21740,20274,35320,35317,30635,15868,5867,1397,310246,22037,24344,23597,14630,7978,23143,23921,22282,40356,40366,35807,19573,9012,3200,15125,7677,561,241,756,318,286,479,514,626,935,1432,849,448,185,47,7448,232,386,588,465,305,456,524,478,1195,994,978,552,234,61,38562,18068,1228,1353,1170,622,565,1111,1346,1582,2955,2636,2037,1170,214,79,20494,1536,1132,1603,777,328,1029,1493,1611,3838,2798,2238,1323,521,267,698,285,26,22,38,33,34,10,62,0,22,10,0,11,0,17,413,18,0,11,33,18,0,35,46,37,117,22,67,9,0,28947,16808,1484,1125,1095,580,398,1245,1885,2550,2944,1637,1136,569,123,37,12139,1247,1051,766,710,374,907,1082,989,2065,1516,956,227,141,108,46252,22745,3939,3526,2880,1470,872,1608,1466,1111,1918,1529,1253,814,309,50,23507,3641,3436,2975,1620,937,1510,1404,1065,2024,1948,1506,924,452,65,1675352,823583,50911,52872,55728,33937,17540,47883,52613,55928,104297,120377,114922,73686,33211,9678,851769,48546,51394,51885,31646,15071,48575,55415,56538,105866,123347,120185,81787,43482,18032,126830,68412,6986,6378,4689,2557,2126,4974,6024,7160,11138,7338,4850,2684,1234,274,58418,6438,5681,4567,2378,2008,3992,4797,4921,8035,6041,5022,2401,1639,498,36.9,35.8,38.1,39.6,38.6,40.7,32.0,30.4,33.3,36.1,35.5,36.6,36.2,35.1,37.2,31.6,19.5,45.8,30.6,30.8,29.7,17.7,17.1,18.2,40.3,39.3,41.4,29.9,30.3,29.3,2490287
40,LA,22,,,,,040E0US22,Louisiana -- In micropolitan statistical area,436819,215449,15569,15089,15783,9068,6688,4581,3910,11913,15120,13929,12322,12513,12460,13660,12988,5265,7216,4567,5402,6791,5046,3079,2490,221370,14853,14868,14360,8817,6147,4002,3930,10766,14217,14002,12684,12465,12908,14706,14104,5539,7785,4497,6589,8458,6499,4674,4500,277513,138389,9075,8753,9272,5401,3786,11448,9040,8913,16623,17764,17604,12469,6212,2029,139124,8395,8542,8493,5260,3354,9944,8587,8652,16306,17899,18214,13953,8215,3310,138857,66685,5297,5222,5550,3133,2470,7571,5119,4262,7291,7610,7128,3851,1776,405,72172,5236,5082,5147,3197,2512,7820,4930,4654,7645,8802,8374,5023,2648,1102,2503,1180,13,70,70,25,26,138,107,17,143,236,159,143,18,15,1323,86,38,27,31,41,164,70,52,193,243,151,172,46,9,3692,1680,84,62,144,47,111,281,229,139,213,134,154,55,27,0,2012,63,101,97,51,81,195,112,172,365,186,333,185,68,3,267,114,15,0,12,0,29,0,7,0,9,7,9,20,6,0,153,30,15,5,0,0,18,37,0,20,13,4,11,0,0,4527,2417,292,153,44,78,112,470,396,232,254,190,131,39,14,12,2110,387,201,120,23,15,244,245,289,245,112,115,60,26,28,9460,4984,793,829,691,384,154,496,222,366,302,179,284,183,72,29,4476,656,889,471,255,144,313,236,183,375,359,237,140,170,48,267772,133203,8645,8308,8759,5231,3662,10866,8576,8429,15710,17280,17231,12332,6185,1989,134569,7913,8025,8139,4954,3206,9684,8220,8174,15578,17616,17876,13718,8164,3302,15450,8226,842,694,731,256,271,1153,818,709,1268,663,510,244,27,40,7224,1053,792,486,402,203,616,645,767,1029,424,440,282,72,13,35.2,33.5,36.8,38.6,36.9,40.3,30.6,28.7,32.3,42.6,44.1,41.4,33.2,26.9,38.4,25.4,26.1,25.4,25.6,25.4,26.0,16.9,15.8,17.8,39.3,37.5,41.0,25.5,25.9,25.3,436819
40,LA,22,,,,,040E1US22,Louisiana -- In micropolitan statistical area -- in principal city,121750,58463,4704,4523,3948,2085,2617,1777,1778,4541,5160,4009,3371,2821,2713,2769,2784,1065,1571,907,1179,1572,1133,591,845,63287,4780,4279,3911,2424,2770,2018,2086,4070,4313,3964,3677,3021,2889,3414,3358,1301,1726,929,1482,2118,1721,1396,1640,56804,27862,1819,1824,1562,807,1150,3753,2456,1954,3076,2768,2737,2155,1136,665,28942,1798,1543,1592,873,1319,3237,1955,1898,2919,2949,3041,2536,2145,1137,59290,27567,2389,2387,2154,1202,1321,3797,2346,1798,2887,2575,2511,1459,573,168,31723,2594,2350,2094,1452,1386,4571,2150,1911,3510,3220,3225,1871,903,486,638,252,5,6,6,1,0,39,18,11,20,84,32,30,0,0,386,13,0,0,0,0,89,20,1,71,47,52,53,32,8,1096,585,34,0,11,14,63,208,94,58,39,17,36,0,11,0,511,19,21,23,1,55,152,9,66,67,44,26,14,14,0,99,22,15,0,0,0,0,0,0,0,7,0,0,0,0,0,77,30,15,0,0,0,12,20,0,0,0,0,0,0,0,1412,815,108,79,21,1,27,149,193,99,42,25,59,0,0,12,597,175,44,47,5,4,46,90,63,57,15,13,33,5,0,2411,1360,334,227,194,60,56,150,53,89,121,13,45,14,4,0,1051,151,306,155,93,6,67,69,25,74,28,28,22,18,9,54062,26592,1658,1681,1493,801,1099,3617,2300,1815,2819,2724,2681,2128,1124,652,27470,1612,1352,1537,781,1265,3097,1788,1709,2766,2844,2989,2463,2130,1137,4668,2277,284,243,161,7,79,344,279,255,372,88,112,28,12,13,2391,476,273,120,113,71,300,271,280,219,115,60,73,20,0,29.4,27.9,31.3,33.6,31.3,35.7,27.0,25.9,28.0,45.7,45.7,41.9,24.4,24.4,24.5,6.3,.,6.6,25.0,25.2,22.8,12.5,12.4,12.6,34.3,31.6,36.9,23.8,25.4,21.8,121750
40,LA,22,,,,,040E2US22,Louisiana -- In micropolitan statistical area -- not in principal city,315069,156986,10865,10566,11835,6983,4071,2804,2132,7372,9960,9920,8951,9692,9747,10891,10204,4200,5645,3660,4223,5219,3913,2488,1645,158083,10073,10589,10449,6393,3377,1984,1844,6696,9904,10038,9007,9444,10019,11292,10746,4238,6059,3568,5107,6340,4778,3278,2860,220709,110527,7256,6929,7710,4594,2636,7695,6584,6959,13547,14996,14867,10314,5076,1364,110182,6597,6999,6901,4387,2035,6707,6632,6754,13387,14950,15173,11417,6070,2173,79567,39118,2908,2835,3396,1931,1149,3774,2773,2464,4404,5035,4617,2392,1203,237,40449,2642,2732,3053,1745,1126,3249,2780,2743,4135,5582,5149,3152,1745,616,1865,928,8,64,64,24,26,99,89,6,123,152,127,113,18,15,937,73,38,27,31,41,75,50,51,122,196,99,119,14,1,2596,1095,50,62,133,33,48,73,135,81,174,117,118,55,16,0,1501,44,80,74,50,26,43,103,106,298,142,307,171,54,3,168,92,0,0,12,0,29,0,7,0,2,7,9,20,6,0,76,0,0,5,0,0,6,17,0,20,13,4,11,0,0,3115,1602,184,74,23,77,85,321,203,133,212,165,72,39,14,0,1513,212,157,73,18,11,198,155,226,188,97,102,27,21,28,7049,3624,459,602,497,324,98,346,169,277,181,166,239,169,68,29,3425,505,583,316,162,138,246,167,158,301,331,209,118,152,39,213710,106611,6987,6627,7266,4430,2563,7249,6276,6614,12891,14556,14550,10204,5061,1337,107099,6301,6673,6602,4173,1941,6587,6432,6465,12812,14772,14887,11255,6034,2165,10782,5949,558,451,570,249,192,809,539,454,896,575,398,216,15,27,4833,577,519,366,289,132,316,374,487,810,309,380,209,52,13,37.6,35.9,39.2,40.1,38.8,41.4,33.6,31.6,35.5,41.9,42.5,39.6,37.9,30.6,42.6,41.7,26.7,41.8,26.4,25.8,27.6,19.1,17.0,20.2,40.7,39.4,41.8,26.5,26.0,27.2,315069
