SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,MA,25,,,,,04000US25,Massachusetts,6742143,3269371,185801,189820,205750,128825,103553,52377,50709,143640,239400,221195,197194,212757,232575,246732,228079,83336,112745,68622,84901,106534,71962,52760,50104,3472772,177809,184318,195476,122753,106014,53253,51993,140055,239913,225591,203326,225233,245541,259933,244384,90237,125147,76658,96159,129717,93718,80791,104753,5343665,2587436,129022,135399,153634,96938,77260,181178,178189,164827,312048,397667,369099,232713,112842,46620,2756229,123494,132287,143651,92756,78409,180683,177433,166861,323317,417022,397346,268035,156765,98170,489233,236467,18721,17983,17673,10759,8899,22938,19547,16717,31357,30901,23512,11230,4873,1357,252766,16997,16109,17480,11016,8927,22578,20783,18144,34596,33731,26373,14906,8184,2942,13931,7020,341,466,455,340,291,835,617,384,742,1170,749,438,141,51,6911,367,307,533,275,272,661,524,436,860,1085,825,399,232,135,411736,196089,12268,12204,11710,6925,6815,17826,19674,18891,33113,24845,17055,9070,4456,1237,215647,12131,12572,11687,6993,8409,19248,21948,21536,36665,27261,19200,10726,5284,1987,2002,929,32,43,29,51,102,63,50,93,162,202,38,47,17,0,1073,25,65,65,31,48,256,115,69,44,117,64,75,77,22,278562,138490,10686,10119,11737,7423,6328,14671,13540,12617,20919,15683,8780,4132,1262,593,140072,10917,10803,11397,6088,5393,13034,12181,12026,21355,17647,10436,5456,2424,915,203014,102940,14731,13606,10512,6389,3858,9215,7783,7666,11610,8839,4927,2427,1131,246,100074,13878,12175,10663,5594,4556,8841,6929,6519,11722,8611,5524,2937,1543,582,4970011,2405036,110754,118844,137883,87335,69968,163273,161269,149380,287749,378346,357450,226642,110221,45922,2564975,105966,116245,128140,83334,71065,163336,161155,150780,296722,394697,383120,260601,152765,97049,731739,362756,35624,32215,32118,19261,14961,36673,33514,31119,50346,38253,22575,10796,4045,1256,368983,34212,31442,30923,17960,14315,34104,31335,30251,52766,42497,26550,14023,6546,2059,39.4,37.8,40.8,42.5,40.9,43.9,32.0,30.4,33.4,34.2,31.5,36.1,33.1,32.7,33.4,30.9,35.0,26.1,28.9,27.7,30.1,21.3,21.0,21.5,43.8,42.3,45.2,27.3,26.4,28.3,6742143
40,MA,25,,,,,04001US25,Massachusetts -- Urban,6204458,3003564,174384,175085,187325,116018,97591,49143,47823,134866,228367,209267,185087,196074,210997,220830,204041,74940,100867,60651,75404,95184,65046,48257,46317,3200894,166577,169114,177656,111474,100164,50658,49112,132937,229541,213503,190607,206573,223676,234264,219438,80643,111949,69131,86810,117975,85827,75143,98122,4832491,2335011,118545,122034,136486,85332,71872,167145,167535,153587,285140,352115,326207,204442,101685,42886,2497480,112949,118342,127551,82171,73123,168841,167652,155354,293952,371278,350931,240157,143610,91569,483883,233314,18616,17746,17434,10524,8693,22691,19504,16531,30886,30315,23091,11127,4802,1354,250569,16985,15954,17215,10942,8841,22424,20675,18078,34288,33341,26055,14715,8114,2942,13120,6556,301,443,437,333,276,832,600,325,708,1064,655,414,119,49,6564,361,301,517,275,272,639,472,431,782,1046,748,371,225,124,403255,192263,12030,11873,11397,6664,6727,17556,19597,18748,32397,24209,16634,8880,4345,1206,210992,11912,12328,11168,6792,8267,19094,21843,21217,35768,26380,18722,10390,5131,1980,1797,802,15,39,29,30,102,63,44,52,147,181,36,47,17,0,995,25,65,65,31,48,256,72,64,44,105,46,75,77,22,275433,136990,10658,10032,11609,7239,6258,14525,13488,12517,20601,15503,8698,4043,1237,582,138443,10850,10651,11243,5971,5238,12875,12135,11947,20911,17546,10336,5440,2385,915,194479,98628,14219,12918,9933,5896,3663,9020,7599,7507,11282,8440,4527,2286,1098,240,95851,13495,11473,9897,5292,4375,8578,6692,6412,11435,8244,5192,2768,1428,570,4466973,2156482,100556,105959,121212,76067,64750,149479,150872,138330,261203,333347,314804,198531,99124,42248,2310491,95923,102751,112547,73074,65881,151714,151527,139620,267905,349553,336970,232866,139690,90470,720115,357139,35201,31604,31419,18778,14671,36262,33185,30820,49668,37553,22238,10579,3972,1189,362976,33577,30862,30039,17478,14067,33830,31108,29842,51878,41773,26180,13866,6439,2037,38.7,37.1,40.2,41.9,40.3,43.5,32.0,30.4,33.3,33.6,30.6,35.2,32.9,32.6,33.3,30.6,35.7,25.2,28.9,27.7,30.1,21.4,21.1,21.7,43.4,41.8,44.8,27.3,26.4,28.3,6204458
40,MA,25,,,,,04043US25,Massachusetts -- Rural,537685,265807,11417,14735,18425,12807,5962,3234,2886,8774,11033,11928,12107,16683,21578,25902,24038,8396,11878,7971,9497,11350,6916,4503,3787,271878,11232,15204,17820,11279,5850,2595,2881,7118,10372,12088,12719,18660,21865,25669,24946,9594,13198,7527,9349,11742,7891,5648,6631,511174,252425,10477,13365,17148,11606,5388,14033,10654,11240,26908,45552,42892,28271,11157,3734,258749,10545,13945,16100,10585,5286,11842,9781,11507,29365,45744,46415,27878,13155,6601,5350,3153,105,237,239,235,206,247,43,186,471,586,421,103,71,3,2197,12,155,265,74,86,154,108,66,308,390,318,191,70,0,811,464,40,23,18,7,15,3,17,59,34,106,94,24,22,2,347,6,6,16,0,0,22,52,5,78,39,77,28,7,11,8481,3826,238,331,313,261,88,270,77,143,716,636,421,190,111,31,4655,219,244,519,201,142,154,105,319,897,881,478,336,153,7,205,127,17,4,0,21,0,0,6,41,15,21,2,0,0,0,78,0,0,0,0,0,0,43,5,0,12,18,0,0,0,3129,1500,28,87,128,184,70,146,52,100,318,180,82,89,25,11,1629,67,152,154,117,155,159,46,79,444,101,100,16,39,0,8535,4312,512,688,579,493,195,195,184,159,328,399,400,141,33,6,4223,383,702,766,302,181,263,237,107,287,367,332,169,115,12,503038,248554,10198,12885,16671,11268,5218,13794,10397,11050,26546,44999,42646,28111,11097,3674,254484,10043,13494,15593,10260,5184,11622,9628,11160,28817,45144,46150,27735,13075,6579,11624,5617,423,611,699,483,290,411,329,299,678,700,337,217,73,67,6007,635,580,884,482,248,274,227,409,888,724,370,157,107,22,46.3,45.7,46.9,47.0,46.4,47.6,38.4,37.2,40.2,45.2,45.6,44.4,39.9,39.7,40.1,32.3,32.7,28.6,31.0,32.4,26.3,17.3,17.2,17.6,47.3,46.7,47.9,22.9,23.7,21.8,537685
40,MA,25,,,,,040A0US25,Massachusetts -- In metropolitan or micropolitan statistical area,6731449,3263643,185489,189439,205509,128693,103419,52344,50659,143546,238881,220581,196736,212310,232163,246304,227718,83157,112530,68552,84703,106335,71846,52666,50063,3467806,177573,183998,195122,122596,105917,53219,51897,139817,239753,225149,202986,224960,245203,259525,244013,90087,124976,76503,96028,129564,93561,80724,104635,5334543,2582734,128734,135177,153438,96806,77149,181037,177779,164392,311374,396943,368435,232246,112645,46579,2751809,123269,131967,143379,92637,78336,180414,177329,166482,322765,416346,396654,267633,156546,98052,488507,235867,18711,17893,17628,10759,8879,22918,19505,16633,31166,30837,23491,11230,4860,1357,252640,16997,16109,17409,11014,8927,22558,20783,18124,34583,33731,26373,14906,8184,2942,13869,6958,341,454,455,340,291,835,617,384,709,1153,749,438,141,51,6911,367,307,533,275,272,661,524,436,860,1085,825,399,232,135,411631,196066,12268,12204,11710,6925,6812,17826,19674,18884,33106,24841,17053,9070,4456,1237,215565,12120,12572,11687,6980,8385,19239,21945,21536,36656,27253,19200,10726,5279,1987,2002,929,32,43,29,51,102,63,50,93,162,202,38,47,17,0,1073,25,65,65,31,48,256,115,69,44,117,64,75,77,22,278326,138384,10686,10095,11737,7423,6328,14655,13498,12593,20919,15683,8780,4132,1262,593,139942,10917,10803,11397,6088,5393,12993,12153,11986,21355,17626,10436,5456,2424,915,202571,102705,14717,13573,10512,6389,3858,9215,7758,7602,11610,8808,4859,2427,1131,246,99866,13878,12175,10652,5571,4556,8812,6904,6516,11683,8570,5524,2900,1543,582,4961996,2400998,110554,118622,137687,87203,69857,163136,161052,149098,287159,377658,356832,226235,110024,45881,2560998,105774,116012,127934,83215,70992,163071,161066,150547,296193,394066,382452,260199,152546,96931,730471,361986,35536,32191,32118,19261,14961,36653,33279,30942,50262,38217,22529,10736,4045,1256,368485,34179,31355,30842,17960,14315,34076,31304,30105,52743,42452,26526,14023,6546,2059,39.4,37.8,40.8,42.5,40.9,43.9,32.0,30.4,33.4,34.1,31.3,36.1,33.1,32.7,33.4,30.9,35.0,26.1,28.9,27.7,30.1,21.2,21.0,21.5,43.8,42.3,45.2,27.3,26.3,28.3,6731449
40,MA,25,,,,,040C0US25,Massachusetts -- In metropolitan statistical area,6643396,3220691,183387,187325,203063,127152,102268,51921,50252,141938,236280,217973,194391,209645,229293,242951,223874,81787,110384,67226,82907,104662,70717,51893,49402,3422705,175767,181884,192668,121067,105064,52781,51402,138375,237343,222581,200731,221958,242083,255912,240072,88318,122702,74918,94385,127606,92468,79558,103062,5252976,2542967,126961,133319,151229,95366,76115,178931,175403,162155,306831,390930,361353,227612,110809,45953,2710009,121571,130126,141334,91329,77665,178249,175174,164133,317981,409865,388961,262699,154355,96567,486989,235145,18675,17873,17608,10752,8860,22810,19484,16585,30998,30749,23429,11178,4810,1334,251844,16981,15967,17265,11001,8927,22502,20714,18056,34515,33697,26339,14832,8152,2896,13424,6772,317,454,443,333,276,819,617,327,702,1140,723,431,141,49,6652,363,301,533,259,272,620,510,434,808,1050,787,386,228,101,410435,195459,12211,12166,11673,6891,6796,17810,19595,18843,33039,24768,16977,9004,4456,1230,214976,12120,12558,11654,6948,8371,19233,21845,21446,36596,27152,19155,10647,5264,1987,1943,897,15,43,29,51,102,63,50,93,147,202,38,47,17,0,1046,25,65,65,31,48,256,88,69,44,117,64,75,77,22,277556,137919,10628,10082,11727,7423,6322,14558,13444,12485,20857,15681,8749,4108,1262,593,139637,10909,10801,11395,6071,5348,12971,12126,11986,21279,17615,10366,5431,2424,915,200073,101532,14580,13388,10354,6336,3797,9120,7687,7485,11462,8774,4776,2415,1115,243,98541,13798,12066,10422,5428,4433,8727,6886,6457,11466,8499,5420,2839,1526,574,4882255,2362220,108880,116841,135547,85840,68909,161145,158799,146918,282710,371708,349824,221653,108188,45258,2520035,104151,114214,125988,81937,70356,161004,158934,148288,291509,387696,374808,255319,150371,95460,727586,360362,35340,32013,31989,19181,14852,36439,33142,30847,50103,38066,22421,10671,4045,1253,367224,34096,31238,30698,17876,14221,33969,31253,30004,52579,42314,26442,13964,6525,2045,39.3,37.7,40.7,42.4,40.8,43.9,32.0,30.4,33.5,34.1,31.5,35.5,33.1,32.7,33.4,31.4,35.1,25.8,28.9,27.7,30.1,21.3,21.0,21.6,43.8,42.3,45.1,27.3,26.3,28.3,6643396
40,MA,25,,,,,040C1US25,Massachusetts -- In metropolitan statistical area -- in principal city,1414593,680602,38877,34575,35902,21755,30941,16141,15717,39364,75754,61057,42743,42017,40654,39485,38036,14669,19850,11227,13960,18186,11857,8919,8916,733991,37945,34537,33826,20950,34507,18008,17258,40219,76999,61655,46081,42581,43492,43165,42933,16148,21921,14114,16070,22091,16735,14054,18702,884858,429511,20674,17178,18186,10578,19618,43183,50299,40424,52403,51295,50553,32075,15734,7311,455347,19680,17315,16518,10198,22143,46544,50024,39370,50971,52509,54335,37435,22744,15561,251760,116612,8468,9334,8535,5468,4493,11700,9746,7694,13698,14720,12728,6369,2929,730,135148,8407,8300,8721,5822,4632,12043,11359,9469,17523,18059,15183,8754,4946,1930,4889,2602,57,226,176,177,120,362,253,131,294,338,310,135,23,0,2287,122,75,141,113,136,176,230,180,198,387,307,164,45,13,121138,57706,2704,2112,2763,1748,3069,7357,8053,6397,8508,5872,4519,2566,1443,595,63432,2767,2414,2163,1614,3905,8747,8765,6797,8869,6657,5279,2951,1786,718,469,242,0,0,0,0,77,16,44,22,40,19,0,24,0,0,227,0,0,0,0,14,44,16,24,15,65,25,0,24,0,89859,43050,2860,2765,3848,2283,2225,5145,4132,3817,5951,5196,2954,1405,294,175,46809,3175,3407,3626,2111,1843,4557,4220,3434,7331,6136,3771,2060,853,285,61620,30879,4114,2960,2394,1501,1339,3459,3227,2572,3866,2699,1491,799,353,105,30741,3794,3026,2657,1092,1834,3374,2385,2381,3755,2844,2102,911,391,195,753347,366280,15005,11916,12705,7686,16609,36157,43727,34510,44294,45686,46357,29735,14933,6960,387067,14349,12009,11271,7228,18890,39580,43611,33185,41749,44938,49110,34639,21335,15173,266749,128960,11199,10550,11670,6330,6115,14605,12490,10891,17161,12838,8855,4240,1433,583,137789,11232,11153,10843,6280,6068,14072,12294,11424,19139,15799,10615,5635,2508,727,33.2,32.3,34.1,35.0,34.2,36.1,32.5,30.3,34.3,30.8,28.1,34.4,30.7,30.7,30.8,31.0,29.6,45.1,29.2,27.5,30.6,24.2,24.3,24.1,36.9,35.9,38.1,27.4,26.4,28.6,1414593
40,MA,25,,,,,040C2US25,Massachusetts -- In metropolitan statistical area -- not in principal city,5228803,2540089,144510,152750,167161,105397,71327,35780,34535,102574,160526,156916,151648,167628,188639,203466,185838,67118,90534,55999,68947,86476,58860,42974,40486,2688714,137822,147347,158842,100117,70557,34773,34144,98156,160344,160926,154650,179377,198591,212747,197139,72170,100781,60804,78315,105515,75733,65504,84360,4368118,2113456,106287,116141,133043,84788,56497,135748,125104,121731,254428,339635,310800,195537,95075,38642,2254662,101891,112811,124816,81131,55522,131705,125150,124763,267010,357356,334626,225264,131611,81006,235229,118533,10207,8539,9073,5284,4367,11110,9738,8891,17300,16029,10701,4809,1881,604,116696,8574,7667,8544,5179,4295,10459,9355,8587,16992,15638,11156,6078,3206,966,8535,4170,260,228,267,156,156,457,364,196,408,802,413,296,118,49,4365,241,226,392,146,136,444,280,254,610,663,480,222,183,88,289297,137753,9507,10054,8910,5143,3727,10453,11542,12446,24531,18896,12458,6438,3013,635,151544,9353,10144,9491,5334,4466,10486,13080,14649,27727,20495,13876,7696,3478,1269,1474,655,15,43,29,51,25,47,6,71,107,183,38,23,17,0,819,25,65,65,31,34,212,72,45,29,52,39,75,53,22,187697,94869,7768,7317,7879,5140,4097,9413,9312,8668,14906,10485,5795,2703,968,418,92828,7734,7394,7769,3960,3505,8414,7906,8552,13948,11479,6595,3371,1571,630,138453,70653,10466,10428,7960,4835,2458,5661,4460,4913,7596,6075,3285,1616,762,138,67800,10004,9040,7765,4336,2599,5353,4501,4076,7711,5655,3318,1928,1135,379,4128908,1995940,93875,104925,122842,78154,52300,124988,115072,112408,238416,326022,303467,191918,93255,38298,2132968,89802,102205,114717,74709,51466,121424,115323,115103,249760,342758,325698,220680,129036,80287,460837,231402,24141,21463,20319,12851,8737,21834,20652,19956,32942,25228,13566,6431,2612,670,229435,22864,20085,19855,11596,8153,19897,18959,18580,33440,26515,15827,8329,4017,1318,41.1,39.6,42.5,43.8,42.3,45.1,31.5,30.5,32.5,35.7,35.0,36.0,34.3,33.9,34.6,31.5,37.1,24.8,28.8,27.9,29.8,19.7,19.3,20.1,44.8,43.3,46.0,27.2,26.3,28.1,5228803
40,MA,25,,,,,040E0US25,Massachusetts -- In micropolitan statistical area,88053,42952,2102,2114,2446,1541,1151,423,407,1608,2601,2608,2345,2665,2870,3353,3844,1370,2146,1326,1796,1673,1129,773,661,45101,1806,2114,2454,1529,853,438,495,1442,2410,2568,2255,3002,3120,3613,3941,1769,2274,1585,1643,1958,1093,1166,1573,81567,39767,1773,1858,2209,1440,1034,2106,2376,2237,4543,6013,7082,4634,1836,626,41800,1698,1841,2045,1308,671,2165,2155,2349,4784,6481,7693,4934,2191,1485,1518,722,36,20,20,7,19,108,21,48,168,88,62,52,50,23,796,16,142,144,13,0,56,69,68,68,34,34,74,32,46,445,186,24,0,12,7,15,16,0,57,7,13,26,7,0,2,259,4,6,0,16,0,41,14,2,52,35,38,13,4,34,1196,607,57,38,37,34,16,16,79,41,67,73,76,66,0,7,589,0,14,33,32,14,6,100,90,60,101,45,79,15,0,59,32,17,0,0,0,0,0,0,0,15,0,0,0,0,0,27,0,0,0,0,0,0,27,0,0,0,0,0,0,0,770,465,58,13,10,0,6,97,54,108,62,2,31,24,0,0,305,8,2,2,17,45,22,27,0,76,11,70,25,0,0,2498,1173,137,185,158,53,61,95,71,117,148,34,83,12,16,3,1325,80,109,230,143,123,85,18,59,217,71,104,61,17,8,79741,38778,1674,1781,2140,1363,948,1991,2253,2180,4449,5950,7008,4582,1836,623,40963,1623,1798,1946,1278,636,2067,2132,2259,4684,6370,7644,4880,2175,1471,2885,1624,196,178,129,80,109,214,137,95,159,151,108,65,0,3,1261,83,117,144,84,94,107,51,101,164,138,84,59,21,14,45.6,44.1,47.1,47.1,45.6,48.2,33.4,39.9,25.6,36.5,31.2,43.7,34.8,33.5,35.5,26.5,.,.,31.5,29.6,41.2,19.8,19.7,19.8,47.5,46.4,48.6,23.6,23.6,25.1,88053
40,MA,25,,,,,040E1US25,Massachusetts -- In micropolitan statistical area -- in principal city,19619,9809,590,459,623,350,282,132,93,345,851,600,558,838,620,523,826,297,323,281,384,305,180,138,211,9810,555,435,502,293,202,77,126,442,618,636,683,701,581,618,736,384,437,222,325,312,231,270,424,17995,8978,474,387,530,338,249,470,811,539,1281,1074,1372,950,312,191,9017,529,350,344,258,176,519,579,567,1274,1134,1530,840,501,416,545,241,30,11,0,6,2,7,15,34,32,46,26,12,0,20,304,0,67,112,0,0,37,20,33,24,2,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,75,0,11,11,0,12,0,0,0,8,23,10,0,0,0,119,0,10,10,7,0,0,0,31,35,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,178,43,0,0,0,0,76,0,27,16,0,16,0,0,0,113,0,0,2,14,0,16,19,0,35,11,16,0,0,0,594,337,43,50,82,6,19,17,25,0,59,0,22,8,6,0,257,26,8,34,14,26,73,0,5,16,32,0,15,0,8,17213,8587,417,357,530,279,228,410,772,520,1254,1042,1353,922,312,191,8626,469,340,275,240,159,491,566,519,1260,1091,1510,811,487,408,1316,724,110,85,34,59,22,120,39,46,59,77,45,28,0,0,592,60,55,81,46,29,33,32,48,56,65,36,29,14,8,41.4,40.2,42.2,42.8,41.6,44.2,25.1,38.6,13.5,.,.,.,40.3,40.4,40.2,.,.,.,24.9,24.4,36.9,19.1,13.6,20.7,43.5,42.3,44.9,22.4,21.5,22.7,19619
40,MA,25,,,,,040E2US25,Massachusetts -- In micropolitan statistical area -- not in principal city,68434,33143,1512,1655,1823,1191,869,291,314,1263,1750,2008,1787,1827,2250,2830,3018,1073,1823,1045,1412,1368,949,635,450,35291,1251,1679,1952,1236,651,361,369,1000,1792,1932,1572,2301,2539,2995,3205,1385,1837,1363,1318,1646,862,896,1149,63572,30789,1299,1471,1679,1102,785,1636,1565,1698,3262,4939,5710,3684,1524,435,32783,1169,1491,1701,1050,495,1646,1576,1782,3510,5347,6163,4094,1690,1069,973,481,6,9,20,1,17,101,6,14,136,42,36,40,50,3,492,16,75,32,13,0,19,49,35,44,32,29,70,32,46,445,186,24,0,12,7,15,16,0,57,7,13,26,7,0,2,259,4,6,0,16,0,41,14,2,52,35,38,13,4,34,1002,532,57,27,26,34,4,16,79,41,59,50,66,66,0,7,470,0,4,23,25,14,6,100,59,25,81,39,79,15,0,59,32,17,0,0,0,0,0,0,0,15,0,0,0,0,0,27,0,0,0,0,0,0,27,0,0,0,0,0,0,0,479,287,15,13,10,0,6,21,54,81,46,2,15,24,0,0,192,8,2,0,3,45,6,8,0,41,0,54,25,0,0,1904,836,94,135,76,47,42,78,46,117,89,34,61,4,10,3,1068,54,101,196,129,97,12,18,54,201,39,104,46,17,0,62528,30191,1257,1424,1610,1084,720,1581,1481,1660,3195,4908,5655,3660,1524,432,32337,1154,1458,1671,1038,477,1576,1566,1740,3424,5279,6134,4069,1688,1063,1569,900,86,93,95,21,87,94,98,49,100,74,63,37,0,3,669,23,62,63,38,65,74,19,53,108,73,48,30,7,6,47.1,45.7,48.1,48.1,47.2,49.0,39.8,41.0,35.5,36.5,31.2,43.7,33.9,33.4,35.4,26.5,.,.,32.1,31.5,42.5,19.8,21.3,19.5,48.4,47.6,49.3,23.8,23.7,28.1,68434
