SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,MI,26,,,,,04000US26,Michigan,9909600,4869885,294645,311461,326848,207202,141974,78686,76071,213726,312873,294174,282845,306332,329761,359045,350962,132845,176931,108882,134497,167808,115095,78312,68910,5039715,279320,295998,314651,197638,135758,74455,74575,203711,304082,296463,288704,310837,336192,371553,372902,137044,191638,118261,148033,193163,143656,115304,135777,7817827,3861290,209500,226821,240628,154136,105317,272103,238927,230124,461108,568498,562178,358238,171780,61932,3956537,199201,214835,230956,146768,99484,258875,228495,226760,455901,573734,584632,391063,225649,120184,1376446,652793,49052,48166,51877,32721,22377,62656,48050,40178,81124,82803,72719,38940,16520,5610,723653,47560,46870,48978,31629,22081,62469,49366,43803,94123,96023,89078,52145,26132,13396,52891,26488,1457,1796,2198,1369,744,2305,1848,1617,3620,3878,3297,1777,478,104,26403,1342,2000,1928,1059,825,1670,1522,1757,3649,4163,3604,1948,692,244,276769,134803,8158,9139,9453,5422,5461,13726,11377,11033,22428,17556,10843,6820,2704,683,141966,7553,9173,9735,5845,4923,12051,11443,12269,25035,18352,13023,8276,3308,980,2492,1071,56,29,12,66,38,85,337,64,77,144,139,19,0,5,1421,60,86,96,77,42,172,133,85,178,181,175,17,37,82,111377,58957,5231,5719,5299,3770,1994,5095,4237,5118,9094,6981,4122,1616,499,182,52420,4326,5101,4998,2618,1881,4622,4023,4193,8773,5808,3323,1707,755,292,271798,134483,21191,19791,17381,9718,6043,12513,8097,6040,11726,8946,7440,3777,1426,394,137315,19278,17933,17960,9642,6522,12882,9100,7596,11882,9484,7749,4301,2387,599,7503076,3703791,193675,209489,224662,145618,99275,257303,226535,218683,439241,553360,552431,352866,169435,61218,3799285,183503,197904,214541,137679,93473,245149,217547,215331,435481,558325,573443,385360,222635,118914,474381,240963,25176,26788,24617,13960,9145,22230,18028,17835,32933,23674,15119,7447,3009,1002,233418,23523,25201,25236,13151,8979,20902,16447,16736,31368,23028,15333,7854,4029,1631,39.5,38.1,40.9,42.0,40.7,43.3,33.8,31.3,36.0,36.5,34.8,38.3,33.1,31.9,34.1,29.8,29.6,33.8,28.0,27.6,28.5,18.5,17.7,19.1,42.8,41.5,44.1,24.8,24.6,24.9,9909600
40,MI,26,,,,,04001US26,Michigan -- Urban,7391398,3594145,229625,235802,242794,150766,111808,63517,62833,172584,253001,230350,216337,228465,238543,252357,243369,91780,119537,72315,87563,108954,75286,54737,51822,3797253,218180,224480,234366,145031,110121,60841,62236,168243,248587,234117,223022,235645,246105,266811,266119,97402,135353,83339,104572,134921,102798,86703,108261,5427422,2652525,149566,157360,162660,101992,77739,208094,183297,170251,325393,378569,362864,219573,109958,45209,2774897,142939,149124,157087,97856,76102,201585,175954,167667,322687,386299,388250,258249,157827,93271,1345949,634700,48461,47342,51013,31878,21743,60702,46393,38608,78340,80126,70869,37764,15995,5466,711249,46748,46052,48078,30876,21614,61451,48883,43208,92739,94350,87533,50997,25603,13117,33366,16387,875,1076,1377,802,466,1561,1198,1074,2366,2452,1851,987,230,72,16979,904,1237,1334,615,525,1101,1066,1233,2427,2642,2134,1211,402,148,262257,128968,7936,8547,8863,5047,5245,13319,11048,10776,21589,16707,10238,6481,2566,606,133289,7172,8586,8958,5401,4620,11522,11014,11645,23587,17226,12049,7564,3019,926,2114,935,56,18,5,52,22,80,323,48,58,128,121,19,0,5,1179,51,84,61,58,31,166,122,57,142,168,156,4,29,50,96526,50685,4743,5156,4625,3136,1709,4443,3630,4550,7703,5857,3346,1251,390,146,45841,4015,4543,4387,2307,1532,4184,3721,3731,7601,4745,2728,1419,663,265,223764,109945,17988,16303,14251,7859,4884,10735,7112,5043,9353,7061,5397,2757,884,318,113819,16351,14854,14461,7918,5697,11311,7827,6576,9484,7486,6024,3388,1958,484,5169601,2523788,136612,143204,149818,95447,72816,195402,173021,160472,307311,366264,355146,215481,108130,44664,2645813,129792,135474,144012,90792,70992,190122,166673,158037,305610,373766,379350,253730,155286,92177,394078,199309,21029,22332,20246,11007,7440,19042,15071,15357,27347,19403,12062,5837,2349,787,194769,20166,20690,20687,10572,7626,17838,14316,14276,26327,18805,12316,6337,3400,1413,37.6,36.0,39.3,40.3,38.6,41.9,33.8,31.1,36.0,35.5,33.9,37.2,33.0,31.9,33.9,29.7,29.6,31.7,27.3,27.0,27.7,18.3,17.5,19.1,41.2,39.5,42.9,24.8,24.5,24.9,7391398
40,MI,26,,,,,04043US26,Michigan -- Rural,2518202,1275740,65020,75659,84054,56436,30166,15169,13238,41142,59872,63824,66508,77867,91218,106688,107593,41065,57394,36567,46934,58854,39809,23575,17088,1242462,61140,71518,80285,52607,25637,13614,12339,35468,55495,62346,65682,75192,90087,104742,106783,39642,56285,34922,43461,58242,40858,28601,27516,2390405,1208765,59934,69461,77968,52144,27578,64009,55630,59873,135715,189929,199314,138665,61822,16723,1181640,56262,65711,73869,48912,23382,57290,52541,59093,133214,187435,196382,132814,67822,26913,30497,18093,591,824,864,843,634,1954,1657,1570,2784,2677,1850,1176,525,144,12404,812,818,900,753,467,1018,483,595,1384,1673,1545,1148,529,279,19525,10101,582,720,821,567,278,744,650,543,1254,1426,1446,790,248,32,9424,438,763,594,444,300,569,456,524,1222,1521,1470,737,290,96,14512,5835,222,592,590,375,216,407,329,257,839,849,605,339,138,77,8677,381,587,777,444,303,529,429,624,1448,1126,974,712,289,54,378,136,0,11,7,14,16,5,14,16,19,16,18,0,0,0,242,9,2,35,19,11,6,11,28,36,13,19,13,8,32,14851,8272,488,563,674,634,285,652,607,568,1391,1124,776,365,109,36,6579,311,558,611,311,349,438,302,462,1172,1063,595,288,92,27,48034,24538,3203,3488,3130,1859,1159,1778,985,997,2373,1885,2043,1020,542,76,23496,2927,3079,3499,1724,825,1571,1273,1020,2398,1998,1725,913,429,115,2333475,1180003,57063,66285,74844,50171,26459,61901,53514,58211,131930,187096,197285,137385,61305,16554,1153472,53711,62430,70529,46887,22481,55027,50874,57294,129871,184559,194093,131630,67349,26737,80303,41654,4147,4456,4371,2953,1705,3188,2957,2478,5586,4271,3057,1610,660,215,38649,3357,4511,4549,2579,1353,3064,2131,2460,5041,4223,3017,1517,629,218,45.0,44.3,45.6,45.7,45.1,46.2,36.4,35.5,38.8,38.4,36.2,40.4,36.2,32.9,37.9,33.6,31.1,35.0,33.1,32.1,34.0,19.1,19.0,19.2,46.1,45.6,46.7,24.9,25.0,24.9,2518202
40,MI,26,,,,,040A0US26,Michigan -- In metropolitan or micropolitan statistical area,9242912,4533563,278463,293556,306957,194117,134640,75052,72461,202538,296329,277625,266425,287589,308060,333161,323194,121411,160610,98357,120341,149001,101230,70013,62433,4709349,264302,278693,296206,185328,129441,71264,71601,194295,289156,280902,273400,292896,315281,345695,344226,125821,175637,107745,134107,173903,129610,104984,124856,7188511,3546122,194713,210512,222480,142275,98665,256126,223991,215064,428807,523425,508450,315898,150151,55565,3642389,185344,198854,214036,135490,93784,244332,214394,212115,424393,528993,530697,348651,201825,109481,1367373,645960,48951,47998,51700,32467,22206,61365,47151,39263,79923,81943,72298,38704,16434,5557,721413,47411,46766,48836,31472,21959,62315,49274,43692,93958,95705,88827,51919,25983,13296,43839,21638,1122,1443,1796,1129,631,1890,1562,1361,3111,3139,2647,1378,342,87,22201,1126,1682,1702,913,771,1451,1290,1484,3135,3495,2879,1560,519,194,273961,133661,8102,8978,9345,5380,5396,13682,11255,10986,22269,17377,10811,6742,2672,666,140300,7485,9093,9634,5747,4893,11944,11313,12158,24799,18098,12835,8100,3251,950,2338,1015,56,24,7,60,38,85,335,64,54,144,124,19,0,5,1323,54,80,96,77,42,154,123,78,159,176,159,9,37,79,108545,57531,5124,5617,5176,3648,1954,4902,4149,5061,8858,6813,4007,1564,479,179,51014,4263,4944,4858,2490,1832,4520,3981,4074,8572,5639,3169,1651,731,290,258345,127636,20395,18984,16453,9158,5750,12001,7886,5826,10992,8380,6878,3394,1165,374,130709,18619,17274,17044,9139,6160,12444,8781,7301,11280,8870,7118,3865,2248,566,6887199,3395520,179563,193851,207334,134192,92905,242021,211992,203959,407878,508973,499158,310818,147965,54911,3491679,170251,182662,198320,126854,88046,231101,203823,201076,404803,514307,519951,343297,198921,108267,456102,231414,24193,25846,23567,13296,8742,21210,17489,17337,31672,22710,14513,7085,2820,934,224688,22744,24150,24285,12548,8657,20262,15979,16160,30231,22108,14695,7411,3891,1567,38.9,37.5,40.3,41.4,40.1,42.8,33.8,31.3,36.0,35.9,34.6,37.4,33.1,32.0,34.0,29.7,29.5,33.5,28.0,27.6,28.4,18.3,17.6,19.0,42.3,40.9,43.6,24.8,24.7,24.9,9242912
40,MI,26,,,,,040C0US26,Michigan -- In metropolitan statistical area,8108308,3960693,246736,259319,271205,171512,116220,63445,62213,176961,261525,244040,233959,253325,270856,291392,281931,104765,137942,84351,103161,126254,85321,59940,54320,4147615,234515,246384,261584,164119,111748,60361,61758,173217,259171,249933,243045,262156,280318,304530,301776,109849,152612,94110,115650,149307,111407,91151,108914,6133084,3018511,166341,179686,189902,121785,82101,214399,193321,185019,368823,450027,431330,263538,124661,47578,3114573,158485,169521,182593,116172,78116,206072,186519,183420,366992,456313,452161,293823,170559,93827,1345622,629883,48475,47576,51337,32049,21627,58872,45047,37620,76859,79379,70966,38285,16304,5487,715739,47020,46414,48359,31124,21187,61479,48892,43429,93518,95188,88402,51671,25833,13223,28640,14052,654,847,1032,682,478,1289,944,868,2063,2171,1840,900,216,68,14588,691,985,1096,625,523,930,831,994,2188,2419,1886,901,373,146,266378,130076,7923,8792,9141,5193,5248,12946,10902,10660,21805,17017,10533,6645,2609,662,136302,7320,8874,9341,5531,4752,11609,10944,11777,24216,17593,12482,7834,3113,916,1913,848,28,13,0,52,29,73,334,61,44,89,101,19,0,5,1065,16,68,79,58,31,130,75,55,142,168,157,9,27,50,101632,53552,4929,5389,4839,3430,1763,4464,3876,4703,8088,6281,3743,1429,441,177,48080,4090,4733,4533,2358,1719,4144,3907,3847,8217,5172,2903,1496,701,260,231039,113771,18386,17016,14954,8321,4974,10576,7101,5109,9602,7284,6125,2950,1030,343,117268,16893,15789,15583,8251,5420,10972,8003,6411,9928,7995,6246,3333,1952,492,5862748,2883581,152934,164919,176391,114633,76885,201796,182651,174950,349867,436989,422972,258947,122680,46967,2979167,144890,155018,168674,108377,73000,194431,177014,173502,349176,442974,442492,288939,167938,92742,412625,208676,21878,23217,21246,11929,7858,18958,15703,15699,28643,20524,13229,6358,2553,881,203949,20625,21914,21740,11452,7821,18104,14688,14692,27861,20156,13237,6728,3537,1394,38.7,37.2,40.2,41.3,40.0,42.7,33.9,31.2,36.1,37.7,36.5,38.6,33.2,32.1,34.1,29.9,29.5,36.1,27.8,27.4,28.3,18.1,17.4,18.7,42.2,40.8,43.6,24.9,24.8,25.1,8108308
40,MI,26,,,,,040C1US26,Michigan -- In metropolitan statistical area -- in principal city,2488954,1200606,84640,81150,80795,48745,45106,25789,25958,68079,94117,78031,70348,71766,73242,78232,76627,28611,35707,21634,25604,31393,21621,16885,16526,1288348,80568,78309,79209,47991,44898,25124,25301,66515,94573,82626,76550,76673,76632,83166,85047,31025,43407,26341,31669,39763,31532,27397,34032,1322748,649891,37479,36767,35369,21669,23758,66373,53900,44648,76437,85503,83203,47983,25119,11683,672857,36744,34685,35454,20650,24181,62967,50442,44452,73957,83461,88588,56664,37103,23509,908174,421592,33776,31792,34022,20474,14471,38523,30057,24141,48977,53308,49552,26383,11845,4271,486582,31809,31523,32660,20973,14316,39986,33521,28757,61857,63565,61682,36681,19448,9804,9863,4562,203,302,317,211,173,519,252,303,686,734,454,282,112,14,5301,227,337,485,233,250,405,262,399,730,868,671,231,126,77,109783,54681,3125,3161,3393,1759,3571,7454,5100,4714,8776,6167,3978,2229,925,329,55102,3071,3811,3405,2019,2796,6316,5171,4832,9254,6274,4424,2342,1127,260,635,267,14,7,0,7,5,19,125,14,6,16,49,5,0,0,368,16,13,16,9,19,29,17,15,27,147,53,0,0,7,49562,26481,2691,3217,2325,1349,908,2195,1867,2231,4110,3004,1583,733,167,101,23081,2320,2231,2009,986,843,2169,1874,1725,3878,2325,1524,604,396,197,88189,43132,7352,5904,5369,3276,2220,4743,2816,1980,3122,2742,2126,1016,338,128,45057,6381,5709,5180,3121,2493,5068,3286,2446,3520,3158,2537,1251,729,178,1213341,595801,32447,30599,29888,19141,21564,60772,49619,40197,68878,80562,79881,46419,24396,11438,617540,30956,28449,30088,17503,21949,57741,46127,39996,67192,78462,84981,54865,36125,23106,179894,90346,9513,10823,9159,4654,3463,8643,6747,7125,12448,8562,5419,2428,934,428,89548,10065,9865,9066,4928,3552,8523,6910,6739,11653,8177,5467,2530,1462,611,34.6,32.8,36.2,36.9,35.6,38.4,34.4,31.5,36.7,35.5,35.0,35.7,30.4,29.7,30.9,31.7,29.4,48.9,26.7,26.3,27.2,18.7,17.7,19.7,38.5,36.8,40.3,24.2,24.2,24.3,2488954
40,MI,26,,,,,040C2US26,Michigan -- In metropolitan statistical area -- not in principal city,5619354,2760087,162096,178169,190410,122767,71114,37656,36255,108882,167408,166009,163611,181559,197614,213160,205304,76154,102235,62717,77557,94861,63700,43055,37794,2859267,153947,168075,182375,116128,66850,35237,36457,106702,164598,167307,166495,185483,203686,221364,216729,78824,109205,67769,83981,109544,79875,63754,74882,4810336,2368620,128862,142919,154533,100116,58343,148026,139421,140371,292386,364524,348127,215555,99542,35895,2441716,121741,134836,147139,95522,53935,143105,136077,138968,293035,372852,363573,237159,133456,70318,437448,208291,14699,15784,17315,11575,7156,20349,14990,13479,27882,26071,21414,11902,4459,1216,229157,15211,14891,15699,10151,6871,21493,15371,14672,31661,31623,26720,14990,6385,3419,18777,9490,451,545,715,471,305,770,692,565,1377,1437,1386,618,104,54,9287,464,648,611,392,273,525,569,595,1458,1551,1215,670,247,69,156595,75395,4798,5631,5748,3434,1677,5492,5802,5946,13029,10850,6555,4416,1684,333,81200,4249,5063,5936,3512,1956,5293,5773,6945,14962,11319,8058,5492,1986,656,1278,581,14,6,0,45,24,54,209,47,38,73,52,14,0,5,697,0,55,63,49,12,101,58,40,115,21,104,9,27,43,52070,27071,2238,2172,2514,2081,855,2269,2009,2472,3978,3277,2160,696,274,76,24999,1770,2502,2524,1372,876,1975,2033,2122,4339,2847,1379,892,305,63,142850,70639,11034,11112,9585,5045,2754,5833,4285,3129,6480,4542,3999,1934,692,215,72211,10512,10080,10403,5130,2927,5904,4717,3965,6408,4837,3709,2082,1223,314,4649407,2287780,120487,134320,146503,95492,55321,141024,133032,134753,280989,356427,343091,212528,98284,35529,2361627,113934,126569,138586,90874,51051,136690,130887,133506,281984,364512,357511,234074,131813,69636,232731,118330,12365,12394,12087,7275,4395,10315,8956,8574,16195,11962,7810,3930,1619,453,114401,10560,12049,12674,6524,4269,9581,7778,7953,16208,11979,7770,4198,2075,783,40.6,39.2,41.8,42.4,41.1,43.6,33.1,30.7,35.1,38.8,37.1,39.8,35.4,34.3,36.3,29.7,29.6,32.3,28.6,28.3,28.9,17.6,17.1,18.0,43.0,41.8,44.3,25.5,25.2,26.0,5619354
40,MI,26,,,,,040E0US26,Michigan -- In micropolitan statistical area,1134604,572870,31727,34237,35752,22605,18420,11607,10248,25577,34804,33585,32466,34264,37204,41769,41263,16646,22668,14006,17180,22747,15909,10073,8113,561734,29787,32309,34622,21209,17693,10903,9843,21078,29985,30969,30355,30740,34963,41165,42450,15972,23025,13635,18457,24596,18203,13833,15942,1055427,527611,28372,30826,32578,20490,16564,41727,30670,30045,59984,73398,77120,52360,25490,7987,527816,26859,29333,31443,19318,15668,38260,27875,28695,57401,72680,78536,54828,31266,15654,21751,16077,476,422,363,418,579,2493,2104,1643,3064,2564,1332,419,130,70,5674,391,352,477,348,772,836,382,263,440,517,425,248,150,73,15199,7586,468,596,764,447,153,601,618,493,1048,968,807,478,126,19,7613,435,697,606,288,248,521,459,490,947,1076,993,659,146,48,7583,3585,179,186,204,187,148,736,353,326,464,360,278,97,63,4,3998,165,219,293,216,141,335,369,381,583,505,353,266,138,34,425,167,28,11,7,8,9,12,1,3,10,55,23,0,0,0,258,38,12,17,19,11,24,48,23,17,8,2,0,10,29,6913,3979,195,228,337,218,191,438,273,358,770,532,264,135,38,2,2934,173,211,325,132,113,376,74,227,355,467,266,155,30,30,27306,13865,2009,1968,1499,837,776,1425,785,717,1390,1096,753,444,135,31,13441,1726,1485,1461,888,740,1472,778,890,1352,875,872,532,296,74,1024451,511939,26629,28932,30943,19559,16020,40225,29341,29009,58011,71984,76186,51871,25285,7944,512512,25361,27644,29646,18477,15046,36670,26809,27574,55627,71333,77459,54358,30983,15525,43477,22738,2315,2629,2321,1367,884,2252,1786,1638,3029,2186,1284,727,267,53,20739,2119,2236,2545,1096,836,2158,1291,1468,2370,1952,1458,683,354,173,40.6,39.3,42.1,41.9,40.5,43.3,31.3,33.5,21.9,34.0,31.7,35.4,30.3,27.1,32.9,25.3,37.5,25.2,31.7,31.6,32.0,20.3,19.7,20.9,42.6,41.2,43.9,23.7,24.0,23.2,1134604
40,MI,26,,,,,040E1US26,Michigan -- In micropolitan statistical area -- in principal city,236748,118411,6583,6643,6412,3704,7987,5124,4457,8999,9305,7772,6484,6404,6166,6267,6598,2591,3287,2037,2241,2919,2459,1992,1980,118337,5885,6129,6069,3368,8749,5257,4215,6366,7459,7294,5607,5155,5905,6833,7049,2226,3742,2187,3161,4326,3312,3067,4976,211415,103766,5654,5582,5287,3244,7060,16062,8033,6437,10845,10886,11522,6817,4373,1964,107649,5084,5222,5198,2861,7647,14271,6683,6390,9667,11970,12346,9158,6228,4924,7765,5436,153,261,137,107,404,907,642,677,949,594,421,144,26,14,2329,131,114,191,105,540,471,170,113,163,79,146,59,31,16,4170,2301,155,169,281,93,49,262,123,160,319,340,180,151,17,2,1869,104,185,179,26,39,191,140,184,280,168,182,161,19,11,2668,1449,46,37,56,53,61,498,190,91,180,108,111,7,11,0,1219,51,59,71,76,112,88,175,103,124,202,58,77,16,7,112,56,11,0,0,0,9,10,0,0,0,26,0,0,0,0,56,0,12,6,0,0,12,0,21,0,0,2,0,3,0,2525,1498,66,78,219,30,111,231,38,179,241,190,80,25,10,0,1027,80,136,127,29,19,181,20,76,121,127,63,37,0,11,8093,3905,498,516,432,177,293,610,279,228,354,289,162,53,14,0,4188,435,401,297,271,392,624,271,407,407,192,220,182,82,7,201614,98780,5020,4992,4901,3018,6804,15506,7516,6123,10155,10432,11326,6705,4336,1946,102834,4456,4834,4725,2641,7408,13611,6263,6052,9144,11550,12105,9058,6111,4876,14163,7606,800,876,666,280,405,964,660,632,1010,715,305,220,55,18,6557,834,615,722,289,304,843,485,484,727,544,360,159,132,59,31.9,30.0,33.9,33.0,30.8,35.5,26.6,30.7,20.4,31.1,30.6,31.7,26.5,24.4,29.2,23.7,23.8,23.6,24.5,27.7,23.0,20.9,20.2,21.9,33.7,31.4,36.4,22.8,23.9,21.7,236748
40,MI,26,,,,,040E2US26,Michigan -- In micropolitan statistical area -- not in principal city,897856,454459,25144,27594,29340,18901,10433,6483,5791,16578,25499,25813,25982,27860,31038,35502,34665,14055,19381,11969,14939,19828,13450,8081,6133,443397,23902,26180,28553,17841,8944,5646,5628,14712,22526,23675,24748,25585,29058,34332,35401,13746,19283,11448,15296,20270,14891,10766,10966,844012,423845,22718,25244,27291,17246,9504,25665,22637,23608,49139,62512,65598,45543,21117,6023,420167,21775,24111,26245,16457,8021,23989,21192,22305,47734,60710,66190,45670,25038,10730,13986,10641,323,161,226,311,175,1586,1462,966,2115,1970,911,275,104,56,3345,260,238,286,243,232,365,212,150,277,438,279,189,119,57,11029,5285,313,427,483,354,104,339,495,333,729,628,627,327,109,17,5744,331,512,427,262,209,330,319,306,667,908,811,498,127,37,4915,2136,133,149,148,134,87,238,163,235,284,252,167,90,52,4,2779,114,160,222,140,29,247,194,278,459,303,295,189,122,27,313,111,17,11,7,8,0,2,1,3,10,29,23,0,0,0,202,38,0,11,19,11,12,48,2,17,8,0,0,7,29,4388,2481,129,150,118,188,80,207,235,179,529,342,184,110,28,2,1907,93,75,198,103,94,195,54,151,234,340,203,118,30,19,19213,9960,1511,1452,1067,660,483,815,506,489,1036,807,591,391,121,31,9253,1291,1084,1164,617,348,848,507,483,945,683,652,350,214,67,822837,413159,21609,23940,26042,16541,9216,24719,21825,22886,47856,61552,64860,45166,20949,5998,409678,20905,22810,24921,15836,7638,23059,20546,21522,46483,59783,65354,45300,24872,10649,29314,15132,1515,1753,1655,1087,479,1288,1126,1006,2019,1471,979,507,212,35,14182,1285,1621,1823,807,532,1315,806,984,1643,1408,1098,524,222,114,42.8,41.8,43.9,43.8,42.9,44.7,34.1,35.5,25.6,34.8,32.1,37.8,32.6,30.3,35.1,25.4,37.7,25.2,33.9,33.2,34.7,19.8,19.2,20.4,44.3,43.4,45.2,24.1,24.1,24.0,897856
