SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,MO,29,,,,,04000US29,Missouri,6059651,2973317,191672,199061,201323,122377,83436,48246,44496,125605,201748,198343,183101,180516,190154,214868,202644,76524,102154,61929,79717,103280,71966,48871,41286,3086334,182338,190877,191084,116392,78323,44089,44186,122769,200586,199552,182006,185611,194708,221145,218877,78872,112034,69137,88511,121523,91317,71886,80511,5000875,2462830,146113,154087,156670,96673,63786,170482,162207,163311,300211,345302,333708,220977,110661,38642,2538045,138498,145782,148915,91078,60161,164874,160240,160255,297319,350098,352706,247251,146819,74049,701896,331676,26075,25998,26887,16585,12486,31044,25238,21913,40192,42720,35100,17690,7649,2099,370220,25643,26339,25212,16582,11750,30968,26878,24804,47461,48524,43158,24383,13003,5515,25641,13094,437,665,900,457,456,1046,995,908,1648,2030,1831,1268,354,99,12547,631,1036,676,432,367,1066,805,790,1695,2137,1723,732,329,128,107953,50659,3155,3620,3478,1655,1804,5532,5053,4877,8655,5866,3559,2149,1059,197,57294,2715,3740,3320,1895,1640,5057,5251,6023,10366,7023,5253,3217,1487,307,6479,3853,520,351,223,149,331,336,220,277,634,405,301,106,0,0,2626,195,282,188,112,60,305,173,346,416,206,248,18,65,12,68766,35784,3664,4035,3014,1480,1327,3291,3437,3127,6124,3206,2156,785,100,38,32982,3707,3165,3587,2053,1459,2881,2580,3295,4763,2694,1629,748,304,117,148041,75421,11708,10305,10151,5378,3246,6616,4598,3930,6153,5493,4667,1951,1014,211,72620,10949,10533,9186,4240,2886,5893,4659,4039,5597,5171,5066,2822,1196,383,4850569,2384905,137957,146381,148047,92278,60938,163165,155977,156655,290009,337976,328897,218712,109621,38292,2465664,130934,138433,140940,87795,57688,158668,154354,154722,287767,342818,347736,244923,145611,73275,237284,123110,13286,12982,12812,6348,4729,11523,10219,10599,17289,11069,7343,3295,1185,431,114174,12643,11699,12753,5746,4207,9872,9060,9274,14904,10863,7144,3366,1720,923,38.3,36.8,39.7,40.4,38.9,41.8,32.4,30.3,34.3,38.5,39.0,37.9,32.6,30.8,34.1,27.0,26.0,29.8,25.7,26.6,23.9,18.5,18.1,18.8,41.0,39.5,42.4,25.0,24.9,25.1,6059651
40,MO,29,,,,,04001US29,Missouri -- Urban,4286045,2081717,140486,141096,139282,81817,62769,37292,34664,97540,159306,152094,135177,126620,129722,141654,132530,50811,65389,38579,48513,62152,43679,31053,29492,2204328,134359,134785,133584,79419,60629,34714,34126,96568,158164,152410,132970,132685,134923,150598,147410,53102,75606,44944,57458,80479,61785,52094,61516,3304798,1610558,98382,99548,98846,58438,44679,124619,122119,119338,202548,216734,205235,127571,65406,27095,1694240,93747,93668,94842,56443,43721,121920,120009,115276,199810,223892,223587,153292,98558,55475,679806,319496,25225,25362,25948,15798,12062,29870,24318,20985,38684,41005,33640,17140,7481,1978,360310,24884,25540,24521,15936,11537,29967,26211,24332,46311,47481,41948,23784,12575,5283,16614,8404,281,415,460,334,297,880,786,603,1051,1208,1232,664,117,76,8210,450,620,473,221,306,878,567,528,1067,1391,1035,394,196,84,101012,48120,2905,3334,3196,1529,1681,5379,4880,4738,8306,5590,3347,2031,1010,194,52892,2538,3435,3147,1639,1551,4894,4782,5634,9645,6420,4616,2926,1397,268,4671,2851,298,334,172,74,172,211,181,220,557,256,297,79,0,0,1820,151,241,145,47,42,194,157,285,179,137,170,10,50,12,61175,32121,3436,3677,2655,1252,1100,3012,3081,2782,5643,2816,1854,704,71,38,29054,3250,2749,3191,1773,1182,2576,2319,3029,4360,2239,1346,686,258,96,117969,60167,9959,8426,8005,4392,2778,5525,3941,3428,5008,3767,3125,1055,647,111,57802,9339,8532,7265,3360,2290,4979,4119,3326,4283,3961,3416,1789,845,298,3183006,1547419,91698,93731,91896,55105,42350,118563,116782,113531,194300,210818,201265,125958,64598,26824,1635587,87545,87751,88450,54077,41691,116572,114931,110763,191965,218047,219987,151467,97563,54778,197997,102970,11360,10481,10511,5007,3942,9850,8905,9259,14574,9160,6161,2492,923,345,95027,10607,9591,10703,4397,3478,8590,7869,7866,12719,8825,5394,2719,1442,827,36.4,34.8,38.0,38.5,36.8,40.4,32.4,30.2,34.4,36.0,36.5,35.5,32.5,30.9,33.9,27.7,27.7,27.8,25.7,26.5,24.2,17.9,17.5,18.3,39.2,37.4,41.1,25.1,25.2,25.1,4286045
40,MO,29,,,,,04043US29,Missouri -- Rural,1773606,891600,51186,57965,62041,40560,20667,10954,9832,28065,42442,46249,47924,53896,60432,73214,70114,25713,36765,23350,31204,41128,28287,17818,11794,882006,47979,56092,57500,36973,17694,9375,10060,26201,42422,47142,49036,52926,59785,70547,71467,25770,36428,24193,31053,41044,29532,19792,18995,1696077,852272,47731,54539,57824,38235,19107,45863,40088,43973,97663,128568,128473,93406,45255,11547,843805,44751,52114,54073,34635,16440,42954,40231,44979,97509,126206,129119,93959,48261,18574,22090,12180,850,636,939,787,424,1174,920,928,1508,1715,1460,550,168,121,9910,759,799,691,646,213,1001,667,472,1150,1043,1210,599,428,232,9027,4690,156,250,440,123,159,166,209,305,597,822,599,604,237,23,4337,181,416,203,211,61,188,238,262,628,746,688,338,133,44,6941,2539,250,286,282,126,123,153,173,139,349,276,212,118,49,3,4402,177,305,173,256,89,163,469,389,721,603,637,291,90,39,1808,1002,222,17,51,75,159,125,39,57,77,149,4,27,0,0,806,44,41,43,65,18,111,16,61,237,69,78,8,15,0,7591,3663,228,358,359,228,227,279,356,345,481,390,302,81,29,0,3928,457,416,396,280,277,305,261,266,403,455,283,62,46,21,30072,15254,1749,1879,2146,986,468,1091,657,502,1145,1726,1542,896,367,100,14818,1610,2001,1921,880,596,914,540,713,1314,1210,1650,1033,351,85,1667563,837486,46259,52650,56151,37173,18588,44602,39195,43124,95709,127158,127632,92754,45023,11468,830077,43389,50682,52490,33718,15997,42096,39423,43959,95802,124771,127749,93456,48048,18497,39287,20140,1926,2501,2301,1341,787,1673,1314,1340,2715,1909,1182,803,262,86,19147,2036,2108,2050,1349,729,1282,1191,1408,2185,2038,1750,647,278,96,43.3,42.7,43.8,43.9,43.3,44.4,32.5,32.4,32.6,43.4,43.9,43.1,34.3,26.4,37.2,23.0,19.8,36.1,24.6,27.5,21.6,21.5,21.1,21.8,44.2,43.7,44.7,24.0,23.5,25.1,1773606
40,MO,29,,,,,040A0US29,Missouri -- In metropolitan or micropolitan statistical area,5225851,2558188,167248,171569,173534,105050,73803,43086,40306,111598,179354,175611,160445,156724,164057,183799,171061,64494,85935,51424,64882,82960,57650,39509,34089,2667663,159082,164257,165336,100037,69741,39649,39488,110564,179140,177004,159877,162421,169062,190536,186837,66711,94970,57615,73136,99995,75048,60115,67042,4213849,2072382,123485,128825,131216,80772,55006,149174,141658,142306,256708,291132,276608,176404,87428,31660,2141467,116915,121548,125110,75983,52375,144808,140008,139005,254380,296485,294084,200339,119475,60952,681396,320332,25493,25312,26279,16042,12048,29975,24074,20931,38650,40998,33848,17239,7470,1973,361064,24839,25655,24454,16119,11304,30393,26311,24330,46442,47409,42070,23849,12679,5210,21227,10872,361,499,700,383,396,913,903,802,1355,1689,1463,1018,304,86,10355,588,780,604,330,347,940,706,665,1512,1692,1336,483,255,117,105267,49627,3099,3517,3283,1603,1771,5421,4975,4820,8587,5757,3444,2108,1048,194,55640,2651,3522,3255,1798,1628,5023,5047,5945,10098,6775,5088,3073,1451,286,5893,3530,520,260,220,123,307,321,220,237,546,396,297,83,0,0,2363,195,190,181,110,60,294,164,234,414,195,236,16,62,12,64476,33485,3381,3827,2783,1361,1199,3105,3244,2962,5774,2961,2014,739,97,38,30991,3474,2918,3441,1906,1336,2783,2436,3164,4470,2522,1431,698,295,117,133743,67960,10909,9329,9053,4766,3076,6081,4280,3553,5549,4923,3816,1675,812,138,65783,10420,9644,8291,3791,2691,5460,4468,3661,4982,4520,4273,2288,946,348,4077631,2001816,116041,121954,123576,76756,52648,142412,135916,136152,247626,284340,272285,174355,86422,31333,2075815,110131,114949,117979,73040,50136,138978,134576,134105,245759,289690,289691,198228,118333,60220,217699,112750,12148,11846,11463,5764,4097,10788,9504,9872,15730,10262,6694,3033,1148,401,104949,11559,10656,11687,5173,3814,9372,8435,8475,13649,10161,6361,3081,1645,881,37.5,36.1,39.0,39.7,38.2,41.2,32.4,30.2,34.4,37.2,38.1,36.3,32.6,30.9,34.1,26.9,26.0,28.9,25.7,26.6,23.8,18.2,18.0,18.5,40.3,38.8,41.8,25.1,25.1,25.1,5225851
40,MO,29,,,,,040C0US29,Missouri -- In metropolitan statistical area,4507871,2196946,144863,148370,150806,90819,59156,34165,32072,93509,154867,153123,139753,136897,142392,159362,148823,55602,73533,43384,55516,69425,48100,33384,29025,2310925,137913,141845,143799,86937,58223,33088,32959,94612,157712,155411,140642,141872,147722,166047,162644,57826,82439,49278,62560,84584,63635,51450,57727,3565501,1748612,103951,108676,111009,68204,43394,119060,120886,122556,220065,249171,235685,146896,72339,26720,1816889,98823,101928,106143,64442,42633,119386,120589,119602,218099,254345,251285,167588,100125,51901,647912,302051,24565,24315,25377,15262,10325,27330,22119,19476,36494,38771,32426,16493,7194,1904,345861,23580,24474,23636,15359,10350,28538,25125,23436,44869,45409,40689,23091,12283,5022,17535,8986,311,451,456,298,336,760,798,763,1103,1389,1224,819,205,73,8549,488,687,544,314,290,763,639,540,1299,1243,1066,353,212,111,99044,46629,2998,3375,3251,1486,1541,4705,4561,4473,8320,5415,3333,1978,999,194,52415,2560,3342,3127,1731,1545,4553,4843,5556,9511,6401,4750,2861,1369,266,4983,2929,471,169,220,86,162,270,220,181,497,327,243,83,0,0,2054,150,180,173,100,60,239,156,177,368,151,214,16,58,12,57082,29227,3085,3366,2487,1214,847,2540,2702,2650,5181,2618,1783,653,82,19,27855,3184,2614,3129,1659,1125,2518,2322,2851,3919,2320,1262,614,231,107,115814,58512,9482,8018,8006,4269,2551,5081,3581,3024,4990,4063,3264,1403,665,115,57302,9128,8620,7047,3332,2220,4662,4038,3249,4449,3900,3643,1899,807,308,3445456,1686635,97660,102521,104084,64626,41531,113731,115729,117120,211827,243095,231923,145037,71351,26400,1758821,92717,96381,99853,61807,40770,114404,115735,115437,210229,248100,247357,165741,99044,51246,190657,98380,10426,10366,10314,5142,3103,8581,8302,8734,14232,9123,5863,2712,1107,375,92277,10252,9086,10305,4582,3130,7976,7591,7324,12272,9116,5687,2671,1491,794,37.6,36.3,39.0,39.8,38.4,41.3,32.7,30.4,34.6,36.4,38.1,35.1,32.8,31.3,34.0,27.2,26.6,28.5,25.8,26.9,23.9,18.0,17.7,18.4,40.5,39.0,41.8,25.6,25.7,25.5,4507871
40,MO,29,,,,,040C1US29,Missouri -- In metropolitan statistical area -- in principal city,1348916,654732,45230,38959,38689,21303,20576,13959,13494,37515,59983,53746,44516,39368,39112,42874,40115,15848,19915,10622,14179,16453,11821,8364,8091,694184,43236,38715,36115,21327,22973,14930,15738,39353,60199,52701,41294,40231,39159,44654,44189,16264,22781,12746,15548,22035,17942,14741,17313,900940,440431,25321,21666,20688,12032,12776,43528,42668,39090,57454,56926,54485,31168,15798,6831,460509,24524,21244,20236,11526,15312,47614,40952,35817,52937,56173,58074,37301,24801,13998,331861,155889,13219,12204,12679,6833,5377,14890,11621,9744,18291,20341,17547,8331,3667,1145,175972,12763,12158,10867,7551,5259,15887,13719,11566,21206,22793,21133,11185,6809,3076,5464,2833,50,128,118,167,136,200,462,185,214,292,522,279,54,26,2631,99,215,149,86,123,227,151,169,393,433,381,149,31,25,37589,17945,889,944,1070,465,617,2731,2284,1961,2908,1706,1152,790,371,57,19644,544,1146,1024,591,828,2754,2280,2245,3190,1861,1692,846,574,69,1443,792,81,48,62,0,56,52,4,148,165,107,69,0,0,0,651,61,69,87,0,22,57,124,49,24,70,71,0,17,0,28912,15358,1857,1436,1100,529,406,1546,1541,1584,2872,1254,847,350,36,0,13554,1579,1193,1309,606,412,1477,1292,1348,1910,1317,644,307,130,30,42707,21484,3813,2533,2972,1277,1208,2021,1403,1034,1980,1360,1256,336,259,32,21223,3666,2690,2443,967,1017,2005,1681,1507,1865,1166,1239,541,321,115,853449,416068,22873,19590,18298,10770,12014,41237,40353,36748,54074,54425,53111,30471,15343,6761,437381,22276,19128,17643,10684,14582,45143,38952,34042,49748,54072,56595,36531,24294,13691,82525,42995,4873,3771,3695,1980,1433,4207,4038,4143,6658,3960,2496,1141,530,70,39530,4168,3574,4159,1691,1293,4206,3519,3242,5368,3742,2359,1127,741,341,34.3,33.4,35.2,36.2,35.4,37.2,32.6,30.6,34.3,36.1,33.1,36.6,30.6,29.9,31.1,29.0,33.3,25.7,26.7,27.6,25.7,18.8,18.3,19.5,36.9,36.0,38.1,26.3,26.5,25.9,1348916
40,MO,29,,,,,040C2US29,Missouri -- In metropolitan statistical area -- not in principal city,3158955,1542214,99633,109411,112117,69516,38580,20206,18578,55994,94884,99377,95237,97529,103280,116488,108708,39754,53618,32762,41337,52972,36279,25020,20934,1616741,94677,103130,107684,65610,35250,18158,17221,55259,97513,102710,99348,101641,108563,121393,118455,41562,59658,36532,47012,62549,45693,36709,40414,2664561,1308181,78630,87010,90321,56172,30618,75532,78218,83466,162611,192245,181200,115728,56541,19889,1356380,74299,80684,85907,52916,27321,71772,79637,83785,165162,198172,193211,130287,75324,37903,316051,146162,11346,12111,12698,8429,4948,12440,10498,9732,18203,18430,14879,8162,3527,759,169889,10817,12316,12769,7808,5091,12651,11406,11870,23663,22616,19556,11906,5474,1946,12071,6153,261,323,338,131,200,560,336,578,889,1097,702,540,151,47,5918,389,472,395,228,167,536,488,371,906,810,685,204,181,86,61455,28684,2109,2431,2181,1021,924,1974,2277,2512,5412,3709,2181,1188,628,137,32771,2016,2196,2103,1140,717,1799,2563,3311,6321,4540,3058,2015,795,197,3540,2137,390,121,158,86,106,218,216,33,332,220,174,83,0,0,1403,89,111,86,100,38,182,32,128,344,81,143,16,41,12,28170,13869,1228,1930,1387,685,441,994,1161,1066,2309,1364,936,303,46,19,14301,1605,1421,1820,1053,713,1041,1030,1503,2009,1003,618,307,101,77,73107,37028,5669,5485,5034,2992,1343,3060,2178,1990,3010,2703,2008,1067,406,83,36079,5462,5930,4604,2365,1203,2657,2357,1742,2584,2734,2404,1358,486,193,2592007,1270567,74787,82931,85786,53856,29517,72494,75376,80372,157753,188670,178812,114566,56008,19639,1321440,70441,77253,82210,51123,26188,69261,76783,81395,160481,194028,190762,129210,74750,37555,108132,55385,5553,6595,6619,3162,1670,4374,4264,4591,7574,5163,3367,1571,577,305,52747,6084,5512,6146,2891,1837,3770,4072,4082,6904,5374,3328,1544,750,453,39.2,37.7,40.6,41.1,39.6,42.5,32.8,30.2,35.1,36.6,39.1,34.2,34.5,32.5,36.0,26.6,24.8,32.1,24.0,26.3,22.2,17.6,17.5,17.6,41.6,40.2,43.0,24.9,24.6,25.2,3158955
40,MO,29,,,,,040E0US29,Missouri -- In micropolitan statistical area,717980,361242,22385,23199,22728,14231,14647,8921,8234,18089,24487,22488,20692,19827,21665,24437,22238,8892,12402,8040,9366,13535,9550,6125,5064,356738,21169,22412,21537,13100,11518,6561,6529,15952,21428,21593,19235,20549,21340,24489,24193,8885,12531,8337,10576,15411,11413,8665,9315,648348,323770,19534,20149,20207,12568,11612,30114,20772,19750,36643,41961,40923,29508,15089,4940,324578,18092,19620,18967,11541,9742,25422,19419,19403,36281,42140,42799,32751,19350,9051,33484,18281,928,997,902,780,1723,2645,1955,1455,2156,2227,1422,746,276,69,15203,1259,1181,818,760,954,1855,1186,894,1573,2000,1381,758,396,188,3692,1886,50,48,244,85,60,153,105,39,252,300,239,199,99,13,1806,100,93,60,16,57,177,67,125,213,449,270,130,43,6,6223,2998,101,142,32,117,230,716,414,347,267,342,111,130,49,0,3225,91,180,128,67,83,470,204,389,587,374,338,212,82,20,910,601,49,91,0,37,145,51,0,56,49,69,54,0,0,0,309,45,10,8,10,0,55,8,57,46,44,22,0,4,0,7394,4258,296,461,296,147,352,565,542,312,593,343,231,86,15,19,3136,290,304,312,247,211,265,114,313,551,202,169,84,64,10,17929,9448,1427,1311,1047,497,525,1000,699,529,559,860,552,272,147,23,8481,1292,1024,1244,459,471,798,430,412,533,620,630,389,139,40,632175,315181,18381,19433,19492,12130,11117,28681,20187,19032,35799,41245,40362,29318,15071,4933,316994,17414,18568,18126,11233,9366,24574,18841,18668,35530,41590,42334,32487,19289,8974,27042,14370,1722,1480,1149,622,994,2207,1202,1138,1498,1139,831,321,41,26,12672,1307,1570,1382,591,684,1396,844,1151,1377,1045,674,410,154,87,37.1,35.3,39.2,38.7,36.9,40.7,27.7,27.7,27.7,42.6,38.6,44.9,30.8,26.7,35.0,22.4,18.9,31.4,23.9,25.1,22.6,19.3,19.7,18.9,39.3,37.5,41.3,22.5,22.4,22.7,717980
40,MO,29,,,,,040E1US29,Missouri -- In micropolitan statistical area -- in principal city,262122,132559,8858,8247,7360,4104,8870,5570,4843,9775,10869,8960,7447,6510,6149,7618,6486,2439,3631,2203,2526,3722,2604,1842,1926,129563,7319,8034,6682,4261,7007,3989,3423,8023,8875,7993,6863,6871,6426,7731,7552,2454,3543,2575,3254,4511,4020,3695,4462,222488,110957,7124,6677,5974,3276,6653,16606,8600,7372,11966,11658,11251,7769,4176,1855,111531,5515,6531,5596,3459,5710,12687,7701,6874,11715,12134,12355,9592,7331,4331,21604,11629,685,521,590,369,1410,1810,1302,862,1132,1376,822,497,201,52,9975,936,705,366,418,832,1539,764,548,941,1385,738,417,255,131,1107,591,42,42,103,28,24,95,40,27,59,5,100,26,0,0,516,22,0,27,0,22,91,0,0,110,151,55,38,0,0,4527,2366,98,86,23,108,220,667,342,204,171,257,77,98,15,0,2161,91,113,94,29,73,421,151,314,388,182,132,137,36,0,580,405,45,82,0,2,99,43,0,40,27,23,44,0,0,0,175,45,6,0,0,0,4,8,57,27,7,17,0,4,0,3970,2451,204,279,212,67,204,428,310,141,387,144,49,7,0,19,1519,137,173,173,139,91,148,37,86,374,74,17,39,31,0,7846,4160,660,560,458,254,260,539,275,314,215,304,213,54,54,0,3686,573,506,426,216,279,545,214,114,179,224,235,117,58,0,214658,106894,6574,6373,5653,3145,6382,15681,8291,7057,11600,11416,11003,7696,4168,1855,107764,5111,6084,5362,3397,5428,12090,7288,6513,11389,11859,12163,9502,7303,4275,13426,7137,881,648,562,228,622,1416,672,490,752,424,319,96,8,19,6289,710,705,498,209,469,932,572,466,765,465,209,149,84,56,31.3,28.8,34.5,33.0,30.4,36.2,26.2,26.5,25.8,34.6,23.0,44.1,27.0,24.8,32.1,20.7,18.7,31.5,22.0,23.0,21.4,19.0,19.3,18.8,33.7,30.9,36.9,22.2,21.8,22.9,262122
40,MO,29,,,,,040E2US29,Missouri -- In micropolitan statistical area -- not in principal city,455858,228683,13527,14952,15368,10127,5777,3351,3391,8314,13618,13528,13245,13317,15516,16819,15752,6453,8771,5837,6840,9813,6946,4283,3138,227175,13850,14378,14855,8839,4511,2572,3106,7929,12553,13600,12372,13678,14914,16758,16641,6431,8988,5762,7322,10900,7393,4970,4853,425860,212813,12410,13472,14233,9292,4959,13508,12172,12378,24677,30303,29672,21739,10913,3085,213047,12577,13089,13371,8082,4032,12735,11718,12529,24566,30006,30444,23159,12019,4720,11880,6652,243,476,312,411,313,835,653,593,1024,851,600,249,75,17,5228,323,476,452,342,122,316,422,346,632,615,643,341,141,57,2585,1295,8,6,141,57,36,58,65,12,193,295,139,173,99,13,1290,78,93,33,16,35,86,67,125,103,298,215,92,43,6,1696,632,3,56,9,9,10,49,72,143,96,85,34,32,34,0,1064,0,67,34,38,10,49,53,75,199,192,206,75,46,20,330,196,4,9,0,35,46,8,0,16,22,46,10,0,0,0,134,0,4,8,10,0,51,0,0,19,37,5,0,0,0,3424,1807,92,182,84,80,148,137,232,171,206,199,182,79,15,0,1617,153,131,139,108,120,117,77,227,177,128,152,45,33,10,10083,5288,767,751,589,243,265,461,424,215,344,556,339,218,93,23,4795,719,518,818,243,192,253,216,298,354,396,395,272,81,40,417517,208287,11807,13060,13839,8985,4735,13000,11896,11975,24199,29829,29359,21622,10903,3078,209230,12303,12484,12764,7836,3938,12484,11553,12155,24141,29731,30171,22985,11986,4699,13616,7233,841,832,587,394,372,791,530,648,746,715,512,225,33,7,6383,597,865,884,382,215,464,272,685,612,580,465,261,70,31,40.9,39.7,42.0,41.8,40.8,42.7,31.3,30.6,33.3,46.5,46.4,48.9,41.1,34.4,45.5,22.8,20.5,22.9,29.1,29.1,29.2,19.7,20.2,19.0,42.2,41.3,43.0,23.0,23.5,22.3,455858
