SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,MT,30,,,,,04000US30,Montana,1023391,514191,31336,33361,31433,19470,14427,8619,7874,21195,32825,33309,30380,28905,30262,35520,38148,14835,21255,13097,16224,20790,13687,9565,7674,509200,29659,31664,30331,17766,12867,7425,7412,20118,30878,31527,29788,27343,29992,36391,39741,15689,20778,12929,16170,20474,15577,11189,13492,911907,459169,25532,27111,26486,16506,12209,32833,28276,29528,53143,60059,69545,47987,22436,7518,452738,24434,26150,24452,15117,10665,30009,26840,27647,50782,60087,70946,46868,25642,13099,4260,2777,113,139,215,113,76,383,331,323,357,510,167,18,32,0,1483,69,138,184,3,144,188,95,91,231,207,36,64,18,15,67222,33575,3596,3854,2945,1742,1169,2972,2614,2265,3727,3604,3029,1479,492,87,33647,3101,3214,3351,1628,1059,2692,2509,2368,3883,3952,3139,1762,765,224,7481,2898,109,138,205,181,326,262,338,182,392,275,230,173,63,24,4583,67,204,376,189,248,520,440,378,617,561,576,259,79,69,841,537,80,38,8,9,0,42,0,99,155,18,47,13,0,28,304,0,31,0,0,34,7,147,28,14,2,25,5,11,0,5158,2393,187,209,159,130,18,202,172,305,509,278,136,40,48,0,2765,256,297,315,159,84,291,154,273,276,296,199,117,26,22,26522,12842,1719,1872,1415,789,629,994,1094,607,1002,1038,1084,401,181,17,13680,1732,1630,1653,670,633,1248,693,742,1328,1278,1287,498,225,63,888635,447159,24309,25816,25186,15950,11671,31576,27333,28581,51895,58831,68635,47540,22347,7489,441476,23454,24867,23443,14631,10158,28756,25895,26845,49511,59070,69896,46520,25411,13019,34841,17532,1842,2077,1714,896,743,1762,1479,1491,1949,1585,1172,588,177,57,17309,1709,1995,1843,894,746,1774,1311,1394,1813,1507,1405,509,280,129,39.8,38.7,40.9,41.8,40.7,43.0,29.3,30.2,26.6,27.0,25.8,28.3,31.5,28.6,33.0,33.2,34.1,29.3,29.0,31.8,24.6,21.3,20.0,22.2,42.4,41.2,43.6,24.0,24.1,24.0,1023391
40,MT,30,,,,,04001US30,Montana -- Urban,575982,285762,19135,19001,16873,9946,8889,5930,5688,15086,22259,21585,18470,16578,15714,17567,18573,6818,9782,5791,7297,9120,6386,4898,4376,290220,17308,18225,16583,9077,8206,5864,5512,13908,20827,20005,18088,15252,16040,18968,19885,8042,10125,5873,8395,10275,8205,6523,9034,515456,256345,15677,15661,14406,8618,7657,23787,19593,19238,31572,30331,33180,21439,10890,4296,259111,14316,15276,13361,7861,6969,22083,18485,17625,29716,31576,35524,23216,14282,8821,3427,2217,90,108,153,68,71,348,230,305,291,415,106,0,32,0,1210,60,102,147,0,101,170,73,80,231,179,9,43,15,0,31334,15472,1930,1830,1242,683,605,1425,1339,1184,1767,1653,1161,451,172,30,15862,1417,1506,1543,680,433,1382,1253,1260,1941,1994,1340,772,265,76,5350,2256,82,44,172,122,188,221,296,182,378,225,144,132,50,20,3094,20,71,263,51,188,458,365,311,414,432,248,147,62,64,391,225,52,11,0,0,0,22,0,8,70,13,8,13,0,28,166,0,12,0,0,34,7,70,15,0,0,17,0,11,0,3458,1668,155,159,113,82,7,157,85,225,386,162,79,16,42,0,1790,241,199,215,117,57,225,121,149,120,111,111,92,10,22,16566,7579,1149,1188,787,373,361,744,716,443,584,482,495,157,98,2,8987,1254,1059,1054,368,424,959,460,565,918,716,803,273,83,51,499399,247793,14744,14818,13441,8286,7309,22859,18816,18417,30654,29591,32581,21158,10837,4282,251606,13713,14410,12706,7593,6632,21060,17700,17052,28922,30970,34850,23056,14161,8781,24058,12243,1408,1467,1210,518,426,1269,1092,1268,1437,936,753,307,110,42,11815,1207,1365,1248,562,528,1429,1075,1036,1111,860,889,288,143,74,36.0,34.6,37.4,37.4,35.9,39.0,29.9,30.4,28.2,26.8,25.1,28.6,31.8,30.2,32.4,29.5,40.8,27.7,25.0,31.6,21.2,21.0,19.6,21.8,37.9,36.5,39.6,23.8,24.4,23.5,575982
40,MT,30,,,,,04043US30,Montana -- Rural,447409,228429,12201,14360,14560,9524,5538,2689,2186,6109,10566,11724,11910,12327,14548,17953,19575,8017,11473,7306,8927,11670,7301,4667,3298,218980,12351,13439,13748,8689,4661,1561,1900,6210,10051,11522,11700,12091,13952,17423,19856,7647,10653,7056,7775,10199,7372,4666,4458,396451,202824,9855,11450,12080,7888,4552,9046,8683,10290,21571,29728,36365,26548,11546,3222,193627,10118,10874,11091,7256,3696,7926,8355,10022,21066,28511,35422,23652,11360,4278,833,560,23,31,62,45,5,35,101,18,66,95,61,18,0,0,273,9,36,37,3,43,18,22,11,0,28,27,21,3,15,35888,18103,1666,2024,1703,1059,564,1547,1275,1081,1960,1951,1868,1028,320,57,17785,1684,1708,1808,948,626,1310,1256,1108,1942,1958,1799,990,500,148,2131,642,27,94,33,59,138,41,42,0,14,50,86,41,13,4,1489,47,133,113,138,60,62,75,67,203,129,328,112,17,5,450,312,28,27,8,9,0,20,0,91,85,5,39,0,0,0,138,0,19,0,0,0,0,77,13,14,2,8,5,0,0,1700,725,32,50,46,48,11,45,87,80,123,116,57,24,6,0,975,15,98,100,42,27,66,33,124,156,185,88,25,16,0,9956,5263,570,684,628,416,268,250,378,164,418,556,589,244,83,15,4693,478,571,599,302,209,289,233,177,410,562,484,225,142,12,389236,199366,9565,10998,11745,7664,4362,8717,8517,10164,21241,29240,36054,26382,11510,3207,189870,9741,10457,10737,7038,3526,7696,8195,9793,20589,28100,35046,23464,11250,4238,10783,5289,434,610,504,378,317,493,387,223,512,649,419,281,67,15,5494,502,630,595,332,218,345,236,358,702,647,516,221,137,55,45.4,45.2,45.6,47.5,47.3,47.6,27.7,29.3,20.6,27.2,26.3,28.0,30.2,19.5,38.1,33.4,33.8,29.6,33.9,33.0,33.9,22.3,20.9,23.6,47.8,47.7,48.0,25.2,23.5,27.2,447409
40,MT,30,,,,,040A0US30,Montana -- In metropolitan or micropolitan statistical area,666368,333767,20465,21129,20489,12070,9521,6197,6005,15429,23480,23404,20361,19885,19870,22505,24059,8824,12711,7929,9581,11990,7678,5620,4565,332601,19230,20267,19316,11148,8934,5863,5752,14324,22072,22207,20863,17715,19766,23345,25041,9760,12782,7779,9853,12342,9126,6688,8428,617030,309393,17985,18468,18287,10843,8423,25426,21332,21558,37213,39889,43788,28694,12995,4492,307637,17058,18249,16464,10088,7706,23301,20336,20267,35619,40339,45614,28828,15462,8306,3619,2405,104,121,183,102,64,335,254,268,357,440,138,11,28,0,1214,62,107,165,0,136,119,73,91,231,169,18,27,16,0,18594,9382,992,970,820,436,277,786,790,772,1174,1106,765,380,98,16,9212,600,622,1013,444,359,819,746,758,1208,1301,649,497,161,35,5763,2369,80,119,149,138,248,238,316,174,323,200,180,166,19,19,3394,43,92,261,100,195,461,411,295,435,454,359,191,57,40,457,304,28,38,8,0,0,42,0,8,108,18,13,13,0,28,153,0,31,0,0,34,7,2,28,14,2,19,5,11,0,3583,1733,172,178,127,87,3,132,81,202,400,171,109,23,48,0,1850,241,175,192,117,80,234,121,171,146,139,113,100,10,11,17322,8181,1104,1235,915,464,506,672,707,422,671,551,601,213,110,10,9141,1226,991,1221,399,424,998,383,597,925,707,811,326,97,36,600552,300765,17068,17580,17473,10454,8100,24402,20526,20843,36369,38986,43191,28351,12950,4472,299787,16317,17342,15871,9794,7369,22240,19635,19799,34719,39604,44903,28613,15337,8244,24343,12445,1391,1511,1128,581,447,1304,1146,1085,1368,1140,779,410,107,48,11898,1258,1244,1126,567,537,1458,943,995,1226,1033,935,344,147,85,38.0,37.0,38.9,39.2,38.1,40.3,29.8,30.5,28.1,28.6,27.4,30.0,30.3,28.6,32.4,40.1,40.8,33.4,26.6,31.7,21.8,20.7,19.5,21.6,39.7,38.6,40.8,24.2,24.4,24.1,666368
40,MT,30,,,,,040C0US30,Montana -- In metropolitan statistical area,361564,179992,11278,11982,10777,6443,4726,2833,3008,8885,13644,12940,10965,10624,10547,11983,12632,4586,6518,4297,5187,6095,4079,3219,2744,181572,10760,11140,10727,5937,4606,2983,3501,7952,12746,12190,11241,9590,10709,12444,12933,5215,6687,4086,5565,6709,4917,4028,4906,328741,163879,9620,9997,9302,5695,4203,13448,11934,11672,19634,20981,22630,14994,7084,2685,164862,9058,9579,8844,5257,3982,12621,11530,10883,18936,21426,23608,15563,8712,4863,2517,1654,94,103,116,62,53,261,200,182,177,296,82,0,28,0,863,47,73,130,0,15,86,50,58,200,152,18,18,16,0,13532,6594,845,703,535,281,173,572,646,545,791,626,531,294,36,16,6938,579,586,787,301,249,683,625,507,926,788,448,375,84,0,3231,1432,59,42,104,91,80,90,226,97,240,154,105,110,19,15,1799,7,74,140,46,83,240,146,173,214,292,160,142,54,28,342,230,28,27,0,0,0,0,0,0,108,13,13,13,0,28,112,0,19,0,0,29,7,2,22,14,0,19,0,0,0,2120,1081,68,159,72,57,3,44,65,150,240,91,74,16,42,0,1039,160,57,32,59,56,114,100,163,36,84,61,96,10,11,11081,5122,564,951,648,257,214,311,573,294,399,369,301,152,89,0,5959,909,752,794,274,192,685,293,384,505,411,521,166,69,4,318556,158528,9016,9486,8835,5454,4007,12876,11301,11142,19082,20525,22295,14769,7061,2679,160028,8565,9000,8356,5056,3754,12054,11061,10652,18293,21023,23302,15419,8652,4841,15232,7862,867,1100,667,337,221,658,921,773,876,581,468,279,80,34,7370,882,774,775,366,376,816,656,502,800,625,407,264,82,45,37.5,36.4,38.5,39.0,37.8,40.3,29.5,29.0,31.9,26.8,26.5,27.2,33.2,31.7,34.5,41.0,44.0,27.5,30.3,31.6,28.3,19.9,19.4,21.2,39.7,38.5,41.1,24.3,25.3,23.3,361564
40,MT,30,,,,,040C1US30,Montana -- In metropolitan statistical area -- in principal city,238685,117151,7422,7630,6540,3950,3572,1966,2119,6809,9918,9385,7328,7064,6721,7335,7493,2497,3868,2339,3019,3638,2604,1946,1988,121534,7218,7153,6928,3603,3534,2454,2681,6101,9544,7985,7395,6320,7018,8025,7993,3055,4235,2512,3462,4281,3317,2783,3937,214370,105377,6059,6333,5403,3545,3175,9991,8638,8423,12838,12883,13107,8634,4418,1930,108993,5868,6155,5484,3111,3034,9729,8667,6940,12309,13781,14370,9701,5950,3894,1811,1182,64,39,77,40,30,141,161,157,92,283,70,0,28,0,629,24,50,56,0,15,52,28,27,188,147,9,18,15,0,9857,4834,700,456,438,148,143,445,491,348,642,417,414,147,30,15,5023,483,361,638,214,219,589,370,432,595,600,251,224,47,0,2704,1246,51,38,89,66,66,70,213,87,237,147,64,87,16,15,1458,0,72,121,1,35,224,128,171,196,157,154,121,50,28,191,132,0,0,0,0,0,0,0,0,70,13,8,13,0,28,59,0,0,0,0,20,7,0,15,0,0,17,0,0,0,1470,690,58,51,65,23,3,29,45,128,167,70,35,16,0,0,780,124,16,32,59,38,99,85,101,21,36,59,89,10,11,8282,3690,490,713,468,128,155,218,370,242,346,243,160,99,58,0,4592,719,499,597,218,173,536,266,299,406,322,423,102,28,4,206750,101364,5661,5918,5109,3340,3030,9585,8063,7912,12380,12660,12866,8508,4402,1930,105386,5499,5761,5086,2923,2851,9282,8351,6761,11851,13491,14118,9616,5924,3872,11333,5804,589,853,443,248,170,440,810,702,695,310,335,150,31,28,5529,691,499,645,319,311,656,488,355,549,399,329,195,48,45,35.9,34.5,37.4,37.5,35.8,39.0,32.3,30.5,40.5,25.9,26.2,25.2,33.3,32.0,33.8,44.3,44.8,34.2,30.2,31.7,28.1,19.9,18.7,21.3,38.2,36.6,39.8,24.4,25.7,22.7,238685
40,MT,30,,,,,040C2US30,Montana -- In metropolitan statistical area -- not in principal city,122879,62841,3856,4352,4237,2493,1154,867,889,2076,3726,3555,3637,3560,3826,4648,5139,2089,2650,1958,2168,2457,1475,1273,756,60038,3542,3987,3799,2334,1072,529,820,1851,3202,4205,3846,3270,3691,4419,4940,2160,2452,1574,2103,2428,1600,1245,969,114371,58502,3561,3664,3899,2150,1028,3457,3296,3249,6796,8098,9523,6360,2666,755,55869,3190,3424,3360,2146,948,2892,2863,3943,6627,7645,9238,5862,2762,969,706,472,30,64,39,22,23,120,39,25,85,13,12,0,0,0,234,23,23,74,0,0,34,22,31,12,5,9,0,1,0,3675,1760,145,247,97,133,30,127,155,197,149,209,117,147,6,1,1915,96,225,149,87,30,94,255,75,331,188,197,151,37,0,527,186,8,4,15,25,14,20,13,10,3,7,41,23,3,0,341,7,2,19,45,48,16,18,2,18,135,6,21,4,0,151,98,28,27,0,0,0,0,0,0,38,0,5,0,0,0,53,0,19,0,0,9,0,2,7,14,0,2,0,0,0,650,391,10,108,7,34,0,15,20,22,73,21,39,0,42,0,259,36,41,0,0,18,15,15,62,15,48,2,7,0,0,2799,1432,74,238,180,129,59,93,203,52,53,126,141,53,31,0,1367,190,253,197,56,19,149,27,85,99,89,98,64,41,0,111806,57164,3355,3568,3726,2114,977,3291,3238,3230,6702,7865,9429,6261,2659,749,54642,3066,3239,3270,2133,903,2772,2710,3891,6442,7532,9184,5803,2728,969,3899,2058,278,247,224,89,51,218,111,71,181,271,133,129,49,6,1841,191,275,130,47,65,160,168,147,251,226,78,69,34,0,41.0,40.7,41.4,42.4,42.0,42.7,21.4,21.5,11.9,29.6,27.0,31.5,32.8,27.5,43.4,19.2,9.3,19.8,30.9,31.1,30.6,20.3,21.8,17.6,42.8,42.3,43.2,23.6,22.4,26.1,122879
40,MT,30,,,,,040E0US30,Montana -- In micropolitan statistical area,304804,153775,9187,9147,9712,5627,4795,3364,2997,6544,9836,10464,9396,9261,9323,10522,11427,4238,6193,3632,4394,5895,3599,2401,1821,151029,8470,9127,8589,5211,4328,2880,2251,6372,9326,10017,9622,8125,9057,10901,12108,4545,6095,3693,4288,5633,4209,2660,3522,288289,145514,8365,8471,8985,5148,4220,11978,9398,9886,17579,18908,21158,13700,5911,1807,142775,8000,8670,7620,4831,3724,10680,8806,9384,16683,18913,22006,13265,6750,3443,1102,751,10,18,67,40,11,74,54,86,180,144,56,11,0,0,351,15,34,35,0,121,33,23,33,31,17,0,9,0,0,5062,2788,147,267,285,155,104,214,144,227,383,480,234,86,62,0,2274,21,36,226,143,110,136,121,251,282,513,201,122,77,35,2532,937,21,77,45,47,168,148,90,77,83,46,75,56,0,4,1595,36,18,121,54,112,221,265,122,221,162,199,49,3,12,115,74,0,11,8,0,0,42,0,8,0,5,0,0,0,0,41,0,12,0,0,5,0,0,6,0,2,0,5,11,0,1463,652,104,19,55,30,0,88,16,52,160,80,35,7,6,0,811,81,118,160,58,24,120,21,8,110,55,52,4,0,0,6241,3059,540,284,267,207,292,361,134,128,272,182,300,61,21,10,3182,317,239,427,125,232,313,90,213,420,296,290,160,28,32,281996,142237,8052,8094,8638,5000,4093,11526,9225,9701,17287,18461,20896,13582,5889,1793,139759,7752,8342,7515,4738,3615,10186,8574,9147,16426,18581,21601,13194,6685,3403,9111,4583,524,411,461,244,226,646,225,312,492,559,311,131,27,14,4528,376,470,351,201,161,642,287,493,426,408,528,80,65,40,38.5,37.6,39.6,39.4,38.4,40.4,31.2,36.2,18.8,34.2,32.4,38.7,28.6,23.3,29.8,22.9,22.5,34.6,21.5,34.3,17.7,21.1,19.6,23.5,39.7,38.7,40.6,24.1,23.0,26.4,304804
40,MT,30,,,,,040E1US30,Montana -- In micropolitan statistical area -- in principal city,127190,63922,4062,3308,3532,1807,2931,2162,1940,4161,5192,4773,4578,3128,3217,3752,3899,1399,2090,1190,1266,2347,1302,1026,860,63268,3239,3280,2872,1802,2647,1923,1464,3827,4465,4481,4065,3048,3411,4046,4387,1742,2141,1325,1514,2280,1816,1367,2126,119225,59813,3778,2966,3192,1682,2611,7620,4878,4379,7146,6542,7106,4762,2291,860,59412,2986,3058,2582,1714,2320,6783,4156,4168,6511,6902,8042,4954,3155,2081,771,506,10,5,12,3,11,74,48,86,142,94,21,0,0,0,265,13,34,21,0,84,33,0,33,31,7,0,9,0,0,2459,1409,96,134,142,56,63,162,95,113,181,227,100,14,26,0,1050,8,13,79,24,34,105,75,48,185,287,56,99,19,18,1708,679,21,17,45,10,141,121,83,66,63,46,51,15,0,0,1029,20,9,40,24,109,212,176,105,151,106,53,24,0,0,58,41,0,11,0,0,0,22,0,8,0,0,0,0,0,0,17,0,12,0,0,5,0,0,0,0,0,0,0,0,0,480,207,16,0,9,0,0,0,16,47,94,12,13,0,0,0,273,81,72,27,0,15,23,11,0,20,7,17,0,0,0,2489,1267,141,175,132,56,105,264,72,74,80,48,97,12,11,0,1222,131,82,123,40,80,58,47,127,215,148,102,33,9,27,115928,57955,3621,2788,2988,1609,2496,7319,4786,4231,7000,6313,6977,4694,2273,860,57973,2922,2903,2546,1694,2240,6484,4016,4075,6403,6733,7832,4935,3109,2081,4266,2348,231,203,236,93,135,351,141,214,263,253,142,68,18,0,1918,145,235,90,51,123,324,159,147,135,182,262,19,46,0,34.8,33.0,36.8,35.4,33.6,37.4,32.2,36.1,18.8,34.3,26.0,41.2,27.7,23.6,29.3,22.1,22.9,.,23.8,36.2,6.9,22.3,21.1,31.5,35.6,33.8,37.6,24.1,23.6,24.8,127190
40,MT,30,,,,,040E2US30,Montana -- In micropolitan statistical area -- not in principal city,177614,89853,5125,5839,6180,3820,1864,1202,1057,2383,4644,5691,4818,6133,6106,6770,7528,2839,4103,2442,3128,3548,2297,1375,961,87761,5231,5847,5717,3409,1681,957,787,2545,4861,5536,5557,5077,5646,6855,7721,2803,3954,2368,2774,3353,2393,1293,1396,169064,85701,4587,5505,5793,3466,1609,4358,4520,5507,10433,12366,14052,8938,3620,947,83363,5014,5612,5038,3117,1404,3897,4650,5216,10172,12011,13964,8311,3595,1362,331,245,0,13,55,37,0,0,6,0,38,50,35,11,0,0,86,2,0,14,0,37,0,23,0,0,10,0,0,0,0,2603,1379,51,133,143,99,41,52,49,114,202,253,134,72,36,0,1224,13,23,147,119,76,31,46,203,97,226,145,23,58,17,824,258,0,60,0,37,27,27,7,11,20,0,24,41,0,4,566,16,9,81,30,3,9,89,17,70,56,146,25,3,12,57,33,0,0,8,0,0,20,0,0,0,5,0,0,0,0,24,0,0,0,0,0,0,0,6,0,2,0,5,11,0,983,445,88,19,46,30,0,88,0,5,66,68,22,7,6,0,538,0,46,133,58,9,97,10,8,90,48,35,4,0,0,3752,1792,399,109,135,151,187,97,62,54,192,134,203,49,10,10,1960,186,157,304,85,152,255,43,86,205,148,188,127,19,5,166068,84282,4431,5306,5650,3391,1597,4207,4439,5470,10287,12148,13919,8888,3616,933,81786,4830,5439,4969,3044,1375,3702,4558,5072,10023,11848,13769,8259,3576,1322,4845,2235,293,208,225,151,91,295,84,98,229,306,169,63,9,14,2610,231,235,261,150,38,318,128,346,291,226,266,61,19,40,41.7,41.6,41.9,42.4,42.3,42.6,28.1,39.2,18.7,34.1,35.3,31.9,33.6,22.4,40.4,34.1,21.3,65.8,21.4,21.4,21.3,20.1,19.0,20.8,42.7,42.6,42.8,24.2,21.7,27.5,177614
