SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,NC,37,,,,,04000US37,North Carolina,9940828,4834592,308419,327504,334349,196802,139183,77261,76618,203330,323879,313902,308695,331349,332474,336936,315303,117022,158635,103831,134120,161973,108736,71641,52630,5106236,297541,316834,317288,189089,133687,70060,69218,198973,330903,325702,320677,347037,346886,357603,346275,128739,183325,117951,151697,194646,143879,106714,111512,6882915,3375814,188669,201048,213445,125584,87135,229509,217955,210489,443857,489499,447803,323870,151416,45535,3507101,180620,195966,197579,118989,82722,213913,216754,213442,444846,498706,484650,365685,202017,91212,2137131,1000435,69744,76734,77483,48005,35043,87955,71477,64368,126438,134681,115856,62240,24310,6101,1136696,66667,73159,75002,46685,34983,88695,79851,75332,153045,159951,141137,82530,41598,18061,117479,57338,3902,4279,4599,3017,1821,4634,3689,3809,8044,7679,6200,4077,1388,200,60141,3409,4101,3980,2685,1743,4941,4018,3804,8971,7744,7547,4562,1990,646,254550,121555,8798,9284,8686,4520,3672,9169,10887,12230,22482,15099,9441,5141,1713,433,132995,8089,8841,9366,5127,4270,8897,11746,13758,24004,16854,12254,6463,2587,739,6588,3059,239,147,242,41,74,491,520,296,359,358,129,64,85,14,3529,403,335,231,134,131,178,254,194,507,666,375,85,12,24,298795,158131,16197,17343,15260,8131,5985,14527,12302,16394,28663,14642,6186,1942,487,72,140664,16722,16715,16169,7557,5038,11387,10441,12741,23946,11634,5203,1932,922,257,243370,118260,20870,18669,14634,7504,5453,10924,7049,6316,10201,7452,5345,2590,978,275,125110,21631,17717,14961,7912,4800,10240,7839,6431,12395,8934,7173,3037,1467,573,6361438,3104506,157618,169953,186039,111992,78436,208480,196743,187350,398678,461908,435006,318246,149136,44921,3256932,150341,164562,173260,106486,74907,195474,198209,192179,405864,474404,472311,359646,199046,90243,884763,462616,53261,53274,46498,23400,16063,38767,36065,41958,76773,44739,20234,7961,2938,685,422147,52935,52126,43584,21668,13952,32763,31276,36288,66220,38428,18729,8722,4167,1289,38.3,36.8,39.7,41.4,40.1,42.7,34.9,32.6,36.8,35.2,33.6,36.7,33.0,32.4,33.8,29.4,27.6,32.8,24.7,25.6,23.6,17.5,16.9,18.1,43.0,41.7,44.3,24.5,25.0,24.0,9940828
40,NC,37,,,,,04001US37,North Carolina -- Urban,6636934,3190882,219535,226959,222771,129090,99580,55478,56552,145166,234262,223845,209291,220658,213799,208563,190885,69770,94054,60275,77384,91612,63485,43427,34441,3446052,213314,219926,213177,125717,99161,50801,51662,147136,246315,236727,225237,236201,228159,227007,216173,80132,111877,72223,92049,118519,88795,68956,76788,4290716,2086268,124215,127710,130062,74872,59131,157362,150488,142260,280648,291187,253102,177889,87635,29707,2204448,119482,124305,120928,71979,57791,147498,151205,145056,283928,298596,282317,213353,125006,63004,1664849,767612,57940,62968,61382,37595,28037,70130,56746,51272,97006,99183,82510,42358,16449,4036,897237,56081,60154,59714,36993,28806,74376,67688,63113,124771,123151,103193,58617,28273,12307,41432,19686,1260,1468,1657,1041,636,1414,1312,1573,3014,2666,1966,1207,408,64,21746,1278,1425,1273,942,727,2136,1655,1312,3480,2569,2519,1596,532,302,231006,110988,7850,8153,7818,4047,3300,8168,10391,11501,20940,13717,8569,4644,1495,395,120018,7428,8059,8431,4462,3942,8099,11033,12589,21573,15119,10696,5705,2208,674,5269,2459,239,100,194,26,42,434,506,215,211,209,122,62,85,14,2810,367,254,221,95,115,114,210,164,367,497,315,79,12,0,223985,116925,12319,12758,11242,6034,4350,11025,9256,12534,20627,10124,4729,1581,327,19,107060,12332,12782,11803,5588,3805,9294,8184,9503,18251,8944,4121,1468,774,211,179677,86944,15712,13802,10416,5475,4084,8663,5563,4490,7503,5276,3711,1530,513,206,92733,16346,12947,10807,5658,3975,8082,6340,4990,9068,6290,5021,1973,946,290,3890952,1879625,100043,104503,109693,64865,52476,140704,133615,124365,246529,269975,243847,173926,85929,29155,2011327,95742,100910,103069,62515,51765,132767,135961,128110,254216,279756,272849,208780,122640,62247,671220,347891,40905,39723,34261,17254,11807,30115,28166,31991,56879,33293,14948,5806,2175,568,323329,40323,39105,31621,16262,10669,26241,25217,28375,50221,29719,14489,6738,3347,1002,36.1,34.6,37.6,39.5,37.8,41.0,33.2,30.8,35.1,34.5,33.5,35.4,32.9,32.5,33.5,27.8,27.0,30.8,24.7,25.3,24.0,17.6,16.9,18.3,41.4,39.7,42.8,24.7,25.0,24.5,6636934
40,NC,37,,,,,04043US37,North Carolina -- Rural,3303894,1643710,88884,100545,111578,67712,39603,21783,20066,58164,89617,90057,99404,110691,118675,128373,124418,47252,64581,43556,56736,70361,45251,28214,18189,1660184,84227,96908,104111,63372,34526,19259,17556,51837,84588,88975,95440,110836,118727,130596,130102,48607,71448,45728,59648,76127,55084,37758,34724,2592199,1289546,64454,73338,83383,50712,28004,72147,67467,68229,163209,198312,194701,145981,63781,15828,1302653,61138,71661,76651,47010,24931,66415,65549,68386,160918,200110,202333,152332,77011,28208,472282,232823,11804,13766,16101,10410,7006,17825,14731,13096,29432,35498,33346,19882,7861,2065,239459,10586,13005,15288,9692,6177,14319,12163,12219,28274,36800,37944,23913,13325,5754,76047,37652,2642,2811,2942,1976,1185,3220,2377,2236,5030,5013,4234,2870,980,136,38395,2131,2676,2707,1743,1016,2805,2363,2492,5491,5175,5028,2966,1458,344,23544,10567,948,1131,868,473,372,1001,496,729,1542,1382,872,497,218,38,12977,661,782,935,665,328,798,713,1169,2431,1735,1558,758,379,65,1319,600,0,47,48,15,32,57,14,81,148,149,7,2,0,0,719,36,81,10,39,16,64,44,30,140,169,60,6,0,24,74810,41206,3878,4585,4018,2097,1635,3502,3046,3860,8036,4518,1457,361,160,53,33604,4390,3933,4366,1969,1233,2093,2257,3238,5695,2690,1082,464,148,46,63693,31316,5158,4867,4218,2029,1369,2261,1486,1826,2698,2176,1634,1060,465,69,32377,5285,4770,4154,2254,825,2158,1499,1441,3327,2644,2152,1064,521,283,2470486,1224881,57575,65450,76346,47127,25960,67776,63128,62985,152149,191933,191159,144320,63207,15766,1245605,54599,63652,70191,43971,23142,62707,62248,64069,151648,194648,199462,150866,76406,27996,213543,114725,12356,13551,12237,6146,4256,8652,7899,9967,19894,11446,5286,2155,763,117,98818,12612,13021,11963,5406,3283,6522,6059,7913,15999,8709,4240,1984,820,287,42.9,41.6,44.0,44.5,43.6,45.5,41.8,39.2,44.4,35.7,33.6,37.5,34.3,30.0,37.1,39.4,38.4,39.7,24.7,26.7,21.9,17.4,17.1,17.7,45.6,44.7,46.5,23.8,25.1,22.2,3303894
40,NC,37,,,,,040A0US37,North Carolina -- In metropolitan or micropolitan statistical area,9304190,4520497,291757,309396,313596,184696,131175,73234,73086,191288,305795,295802,289797,311547,311669,314266,291799,107900,146228,94855,122327,147909,99267,65399,47709,4783693,280759,298244,298859,177326,127087,66732,65562,188760,314383,309233,303290,327798,326803,334521,321676,118997,168485,108018,138917,178174,131007,96768,102294,6448653,3162178,178574,190025,200447,117866,82577,218052,206888,199220,417829,458958,415181,296492,138638,41431,3286475,170727,184382,185620,111716,78575,203559,206204,202597,420033,468570,449826,335814,184561,84291,1980048,923884,65515,71983,72232,44804,32694,81926,66301,59481,117344,124115,104878,55612,21650,5349,1056164,62254,68313,70405,43654,33180,83364,75416,71171,144146,148927,128372,74356,36709,15897,105484,51409,3486,3789,3984,2757,1533,4196,3317,3321,7294,6963,5652,3658,1288,171,54075,3017,3710,3555,2376,1617,4403,3668,3449,8196,6989,6860,3945,1718,572,251714,120347,8762,9214,8672,4455,3599,9066,10731,12154,22289,14882,9346,5065,1694,418,131367,8023,8772,9248,5049,4219,8867,11571,13630,23771,16582,12031,6330,2560,714,6311,2879,239,147,198,41,66,487,427,292,338,358,125,62,85,14,3432,403,335,229,134,114,172,254,186,487,649,348,85,12,24,279305,146875,14996,16210,14027,7618,5545,13397,11360,15421,26475,13634,5764,1919,446,63,132430,15374,15708,15443,7024,4766,10838,9790,11966,22514,11107,5013,1782,861,244,232675,112925,20185,18028,14036,7155,5161,10484,6771,5913,9775,7025,4981,2283,865,263,119750,20961,17024,14359,7373,4616,9851,7480,6234,11941,8500,6708,2797,1354,552,5957363,2907139,149175,160676,174873,105331,74522,198041,186952,177432,375273,433268,403042,291241,136483,40830,3050224,142113,154653,163238,99876,71131,186090,188528,182348,383277,445488,438200,330093,181845,83344,831545,433206,50140,50033,43289,21751,14870,36474,33632,39404,71855,41656,19105,7561,2773,663,398339,49488,49163,40747,20348,13273,31043,29665,34441,62451,36556,17774,8267,3867,1256,37.9,36.5,39.4,41.1,39.7,42.3,34.5,32.2,36.4,35.4,34.0,36.6,33.0,32.4,33.7,29.5,27.9,32.6,24.7,25.6,23.7,17.4,16.7,18.1,42.7,41.3,43.9,24.6,25.0,24.2,9304190
40,NC,37,,,,,040C0US37,North Carolina -- In metropolitan statistical area,7735579,3755821,246531,259382,261811,153530,108652,58906,60638,163030,261038,251149,245235,263035,260734,260372,239359,87402,117590,75853,98470,115720,78226,51053,38105,3979758,237063,250578,249843,148027,105479,54537,53690,160624,269704,264346,259048,276948,274016,277462,264308,96621,136137,87113,110808,142094,103151,77672,80489,5365453,2633111,151874,160366,168549,98307,68526,182661,176991,169558,353655,383731,339770,236504,109318,33301,2732342,144573,155475,155595,93249,64562,169608,177003,172632,355820,391446,368653,269130,147309,67287,1653100,768089,55310,60825,60302,37493,27173,68522,56519,50294,99161,103224,84363,43912,16914,4077,885011,52750,57793,59102,36543,28375,70810,65028,61363,124208,124686,104063,59540,28979,11771,36820,18295,1259,1028,1338,993,531,1597,1218,1233,2926,2562,1894,1206,468,42,18525,750,1183,1186,838,629,1787,1300,1228,3062,2339,2395,1282,368,178,238647,114522,8415,8715,8177,4110,3173,8544,10322,11751,21442,14113,8954,4824,1564,418,124125,7823,8261,8692,4780,3715,8299,11101,13105,22526,15472,11445,5939,2397,570,5482,2454,203,131,187,16,42,429,420,232,254,284,114,58,70,14,3028,372,279,175,113,101,172,232,137,433,582,337,59,12,24,238589,123843,12712,12914,11706,6420,4909,11575,9727,12940,22383,11336,5065,1724,390,42,114746,12902,13440,13205,6171,4124,9809,8361,10538,19387,9748,4440,1665,726,230,197488,95507,16758,15403,11552,6191,4298,9246,5841,5141,8449,5856,4191,1815,555,211,101981,17893,14147,11888,6333,3973,8366,6679,5343,10560,7205,5733,2400,1032,429,4931682,2407340,125734,134245,145904,87464,61612,164855,159149,150370,315886,360790,329094,231935,107489,32813,2524342,119510,129416,136192,83016,58197,154289,161015,154899,323065,370871,358286,264118,145002,66466,723916,376130,43605,42840,37512,18580,12916,31936,29725,33959,62616,36286,16772,6502,2352,529,347786,42672,42156,35075,17629,11426,27365,26317,30301,55047,32272,15771,7363,3280,1112,37.4,36.0,38.7,40.5,39.2,41.8,34.0,31.7,35.9,35.8,34.8,36.5,33.0,32.5,33.6,29.3,27.7,32.6,24.9,25.8,23.9,17.6,16.9,18.4,42.2,40.8,43.4,24.8,25.1,24.5,7735579
40,NC,37,,,,,040C1US37,North Carolina -- In metropolitan statistical area -- in principal city,3154549,1506077,107348,106392,98498,55423,53803,30106,31796,82282,133305,118046,103100,102285,94764,90925,82493,30135,39645,23635,30544,34727,24971,17328,14526,1648472,104071,101824,96621,56487,56234,29069,29847,85473,141241,126556,112552,108295,102155,102629,96768,35946,47972,30756,38053,47437,36385,28849,33252,1745833,852132,50812,48962,46132,25493,29018,81556,78299,68312,116798,108842,94272,60415,31189,12032,893701,49290,46104,43522,25701,29066,76478,76822,67786,112925,111300,106944,75720,46055,25988,1043990,473480,37151,39715,37371,21763,17933,45051,37597,32344,61174,59900,47754,24075,9554,2098,570510,35522,38495,36743,22384,20266,51191,47092,42607,79623,75709,62413,35034,16847,6584,11492,5511,292,385,392,292,184,572,450,335,814,796,558,273,163,5,5981,166,297,234,245,224,856,573,469,1007,750,607,376,136,41,139863,68383,4954,4774,4150,2158,2229,5983,7457,7782,11681,7939,5484,2578,951,263,71480,4308,4260,4706,2605,2333,6376,7781,7664,11910,8452,6063,3287,1306,429,2861,1364,126,75,59,16,42,261,307,185,62,81,38,45,53,14,1497,325,95,103,75,101,85,160,88,193,153,85,26,8,0,119711,61531,6270,6156,5644,3013,2301,5841,5790,6472,11165,5631,2326,825,95,2,58180,6237,6572,6452,2728,2164,5176,4812,5058,10028,5277,2323,848,425,80,90799,43676,7743,6325,4750,2688,2096,4920,3405,2616,3691,2500,1841,695,294,112,47123,8223,6001,4861,2749,2080,4227,4001,2884,5161,3143,2251,955,457,130,1537510,743155,37845,36633,35981,21189,25360,71974,68443,58549,98449,98434,89449,58518,30476,11855,794355,36828,35218,34853,21036,25819,68576,67905,58571,97367,102003,101933,73583,44996,25667,355282,183829,21689,20592,17255,7953,6420,16694,16841,17078,30711,16895,7793,2821,899,188,171453,21146,19037,16526,8048,6023,14461,14882,15346,27049,15472,7898,3445,1733,387,33.5,32.2,34.9,36.2,34.8,37.7,32.2,30.0,33.9,33.5,32.6,34.3,31.8,31.5,32.0,26.3,27.2,21.9,25.5,25.9,24.8,19.0,18.3,19.7,38.2,36.5,40.0,25.2,25.3,25.1,3154549
40,NC,37,,,,,040C2US37,North Carolina -- In metropolitan statistical area -- not in principal city,4581030,2249744,139183,152990,163313,98107,54849,28800,28842,80748,127733,133103,142135,160750,165970,169447,156866,57267,77945,52218,67926,80993,53255,33725,23579,2331286,132992,148754,153222,91540,49245,25468,23843,75151,128463,137790,146496,168653,171861,174833,167540,60675,88165,56357,72755,94657,66766,48823,47237,3619620,1780979,101062,111404,122417,72814,39508,101105,98692,101246,236857,274889,245498,176089,78129,21269,1838641,95283,109371,112073,67548,35496,93130,100181,104846,242895,280146,261709,193410,101254,41299,609110,294609,18159,21110,22931,15730,9240,23471,18922,17950,37987,43324,36609,19837,7360,1979,314501,17228,19298,22359,14159,8109,19619,17936,18756,44585,48977,41650,24506,12132,5187,25328,12784,967,643,946,701,347,1025,768,898,2112,1766,1336,933,305,37,12544,584,886,952,593,405,931,727,759,2055,1589,1788,906,232,137,98784,46139,3461,3941,4027,1952,944,2561,2865,3969,9761,6174,3470,2246,613,155,52645,3515,4001,3986,2175,1382,1923,3320,5441,10616,7020,5382,2652,1091,141,2621,1090,77,56,128,0,0,168,113,47,192,203,76,13,17,0,1531,47,184,72,38,0,87,72,49,240,429,252,33,4,24,118878,62312,6442,6758,6062,3407,2608,5734,3937,6468,11218,5705,2739,899,295,40,56566,6665,6868,6753,3443,1960,4633,3549,5480,9359,4471,2117,817,301,150,106689,51831,9015,9078,6802,3503,2202,4326,2436,2525,4758,3356,2350,1120,261,99,54858,9670,8146,7027,3584,1893,4139,2678,2459,5399,4062,3482,1445,575,299,3394172,1664185,87889,97612,109923,66275,36252,92881,90706,91821,217437,262356,239645,173417,77013,20958,1729987,82682,94198,101339,61980,32378,85713,93110,96328,225698,268868,256353,190535,100006,40799,368634,192301,21916,22248,20257,10627,6496,15242,12884,16881,31905,19391,8979,3681,1453,341,176333,21526,23119,18549,9581,5403,12904,11435,14955,27998,16800,7873,3918,1547,725,40.4,39.1,41.6,42.4,41.3,43.5,37.5,34.9,39.7,36.7,35.8,37.7,35.0,34.3,35.8,39.7,30.2,43.6,24.1,25.2,23.0,16.6,16.0,17.0,43.7,42.6,44.7,24.3,24.8,23.9,4581030
40,NC,37,,,,,040E0US37,North Carolina -- In micropolitan statistical area,1568611,764676,45226,50014,51785,31166,22523,14328,12448,28258,44757,44653,44562,48512,50935,53894,52440,20498,28638,19002,23857,32189,21041,14346,9604,803935,43696,47666,49016,29299,21608,12195,11872,28136,44679,44887,44242,50850,52787,57059,57368,22376,32348,20905,28109,36080,27856,19096,21805,1083200,529067,26700,29659,31898,19559,14051,35391,29897,29662,64174,75227,75411,59988,29320,8130,554133,26154,28907,30025,18467,14013,33951,29201,29965,64213,77124,81173,66684,37252,17004,326948,155795,10205,11158,11930,7311,5521,13404,9782,9187,18183,20891,20515,11700,4736,1272,171153,9504,10520,11303,7111,4805,12554,10388,9808,19938,24241,24309,14816,7730,4126,68664,33114,2227,2761,2646,1764,1002,2599,2099,2088,4368,4401,3758,2452,820,129,35550,2267,2527,2369,1538,988,2616,2368,2221,5134,4650,4465,2663,1350,394,13067,5825,347,499,495,345,426,522,409,403,847,769,392,241,130,0,7242,200,511,556,269,504,568,470,525,1245,1110,586,391,163,144,829,425,36,16,11,25,24,58,7,60,84,74,11,4,15,0,404,31,56,54,21,13,0,22,49,54,67,11,26,0,0,40716,23032,2284,3296,2321,1198,636,1822,1633,2481,4092,2298,699,195,56,21,17684,2472,2268,2238,853,642,1029,1429,1428,3127,1359,573,117,135,14,35187,17418,3427,2625,2484,964,863,1238,930,772,1326,1169,790,468,310,52,17769,3068,2877,2471,1040,643,1485,801,891,1381,1295,975,397,322,123,1025681,499799,23441,26431,28969,17867,12910,33186,27803,27062,59387,72478,73948,59306,28994,8017,525882,22603,25237,27046,16860,12934,31801,27513,27449,60212,74617,79914,65975,36843,16878,107629,57076,6535,7193,5777,3171,1954,4538,3907,5445,9239,5370,2333,1059,421,134,50553,6816,7007,5672,2719,1847,3678,3348,4140,7404,4284,2003,904,587,144,40.8,39.2,42.4,44.0,42.6,45.3,37.4,34.7,40.0,35.3,33.6,36.7,32.8,28.9,35.2,31.6,31.5,32.4,23.5,24.8,21.9,15.9,15.5,16.5,45.3,43.9,46.7,22.8,24.0,21.6,1568611
40,NC,37,,,,,040E1US37,North Carolina -- In micropolitan statistical area -- in principal city,366197,171617,11736,11527,11783,6727,7354,4859,4034,7166,10792,9733,9021,9625,9663,10940,10096,4359,6646,3763,4586,6108,4342,3543,3214,194580,10978,11329,10412,6632,7560,4254,4418,8090,12013,10603,10057,10396,11573,11603,11566,5054,7614,4741,6651,8339,6917,5799,7981,214695,101402,4969,5118,5675,3407,4747,9291,6235,5726,11435,12653,12955,10428,6053,2710,113293,4852,5519,4941,3310,4942,9675,6099,5528,11304,12951,14786,13819,9501,6066,122282,55331,5139,4321,4808,2572,2027,5151,3448,2719,5519,6500,7285,3772,1617,453,66951,4281,4527,3999,2639,1901,5698,4762,4185,7352,8930,8551,5478,2893,1755,5539,2476,156,254,187,85,38,251,186,224,268,363,250,102,73,39,3063,292,179,153,149,68,352,186,159,534,291,341,174,82,103,4233,1791,78,103,98,65,159,160,154,150,217,288,208,104,7,0,2442,40,110,261,85,361,238,210,157,273,295,155,137,77,43,389,193,36,16,11,10,0,30,0,0,41,21,11,2,15,0,196,0,11,20,12,13,0,11,7,31,59,11,21,0,0,11482,6709,730,1085,567,254,209,669,561,839,934,601,198,6,56,0,4773,787,522,496,240,73,431,530,389,708,381,126,10,66,14,7577,3715,628,630,437,334,174,507,208,75,232,177,194,43,64,12,3862,726,461,542,197,202,368,215,178,251,269,264,92,97,0,199321,93477,4150,4385,4929,2921,4237,8800,5686,5083,10072,11923,12515,10249,5912,2615,105844,3796,4823,4207,2963,4596,8934,5695,4808,10466,12160,14479,13581,9330,6006,28812,15725,1742,1906,1407,764,735,1387,1139,1559,2332,1486,726,245,202,95,13087,1976,1320,1310,650,460,1330,957,1173,1562,1282,530,275,188,74,37.8,35.1,40.4,42.6,39.6,45.4,34.3,30.4,37.0,34.1,32.2,34.9,29.9,32.1,27.2,35.8,23.4,41.2,23.3,23.6,22.8,16.9,16.0,18.0,44.6,41.5,47.6,23.6,24.7,22.6,366197
40,NC,37,,,,,040E2US37,North Carolina -- In micropolitan statistical area -- not in principal city,1202414,593059,33490,38487,40002,24439,15169,9469,8414,21092,33965,34920,35541,38887,41272,42954,42344,16139,21992,15239,19271,26081,16699,10803,6390,609355,32718,36337,38604,22667,14048,7941,7454,20046,32666,34284,34185,40454,41214,45456,45802,17322,24734,16164,21458,27741,20939,13297,13824,868505,427665,21731,24541,26223,16152,9304,26100,23662,23936,52739,62574,62456,49560,23267,5420,440840,21302,23388,25084,15157,9071,24276,23102,24437,52909,64173,66387,52865,27751,10938,204666,100464,5066,6837,7122,4739,3494,8253,6334,6468,12664,14391,13230,7928,3119,819,104202,5223,5993,7304,4472,2904,6856,5626,5623,12586,15311,15758,9338,4837,2371,63125,30638,2071,2507,2459,1679,964,2348,1913,1864,4100,4038,3508,2350,747,90,32487,1975,2348,2216,1389,920,2264,2182,2062,4600,4359,4124,2489,1268,291,8834,4034,269,396,397,280,267,362,255,253,630,481,184,137,123,0,4800,160,401,295,184,143,330,260,368,972,815,431,254,86,101,440,232,0,0,0,15,24,28,7,60,43,53,0,2,0,0,208,31,45,34,9,0,0,11,42,23,8,0,5,0,0,29234,16323,1554,2211,1754,944,427,1153,1072,1642,3158,1697,501,189,0,21,12911,1685,1746,1742,613,569,598,899,1039,2419,978,447,107,69,0,27610,13703,2799,1995,2047,630,689,731,722,697,1094,992,596,425,246,40,13907,2342,2416,1929,843,441,1117,586,713,1130,1026,711,305,225,123,826360,406322,19291,22046,24040,14946,8673,24386,22117,21979,49315,60555,61433,49057,23082,5402,420038,18807,20414,22839,13897,8338,22867,21818,22641,49746,62457,65435,52394,27513,10872,78817,41351,4793,5287,4370,2407,1219,3151,2768,3886,6907,3884,1607,814,219,39,37466,4840,5687,4362,2069,1387,2348,2391,2967,5842,3002,1473,629,399,70,41.6,40.2,42.9,44.2,43.2,45.3,39.2,36.5,41.2,35.4,33.7,36.9,34.0,26.6,36.9,31.1,31.7,14.0,23.6,25.8,20.9,15.6,15.1,16.1,45.5,44.4,46.6,22.5,23.7,20.8,1202414
