SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,NE,31,,,,,04000US31,Nebraska,1881259,935935,67076,67734,66122,38864,27054,14368,14726,41071,63628,65561,58669,55953,56421,63214,61792,23959,29798,18699,23111,27952,20628,15679,13856,945324,63504,65204,62807,36290,26473,14816,13127,38795,60115,63110,56896,54463,55642,63727,62178,24018,32586,18962,24572,32835,26235,21931,27038,1655708,822691,55142,55457,56038,32562,22570,59272,54388,56646,100285,107810,107818,66210,35042,13451,833017,51924,53754,52259,30211,22548,56898,51466,54601,97376,107530,110284,71580,46286,26300,88388,44965,3850,4292,3719,2350,1784,4496,3524,3568,5554,5345,3816,1713,741,213,43423,3856,4293,3251,1979,1573,3836,3364,3365,5227,4948,4027,2303,1096,305,15739,7723,880,691,886,467,339,652,553,555,850,890,539,342,70,9,8016,719,703,855,464,245,531,427,577,961,1084,796,476,91,87,39794,19018,1412,1559,1050,702,726,2231,2085,1726,3153,2107,1310,688,154,115,20776,1293,1652,1440,773,715,2228,1938,1842,3429,2262,1739,1016,295,154,1305,541,42,34,9,7,52,62,34,66,92,83,46,0,10,4,764,54,91,90,0,51,45,143,49,71,67,32,64,7,0,36672,19240,1751,2181,1472,1032,711,1888,1459,1761,2935,2215,1171,454,151,59,17432,2204,1312,1945,1121,577,1307,1211,1272,2674,1879,1212,462,155,101,43653,21757,3999,3520,2948,1744,872,1564,1585,1239,1753,1185,849,355,139,5,21896,3454,3399,2967,1742,764,1893,1566,1404,1621,1599,692,468,236,91,1511352,747489,45879,46579,48057,28289,19891,52867,48259,50469,89693,101101,104019,64741,34423,13222,763863,43356,44798,44905,26668,19795,50858,46096,49237,87853,101682,106868,70221,45385,26141,191802,100000,11870,12075,10258,5664,3747,8739,7793,8257,14077,9227,5168,2017,819,289,91802,11445,11283,9945,5125,3499,7730,6759,6993,12667,8191,4733,1995,1130,307,36.2,35.1,37.5,38.0,36.8,39.3,28.3,27.4,29.3,26.6,24.6,30.5,30.1,29.5,30.8,28.0,31.7,25.6,26.7,27.2,26.1,16.3,15.8,17.0,40.0,38.7,41.4,23.2,23.5,22.9,1881259
40,NE,31,,,,,04001US31,Nebraska -- Urban,1387231,686712,52626,50784,48675,27439,21144,11936,12253,33449,52587,52607,45649,41625,41369,43344,40982,15614,19539,12071,14868,17117,12544,9520,8970,700519,49597,48868,46039,26149,21330,12629,11008,31814,49683,51147,44083,41124,40049,44044,42684,16548,22369,12664,16594,21759,16818,14809,18710,1183865,584587,41823,39802,39930,21947,17155,47662,44063,44454,74113,73888,69256,40928,20963,8603,599278,39023,38656,37006,20851,17734,46265,41701,43193,72315,73600,74037,46870,29965,18062,85840,43361,3739,4105,3502,2253,1722,4320,3416,3427,5364,5177,3724,1667,732,213,42479,3748,4156,3101,1929,1540,3767,3303,3290,5166,4822,3973,2299,1081,304,8668,4247,515,295,397,246,235,376,317,294,484,607,284,173,24,0,4421,338,337,419,269,114,273,230,353,560,690,464,271,41,62,37926,18361,1382,1532,1015,669,674,2162,2035,1656,3074,2053,1240,654,122,93,19565,1263,1562,1342,712,675,2146,1853,1810,3257,2093,1574,926,225,127,1120,462,42,32,9,7,49,35,32,59,92,65,28,0,8,4,658,50,90,90,0,51,38,141,49,61,52,19,10,7,0,32994,17405,1668,2032,1274,890,612,1769,1351,1581,2658,2025,999,372,117,57,15589,2129,1094,1691,980,537,1258,1090,1188,2427,1579,1053,345,130,88,36818,18289,3457,2986,2548,1427,697,1314,1373,1136,1489,898,604,262,98,0,18529,3046,2973,2390,1408,679,1704,1365,1264,1421,1257,481,296,178,67,1055630,517733,33474,31951,32905,18037,14793,41868,38527,38955,64648,68044,65923,39715,20491,8402,537897,31446,30797,30620,17756,15286,40734,36855,38349,63759,68444,71004,45726,29159,17962,170611,89099,10775,10767,8997,5098,3297,7920,7030,7338,12635,8164,4518,1672,630,258,81512,10286,9869,8582,4445,3114,7115,6094,6368,11459,7116,4184,1633,1010,237,34.1,33.1,35.2,35.7,34.4,36.9,28.5,27.6,29.5,29.0,25.5,31.9,29.9,29.5,30.5,25.7,31.7,25.1,26.3,26.9,25.5,16.1,15.4,16.9,37.6,36.2,39.1,23.2,23.4,23.0,1387231
40,NE,31,,,,,04043US31,Nebraska -- Rural,494028,249223,14450,16950,17447,11425,5910,2432,2473,7622,11041,12954,13020,14328,15052,19870,20810,8345,10259,6628,8243,10835,8084,6159,4886,244805,13907,16336,16768,10141,5143,2187,2119,6981,10432,11963,12813,13339,15593,19683,19494,7470,10217,6298,7978,11076,9417,7122,8328,471843,238104,13319,15655,16108,10615,5415,11610,10325,12192,26172,33922,38562,25282,14079,4848,233739,12901,15098,15253,9360,4814,10633,9765,11408,25061,33930,36247,24710,16321,8238,2548,1604,111,187,217,97,62,176,108,141,190,168,92,46,9,0,944,108,137,150,50,33,69,61,75,61,126,54,4,15,1,7071,3476,365,396,489,221,104,276,236,261,366,283,255,169,46,9,3595,381,366,436,195,131,258,197,224,401,394,332,205,50,25,1868,657,30,27,35,33,52,69,50,70,79,54,70,34,32,22,1211,30,90,98,61,40,82,85,32,172,169,165,90,70,27,185,79,0,2,0,0,3,27,2,7,0,18,18,0,2,0,106,4,1,0,0,0,7,2,0,10,15,13,54,0,0,3678,1835,83,149,198,142,99,119,108,180,277,190,172,82,34,2,1843,75,218,254,141,40,49,121,84,247,300,159,117,25,13,6835,3468,542,534,400,317,175,250,212,103,264,287,245,93,41,5,3367,408,426,577,334,85,189,201,140,200,342,211,172,58,24,455722,229756,12405,14628,15152,10252,5098,10999,9732,11514,25045,33057,38096,25026,13932,4820,225966,11910,14001,14285,8912,4509,10124,9241,10888,24094,33238,35864,24495,16226,8179,21191,10901,1095,1308,1261,566,450,819,763,919,1442,1063,650,345,189,31,10290,1159,1414,1363,680,385,615,665,625,1208,1075,549,362,120,70,44.0,43.1,45.1,45.0,44.1,45.9,22.3,23.5,19.6,24.3,22.7,25.5,37.6,32.5,40.8,54.3,30.8,68.0,30.8,30.5,31.3,17.4,17.3,17.5,45.9,45.0,46.9,23.2,24.7,21.1,494028
40,NE,31,,,,,040A0US31,Nebraska -- In metropolitan or micropolitan statistical area,1539738,765036,56624,56652,54274,31641,22639,11953,12598,34593,55132,55989,49934,46648,46930,50829,48707,18379,22823,14559,17638,20869,14809,11013,9803,774702,53647,54562,51632,29757,22073,12591,11336,33542,52264,54153,48630,45538,45925,51362,49851,18918,25840,14595,19335,24951,18877,16073,19250,1334204,662115,45852,45324,45295,26029,18575,49542,46707,47817,83201,86911,82888,49867,24692,9415,672089,42992,44085,42242,24292,18531,48224,44348,46274,81309,86592,86705,54626,33278,18591,86184,43287,3738,4184,3593,2290,1715,4009,3393,3359,5432,5200,3767,1676,718,213,42897,3844,4241,3173,1948,1521,3788,3285,3333,5209,4882,3992,2299,1078,304,8197,3970,347,250,406,221,227,348,270,321,550,510,303,191,26,0,4227,336,297,398,252,116,272,210,259,488,734,531,238,46,50,38140,18353,1401,1526,1033,684,707,2101,2045,1671,3085,2026,1173,657,133,111,19787,1281,1629,1332,701,679,2174,1879,1810,3227,1993,1696,956,276,154,982,397,42,32,9,7,38,40,34,57,34,46,46,0,8,4,585,33,49,69,0,43,38,83,49,71,52,27,64,7,0,33846,17798,1670,2078,1336,931,625,1745,1330,1637,2704,2078,1071,393,141,59,16048,2031,1210,1822,1040,516,1253,1129,1160,2462,1705,1128,360,132,100,38185,19116,3574,3258,2602,1479,752,1359,1353,1127,1576,988,661,282,104,1,19069,3130,3051,2596,1524,667,1720,1330,1268,1402,1329,530,338,133,51,1208297,596329,37388,37619,38552,22259,16236,44015,41073,42492,74260,80823,79621,48571,24187,9233,611968,35484,36235,35933,21253,16111,42987,39489,41644,73105,81648,83714,53436,32451,18478,168788,88175,10893,10668,8743,4955,3270,7654,7079,7231,12141,8365,4486,1760,688,242,80613,10146,9935,8588,4438,3091,6823,6150,6098,11111,7045,4211,1707,1033,237,35.1,34.1,36.1,36.8,35.7,38.0,28.5,27.7,29.4,31.3,28.3,34.3,29.9,29.4,30.5,28.9,29.7,28.7,26.5,27.1,25.7,15.9,15.3,16.5,38.6,37.4,39.9,23.2,23.4,22.9,1539738
40,NE,31,,,,,040C0US31,Nebraska -- In metropolitan statistical area,1212167,602347,45219,45538,42435,24724,17771,9215,10029,28287,45327,45630,40848,37095,37363,39534,37061,14243,17026,11108,13307,15424,10692,7659,6812,609820,43089,43224,40925,23550,17227,10088,9156,27108,42905,44402,39098,36645,36732,40064,38310,14661,19911,11219,14807,18379,13614,11325,13381,1025820,509540,35369,35186,34473,19689,14239,38952,37677,38203,65809,67284,61925,36907,17362,6465,516280,33296,33615,32572,18715,14115,37949,35690,37042,63902,67039,65632,40438,23460,12815,82430,41070,3649,4076,3381,2152,1561,3730,3027,3127,5197,4961,3641,1660,695,213,41360,3668,4007,3057,1847,1486,3625,3111,3200,5020,4780,3931,2276,1048,304,6336,2935,304,124,302,187,172,224,196,269,431,339,277,98,12,0,3401,302,237,305,223,82,203,138,172,439,585,400,224,41,50,35696,17242,1326,1499,936,665,629,1961,1912,1603,2908,1846,1088,654,122,93,18454,1267,1539,1176,630,551,1979,1798,1742,2987,1905,1647,882,233,118,830,335,42,32,9,0,26,34,7,57,34,46,36,0,8,4,495,29,49,69,0,17,38,83,49,71,52,21,10,7,0,28303,14807,1405,1766,1138,793,491,1433,1227,1392,2278,1586,868,311,83,36,13496,1776,1062,1490,851,415,1108,1053,1051,2079,1320,870,264,78,79,32752,16418,3124,2855,2196,1238,653,1197,1281,979,1286,835,495,209,69,1,16334,2751,2715,2256,1284,561,1450,1032,1146,1245,1115,381,311,72,15,934339,461668,29227,29548,29684,17093,12606,34899,33378,34224,59158,62811,59680,36028,17007,6325,472671,27797,28036,27798,16461,12539,34061,32048,33560,58065,63427,63610,39650,22871,12748,126749,66220,8171,8109,6509,3575,2368,5738,5584,5583,9286,6179,3228,1244,469,177,60529,7748,7311,6662,3361,2095,5247,4794,4810,8234,5212,2972,1209,704,170,34.4,33.5,35.4,36.1,35.1,37.2,28.8,27.7,29.8,31.7,28.4,35.9,30.0,29.4,30.8,28.8,31.4,28.2,26.1,26.8,25.2,15.6,15.1,15.9,37.8,36.7,39.0,23.2,23.7,22.8,1212167
40,NE,31,,,,,040C1US31,Nebraska -- In metropolitan statistical area -- in principal city,766985,380263,27774,27285,25050,14598,11946,6758,7146,20594,31641,29772,26074,22657,22746,23477,23181,8581,10732,6847,8246,9276,6413,4825,4644,386722,27275,26080,24470,14129,12390,7906,6932,19490,29121,28302,23774,21986,21622,24223,23880,9185,12863,7108,9250,11588,8477,7327,9344,622320,307977,20193,19389,19048,10816,9199,27399,25514,23989,39475,38718,37484,22027,10398,4328,314343,19720,18867,18268,10501,9803,27271,23495,22827,36596,38293,40432,24898,14524,8848,69310,34388,3065,3393,2795,1727,1331,3222,2553,2579,4275,4148,3058,1402,636,204,34922,3180,3280,2595,1619,1230,3089,2687,2451,4167,4026,3408,1943,957,290,4474,2118,186,111,193,103,152,157,134,217,305,290,212,51,7,0,2356,221,157,226,70,63,176,128,139,303,456,215,131,32,39,27190,13632,979,1256,662,567,528,1702,1635,1295,2074,1412,782,547,100,93,13558,943,1103,794,453,494,1769,1343,1212,2140,1327,1076,654,165,85,491,216,16,32,6,0,23,29,5,51,22,20,0,0,8,4,275,29,16,45,0,17,33,52,25,46,5,0,0,7,0,20740,10761,1186,1191,914,615,317,1099,898,976,1585,1115,617,182,51,15,9979,1420,692,1059,650,363,900,714,813,1538,1002,523,169,69,67,22460,11171,2149,1913,1432,770,396,890,902,665,995,520,341,160,38,0,11289,1762,1965,1483,836,420,1090,702,835,970,736,274,151,50,15,552491,271090,15489,15002,15422,8892,7893,24356,22255,20835,34148,35352,35705,21416,10122,4203,281401,15393,14501,14597,8793,8584,24440,20770,20150,32237,35764,38951,24294,14110,8817,95391,50145,6302,6050,4912,2692,1786,4338,4181,4241,7246,4592,2487,821,357,140,45246,6058,5495,4995,2503,1639,3935,3524,3644,6133,3754,2058,864,520,124,33.6,32.8,34.5,35.5,34.6,36.5,28.5,27.6,29.5,32.2,31.5,34.9,29.0,28.6,29.5,24.8,28.4,23.8,24.9,25.5,23.9,16.0,15.5,16.5,37.7,36.5,39.0,23.1,23.8,22.4,766985
40,NE,31,,,,,040C2US31,Nebraska -- In metropolitan statistical area -- not in principal city,445182,222084,17445,18253,17385,10126,5825,2457,2883,7693,13686,15858,14774,14438,14617,16057,13880,5662,6294,4261,5061,6148,4279,2834,2168,223098,15814,17144,16455,9421,4837,2182,2224,7618,13784,16100,15324,14659,15110,15841,14430,5476,7048,4111,5557,6791,5137,3998,4037,403500,201563,15176,15797,15425,8873,5040,11553,12163,14214,26334,28566,24441,14880,6964,2137,201937,13576,14748,14304,8214,4312,10678,12195,14215,27306,28746,25200,15540,8936,3967,13120,6682,584,683,586,425,230,508,474,548,922,813,583,258,59,9,6438,488,727,462,228,256,536,424,749,853,754,523,333,91,14,1862,817,118,13,109,84,20,67,62,52,126,49,65,47,5,0,1045,81,80,79,153,19,27,10,33,136,129,185,93,9,11,8506,3610,347,243,274,98,101,259,277,308,834,434,306,107,22,0,4896,324,436,382,177,57,210,455,530,847,578,571,228,68,33,339,119,26,0,3,0,3,5,2,6,12,26,36,0,0,0,220,0,33,24,0,0,5,31,24,25,47,21,10,0,0,7563,4046,219,575,224,178,174,334,329,416,693,471,251,129,32,21,3517,356,370,431,201,52,208,339,238,541,318,347,95,9,12,10292,5247,975,942,764,468,257,307,379,314,291,315,154,49,31,1,5045,989,750,773,448,141,360,330,311,275,379,107,160,22,0,381848,190578,13738,14546,14262,8201,4713,10543,11123,13389,25010,27459,23975,14612,6885,2122,191270,12404,13535,13201,7668,3955,9621,11278,13410,25828,27663,24659,15356,8761,3931,31358,16075,1869,2059,1597,883,582,1400,1403,1342,2040,1587,741,423,112,37,15283,1690,1816,1667,858,456,1312,1270,1166,2101,1458,914,345,184,46,35.9,34.8,37.0,37.1,36.0,38.2,29.8,28.4,30.7,30.4,24.9,37.1,33.8,33.0,34.0,37.6,48.4,32.7,28.3,29.7,27.2,14.9,14.6,15.1,38.0,36.9,39.0,23.9,23.2,24.4,445182
40,NE,31,,,,,040E0US31,Nebraska -- In micropolitan statistical area,327571,162689,11405,11114,11839,6917,4868,2738,2569,6306,9805,10359,9086,9553,9567,11295,11646,4136,5797,3451,4331,5445,4117,3354,2991,164882,10558,11338,10707,6207,4846,2503,2180,6434,9359,9751,9532,8893,9193,11298,11541,4257,5929,3376,4528,6572,5263,4748,5869,308384,152575,10483,10138,10822,6340,4336,10590,9030,9614,17392,19627,20963,12960,7330,2950,155809,9696,10470,9670,5577,4416,10275,8658,9232,17407,19553,21073,14188,9818,5776,3754,2217,89,108,212,138,154,279,366,232,235,239,126,16,23,0,1537,176,234,116,101,35,163,174,133,189,102,61,23,30,0,1861,1035,43,126,104,34,55,124,74,52,119,171,26,93,14,0,826,34,60,93,29,34,69,72,87,49,149,131,14,5,0,2444,1111,75,27,97,19,78,140,133,68,177,180,85,3,11,18,1333,14,90,156,71,128,195,81,68,240,88,49,74,43,36,152,62,0,0,0,7,12,6,27,0,0,0,10,0,0,0,90,4,0,0,0,26,0,0,0,0,0,6,54,0,0,5543,2991,265,312,198,138,134,312,103,245,426,492,203,82,58,23,2552,255,148,332,189,101,145,76,109,383,385,258,96,54,21,5433,2698,450,403,406,241,99,162,72,148,290,153,166,73,35,0,2735,379,336,340,240,106,270,298,122,157,214,149,27,61,36,273958,134661,8161,8071,8868,5166,3630,9116,7695,8268,15102,18012,19941,12543,7180,2908,139297,7687,8199,8135,4792,3572,8926,7441,8084,15040,18221,20104,13786,9580,5730,42039,21955,2722,2559,2234,1380,902,1916,1495,1648,2855,2186,1258,516,219,65,20084,2398,2624,1926,1077,996,1576,1356,1288,2877,1833,1239,498,329,67,38.3,36.7,39.5,39.2,37.8,40.5,26.4,27.3,23.6,28.9,28.3,31.5,28.8,29.7,25.7,29.5,26.4,68.2,31.2,31.3,31.0,17.7,16.8,19.0,42.0,40.7,43.6,22.9,22.7,23.3,327571
40,NE,31,,,,,040E1US31,Nebraska -- In micropolitan statistical area -- in principal city,192904,95078,7519,6340,6853,3666,3384,2094,1909,4562,6268,6649,5296,5653,5451,5767,5970,2130,3032,1581,2303,2752,2262,1826,1811,97826,6419,6785,5777,3452,3493,1910,1719,4590,6022,6166,5697,5087,5130,6070,6369,2366,3216,1861,2261,3750,3034,2808,3844,179198,87668,6810,5603,6134,3313,3006,7731,5653,6063,9998,10290,10792,6474,4011,1790,91530,5799,6130,5216,3051,3134,7515,5506,5748,9994,10593,11552,7723,5777,3792,3211,1895,64,76,195,96,129,221,351,221,210,182,111,16,23,0,1316,166,179,80,98,29,159,103,133,176,85,55,23,30,0,1308,744,23,113,83,24,50,106,14,25,88,141,9,57,11,0,564,14,41,44,28,25,48,61,74,26,84,111,8,0,0,2002,991,71,27,88,13,72,139,127,51,165,178,60,0,0,0,1011,0,66,127,51,123,178,63,68,205,46,19,56,0,9,65,39,0,0,0,0,12,6,14,0,0,0,7,0,0,0,26,0,0,0,0,26,0,0,0,0,0,0,0,0,0,3870,2110,235,249,95,88,81,246,60,190,332,360,85,43,25,21,1760,205,131,240,124,86,112,61,48,287,255,140,49,11,11,3250,1631,316,272,258,132,34,116,49,99,156,67,68,46,18,0,1619,235,238,70,100,70,207,228,95,96,137,74,13,24,32,153204,74387,4964,4230,4703,2317,2446,6486,4734,5036,8308,9152,10102,6189,3953,1767,78817,4308,4299,4105,2392,2414,6431,4604,4943,8178,9544,10801,7452,5590,3756,31426,16220,2196,1776,1587,1136,701,1618,975,1274,2104,1562,808,345,94,44,15206,1799,2149,1370,836,834,1259,1021,880,2200,1390,903,320,198,47,35.4,33.5,37.3,36.5,34.4,38.4,27.1,28.0,23.6,27.5,20.8,32.0,25.4,25.9,23.0,19.8,26.1,.,25.8,30.1,23.5,18.1,14.1,22.5,39.9,37.7,41.8,22.0,21.6,22.5,192904
40,NE,31,,,,,040E2US31,Nebraska -- In micropolitan statistical area -- not in principal city,134667,67611,3886,4774,4986,3251,1484,644,660,1744,3537,3710,3790,3900,4116,5528,5676,2006,2765,1870,2028,2693,1855,1528,1180,67056,4139,4553,4930,2755,1353,593,461,1844,3337,3585,3835,3806,4063,5228,5172,1891,2713,1515,2267,2822,2229,1940,2025,129186,64907,3673,4535,4688,3027,1330,2859,3377,3551,7394,9337,10171,6486,3319,1160,64279,3897,4340,4454,2526,1282,2760,3152,3484,7413,8960,9521,6465,4041,1984,543,322,25,32,17,42,25,58,15,11,25,57,15,0,0,0,221,10,55,36,3,6,4,71,0,13,17,6,0,0,0,553,291,20,13,21,10,5,18,60,27,31,30,17,36,3,0,262,20,19,49,1,9,21,11,13,23,65,20,6,5,0,442,120,4,0,9,6,6,1,6,17,12,2,25,3,11,18,322,14,24,29,20,5,17,18,0,35,42,30,18,43,27,87,23,0,0,0,7,0,0,13,0,0,0,3,0,0,0,64,4,0,0,0,0,0,0,0,0,0,6,54,0,0,1673,881,30,63,103,50,53,66,43,55,94,132,118,39,33,2,792,50,17,92,65,15,33,15,61,96,130,118,47,43,10,2183,1067,134,131,148,109,65,46,23,49,134,86,98,27,17,0,1116,144,98,270,140,36,63,70,27,61,77,75,14,37,4,120754,60274,3197,3841,4165,2849,1184,2630,2961,3232,6794,8860,9839,6354,3227,1141,60480,3379,3900,4030,2400,1158,2495,2837,3141,6862,8677,9303,6334,3990,1974,10613,5735,526,783,647,244,201,298,520,374,751,624,450,171,125,21,4878,599,475,556,241,162,317,335,408,677,443,336,178,131,20,42.4,41.8,43.1,43.0,42.4,43.6,20.5,20.6,20.1,29.8,29.3,30.1,43.8,44.0,42.7,68.2,29.3,68.4,35.8,33.3,41.4,17.3,18.2,16.3,44.5,43.9,45.1,26.4,27.1,25.8,134667
