SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,NJ,34,,,,,04000US34,New Jersey,8915456,4350531,269530,279880,293908,182482,115580,58774,60245,175064,290486,288218,279222,297814,317147,332526,303331,107291,141347,86397,109246,136102,93895,68396,63650,4564925,258979,270747,280456,173831,107368,55951,53921,166193,279293,289172,286840,306135,333506,349382,322024,117699,158823,99735,125861,168871,124752,103837,131549,6075710,2970309,162669,174902,188754,119366,75354,182884,182239,177293,368207,464299,422067,262715,132969,56591,3105401,156231,166219,179881,113659,68631,173108,172081,175316,370504,477987,446612,304802,184879,115491,1207221,567638,38660,38393,42997,27181,18201,50251,42683,38915,77357,82050,60352,31977,14762,3859,639583,38754,39569,40666,27085,17965,47793,44126,43075,87764,95602,75708,46588,24644,10244,18470,9285,654,742,796,404,119,537,504,591,1416,1419,1257,530,290,26,9185,704,911,676,276,227,656,650,627,1171,1213,1009,628,363,74,819208,398605,25661,26681,26319,15089,8915,23902,30047,35860,71899,55576,41683,24700,10241,2032,420603,24332,26598,25569,14515,8686,23642,32206,39109,75820,59639,46568,27997,12204,3718,2811,1157,70,65,140,16,73,78,77,199,143,153,63,56,24,0,1654,96,92,84,121,75,174,90,128,301,228,168,89,8,0,566323,291096,23911,23478,22142,13483,8685,26413,26850,29109,48613,36993,20105,8169,2327,818,275227,21973,23596,21085,11652,7767,21810,22936,24379,45812,37038,20737,10502,4675,1265,225713,112441,17905,15619,12760,6943,4233,10018,8086,6251,9401,9183,6442,3598,1678,324,113272,16889,13762,12495,6523,4017,8882,7204,6538,11603,11181,7744,3861,1816,757,5054611,2462966,118680,132537,150708,96493,59431,143835,141954,136493,289355,397201,379696,240751,122339,53493,2591645,112706,127972,140706,91387,54217,136283,135134,135786,294065,409467,398169,276706,169619,109428,1719831,864122,77332,72537,66724,39981,26797,71628,72539,74138,135252,109899,66652,32499,14000,4144,855709,74779,68652,65910,37541,24742,64207,64579,68521,129996,112114,74597,41209,21069,7793,39.5,37.9,41.0,42.9,41.3,44.4,35.4,33.3,37.3,35.7,37.0,33.8,36.4,35.8,37.0,31.3,30.8,34.3,30.6,30.1,31.3,20.4,19.4,21.6,45.4,43.9,46.8,31.0,30.3,32.0,8915456
40,NJ,34,,,,,04001US34,New Jersey -- Urban,8445887,4110831,258437,266794,277582,171396,109732,55731,57407,165248,278478,276082,267557,283248,297246,310238,282171,100443,131596,80421,101338,127172,87688,64472,60354,4335056,249160,259108,264960,163069,101818,53222,51445,158861,270270,278895,275445,291580,313855,327897,301162,110238,149068,94014,117976,159795,118155,99139,125924,5658953,2760776,153225,163780,174527,109843,70535,170420,172543,167692,346423,426634,386869,241262,123583,53440,2898177,147751,156319,166677,104135,63811,161925,164051,166212,347692,440136,411269,283536,174475,110188,1184118,553004,38331,37699,42399,26401,17602,48402,41453,37502,75014,79819,58980,31284,14340,3778,631114,38358,39073,40143,26772,17740,47135,43681,42641,86871,94363,74310,45859,24138,10030,17581,8783,650,720,759,400,114,498,449,565,1354,1343,1155,498,256,22,8798,694,904,652,265,225,624,623,587,1149,1154,911,608,342,60,806177,392768,25350,26271,25709,14679,8810,23661,29859,35710,71016,54483,40934,24291,9963,2032,413409,24045,26119,24762,14089,8463,23362,31982,38747,74316,58585,45803,27571,11907,3658,2744,1146,70,65,136,16,73,78,77,199,143,148,63,54,24,0,1598,96,88,84,100,75,174,79,128,301,214,168,83,8,0,559363,286543,23516,23108,22016,13349,8492,25975,26432,28417,47818,36229,19967,8135,2325,764,272820,21873,23297,20764,11555,7697,21723,22834,24135,45356,36657,20574,10446,4652,1257,216951,107811,17295,15151,12036,6708,4106,9352,7665,5997,9037,8828,6242,3407,1669,318,109140,16343,13308,11878,6153,3807,8585,7020,6445,11340,10643,7433,3682,1772,731,4656829,2263098,110147,122366,137555,87633,54808,132046,132652,127412,268804,361016,345339,219873,113081,50366,2393731,104875,118964,128417,82444,49805,125907,127445,127098,272558,373043,363632,255902,159402,104239,1691597,848552,75873,71163,65367,39089,26379,70162,71582,72860,133069,107552,65650,31872,13870,4064,843045,73850,67377,64609,36714,24151,63227,64124,67831,128136,110269,73573,40658,20855,7671,39.2,37.5,40.7,42.6,40.9,44.2,35.4,33.2,37.3,35.3,36.7,33.3,36.3,35.7,36.9,31.4,30.7,34.5,30.6,30.1,31.4,20.5,19.3,21.7,45.3,43.6,46.8,31.0,30.3,32.0,8445887
40,NJ,34,,,,,04043US34,New Jersey -- Rural,469569,239700,11093,13086,16326,11086,5848,3043,2838,9816,12008,12136,11665,14566,19901,22288,21160,6848,9751,5976,7908,8930,6207,3924,3296,229869,9819,11639,15496,10762,5550,2729,2476,7332,9023,10277,11395,14555,19651,21485,20862,7461,9755,5721,7885,9076,6597,4698,5625,416757,209533,9444,11122,14227,9523,4819,12464,9696,9601,21784,37665,35198,21453,9386,3151,207224,8480,9900,13204,9524,4820,11183,8030,9104,22812,37851,35343,21266,10404,5303,23103,14634,329,694,598,780,599,1849,1230,1413,2343,2231,1372,693,422,81,8469,396,496,523,313,225,658,445,434,893,1239,1398,729,506,214,889,502,4,22,37,4,5,39,55,26,62,76,102,32,34,4,387,10,7,24,11,2,32,27,40,22,59,98,20,21,14,13031,5837,311,410,610,410,105,241,188,150,883,1093,749,409,278,0,7194,287,479,807,426,223,280,224,362,1504,1054,765,426,297,60,67,11,0,0,4,0,0,0,0,0,0,5,0,2,0,0,56,0,4,0,21,0,0,11,0,0,14,0,6,0,0,6960,4553,395,370,126,134,193,438,418,692,795,764,138,34,2,54,2407,100,299,321,97,70,87,102,244,456,381,163,56,23,8,8762,4630,610,468,724,235,127,666,421,254,364,355,200,191,9,6,4132,546,454,617,370,210,297,184,93,263,538,311,179,44,26,397782,199868,8533,10171,13153,8860,4623,11789,9302,9081,20551,36185,34357,20878,9258,3127,197914,7831,9008,12289,8943,4412,10376,7689,8688,21507,36424,34537,20804,10217,5189,28234,15570,1459,1374,1357,892,418,1466,957,1278,2183,2347,1002,627,130,80,12664,929,1275,1301,827,591,980,455,690,1860,1845,1024,551,214,122,45.0,43.8,46.1,46.4,45.8,46.9,36.7,34.4,44.0,47.8,44.7,48.8,39.9,41.1,39.3,27.4,54.3,27.3,30.9,30.8,31.1,20.1,21.1,18.5,46.9,46.4,47.5,29.4,29.3,29.7,469569
40,NJ,34,,,,,040A0US34,New Jersey -- In metropolitan or micropolitan statistical area,8915456,4350531,269530,279880,293908,182482,115580,58774,60245,175064,290486,288218,279222,297814,317147,332526,303331,107291,141347,86397,109246,136102,93895,68396,63650,4564925,258979,270747,280456,173831,107368,55951,53921,166193,279293,289172,286840,306135,333506,349382,322024,117699,158823,99735,125861,168871,124752,103837,131549,6075710,2970309,162669,174902,188754,119366,75354,182884,182239,177293,368207,464299,422067,262715,132969,56591,3105401,156231,166219,179881,113659,68631,173108,172081,175316,370504,477987,446612,304802,184879,115491,1207221,567638,38660,38393,42997,27181,18201,50251,42683,38915,77357,82050,60352,31977,14762,3859,639583,38754,39569,40666,27085,17965,47793,44126,43075,87764,95602,75708,46588,24644,10244,18470,9285,654,742,796,404,119,537,504,591,1416,1419,1257,530,290,26,9185,704,911,676,276,227,656,650,627,1171,1213,1009,628,363,74,819208,398605,25661,26681,26319,15089,8915,23902,30047,35860,71899,55576,41683,24700,10241,2032,420603,24332,26598,25569,14515,8686,23642,32206,39109,75820,59639,46568,27997,12204,3718,2811,1157,70,65,140,16,73,78,77,199,143,153,63,56,24,0,1654,96,92,84,121,75,174,90,128,301,228,168,89,8,0,566323,291096,23911,23478,22142,13483,8685,26413,26850,29109,48613,36993,20105,8169,2327,818,275227,21973,23596,21085,11652,7767,21810,22936,24379,45812,37038,20737,10502,4675,1265,225713,112441,17905,15619,12760,6943,4233,10018,8086,6251,9401,9183,6442,3598,1678,324,113272,16889,13762,12495,6523,4017,8882,7204,6538,11603,11181,7744,3861,1816,757,5054611,2462966,118680,132537,150708,96493,59431,143835,141954,136493,289355,397201,379696,240751,122339,53493,2591645,112706,127972,140706,91387,54217,136283,135134,135786,294065,409467,398169,276706,169619,109428,1719831,864122,77332,72537,66724,39981,26797,71628,72539,74138,135252,109899,66652,32499,14000,4144,855709,74779,68652,65910,37541,24742,64207,64579,68521,129996,112114,74597,41209,21069,7793,39.5,37.9,41.0,42.9,41.3,44.4,35.4,33.3,37.3,35.7,37.0,33.8,36.4,35.8,37.0,31.3,30.8,34.3,30.6,30.1,31.3,20.4,19.4,21.6,45.4,43.9,46.8,31.0,30.3,32.0,8915456
40,NJ,34,,,,,040C0US34,New Jersey -- In metropolitan statistical area,8915456,4350531,269530,279880,293908,182482,115580,58774,60245,175064,290486,288218,279222,297814,317147,332526,303331,107291,141347,86397,109246,136102,93895,68396,63650,4564925,258979,270747,280456,173831,107368,55951,53921,166193,279293,289172,286840,306135,333506,349382,322024,117699,158823,99735,125861,168871,124752,103837,131549,6075710,2970309,162669,174902,188754,119366,75354,182884,182239,177293,368207,464299,422067,262715,132969,56591,3105401,156231,166219,179881,113659,68631,173108,172081,175316,370504,477987,446612,304802,184879,115491,1207221,567638,38660,38393,42997,27181,18201,50251,42683,38915,77357,82050,60352,31977,14762,3859,639583,38754,39569,40666,27085,17965,47793,44126,43075,87764,95602,75708,46588,24644,10244,18470,9285,654,742,796,404,119,537,504,591,1416,1419,1257,530,290,26,9185,704,911,676,276,227,656,650,627,1171,1213,1009,628,363,74,819208,398605,25661,26681,26319,15089,8915,23902,30047,35860,71899,55576,41683,24700,10241,2032,420603,24332,26598,25569,14515,8686,23642,32206,39109,75820,59639,46568,27997,12204,3718,2811,1157,70,65,140,16,73,78,77,199,143,153,63,56,24,0,1654,96,92,84,121,75,174,90,128,301,228,168,89,8,0,566323,291096,23911,23478,22142,13483,8685,26413,26850,29109,48613,36993,20105,8169,2327,818,275227,21973,23596,21085,11652,7767,21810,22936,24379,45812,37038,20737,10502,4675,1265,225713,112441,17905,15619,12760,6943,4233,10018,8086,6251,9401,9183,6442,3598,1678,324,113272,16889,13762,12495,6523,4017,8882,7204,6538,11603,11181,7744,3861,1816,757,5054611,2462966,118680,132537,150708,96493,59431,143835,141954,136493,289355,397201,379696,240751,122339,53493,2591645,112706,127972,140706,91387,54217,136283,135134,135786,294065,409467,398169,276706,169619,109428,1719831,864122,77332,72537,66724,39981,26797,71628,72539,74138,135252,109899,66652,32499,14000,4144,855709,74779,68652,65910,37541,24742,64207,64579,68521,129996,112114,74597,41209,21069,7793,39.5,37.9,41.0,42.9,41.3,44.4,35.4,33.3,37.3,35.7,37.0,33.8,36.4,35.8,37.0,31.3,30.8,34.3,30.6,30.1,31.3,20.4,19.4,21.6,45.4,43.9,46.8,31.0,30.3,32.0,8915456
40,NJ,34,,,,,040C1US34,New Jersey -- In metropolitan statistical area -- in principal city,964926,477216,38957,34890,31246,18503,14791,8763,8439,24844,44612,42652,36409,33342,30376,28493,23604,9013,11144,6354,7770,9526,6335,4174,2979,487710,40602,34084,31892,18592,14211,8150,7726,23640,41443,40514,35032,31018,29693,29241,25188,9252,12215,7869,9216,13364,9708,7295,7765,381526,194883,15528,14212,10981,6607,6140,16140,17525,16740,28762,24482,18781,11635,5485,1865,186643,16448,12790,12152,6827,5388,14175,14546,14609,24195,21225,18317,13009,8170,4792,326377,152059,12014,10811,12040,7180,5001,14308,12438,10794,20448,20684,14801,7513,3226,801,174318,13008,11467,12077,7442,5061,14040,13135,13382,23041,23411,17965,11415,6565,2309,4028,1936,151,19,246,113,53,114,116,124,297,230,354,54,61,4,2092,216,239,64,68,81,214,107,214,146,281,263,159,28,12,86833,43937,2888,1810,1441,890,1303,4197,6483,7134,7481,3744,3831,1951,619,165,42896,2635,1943,1507,962,1182,4288,6152,5793,6485,4151,4228,2466,938,166,329,144,0,11,47,10,0,4,0,13,20,15,0,0,24,0,185,11,5,0,7,0,49,6,16,43,12,14,22,0,0,137707,70311,6106,6193,5146,2984,1671,6075,6865,6989,11594,8821,5054,2054,667,92,67396,6181,6418,4844,2670,1816,5579,6333,5444,10592,8424,4839,2928,943,385,28126,13946,2270,1834,1345,719,623,1208,1185,858,1149,893,940,443,427,52,14180,2103,1222,1248,616,683,1171,1164,1056,1548,1430,1029,450,359,101,217182,110845,8093,6810,5405,3260,3413,9466,9830,9370,14570,14533,12782,7937,3799,1577,106337,8515,6344,5790,3429,3061,7960,8034,7724,12499,12073,12012,8902,6235,3759,332000,168586,15689,15339,12202,7006,5080,14266,15861,14869,27263,19802,11923,6259,2610,417,163414,16801,14290,12898,6905,5019,13185,13610,13383,23953,18589,12550,7500,3263,1468,32.1,31.5,32.8,33.3,32.9,33.7,32.7,31.0,33.9,31.0,36.2,30.4,32.1,32.0,32.3,34.1,28.5,34.9,30.0,30.1,29.9,22.9,20.8,25.2,35.6,34.8,36.5,29.6,29.6,29.7,964926
40,NJ,34,,,,,040C2US34,New Jersey -- In metropolitan statistical area -- not in principal city,7950530,3873315,230573,244990,262662,163979,100789,50011,51806,150220,245874,245566,242813,264472,286771,304033,279727,98278,130203,80043,101476,126576,87560,64222,60671,4077215,218377,236663,248564,155239,93157,47801,46195,142553,237850,248658,251808,275117,303813,320141,296836,108447,146608,91866,116645,155507,115044,96542,123784,5694184,2775426,147141,160690,177773,112759,69214,166744,164714,160553,339445,439817,403286,251080,127484,54726,2918758,139783,153429,167729,106832,63243,158933,157535,160707,346309,456762,428295,291793,176709,110699,880844,415579,26646,27582,30957,20001,13200,35943,30245,28121,56909,61366,45551,24464,11536,3058,465265,25746,28102,28589,19643,12904,33753,30991,29693,64723,72191,57743,35173,18079,7935,14442,7349,503,723,550,291,66,423,388,467,1119,1189,903,476,229,22,7093,488,672,612,208,146,442,543,413,1025,932,746,469,335,62,732375,354668,22773,24871,24878,14199,7612,19705,23564,28726,64418,51832,37852,22749,9622,1867,377707,21697,24655,24062,13553,7504,19354,26054,33316,69335,55488,42340,25531,11266,3552,2482,1013,70,54,93,6,73,74,77,186,123,138,63,56,0,0,1469,85,87,84,114,75,125,84,112,258,216,154,67,8,0,428616,220785,17805,17285,16996,10499,7014,20338,19985,22120,37019,28172,15051,6115,1660,726,207831,15792,17178,16241,8982,5951,16231,16603,18935,35220,28614,15898,7574,3732,880,197587,98495,15635,13785,11415,6224,3610,8810,6901,5393,8252,8290,5502,3155,1251,272,99092,14786,12540,11247,5907,3334,7711,6040,5482,10055,9751,6715,3411,1457,656,4837429,2352121,110587,125727,145303,93233,56018,134369,132124,127123,274785,382668,366914,232814,118540,51916,2485308,104191,121628,134916,87958,51156,128323,127100,128062,281566,397394,386157,267804,163384,105669,1387831,695536,61643,57198,54522,32975,21717,57362,56678,59269,107989,90097,54729,26240,11390,3727,692295,57978,54362,53012,30636,19723,51022,50969,55138,106043,93525,62047,33709,17806,6325,40.5,38.9,42.1,43.6,42.0,45.1,36.5,34.0,38.7,36.4,37.6,35.3,37.2,36.6,37.7,31.2,30.8,34.0,30.8,30.1,31.8,20.1,19.2,21.2,45.8,44.3,47.2,31.4,30.4,32.6,7950530
50,NJ,34,001,,,,05000US34001,"Atlantic County, New Jersey",274026,132741,8240,8008,9212,5577,3645,2024,1948,5562,8384,7713,7108,8450,9231,10408,9628,3979,4636,2859,3528,5143,3155,2531,1772,141285,7915,7726,8693,5284,3554,1822,2019,5507,8307,8099,7888,9150,9996,11101,10365,3944,5408,3136,4395,5801,4167,3289,3719,184371,89776,4504,4483,5667,3372,2244,6010,5309,4892,10521,13792,13708,9057,4640,1577,94595,4448,4377,5030,3131,2357,5903,5218,5124,10436,14567,14463,10399,6117,3025,42711,19833,1717,1500,1557,858,720,1832,1249,1119,2252,2913,2217,1177,588,134,22878,1401,1494,1322,1003,665,1842,1585,1311,2940,3350,2823,1726,892,524,563,264,27,0,22,0,0,27,23,5,6,9,111,22,8,4,299,16,20,0,5,9,18,9,37,44,18,88,35,0,0,22658,10886,668,691,945,576,257,635,678,672,1415,1713,1456,823,310,47,11772,558,693,883,503,233,756,753,735,1995,1760,1633,825,354,91,66,11,0,0,4,0,0,0,0,0,0,0,0,7,0,0,55,0,4,5,0,0,21,0,0,0,25,0,0,0,0,14225,7044,446,818,569,365,283,553,635,769,1071,887,370,216,52,10,7181,687,497,833,389,78,521,430,615,1326,1000,458,255,68,24,9432,4927,878,516,448,406,141,477,490,256,293,325,381,228,88,0,4505,805,641,620,253,212,287,312,277,297,377,252,92,25,55,155570,75241,3282,3165,4323,2685,1829,4671,4199,3896,8199,11986,12570,8581,4293,1562,80329,3081,3183,3906,2521,1829,4775,4095,3959,8565,12682,13260,9756,5761,2956,50170,25145,2570,2409,2297,1264,800,2197,2072,1966,3561,3044,1762,773,405,25,25025,2522,2131,2357,1220,774,1959,1875,1990,3591,3082,1973,972,457,122,40.8,39.3,42.3,44.7,43.3,46.2,35.5,32.1,37.8,51.1,56.5,37.8,38.4,37.3,39.4,23.0,.,22.9,30.0,28.8,31.6,18.5,20.3,17.4,47.6,46.4,48.9,28.4,27.9,28.8,274026
50,NJ,34,003,,,,05000US34003,"Bergen County, New Jersey",930310,450329,25322,28834,30110,19349,11282,4599,5782,16641,25966,28053,29481,31412,34132,35822,32603,11889,15355,9648,12238,14533,11189,7685,8404,479981,24173,27291,29057,18357,10618,5025,5179,15484,25729,29058,31646,32743,36924,37856,36263,12532,16632,10732,13592,18575,14491,12264,15760,658572,320032,16410,18514,21127,13503,8133,18587,17363,17334,39891,50943,46354,28708,15476,7689,338540,15456,18189,20193,12672,7364,17296,16500,17925,40411,53077,49381,33630,22193,14253,54765,25578,1479,1645,1701,1238,820,1986,1763,1827,3578,3996,2817,1701,837,190,29187,1219,1583,1666,1251,811,1908,1629,1997,4227,4955,3622,2435,1257,627,1777,838,29,152,29,59,12,59,35,32,53,170,101,86,19,2,939,45,78,64,8,34,15,67,79,172,106,107,71,69,24,147370,70152,4218,4973,4164,2792,1411,3659,4361,5603,12464,10821,8314,4802,2285,285,77218,4096,4391,4443,2701,1464,3764,5033,6442,14017,12493,9622,5508,2493,751,303,92,5,0,0,0,8,0,0,38,29,12,0,0,0,0,211,0,0,0,6,25,18,7,13,14,45,44,31,8,0,45625,22732,1452,1848,1940,1052,453,1770,1754,2633,4018,3031,1580,827,151,223,22893,1667,1517,1549,1106,636,1917,1740,2020,4194,3097,2022,822,563,43,21898,10905,1729,1702,1149,705,445,961,690,586,860,981,681,295,106,15,10993,1690,1533,1142,613,284,770,753,582,1354,1007,629,402,172,62,546048,265411,12229,14717,16934,10995,6187,14374,13054,13302,30706,43081,41581,26553,14391,7307,280637,11668,14238,15990,10358,5716,13652,12519,13459,31403,43963,43605,30283,20285,13498,171201,83691,6406,6260,6461,4015,2646,6617,6673,7134,13817,11570,6822,3324,1308,638,87510,6101,6111,6407,3829,2469,6059,6229,7069,14140,12966,8230,4518,2579,803,41.5,40.0,43.0,44.2,42.5,45.6,38.8,36.1,40.7,40.2,35.3,41.3,38.9,38.1,39.6,43.0,31.9,53.3,32.4,31.8,33.2,19.9,19.0,21.5,46.4,45.1,47.7,33.3,31.7,34.6,930310
50,NJ,34,005,,,,05000US34005,"Burlington County, New Jersey",450236,221808,11983,13415,14919,9282,5581,2723,3346,10435,14539,13459,12897,15101,16569,18168,16636,5527,7309,4678,5558,7426,4943,4075,3239,228428,11542,13412,14237,8953,4736,2564,2051,8199,12941,13411,13238,15362,17382,18994,17445,6310,7653,5372,6621,8896,6880,5751,6478,326657,160209,7712,9215,10024,6393,3527,10350,9835,8969,19720,26252,23666,14323,7367,2856,166448,7516,8858,9547,6294,3212,8667,8956,8785,20075,27447,24568,16557,10364,5602,72668,36154,1896,2160,2414,1736,1010,3485,2913,2224,4796,5639,4072,2265,1233,311,36514,1928,2296,2372,1615,928,2345,2234,2344,4878,5746,4591,2903,1714,620,495,223,2,11,4,14,0,6,8,9,54,55,6,33,21,0,272,11,7,6,4,13,50,34,27,25,38,40,14,3,0,21503,10343,705,590,967,357,158,573,690,797,1847,1412,1142,720,335,50,11160,682,646,755,421,213,500,790,976,1884,1555,1339,869,351,179,157,100,0,0,0,0,19,0,0,0,16,30,0,35,0,0,57,0,0,0,0,0,0,0,0,39,0,0,18,0,0,11390,6180,619,330,367,185,324,847,556,997,881,662,253,129,30,0,5210,230,549,586,118,109,484,440,723,771,589,325,173,109,4,17366,8599,1049,1109,1143,597,543,1243,537,463,684,687,333,157,32,22,8767,1175,1056,971,501,261,768,487,556,928,1001,545,355,90,73,309122,151174,7126,8475,9399,5999,3371,9419,8966,8415,18264,25036,22751,13952,7198,2803,157948,6748,8014,8906,5718,2965,8138,8315,8321,18799,26375,23763,16201,10147,5538,33575,17809,1473,1423,1450,816,595,2097,1696,1563,2584,2032,1265,524,229,62,15766,1445,1658,1216,770,444,1194,1239,1339,2303,1903,1193,612,378,72,41.3,39.4,42.9,44.1,42.7,45.5,37.5,35.5,39.4,39.9,45.2,32.5,37.8,37.3,38.5,51.4,52.2,40.7,29.7,28.1,30.6,20.7,19.5,22.9,44.8,43.3,46.3,29.0,28.4,29.6,450236
