SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,NV,32,,,,,04000US32,Nevada,2839172,1426322,92521,96260,94207,56701,34047,19030,19146,57180,104796,102787,95718,98867,98598,97483,89571,33643,46416,30446,39543,51333,33304,20948,13777,1412850,87919,92662,90191,54171,30946,18156,19140,54770,100616,99256,92500,96182,93625,94643,92060,35215,49294,32202,42892,53224,35638,23918,23630,1933057,982243,56319,59222,57684,34735,20599,58847,67703,67904,130960,140796,130971,99433,45063,12007,950814,52773,57595,55791,32703,18810,55349,64469,63779,121812,129629,131657,99541,47251,19655,243552,122210,9571,9717,8103,5314,3371,10539,9989,9172,16878,16286,12311,6935,3317,707,121342,8764,8706,8753,4656,3399,9482,10218,9178,16768,15462,12594,8331,3774,1257,31927,15714,1289,1229,998,767,539,1165,1110,1303,1910,2281,1637,1035,396,55,16213,864,944,1136,596,396,1163,1390,1054,2345,2273,2121,1258,433,240,222612,100021,4440,5365,6346,3649,2355,7044,8003,7714,15131,14884,12229,8589,3547,725,122591,3884,5106,5451,3931,1980,7439,8943,9373,19452,19516,18074,12474,5422,1546,18334,9156,465,617,769,474,271,795,862,848,1426,1154,773,564,120,18,9178,647,730,646,416,333,839,806,746,1474,1053,750,485,180,73,260654,132888,10440,11546,12920,7391,4909,11519,12132,11784,21643,16250,8233,2912,1067,142,127766,10830,10950,11109,7879,4303,12248,10517,10592,20210,15295,7679,3990,1530,634,129036,64090,9997,8564,7387,4371,2003,5447,4997,4062,6637,4430,3476,1854,742,123,64946,10157,8631,7305,3990,1725,5546,4273,4534,6621,5040,3694,2239,966,225,1455508,740856,33582,35437,35138,22123,12813,38352,48081,48669,95387,112814,115129,90976,41280,11075,714652,31451,33619,33095,20991,11349,36928,45886,45467,86815,103885,113831,90393,42626,18316,790497,401656,37716,39267,38406,21757,13525,34546,33712,32772,59930,46396,25516,11959,5038,1116,388841,36192,38672,36526,20908,12648,32839,30933,30522,57724,42873,26729,13800,6440,2035,37.5,36.8,38.1,40.8,40.4,41.2,32.9,32.3,33.4,35.0,33.2,37.1,40.9,38.6,43.0,31.4,32.0,30.8,28.0,28.1,28.0,20.2,19.7,20.5,45.6,45.1,46.1,27.4,27.2,27.7,2839172
40,NV,32,,,,,04001US32,Nevada -- Urban,2676446,1338576,88702,91925,90115,53407,32039,18031,18200,54049,99198,97260,90773,93404,92847,90898,82431,30916,42305,27382,35783,46547,30289,19325,12750,1337870,84341,87659,85762,51590,29634,17445,18567,52866,96914,95133,89133,92189,88746,88506,85656,32543,45380,29855,39130,49012,33124,22427,22258,1797722,910913,53424,55680,54325,32183,19158,55471,63757,64033,123290,130563,118450,88847,40674,11058,886809,49893,53710,52297,30584,17706,52967,61438,60416,115729,119920,120008,90145,43566,18430,237816,117626,9487,9581,8088,5240,3274,9626,9306,8668,15944,15631,11981,6821,3272,707,120190,8650,8607,8693,4618,3309,9364,10188,9143,16601,15327,12435,8281,3717,1257,24017,11848,934,916,771,530,350,933,880,1014,1539,1656,1309,745,255,16,12169,668,629,767,407,317,832,1156,755,1956,1686,1656,871,275,194,219581,98781,4420,5281,6336,3619,2317,7015,7934,7617,14921,14677,12003,8394,3522,725,120800,3845,4973,5383,3930,1964,7328,8826,9279,19129,19357,17717,12197,5386,1486,17640,8686,465,595,760,432,206,763,841,744,1389,1115,697,541,120,18,8954,647,730,626,385,333,815,779,710,1437,1026,745,468,180,73,254466,128862,10173,11426,12634,7189,4823,11224,11665,11339,20756,15872,7921,2664,1060,116,125604,10658,10560,10912,7731,4287,12149,10277,10382,19978,15150,7484,3911,1530,595,125204,61860,9799,8446,7201,4214,1911,5248,4815,3845,6338,4231,3291,1700,711,110,63344,9980,8450,7084,3935,1718,5423,4250,4448,6492,4786,3534,2124,897,223,1334115,677276,31160,32532,32311,20083,11703,35603,44790,45374,88994,103453,103280,80725,37064,10204,656839,29168,30721,30226,19092,10361,34869,43426,42545,81325,94939,102659,81335,39047,17126,769071,388965,36866,38432,37490,20984,13065,33496,32592,31662,57670,45038,24458,11340,4860,1012,380106,35345,37296,35658,20502,12500,32381,30114,29846,56892,41865,26030,13380,6333,1964,37.0,36.4,37.7,40.2,39.8,40.6,32.9,32.2,33.4,35.4,33.5,37.7,40.9,38.5,42.9,31.4,31.8,30.9,28.0,27.9,28.1,19.9,19.2,20.4,45.1,44.6,45.7,27.4,27.1,27.7,2676446
40,NV,32,,,,,04043US32,Nevada -- Rural,162726,87746,3819,4335,4092,3294,2008,999,946,3131,5598,5527,4945,5463,5751,6585,7140,2727,4111,3064,3760,4786,3015,1623,1027,74980,3578,5003,4429,2581,1312,711,573,1904,3702,4123,3367,3993,4879,6137,6404,2672,3914,2347,3762,4212,2514,1491,1372,135335,71330,2895,3542,3359,2552,1441,3376,3946,3871,7670,10233,12521,10586,4389,949,64005,2880,3885,3494,2119,1104,2382,3031,3363,6083,9709,11649,9396,3685,1225,5736,4584,84,136,15,74,97,913,683,504,934,655,330,114,45,0,1152,114,99,60,38,90,118,30,35,167,135,159,50,57,0,7910,3866,355,313,227,237,189,232,230,289,371,625,328,290,141,39,4044,196,315,369,189,79,331,234,299,389,587,465,387,158,46,3031,1240,20,84,10,30,38,29,69,97,210,207,226,195,25,0,1791,39,133,68,1,16,111,117,94,323,159,357,277,36,60,694,470,0,22,9,42,65,32,21,104,37,39,76,23,0,0,224,0,0,20,31,0,24,27,36,37,27,5,17,0,0,6188,4026,267,120,286,202,86,295,467,445,887,378,312,248,7,26,2162,172,390,197,148,16,99,240,210,232,145,195,79,0,39,3832,2230,198,118,186,157,92,199,182,217,299,199,185,154,31,13,1602,177,181,221,55,7,123,23,86,129,254,160,115,69,2,121393,63580,2422,2905,2827,2040,1110,2749,3291,3295,6393,9361,11849,10251,4216,871,57813,2283,2898,2869,1899,988,2059,2460,2922,5490,8946,11172,9058,3579,1190,21426,12691,850,835,916,773,460,1050,1120,1110,2260,1358,1058,619,178,104,8735,847,1376,868,406,148,458,819,676,832,1008,699,420,107,71,45.9,44.8,47.2,48.8,48.4,49.3,33.0,33.1,32.7,33.7,32.3,35.3,46.4,48.3,44.9,32.4,34.1,30.3,30.7,33.0,25.7,29.9,29.6,33.1,50.9,50.6,51.3,29.4,31.3,27.0,162726
40,NV,32,,,,,040A0US32,Nevada -- In metropolitan or micropolitan statistical area,2805939,1407347,91514,95218,93167,55997,33585,18771,18863,56478,103391,101263,94520,97683,97281,96099,88128,33240,45670,30050,38978,50495,32736,20663,13557,1398592,87109,91785,89184,53613,30590,17958,19007,54393,99753,98399,91695,95459,92718,93657,91024,34699,48747,31945,42369,52471,35223,23484,23310,1905373,966679,55473,58357,56867,34178,20223,57923,66645,66759,129060,138634,128660,97799,44309,11792,938694,52077,56796,55041,32236,18553,54809,63700,63083,120577,127976,129775,98165,46530,19376,242604,121305,9571,9717,8103,5295,3368,10393,9826,9038,16723,16076,12253,6928,3307,707,121299,8764,8706,8753,4652,3394,9481,10217,9178,16768,15446,12586,8324,3774,1256,29510,14515,1229,1094,912,685,464,1104,1056,1165,1798,2110,1520,956,372,50,14995,778,895,1008,553,348,1068,1305,938,2208,2124,1966,1170,409,225,222229,99804,4432,5365,6346,3648,2353,7036,7982,7676,15035,14873,12224,8562,3547,725,122425,3884,5106,5451,3931,1980,7427,8943,9373,19403,19510,18074,12426,5393,1524,18257,9092,465,617,769,474,271,790,845,848,1403,1142,773,564,113,18,9165,647,730,646,416,333,839,806,746,1463,1051,750,485,180,73,259562,132252,10386,11524,12849,7352,4905,11482,12078,11732,21566,16159,8160,2884,1033,142,127310,10813,10950,11015,7868,4257,12200,10515,10547,20116,15243,7650,3989,1516,631,128404,63700,9958,8544,7321,4365,2001,5384,4959,4045,6618,4386,3448,1830,718,123,64704,10146,8602,7270,3957,1725,5534,4267,4534,6619,5025,3669,2226,905,225,1432031,727838,32933,34694,34490,21715,12516,37718,47264,47801,93939,110863,113029,89432,40583,10861,704193,30929,33009,32555,20572,11099,36446,45290,44843,85810,102390,112152,89120,41934,18044,784734,398162,37451,39074,38133,21567,13442,34206,33385,32354,59371,46069,25192,11834,4969,1115,386572,35988,38471,36254,20832,12586,32732,30755,30333,57403,42612,26485,13696,6397,2028,37.4,36.8,38.1,40.7,40.3,41.1,32.9,32.2,33.4,35.4,33.3,37.6,40.9,38.6,42.9,31.4,32.0,30.8,28.0,28.1,28.0,20.1,19.6,20.5,45.6,45.1,46.1,27.4,27.2,27.6,2805939
40,NV,32,,,,,040C0US32,Nevada -- In metropolitan statistical area,2568420,1286560,84589,87612,85562,50947,30618,17364,17788,52295,96285,94092,88304,90632,89834,87367,78748,29468,40876,26297,34368,44612,28584,18220,12098,1281860,80545,84145,81792,49176,28351,16962,17812,50360,93338,91869,85439,88660,85436,84956,82021,31050,43617,28851,37677,46534,31173,21143,20953,1699741,861526,49919,52110,50494,29907,17971,52285,60679,60778,117959,124340,112260,84441,37965,10418,838215,46634,50805,48992,28545,16538,49787,58440,57676,109644,113909,113676,85584,40688,17297,239220,119273,9339,9623,8071,5252,3337,10022,9647,8919,16392,15854,11962,6920,3248,687,119947,8682,8518,8720,4620,3383,9275,10184,9148,16463,15252,12453,8300,3739,1210,21691,10880,973,842,707,514,294,839,802,860,1432,1566,1126,655,253,17,10811,521,664,718,348,259,736,1012,678,1780,1429,1437,816,233,180,219086,98631,4426,5286,6241,3639,2301,7016,7916,7605,14909,14594,12015,8440,3518,725,120455,3867,5050,5345,3908,1966,7370,8818,9245,19041,19260,17724,12152,5254,1455,17692,8745,400,610,769,450,214,782,833,806,1388,1082,765,515,113,18,8947,624,711,642,411,324,817,777,746,1451,1038,684,469,180,73,249560,126863,9942,10991,12375,7097,4667,11193,11630,11230,20542,15655,7831,2592,1006,112,122697,10416,10313,10739,7544,4169,11910,10013,10095,19497,14882,7319,3807,1437,556,121430,60642,9590,8150,6905,4088,1834,5310,4778,3894,6314,4110,3133,1714,701,121,60788,9801,8084,6636,3800,1712,5239,4094,4281,6223,4622,3395,1934,785,182,1254426,637265,28671,29884,29564,18531,10772,33304,42360,42894,84480,98108,97903,76586,34609,9599,617161,26847,28418,27794,17630,9611,32581,40767,40315,76724,89757,97180,77127,36338,16072,744642,377166,35606,36957,36069,20166,12622,32542,31891,30721,56645,43863,23522,11023,4566,973,367476,34163,36252,34428,19755,11964,31242,29420,28913,54920,40657,24956,12889,6071,1846,37.0,36.4,37.7,40.3,39.9,40.7,32.9,32.2,33.4,35.2,32.8,37.4,40.8,38.5,42.8,31.5,32.2,30.8,28.0,28.0,28.0,20.1,19.7,20.3,45.3,44.8,45.8,27.4,27.2,27.7,2568420
40,NV,32,,,,,040C1US32,Nevada -- In metropolitan statistical area -- in principal city,1412366,709577,43929,46335,46315,26733,17087,10065,9624,28768,52664,51619,47273,50610,49305,48766,44514,17217,23002,14757,19464,25996,16933,11365,7236,702789,41886,44846,43177,25566,15943,9372,10073,28427,49567,50293,44234,48666,46850,46167,46270,16969,24001,16369,21752,26804,19355,12506,13696,983573,497292,27448,28802,28452,17016,10753,30534,34895,35054,68256,71740,65319,49361,23263,6399,486281,26059,29000,27566,16321,9846,30462,32737,33617,62226,65616,65254,50571,25493,11513,116043,58677,3739,4471,4099,2407,1505,5259,4391,4478,7448,7936,6910,3839,1912,283,57366,3641,3773,3888,1721,1866,4182,4946,4280,6874,7688,6671,4919,2184,733,10679,5352,418,263,346,276,116,566,306,441,716,794,588,380,137,5,5327,168,250,289,137,124,331,497,318,986,874,746,401,124,82,100495,44816,1809,2282,3129,1654,1076,3530,3509,3168,6616,6585,5200,3952,1921,385,55679,1797,2169,2345,1884,799,3691,3769,4179,8664,8670,8399,5773,2636,904,9054,4392,232,330,459,251,135,335,410,394,614,471,353,333,57,18,4662,379,352,385,134,185,466,367,326,820,615,293,191,114,35,129233,67178,5480,6088,6165,3007,2400,5495,6670,6245,10824,8212,4465,1451,629,47,62055,4845,5347,5210,3386,2176,5926,5274,5416,10009,7213,3898,2064,939,352,63289,31870,4803,4099,3665,2122,1102,2738,2483,1839,3409,2333,1898,901,379,99,31419,4997,3955,3494,1983,947,2814,1977,2157,3321,2341,1979,1006,371,77,747556,378254,16853,17343,17652,11052,6934,20296,25241,25251,50276,58479,56988,44980,21021,5888,369302,15755,17386,16892,10815,6241,20717,23458,24052,45560,52819,55838,45998,23046,10725,390633,199317,18114,19475,18539,9948,6657,16957,17056,16813,29867,22548,13600,6151,2992,600,191316,17060,18735,17205,9611,6136,16842,15371,15732,28146,20795,13917,7003,3591,1172,38.0,37.2,38.7,40.8,40.4,41.2,34.6,34.0,35.7,37.6,34.5,41.1,41.5,38.8,43.4,30.7,30.7,30.8,28.8,28.7,28.8,20.4,20.3,20.6,45.2,44.7,45.6,28.0,27.9,28.1,1412366
40,NV,32,,,,,040C2US32,Nevada -- In metropolitan statistical area -- not in principal city,1156054,576983,40660,41277,39247,24214,13531,7299,8164,23527,43621,42473,41031,40022,40529,38601,34234,12251,17874,11540,14904,18616,11651,6855,4862,579071,38659,39299,38615,23610,12408,7590,7739,21933,43771,41576,41205,39994,38586,38789,35751,14081,19616,12482,15925,19730,11818,8637,7257,716168,364234,22471,23308,22042,12891,7218,21751,25784,25724,49703,52600,46941,35080,14702,4019,351934,20575,21805,21426,12224,6692,19325,25703,24059,47418,48293,48422,35013,15195,5784,123177,60596,5600,5152,3972,2845,1832,4763,5256,4441,8944,7918,5052,3081,1336,404,62581,5041,4745,4832,2899,1517,5093,5238,4868,9589,7564,5782,3381,1555,477,11012,5528,555,579,361,238,178,273,496,419,716,772,538,275,116,12,5484,353,414,429,211,135,405,515,360,794,555,691,415,109,98,118591,53815,2617,3004,3112,1985,1225,3486,4407,4437,8293,8009,6815,4488,1597,340,64776,2070,2881,3000,2024,1167,3679,5049,5066,10377,10590,9325,6379,2618,551,8638,4353,168,280,310,199,79,447,423,412,774,611,412,182,56,0,4285,245,359,257,277,139,351,410,420,631,423,391,278,66,38,120327,59685,4462,4903,6210,4090,2267,5698,4960,4985,9718,7443,3366,1141,377,65,60642,5571,4966,5529,4158,1993,5984,4739,4679,9488,7669,3421,1743,498,204,58141,28772,4787,4051,3240,1966,732,2572,2295,2055,2905,1777,1235,813,322,22,29369,4804,4129,3142,1817,765,2425,2117,2124,2902,2281,1416,928,414,105,506870,259011,11818,12541,11912,7479,3838,13008,17119,17643,34204,39629,40915,31606,13588,3711,247859,11092,11032,10902,6815,3370,11864,17309,16263,31164,36938,41342,31129,13292,5347,354009,177849,17492,17482,17530,10218,5965,15585,14835,13908,26778,21315,9922,4872,1574,373,176160,17103,17517,17223,10144,5828,14400,14049,13181,26774,19862,11039,5886,2480,674,36.1,35.5,36.6,39.5,39.0,40.0,31.2,30.8,31.7,32.2,31.3,32.9,40.2,38.3,42.1,32.1,33.7,30.8,27.2,27.2,27.2,19.4,18.8,20.0,45.5,45.0,46.1,26.8,26.5,27.2,1156054
40,NV,32,,,,,040E0US32,Nevada -- In micropolitan statistical area,237519,120787,6925,7606,7605,5050,2967,1407,1075,4183,7106,7171,6216,7051,7447,8732,9380,3772,4794,3753,4610,5883,4152,2443,1459,116732,6564,7640,7392,4437,2239,996,1195,4033,6415,6530,6256,6799,7282,8701,9003,3649,5130,3094,4692,5937,4050,2341,2357,205632,105153,5554,6247,6373,4271,2252,5638,5966,5981,11101,14294,16400,13358,6344,1374,100479,5443,5991,6049,3691,2015,5022,5260,5407,10933,14067,16099,12581,5842,2079,3384,2032,232,94,32,43,31,371,179,119,331,222,291,8,59,20,1352,82,188,33,32,11,206,33,30,305,194,133,24,35,46,7819,3635,256,252,205,171,170,265,254,305,366,544,394,301,119,33,4184,257,231,290,205,89,332,293,260,428,695,529,354,176,45,3143,1173,6,79,105,9,52,20,66,71,126,279,209,122,29,0,1970,17,56,106,23,14,57,125,128,362,250,350,274,139,69,565,347,65,7,0,24,57,8,12,42,15,60,8,49,0,0,218,23,19,4,5,9,22,29,0,12,13,66,16,0,0,10002,5389,444,533,474,255,238,289,448,502,1024,504,329,292,27,30,4613,397,637,276,324,88,290,502,452,619,361,331,182,79,75,6974,3058,368,394,416,277,167,74,181,151,304,276,315,116,17,2,3916,345,518,634,157,13,295,173,253,396,403,274,292,120,43,177605,90573,4262,4810,4926,3184,1744,4414,4904,4907,9459,12755,15126,12846,5974,1262,87032,4082,4591,4761,2942,1488,3865,4523,4528,9086,12633,14972,11993,5596,1972,40092,20996,1845,2117,2064,1401,820,1664,1494,1633,2726,2206,1670,811,403,142,19096,1825,2219,1826,1077,622,1490,1335,1420,2483,1955,1529,807,326,182,43.0,42.5,43.7,44.9,44.5,45.4,33.5,31.6,36.9,36.0,34.4,38.5,48.4,47.5,49.8,27.9,30.0,26.8,29.1,30.2,26.9,20.9,18.5,24.9,48.1,47.8,48.4,26.7,26.8,26.5,237519
40,NV,32,,,,,040E1US32,Nevada -- In micropolitan statistical area -- in principal city,102142,50872,3059,3034,3032,1950,1178,809,544,2096,3175,3122,2515,3033,3251,3636,4009,1438,1608,1463,1925,2373,1826,1131,665,51270,3567,3408,2994,1965,844,609,612,2238,3102,2622,2559,3218,2951,3425,3653,1300,2271,1282,2030,2640,1906,957,1117,88473,44745,2455,2571,2732,1665,939,2926,2790,2682,4702,5957,6350,5486,2834,656,43728,3024,2619,2387,1553,772,2796,2581,2213,4731,5488,6608,5405,2582,969,2370,1400,221,79,32,18,6,219,105,97,168,147,249,0,59,0,970,50,173,13,23,4,183,30,0,171,156,86,17,18,46,1692,696,47,63,6,3,3,76,98,60,51,121,118,36,11,3,996,115,5,62,42,0,101,98,78,76,292,62,17,44,4,1564,527,6,41,46,0,28,4,18,24,29,142,102,58,29,0,1037,4,0,67,18,14,3,92,80,226,146,77,164,112,34,332,208,0,0,0,24,57,1,7,22,0,48,0,49,0,0,124,0,0,3,0,9,22,0,0,0,9,65,16,0,0,4305,2008,116,104,80,117,123,186,87,117,524,326,134,64,24,6,2297,164,328,100,246,45,132,232,78,367,191,189,137,55,33,3406,1288,214,176,136,123,22,37,70,120,74,146,102,68,0,0,2118,210,283,362,83,0,222,69,173,206,94,137,196,52,31,75055,38128,1879,1948,1894,1200,828,2331,2260,2185,3900,5340,5799,5285,2680,599,36927,2103,1800,1727,1189,524,1965,2306,1761,4017,4807,6131,5174,2491,932,18844,9080,735,812,955,586,247,844,659,641,1372,1010,689,285,182,63,9764,1121,1277,986,563,293,996,597,618,1044,943,711,399,146,70,41.7,41.9,41.6,43.4,43.1,43.9,31.5,31.3,40.1,33.5,33.5,32.9,48.0,48.4,45.9,53.2,30.7,57.3,31.6,38.2,25.9,20.5,17.4,20.8,47.0,46.6,47.5,25.0,27.8,23.4,102142
40,NV,32,,,,,040E2US32,Nevada -- In micropolitan statistical area -- not in principal city,135377,69915,3866,4572,4573,3100,1789,598,531,2087,3931,4049,3701,4018,4196,5096,5371,2334,3186,2290,2685,3510,2326,1312,794,65462,2997,4232,4398,2472,1395,387,583,1795,3313,3908,3697,3581,4331,5276,5350,2349,2859,1812,2662,3297,2144,1384,1240,117159,60408,3099,3676,3641,2606,1313,2712,3176,3299,6399,8337,10050,7872,3510,718,56751,2419,3372,3662,2138,1243,2226,2679,3194,6202,8579,9491,7176,3260,1110,1014,632,11,15,0,25,25,152,74,22,163,75,42,8,0,20,382,32,15,20,9,7,23,3,30,134,38,47,7,17,0,6127,2939,209,189,199,168,167,189,156,245,315,423,276,265,108,30,3188,142,226,228,163,89,231,195,182,352,403,467,337,132,41,1579,646,0,38,59,9,24,16,48,47,97,137,107,64,0,0,933,13,56,39,5,0,54,33,48,136,104,273,110,27,35,233,139,65,7,0,0,0,7,5,20,15,12,8,0,0,0,94,23,19,1,5,0,0,29,0,12,4,1,0,0,0,5697,3381,328,429,394,138,115,103,361,385,500,178,195,228,3,24,2316,233,309,176,78,43,158,270,374,252,170,142,45,24,42,3568,1770,154,218,280,154,145,37,111,31,230,130,213,48,17,2,1798,135,235,272,74,13,73,104,80,190,309,137,96,68,12,102550,52445,2383,2862,3032,1984,916,2083,2644,2722,5559,7415,9327,7561,3294,663,50105,1979,2791,3034,1753,964,1900,2217,2767,5069,7826,8841,6819,3105,1040,21248,11916,1110,1305,1109,815,573,820,835,992,1354,1196,981,526,221,79,9332,704,942,840,514,329,494,738,802,1439,1012,818,408,180,112,44.1,42.9,45.0,46.2,45.4,46.8,35.4,32.8,36.4,36.5,34.4,38.9,48.8,44.2,53.2,17.3,5.6,17.8,27.7,27.0,28.1,23.6,18.6,28.9,48.8,48.6,49.0,28.2,26.2,30.5,135377
