SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,OK,40,,,,,04000US40,Oklahoma,3875589,1919995,135780,137792,134191,79329,54248,30274,29339,86943,136431,134990,119450,118866,115568,128240,123483,44469,61544,38413,48234,64383,45149,29763,23116,1955594,130038,130871,129329,74995,50190,29202,29206,79584,131549,130773,116179,118796,116180,130546,130581,47895,66853,41236,56060,74304,56051,42115,43061,2823497,1395438,86193,87482,86598,51672,35174,97379,95654,96012,173633,186987,184895,127356,65896,20507,1428059,81944,82116,83344,48902,32178,92980,93123,92775,169237,188645,195557,143378,85593,38287,281295,140465,10311,10355,10943,6693,5267,14027,11053,11115,17997,17158,14783,7064,2807,892,140830,9914,10525,10098,5889,4305,12731,11153,9910,17770,17702,16019,8742,4370,1702,286231,140105,11136,12406,12912,7965,4906,12337,10028,9621,16831,16631,13676,8029,2898,729,146126,11778,12864,12162,7092,4712,11941,10319,9939,17982,17179,15775,9210,3673,1500,77541,36369,2584,2746,2087,1301,1153,4082,3618,3233,5923,4283,2932,1648,596,183,41172,2181,2661,2424,1510,1463,3684,3531,4025,6957,5078,4257,2339,825,237,4969,2568,331,326,158,122,99,234,339,302,193,251,157,45,11,0,2401,287,202,110,86,116,178,257,215,384,179,264,96,24,3,102292,55549,5049,5167,4591,2865,1643,5388,5583,5334,8152,6443,3365,1402,436,131,46743,5259,4749,4716,2531,1830,3824,3328,4110,7360,4699,2734,1042,483,78,299764,149501,20176,19310,16902,8711,6006,13109,10156,9373,15587,12055,9688,5486,2268,674,150263,18675,17754,16475,8985,5586,12654,9838,9799,15285,13244,10723,6793,3198,1254,2593871,1276777,72258,73872,74552,45662,30675,87433,84972,85675,157071,175788,178768,124884,64893,20274,1317094,68419,68670,71781,42900,28013,83428,83874,83994,155150,178532,189874,140414,84162,37883,381467,199748,23885,23056,20034,10484,7141,18048,17752,17453,26807,18840,10238,4080,1523,407,181719,23246,22568,19620,9715,6716,15508,14465,14241,23588,16046,9182,4292,2042,490,36.2,35.0,37.6,40.0,38.5,41.3,31.8,30.7,32.9,30.1,29.2,31.1,32.5,30.9,33.9,26.7,25.2,29.6,26.8,27.6,25.6,22.1,21.3,22.9,41.8,40.4,43.2,23.5,24.1,22.7,3875589
40,OK,40,,,,,04001US40,Oklahoma -- Urban,2584815,1267875,97292,93973,88980,49778,39080,22522,22126,64564,101704,97328,82657,77648,72695,77645,74746,26881,36517,22255,27164,34551,25133,17564,15072,1316940,93475,90239,85223,48069,35835,22191,22480,60033,98673,94075,80390,78312,74645,82567,82513,29633,41808,24677,33924,44749,35018,27366,31045,1829986,895443,60042,58143,55663,31131,25204,71732,70616,68082,113759,112225,108812,69506,37070,13458,934543,57170,54498,52582,30441,22904,69617,68892,65229,110321,116433,119809,85122,53955,27570,250755,123013,9632,9247,9885,5749,4716,12523,9653,9463,15686,14635,12792,6006,2337,689,127742,9402,9683,9130,5321,3817,11710,10361,9001,16296,15839,14339,7593,3786,1464,146649,70415,5758,5813,6294,3761,2642,7335,5651,5590,8693,7641,6361,3381,1235,260,76234,6344,6780,6265,3205,2438,7119,5792,5494,9570,8618,7720,4298,1767,824,69804,33086,2320,2335,1906,1153,1040,3888,3388,2988,5411,3898,2571,1469,558,161,36718,1963,2352,2164,1347,1306,3480,3302,3590,6157,4490,3659,1989,707,212,4236,2238,322,314,135,97,99,198,319,273,140,213,100,28,0,0,1998,265,157,104,68,112,154,236,192,300,140,190,56,24,0,84529,45837,4362,4497,3746,2377,1367,4542,4876,4575,6638,4942,2478,969,350,118,38692,4618,4080,3950,1930,1372,3289,2873,3572,6023,3750,2007,826,359,43,198856,97843,14856,13624,11351,5510,4012,8994,7201,6357,9978,6786,5030,2611,1147,386,101013,13713,12689,11028,5757,3886,9335,7217,6997,10035,7942,6230,3466,1786,932,1634868,794681,48101,46661,45560,26139,21190,63128,61164,59381,99328,102973,103842,67649,36319,13246,840187,45489,43023,42933,25528,19278,61324,60624,57688,98331,108019,115232,82723,52747,27248,318669,166765,20168,19281,16583,8638,6193,15330,15587,14716,22711,15112,7981,2925,1175,365,151904,19859,18987,16211,7638,5432,13413,12651,12097,19842,13148,7179,3427,1647,373,34.0,32.7,35.5,37.2,35.5,39.1,31.2,30.1,32.4,29.1,28.0,30.1,32.0,30.8,33.3,25.8,24.3,27.8,26.2,26.9,25.2,20.8,19.8,21.8,39.5,37.5,41.5,23.5,24.0,22.7,2584815
40,OK,40,,,,,04043US40,Oklahoma -- Rural,1290774,652120,38488,43819,45211,29551,15168,7752,7213,22379,34727,37662,36793,41218,42873,50595,48737,17588,25027,16158,21070,29832,20016,12199,8044,638654,36563,40632,44106,26926,14355,7011,6726,19551,32876,36698,35789,40484,41535,47979,48068,18262,25045,16559,22136,29555,21033,14749,12016,993511,499995,26151,29339,30935,20541,9970,25647,25038,27930,59874,74762,76083,57850,28826,7049,493516,24774,27618,30762,18461,9274,23363,24231,27546,58916,72212,75748,58256,31638,10717,30540,17452,679,1108,1058,944,551,1504,1400,1652,2311,2523,1991,1058,470,203,13088,512,842,968,568,488,1021,792,909,1474,1863,1680,1149,584,238,139582,69690,5378,6593,6618,4204,2264,5002,4377,4031,8138,8990,7315,4648,1663,469,69892,5434,6084,5897,3887,2274,4822,4527,4445,8412,8561,8055,4912,1906,676,7737,3283,264,411,181,148,113,194,230,245,512,385,361,179,38,22,4454,218,309,260,163,157,204,229,435,800,588,598,350,118,25,733,330,9,12,23,25,0,36,20,29,53,38,57,17,11,0,403,22,45,6,18,4,24,21,23,84,39,74,40,0,3,17763,9712,687,670,845,488,276,846,707,759,1514,1501,887,433,86,13,8051,641,669,766,601,458,535,455,538,1337,949,727,216,124,35,100908,51658,5320,5686,5551,3201,1994,4115,2955,3016,5609,5269,4658,2875,1121,288,49250,4962,5065,5447,3228,1700,3319,2621,2802,5250,5302,4493,3327,1412,322,959003,482096,24157,27211,28992,19523,9485,24305,23808,26294,57743,72815,74926,57235,28574,7028,476907,22930,25647,28848,17372,8735,22104,23250,26306,56819,70513,74642,57691,31415,10635,62798,32983,3717,3775,3451,1846,948,2718,2165,2737,4096,3728,2257,1155,348,42,29815,3387,3581,3409,2077,1284,2095,1814,2144,3746,2898,2003,865,395,117,41.5,40.9,42.2,44.7,44.2,45.3,35.6,34.4,37.9,31.4,30.5,32.3,36.3,33.1,38.7,39.1,37.3,39.5,30.7,32.1,28.6,25.7,24.9,26.5,45.4,44.9,46.0,24.1,25.1,22.7,1290774
40,OK,40,,,,,040A0US40,Oklahoma -- In metropolitan or micropolitan statistical area,3332613,1646530,118420,118687,115533,67666,47541,26748,26027,76983,120733,118227,103806,102366,98809,108654,104533,37469,51397,31831,39643,51980,36117,24317,19043,1686083,113478,113694,110952,64438,44365,25960,26213,70540,117092,115527,102365,102693,99971,111763,111234,40267,56698,34671,46430,60963,45929,34646,36194,2433431,1200467,75886,75910,75063,44257,31058,87004,85224,84636,151148,159854,156078,104276,53100,16973,1232964,72129,72066,71835,42331,28674,83106,83246,82062,147972,161996,166189,118682,70410,32266,265859,131565,9914,9928,10440,6409,5026,13119,10367,10245,16716,15771,13736,6507,2563,824,134294,9510,10058,9595,5665,4175,12149,10783,9548,17057,17000,15009,8241,3963,1541,213870,104337,8286,9218,9421,5905,3798,9501,7724,7368,12650,12188,10009,5750,2094,425,109533,8885,9488,9015,5196,3617,9360,8045,7583,13536,12900,11728,6629,2526,1025,75253,35209,2437,2677,2008,1228,1123,3950,3502,3121,5765,4204,2873,1587,551,183,40044,2103,2560,2373,1467,1427,3625,3479,3934,6704,4976,4111,2248,802,235,4349,2244,270,297,155,116,99,198,300,247,157,229,124,43,9,0,2105,249,194,104,86,108,128,214,194,347,135,239,80,24,3,89403,48377,4503,4516,4144,2472,1452,4803,5015,4723,6980,5406,2831,1044,376,112,41026,4644,4224,4178,2231,1582,3369,2962,3660,6558,3959,2341,905,367,46,250448,124331,17124,16141,14302,7279,4985,11183,8601,7887,12756,9811,7748,4247,1741,526,126117,15958,15104,13852,7462,4782,10976,8363,8546,12884,10768,8582,5279,2483,1078,2221602,1091382,63050,63444,63957,38855,26921,77863,75275,75141,135824,149547,150459,102018,52280,16748,1130220,59611,59524,61217,36755,24754,74376,74458,73917,134856,152760,160949,116026,69117,31900,343796,179533,21460,20705,18109,9267,6437,16390,16262,15798,24141,16746,9073,3487,1274,384,164263,20923,20461,17641,8768,6096,14012,13398,12990,21540,14253,8203,3804,1754,420,35.6,34.4,36.9,39.1,37.6,40.5,31.5,30.3,32.7,29.8,28.8,30.7,32.5,31.0,33.8,26.4,24.8,29.6,26.5,27.2,25.4,21.8,21.0,22.6,41.0,39.6,42.5,23.5,24.1,22.7,3332613
40,OK,40,,,,,040C0US40,Oklahoma -- In metropolitan statistical area,2592033,1279650,93268,93684,90922,53102,35022,19785,19257,57452,94754,94227,82712,80517,78049,84764,81316,29234,39440,24149,30233,39055,26765,17818,14125,1312383,89149,88923,87146,50587,32555,18723,19138,53598,93751,92495,81407,81359,78999,87679,86869,31499,43739,26388,35458,45959,34276,25938,26748,1888383,932081,59924,60281,59072,34529,23048,64072,67308,67648,119840,125371,120824,78645,38932,12587,956302,56677,56829,56521,33326,20890,61388,66496,65638,116936,126980,128926,89652,52235,23808,238039,116293,8976,9113,9508,5851,4043,11133,9036,8941,14728,14084,12187,5742,2295,656,121746,8652,9050,8788,5269,3598,10644,9922,8924,15578,15518,13591,7435,3514,1263,136422,65880,4859,5478,5913,3801,2162,5876,4918,4895,8244,7967,6483,3773,1273,238,70542,5614,5981,5556,3364,2240,5708,5294,4949,8963,8565,7625,4425,1588,670,65893,30584,2102,2392,1849,1093,974,3180,2680,2729,4930,3902,2588,1451,531,183,35309,1945,2275,2067,1337,1178,2912,3092,3331,5880,4572,3712,2013,762,233,3757,1975,249,286,138,100,86,166,277,234,97,217,92,30,3,0,1782,231,146,92,74,105,86,189,178,272,102,224,59,24,0,68867,37388,3591,3492,3146,2030,1067,3681,4038,3699,5537,3883,2009,793,328,94,31479,3716,3111,3336,1686,1138,2584,2324,2788,5274,2896,1692,612,291,31,190672,95449,13567,12642,11296,5698,3642,8386,6497,6081,9853,7389,5807,3003,1221,367,95223,12314,11531,10786,5531,3406,8137,6434,6687,9863,8045,6337,3609,1800,743,1707929,839437,49016,49404,49464,29924,19635,56372,59109,59450,106757,116638,116265,76795,38211,12397,868492,46238,46075,47408,28450,17650,54117,58816,58406,105788,119000,124418,87459,51164,23503,282760,147250,17712,17303,14952,7808,5114,13175,13225,13138,20112,13431,7109,2787,1053,331,135510,17165,16653,14696,7295,4822,11460,11305,10994,17899,11819,6644,2952,1462,344,35.5,34.3,36.8,38.8,37.4,40.2,31.5,30.3,32.8,30.7,29.9,31.5,33.2,31.8,34.3,26.2,24.2,29.6,26.3,26.9,25.3,21.4,20.5,22.4,40.9,39.4,42.3,23.6,24.0,22.9,2592033
40,OK,40,,,,,040C1US40,Oklahoma -- In metropolitan statistical area -- in principal city,1167481,574322,45523,42518,39275,21927,15044,8682,8702,27942,48961,45966,38693,35452,33732,36098,35593,12759,17035,9597,11371,15344,9780,7680,6648,593159,44231,41188,38865,21178,13749,7918,9069,27020,48332,44285,37383,35728,34313,36716,38565,13503,19213,11082,14577,18269,13781,11468,12726,776108,383738,26822,24360,22511,12611,9253,27990,32591,30469,49938,49019,49085,28962,14387,5740,392370,25127,23206,22361,12390,7919,26852,31981,28517,46441,48750,52561,34264,20941,11060,170996,81662,6569,6578,6802,3758,2540,7359,6610,6042,10468,10095,8724,3993,1664,460,89334,6468,7110,6272,3855,2538,7457,7363,6765,11703,10993,9946,5373,2538,953,41163,18959,1217,1204,1471,987,496,1957,1737,1671,2429,2225,2156,960,362,87,22204,1794,1690,1423,846,603,2049,1851,1727,2770,3001,2484,1282,449,235,42103,19590,1197,1665,1202,727,454,1593,1608,2060,3118,2755,1695,1015,400,101,22513,1360,1419,1458,852,649,1632,2095,1958,3666,2893,2574,1279,555,123,2815,1507,212,245,87,48,63,114,258,210,47,127,79,17,0,0,1308,210,126,81,48,75,66,189,154,159,30,130,27,13,0,49739,26782,2851,2583,2310,1525,782,2662,2815,2877,3811,2563,1307,392,238,66,22957,2950,2349,2580,1199,673,1935,1823,2117,3817,1854,1014,446,188,12,84557,42084,6655,5883,4892,2271,1456,3651,3342,2637,4334,3046,2341,973,409,194,42473,6322,5288,4690,1988,1292,4016,3030,3047,4555,3508,2572,1257,565,343,650682,318991,18610,16444,15710,9825,6846,22712,26800,24848,40524,43074,46170,27790,13977,5661,331691,17608,15603,15853,9003,5666,22044,26422,23586,38557,43511,49681,33051,20276,10830,196416,102714,13052,12351,10475,5051,3530,9092,9326,9348,14334,9039,4615,1664,657,180,93702,12319,11603,10495,4951,3172,7872,8132,7690,12695,7672,4191,1768,892,250,34.0,33.1,35.1,37.2,35.8,38.7,31.7,30.5,32.6,32.0,31.4,32.4,33.9,33.3,34.6,25.4,24.6,26.4,25.4,26.1,24.6,20.9,19.8,22.1,41.0,39.1,42.8,23.3,23.8,22.7,1167481
40,OK,40,,,,,040C2US40,Oklahoma -- In metropolitan statistical area -- not in principal city,1424552,705328,47745,51166,51647,31175,19978,11103,10555,29510,45793,48261,44019,45065,44317,48666,45723,16475,22405,14552,18862,23711,16985,10138,7477,719224,44918,47735,48281,29409,18806,10805,10069,26578,45419,48210,44024,45631,44686,50963,48304,17996,24526,15306,20881,27690,20495,14470,14022,1112275,548343,33102,35921,36561,21918,13795,36082,34717,37179,69902,76352,71739,49683,24545,6847,563932,31550,33623,34160,20936,12971,34536,34515,37121,70495,78230,76365,55388,31294,12748,67043,34631,2407,2535,2706,2093,1503,3774,2426,2899,4260,3989,3463,1749,631,196,32412,2184,1940,2516,1414,1060,3187,2559,2159,3875,4525,3645,2062,976,310,95259,46921,3642,4274,4442,2814,1666,3919,3181,3224,5815,5742,4327,2813,911,151,48338,3820,4291,4133,2518,1637,3659,3443,3222,6193,5564,5141,3143,1139,435,23790,10994,905,727,647,366,520,1587,1072,669,1812,1147,893,436,131,82,12796,585,856,609,485,529,1280,997,1373,2214,1679,1138,734,207,110,942,468,37,41,51,52,23,52,19,24,50,90,13,13,3,0,474,21,20,11,26,30,20,0,24,113,72,94,32,11,0,19128,10606,740,909,836,505,285,1019,1223,822,1726,1320,702,401,90,28,8522,766,762,756,487,465,649,501,671,1457,1042,678,166,103,19,106115,53365,6912,6759,6404,3427,2186,4735,3155,3444,5519,4343,3466,2030,812,173,52750,5992,6243,6096,3543,2114,4121,3404,3640,5308,4537,3765,2352,1235,400,1057247,520446,30406,32960,33754,20099,12789,33660,32309,34602,66233,73564,70095,49005,24234,6736,536801,28630,30472,31555,19447,11984,32073,32394,34820,67231,75489,74737,54408,30888,12673,86344,44536,4660,4952,4477,2757,1584,4083,3899,3790,5778,4392,2494,1123,396,151,41808,4846,5050,4201,2344,1650,3588,3173,3304,5204,4147,2453,1184,570,94,36.9,35.6,38.3,39.9,38.6,41.1,31.1,29.7,33.2,30.1,29.2,31.1,31.3,28.5,33.8,37.1,23.0,42.9,28.8,29.1,28.4,21.8,21.0,22.7,40.8,39.6,42.0,24.2,24.6,23.7,1424552
40,OK,40,,,,,040E0US40,Oklahoma -- In micropolitan statistical area,740580,366880,25152,25003,24611,14564,12519,6963,6770,19531,25979,24000,21094,21849,20760,23890,23217,8235,11957,7682,9410,12925,9352,6499,4918,373700,24329,24771,23806,13851,11810,7237,7075,16942,23341,23032,20958,21334,20972,24084,24365,8768,12959,8283,10972,15004,11653,8708,9446,545048,268386,15962,15629,15991,9728,8010,22932,17916,16988,31308,34483,35254,25631,14168,4386,276662,15452,15237,15314,9005,7784,21718,16750,16424,31036,35016,37263,29030,18175,8458,27820,15272,938,815,932,558,983,1986,1331,1304,1988,1687,1549,765,268,168,12548,858,1008,807,396,577,1505,861,624,1479,1482,1418,806,449,278,77448,38457,3427,3740,3508,2104,1636,3625,2806,2473,4406,4221,3526,1977,821,187,38991,3271,3507,3459,1832,1377,3652,2751,2634,4573,4335,4103,2204,938,355,9360,4625,335,285,159,135,149,770,822,392,835,302,285,136,20,0,4735,158,285,306,130,249,713,387,603,824,404,399,235,40,2,592,269,21,11,17,16,13,32,23,13,60,12,32,13,6,0,323,18,48,12,12,3,42,25,16,75,33,15,21,0,3,20536,10989,912,1024,998,442,385,1122,977,1024,1443,1523,822,251,48,18,9547,928,1113,842,545,444,785,638,872,1284,1063,649,293,76,15,59776,28882,3557,3499,3006,1581,1343,2797,2104,1806,2903,2422,1941,1244,520,159,30894,3644,3573,3066,1931,1376,2839,1929,1859,3021,2723,2245,1670,683,335,513673,251945,14034,14040,14493,8931,7286,21491,16166,15691,29067,32909,34194,25223,14069,4351,261728,13373,13449,13809,8305,7104,20259,15642,15511,29068,33760,36531,28567,17953,8397,61036,32283,3748,3402,3157,1459,1323,3215,3037,2660,4029,3315,1964,700,221,53,28753,3758,3808,2945,1473,1274,2552,2093,1996,3641,2434,1559,852,292,76,36.0,34.7,37.5,40.2,38.8,41.6,31.1,30.4,32.1,28.1,27.1,29.1,29.3,28.4,30.8,30.4,32.2,30.2,27.2,28.2,25.6,22.8,22.5,23.1,41.5,40.0,43.1,23.4,24.7,21.9,740580
40,OK,40,,,,,040E1US40,Oklahoma -- In micropolitan statistical area -- in principal city,378262,185315,13721,12815,11860,6661,8068,4877,4597,12367,15062,13239,11035,10312,9153,10491,10541,3589,5251,3090,3949,5172,4158,2783,2524,192947,13148,13044,11403,6552,7755,5062,5025,10838,13424,12266,10713,10094,9379,11188,11154,4007,5971,3898,5172,6772,5669,4626,5787,271687,131974,8370,7626,7634,4427,5125,15214,10288,9134,15155,14842,15446,10219,6247,2247,139713,8134,7754,7109,4171,5073,14479,9714,8417,14666,15871,16680,13332,9184,5129,21032,11330,728,606,715,386,787,1578,964,960,1458,1200,1098,567,194,89,9702,676,769,582,304,494,1268,612,449,1151,1093,1127,592,343,242,32783,16351,1426,1592,1319,751,777,1980,1307,1172,1904,1459,1486,766,315,97,16432,1384,1391,1472,599,697,2053,1277,1242,1882,1394,1594,912,350,185,7222,3522,237,189,114,62,83,726,765,308,583,178,147,114,16,0,3700,124,211,223,76,181,688,342,512,652,264,246,157,24,0,372,169,21,9,3,0,13,24,23,13,38,4,10,11,0,0,203,15,31,12,0,3,34,21,6,21,29,10,21,0,0,14416,7570,719,778,682,299,320,814,641,828,892,979,485,115,0,18,6846,722,846,583,353,373,623,354,665,959,701,416,185,51,15,30750,14399,2220,2015,1393,736,963,1505,1074,824,1317,982,709,419,169,73,16351,2093,2042,1422,1049,934,1780,1104,975,1476,1215,1059,643,343,216,252162,121758,7108,6737,6754,4077,4688,14124,8990,8386,13624,13950,14930,9974,6191,2225,130404,6786,6546,6271,3887,4610,13452,8897,7875,13366,15200,16308,13077,9039,5090,39618,20804,2622,2197,1969,749,885,2314,2111,1760,2618,1964,1071,378,126,40,18814,2512,2699,1679,733,927,1861,1434,1344,2550,1434,915,482,190,54,32.4,31.0,34.1,35.9,34.0,38.3,30.2,29.4,31.7,26.8,26.5,26.9,28.6,28.2,30.0,27.1,27.5,25.6,25.3,25.9,24.2,20.8,19.8,21.7,37.5,35.0,40.0,23.0,24.0,21.8,378262
40,OK,40,,,,,040E2US40,Oklahoma -- In micropolitan statistical area -- not in principal city,362318,181565,11431,12188,12751,7903,4451,2086,2173,7164,10917,10761,10059,11537,11607,13399,12676,4646,6706,4592,5461,7753,5194,3716,2394,180753,11181,11727,12403,7299,4055,2175,2050,6104,9917,10766,10245,11240,11593,12896,13211,4761,6988,4385,5800,8232,5984,4082,3659,273361,136412,7592,8003,8357,5301,2885,7718,7628,7854,16153,19641,19808,15412,7921,2139,136949,7318,7483,8205,4834,2711,7239,7036,8007,16370,19145,20583,15698,8991,3329,6788,3942,210,209,217,172,196,408,367,344,530,487,451,198,74,79,2846,182,239,225,92,83,237,249,175,328,389,291,214,106,36,44665,22106,2001,2148,2189,1353,859,1645,1499,1301,2502,2762,2040,1211,506,90,22559,1887,2116,1987,1233,680,1599,1474,1392,2691,2941,2509,1292,588,170,2138,1103,98,96,45,73,66,44,57,84,252,124,138,22,4,0,1035,34,74,83,54,68,25,45,91,172,140,153,78,16,2,220,100,0,2,14,16,0,8,0,0,22,8,22,2,6,0,120,3,17,0,12,0,8,4,10,54,4,5,0,0,3,6120,3419,193,246,316,143,65,308,336,196,551,544,337,136,48,0,2701,206,267,259,192,71,162,284,207,325,362,233,108,25,0,29026,14483,1337,1484,1613,845,380,1292,1030,982,1586,1440,1232,825,351,86,14543,1551,1531,1644,882,442,1059,825,884,1545,1508,1186,1027,340,119,261511,130187,6926,7303,7739,4854,2598,7367,7176,7305,15443,18959,19264,15249,7878,2126,131324,6587,6903,7538,4418,2494,6807,6745,7636,15702,18560,20223,15490,8914,3307,21418,11479,1126,1205,1188,710,438,901,926,900,1411,1351,893,322,95,13,9939,1246,1109,1266,740,347,691,659,652,1091,1000,644,370,102,22,40.3,39.5,41.0,43.9,43.1,44.6,33.0,32.7,34.2,29.3,27.7,30.8,35.2,34.7,37.9,37.3,39.5,37.1,30.1,31.9,28.1,26.3,26.7,26.0,44.8,44.1,45.5,24.1,26.0,22.1,362318
