SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,OR,41,,,,,04000US41,Oregon,3982267,1971512,119053,123415,122895,75746,50233,28551,27090,80616,138412,138863,131133,131340,125951,129857,130000,54277,75814,47661,58794,72820,47379,31518,30094,2010755,112948,119040,116731,71567,48173,26916,27193,76314,133504,137713,130058,125619,124916,134334,140230,56220,82971,49938,65219,79978,55632,41117,54424,3387825,1673401,93775,97130,97584,60686,39389,108047,113147,115094,219244,222043,236905,167155,74614,28588,1714424,88885,92823,92401,57143,37505,106053,110523,114224,212729,224467,253778,181349,90691,51853,74012,40261,2749,2801,2678,1650,1425,3808,3877,3188,5523,5395,4235,2110,656,166,33751,2502,2830,2666,1410,946,2801,2970,2726,4463,4044,3289,1810,813,481,45233,22474,1365,1404,1561,985,793,2441,1761,1640,2905,2848,2774,1484,425,88,22759,1331,1896,1624,1110,436,1597,1683,1644,2928,2994,2948,1755,545,268,160155,73398,3697,4403,4220,2747,2264,7499,6545,5869,12191,10197,7168,4059,1812,727,86757,3914,4376,4649,3044,2203,7089,6721,7435,15384,12874,9822,5439,2638,1169,14936,7325,364,661,575,329,270,921,758,800,1131,635,535,228,91,27,7611,577,783,594,222,325,576,924,855,976,973,383,283,96,44,124565,66801,5717,5680,6394,3494,2380,6081,6000,6297,11814,7616,3465,1269,463,131,57764,4965,6044,5665,3485,2308,4857,4592,4404,9649,6378,3414,1289,612,102,175541,87852,11386,11336,9883,5855,3712,7460,6324,5975,9665,7074,5009,2970,836,367,87689,10774,10288,9132,5153,4450,7450,6091,6425,9548,7520,5787,3210,1354,507,3066467,1508688,76087,79049,80032,50829,33609,93969,99907,102238,194869,206015,227930,162805,73122,28227,1557779,71893,74883,76130,48332,31898,92094,98141,102003,190539,210072,244991,176604,89110,51089,494806,256838,26602,27157,26921,14747,9378,23227,21274,21068,38597,25676,13575,5956,2092,568,237968,25513,27193,24582,13860,9097,20812,18635,18507,34273,22548,13001,6537,2410,1000,39.1,38.0,40.2,41.2,40.1,42.4,31.6,31.7,31.6,33.8,32.6,35.2,36.2,34.5,37.5,28.4,28.4,28.5,27.5,28.1,26.6,21.7,21.0,22.5,43.4,42.2,44.6,24.8,25.1,24.4,3982267
40,OR,41,,,,,04001US41,Oregon -- Urban,3244325,1594757,103053,103961,102107,61060,42711,25082,23117,69897,121867,121125,112116,111474,102612,101057,97587,39202,54855,32843,41188,49177,33036,22424,23206,1649568,98283,100728,96894,58177,41164,23199,24360,68434,118753,121107,112934,106740,100944,105362,106465,41647,61902,35913,47773,59144,41923,32022,45700,2708903,1326891,79929,80080,79015,47652,32764,92263,98640,99753,184167,173397,171843,113573,51934,21881,1382012,76193,76992,75000,45575,31425,93397,97308,99353,179909,175352,188160,131220,68756,43372,71017,38388,2705,2663,2583,1565,1348,3635,3702,3054,5327,5237,3971,1839,593,166,32629,2433,2658,2566,1347,902,2721,2956,2634,4375,3896,3197,1714,764,466,30030,15239,925,941,1057,627,601,1722,1313,1220,2095,1966,1689,788,237,58,14791,939,1261,938,664,269,981,1205,1261,1988,1823,1754,1169,322,217,153514,70444,3516,4229,4066,2513,2192,7343,6405,5711,11819,9700,6833,3764,1667,686,83070,3818,4228,4381,2893,2133,7003,6505,7118,14895,12427,8917,5185,2465,1102,13970,6895,341,619,549,291,248,885,698,760,1095,587,514,192,91,25,7075,502,735,536,189,325,573,890,823,937,863,330,258,70,44,113487,60255,5357,5177,5861,3263,2155,5492,5506,5525,10735,6813,2881,1011,381,98,53232,4620,5678,5338,3081,2124,4536,4238,4136,8995,5770,3086,1064,514,52,153404,76645,10280,10252,8976,5149,3403,6756,5603,5102,8352,5969,3913,2041,557,292,76759,9778,9176,8135,4428,3986,6782,5651,5782,8575,6175,4570,2220,1054,447,2423055,1181240,63872,63823,63759,39233,27513,79790,86666,88083,162327,159365,164494,110062,50674,21579,1241815,60546,60794,60558,37525,26497,80544,85575,88200,159946,163006,180782,127550,67584,42708,443598,228829,24232,24506,23894,12940,8557,20708,19274,18930,34698,22737,11268,4833,1776,476,214769,23591,24565,22136,12513,8114,19183,17534,16995,31283,19708,11169,5253,1886,839,37.1,36.0,38.2,39.0,37.8,40.2,31.5,31.5,31.6,32.8,31.3,34.3,36.0,34.3,37.3,28.4,28.4,28.3,27.1,27.6,26.3,21.1,20.2,22.0,41.1,39.8,42.5,24.6,24.9,24.2,3244325
40,OR,41,,,,,04043US41,Oregon -- Rural,737942,376755,16000,19454,20788,14686,7522,3469,3973,10719,16545,17738,19017,19866,23339,28800,32413,15075,20959,14818,17606,23643,14343,9094,6888,361187,14665,18312,19837,13390,7009,3717,2833,7880,14751,16606,17124,18879,23972,28972,33765,14573,21069,14025,17446,20834,13709,9095,8724,678922,346510,13846,17050,18569,13034,6625,15784,14507,15341,35077,48646,65062,53582,22680,6707,332412,12692,15831,17401,11568,6080,12656,13215,14871,32820,49115,65618,50129,21935,8481,2995,1873,44,138,95,85,77,173,175,134,196,158,264,271,63,0,1122,69,172,100,63,44,80,14,92,88,148,92,96,49,15,15203,7235,440,463,504,358,192,719,448,420,810,882,1085,696,188,30,7968,392,635,686,446,167,616,478,383,940,1171,1194,586,223,51,6641,2954,181,174,154,234,72,156,140,158,372,497,335,295,145,41,3687,96,148,268,151,70,86,216,317,489,447,905,254,173,67,966,430,23,42,26,38,22,36,60,40,36,48,21,36,0,2,536,75,48,58,33,0,3,34,32,39,110,53,25,26,0,11078,6546,360,503,533,231,225,589,494,772,1079,803,584,258,82,33,4532,345,366,327,404,184,321,354,268,654,608,328,225,98,50,22137,11207,1106,1084,907,706,309,704,721,873,1313,1105,1096,929,279,75,10930,996,1112,997,725,464,668,440,643,973,1345,1217,990,300,60,643412,327448,12215,15226,16273,11596,6096,14179,13241,14155,32542,46650,63436,52743,22448,6648,315964,11347,14089,15572,10807,5401,11550,12566,13803,30593,47066,64209,49054,21526,8381,51208,28009,2370,2651,3027,1807,821,2519,2000,2138,3899,2939,2307,1123,316,92,23199,1922,2628,2446,1347,983,1629,1101,1512,2990,2840,1832,1284,524,161,49.7,49.1,50.3,50.9,50.4,51.4,33.2,35.4,30.8,36.5,35.7,38.2,43.1,40.8,45.1,29.1,27.5,33.8,31.3,32.0,29.7,30.5,30.5,30.4,52.0,51.6,52.3,27.1,26.8,27.9,737942
40,OR,41,,,,,040A0US41,Oregon -- In metropolitan or micropolitan statistical area,3884317,1921721,116341,120531,120056,73848,49129,28045,26650,79030,135613,136267,128395,128727,123093,126546,126345,52499,73220,46135,56525,70031,45396,30304,28995,1962596,110505,116271,114050,69898,47196,26514,26884,74972,131222,135248,127816,123064,122080,130868,136265,54478,80366,48336,62863,77313,53582,39766,53039,3302020,1629883,91631,94775,95324,59240,38617,105916,110927,112857,214801,216493,229419,160852,71511,27520,1672137,86819,90625,90387,55833,36718,104381,108596,112120,208705,218826,246067,175101,87442,50517,73453,39883,2745,2796,2636,1650,1403,3768,3801,3157,5485,5300,4216,2110,650,166,33570,2498,2801,2626,1396,946,2799,2968,2703,4449,4020,3274,1802,807,481,40333,20037,1131,1196,1259,825,728,2219,1523,1512,2617,2620,2565,1371,383,88,20296,1127,1680,1392,1008,348,1399,1499,1485,2664,2730,2665,1578,467,254,159516,73129,3694,4385,4218,2737,2234,7472,6502,5860,12176,10174,7111,4035,1804,727,86387,3901,4334,4597,3028,2203,7081,6700,7416,15335,12815,9786,5425,2603,1163,14680,7233,364,629,560,323,270,910,752,797,1125,634,532,228,91,18,7447,572,783,556,199,325,573,901,855,911,973,377,282,96,44,121454,65157,5529,5592,6245,3304,2207,6062,5938,6206,11384,7501,3395,1218,445,131,56297,4850,5882,5475,3353,2225,4754,4521,4382,9346,6240,3335,1226,606,102,172861,86399,11247,11158,9814,5769,3670,7378,6170,5878,9534,6917,4826,2877,816,345,86462,10738,10166,9017,5081,4431,7383,6037,6287,9470,7344,5605,3098,1327,478,2986183,1468032,74258,77084,78137,49530,32913,92102,97923,100201,190679,200753,220655,156593,70045,27159,1518151,70169,73018,74332,47136,31267,90616,96336,100096,186802,204738,237546,170431,85882,49782,485523,252025,26046,26599,26390,14408,9134,22916,20911,20756,37877,25251,13302,5825,2042,568,233498,25013,26626,24118,13603,8836,20510,18422,18237,33671,22100,12638,6383,2370,971,39.0,37.9,40.0,41.0,39.9,42.2,31.7,31.8,31.6,34.7,33.7,35.8,36.2,34.5,37.5,28.5,28.5,28.5,27.5,28.1,26.7,21.5,20.9,22.4,43.2,42.0,44.4,24.8,25.1,24.4,3884317
40,OR,41,,,,,040C0US41,Oregon -- In metropolitan statistical area,3327489,1642870,99998,104075,103080,63355,42246,24330,23235,68902,118769,120308,113392,112715,106736,107979,106904,43373,60227,37581,46157,56118,35857,24176,23357,1684619,95101,100242,97772,60045,41755,23784,23155,66081,116062,120068,113534,107926,105927,111627,115450,44294,67339,40210,51595,62726,43461,32317,44148,2804600,1381243,77981,81054,80948,50209,32964,91476,96506,98852,187436,185082,190450,129720,56467,22098,1423357,73887,77090,76667,47433,32240,91021,95377,98864,182858,187014,205150,142963,70695,42098,69776,37767,2585,2713,2485,1601,1231,3395,3633,2997,5200,5139,4048,1957,617,166,32009,2365,2661,2404,1366,910,2552,2904,2616,4264,3773,3207,1740,773,474,28856,14526,731,761,915,638,495,1745,1070,1192,2036,1854,1763,1055,222,49,14330,692,1187,1040,778,269,1052,1049,1125,2025,1904,1722,1050,276,161,153974,70994,3574,4291,4074,2682,2214,7305,6384,5688,11850,9891,6916,3783,1694,648,82980,3858,4096,4453,2886,2162,6963,6484,7084,14912,12332,9254,5101,2369,1026,13573,6632,345,585,494,291,235,903,661,743,1026,568,492,184,91,14,6941,523,719,501,188,325,573,849,798,881,855,351,259,75,44,106533,57023,4951,4945,5391,2830,1953,5247,5254,5568,10130,6391,2864,1050,357,92,49510,4295,5302,4983,2926,1885,4201,4003,4041,8101,5295,2886,1029,514,49,150177,74685,9831,9726,8773,5104,3154,6396,5261,5268,8429,5790,3971,2107,585,290,75492,9481,9187,7724,4468,3964,6658,5396,5540,8419,6381,4513,2389,1076,296,2540418,1246408,63637,65969,66667,42157,28408,79966,85693,88040,166866,172151,183375,126297,55377,21805,1294010,60026,62341,63440,40183,27478,79490,84965,88448,163994,175305,198186,139304,69369,41481,412031,213177,21791,22846,22239,12111,7514,19413,17675,18010,32901,21121,10830,4727,1553,446,198854,21143,22728,20253,11584,7734,17340,15906,16039,29152,18587,10522,5055,2040,771,38.3,37.2,39.3,40.3,39.3,41.4,31.9,32.1,31.8,34.3,33.8,34.9,36.0,34.4,37.3,28.3,28.3,28.3,27.4,28.1,26.4,21.2,20.5,22.0,42.4,41.2,43.6,24.9,25.2,24.5,3327489
40,OR,41,,,,,040C1US41,Oregon -- In metropolitan statistical area -- in principal city,1468237,723394,45040,43462,40497,23713,20104,12556,11694,35452,63987,63601,56583,52732,47123,43618,42065,16760,23729,13795,16881,19055,12644,8510,9793,744843,42988,43024,39466,23605,20551,12024,12086,34882,63007,61529,56048,48564,44973,45236,45449,17387,26639,15227,19003,23723,16177,13357,19898,1190628,583813,33496,32127,29415,17748,14896,45046,50794,51113,88964,75740,71893,44449,19116,9016,606815,31931,31708,29350,17667,15158,45369,50542,49771,84364,74810,78187,52304,26918,18736,46710,24914,1831,1844,1490,980,777,2290,2267,2144,3384,3195,2741,1403,463,105,21796,1332,1779,1644,965,501,1619,1927,1980,2879,2633,2391,1320,480,346,11746,5974,304,353,291,185,280,757,642,596,626,807,666,371,86,10,5772,494,484,422,246,94,583,537,594,783,611,476,283,99,66,89031,41749,2002,1957,1945,1176,1479,5347,4521,4093,6567,5082,3968,2159,1007,446,47282,2177,1846,2286,1472,1489,4994,4534,4069,8087,6647,5160,2479,1412,630,8096,3796,177,325,323,217,144,567,348,303,640,302,294,94,62,0,4300,343,553,353,116,269,397,355,514,632,462,170,121,9,6,47808,25998,2353,2243,2451,1030,970,2217,2650,2655,5001,2674,1099,367,234,54,21810,1868,2362,1927,1016,781,2067,2289,1699,3438,2431,1187,518,206,21,74218,37150,4877,4613,4582,2377,1558,3478,2765,2697,4133,2941,1893,888,186,162,37068,4843,4292,3484,2123,2259,3963,2823,2902,4429,2615,1904,928,410,93,1073788,525352,26584,26243,24269,14849,12813,40258,45651,46025,79263,70290,68582,42905,18665,8955,548436,25881,25185,23628,14566,12718,39675,45262,44945,76033,69562,75212,50753,26540,18476,185065,94697,10400,9424,8837,4438,3470,8212,8519,8772,15763,9039,4844,2084,721,174,90368,9584,10165,8886,4878,3764,8732,8258,7367,13004,8183,4378,2198,685,286,35.9,35.1,36.6,37.6,36.7,38.5,32.6,32.5,32.8,30.6,30.8,30.2,34.5,33.1,36.0,26.7,26.7,26.7,28.0,28.7,27.3,21.3,20.7,21.9,39.2,38.1,40.3,25.6,26.6,24.5,1468237
40,OR,41,,,,,040C2US41,Oregon -- In metropolitan statistical area -- not in principal city,1859252,919476,54958,60613,62583,39642,22142,11774,11541,33450,54782,56707,56809,59983,59613,64361,64839,26613,36498,23786,29276,37063,23213,15666,13564,939776,52113,57218,58306,36440,21204,11760,11069,31199,53055,58539,57486,59362,60954,66391,70001,26907,40700,24983,32592,39003,27284,18960,24250,1613972,797430,44485,48927,51533,32461,18068,46430,45712,47739,98472,109342,118557,85271,37351,13082,816542,41956,45382,47317,29766,17082,45652,44835,49093,98494,112204,126963,90659,43777,23362,23066,12853,754,869,995,621,454,1105,1366,853,1816,1944,1307,554,154,61,10213,1033,882,760,401,409,933,977,636,1385,1140,816,420,293,128,17110,8552,427,408,624,453,215,988,428,596,1410,1047,1097,684,136,39,8558,198,703,618,532,175,469,512,531,1242,1293,1246,767,177,95,64943,29245,1572,2334,2129,1506,735,1958,1863,1595,5283,4809,2948,1624,687,202,35698,1681,2250,2167,1414,673,1969,1950,3015,6825,5685,4094,2622,957,396,5477,2836,168,260,171,74,91,336,313,440,386,266,198,90,29,14,2641,180,166,148,72,56,176,494,284,249,393,181,138,66,38,58725,31025,2598,2702,2940,1800,983,3030,2604,2913,5129,3717,1765,683,123,38,27700,2427,2940,3056,1910,1104,2134,1714,2342,4663,2864,1699,511,308,28,75959,37535,4954,5113,4191,2727,1596,2918,2496,2571,4296,2849,2078,1219,399,128,38424,4638,4895,4240,2345,1705,2695,2573,2638,3990,3766,2609,1461,666,203,1466630,721056,37053,39726,42398,27308,15595,39708,40042,42015,87603,101861,114793,83392,36712,12850,745574,34145,37156,39812,25617,14760,39815,39703,43503,87961,105743,122974,88551,42829,23005,226966,118480,11391,13422,13402,7673,4044,11201,9156,9238,17138,12082,5986,2643,832,272,108486,11559,12563,11367,6706,3970,8608,7648,8672,16148,10404,6144,2857,1355,485,40.7,39.6,41.9,42.8,41.6,43.9,29.9,30.9,28.1,37.6,35.9,39.3,38.2,36.7,39.1,30.1,30.0,30.2,26.6,27.4,25.5,21.1,20.2,22.3,45.0,43.9,46.0,24.3,24.1,24.6,1859252
40,OR,41,,,,,040E0US41,Oregon -- In micropolitan statistical area,556828,278851,16343,16456,16976,10493,6883,3715,3415,10128,16844,15959,15003,16012,16357,18567,19441,9126,12993,8554,10368,13913,9539,6128,5638,277977,15404,16029,16278,9853,5441,2730,3729,8891,15160,15180,14282,15138,16153,19241,20815,10184,13027,8126,11268,14587,10121,7449,8891,497420,248640,13650,13721,14376,9031,5653,14440,14421,14005,27365,31411,38969,31132,15044,5422,248780,12932,13535,13720,8400,4478,13360,13219,13256,25847,31812,40917,32138,16747,8419,3677,2116,160,83,151,49,172,373,168,160,285,161,168,153,33,0,1561,133,140,222,30,36,247,64,87,185,247,67,62,34,7,11477,5511,400,435,344,187,233,474,453,320,581,766,802,316,161,39,5966,435,493,352,230,79,347,450,360,639,826,943,528,191,93,5542,2135,120,94,144,55,20,167,118,172,326,283,195,252,110,79,3407,43,238,144,142,41,118,216,332,423,483,532,324,234,137,1107,601,19,44,66,32,35,7,91,54,99,66,40,44,0,4,506,49,64,55,11,0,0,52,57,30,118,26,23,21,0,14921,8134,578,647,854,474,254,815,684,638,1254,1110,531,168,88,39,6787,555,580,492,427,340,553,518,341,1245,945,449,197,92,53,22684,11714,1416,1432,1041,665,516,982,909,610,1105,1127,855,770,231,55,10970,1257,979,1293,613,467,725,641,747,1051,963,1092,709,251,182,445765,221624,10621,11115,11470,7373,4505,12136,12230,12161,23813,28602,37280,30296,14668,5354,224141,10143,10677,10892,6953,3789,11126,11371,11648,22808,29433,39360,31127,16513,8301,73492,38848,4255,3753,4151,2297,1620,3503,3236,2746,4976,4130,2472,1098,489,122,34644,3870,3898,3865,2019,1102,3170,2516,2198,4519,3513,2116,1328,330,200,43.7,42.3,45.3,45.6,44.1,47.0,25.5,26.8,24.7,36.1,33.2,39.3,43.3,41.2,45.0,31.0,30.5,32.1,29.1,27.8,29.7,24.8,23.7,25.8,48.5,47.1,49.9,24.5,24.8,24.0,556828
40,OR,41,,,,,040E1US41,Oregon -- In micropolitan statistical area -- in principal city,176082,86225,6424,5435,4935,3378,2530,1493,1112,3842,6750,5696,5348,4897,4702,5448,5081,2399,3420,1968,2469,3059,2236,1596,2007,89857,6083,5475,5365,3287,1842,820,1287,3598,5813,5691,5453,4610,4929,5705,6186,2492,3574,1964,3037,3925,3006,2160,3555,154694,75466,5232,4498,3881,2864,2069,5420,5699,5063,8656,9192,10099,7147,3721,1925,79228,4973,4418,4503,2838,1507,5055,4957,4810,8638,9531,11252,8465,4916,3365,2050,1052,117,39,125,11,124,269,58,37,139,49,40,35,9,0,998,108,80,138,12,23,153,56,59,112,138,48,45,19,7,2512,1375,111,10,143,66,22,112,149,113,194,183,176,57,39,0,1137,83,96,35,8,27,0,121,152,74,142,235,98,47,19,2254,880,73,21,56,27,5,101,70,87,152,99,84,53,2,50,1374,0,136,13,70,12,53,116,190,185,155,232,82,108,22,596,313,12,38,37,20,13,0,55,32,57,32,6,7,0,4,283,15,40,30,3,0,0,30,39,19,87,12,8,0,0,5515,2785,238,216,350,183,75,230,256,204,519,289,135,65,19,6,2730,253,311,157,198,100,166,243,115,638,326,150,50,23,0,8461,4354,641,613,343,207,222,315,463,160,528,306,360,132,42,22,4107,651,394,489,158,173,278,290,326,397,255,323,178,53,142,136586,65787,3870,3598,3100,2350,1628,4415,4774,4330,7557,8291,9556,6901,3518,1899,70799,3747,3296,3516,2396,1356,4442,4181,4269,7763,8788,10687,8154,4866,3338,26973,14311,1983,1309,1366,755,638,1396,1334,1084,1705,1292,839,343,235,32,12662,1846,1631,1397,655,282,1006,1083,756,1588,1109,760,420,73,56,38.2,36.6,40.2,40.3,38.3,42.6,23.3,21.3,24.8,35.3,32.0,40.7,37.2,35.0,38.8,30.3,28.2,32.7,27.3,26.8,29.3,22.9,22.2,23.9,43.4,41.5,45.5,23.6,24.3,22.4,176082
40,OR,41,,,,,040E2US41,Oregon -- In micropolitan statistical area -- not in principal city,380746,192626,9919,11021,12041,7115,4353,2222,2303,6286,10094,10263,9655,11115,11655,13119,14360,6727,9573,6586,7899,10854,7303,4532,3631,188120,9321,10554,10913,6566,3599,1910,2442,5293,9347,9489,8829,10528,11224,13536,14629,7692,9453,6162,8231,10662,7115,5289,5336,342726,173174,8418,9223,10495,6167,3584,9020,8722,8942,18709,22219,28870,23985,11323,3497,169552,7959,9117,9217,5562,2971,8305,8262,8446,17209,22281,29665,23673,11831,5054,1627,1064,43,44,26,38,48,104,110,123,146,112,128,118,24,0,563,25,60,84,18,13,94,8,28,73,109,19,17,15,0,8965,4136,289,425,201,121,211,362,304,207,387,583,626,259,122,39,4829,352,397,317,222,52,347,329,208,565,684,708,430,144,74,3288,1255,47,73,88,28,15,66,48,85,174,184,111,199,108,29,2033,43,102,131,72,29,65,100,142,238,328,300,242,126,115,511,288,7,6,29,12,22,7,36,22,42,34,34,37,0,0,223,34,24,25,8,0,0,22,18,11,31,14,15,21,0,9406,5349,340,431,504,291,179,585,428,434,735,821,396,103,69,33,4057,302,269,335,229,240,387,275,226,607,619,299,147,69,53,14223,7360,775,819,698,458,294,667,446,450,577,821,495,638,189,33,6863,606,585,804,455,294,447,351,421,654,708,769,531,198,40,309179,155837,6751,7517,8370,5023,2877,7721,7456,7831,16256,20311,27724,23395,11150,3455,153342,6396,7381,7376,4557,2433,6684,7190,7379,15045,20645,28673,22973,11647,4963,46519,24537,2272,2444,2785,1542,982,2107,1902,1662,3271,2838,1633,755,254,90,21982,2024,2267,2468,1364,820,2164,1433,1442,2931,2404,1356,908,257,144,46.1,45.0,47.3,47.7,46.6,48.9,32.4,34.5,24.5,36.3,33.6,38.7,45.7,45.3,45.8,32.4,36.2,27.8,29.5,28.8,29.9,25.8,24.6,27.8,50.5,49.4,51.5,25.0,25.2,24.6,380746
