SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,PA,42,,,,,04000US42,Pennsylvania,12783977,6255042,365819,380168,391062,247940,183275,95882,92627,253638,429580,397866,364578,390239,425496,462893,459336,171245,226010,139326,177055,220505,158833,115547,106122,6528935,348779,364165,372680,233655,179406,91837,91201,241997,415686,391160,366805,393837,435719,480402,478747,179512,247488,152902,197998,264557,207002,175249,218151,10402743,5094147,264863,282000,296427,189560,139288,334004,333585,313061,604710,750813,751864,483605,251011,99356,5308596,252019,269380,280767,178181,136129,323176,319779,306232,601265,765723,783549,544857,345785,201754,1410563,680760,51597,49345,54225,33998,25398,64549,54722,45970,84921,87952,70907,35901,16239,5036,729803,49697,49119,49188,31469,23691,61269,55473,47073,89708,97284,84287,50060,28046,13439,24947,13115,828,827,1041,490,376,1321,1107,923,1765,2014,1399,732,196,96,11832,686,863,837,489,397,649,725,696,1806,1676,1711,899,161,237,401979,192673,11807,13597,11604,7173,7200,16430,17957,18095,31593,23931,17442,10312,4556,976,209306,12268,12519,13287,7522,7540,16314,19857,19523,35007,26731,20140,11937,5075,1586,4463,2083,31,171,119,47,278,326,203,270,161,274,138,65,0,0,2380,148,133,164,77,154,293,163,107,258,408,288,107,63,17,253514,130001,11981,12639,10681,7049,4445,13132,12483,11336,19632,14069,7834,3341,1234,145,123513,11363,10800,11181,6761,5176,11347,10411,9683,18969,14019,8127,3600,1584,492,285768,142263,24712,21589,16965,9623,6290,12385,9523,8211,12035,9336,7007,2930,1144,513,143505,22598,21351,17256,9156,6319,11987,9278,7846,13629,10280,7645,3997,1537,626,9934801,4857078,240182,258930,274557,176909,129879,312420,313031,293670,572267,726205,736837,475796,247691,98704,5077723,228297,246655,260586,166755,127612,302809,301178,287569,570988,740553,767426,535383,341952,199960,843164,430715,45981,43433,39457,23389,16575,41046,37804,35574,59117,44075,26083,12198,4987,996,412449,43642,40662,37660,21514,15941,36725,33243,32169,56310,44151,27325,14610,5970,2527,40.6,38.9,42.2,43.3,41.7,44.8,32.7,30.6,34.8,35.5,32.8,37.7,33.3,32.8,33.8,28.4,27.5,33.5,27.1,26.9,27.4,17.9,17.5,18.4,44.2,42.7,45.7,26.0,25.6,26.4,12783977
40,PA,42,,,,,04001US42,Pennsylvania -- Urban,10081347,4886852,296585,301564,305938,191408,152335,80322,78177,209565,357575,328400,293463,304342,324165,349082,343593,126203,164970,101880,128835,158645,115993,87848,85964,5194495,282069,290261,291581,182265,153362,78682,78287,202060,354140,325676,296880,309847,337982,367865,365056,137421,187847,116211,150668,201263,161657,140955,182460,7792808,3778858,199214,207965,215816,136051,110082,263845,265393,248118,456183,542336,534652,338484,181303,79416,4013950,188821,199271,204340,129096,111252,259296,260530,242754,452332,560413,572316,399604,267300,166625,1376785,658163,50907,48325,53018,32788,24670,62698,52784,43725,80506,84367,68730,34817,15880,4948,718622,48922,48390,48097,30689,23281,60698,54747,46561,88673,95628,82941,49364,27556,13075,22460,11752,794,733,926,452,342,1253,1019,862,1509,1770,1198,615,188,91,10708,656,826,767,445,385,601,670,641,1643,1446,1526,791,101,210,385132,185266,11356,12877,10987,6762,7018,15951,17575,17580,30338,22892,16708,9939,4378,905,199866,11900,11767,12248,7196,7386,16105,19289,18931,33134,25489,18842,11345,4697,1537,4083,1900,26,163,117,30,259,298,200,238,151,246,126,46,0,0,2183,136,129,149,75,147,291,163,75,221,387,257,87,49,17,243281,123936,11707,12251,10026,6767,4323,12627,11887,10597,18577,13278,7452,3154,1146,144,119345,11150,10426,10654,6529,5021,10894,10222,9437,18251,13522,7736,3540,1528,435,256798,126977,22581,19250,15048,8558,5641,11392,8717,7280,10541,8358,5900,2305,946,460,129821,20484,19452,15326,8235,5890,11144,8519,7277,12473,8962,6706,3411,1381,561,7362519,3561287,176650,186929,195636,124652,101332,243846,246545,229911,425916,519910,521264,331568,178316,78812,3801232,166585,178036,186373,118797,103328,239992,242931,225340,424275,537660,557726,391248,263859,165082,789200,401571,43143,40784,36795,21583,15587,38667,35110,33393,55357,40712,23920,11027,4545,948,387629,41477,38638,34655,20018,15109,35018,31843,30536,53017,40997,25305,13330,5493,2193,39.2,37.3,41.0,42.3,40.4,44.1,32.7,30.4,34.8,34.4,32.1,37.2,33.1,32.7,33.6,27.7,27.4,30.2,27.0,26.6,27.3,17.9,17.4,18.4,43.5,41.6,45.3,25.9,25.5,26.3,10081347
40,PA,42,,,,,04043US42,Pennsylvania -- Rural,2702630,1368190,69234,78604,85124,56532,30940,15560,14450,44073,72005,69466,71115,85897,101331,113811,115743,45042,61040,37446,48220,61860,42840,27699,20158,1334440,66710,73904,81099,51390,26044,13155,12914,39937,61546,65484,69925,83990,97737,112537,113691,42091,59641,36691,47330,63294,45345,34294,35691,2609935,1315289,65649,74035,80611,53509,29206,70159,68192,64943,148527,208477,217212,145121,69708,19940,1294646,63198,70109,76427,49085,24877,63880,59249,63478,148933,205310,211233,145253,78485,35129,33778,22597,690,1020,1207,1210,728,1851,1938,2245,4415,3585,2177,1084,359,88,11181,775,729,1091,780,410,571,726,512,1035,1656,1346,696,490,364,2487,1363,34,94,115,38,34,68,88,61,256,244,201,117,8,5,1124,30,37,70,44,12,48,55,55,163,230,185,108,60,27,16847,7407,451,720,617,411,182,479,382,515,1255,1039,734,373,178,71,9440,368,752,1039,326,154,209,568,592,1873,1242,1298,592,378,49,380,183,5,8,2,17,19,28,3,32,10,28,12,19,0,0,197,12,4,15,2,7,2,0,32,37,21,31,20,14,0,10233,6065,274,388,655,282,122,505,596,739,1055,791,382,187,88,1,4168,213,374,527,232,155,453,189,246,718,497,391,60,56,57,28970,15286,2131,2339,1917,1065,649,993,806,931,1494,978,1107,625,198,53,13684,2114,1899,1930,921,429,843,759,569,1156,1318,939,586,156,65,2572282,1295791,63532,72001,78921,52257,28547,68574,66486,63759,146351,206295,215573,144228,69375,19892,1276491,61712,68619,74213,47958,24284,62817,58247,62229,146713,202893,209700,144135,78093,34878,53964,29144,2838,2649,2662,1806,988,2379,2694,2181,3760,3363,2163,1171,442,48,24820,2165,2024,3005,1496,832,1707,1400,1633,3293,3154,2020,1280,477,334,45.3,44.5,46.2,45.8,45.1,46.6,35.5,35.5,34.9,42.1,39.2,47.4,37.5,34.6,39.1,35.2,31.9,38.5,30.7,31.2,28.9,18.3,18.6,17.9,46.1,45.4,46.8,28.2,27.7,28.9,2702630
40,PA,42,,,,,040A0US42,Pennsylvania -- In metropolitan or micropolitan statistical area,12403467,6060732,356117,369654,380389,240652,178402,93292,89919,246246,417816,386531,353894,377729,412163,447811,443884,165638,218049,134057,170393,211467,152432,111443,102754,6342735,339868,353987,362627,226899,174848,89213,89060,235761,406252,381887,357456,382902,423360,466213,463640,174092,239250,147687,191716,254680,199745,169922,211670,10038380,4911177,255676,271847,286136,182661,134814,322517,323278,303268,583964,723801,723656,462916,240606,96037,5127203,243429,259710,271121,171760,131861,312564,310567,297212,581516,739667,755312,523749,333394,195341,1402515,673934,51481,49282,54146,33881,25123,63701,53690,44923,83244,87033,70410,35809,16181,5030,728581,49678,49075,49087,31346,23549,61066,55423,47060,89648,97149,84186,49976,27942,13396,24307,12774,828,821,1034,481,366,1290,1106,895,1684,1935,1345,707,191,91,11533,685,860,815,480,380,644,691,679,1757,1604,1670,878,161,229,400432,192021,11743,13578,11587,7149,7187,16370,17906,17996,31470,23874,17404,10270,4544,943,208411,12233,12475,13247,7516,7522,16231,19833,19419,34819,26678,19966,11853,5040,1579,4340,2019,26,166,119,47,259,315,199,270,156,271,126,65,0,0,2321,139,131,153,77,154,293,163,104,243,401,276,107,63,17,251910,128927,11929,12595,10637,7007,4424,13061,12325,11170,19397,13886,7796,3325,1230,145,122983,11315,10706,11135,6723,5139,11299,10395,9649,18909,13982,8062,3600,1577,492,281583,139880,24434,21365,16730,9426,6229,12203,9312,8009,11708,9174,6834,2825,1123,508,141703,22389,21030,17069,8997,6243,11937,9180,7764,13466,10092,7510,3920,1490,616,9574658,4676564,231201,249042,264432,170116,125510,301153,302965,284105,551832,699443,708780,455252,237326,95407,4898094,219864,237141,251129,160402,123400,292295,292130,278675,551430,714699,739360,514365,329614,193590,836259,426382,45652,43122,39242,23205,16390,40658,37280,35045,58419,43584,25844,12024,4943,974,409877,43411,40418,37377,21385,15825,36553,33059,32012,56017,43878,27065,14494,5917,2466,40.5,38.8,42.0,43.2,41.6,44.7,32.7,30.6,34.8,35.2,32.4,37.6,33.3,32.8,33.8,28.5,27.6,33.3,27.1,26.8,27.4,17.9,17.4,18.4,44.2,42.6,45.7,25.9,25.6,26.4,12403467
40,PA,42,,,,,040C0US42,Pennsylvania -- In metropolitan statistical area,11296931,5501879,327092,338371,347984,219887,162426,83893,81907,224973,384339,353615,321262,341799,373109,405444,401052,149563,195743,120629,152433,188395,135557,99672,92734,5795052,312558,323784,332000,207778,159471,81749,81074,217048,378257,353686,329158,349951,387483,425688,422081,158089,216582,133101,173209,228815,179362,153046,191082,8987500,4389126,228625,242522,255317,163159,120790,288000,293597,274452,522650,647120,645092,409394,212268,86140,4598374,217830,231451,242250,153536,117901,280207,283840,269947,522685,665152,676409,465692,296499,174975,1375331,652790,50926,48859,53697,33341,24109,60836,51113,42157,78374,84183,68796,35345,16063,4991,722541,49314,48709,48684,31117,22923,60274,54900,46725,88906,96553,83675,49711,27788,13262,22733,11913,811,794,992,467,341,1227,936,829,1523,1781,1272,664,185,91,10820,664,855,745,465,355,590,672,644,1684,1444,1588,768,123,223,394006,188998,11591,13399,11413,7073,6907,15913,17662,17831,31094,23438,17164,10162,4444,907,205008,12175,12154,13067,7416,7287,15988,19635,19189,34120,26244,19645,11591,4963,1534,4063,1845,26,160,91,16,259,293,199,225,154,240,117,65,0,0,2218,139,115,141,77,147,293,163,82,243,368,272,98,63,17,246418,125264,11786,12389,10435,6874,4186,12867,12013,10639,18493,13328,7593,3294,1222,145,121154,11180,10530,10955,6555,4985,11123,10273,9549,18658,13768,7976,3575,1544,483,266880,131943,23327,20248,16039,8957,5834,11637,8819,7482,10773,8463,6324,2533,1047,460,134937,21256,19970,16158,8612,5873,11396,8774,7550,12813,9642,7187,3690,1428,588,8537637,4162632,204887,220439,234177,150888,111779,267558,274020,255978,491979,623613,630663,401911,209202,85538,4375005,194890,209654,222730,142433,109731,260545,265774,251679,493221,640743,660833,456631,292826,173315,813204,411898,44490,42060,38415,22657,15708,39242,35930,33521,55459,41939,25021,11789,4721,946,401306,42522,39432,36597,20893,15216,35683,32507,31563,54979,43069,26568,14128,5792,2357,40.2,38.5,41.7,43.1,41.5,44.6,32.7,30.4,34.9,34.9,32.3,37.2,33.3,32.8,33.8,28.3,27.6,32.7,27.0,26.5,27.4,17.8,17.2,18.4,44.1,42.5,45.6,25.9,25.4,26.5,11296931
40,PA,42,,,,,040C1US42,Pennsylvania -- In metropolitan statistical area -- in principal city,2813310,1351508,96432,84060,83518,49350,54118,30428,29394,75727,131082,107502,84123,75920,78359,81846,80408,29343,36463,22292,27348,34442,23966,18109,17278,1461802,90134,82063,78552,48329,57948,31174,30643,74895,134720,108502,87303,80811,83872,89070,88617,33095,45834,28403,35571,46030,36130,30843,39263,1512586,740149,41268,34057,33349,20004,31144,74355,77101,64265,88492,90076,88773,55076,29052,13137,772437,37117,32580,31163,19270,33759,74884,75520,59718,83022,89037,95226,67960,44040,29141,868309,400886,33762,30648,34114,19325,13827,37336,32111,25271,45875,50212,42573,22102,10276,3454,467423,32205,31454,29824,19192,13676,39208,37308,30920,55519,61353,55034,33423,19310,8997,11724,6133,571,381,612,230,155,723,529,433,839,733,517,267,81,62,5591,328,538,409,184,276,335,347,306,782,827,733,387,57,82,149622,72101,3934,4133,3312,2125,3998,9248,9226,7496,9513,7570,6456,3362,1456,272,77521,4289,3474,3685,2324,4249,9173,10062,7857,10476,8516,7307,3893,1799,417,2392,1017,14,129,24,16,149,194,75,122,84,151,53,6,0,0,1375,126,98,78,44,118,187,100,51,160,177,133,52,34,17,164916,81225,8272,8015,6861,4675,2821,8318,7977,6714,10949,8075,5386,2253,790,119,83691,7894,6900,8005,4603,3321,7663,7137,6401,12623,9229,5784,2679,1137,315,103761,49997,8611,6697,5246,2975,2024,5375,4063,3201,4291,3388,2456,1016,420,234,53764,8175,7019,5388,2712,2549,5262,4246,3249,5532,3803,3329,1610,596,294,1290480,628996,28704,22923,23292,14407,26518,63776,67261,55295,73820,79178,82000,51401,27580,12841,661484,25686,22400,21951,13775,29598,63756,65347,50166,69219,77780,87741,63206,42356,28503,464468,231498,26523,23762,21341,12528,8925,23012,20427,18446,29797,22477,14319,6703,2670,568,232970,24847,21641,21012,11998,8915,22030,20514,18442,30805,24087,15660,8667,3247,1105,33.2,31.7,34.7,35.8,34.5,37.3,32.6,29.9,35.0,32.1,28.9,35.7,30.4,30.0,30.7,26.2,23.5,26.5,26.5,25.9,27.2,20.2,19.4,20.8,38.2,36.4,40.2,25.6,24.9,26.3,2813310
40,PA,42,,,,,040C2US42,Pennsylvania -- In metropolitan statistical area -- not in principal city,8483621,4150371,230660,254311,264466,170537,108308,53465,52513,149246,253257,246113,237139,265879,294750,323598,320644,120220,159280,98337,125085,153953,111591,81563,75456,4333250,222424,241721,253448,159449,101523,50575,50431,142153,243537,245184,241855,269140,303611,336618,333464,124994,170748,104698,137638,182785,143232,122203,151819,7474914,3648977,187357,208465,221968,143155,89646,213645,216496,210187,434158,557044,556319,354318,183216,73003,3825937,180713,198871,211087,134266,84142,205323,208320,210229,439663,576115,581183,397732,252459,145834,507022,251904,17164,18211,19583,14016,10282,23500,19002,16886,32499,33971,26223,13243,5787,1537,255118,17109,17255,18860,11925,9247,21066,17592,15805,33387,35200,28641,16288,8478,4265,11009,5780,240,413,380,237,186,504,407,396,684,1048,755,397,104,29,5229,336,317,336,281,79,255,325,338,902,617,855,381,66,141,244384,116897,7657,9266,8101,4948,2909,6665,8436,10335,21581,15868,10708,6800,2988,635,127487,7886,8680,9382,5092,3038,6815,9573,11332,23644,17728,12338,7698,3164,1117,1671,828,12,31,67,0,110,99,124,103,70,89,64,59,0,0,843,13,17,63,33,29,106,63,31,83,191,139,46,29,0,81502,44039,3514,4374,3574,2199,1365,4549,4036,3925,7544,5253,2207,1041,432,26,37463,3286,3630,2950,1952,1664,3460,3136,3148,6035,4539,2192,896,407,168,163119,81946,14716,13551,10793,5982,3810,6262,4756,4281,6482,5075,3868,1517,627,226,81173,13081,12951,10770,5900,3324,6134,4528,4301,7281,5839,3858,2080,832,294,7247157,3533636,176183,197516,210885,136481,85261,203782,206759,200683,418159,544435,548663,350510,181622,72697,3713521,169204,187254,200779,128658,80133,196789,200427,201513,424002,562963,573092,393425,250470,144812,348736,180400,17967,18298,17074,10129,6783,16230,15503,15075,25662,19462,10702,5086,2051,378,168336,17675,17791,15585,8895,6301,13653,11993,13121,24174,18982,10908,5461,2545,1252,42.6,41.1,44.0,44.4,42.9,45.8,32.8,31.1,34.6,37.4,35.9,38.9,35.5,35.1,35.9,32.8,28.1,39.0,28.0,28.2,27.8,16.4,16.0,16.8,45.0,43.5,46.4,26.4,26.2,26.7,8483621
40,PA,42,,,,,040E0US42,Pennsylvania -- In micropolitan statistical area,1106536,558853,29025,31283,32405,20765,15976,9399,8012,21273,33477,32916,32632,35930,39054,42367,42832,16075,22306,13428,17960,23072,16875,11771,10020,547683,27310,30203,30627,19121,15377,7464,7986,18713,27995,28201,28298,32951,35877,40525,41559,16003,22668,14586,18507,25865,20383,16876,20588,1050880,522051,27051,29325,30819,19502,14024,34517,29681,28816,61314,76681,78564,53522,28338,9897,528829,25599,28259,28871,18224,13960,32357,26727,27265,58831,74515,78903,58057,36895,20366,27184,21144,555,423,449,540,1014,2865,2577,2766,4870,2850,1614,464,118,39,6040,364,366,403,229,626,792,523,335,742,596,511,265,154,134,1574,861,17,27,42,14,25,63,170,66,161,154,73,43,6,0,713,21,5,70,15,25,54,19,35,73,160,82,110,38,6,6426,3023,152,179,174,76,280,457,244,165,376,436,240,108,100,36,3403,58,321,180,100,235,243,198,230,699,434,321,262,77,45,277,174,0,6,28,31,0,22,0,45,2,31,9,0,0,0,103,0,16,12,0,7,0,0,22,0,33,4,9,0,0,5492,3663,143,206,202,133,238,194,312,531,904,558,203,31,8,0,1829,135,176,180,168,154,176,122,100,251,214,86,25,33,9,14703,7937,1107,1117,691,469,395,566,493,527,935,711,510,292,76,48,6766,1133,1060,911,385,370,541,406,214,653,450,323,230,62,28,1037021,513932,26314,28603,30255,19228,13731,33595,28945,28127,59853,75830,78117,53341,28124,9869,523089,24974,27487,28399,17969,13669,31750,26356,26996,58209,73956,78527,57734,36788,20275,23055,14484,1162,1062,827,548,682,1416,1350,1524,2960,1645,823,235,222,28,8571,889,986,780,492,609,870,552,449,1038,809,497,366,125,109,43.3,41.7,44.9,44.3,42.9,45.6,33.0,34.1,26.9,40.9,36.3,47.6,33.6,29.5,37.8,33.2,27.0,34.8,31.3,34.1,21.7,19.0,21.7,17.2,44.6,43.3,45.9,28.2,30.9,23.0,1106536
40,PA,42,,,,,040E1US42,Pennsylvania -- In micropolitan statistical area -- in principal city,170038,81442,4838,4756,4439,2822,4864,3049,2262,4772,5497,4670,4801,4443,4677,5366,4955,1746,2575,1505,2244,2573,1872,1295,1421,88596,4212,4576,4248,2669,5691,2471,3126,4036,5887,4487,4522,4778,4714,5276,5496,2209,3028,2229,2325,3429,2741,2742,3704,157290,75036,4391,4216,3919,2467,4041,8728,5128,4381,8661,9618,8904,6124,3101,1357,82254,3764,4071,3760,2388,4838,8659,5442,4261,8564,9400,10327,7737,5354,3689,6721,3816,174,210,238,189,481,977,215,224,351,295,253,130,41,38,2905,138,165,155,99,440,461,244,122,323,272,272,111,88,15,190,31,3,8,0,0,0,0,0,0,7,8,0,0,5,0,159,14,0,46,0,0,15,0,19,5,44,0,16,0,0,1481,599,4,0,8,0,155,232,36,30,71,7,23,21,12,0,882,4,43,24,28,120,170,81,40,171,107,38,49,7,0,58,35,0,0,0,0,0,8,0,12,0,12,3,0,0,0,23,0,0,0,0,0,0,0,0,0,19,4,0,0,0,920,382,9,6,62,11,86,21,61,4,29,56,29,0,8,0,538,0,50,25,50,97,102,0,0,54,98,47,0,15,0,3378,1543,257,316,212,155,101,117,57,19,125,47,64,47,0,26,1835,292,247,238,104,196,226,120,45,183,50,45,70,19,0,154315,73610,4154,4132,3779,2412,3961,8489,4955,4272,8529,9543,8872,6083,3072,1357,80705,3603,3940,3687,2318,4695,8399,5314,4223,8400,9262,10194,7660,5321,3689,4369,2108,322,124,182,105,247,330,208,125,170,131,86,41,37,0,2261,188,144,130,136,314,384,157,66,250,228,154,77,33,0,35.8,33.6,38.2,37.4,35.3,39.8,23.1,22.2,24.9,30.8,43.6,30.4,22.5,21.1,27.2,52.3,33.8,.,21.1,21.6,21.0,15.9,14.5,18.2,37.9,35.7,40.2,21.5,20.7,23.0,170038
40,PA,42,,,,,040E2US42,Pennsylvania -- In micropolitan statistical area -- not in principal city,936498,477411,24187,26527,27966,17943,11112,6350,5750,16501,27980,28246,27831,31487,34377,37001,37877,14329,19731,11923,15716,20499,15003,10476,8599,459087,23098,25627,26379,16452,9686,4993,4860,14677,22108,23714,23776,28173,31163,35249,36063,13794,19640,12357,16182,22436,17642,14134,16884,893590,447015,22660,25109,26900,17035,9983,25789,24553,24435,52653,67063,69660,47398,25237,8540,446575,21835,24188,25111,15836,9122,23698,21285,23004,50267,65115,68576,50320,31541,16677,20463,17328,381,213,211,351,533,1888,2362,2542,4519,2555,1361,334,77,1,3135,226,201,248,130,186,331,279,213,419,324,239,154,66,119,1384,830,14,19,42,14,25,63,170,66,154,146,73,43,1,0,554,7,5,24,15,25,39,19,16,68,116,82,94,38,6,4945,2424,148,179,166,76,125,225,208,135,305,429,217,87,88,36,2521,54,278,156,72,115,73,117,190,528,327,283,213,70,45,219,139,0,6,28,31,0,14,0,33,2,19,6,0,0,0,80,0,16,12,0,7,0,0,22,0,14,0,9,0,0,4572,3281,134,200,140,122,152,173,251,527,875,502,174,31,0,0,1291,135,126,155,118,57,74,122,100,197,116,39,25,18,9,11325,6394,850,801,479,314,294,449,436,508,810,664,446,245,76,22,4931,841,813,673,281,174,315,286,169,470,400,278,160,43,28,882706,440322,22160,24471,26476,16816,9770,25106,23990,23855,51324,66287,69245,47258,25052,8512,442384,21371,23547,24712,15651,8974,23351,21042,22773,49809,64694,68333,50074,31467,16586,18686,12376,840,938,645,443,435,1086,1142,1399,2790,1514,737,194,185,28,6310,701,842,650,356,295,486,395,383,788,581,343,289,92,109,44.4,43.0,46.0,45.3,44.1,46.5,34.9,35.3,29.3,41.4,35.4,48.8,38.2,33.2,40.3,22.7,22.3,34.2,32.3,34.6,23.6,21.0,25.1,16.5,45.5,44.4,46.7,30.3,32.3,23.1,936498
