SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,PR,72,,,,,04000US72,Puerto Rico,3529385,1685787,94083,106876,116506,76414,52128,27699,27996,72932,110725,104704,106045,107873,108457,107824,100972,40080,57376,35992,53358,69254,49813,32070,26610,1843598,89470,98999,112337,72721,49643,27299,27400,71797,114336,114335,116758,117940,121739,125526,118181,47167,70815,43857,63279,85577,64139,43497,46786,2448085,1158018,66539,72943,79744,51538,34060,86876,74126,69904,143125,145951,137132,114025,61299,20756,1290067,63183,68412,76253,49175,34065,84815,78892,77617,159249,170678,168413,142131,81723,35461,320087,157064,6460,8193,9180,6638,4941,10989,10319,9868,21272,22382,21143,15934,7510,2235,163023,6309,7455,8832,6131,4409,11284,9668,9882,22126,22942,23048,17918,9125,3894,11814,5332,398,496,404,189,300,234,311,307,786,619,688,343,194,63,6482,251,344,575,328,136,671,466,475,1075,1031,550,380,87,113,9574,2692,55,171,220,67,55,104,196,231,448,464,355,238,56,32,6882,410,498,307,371,94,423,732,395,1062,1040,679,462,160,249,182,115,0,0,7,33,0,33,0,0,0,24,18,0,0,0,67,0,0,0,0,0,12,0,0,11,12,23,9,0,0,474879,234036,12602,15916,17146,11005,8436,20643,16314,14827,31026,30696,26194,18440,8481,2310,240843,11553,13661,16728,10676,7230,18284,15437,16514,32623,32928,28885,21386,10711,4227,264764,128530,8029,9157,9805,6944,4336,9748,9459,9567,17261,16145,12898,9624,4343,1214,136234,7764,8629,9642,6040,3709,11007,9141,9452,18552,18634,14565,10427,5830,2842,26600,13316,408,801,969,400,271,783,642,949,1862,2065,1704,1439,721,302,13284,480,503,606,457,286,844,986,638,1694,2484,2032,1618,485,171,3492166,1667112,93576,105741,115353,75821,51698,127301,109661,103330,211175,213182,196197,156769,81007,26301,1825054,88662,98261,111444,72110,49273,125235,113023,113380,232066,243839,233600,190656,107008,46497,39.4,37.4,41.1,40.1,37.9,42.1,42.1,40.9,43.1,35.1,35.7,35.0,37.4,40.9,35.8,37.5,24.3,46.9,36.6,35.0,37.9,35.0,33.4,36.3,44.3,43.0,45.4,39.3,37.3,41.1,3529385
40,PR,72,,,,,04001US72,Puerto Rico -- Urban,3322921,1582067,88457,101964,109482,72032,49035,25817,26272,68595,103915,98979,100331,101354,101173,100135,93884,37431,53494,33925,49575,64541,46430,30101,25145,1740854,84444,94147,106068,68093,46638,25840,25546,67969,108562,108723,110702,111383,114511,117618,111317,44164,66709,41437,59826,80805,60650,41319,44383,2296379,1082647,62512,69399,74586,48320,31792,81087,69178,65900,134179,135236,127560,106209,57098,19591,1213732,59410,64859,71970,45733,31793,79800,74597,73692,149720,159228,158167,133911,77201,33651,305616,149661,6133,7791,8828,6276,4772,10489,9895,9520,20258,21291,19858,15300,7106,2144,155955,6066,7129,8323,5904,4199,10636,9218,9639,21295,21866,21906,17254,8754,3766,11713,5250,398,496,404,189,300,234,291,307,786,604,683,301,194,63,6463,251,344,575,328,136,671,466,475,1075,1017,545,380,87,113,9097,2579,55,171,220,67,55,104,196,231,448,402,335,238,44,13,6518,361,463,273,325,94,387,728,381,1038,960,659,440,160,249,182,115,0,0,7,33,0,33,0,0,0,24,18,0,0,0,67,0,0,0,0,0,12,0,0,11,12,23,9,0,0,443356,217510,11675,15102,15911,10427,7877,19260,15237,13744,29237,28247,24051,16758,7842,2142,225846,10945,12839,15603,10035,6854,16994,14593,15380,30946,30829,26870,19956,10072,3930,256578,124305,7684,9005,9526,6720,4239,9477,9118,9277,16777,15504,12304,9235,4247,1192,132273,7411,8513,9324,5768,3562,10855,8960,9156,18000,18217,14020,10118,5695,2674,25423,12777,408,782,930,391,224,721,642,907,1831,2029,1602,1371,637,302,12646,459,503,606,438,243,750,887,638,1646,2421,1933,1487,464,171,3287179,1564041,87950,100848,108368,71492,48652,119441,102851,97647,198973,198245,182694,146285,75759,24836,1723138,83657,93409,105175,67527,46311,118224,107348,107768,219501,228817,219740,180196,101369,44096,39.2,37.2,41.1,40.0,37.7,42.1,42.0,40.7,43.1,34.9,35.2,34.9,37.4,40.4,36.2,37.5,24.3,46.9,36.5,34.8,37.8,34.9,33.3,36.2,44.3,42.9,45.5,39.2,37.2,41.0,3322921
40,PR,72,,,,,04043US72,Puerto Rico -- Rural,206464,103720,5626,4912,7024,4382,3093,1882,1724,4337,6810,5725,5714,6519,7284,7689,7088,2649,3882,2067,3783,4713,3383,1969,1465,102744,5026,4852,6269,4628,3005,1459,1854,3828,5774,5612,6056,6557,7228,7908,6864,3003,4106,2420,3453,4772,3489,2178,2403,151706,75371,4027,3544,5158,3218,2268,5789,4948,4004,8946,10715,9572,7816,4201,1165,76335,3773,3553,4283,3442,2272,5015,4295,3925,9529,11450,10246,8220,4522,1810,14471,7403,327,402,352,362,169,500,424,348,1014,1091,1285,634,404,91,7068,243,326,509,227,210,648,450,243,831,1076,1142,664,371,128,101,82,0,0,0,0,0,0,20,0,0,15,5,42,0,0,19,0,0,0,0,0,0,0,0,0,14,5,0,0,0,477,113,0,0,0,0,0,0,0,0,0,62,20,0,12,19,364,49,35,34,46,0,36,4,14,24,80,20,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31523,16526,927,814,1235,578,559,1383,1077,1083,1789,2449,2143,1682,639,168,14997,608,822,1125,641,376,1290,844,1134,1677,2099,2015,1430,639,297,8186,4225,345,152,279,224,97,271,341,290,484,641,594,389,96,22,3961,353,116,318,272,147,152,181,296,552,417,545,309,135,168,1177,539,0,19,39,9,47,62,0,42,31,36,102,68,84,0,638,21,0,0,19,43,94,99,0,48,63,99,131,21,0,204987,103071,5626,4893,6985,4329,3046,7860,6810,5683,12202,14937,13503,10484,5248,1465,101916,5005,4852,6269,4583,2962,7011,5675,5612,12565,15022,13860,10460,5639,2401,41.3,40.5,42.2,41.7,40.5,42.8,43.6,43.7,43.6,55.3,66.1,53.5,35.9,53.8,24.1,.,.,.,38.5,38.4,38.5,37.8,37.5,38.3,47.6,47.8,42.8,41.2,40.5,42.2,206464
40,PR,72,,,,,040A0US72,Puerto Rico -- In metropolitan or micropolitan statistical area,3503464,1672782,93343,105886,115758,75912,51691,27492,27870,72399,109987,103951,105584,106796,107614,106927,100161,39682,56866,35780,52942,68551,49428,31704,26458,1830682,88836,98393,111390,72232,49322,27200,27167,71191,113560,113621,116047,117140,120892,124630,117254,46756,70338,43605,62766,84948,63626,43320,46448,2432594,1150571,66030,72608,79277,51249,33843,86455,73730,69492,142248,144790,136248,113191,60766,20644,1282023,62828,67966,75764,48864,33905,84345,78349,77181,158463,169599,167102,141219,81188,35250,318672,156523,6460,8135,9180,6604,4941,10876,10247,9863,21160,22341,21073,15933,7482,2228,162149,6214,7455,8758,6123,4400,11174,9651,9869,21898,22868,22953,17840,9120,3826,11682,5213,398,496,404,189,300,234,297,294,786,619,607,332,194,63,6469,251,344,575,328,136,671,466,475,1075,1031,537,380,87,113,9383,2587,55,97,198,67,55,104,190,231,448,461,355,238,56,32,6796,410,468,284,371,94,423,732,368,1062,1034,679,462,160,249,182,115,0,0,7,33,0,33,0,0,0,24,18,0,0,0,67,0,0,0,0,0,12,0,0,11,12,23,9,0,0,466587,229470,12371,15422,16926,10890,8216,20323,16064,14504,30501,30178,25511,17996,8291,2277,237117,11369,13531,16375,10530,7078,17929,15233,16276,32163,32356,28497,20992,10587,4201,264364,128303,8029,9128,9766,6880,4336,9736,9459,9567,17237,16128,12897,9583,4343,1214,136061,7764,8629,9634,6016,3709,11004,9129,9452,18515,18622,14557,10417,5804,2809,26127,13090,408,801,969,396,264,777,642,949,1850,1991,1655,1402,684,302,13037,480,503,606,457,286,835,986,638,1694,2456,1933,1507,485,171,3466770,1654373,92836,104751,114605,75361,51268,126443,108923,102577,209649,211516,194527,155475,80293,26149,1812397,88028,97655,110497,71621,48952,124306,112247,112666,230555,242124,231889,189373,106325,46159,39.3,37.4,41.1,40.1,37.8,42.1,42.1,40.9,43.1,34.9,34.8,34.9,38.3,43.0,36.0,37.5,24.3,46.9,36.6,35.0,37.9,35.0,33.4,36.3,43.8,42.5,45.1,39.3,37.3,41.1,3503464
40,PR,72,,,,,040C0US72,Puerto Rico -- In metropolitan statistical area,3376555,1610933,89689,102214,110534,72775,49730,26476,26774,69934,106187,100143,101630,102706,103685,103060,96461,38435,54470,34323,50900,66463,48007,30827,25510,1765622,85396,94589,106778,69431,47556,26442,26023,68749,109509,109285,111443,112843,116583,120410,113369,44758,68277,41976,60686,82443,61563,42217,45296,2346943,1110070,63608,70019,75594,49140,32443,83397,71225,66609,137320,140070,131672,109764,59143,20066,1236873,60228,65210,72832,46864,32742,81380,75517,74214,152496,163664,161453,136977,78907,34389,301829,147406,6050,7650,8691,6052,4598,10293,9909,9638,19948,20898,19774,14712,7166,2027,154423,6071,7029,8295,5839,4228,10708,9224,9541,20727,21914,21756,16864,8571,3656,11531,5126,398,496,404,189,300,214,297,294,749,619,586,323,194,63,6405,251,344,575,305,136,671,466,475,1067,1022,537,356,87,113,9234,2529,55,97,198,67,55,104,190,223,430,461,355,206,56,32,6705,410,468,284,371,94,407,728,368,1062,1034,608,462,160,249,182,115,0,0,7,33,0,33,0,0,0,24,18,0,0,0,67,0,0,0,0,0,12,0,0,11,12,23,9,0,0,444202,218248,11584,14903,15891,10497,8007,19428,15144,13873,28883,28618,24155,17200,7955,2110,225954,10756,12922,15207,10044,6647,17135,14490,15376,30473,30791,27582,20137,10288,4106,262634,127439,7994,9049,9749,6797,4327,9715,9422,9506,17006,16055,12806,9481,4320,1212,135195,7680,8616,9585,6008,3709,10901,9084,9311,18450,18556,14445,10300,5767,2783,25687,12866,408,790,909,366,248,777,633,949,1806,1991,1611,1402,684,292,12821,480,498,576,457,272,835,986,599,1694,2403,1906,1487,467,161,3340460,1592818,89182,101090,109441,72260,49323,121885,105132,98769,201667,203720,187228,149915,77995,25211,1747642,84588,93856,105915,68820,47200,119962,108196,108369,221654,233648,224043,183187,103185,45019,39.4,37.4,41.2,40.2,38.0,42.2,41.9,40.7,43.0,34.7,34.1,34.8,37.8,42.1,35.9,37.5,24.3,46.9,36.6,34.9,38.1,35.0,33.4,36.3,43.9,42.8,45.0,39.4,37.4,41.2,3376555
40,PR,72,,,,,040C1US72,Puerto Rico -- In metropolitan statistical area -- in principal city,936145,431272,24929,26806,28133,18757,13730,7497,7635,19847,28875,26624,26591,25558,26699,26884,25160,10974,14194,8811,13669,17843,14072,9839,8145,504873,23753,25104,27799,18385,13826,7820,7943,19687,31353,30471,29910,29891,31394,33119,31871,13590,19430,12151,18227,26154,21160,14723,17112,649397,296631,17464,18503,18821,12833,8728,22619,18980,17072,35067,36670,35307,29534,18517,6516,352766,16368,16764,18569,12265,9226,23545,21480,20339,39405,44381,46577,42335,28204,13308,106471,49387,2008,2526,3267,1978,1476,3605,3691,3156,6582,7170,6460,4587,2268,613,57084,2245,2705,2846,2174,1579,3850,3261,3764,7536,7956,7871,6370,3328,1599,6471,2959,338,280,235,134,159,117,186,250,498,290,275,107,63,27,3512,119,165,379,140,77,448,267,241,551,591,225,170,54,85,3819,1111,50,52,51,49,8,70,94,88,241,163,151,94,0,0,2708,247,175,142,174,55,187,244,143,501,340,287,138,28,47,51,51,0,0,0,0,0,33,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110585,53212,3536,3570,3822,2369,2579,6265,3854,3570,6160,5924,5297,3718,1890,658,57373,2798,3228,3994,2423,2117,4768,3904,3870,7789,6844,6669,4910,2740,1319,59351,27921,1533,1875,1937,1394,780,2270,2070,2488,3601,3366,2820,2283,1173,331,31430,1976,2067,1869,1209,772,2652,2197,2114,4019,4401,3262,2609,1529,754,9149,4683,59,194,280,90,44,266,231,312,753,523,692,721,374,144,4466,160,254,136,110,97,266,280,263,630,747,605,623,199,96,923533,424811,24799,26556,27783,18636,13661,34556,28553,26093,51094,52670,49481,39478,23450,8001,498722,23534,24763,27586,18256,13728,35058,30920,30125,58904,63452,64087,55717,35623,16969,40.2,37.2,42.7,41.9,38.5,44.6,41.7,39.5,43.0,31.7,30.3,32.8,35.9,40.5,34.5,24.6,24.6,.,33.9,30.8,36.6,35.6,33.9,37.1,47.4,48.7,45.9,40.1,37.1,42.7,936145
40,PR,72,,,,,040C2US72,Puerto Rico -- In metropolitan statistical area -- not in principal city,2440410,1179661,64760,75408,82401,54018,36000,18979,19139,50087,77312,73519,75039,77148,76986,76176,71301,27461,40276,25512,37231,48620,33935,20988,17365,1260749,61643,69485,78979,51046,33730,18622,18080,49062,78156,78814,81533,82952,85189,87291,81498,31168,48847,29825,42459,56289,40403,27494,28184,1697546,813439,46144,51516,56773,36307,23715,60778,52245,49537,102253,103400,96365,80230,40626,13550,884107,43860,48446,54263,34599,23516,57835,54037,53875,113091,119283,114876,94642,50703,21081,195358,98019,4042,5124,5424,4074,3122,6688,6218,6482,13366,13728,13314,10125,4898,1414,97339,3826,4324,5449,3665,2649,6858,5963,5777,13191,13958,13885,10494,5243,2057,5060,2167,60,216,169,55,141,97,111,44,251,329,311,216,131,36,2893,132,179,196,165,59,223,199,234,516,431,312,186,33,28,5415,1418,5,45,147,18,47,34,96,135,189,298,204,112,56,32,3997,163,293,142,197,39,220,484,225,561,694,321,324,132,202,131,64,0,0,7,33,0,0,0,0,0,24,0,0,0,0,67,0,0,0,0,0,12,0,0,11,12,23,9,0,0,333617,165036,8048,11333,12069,8128,5428,13163,11290,10303,22723,22694,18858,13482,6065,1452,168581,7958,9694,11213,7621,4530,12367,10586,11506,22684,23947,20913,15227,7548,2787,203283,99518,6461,7174,7812,5403,3547,7445,7352,7018,13405,12689,9986,7198,3147,881,103765,5704,6549,7716,4799,2937,8249,6887,7197,14431,14155,11183,7691,4238,2029,16538,8183,349,596,629,276,204,511,402,637,1053,1468,919,681,310,148,8355,320,244,440,347,175,569,706,336,1064,1656,1301,864,268,65,2416927,1168007,64383,74534,81658,53624,35662,87329,76579,72676,150573,151050,137747,110437,54545,17210,1248920,61054,69093,78329,50564,33472,84904,77276,78244,162750,170196,159956,127470,67562,28050,39.1,37.5,40.7,39.7,37.8,41.3,42.1,41.2,43.0,39.2,42.5,35.9,39.6,43.8,37.1,46.2,16.8,46.9,37.5,36.3,38.7,34.8,33.3,36.1,42.1,39.0,44.7,39.1,37.5,40.6,2440410
40,PR,72,,,,,040E0US72,Puerto Rico -- In micropolitan statistical area,126909,61849,3654,3672,5224,3137,1961,1016,1096,2465,3800,3808,3954,4090,3929,3867,3700,1247,2396,1457,2042,2088,1421,877,948,65060,3440,3804,4612,2801,1766,758,1144,2442,4051,4336,4604,4297,4309,4220,3885,1998,2061,1629,2080,2505,2063,1103,1152,85651,40501,2422,2589,3683,2109,1400,3058,2505,2883,4928,4720,4576,3427,1623,578,45150,2600,2756,2932,2000,1163,2965,2832,2967,5967,5935,5649,4242,2281,861,16843,9117,410,485,489,552,343,583,338,225,1212,1443,1299,1221,316,201,7726,143,426,463,284,172,466,427,328,1171,954,1197,976,549,170,151,87,0,0,0,0,0,20,0,0,37,0,21,9,0,0,64,0,0,0,23,0,0,0,0,8,9,0,24,0,0,149,58,0,0,0,0,0,0,0,8,18,0,0,32,0,0,91,0,0,0,0,0,16,4,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22385,11222,787,519,1035,393,209,895,920,631,1618,1560,1356,796,336,167,11163,613,609,1168,486,431,794,743,900,1690,1565,915,855,299,95,1730,864,35,79,17,83,9,21,37,61,231,73,91,102,23,2,866,84,13,49,8,0,103,45,141,65,66,112,117,37,26,440,224,0,11,60,30,16,0,9,0,44,0,44,0,0,10,216,0,5,30,0,14,0,0,39,0,53,27,20,18,10,126310,61555,3654,3661,5164,3101,1945,4558,3791,3808,7982,7796,7299,5560,2298,938,64755,3440,3799,4582,2801,1752,4344,4051,4297,8901,8476,7846,6186,3140,1140,37.6,36.2,38.6,36.6,34.4,38.7,44.7,44.5,44.9,44.4,44.3,47.1,58.4,66.1,58.2,.,.,.,35.2,37.0,34.1,39.3,40.1,34.9,35.1,19.7,47.9,37.6,36.2,38.6,126909
40,PR,72,,,,,040E1US72,Puerto Rico -- In micropolitan statistical area -- in principal city,30644,14624,920,946,1181,855,596,278,319,621,730,704,891,930,1005,857,746,221,527,398,573,554,384,207,181,16020,1020,930,1110,892,535,216,289,537,881,1128,1208,966,890,883,825,516,506,315,578,695,523,293,284,20111,9414,588,633,894,628,423,654,419,517,918,1196,932,1029,474,109,10697,682,713,604,623,268,643,543,790,1397,1125,1256,1157,669,227,4485,2435,157,170,138,85,107,285,37,64,393,382,239,280,47,51,2050,56,90,34,126,69,177,121,61,282,274,405,248,88,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5484,2508,175,111,132,134,66,261,254,93,483,223,281,210,64,21,2976,243,127,462,135,198,159,172,277,474,327,171,164,35,32,559,267,0,32,17,8,0,18,20,30,27,61,42,6,6,0,292,39,0,10,8,0,63,45,0,21,47,15,14,24,6,20,11,0,0,0,0,0,0,0,0,0,0,11,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,30624,14613,920,946,1181,855,596,1218,730,704,1821,1862,1483,1525,591,181,16011,1020,930,1110,892,535,1042,881,1128,2174,1773,1847,1588,807,284,35.9,35.6,36.4,36.4,34.1,38.0,41.5,36.5,45.2,.,.,.,.,.,.,.,.,.,31.5,35.7,28.9,32.7,39.7,27.4,62.7,.,.,35.9,35.6,36.4,30644
40,PR,72,,,,,040E2US72,Puerto Rico -- In micropolitan statistical area -- not in principal city,96265,47225,2734,2726,4043,2282,1365,738,777,1844,3070,3104,3063,3160,2924,3010,2954,1026,1869,1059,1469,1534,1037,670,767,49040,2420,2874,3502,1909,1231,542,855,1905,3170,3208,3396,3331,3419,3337,3060,1482,1555,1314,1502,1810,1540,810,868,65540,31087,1834,1956,2789,1481,977,2404,2086,2366,4010,3524,3644,2398,1149,469,34453,1918,2043,2328,1377,895,2322,2289,2177,4570,4810,4393,3085,1612,634,12358,6682,253,315,351,467,236,298,301,161,819,1061,1060,941,269,150,5676,87,336,429,158,103,289,306,267,889,680,792,728,461,151,146,87,0,0,0,0,0,20,0,0,37,0,21,9,0,0,59,0,0,0,23,0,0,0,0,8,9,0,19,0,0,149,58,0,0,0,0,0,0,0,8,18,0,0,32,0,0,91,0,0,0,0,0,16,4,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16901,8714,612,408,903,259,143,634,666,538,1135,1337,1075,586,272,146,8187,370,482,706,351,233,635,571,623,1216,1238,744,691,264,63,1171,597,35,47,0,75,9,3,17,31,204,12,49,96,17,2,574,45,13,39,0,0,40,0,141,44,19,97,103,13,20,420,213,0,11,60,30,16,0,9,0,44,0,33,0,0,10,207,0,5,30,0,14,0,0,39,0,53,27,20,9,10,95686,46942,2734,2715,3983,2246,1349,3340,3061,3104,6161,5934,5816,4035,1707,757,48744,2420,2869,3472,1909,1217,3302,3170,3169,6727,6703,5999,4598,2333,856,38.0,36.4,39.2,36.6,34.4,38.8,45.3,45.6,44.8,44.3,44.3,37.8,58.4,66.1,58.2,.,.,.,36.9,37.4,36.0,39.9,40.2,39.4,33.9,19.3,47.7,38.0,36.5,39.1,96265
