SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,RI,44,,,,,04000US44,Rhode Island,1054491,511297,28035,29464,31492,19828,17383,8930,8100,24171,36837,32749,30036,31947,35265,38237,37016,12780,18328,11212,13360,17286,11409,9013,8419,543194,26732,27146,30756,18953,18473,9490,9450,21380,35316,32879,30839,33009,37671,41111,39763,14783,19625,12075,15490,20188,14476,13209,20380,854026,411013,19059,20943,23134,15039,12889,31198,27475,24637,48743,62386,60333,38377,18856,7944,443013,19285,19708,22014,13990,14025,29972,26740,25277,50454,66806,65933,44014,25480,19315,68886,34849,2878,3069,2612,1643,1506,3324,3156,2560,4528,4185,3254,1329,604,201,34037,2306,2435,2760,1581,1538,2805,2991,2807,4542,4121,3320,1535,899,397,5130,2491,82,115,171,68,117,169,248,300,327,389,302,117,81,5,2639,143,240,192,139,94,254,140,97,394,265,315,170,145,51,34598,16069,1052,897,1079,546,796,1825,1697,1732,2283,1822,1305,643,339,53,18529,1045,903,1337,700,1150,2332,1774,1838,2530,2017,1513,817,414,159,575,338,0,55,39,15,0,110,0,26,0,26,59,0,0,8,237,0,0,0,0,4,22,49,0,52,83,0,27,0,0,61218,30993,2710,2383,2563,1480,1355,3044,3001,2606,4667,3653,2161,909,319,142,30225,2083,2285,2833,1603,989,3183,2523,2155,4461,4258,2114,810,598,330,30058,15544,2254,2002,1894,1037,720,1531,1260,888,1435,1041,710,483,223,66,14514,1870,1575,1620,940,673,1752,1099,705,1415,1232,976,380,149,128,780278,375287,15389,17727,19508,12881,11621,27332,24533,22079,43740,58783,58202,37183,18407,7902,404991,14988,16650,18819,12156,12344,26397,23919,22378,45406,62630,63013,42389,24871,19031,148375,74036,7475,6580,7077,4226,3046,7533,6745,5835,10351,7643,4393,2146,812,174,74339,7337,6111,6796,3766,3197,7063,6063,5569,10384,8659,5285,2491,1153,465,39.9,38.1,41.5,43.4,41.6,45.0,29.8,28.5,30.9,35.0,34.8,35.4,30.3,30.6,30.1,29.6,23.4,42.6,28.7,28.3,29.1,20.6,19.6,21.3,45.2,43.5,46.7,26.4,25.7,27.5,1054491
40,RI,44,,,,,04001US44,Rhode Island -- Urban,957334,462519,26131,27162,28108,17840,16204,8358,7586,22498,34385,30795,27993,28551,31185,33388,32404,11188,15878,9751,11431,15084,10433,8422,7744,494815,25220,24776,27531,16957,17591,9056,8738,19864,33728,30635,28708,29632,33341,36345,35283,13042,17229,10470,13868,18281,13181,12237,19102,761263,364695,17301,18845,20063,13225,11811,28621,25092,22878,43695,53731,51944,32865,17353,7271,396568,17862,17588,19049,12132,13184,27421,25202,23193,45200,58052,57432,38941,23243,18069,68074,34298,2861,3069,2541,1620,1486,3301,3128,2533,4434,4116,3118,1307,583,201,33776,2298,2426,2742,1532,1538,2802,2982,2784,4532,4057,3278,1522,890,393,4706,2321,80,114,158,68,117,169,233,300,303,333,289,89,63,5,2385,142,110,192,139,94,236,140,94,363,258,299,145,137,36,33397,15475,1040,837,1016,527,775,1714,1683,1718,2155,1729,1265,643,320,53,17922,1014,889,1196,640,1150,2293,1769,1797,2402,1891,1505,811,406,159,487,298,0,55,39,15,0,110,0,8,0,26,37,0,0,8,189,0,0,0,0,4,22,17,0,52,67,0,27,0,0,60647,30609,2648,2383,2556,1441,1332,3023,2989,2552,4552,3634,2143,895,319,142,30038,2083,2267,2816,1603,963,3173,2521,2118,4427,4240,2093,806,598,330,28760,14823,2201,1859,1735,944,683,1504,1260,806,1405,1004,674,467,217,64,13937,1821,1496,1536,911,658,1711,1097,649,1364,1121,947,367,144,115,688591,329507,13648,15704,16475,11094,10550,24787,22166,20340,38731,50215,49939,31715,16914,7229,359084,13609,14554,15935,10312,11503,23877,22443,20301,40225,53974,54530,37359,22677,17785,146697,73067,7390,6505,7000,4160,3004,7495,6717,5756,10197,7537,4252,2078,802,174,73630,7293,6078,6698,3742,3171,7017,6001,5518,10285,8551,5253,2448,1110,465,39.0,37.1,40.7,42.7,40.7,44.5,29.7,28.3,30.8,34.8,34.3,38.1,30.3,30.6,30.0,25.0,21.3,43.0,28.7,28.2,29.1,20.7,20.0,21.2,44.8,42.9,46.4,26.3,25.6,27.4,957334
40,RI,44,,,,,04043US44,Rhode Island -- Rural,97157,48778,1904,2302,3384,1988,1179,572,514,1673,2452,1954,2043,3396,4080,4849,4612,1592,2450,1461,1929,2202,976,591,675,48379,1512,2370,3225,1996,882,434,712,1516,1588,2244,2131,3377,4330,4766,4480,1741,2396,1605,1622,1907,1295,972,1278,92763,46318,1758,2098,3071,1814,1078,2577,2383,1759,5048,8655,8389,5512,1503,673,46445,1423,2120,2965,1858,841,2551,1538,2084,5254,8754,8501,5073,2237,1246,812,551,17,0,71,23,20,23,28,27,94,69,136,22,21,0,261,8,9,18,49,0,3,9,23,10,64,42,13,9,4,424,170,2,1,13,0,0,0,15,0,24,56,13,28,18,0,254,1,130,0,0,0,18,0,3,31,7,16,25,8,15,1201,594,12,60,63,19,21,111,14,14,128,93,40,0,19,0,607,31,14,141,60,0,39,5,41,128,126,8,6,8,0,88,40,0,0,0,0,0,0,0,18,0,0,22,0,0,0,48,0,0,0,0,0,0,32,0,0,16,0,0,0,0,571,384,62,0,7,39,23,21,12,54,115,19,18,14,0,0,187,0,18,17,0,26,10,2,37,34,18,21,4,0,0,1298,721,53,143,159,93,37,27,0,82,30,37,36,16,6,2,577,49,79,84,29,15,41,2,56,51,111,29,13,5,13,91687,45780,1741,2023,3033,1787,1071,2545,2367,1739,5009,8568,8263,5468,1493,673,45907,1379,2096,2884,1844,841,2520,1476,2077,5181,8656,8483,5030,2194,1246,1678,969,85,75,77,66,42,38,28,79,154,106,141,68,10,0,709,44,33,98,24,26,46,62,51,99,108,32,43,43,0,47.2,46.3,48.1,47.8,47.1,48.7,43.6,43.6,47.3,36.5,50.7,9.9,30.6,29.7,31.2,31.7,.,.,34.5,34.5,34.6,15.9,15.1,21.8,47.9,47.1,48.8,34.6,34.9,34.2,97157
40,RI,44,,,,,040A0US44,Rhode Island -- In metropolitan or micropolitan statistical area,1054491,511297,28035,29464,31492,19828,17383,8930,8100,24171,36837,32749,30036,31947,35265,38237,37016,12780,18328,11212,13360,17286,11409,9013,8419,543194,26732,27146,30756,18953,18473,9490,9450,21380,35316,32879,30839,33009,37671,41111,39763,14783,19625,12075,15490,20188,14476,13209,20380,854026,411013,19059,20943,23134,15039,12889,31198,27475,24637,48743,62386,60333,38377,18856,7944,443013,19285,19708,22014,13990,14025,29972,26740,25277,50454,66806,65933,44014,25480,19315,68886,34849,2878,3069,2612,1643,1506,3324,3156,2560,4528,4185,3254,1329,604,201,34037,2306,2435,2760,1581,1538,2805,2991,2807,4542,4121,3320,1535,899,397,5130,2491,82,115,171,68,117,169,248,300,327,389,302,117,81,5,2639,143,240,192,139,94,254,140,97,394,265,315,170,145,51,34598,16069,1052,897,1079,546,796,1825,1697,1732,2283,1822,1305,643,339,53,18529,1045,903,1337,700,1150,2332,1774,1838,2530,2017,1513,817,414,159,575,338,0,55,39,15,0,110,0,26,0,26,59,0,0,8,237,0,0,0,0,4,22,49,0,52,83,0,27,0,0,61218,30993,2710,2383,2563,1480,1355,3044,3001,2606,4667,3653,2161,909,319,142,30225,2083,2285,2833,1603,989,3183,2523,2155,4461,4258,2114,810,598,330,30058,15544,2254,2002,1894,1037,720,1531,1260,888,1435,1041,710,483,223,66,14514,1870,1575,1620,940,673,1752,1099,705,1415,1232,976,380,149,128,780278,375287,15389,17727,19508,12881,11621,27332,24533,22079,43740,58783,58202,37183,18407,7902,404991,14988,16650,18819,12156,12344,26397,23919,22378,45406,62630,63013,42389,24871,19031,148375,74036,7475,6580,7077,4226,3046,7533,6745,5835,10351,7643,4393,2146,812,174,74339,7337,6111,6796,3766,3197,7063,6063,5569,10384,8659,5285,2491,1153,465,39.9,38.1,41.5,43.4,41.6,45.0,29.8,28.5,30.9,35.0,34.8,35.4,30.3,30.6,30.1,29.6,23.4,42.6,28.7,28.3,29.1,20.6,19.6,21.3,45.2,43.5,46.7,26.4,25.7,27.5,1054491
40,RI,44,,,,,040C0US44,Rhode Island -- In metropolitan statistical area,1054491,511297,28035,29464,31492,19828,17383,8930,8100,24171,36837,32749,30036,31947,35265,38237,37016,12780,18328,11212,13360,17286,11409,9013,8419,543194,26732,27146,30756,18953,18473,9490,9450,21380,35316,32879,30839,33009,37671,41111,39763,14783,19625,12075,15490,20188,14476,13209,20380,854026,411013,19059,20943,23134,15039,12889,31198,27475,24637,48743,62386,60333,38377,18856,7944,443013,19285,19708,22014,13990,14025,29972,26740,25277,50454,66806,65933,44014,25480,19315,68886,34849,2878,3069,2612,1643,1506,3324,3156,2560,4528,4185,3254,1329,604,201,34037,2306,2435,2760,1581,1538,2805,2991,2807,4542,4121,3320,1535,899,397,5130,2491,82,115,171,68,117,169,248,300,327,389,302,117,81,5,2639,143,240,192,139,94,254,140,97,394,265,315,170,145,51,34598,16069,1052,897,1079,546,796,1825,1697,1732,2283,1822,1305,643,339,53,18529,1045,903,1337,700,1150,2332,1774,1838,2530,2017,1513,817,414,159,575,338,0,55,39,15,0,110,0,26,0,26,59,0,0,8,237,0,0,0,0,4,22,49,0,52,83,0,27,0,0,61218,30993,2710,2383,2563,1480,1355,3044,3001,2606,4667,3653,2161,909,319,142,30225,2083,2285,2833,1603,989,3183,2523,2155,4461,4258,2114,810,598,330,30058,15544,2254,2002,1894,1037,720,1531,1260,888,1435,1041,710,483,223,66,14514,1870,1575,1620,940,673,1752,1099,705,1415,1232,976,380,149,128,780278,375287,15389,17727,19508,12881,11621,27332,24533,22079,43740,58783,58202,37183,18407,7902,404991,14988,16650,18819,12156,12344,26397,23919,22378,45406,62630,63013,42389,24871,19031,148375,74036,7475,6580,7077,4226,3046,7533,6745,5835,10351,7643,4393,2146,812,174,74339,7337,6111,6796,3766,3197,7063,6063,5569,10384,8659,5285,2491,1153,465,39.9,38.1,41.5,43.4,41.6,45.0,29.8,28.5,30.9,35.0,34.8,35.4,30.3,30.6,30.1,29.6,23.4,42.6,28.7,28.3,29.1,20.6,19.6,21.3,45.2,43.5,46.7,26.4,25.7,27.5,1054491
40,RI,44,,,,,040C1US44,Rhode Island -- In metropolitan statistical area -- in principal city,260732,125738,7632,7582,7536,4890,5507,3321,2727,6754,11516,9300,8138,7838,8025,8091,7747,2255,3588,2220,2253,3433,2027,1445,1913,134994,7908,7063,7773,4835,6406,3836,3171,6955,11615,9574,7984,7660,7561,9156,8126,2702,3964,2298,3313,3673,2742,2609,4070,166463,79717,3923,3466,3974,2687,3366,7603,6921,5810,9917,11111,10102,6491,2624,1722,86746,4414,3691,3876,2642,4121,8290,6973,5965,9439,10991,11043,7431,4209,3661,29580,14676,1132,1346,872,590,571,1795,1313,993,1818,1773,1393,633,369,78,14904,884,1000,1037,721,677,1374,1280,1181,1806,1857,1547,850,524,166,2482,1100,62,55,91,30,52,84,124,223,183,40,76,23,57,0,1382,76,98,95,37,52,210,30,44,167,136,230,96,88,23,13942,6443,328,360,319,170,355,1058,858,642,909,567,508,225,144,0,7499,475,237,450,203,716,1400,922,609,853,764,391,263,182,34,171,82,0,0,18,0,0,53,0,0,0,0,11,0,0,0,89,0,0,0,0,4,22,17,0,46,0,0,0,0,0,38968,19168,1591,1838,1746,1106,945,1761,1846,1394,2742,2189,1319,422,194,75,19800,1489,1729,1819,1012,563,1991,1910,1493,3002,2498,1267,521,342,164,9126,4552,596,517,516,307,218,448,454,238,407,436,181,112,84,38,4574,570,308,496,220,273,675,483,282,331,471,314,123,6,22,134956,65222,2477,2263,2623,1846,2779,5913,5699,4661,7900,9670,9181,6010,2478,1722,69734,2734,2198,2352,1762,3296,6621,5498,4604,7260,9264,9778,6816,4025,3526,78685,38253,3689,3635,3423,2201,1716,3919,3599,2989,5209,3893,2454,1036,398,92,40432,3580,3581,3700,2082,1652,3910,3710,3081,5564,4549,2894,1311,531,287,33.4,32.7,34.2,37.9,37.0,38.7,30.3,28.3,31.6,33.7,33.2,38.4,27.2,28.0,26.0,24.6,24.0,38.1,27.3,26.5,28.4,21.7,21.1,22.8,41.7,40.5,43.1,26.3,25.6,27.3,260732
40,RI,44,,,,,040C2US44,Rhode Island -- In metropolitan statistical area -- not in principal city,793759,385559,20403,21882,23956,14938,11876,5609,5373,17417,25321,23449,21898,24109,27240,30146,29269,10525,14740,8992,11107,13853,9382,7568,6506,408200,18824,20083,22983,14118,12067,5654,6279,14425,23701,23305,22855,25349,30110,31955,31637,12081,15661,9777,12177,16515,11734,10600,16310,687563,331296,15136,17477,19160,12352,9523,23595,20554,18827,38826,51275,50231,31886,16232,6222,356267,14871,16017,18138,11348,9904,21682,19767,19312,41015,55815,54890,36583,21271,15654,39306,20173,1746,1723,1740,1053,935,1529,1843,1567,2710,2412,1861,696,235,123,19133,1422,1435,1723,860,861,1431,1711,1626,2736,2264,1773,685,375,231,2648,1391,20,60,80,38,65,85,124,77,144,349,226,94,24,5,1257,67,142,97,102,42,44,110,53,227,129,85,74,57,28,20656,9626,724,537,760,376,441,767,839,1090,1374,1255,797,418,195,53,11030,570,666,887,497,434,932,852,1229,1677,1253,1122,554,232,125,404,256,0,55,21,15,0,57,0,26,0,26,48,0,0,8,148,0,0,0,0,0,0,32,0,6,83,0,27,0,0,22250,11825,1119,545,817,374,410,1283,1155,1212,1925,1464,842,487,125,67,10425,594,556,1014,591,426,1192,613,662,1459,1760,847,289,256,166,20932,10992,1658,1485,1378,730,502,1083,806,650,1028,605,529,371,139,28,9940,1300,1267,1124,720,400,1077,616,423,1084,761,662,257,143,106,645322,310065,12912,15464,16885,11035,8842,21419,18834,17418,35840,49113,49021,31173,15929,6180,335257,12254,14452,16467,10394,9048,19776,18421,17774,38146,53366,53235,35573,20846,15505,69690,35783,3786,2945,3654,2025,1330,3614,3146,2846,5142,3750,1939,1110,414,82,33907,3757,2530,3096,1684,1545,3153,2353,2488,4820,4110,2391,1180,622,178,42.2,40.1,44.0,44.6,42.8,46.2,29.4,28.5,30.3,39.1,46.0,34.4,32.0,31.6,32.3,31.8,23.4,51.3,31.5,31.4,31.7,19.8,18.9,20.7,45.8,44.1,47.3,26.4,25.8,27.8,793759
50,RI,44,001,,,,05000US44001,"Bristol County, Rhode Island",49228,23746,965,1530,1404,991,1019,495,474,837,1361,1070,1243,1328,1633,1853,2048,678,769,698,633,860,682,682,493,25482,962,1342,1460,936,1020,490,395,759,1230,1145,1169,1609,1808,2167,2336,567,861,724,761,1076,863,785,1017,46778,22528,905,1374,1264,905,889,1734,1247,1017,2388,3416,3430,2167,1330,462,24250,903,1240,1358,870,882,1557,1146,1086,2626,3850,3666,2442,1623,1001,691,422,8,26,53,26,44,23,86,22,32,13,44,14,0,31,269,18,27,1,37,23,1,25,40,2,0,47,32,0,16,29,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,915,382,6,42,56,25,45,9,11,14,77,47,15,10,25,0,533,0,27,48,19,65,61,8,14,132,77,13,44,25,0,11,11,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,77,0,0,0,0,19,22,1,17,9,8,1,0,0,0,70,7,6,5,0,0,0,51,0,0,0,1,0,0,0,657,311,46,73,31,35,22,7,16,0,65,2,5,0,9,0,346,34,42,48,10,36,25,0,5,18,48,37,43,0,0,45812,22026,892,1261,1251,850,857,1712,1193,1010,2323,3373,3430,2151,1272,451,23786,838,1159,1350,858,862,1525,1104,1026,2551,3818,3640,2442,1612,1001,1252,638,13,128,13,63,59,45,54,27,94,56,1,16,58,11,614,65,81,13,22,36,74,118,60,75,32,27,0,11,0,44.1,42.1,45.8,45.0,43.5,46.6,27.8,26.8,32.1,.,.,.,37.1,29.7,40.2,.,.,.,29.3,24.5,29.3,18.3,15.2,21.3,45.6,43.9,47.1,25.4,24.5,25.6,49228
50,RI,44,003,,,,05000US44003,"Kent County, Rhode Island",164886,79561,4158,4538,4773,3059,1613,875,746,3085,5249,5031,5121,5023,5799,6625,6438,2230,3112,2033,2259,2924,1800,1303,1767,85325,3839,4055,4686,2837,1591,793,859,2791,4977,5326,4499,5791,6333,7169,6829,2721,3494,2037,2959,3387,2502,2233,3617,152635,73103,3479,3956,4167,2856,1492,4304,4679,4424,9210,11636,11211,6964,2995,1730,79532,3423,3649,4041,2582,1475,4016,4569,4631,9498,12798,12479,8191,4620,3560,2354,1343,106,35,40,18,40,117,133,96,281,196,171,86,8,16,1011,11,22,77,2,0,69,116,240,96,122,169,35,39,13,217,113,0,0,0,0,0,0,0,38,0,27,19,9,20,0,104,0,21,0,0,0,0,0,0,18,10,0,55,0,0,3952,1879,148,153,71,52,5,142,138,225,392,227,229,33,64,0,2073,152,100,186,88,8,123,174,254,317,308,218,51,61,33,44,44,0,0,0,0,0,31,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2141,1178,71,64,139,1,21,30,154,215,164,203,84,21,11,0,963,105,83,26,66,88,74,73,64,144,150,37,27,15,11,3543,1901,354,330,356,132,55,82,145,33,97,135,53,103,5,21,1642,148,180,356,99,20,161,45,137,217,114,141,24,0,0,148288,71049,3361,3803,3883,2666,1441,4038,4531,4315,8853,11496,11079,6871,2995,1717,77239,3188,3425,3783,2492,1319,3842,4476,4447,9190,12547,12315,8112,4576,3527,6742,3390,329,272,424,204,90,330,302,320,552,256,170,108,20,13,3352,340,337,289,189,257,206,170,275,497,362,228,120,49,33,43.7,41.6,45.4,44.9,42.7,46.5,35.5,35.9,32.1,54.8,54.7,65.2,34.4,35.1,33.6,.,.,.,30.6,30.9,25.9,15.5,13.7,22.3,45.5,43.3,47.1,25.8,25.6,26.0,164886
50,RI,44,005,,,,05000US44005,"Newport County, Rhode Island",82714,40616,1669,2153,2337,1474,1174,465,413,2084,2680,2273,2537,2434,2704,3242,3122,1169,1604,980,1539,1803,1249,849,662,42098,1979,2000,2132,1442,1242,473,655,1604,2262,2147,2267,2317,2962,3327,3398,1424,1675,1129,1595,1913,1389,1056,1710,74140,36109,1361,1808,1991,1240,1003,2446,2374,1934,4229,5463,5553,4069,2017,621,38031,1571,1580,1862,1158,1084,2338,2053,1925,4089,5718,6187,4499,2305,1662,2726,1467,104,146,51,100,62,99,141,123,227,141,117,83,45,28,1259,117,73,82,49,34,83,133,98,139,167,77,96,63,48,175,143,0,20,0,0,23,10,0,0,0,13,28,49,0,0,32,0,0,0,0,0,0,0,0,0,10,22,0,0,0,1586,744,15,68,54,37,24,94,55,77,55,132,28,78,14,13,842,40,100,32,42,84,53,8,31,184,87,93,29,59,0,52,52,0,0,11,15,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1278,602,14,0,12,27,0,114,44,63,162,75,82,9,0,0,676,52,10,55,61,8,122,20,16,107,212,9,4,0,0,2757,1499,175,111,218,55,62,199,66,76,298,96,87,34,22,0,1258,199,237,101,132,32,136,48,77,65,95,109,9,18,0,71313,34794,1293,1711,1740,1159,919,2295,2187,1883,4052,5325,5537,4055,2017,621,36519,1340,1432,1705,1101,1052,2072,2001,1848,3961,5571,6059,4424,2299,1654,4408,2199,113,126,285,128,93,306,256,103,423,239,88,29,10,0,2209,338,209,178,129,40,389,70,110,235,285,137,75,6,8,44.2,42.3,46.1,46.1,44.4,47.5,33.4,33.1,33.9,58.2,58.7,56.6,32.9,32.2,37.5,31.5,31.5,.,35.2,35.4,30.6,20.7,24.1,17.3,46.9,45.3,48.5,24.5,25.7,23.8,82714
