SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,VA,51,,,,,04000US51,Virginia,8310301,4086283,261100,266182,265726,159904,118631,62519,64745,178738,293037,287791,267445,276068,283940,296290,268263,98434,133945,82598,104334,129415,85768,56269,45141,4224018,249157,257190,252936,153361,114903,58368,59261,166570,287396,286313,270562,280883,294037,309284,288191,107149,147165,90292,117846,152879,107079,80844,92352,5712958,2831039,162805,166867,169478,103465,75905,199857,194840,193278,367361,415612,376526,251875,115190,37980,2881919,154518,158302,159853,98327,73777,183319,187785,187318,361780,419451,395832,278700,148265,74692,1596352,763587,51152,53602,54934,33819,26043,65893,58649,53276,99916,107921,88003,45504,19506,5369,832765,49487,53299,52763,33029,25563,66108,59961,56551,107628,122059,103741,58587,29670,14319,21948,10843,392,819,544,328,437,936,853,695,1625,1992,1050,880,257,35,11105,516,681,687,482,471,652,798,708,1570,1778,1430,858,303,171,502878,236762,13640,17362,15927,9139,5993,17818,17929,20447,42206,33385,22592,13369,5713,1242,266116,13890,16755,15942,8658,6460,15724,20520,23909,50155,38715,28817,17065,7322,2184,5494,2464,186,92,206,130,212,246,177,338,401,234,114,76,52,0,3030,206,142,108,47,115,313,340,205,471,552,294,161,51,25,190972,101846,8969,8340,7613,4207,3566,9037,10850,11291,19162,11237,5535,1538,314,187,89126,7933,8908,7146,3856,2910,7161,8111,8371,16655,10065,5016,2059,583,352,279699,139742,23956,19100,17024,8816,6475,12215,9739,8466,12842,9849,6822,3105,1005,328,139957,22607,19103,16437,8962,5607,10922,9881,9251,13186,10701,7375,3587,1729,609,5245259,2591008,139123,143780,150331,93141,68565,179418,174048,169408,326646,388355,361770,246053,113208,37162,2654251,132322,136732,142483,88166,65791,164742,169717,166475,325485,393077,379765,270951,145221,73324,725092,375584,37897,35980,30342,16695,12441,32067,34275,37720,63526,42177,21372,7584,2488,1020,349508,35153,34428,27790,16005,12188,28325,28405,31243,57023,39945,22695,10503,3933,1872,37.8,36.5,39.1,40.4,39.2,41.7,35.2,33.4,36.7,38.6,38.4,38.6,36.2,35.0,37.2,32.5,29.4,36.8,29.0,29.1,28.9,18.6,18.3,19.0,41.9,40.6,43.1,28.3,28.1,28.6,8310301
40,VA,51,,,,,04001US51,Virginia -- Urban,6311202,3077671,211618,208427,202661,121118,94638,50355,52100,145143,240230,233691,210271,211308,209404,213273,186680,67824,91113,55506,67328,81407,54279,36338,32959,3233531,202347,204030,193195,116329,95174,47457,49334,137760,240851,236139,217966,216883,221955,226004,207182,76222,102053,61341,80388,103231,71729,57016,68945,4053266,1998637,122940,119809,118314,71524,57365,154841,153945,150737,268303,284597,244046,154307,70493,27416,2054629,116542,115346,110974,68728,58335,143200,148996,145135,263947,289011,262318,178770,98153,55174,1334878,627101,45541,47201,47382,29341,22326,55479,49075,44431,82113,85994,68372,32543,13384,3919,707777,44372,47399,46074,28321,22447,58831,53976,50414,94097,101870,83599,44193,21389,10795,16913,8294,368,714,410,207,319,774,695,566,1338,1503,682,533,173,12,8619,495,543,563,372,421,466,657,643,1243,1320,976,608,206,106,483908,228296,13117,16671,15224,8767,5697,17336,17539,19882,40721,32089,21712,12811,5509,1221,255612,13295,16063,15254,8212,6281,15452,20006,23065,47950,36773,27672,16420,7073,2096,4783,2184,186,64,202,130,167,232,121,308,367,197,97,61,52,0,2599,162,137,88,19,91,276,340,182,416,464,226,133,40,25,175879,93108,8199,7765,6851,3924,3224,8112,10026,10293,17383,10318,5131,1455,294,133,82771,7266,8139,6469,3344,2691,6805,7725,8133,15291,9347,4716,1982,569,294,241575,120051,21267,16203,14278,7225,5540,10824,8829,7474,11354,7979,5577,2531,712,258,121524,20215,16403,13773,7333,4908,9521,9151,8567,11905,9174,5950,2854,1315,455,3624743,1779349,101607,99055,101204,62163,50995,135873,134591,128550,230656,259619,230498,149040,68811,26687,1845394,96044,95666,95320,59604,51037,126115,132119,126091,230343,264459,247383,171878,95401,53934,666316,343621,34490,32857,27330,15281,10983,29226,31841,34920,58331,38654,19742,6913,2180,873,322695,32445,31621,25160,14395,11071,26390,26731,29110,52842,37056,21081,9524,3559,1710,35.8,34.5,37.0,38.2,36.8,39.6,33.6,31.9,35.2,36.1,36.3,35.8,36.1,35.0,37.1,32.3,29.6,35.4,29.1,29.1,29.0,18.7,18.4,19.2,39.8,38.3,41.2,28.4,28.3,28.6,6311202
40,VA,51,,,,,04043US51,Virginia -- Rural,1999099,1008612,49482,57755,63065,38786,23993,12164,12645,33595,52807,54100,57174,64760,74536,83017,81583,30610,42832,27092,37006,48008,31489,19931,12182,990487,46810,53160,59741,37032,19729,10911,9927,28810,46545,50174,52596,64000,72082,83280,81009,30927,45112,28951,37458,49648,35350,23828,23407,1659692,832402,39865,47058,51164,31941,18540,45016,40895,42541,99058,131015,132480,97568,44697,10564,827290,37976,42956,48879,29599,15442,40119,38789,42183,97833,130440,133514,99930,50112,19518,261474,136486,5611,6401,7552,4478,3717,10414,9574,8845,17803,21927,19631,12961,6122,1450,124988,5115,5900,6689,4708,3116,7277,5985,6137,13531,20189,20142,14394,8281,3524,5035,2549,24,105,134,121,118,162,158,129,287,489,368,347,84,23,2486,21,138,124,110,50,186,141,65,327,458,454,250,97,65,18970,8466,523,691,703,372,296,482,390,565,1485,1296,880,558,204,21,10504,595,692,688,446,179,272,514,844,2205,1942,1145,645,249,88,711,280,0,28,4,0,45,14,56,30,34,37,17,15,0,0,431,44,5,20,28,24,37,0,23,55,88,68,28,11,0,15093,8738,770,575,762,283,342,925,824,998,1779,919,404,83,20,54,6355,667,769,677,512,219,356,386,238,1364,718,300,77,14,58,38124,19691,2689,2897,2746,1591,935,1391,910,992,1488,1870,1245,574,293,70,18433,2392,2700,2664,1629,699,1401,730,684,1281,1527,1425,733,414,154,1620516,811659,37516,44725,49127,30978,17570,43545,39457,40858,95990,128736,131272,97013,44397,10475,808857,36278,41066,47163,28562,14754,38627,37598,40384,95142,128618,132382,99073,49820,19390,58776,31963,3407,3123,3012,1414,1458,2841,2434,2800,5195,3523,1630,671,308,147,26813,2708,2807,2630,1610,1117,1935,1674,2133,4181,2889,1614,979,374,162,45.0,43.8,46.2,45.9,45.0,46.8,44.4,41.2,47.3,46.1,46.3,45.9,38.4,36.1,39.8,33.9,28.9,43.6,28.0,29.3,23.9,17.8,17.8,17.7,46.4,45.5,47.2,27.1,26.9,27.4,1999099
40,VA,51,,,,,040A0US51,Virginia -- In metropolitan or micropolitan statistical area,7527485,3696699,241576,244469,242267,146122,107766,56796,58622,164998,271451,266557,244809,252566,256504,267071,238498,86944,118079,71719,89559,110910,72751,47661,39004,3830786,229593,237064,230917,139890,106224,53165,54583,154007,267574,266873,250147,257592,268021,279762,258578,94887,129070,78393,102364,131597,91574,69213,79698,5100808,2527706,148427,150605,152199,92817,67894,181683,179067,177584,331952,370977,330595,214383,96723,32800,2573102,140377,143374,143569,88395,67368,166345,172661,172043,327305,375566,347783,238170,125770,64376,1452088,691033,47372,49470,50160,31380,24130,59593,53670,48834,91012,97361,77762,39253,16533,4503,761055,45553,49607,48433,30328,23762,61439,56062,52902,99783,111782,92886,51144,25264,12110,20346,9967,385,812,467,250,401,836,848,596,1596,1838,902,744,257,35,10379,509,658,687,420,454,578,727,658,1506,1631,1285,825,270,171,498181,234672,13598,17204,15845,9011,5742,17517,17749,20344,42005,33081,22329,13326,5684,1237,263509,13835,16569,15756,8538,6367,15590,20309,23750,49706,38305,28475,16925,7241,2143,5346,2358,169,92,206,130,195,246,177,338,393,204,108,76,24,0,2988,206,142,108,47,104,313,340,205,471,527,288,161,51,25,185163,98410,8835,8171,7388,4164,3435,8738,10479,10810,18260,10783,5358,1529,303,157,86753,7659,8546,6891,3712,2802,7020,7972,8280,16223,9764,4982,2016,569,317,265553,132553,22790,18115,16002,8370,5969,11803,9461,8051,12157,9331,6467,2877,888,272,133000,21454,18168,15473,8450,5367,10470,9503,9035,12745,10208,6836,3113,1622,556,4648994,2296700,125674,128484,134081,82913,61069,161833,158889,154551,292425,344972,316274,208699,94850,31986,2352294,118920,122492,126755,78535,59680,148542,155072,151881,292015,349773,332173,230629,122804,63023,701324,361945,36675,34707,29057,16132,11776,31013,33202,36250,61290,40313,20740,7428,2376,986,339379,34017,33301,26911,15517,11742,27384,27710,30386,55495,38891,22112,10251,3840,1822,37.2,35.9,38.4,39.8,38.5,41.0,34.7,32.9,36.1,38.3,38.3,38.3,36.2,35.1,37.2,32.4,28.9,36.5,29.0,28.9,29.0,18.6,18.3,19.0,41.3,40.0,42.5,28.4,28.1,28.6,7527485
40,VA,51,,,,,040C0US51,Virginia -- In metropolitan statistical area,7254250,3563562,234286,236534,234298,141063,104547,54962,57017,159992,263453,258887,236946,244323,247502,257139,228219,83032,112592,68132,85294,104700,68625,44919,37100,3690688,222317,228960,223518,135151,103321,51483,52988,149387,260068,259534,242549,249356,258753,269221,247956,90893,122491,74585,97401,124212,85823,64957,75764,4893543,2426770,143325,144904,146596,89179,65839,175803,173458,172020,319728,356169,315016,202717,90907,31109,2466773,135428,137918,138119,84958,65379,160647,167322,166538,315157,360526,331292,224909,117347,61233,1396351,663974,45745,47654,48436,30144,23227,57498,51595,47284,87852,93585,74105,37028,15510,4311,732377,43914,47669,46996,29383,23065,59531,54216,51399,96587,107579,88543,48374,23759,11362,20080,9837,385,812,467,250,401,829,833,588,1584,1806,897,697,253,35,10243,509,658,687,420,442,561,727,654,1506,1584,1258,815,251,171,496668,233978,13579,17125,15790,8985,5734,17480,17740,20290,41806,33006,22226,13305,5678,1234,262690,13800,16504,15708,8506,6360,15590,20262,23609,49557,38174,28382,16893,7212,2133,5278,2358,169,92,206,130,195,246,177,338,393,204,108,76,24,0,2920,206,142,108,47,104,293,331,194,471,527,271,161,40,25,181449,96418,8611,7969,7185,4137,3396,8493,10334,10545,17852,10696,5211,1529,303,157,85031,7458,8308,6653,3554,2723,6958,7771,8192,15961,9637,4914,2016,569,317,260881,130227,22472,17978,15618,8238,5755,11622,9316,7822,12054,9175,6280,2774,869,254,130654,21002,17761,15247,8283,5248,10278,9439,8948,12666,9947,6680,3030,1602,523,4444679,2197281,120712,122934,128664,79320,59016,156164,153378,149087,280448,330367,300765,197056,89070,30300,2247398,114082,117276,121401,75140,57754,142965,149830,146472,280063,334888,315717,217497,114426,59887,693832,357900,36237,34334,28517,16054,11726,30467,32863,35828,60614,40011,20523,7405,2340,981,335932,33608,32745,26591,15287,11595,27187,27435,30186,55026,38569,21997,10098,3793,1815,37.0,35.7,38.2,39.5,38.3,40.8,34.5,32.8,35.9,38.1,38.0,38.1,36.2,35.1,37.2,32.4,28.9,36.7,29.0,29.0,29.1,18.6,18.3,19.1,41.1,39.8,42.3,28.4,28.2,28.7,7254250
40,VA,51,,,,,040C1US51,Virginia -- In metropolitan statistical area -- in principal city,2213179,1083809,73395,63782,58154,33302,38643,24198,26527,65657,108497,93940,74547,65932,65235,68035,61322,23173,30636,17686,22827,26546,17861,12186,11728,1129370,69255,62812,54510,32437,41264,23001,23032,58712,107696,92568,72392,68150,68472,72933,70700,25682,34502,20715,26737,34527,24162,20223,24888,1341092,670127,39283,32930,28463,16320,22804,71077,70216,61383,88472,84854,76001,47479,21735,9110,670965,36241,30552,27030,15772,24471,62208,66829,56400,81519,83798,81908,54879,31085,18273,622535,292358,22399,21041,20893,12287,10869,30030,25184,21275,35332,37392,31542,15267,6650,2197,330177,21229,21671,19523,12254,11457,30931,27583,24409,40221,44067,39108,21308,10844,5572,7238,3469,166,297,142,54,173,413,394,188,590,516,202,222,106,6,3769,234,324,178,50,249,153,446,369,453,545,323,244,138,63,107840,50568,2363,2662,2374,1402,1854,6560,5545,5641,7813,5720,4220,2890,1211,313,57272,2291,2541,2263,1348,2323,5092,5844,5915,9639,7367,6287,3961,1749,652,1893,946,38,13,95,50,106,137,12,174,138,111,56,0,16,0,947,32,0,26,14,69,154,210,73,89,171,53,45,0,11,46930,24439,2082,1624,1639,975,850,2917,3161,2768,4288,2263,1340,371,96,65,22491,1907,1852,1245,766,847,1925,2633,2176,4236,2477,1355,723,189,160,85651,41902,7064,5215,4548,2214,1987,5248,3985,2511,3846,2414,1770,830,233,37,43749,7321,5872,4245,2233,1848,4282,4151,3226,4385,2980,1850,819,380,157,1220437,606500,33118,27684,24232,14481,20674,64185,63149,53859,77966,78723,72450,45761,21321,8897,613937,31133,25933,23125,13706,22217,56163,60980,50452,73298,77708,78082,52950,30333,17857,190888,99789,9920,8428,7118,3521,3602,10823,11500,11100,15866,9654,5299,2072,600,286,91099,8911,8073,6324,3462,3510,9191,9502,8807,13880,9354,5609,2797,1006,673,33.7,32.4,35.0,35.4,34.3,36.7,32.5,30.8,34.1,32.5,31.7,33.4,34.0,31.9,36.0,29.9,31.8,29.5,29.1,28.4,30.1,20.1,19.9,20.4,36.4,35.2,37.9,27.8,27.6,28.0,2213179
40,VA,51,,,,,040C2US51,Virginia -- In metropolitan statistical area -- not in principal city,5041071,2479753,160891,172752,176144,107761,65904,30764,30490,94335,154956,164947,162399,178391,182267,189104,166897,59859,81956,50446,62467,78154,50764,32733,25372,2561318,153062,166148,169008,102714,62057,28482,29956,90675,152372,166966,170157,181206,190281,196288,177256,65211,87989,53870,70664,89685,61661,44734,50876,3552451,1756643,104042,111974,118133,72859,43035,104726,103242,110637,231256,271315,239015,155238,69172,21999,1795808,99187,107366,111089,69186,40908,98439,100493,110138,233638,276728,249384,170030,86262,42960,773816,371616,23346,26613,27543,17857,12358,27468,26411,26009,52520,56193,42563,21761,8860,2114,402200,22685,25998,27473,17129,11608,28600,26633,26990,56366,63512,49435,27066,12915,5790,12842,6368,219,515,325,196,228,416,439,400,994,1290,695,475,147,29,6474,275,334,509,370,193,408,281,285,1053,1039,935,571,113,108,388828,183410,11216,14463,13416,7583,3880,10920,12195,14649,33993,27286,18006,10415,4467,921,205418,11509,13963,13445,7158,4037,10498,14418,17694,39918,30807,22095,12932,5463,1481,3385,1412,131,79,111,80,89,109,165,164,255,93,52,76,8,0,1973,174,142,82,33,35,139,121,121,382,356,218,116,40,14,134519,71979,6529,6345,5546,3162,2546,5576,7173,7777,13564,8433,3871,1158,207,92,62540,5551,6456,5408,2788,1876,5033,5138,6016,11725,7160,3559,1293,380,157,175230,88325,15408,12763,11070,6024,3768,6374,5331,5311,8208,6761,4510,1944,636,217,86905,13681,11889,11002,6050,3400,5996,5288,5722,8281,6967,4830,2211,1222,366,3224242,1590781,87594,95250,104432,64839,38342,91979,90229,95228,202482,251644,228315,151295,67749,21403,1633461,82949,91343,98276,61434,35537,86802,88850,96020,206765,257180,237635,164547,84093,42030,502944,258111,26317,25906,21399,12533,8124,19644,21363,24728,44748,30357,15224,5333,1740,695,244833,24697,24672,20267,11825,8085,17996,17933,21379,41146,29215,16388,7301,2787,1142,38.6,37.5,39.7,41.1,40.0,42.1,36.0,34.7,37.4,40.4,40.5,40.2,36.9,36.1,37.4,33.3,28.4,40.9,29.0,29.3,28.8,17.9,17.4,18.4,42.7,41.6,43.6,28.7,28.5,29.0,5041071
40,VA,51,,,,,040E0US51,Virginia -- In micropolitan statistical area,273235,133137,7290,7935,7969,5059,3219,1834,1605,5006,7998,7670,7863,8243,9002,9932,10279,3912,5487,3587,4265,6210,4126,2742,1904,140098,7276,8104,7399,4739,2903,1682,1595,4620,7506,7339,7598,8236,9268,10541,10622,3994,6579,3808,4963,7385,5751,4256,3934,207265,100936,5102,5701,5603,3638,2055,5880,5609,5564,12224,14808,15579,11666,5816,1691,106329,4949,5456,5450,3437,1989,5698,5339,5505,12148,15040,16491,13261,8423,3143,55737,27059,1627,1816,1724,1236,903,2095,2075,1550,3160,3776,3657,2225,1023,192,28678,1639,1938,1437,945,697,1908,1846,1503,3196,4203,4343,2770,1505,748,266,130,0,0,0,0,0,7,15,8,12,32,5,47,4,0,136,0,0,0,0,12,17,0,4,0,47,27,10,19,0,1513,694,19,79,55,26,8,37,9,54,199,75,103,21,6,3,819,35,65,48,32,7,0,47,141,149,131,93,32,29,10,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,20,9,11,0,0,17,0,11,0,3714,1992,224,202,203,27,39,245,145,265,408,87,147,0,0,0,1722,201,238,238,158,79,62,201,88,262,127,68,0,0,0,4672,2326,318,137,384,132,214,181,145,229,103,156,187,103,19,18,2346,452,407,226,167,119,192,64,87,79,261,156,83,20,33,204315,99419,4962,5550,5417,3593,2053,5669,5511,5464,11977,14605,15509,11643,5780,1686,104896,4838,5216,5354,3395,1926,5577,5242,5409,11952,14885,16456,13132,8378,3136,7492,4045,438,373,540,78,50,546,339,422,676,302,217,23,36,5,3447,409,556,320,230,147,197,275,200,469,322,115,153,47,7,43.7,41.8,45.8,45.8,44.2,47.4,39.4,36.0,42.7,46.9,51.7,46.0,36.2,35.9,37.1,31.5,.,31.5,23.4,27.6,18.3,18.9,19.9,16.4,46.1,44.6,47.7,23.8,25.0,21.6,273235
40,VA,51,,,,,040E1US51,Virginia -- In micropolitan statistical area -- in principal city,61373,28705,1932,1932,1798,1117,798,461,393,1112,1985,1772,1718,1716,1724,1811,1915,848,1189,765,783,1007,758,588,583,32668,1971,1987,1562,996,622,333,400,1245,2202,1677,1777,1710,1957,2204,2335,936,1415,721,1343,1427,1448,1034,1366,30230,14116,726,754,675,390,255,784,852,774,1751,1877,2150,1673,911,544,16114,722,681,600,428,225,784,885,695,1596,1889,2488,2270,1834,1017,28177,13163,1013,1030,975,665,468,1098,1064,771,1504,1566,1679,863,435,32,15014,995,1103,812,496,356,1122,1155,892,1711,2130,2085,1176,642,339,103,18,0,0,0,0,0,0,0,8,6,4,0,0,0,0,85,0,0,0,0,0,17,0,0,0,47,15,6,0,0,526,235,9,26,6,7,5,0,0,41,57,31,53,0,0,0,291,16,21,26,26,7,0,31,32,44,15,50,7,6,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1008,547,85,67,12,15,23,41,35,116,93,31,29,0,0,0,461,56,45,60,28,0,27,79,46,103,17,0,0,0,0,1320,626,99,55,130,40,47,43,34,62,23,26,41,19,0,7,694,182,137,64,18,34,28,43,12,33,63,48,32,0,0,29221,13602,669,666,578,365,255,746,791,754,1691,1815,2144,1673,911,544,15619,661,544,548,428,225,758,853,673,1523,1847,2471,2237,1834,1017,2346,1243,142,163,155,41,23,117,129,165,168,93,47,0,0,0,1103,152,212,124,28,0,57,124,80,181,74,38,33,0,0,41.3,37.9,44.4,49.4,45.4,52.6,35.2,31.7,37.8,45.6,42.2,45.7,35.3,35.7,31.4,.,.,.,26.4,27.7,26.2,14.6,16.7,10.5,50.3,46.3,53.7,23.4,23.4,23.4,61373
40,VA,51,,,,,040E2US51,Virginia -- In micropolitan statistical area -- not in principal city,211862,104432,5358,6003,6171,3942,2421,1373,1212,3894,6013,5898,6145,6527,7278,8121,8364,3064,4298,2822,3482,5203,3368,2154,1321,107430,5305,6117,5837,3743,2281,1349,1195,3375,5304,5662,5821,6526,7311,8337,8287,3058,5164,3087,3620,5958,4303,3222,2568,177035,86820,4376,4947,4928,3248,1800,5096,4757,4790,10473,12931,13429,9993,4905,1147,90215,4227,4775,4850,3009,1764,4914,4454,4810,10552,13151,14003,10991,6589,2126,27560,13896,614,786,749,571,435,997,1011,779,1656,2210,1978,1362,588,160,13664,644,835,625,449,341,786,691,611,1485,2073,2258,1594,863,409,163,112,0,0,0,0,0,7,15,0,6,28,5,47,4,0,51,0,0,0,0,12,0,0,4,0,0,12,4,19,0,987,459,10,53,49,19,3,37,9,13,142,44,50,21,6,3,528,19,44,22,6,0,0,16,109,105,116,43,25,23,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,20,0,11,0,0,17,0,11,0,2706,1445,139,135,191,12,16,204,110,149,315,56,118,0,0,0,1261,145,193,178,130,79,35,122,42,159,110,68,0,0,0,3352,1700,219,82,254,92,167,138,111,167,80,130,146,84,19,11,1652,270,270,162,149,85,164,21,75,46,198,108,51,20,33,175094,85817,4293,4884,4839,3228,1798,4923,4720,4710,10286,12790,13365,9970,4869,1142,89277,4177,4672,4806,2967,1701,4819,4389,4736,10429,13038,13985,10895,6544,2119,5146,2802,296,210,385,37,27,429,210,257,508,209,170,23,36,5,2344,257,344,196,202,147,140,151,120,288,248,77,120,47,7,44.4,42.7,46.1,45.3,44.0,46.7,44.1,40.7,47.0,57.8,54.5,64.6,37.0,36.0,37.8,31.9,.,31.9,21.8,27.6,16.9,19.5,21.0,17.2,45.5,44.2,46.8,23.9,25.6,21.1,211862
