SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,VT,50,,,,,04000US50,Vermont,626249,308711,15758,17097,18020,11753,10897,5542,5317,12830,18307,17762,16664,18930,20836,23981,24673,9153,12908,8111,9608,12622,7807,5206,4929,317538,14601,16312,16861,11289,10531,4727,5277,12133,17632,18048,17618,18747,21469,25357,25510,10009,13507,7877,10963,13147,9402,7730,8791,592965,292470,14441,15806,16376,10795,9964,22102,17070,16655,33519,43035,45556,29549,12745,4857,300495,13452,14857,15422,10233,9380,20494,16437,16838,34229,45011,47328,31215,16878,8721,7404,4170,205,232,512,210,255,571,344,329,548,496,320,134,12,2,3234,276,335,262,267,346,408,145,246,402,291,150,56,34,16,1984,791,0,48,39,5,37,53,17,35,221,71,108,81,24,52,1193,25,66,73,74,28,88,87,52,165,220,177,90,27,21,9212,4137,223,211,283,189,291,494,425,348,575,564,237,254,38,5,5075,164,264,275,259,318,546,420,409,914,540,558,373,35,0,206,69,0,0,10,0,0,0,0,0,27,0,0,7,25,0,137,0,6,25,18,11,25,0,11,1,5,0,10,15,10,2309,1056,58,116,53,40,75,174,144,109,110,93,55,29,0,0,1253,112,109,70,32,82,106,184,130,66,150,161,37,14,0,12169,6018,831,684,747,514,275,295,307,286,594,558,458,287,169,13,6151,572,675,734,406,366,470,359,362,588,609,652,206,129,23,585154,288616,14219,15467,16087,10642,9703,21567,16736,16373,32996,42659,45289,29409,12632,4837,296538,13169,14558,15128,9993,9141,20018,16100,16660,33743,44633,46995,31018,16709,8673,10900,5312,339,505,337,243,396,812,502,394,662,478,334,172,118,20,5588,384,388,461,378,378,635,544,356,616,531,448,238,183,48,42.6,41.3,43.8,43.5,42.3,44.7,23.7,26.4,21.3,43.6,43.4,44.0,32.9,29.3,33.8,34.5,43.5,24.1,27.4,25.3,28.9,21.0,19.6,23.2,43.8,42.5,44.9,25.6,25.2,26.2,626249
40,VT,50,,,,,04001US50,Vermont -- Urban,242574,117132,6498,6478,6300,3902,6136,2981,3342,6980,8773,7934,6257,6909,7292,8035,7783,2725,3662,2552,2898,3513,2445,1860,1877,125442,5691,5705,5952,4050,6214,3038,3563,6861,8541,8159,6832,7202,7239,8360,8701,3481,4201,2701,3661,4036,3579,3268,4407,223331,107472,5675,5730,5345,3530,5499,12228,7879,7120,12017,14286,13610,8505,4221,1827,115859,5056,5023,5262,3492,5445,12242,7763,7323,12780,14677,15668,10009,6766,4353,5162,2965,150,170,319,118,200,476,240,221,399,442,163,67,0,0,2197,203,196,196,133,202,313,98,175,366,165,88,43,15,4,559,265,0,0,0,5,26,43,0,35,24,13,37,33,7,42,294,12,0,12,22,8,36,35,13,20,56,39,7,14,20,6852,3165,206,170,193,102,249,308,365,331,406,447,160,194,34,0,3687,119,184,167,205,306,465,347,307,613,440,279,240,15,0,66,15,0,0,0,0,0,0,0,0,8,0,0,7,0,0,51,0,6,0,0,11,6,0,11,0,0,0,7,0,10,1177,477,17,93,35,4,21,60,59,96,35,23,8,26,0,0,700,95,35,38,17,46,78,76,106,41,77,61,30,0,0,5427,2773,450,315,408,143,141,188,230,131,277,116,192,131,43,8,2654,206,261,277,181,196,322,222,224,214,184,248,62,37,20,219411,105549,5560,5545,5231,3471,5345,11847,7772,6985,11747,14142,13496,8429,4168,1811,113862,4919,4920,5139,3359,5259,11901,7560,7225,12602,14549,15558,9906,6650,4315,5416,2572,152,256,133,73,232,521,188,243,316,153,134,102,53,16,2844,205,131,158,226,273,436,296,238,267,205,122,133,116,38,36.5,34.4,38.7,37.9,35.6,40.1,23.8,26.1,22.0,44.5,44.8,44.5,30.5,29.8,30.9,34.8,.,31.5,27.1,25.4,29.1,21.0,19.0,23.0,38.2,35.9,40.4,24.2,24.2,24.4,242574
40,VT,50,,,,,04043US50,Vermont -- Rural,383675,191579,9260,10619,11720,7851,4761,2561,1975,5850,9534,9828,10407,12021,13544,15946,16890,6428,9246,5559,6710,9109,5362,3346,3052,192096,8910,10607,10909,7239,4317,1689,1714,5272,9091,9889,10786,11545,14230,16997,16809,6528,9306,5176,7302,9111,5823,4462,4384,369634,184998,8766,10076,11031,7265,4465,9874,9191,9535,21502,28749,31946,21044,8524,3030,184636,8396,9834,10160,6741,3935,8252,8674,9515,21449,30334,31660,21206,10112,4368,2242,1205,55,62,193,92,55,95,104,108,149,54,157,67,12,2,1037,73,139,66,134,144,95,47,71,36,126,62,13,19,12,1425,526,0,48,39,0,11,10,17,0,197,58,71,48,17,10,899,13,66,61,52,20,52,52,39,145,164,138,83,13,1,2360,972,17,41,90,87,42,186,60,17,169,117,77,60,4,5,1388,45,80,108,54,12,81,73,102,301,100,279,133,20,0,140,54,0,0,10,0,0,0,0,0,19,0,0,0,25,0,86,0,0,25,18,0,19,0,0,1,5,0,3,15,0,1132,579,41,23,18,36,54,114,85,13,75,70,47,3,0,0,553,17,74,32,15,36,28,108,24,25,73,100,7,14,0,6742,3245,381,369,339,371,134,107,77,155,317,442,266,156,126,5,3497,366,414,457,225,170,148,137,138,374,425,404,144,92,3,365743,183067,8659,9922,10856,7171,4358,9720,8964,9388,21249,28517,31793,20980,8464,3026,182676,8250,9638,9989,6634,3882,8117,8540,9435,21141,30084,31437,21112,10059,4358,5484,2740,187,249,204,170,164,291,314,151,346,325,200,70,65,4,2744,179,257,303,152,105,199,248,118,349,326,326,105,67,10,45.6,44.8,46.5,46.2,45.3,47.0,22.8,26.6,19.4,43.5,43.4,43.8,36.3,28.0,40.1,24.9,43.6,21.0,27.5,25.2,28.7,21.0,20.4,23.9,46.3,45.5,47.2,27.3,26.4,28.9,383675
40,VT,50,,,,,040A0US50,Vermont -- In metropolitan or micropolitan statistical area,462643,227551,11757,12745,13087,8564,8243,4070,4087,9932,13794,13307,12356,13951,15421,17755,18074,6414,9472,5915,6879,8830,5567,3710,3621,235092,10709,12071,12307,8378,8054,3313,4042,9607,13475,13603,13132,13771,15981,18908,19005,7140,9449,5540,7954,9597,6930,5662,6464,436710,214685,10672,11805,11658,7834,7504,16789,12858,12416,24659,31761,33093,20992,9084,3560,222025,9844,10980,11226,7502,7220,15802,12494,12661,25191,33363,34406,22532,12397,6407,6019,3390,176,175,463,137,171,499,260,281,408,439,260,116,3,2,2629,238,260,232,221,280,301,127,211,305,254,114,51,22,13,1359,562,0,25,23,5,34,49,9,35,172,29,71,56,10,44,797,12,35,59,66,19,42,24,30,100,159,150,55,25,21,7559,3532,190,183,241,154,235,445,345,339,488,429,219,221,38,5,4027,143,202,220,231,224,348,365,309,770,488,427,279,21,0,165,69,0,0,10,0,0,0,0,0,27,0,0,7,25,0,96,0,0,25,18,0,25,0,0,1,5,0,7,15,0,1813,747,51,101,50,40,63,79,77,105,75,75,11,20,0,0,1066,103,72,64,24,42,98,180,113,59,145,117,35,14,0,9018,4566,668,456,642,394,236,228,245,131,478,443,306,212,117,10,4452,369,522,481,316,269,346,285,279,477,475,380,132,98,23,430787,211825,10509,11541,11455,7738,7323,16382,12662,12242,24250,31456,32854,20875,8993,3545,218962,9641,10745,10957,7294,7038,15420,12250,12536,24838,33065,34119,22386,12301,6372,8052,3845,245,379,246,166,292,564,294,283,513,364,255,137,92,15,4207,265,288,367,294,261,467,418,251,456,446,365,184,110,35,42.1,40.7,43.3,43.1,41.8,44.3,23.7,26.5,21.1,43.5,41.1,45.4,33.1,29.6,34.6,35.2,43.5,21.8,28.1,24.2,29.2,20.7,18.8,23.6,43.3,42.0,44.6,26.0,25.4,26.7,462643
40,VT,50,,,,,040C0US50,Vermont -- In metropolitan statistical area,216080,106131,5732,6162,6071,4011,4546,2088,2476,5942,7351,6945,6256,6516,7182,7940,7798,2595,3735,2251,2684,3133,1934,1339,1444,109949,5278,5704,5773,3911,5008,2088,2486,5568,7139,7027,6110,6948,7354,8383,8066,2829,3984,2187,2869,3824,2425,2400,2588,199261,97880,5002,5546,5108,3600,4077,9573,6685,6268,11820,14226,13666,7745,3172,1392,101381,4620,4953,5120,3340,4417,9357,6509,6298,11970,14742,14191,8552,4768,2544,4295,2321,143,149,352,105,104,335,175,225,235,311,148,39,0,0,1974,221,206,174,138,225,211,60,164,194,225,88,48,19,1,800,355,0,19,13,5,19,43,3,24,100,9,44,29,3,44,445,12,7,12,66,19,0,7,8,50,103,95,32,14,20,5763,2753,140,163,194,101,194,399,246,292,328,361,155,146,34,0,3010,130,190,178,168,172,294,281,261,532,337,296,161,10,0,65,22,0,0,0,0,0,0,0,0,22,0,0,0,0,0,43,0,0,22,0,0,16,0,0,0,5,0,0,0,0,1069,451,34,101,35,19,6,4,52,97,60,17,6,20,0,0,618,95,35,53,0,15,41,98,106,42,78,25,30,0,0,4827,2349,413,184,369,181,146,152,190,39,207,198,109,89,64,8,2478,200,313,214,199,160,223,184,190,270,247,184,57,14,23,196132,96282,4882,5392,5008,3544,4002,9305,6599,6161,11551,14060,13531,7724,3131,1392,99850,4516,4885,4981,3294,4248,9147,6337,6234,11741,14651,14046,8489,4745,2536,4283,2093,151,207,128,89,103,352,138,216,307,175,145,41,41,0,2190,156,91,216,73,200,241,264,170,313,181,161,93,23,8,37.6,36.4,39.1,39.0,37.5,40.4,22.7,23.9,20.6,44.7,40.6,51.0,30.4,28.9,32.1,24.5,.,15.0,29.1,26.4,29.3,20.3,18.3,23.4,39.3,37.7,40.7,25.8,25.3,26.4,216080
40,VT,50,,,,,040C1US50,Vermont -- In metropolitan statistical area -- in principal city,61260,29875,1308,1205,1240,788,2237,1017,1544,2885,2685,2255,1550,1639,1670,1666,1375,687,857,536,668,609,472,424,558,31385,1017,1169,1179,774,2959,1231,1327,2677,2459,2236,1564,1544,1437,1692,1866,745,785,575,685,943,828,668,1025,53115,26038,1037,998,782,566,2004,5032,2338,1867,2788,2841,2752,1644,870,519,27077,803,783,867,601,2551,4688,2139,1861,2496,2690,3064,2068,1481,985,2559,1321,68,103,152,94,44,204,147,74,126,216,76,17,0,0,1238,81,140,147,37,147,174,41,28,183,125,77,43,15,0,247,140,0,0,0,5,0,35,0,16,10,7,13,20,0,34,107,0,0,0,0,8,0,0,0,0,49,30,0,0,20,3410,1581,100,78,131,38,132,144,145,218,215,222,50,82,26,0,1829,37,156,68,122,136,194,198,177,338,157,197,49,0,0,10,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,526,177,11,5,12,0,3,0,20,73,18,9,6,20,0,0,349,76,0,34,0,15,16,19,88,27,44,0,30,0,0,1393,610,92,21,163,85,54,31,35,7,24,41,22,30,0,5,783,20,90,63,14,102,161,62,82,64,64,28,13,0,20,51720,25399,1020,897,751,551,1957,4891,2288,1843,2699,2768,2701,1644,870,519,26321,766,743,789,579,2434,4516,2082,1832,2415,2640,3028,2031,1481,985,2023,927,17,101,50,25,62,214,70,124,102,82,60,20,0,0,1096,85,47,93,23,148,197,90,117,103,90,36,67,0,0,31.1,30.1,32.2,32.0,30.6,33.2,22.8,24.8,22.1,51.7,45.6,52.0,30.4,32.4,30.1,.,.,.,32.3,32.5,32.2,19.9,15.6,23.2,32.3,30.8,33.6,24.0,24.9,23.5,61260
40,VT,50,,,,,040C2US50,Vermont -- In metropolitan statistical area -- not in principal city,154820,76256,4424,4957,4831,3223,2309,1071,932,3057,4666,4690,4706,4877,5512,6274,6423,1908,2878,1715,2016,2524,1462,915,886,78564,4261,4535,4594,3137,2049,857,1159,2891,4680,4791,4546,5404,5917,6691,6200,2084,3199,1612,2184,2881,1597,1732,1563,146146,71842,3965,4548,4326,3034,2073,4541,4347,4401,9032,11385,10914,6101,2302,873,74304,3817,4170,4253,2739,1866,4669,4370,4437,9474,12052,11127,6484,3287,1559,1736,1000,75,46,200,11,60,131,28,151,109,95,72,22,0,0,736,140,66,27,101,78,37,19,136,11,100,11,5,4,1,553,215,0,19,13,0,19,8,3,8,90,2,31,9,3,10,338,12,7,12,66,11,0,7,8,50,54,65,32,14,0,2353,1172,40,85,63,63,62,255,101,74,113,139,105,64,8,0,1181,93,34,110,46,36,100,83,84,194,180,99,112,10,0,55,14,0,0,0,0,0,0,0,0,14,0,0,0,0,0,41,0,0,22,0,0,14,0,0,0,5,0,0,0,0,543,274,23,96,23,19,3,4,32,24,42,8,0,0,0,0,269,19,35,19,0,0,25,79,18,15,34,25,0,0,0,3434,1739,321,163,206,96,92,121,155,32,183,157,87,59,64,3,1695,180,223,151,185,58,62,122,108,206,183,156,44,14,3,144412,70883,3862,4495,4257,2993,2045,4414,4311,4318,8852,11292,10830,6080,2261,873,73529,3750,4142,4192,2715,1814,4631,4255,4402,9326,12011,11018,6458,3264,1551,2260,1166,134,106,78,64,41,138,68,92,205,93,85,21,41,0,1094,71,44,123,50,52,44,174,53,210,91,125,26,23,8,40.5,39.1,41.9,41.6,40.3,42.8,22.1,23.7,19.3,41.1,37.6,44.8,30.7,25.6,35.3,24.2,.,14.9,25.1,10.8,27.9,20.7,19.7,23.7,41.8,40.6,43.0,28.2,25.8,29.0,154820
40,VT,50,,,,,040E0US50,Vermont -- In micropolitan statistical area,246563,121420,6025,6583,7016,4553,3697,1982,1611,3990,6443,6362,6100,7435,8239,9815,10276,3819,5737,3664,4195,5697,3633,2371,2177,125143,5431,6367,6534,4467,3046,1225,1556,4039,6336,6576,7022,6823,8627,10525,10939,4311,5465,3353,5085,5773,4505,3262,3876,237449,116805,5670,6259,6550,4234,3427,7216,6173,6148,12839,17535,19427,13247,5912,2168,120644,5224,6027,6106,4162,2803,6445,5985,6363,13221,18621,20215,13980,7629,3863,1724,1069,33,26,111,32,67,164,85,56,173,128,112,77,3,2,655,17,54,58,83,55,90,67,47,111,29,26,3,3,12,559,207,0,6,10,0,15,6,6,11,72,20,27,27,7,0,352,0,28,47,0,0,42,17,22,50,56,55,23,11,1,1796,779,50,20,47,53,41,46,99,47,160,68,64,75,4,5,1017,13,12,42,63,52,54,84,48,238,151,131,118,11,0,100,47,0,0,10,0,0,0,0,0,5,0,0,7,25,0,53,0,0,3,18,0,9,0,0,1,0,0,7,15,0,744,296,17,0,15,21,57,75,25,8,15,58,5,0,0,0,448,8,37,11,24,27,57,82,7,17,67,92,5,14,0,4191,2217,255,272,273,213,90,76,55,92,271,245,197,123,53,2,1974,169,209,267,117,109,123,101,89,207,228,196,75,84,0,234655,115543,5627,6149,6447,4194,3321,7077,6063,6081,12699,17396,19323,13151,5862,2153,119112,5125,5860,5976,4000,2790,6273,5913,6302,13097,18414,20073,13897,7556,3836,3769,1752,94,172,118,77,189,212,156,67,206,189,110,96,51,15,2017,109,197,151,221,61,226,154,81,143,265,204,91,87,27,45.7,44.3,47.0,46.3,44.9,47.5,29.0,32.3,23.0,43.1,43.1,43.0,39.8,33.9,41.5,71.6,78.2,24.6,25.7,22.7,29.0,21.9,20.1,24.8,46.4,45.1,47.7,26.2,25.8,28.1,246563
40,VT,50,,,,,040E1US50,Vermont -- In micropolitan statistical area -- in principal city,33697,15944,978,995,795,669,359,242,133,652,1028,1119,830,1003,989,1267,1400,248,582,408,450,590,532,359,316,17753,792,713,1001,619,379,230,258,500,1273,1136,1164,852,1084,1338,1454,526,767,369,682,639,634,499,844,32282,15106,823,939,761,657,342,997,957,1063,1700,2125,2153,1411,862,316,17176,792,707,910,575,354,950,1273,1082,1880,2312,2729,1659,1110,843,342,244,26,0,7,0,2,0,40,5,64,71,19,10,0,0,98,0,0,28,0,0,15,0,0,51,0,3,0,0,1,23,14,0,0,0,0,0,0,0,0,0,0,0,7,7,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,400,171,14,14,11,12,12,0,19,13,19,42,15,0,0,0,229,0,0,5,22,25,0,0,0,85,68,15,9,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,55,43,0,0,0,0,0,30,4,0,0,9,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,0,0,0,581,359,115,42,16,0,3,0,8,38,50,9,43,13,22,0,222,0,6,58,22,0,11,0,45,0,42,0,15,23,0,31759,14949,812,902,749,657,342,982,944,1063,1700,2117,2140,1386,839,316,16810,747,664,885,518,354,900,1211,1082,1880,2292,2729,1635,1088,825,601,225,37,37,12,0,0,34,36,0,0,8,13,25,23,0,376,45,43,25,57,0,60,62,0,0,20,0,24,22,18,42.5,41.2,44.7,43.0,41.8,45.3,39.9,42.8,35.2,67.4,74.5,.,41.8,33.3,42.0,.,.,.,22.9,24.3,.,30.6,25.4,30.9,43.4,41.9,45.8,20.8,24.6,20.4,33697
40,VT,50,,,,,040E2US50,Vermont -- In micropolitan statistical area -- not in principal city,212866,105476,5047,5588,6221,3884,3338,1740,1478,3338,5415,5243,5270,6432,7250,8548,8876,3571,5155,3256,3745,5107,3101,2012,1861,107390,4639,5654,5533,3848,2667,995,1298,3539,5063,5440,5858,5971,7543,9187,9485,3785,4698,2984,4403,5134,3871,2763,3032,205167,101699,4847,5320,5789,3577,3085,6219,5216,5085,11139,15410,17274,11836,5050,1852,103468,4432,5320,5196,3587,2449,5495,4712,5281,11341,16309,17486,12321,6519,3020,1382,825,7,26,104,32,65,164,45,51,109,57,93,67,3,2,557,17,54,30,83,55,75,67,47,60,29,23,3,3,11,536,193,0,6,10,0,15,6,6,11,72,20,27,20,0,0,343,0,28,47,0,0,42,17,13,50,56,55,23,11,1,1396,608,36,6,36,41,29,46,80,34,141,26,49,75,4,5,788,13,12,37,41,27,54,84,48,153,83,116,109,11,0,86,40,0,0,10,0,0,0,0,0,5,0,0,0,25,0,46,0,0,3,18,0,9,0,0,1,0,0,0,15,0,689,253,17,0,15,21,57,45,21,8,15,49,5,0,0,0,436,8,37,11,24,27,45,82,7,17,67,92,5,14,0,3610,1858,140,230,257,213,87,76,47,54,221,236,154,110,31,2,1752,169,203,209,95,109,112,101,44,207,186,196,60,61,0,202896,100594,4815,5247,5698,3537,2979,6095,5119,5018,10999,15279,17183,11765,5023,1837,102302,4378,5196,5091,3482,2436,5373,4702,5220,11217,16122,17344,12262,6468,3011,3168,1527,57,135,106,77,189,178,120,67,206,181,97,71,28,15,1641,64,154,126,164,61,166,92,81,143,245,204,67,65,9,46.1,44.8,47.3,46.7,45.4,47.8,24.7,26.6,22.0,43.0,39.9,43.2,39.3,34.6,41.1,43.4,78.6,24.2,28.0,20.7,29.3,20.9,20.1,24.3,46.8,45.6,47.9,26.8,26.0,29.7,212866
