SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,WV,54,,,,,04000US54,West Virginia,1846092,912270,52182,53696,54808,33844,24006,13682,13557,35682,55652,55773,55274,59963,60562,64717,66852,26983,37943,22973,30743,37745,26722,16181,12730,933822,49726,51413,52106,32073,21710,13697,12528,34264,52965,54243,55204,57707,59986,67063,70714,28019,39374,25527,31546,41570,32097,23631,26659,1725411,848546,47322,48407,50422,31017,21168,56668,50713,51104,106534,118204,124982,87948,41572,12485,876865,45238,46613,47742,29430,19631,55400,49222,50739,106812,120642,131476,94749,53457,25714,63305,34948,1907,1970,1881,1409,1749,3458,2595,2725,5617,4306,4330,2078,785,138,28357,1629,1986,1734,1026,925,2688,1772,1729,3134,3455,3907,2189,1598,585,3281,1562,20,69,92,87,9,30,119,91,170,347,318,143,67,0,1719,9,143,45,62,48,164,62,89,184,382,300,134,92,5,13990,6314,316,380,225,145,162,802,917,699,907,651,516,357,195,42,7676,392,242,492,200,260,747,693,648,1027,1113,977,594,168,123,648,283,28,19,34,0,0,11,43,38,71,0,39,0,0,0,365,3,38,16,13,0,27,19,25,80,64,26,11,0,43,5731,3352,190,210,124,122,146,465,383,329,644,371,256,76,36,0,2379,363,142,175,103,78,309,266,242,296,131,123,47,8,96,33726,17265,2399,2641,2030,1064,772,1487,882,787,1294,1400,1337,859,248,65,16461,2092,2249,1902,1239,768,1154,931,771,1378,1262,1298,919,405,93,1706156,838896,46345,47735,49512,30480,20767,55789,50027,50092,105511,117197,124240,87481,41303,12417,867260,44184,45622,46911,29001,19095,54475,48513,50146,105762,119798,130630,94264,53236,25623,26247,13826,1410,954,1215,679,486,1605,1164,1442,1651,1417,955,511,269,68,12421,1364,1203,1142,545,613,1235,1081,998,1289,1085,987,548,240,91,41.9,40.7,43.1,42.7,41.5,43.8,35.6,34.5,37.6,47.7,47.3,47.9,33.4,31.6,37.0,36.6,32.2,42.3,27.7,30.3,25.1,19.6,19.4,19.9,42.9,41.7,44.0,25.9,26.5,25.3,1846092
40,WV,54,,,,,04001US54,West Virginia -- Urban,905904,438862,26578,26771,25713,15356,14314,8443,7567,20856,29812,30031,27008,27665,27274,28205,29592,11907,16837,9985,13403,15244,11640,7499,7162,467042,25857,25436,24781,14507,12786,7553,7289,20188,30482,29455,27542,26690,27765,30627,33972,12901,18146,12077,14554,19444,16069,13128,15793,813962,391408,22586,22574,22312,13024,11905,31783,26250,26700,48656,50689,53376,36369,18221,6963,422554,21968,21617,21417,12524,11126,30968,27418,26470,49464,53381,60145,43434,27497,15125,51869,27467,1774,1852,1627,1194,1575,2903,1851,1959,4000,3140,3318,1496,662,116,24402,1557,1790,1406,872,819,2354,1606,1571,2727,3032,3185,1751,1295,437,1563,766,0,0,32,72,9,7,94,54,53,184,136,60,65,0,797,9,60,15,22,48,13,2,48,82,194,210,59,35,0,11571,5466,270,362,157,138,148,760,874,578,773,529,426,282,131,38,6105,384,242,429,149,245,655,538,595,839,748,697,362,153,69,361,150,28,0,34,0,0,11,14,0,26,0,37,0,0,0,211,0,25,16,13,0,10,0,20,77,29,10,11,0,0,4051,2158,134,131,86,95,142,376,267,196,372,120,179,60,0,0,1893,252,80,168,103,78,286,219,216,216,88,78,18,8,83,22527,11447,1786,1852,1465,833,535,1026,462,544,793,817,864,365,60,45,11080,1687,1622,1330,824,470,744,699,535,827,920,694,440,209,79,801752,385794,21976,22343,21733,12703,11637,31175,25711,26170,48060,50146,52925,36182,18107,6926,415958,21298,21022,20816,12264,10704,30276,26927,26071,48626,52850,59558,43160,27316,15070,17003,8361,956,383,784,448,336,1239,809,740,931,754,606,224,114,37,8642,933,726,833,343,499,899,702,725,977,736,718,297,199,55,39.5,37.6,41.4,40.7,38.9,42.6,33.8,32.1,35.9,49.9,48.6,53.1,32.0,30.3,33.0,37.9,28.1,40.7,25.5,26.6,24.5,17.8,17.2,18.2,41.0,39.1,42.9,25.3,25.1,25.4,905904
40,WV,54,,,,,04043US54,West Virginia -- Rural,940188,473408,25604,26925,29095,18488,9692,5239,5990,14826,25840,25742,28266,32298,33288,36512,37260,15076,21106,12988,17340,22501,15082,8682,5568,466780,23869,25977,27325,17566,8924,6144,5239,14076,22483,24788,27662,31017,32221,36436,36742,15118,21228,13450,16992,22126,16028,10503,10866,911449,457138,24736,25833,28110,17993,9263,24885,24463,24404,57878,67515,71606,51579,23351,5522,454311,23270,24996,26325,16906,8505,24432,21804,24269,57348,67261,71331,51315,25960,10589,11436,7481,133,118,254,215,174,555,744,766,1617,1166,1012,582,123,22,3955,72,196,328,154,106,334,166,158,407,423,722,438,303,148,1718,796,20,69,60,15,0,23,25,37,117,163,182,83,2,0,922,0,83,30,40,0,151,60,41,102,188,90,75,57,5,2419,848,46,18,68,7,14,42,43,121,134,122,90,75,64,4,1571,8,0,63,51,15,92,155,53,188,365,280,232,15,54,287,133,0,19,0,0,0,0,29,38,45,0,2,0,0,0,154,3,13,0,0,0,17,19,5,3,35,16,0,0,43,1680,1194,56,79,38,27,4,89,116,133,272,251,77,16,36,0,486,111,62,7,0,0,23,47,26,80,43,45,29,0,13,11199,5818,613,789,565,231,237,461,420,243,501,583,473,494,188,20,5381,405,627,572,415,298,410,232,236,551,342,604,479,196,14,904404,453102,24369,25392,27779,17777,9130,24614,24316,23922,57451,67051,71315,51299,23196,5491,451302,22886,24600,26095,16737,8391,24199,21586,24075,57136,66948,71072,51104,25920,10553,9244,5465,454,571,431,231,150,366,355,702,720,663,349,287,155,31,3779,431,477,309,202,114,336,379,273,312,349,269,251,41,36,44.0,43.3,44.7,44.2,43.6,44.9,41.0,38.9,47.6,44.5,47.1,42.4,47.1,39.0,50.3,36.0,32.5,51.1,35.4,36.4,28.8,24.9,25.1,24.7,44.3,43.7,45.0,28.9,32.1,25.2,940188
40,WV,54,,,,,040A0US54,West Virginia -- In metropolitan or micropolitan statistical area,1439957,710349,41406,42599,42466,26335,19468,11290,10765,28982,44838,44403,43214,47202,46801,49863,50987,20796,29142,17202,23462,27620,19955,11777,9776,729608,39238,40223,40926,25018,17641,11064,10125,27849,42442,43511,43414,45395,46457,51700,55409,21574,29568,19698,24076,31182,24244,18300,20554,1334381,654879,36989,37801,38660,23855,16932,45550,40425,40481,83017,90611,94942,65323,30711,9582,679502,35096,35949,37039,22561,15774,44461,39152,40386,83315,92594,100779,71734,40810,19852,56067,30517,1864,1856,1745,1218,1547,2984,2247,2305,4833,3615,3735,1838,617,113,25550,1577,1899,1581,940,874,2497,1596,1599,2780,3140,3421,1959,1184,503,2644,1246,0,38,92,87,9,30,119,71,128,287,263,102,20,0,1398,9,122,44,62,34,164,62,66,184,254,272,76,49,0,12912,6026,316,380,222,145,157,769,917,674,815,640,502,298,149,42,6886,361,207,478,200,252,672,576,605,980,956,887,475,168,69,558,255,28,19,34,0,0,11,43,38,44,0,38,0,0,0,303,0,38,16,13,0,27,19,20,80,64,26,0,0,0,4826,2823,162,180,124,107,146,403,311,265,504,282,236,67,36,0,2003,321,132,175,103,78,267,177,216,197,119,87,40,8,83,28569,14603,2047,2325,1589,923,677,1290,776,569,1075,1229,1209,656,199,39,13966,1874,1876,1593,1139,629,950,860,619,1273,1030,1079,672,325,47,1318291,646788,36121,37207,37885,23397,16531,44813,39804,39718,82205,89753,94332,65014,30494,9514,671503,34231,35107,36341,22273,15403,43696,38595,39855,82378,91850,100014,71378,40621,19761,21939,11583,1276,829,1030,585,486,1375,1018,1085,1283,1167,811,353,217,68,10356,1152,1032,977,388,448,986,827,903,1118,959,849,419,207,91,41.2,39.9,42.5,42.1,40.8,43.3,34.6,33.7,35.8,45.0,46.2,44.1,32.8,31.0,36.4,32.3,28.5,40.6,26.9,29.6,23.5,19.3,19.3,19.1,42.3,41.0,43.5,25.7,25.6,25.8,1439957
40,WV,54,,,,,040C0US54,West Virginia -- In metropolitan statistical area,1136165,560981,32581,33611,33826,20816,15842,9261,8614,23345,36092,35284,34224,37063,36908,39470,39855,16084,22938,13719,17818,21459,15500,9270,7401,575184,30854,31641,32637,19771,14276,8826,8257,22665,33955,34389,34152,36097,36674,40824,43596,16555,23231,15271,18572,24253,18876,14100,15712,1046205,513320,28866,29577,30507,18718,13711,36436,32176,31840,64878,71097,73811,50561,23903,7239,532885,27424,28144,29265,17738,12669,35784,31149,31811,65480,72650,78622,55450,31591,15108,47478,26101,1657,1534,1521,982,1312,2494,1963,1930,4212,3143,3190,1506,544,113,21377,1222,1478,1317,775,720,2133,1401,1298,2443,2721,2819,1646,968,436,2025,1005,0,38,70,63,0,30,107,50,79,212,247,94,15,0,1020,9,104,24,39,5,164,29,41,134,212,165,76,18,0,11413,5458,267,323,204,140,146,694,814,666,711,604,460,268,149,12,5955,264,185,440,166,226,627,502,500,892,828,770,393,124,38,441,193,18,19,0,0,0,11,43,38,26,0,38,0,0,0,248,0,38,16,13,0,10,19,0,65,64,23,0,0,0,4230,2508,156,176,85,107,96,395,290,258,437,232,216,60,0,0,1722,286,118,168,51,78,184,145,216,153,119,87,26,8,83,24373,12396,1617,1944,1439,806,577,1160,699,502,944,1090,915,507,159,37,11977,1649,1574,1407,989,578,846,710,523,1082,904,896,505,267,47,1032537,506376,28140,29043,29816,18299,13335,35814,31655,31178,64181,70330,73350,50324,23737,7174,526161,26691,27381,28646,17497,12377,35129,30660,31349,64648,72090,78005,55197,31453,15038,18746,10033,1087,744,892,531,444,1237,888,937,1071,1044,653,274,166,65,8713,976,922,816,328,361,856,698,805,981,767,687,290,156,70,40.9,39.6,42.2,41.9,40.6,43.1,35.0,33.9,36.7,46.3,47.4,44.2,32.7,31.3,36.2,32.9,32.1,40.8,27.2,29.2,24.2,19.2,19.5,18.8,42.1,40.8,43.3,25.3,25.3,25.4,1136165
40,WV,54,,,,,040C1US54,West Virginia -- In metropolitan statistical area -- in principal city,252863,122966,7040,7092,6083,3884,6087,3138,2751,7395,9173,8052,6735,7594,7294,7579,8043,3391,4422,2688,3418,4112,2791,2272,1932,129897,6152,6400,6237,4012,5107,3012,2702,6788,8817,7597,7292,7199,7229,8156,9418,3469,5058,3090,3979,5109,4382,3644,5048,217188,104826,5428,5429,4800,3192,5091,11273,7487,7061,12025,13198,13918,9367,4701,1856,112362,4875,4839,4927,3176,4316,10640,7589,6637,12619,13437,16095,11011,7451,4750,21402,11090,873,729,644,366,712,1105,914,614,1796,1153,1282,550,286,66,10312,494,802,719,384,350,1156,690,549,1155,1130,1325,841,463,254,379,198,0,0,0,0,0,0,4,0,9,75,49,49,12,0,181,1,17,0,22,0,0,0,23,33,74,0,11,0,0,4665,2272,55,128,51,60,80,449,405,159,232,206,232,153,54,8,2393,64,79,126,74,154,373,273,180,295,335,197,184,51,8,179,47,18,0,0,0,0,0,14,0,15,0,0,0,0,0,132,0,25,16,13,0,10,0,0,62,6,0,0,0,0,803,500,35,27,44,9,35,55,88,32,45,34,71,25,0,0,303,61,0,46,12,24,31,19,29,0,46,27,0,8,0,8247,4033,631,779,544,257,169,402,261,186,207,207,304,74,10,2,4214,657,638,403,331,263,292,246,179,327,357,301,131,53,36,213689,103075,5270,5347,4699,3140,4933,10987,7385,6800,11888,13025,13786,9292,4667,1856,110614,4738,4674,4795,3125,4133,10407,7483,6482,12503,13290,15879,10987,7377,4741,4639,2419,294,111,187,52,176,378,181,283,174,223,242,84,34,0,2220,207,181,179,58,226,254,114,258,128,254,236,24,92,9,38.1,35.6,40.5,39.9,37.2,42.3,33.1,31.1,35.1,49.8,61.1,44.7,29.8,28.7,32.1,28.5,28.4,40.1,26.3,26.8,21.1,17.6,16.1,18.3,40.2,37.5,42.7,25.2,25.2,25.8,252863
40,WV,54,,,,,040C2US54,West Virginia -- In metropolitan statistical area -- not in principal city,883302,438015,25541,26519,27743,16932,9755,6123,5863,15950,26919,27232,27489,29469,29614,31891,31812,12693,18516,11031,14400,17347,12709,6998,5469,445287,24702,25241,26400,15759,9169,5814,5555,15877,25138,26792,26860,28898,29445,32668,34178,13086,18173,12181,14593,19144,14494,10456,10664,829017,408494,23438,24148,25707,15526,8620,25163,24689,24779,52853,57899,59893,41194,19202,5383,420523,22549,23305,24338,14562,8353,25144,23560,25174,52861,59213,62527,44439,24140,10358,26076,15011,784,805,877,616,600,1389,1049,1316,2416,1990,1908,956,258,47,11065,728,676,598,391,370,977,711,749,1288,1591,1494,805,505,182,1646,807,0,38,70,63,0,30,103,50,70,137,198,45,3,0,839,8,87,24,17,5,164,29,18,101,138,165,65,18,0,6748,3186,212,195,153,80,66,245,409,507,479,398,228,115,95,4,3562,200,106,314,92,72,254,229,320,597,493,573,209,73,30,262,146,0,19,0,0,0,11,29,38,11,0,38,0,0,0,116,0,13,0,0,0,0,19,0,3,58,23,0,0,0,3427,2008,121,149,41,98,61,340,202,226,392,198,145,35,0,0,1419,225,118,122,39,54,153,126,187,153,73,60,26,0,83,16126,8363,986,1165,895,549,408,758,438,316,737,883,611,433,149,35,7763,992,936,1004,658,315,554,464,344,755,547,595,374,214,11,818848,403301,22870,23696,25117,15159,8402,24827,24270,24378,52293,57305,59564,41032,19070,5318,415547,21953,22707,23851,14372,8244,24722,23177,24867,52145,58800,62126,44210,24076,10297,14107,7614,793,633,705,479,268,859,707,654,897,821,411,190,132,65,6493,769,741,637,270,135,602,584,547,853,513,451,266,64,61,41.6,40.5,42.6,42.3,41.3,43.2,36.2,35.3,38.3,43.6,43.6,43.7,34.5,32.5,38.5,37.2,32.4,51.4,27.6,29.8,24.9,20.6,20.9,19.8,42.5,41.6,43.4,25.4,25.3,25.4,883302
40,WV,54,,,,,040E0US54,West Virginia -- In micropolitan statistical area,303792,149368,8825,8988,8640,5519,3626,2029,2151,5637,8746,9119,8990,10139,9893,10393,11132,4712,6204,3483,5644,6161,4455,2507,2375,154424,8384,8582,8289,5247,3365,2238,1868,5184,8487,9122,9262,9298,9783,10876,11813,5019,6337,4427,5504,6929,5368,4200,4842,288176,141559,8123,8224,8153,5137,3221,9114,8249,8641,18139,19514,21131,14762,6808,2343,146617,7672,7805,7774,4823,3105,8677,8003,8575,17835,19944,22157,16284,9219,4744,8589,4416,207,322,224,236,235,490,284,375,621,472,545,332,73,0,4173,355,421,264,165,154,364,195,301,337,419,602,313,216,67,619,241,0,0,22,24,9,0,12,21,49,75,16,8,5,0,378,0,18,20,23,29,0,33,25,50,42,107,0,31,0,1499,568,49,57,18,5,11,75,103,8,104,36,42,30,0,30,931,97,22,38,34,26,45,74,105,88,128,117,82,44,31,117,62,10,0,34,0,0,0,0,0,18,0,0,0,0,0,55,0,0,0,0,0,17,0,20,15,0,3,0,0,0,596,315,6,4,39,0,50,8,21,7,67,50,20,7,36,0,281,35,14,7,52,0,83,32,0,44,0,0,14,0,0,4196,2207,430,381,150,117,100,130,77,67,131,139,294,149,40,2,1989,225,302,186,150,51,104,150,96,191,126,183,167,58,0,285754,140412,7981,8164,8069,5098,3196,8999,8149,8540,18024,19423,20982,14690,6757,2340,145342,7540,7726,7695,4776,3026,8567,7935,8506,17730,19760,22009,16181,9168,4723,3193,1550,189,85,138,54,42,138,130,148,212,123,158,79,51,3,1643,176,110,161,60,87,130,129,98,137,192,162,129,51,21,42.3,41.1,43.8,42.9,41.7,44.5,32.4,32.5,32.0,38.9,37.5,41.6,33.8,29.4,37.1,21.9,14.6,30.5,25.0,36.6,20.4,20.2,18.3,24.4,43.0,41.8,44.5,29.0,30.0,27.8,303792
40,WV,54,,,,,040E1US54,West Virginia -- In micropolitan statistical area -- in principal city,58570,27913,1838,1889,1800,934,825,461,503,1232,2017,1822,1533,1704,1760,1689,1759,780,1021,740,780,960,741,499,626,30657,1989,1622,1325,1099,882,660,745,1094,2181,2075,1708,1506,1820,1564,2314,851,1092,673,944,1124,922,1154,1313,52159,24756,1620,1639,1550,746,668,1953,1830,1552,2818,3155,3237,2208,1156,624,27403,1709,1293,1171,867,720,2297,1961,1792,2986,3066,3853,2470,1949,1269,4901,2463,97,213,160,124,140,232,157,219,329,249,251,236,56,0,2438,185,210,104,156,140,179,120,248,193,219,322,204,114,44,138,88,0,0,0,24,0,0,12,21,0,31,0,0,0,0,50,0,0,0,0,0,0,0,0,0,23,27,0,0,0,321,118,0,18,0,0,11,0,12,0,64,0,13,0,0,0,203,35,18,18,0,22,15,20,18,0,49,0,8,0,0,34,34,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,22,0,0,4,0,0,0,0,4,0,7,0,7,0,0,50,0,9,4,4,0,3,13,0,9,0,0,8,0,0,945,432,121,19,52,40,6,11,6,26,26,7,59,29,28,2,513,60,92,28,72,0,5,67,17,26,27,55,51,13,0,51626,24624,1618,1637,1547,746,668,1953,1800,1552,2818,3148,3169,2205,1142,621,27002,1627,1289,1162,835,706,2259,1946,1771,2976,2957,3819,2470,1916,1269,762,231,7,8,13,0,0,0,36,28,26,18,68,10,14,3,531,102,21,17,36,22,41,54,21,19,109,48,8,33,0,38.5,36.7,39.9,39.5,37.8,40.7,32.2,32.3,32.0,47.5,32.4,56.1,29.3,38.1,20.6,.,.,.,25.9,48.4,25.4,17.8,16.6,22.9,39.5,37.7,40.7,32.4,35.9,27.3,58570
40,WV,54,,,,,040E2US54,West Virginia -- In micropolitan statistical area -- not in principal city,245222,121455,6987,7099,6840,4585,2801,1568,1648,4405,6729,7297,7457,8435,8133,8704,9373,3932,5183,2743,4864,5201,3714,2008,1749,123767,6395,6960,6964,4148,2483,1578,1123,4090,6306,7047,7554,7792,7963,9312,9499,4168,5245,3754,4560,5805,4446,3046,3529,236017,116803,6503,6585,6603,4391,2553,7161,6419,7089,15321,16359,17894,12554,5652,1719,119214,5963,6512,6603,3956,2385,6380,6042,6783,14849,16878,18304,13814,7270,3475,3688,1953,110,109,64,112,95,258,127,156,292,223,294,96,17,0,1735,170,211,160,9,14,185,75,53,144,200,280,109,102,23,481,153,0,0,22,0,9,0,0,0,49,44,16,8,5,0,328,0,18,20,23,29,0,33,25,50,19,80,0,31,0,1178,450,49,39,18,5,0,75,91,8,40,36,29,30,0,30,728,62,4,20,34,4,30,54,87,88,79,117,74,44,31,83,28,10,0,0,0,0,0,0,0,18,0,0,0,0,0,55,0,0,0,0,0,17,0,20,15,0,3,0,0,0,524,293,6,4,35,0,50,8,21,3,67,43,20,0,36,0,231,35,5,3,48,0,80,19,0,35,0,0,6,0,0,3251,1775,309,362,98,77,94,119,71,41,105,132,235,120,12,0,1476,165,210,158,78,51,99,83,79,165,99,128,116,45,0,234128,115788,6363,6527,6522,4352,2528,7046,6349,6988,15206,16275,17813,12485,5615,1719,118340,5913,6437,6533,3941,2320,6308,5989,6735,14754,16803,18190,13711,7252,3454,2431,1319,182,77,125,54,42,138,94,120,186,105,90,69,37,0,1112,74,89,144,24,65,89,75,77,118,83,114,121,18,21,43.1,41.9,44.7,43.6,42.4,45.1,32.8,32.8,33.4,38.4,37.9,38.6,36.3,26.9,39.4,30.7,.,30.5,20.9,36.5,20.3,20.7,18.6,24.4,43.7,42.5,45.2,28.1,27.5,28.8,245222
