SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B15001_001,B15001_002,B15001_003,B15001_004,B15001_005,B15001_006,B15001_007,B15001_008,B15001_009,B15001_010,B15001_011,B15001_012,B15001_013,B15001_014,B15001_015,B15001_016,B15001_017,B15001_018,B15001_019,B15001_020,B15001_021,B15001_022,B15001_023,B15001_024,B15001_025,B15001_026,B15001_027,B15001_028,B15001_029,B15001_030,B15001_031,B15001_032,B15001_033,B15001_034,B15001_035,B15001_036,B15001_037,B15001_038,B15001_039,B15001_040,B15001_041,B15001_042,B15001_043,B15001_044,B15001_045,B15001_046,B15001_047,B15001_048,B15001_049,B15001_050,B15001_051,B15001_052,B15001_053,B15001_054,B15001_055,B15001_056,B15001_057,B15001_058,B15001_059,B15001_060,B15001_061,B15001_062,B15001_063,B15001_064,B15001_065,B15001_066,B15001_067,B15001_068,B15001_069,B15001_070,B15001_071,B15001_072,B15001_073,B15001_074,B15001_075,B15001_076,B15001_077,B15001_078,B15001_079,B15001_080,B15001_081,B15001_082,B15001_083,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_013,B15003_014,B15003_015,B15003_016,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,C15002F_001,C15002F_002,C15002F_003,C15002F_004,C15002F_005,C15002F_006,C15002F_007,C15002F_008,C15002F_009,C15002F_010,C15002F_011,C15002G_001,C15002G_002,C15002G_003,C15002G_004,C15002G_005,C15002G_006,C15002G_007,C15002G_008,C15002G_009,C15002G_010,C15002G_011,C15002H_001,C15002H_002,C15002H_003,C15002H_004,C15002H_005,C15002H_006,C15002H_007,C15002H_008,C15002H_009,C15002H_010,C15002H_011,C15002I_001,C15002I_002,C15002I_003,C15002I_004,C15002I_005,C15002I_006,C15002I_007,C15002I_008,C15002I_009,C15002I_010,C15002I_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010,B15012_011,B15012_012,B15012_013,B15012_014,B15012_015,B15012_016,C15010_001,C15010_002,C15010_003,C15010_004,C15010_005,C15010_006,C15010A_001,C15010A_002,C15010A_003,C15010A_004,C15010A_005,C15010A_006,C15010B_001,C15010B_002,C15010B_003,C15010B_004,C15010B_005,C15010B_006,C15010C_001,C15010C_002,C15010C_003,C15010C_004,C15010C_005,C15010C_006,C15010D_001,C15010D_002,C15010D_003,C15010D_004,C15010D_005,C15010D_006,C15010E_001,C15010E_002,C15010E_003,C15010E_004,C15010E_005,C15010E_006,C15010F_001,C15010F_002,C15010F_003,C15010F_004,C15010F_005,C15010F_006,C15010G_001,C15010G_002,C15010G_003,C15010G_004,C15010G_005,C15010G_006,C15010H_001,C15010H_002,C15010H_003,C15010H_004,C15010H_005,C15010H_006,C15010I_001,C15010I_002,C15010I_003,C15010I_004,C15010I_005,C15010I_006
40,AK,02,,,,,04000US02,Alaska,549239,288766,44517,414,6241,18425,16236,1240,1900,61,61214,744,3808,19922,18880,4971,10101,2788,48028,813,1954,15891,12902,3706,7946,4816,100813,2040,5075,30943,27640,8475,15974,10666,34194,2264,2092,8333,8720,1823,5676,5286,260473,34023,260,4772,12183,12285,1473,2874,176,54561,687,2692,12928,15808,4508,13742,4196,44028,734,1619,9944,11636,4627,9740,5728,92750,2097,3833,23285,25099,8964,18000,11472,35111,3470,2110,9265,8813,2059,5372,4022,470699,244249,1407,933,1020,2501,1940,3620,4554,2815,75089,17812,50330,18975,39697,15820,4785,2951,226450,1613,1464,1369,2542,1629,2756,3335,2534,55422,16750,44606,20158,46854,19603,3737,2078,470699,3020,140,88,80,440,793,856,705,1684,1043,4000,3569,6376,7889,5349,106169,24342,34562,94936,39133,86551,35423,8522,5029,334409,177143,8568,47601,66025,54949,157266,6801,33773,57054,59638,14935,8694,974,2663,3892,1165,6241,581,1796,1987,1877,58301,28603,5500,14064,7325,1714,29698,5071,11564,10257,2806,28575,12821,2017,4283,3747,2774,15754,3191,3812,4425,4326,4317,2061,160,1133,565,203,2256,276,887,870,223,5828,3029,440,1101,1050,438,2799,590,661,1141,407,24334,11898,1131,4244,4513,2010,12436,732,2929,5780,2995,320090,169868,7846,45720,62688,53614,150222,5959,32021,54311,57931,24452,12525,1551,3715,5343,1916,11927,1618,2951,4803,2555,135525,63253,19757,8747,871,3494,812,5833,32534,15887,1870,5116,2645,7016,10962,5473,564,1770,1448,1707,72272,25519,8391,3549,3594,3344,6641,37359,10401,5230,6150,7385,8193,9394,1759,1069,622,3723,2221,147413,3714,15119,6972,6916,11463,10116,1162,14301,21690,20495,6495,9148,5060,4238,10524,135525,50658,13153,20746,19357,31611,114587,44540,10968,15814,16503,26762,3042,861,194,818,491,678,4520,1114,390,791,1004,1221,7100,2158,1061,2066,690,1125,426,92,104,69,62,99,845,220,38,202,98,287,5005,1673,398,986,509,1439,111545,43404,10556,15385,16131,26069,4471,1377,518,796,509,1271
40,AK,02,,,,,04001US02,Alaska -- Urban,362254,186345,31497,232,3893,12379,12645,991,1320,37,42809,618,2100,12659,14183,3519,7563,2167,30813,506,1187,9366,8463,2422,5559,3310,61012,1226,2731,16931,16908,5286,10463,7467,20214,1079,1352,4565,4834,1203,3599,3582,175909,24439,192,2935,8220,9504,1310,2117,161,38537,542,1529,8368,11682,3471,9823,3122,29917,566,958,6264,7832,3278,7026,3993,59649,1577,2203,14250,16028,5866,12062,7663,23367,2044,1394,6285,5800,1482,3813,2549,306318,154848,1065,486,649,1229,1143,1907,2343,1977,43521,11883,32505,12430,27184,10851,3524,2151,151470,1298,905,922,1604,1012,1600,1708,1764,35167,11818,29524,14097,32724,13092,2900,1335,306318,2363,107,59,27,161,493,544,472,1099,635,2198,2155,3507,4051,3741,63158,15530,23701,62029,26527,59908,23943,6424,3486,217799,112970,5048,27921,42674,37327,104829,4477,21711,38550,40091,13261,7436,832,2199,3374,1031,5825,550,1740,1830,1705,26138,11831,2022,5313,3360,1136,14307,1926,4969,5440,1972,23309,10295,1719,3327,2976,2273,13014,2713,3107,3623,3571,3800,1804,108,979,526,191,1996,227,771,808,190,4476,2194,283,927,592,392,2282,435,538,1020,289,17535,8318,787,2855,3316,1360,9217,485,2331,4168,2233,206568,107312,4507,26503,40060,36242,99256,3759,20329,36412,38756,18983,9457,1150,2778,3962,1567,9526,1333,2373,3786,2034,93761,43710,14782,6535,583,2741,424,4499,21747,10381,1199,3775,1706,4686,7181,3544,375,1204,884,1174,50051,18273,5820,2673,2868,2269,4643,25416,6579,3458,4797,4774,5808,6362,1258,705,506,2410,1483,102303,2875,9338,4336,4910,8041,7269,799,9859,16613,13198,4408,6598,3116,3192,7751,93761,34117,8993,15891,12467,22293,77418,29553,7265,11804,10402,18394,2736,761,160,747,470,598,3108,737,283,625,570,893,5844,1687,970,1686,535,966,381,85,97,69,51,79,681,177,28,161,75,240,3593,1117,190,799,364,1123,74998,28647,6947,11443,10123,17838,3601,1064,418,684,399,1036
40,AK,02,,,,,04043US02,Alaska -- Rural,186985,102421,13020,182,2348,6046,3591,249,580,24,18405,126,1708,7263,4697,1452,2538,621,17215,307,767,6525,4439,1284,2387,1506,39801,814,2344,14012,10732,3189,5511,3199,13980,1185,740,3768,3886,620,2077,1704,84564,9584,68,1837,3963,2781,163,757,15,16024,145,1163,4560,4126,1037,3919,1074,14111,168,661,3680,3804,1349,2714,1735,33101,520,1630,9035,9071,3098,5938,3809,11744,1426,716,2980,3013,577,1559,1473,164381,89401,342,447,371,1272,797,1713,2211,838,31568,5929,17825,6545,12513,4969,1261,800,74980,315,559,447,938,617,1156,1627,770,20255,4932,15082,6061,14130,6511,837,743,164381,657,33,29,53,279,300,312,233,585,408,1802,1414,2869,3838,1608,43011,8812,10861,32907,12606,26643,11480,2098,1543,116610,64173,3520,19680,23351,17622,52437,2324,12062,18504,19547,1674,1258,142,464,518,134,416,31,56,157,172,32163,16772,3478,8751,3965,578,15391,3145,6595,4817,834,5266,2526,298,956,771,501,2740,478,705,802,755,517,257,52,154,39,12,260,49,116,62,33,1352,835,157,174,458,46,517,155,123,121,118,6799,3580,344,1389,1197,650,3219,247,598,1612,762,113522,62556,3339,19217,22628,17372,50966,2200,11692,17899,19175,5469,3068,401,937,1381,349,2401,285,578,1017,521,41764,19543,4975,2212,288,753,388,1334,10787,5506,671,1341,939,2330,3781,1929,189,566,564,533,22221,7246,2571,876,726,1075,1998,11943,3822,1772,1353,2611,2385,3032,501,364,116,1313,738,45110,839,5781,2636,2006,3422,2847,363,4442,5077,7297,2087,2550,1944,1046,2773,41764,16541,4160,4855,6890,9318,37169,14987,3703,4010,6101,8368,306,100,34,71,21,80,1412,377,107,166,434,328,1256,471,91,380,155,159,45,7,7,0,11,20,164,43,10,41,23,47,1412,556,208,187,145,316,36547,14757,3609,3942,6008,8231,870,313,100,112,110,235
40,AK,02,,,,,040A0US02,Alaska -- In metropolitan or micropolitan statistical area,407604,211306,34198,231,4166,13356,13724,1091,1572,58,46651,589,2388,13429,15501,4097,8320,2327,35616,534,1243,10709,9502,2856,6579,4193,71149,1163,3206,19146,19637,6479,12723,8795,23692,1104,1419,5425,6034,1384,4160,4166,196298,26282,191,3275,8738,10197,1307,2414,160,42396,536,1740,9047,12665,3639,11410,3359,33815,597,1002,6901,8791,3652,8073,4799,68342,1529,2231,15792,18148,6850,14446,9346,25463,1945,1555,6692,6458,1471,4175,3167,347124,177108,1069,492,530,1299,1150,2219,2650,2237,48709,13531,37143,14816,31782,12883,4129,2469,170016,1335,847,937,1488,973,1571,1895,2089,38432,12657,33405,15612,38104,15559,3285,1827,347124,2404,135,78,23,149,431,523,465,1002,568,2219,2123,3790,4545,4326,69911,17230,26188,70548,30428,69886,28442,7414,4296,261539,136775,6206,34298,51356,44915,124764,5138,26055,45131,48440,13594,7630,865,2195,3519,1051,5964,566,1753,1919,1726,23148,10470,1836,4298,3179,1157,12678,1684,4048,4953,1993,21616,9213,1540,2849,2734,2090,12403,2565,2854,3403,3581,3828,1800,130,957,522,191,2028,230,803,797,198,4605,2316,226,907,802,381,2289,414,568,994,313,18794,8904,843,3205,3378,1478,9890,538,2351,4477,2524,249232,130550,5687,32770,48363,43730,118682,4380,24561,42814,46927,20266,10194,1104,2851,4545,1694,10072,1355,2527,3988,2202,110038,51263,16515,7345,708,3033,552,4877,26422,12936,1527,4303,1845,5811,8326,4312,382,1382,938,1312,58775,21058,7021,3145,3106,2360,5426,30375,8293,4108,5385,5712,6877,7342,1451,868,559,2802,1662,119779,3267,11491,5806,5707,9676,8464,946,11643,18570,15013,5278,7583,3788,3685,8862,110038,41358,10738,17768,14209,25965,93355,36527,9017,13663,12122,22026,2777,778,133,756,466,644,3150,829,270,655,525,871,5671,1690,853,1609,552,967,389,89,97,65,59,79,694,162,28,191,93,220,4002,1283,340,829,392,1158,90657,35555,8629,13247,11800,21426,3896,1125,477,769,449,1076
40,AK,02,,,,,040C0US02,Alaska -- In metropolitan statistical area,371712,192923,31982,231,3763,12467,12960,1042,1461,58,43291,575,2164,12502,14443,3773,7668,2166,32505,526,1109,9846,8473,2735,5925,3891,63933,1109,2856,17026,17874,5988,11230,7850,21212,1036,1250,4925,5434,1237,3751,3579,178789,24322,180,2981,7851,9673,1246,2240,151,39186,470,1589,8485,11831,3409,10310,3092,30796,564,949,6213,7914,3328,7405,4423,61631,1431,2122,14412,16110,6299,12868,8389,22854,1863,1442,6015,5727,1346,3629,2832,315408,160941,1021,475,518,1232,1043,2046,2316,1974,44299,12247,33977,13733,28574,11662,3603,2221,154467,1250,835,851,1392,910,1484,1730,1978,35125,11439,30143,14382,34212,14010,3055,1671,315408,2271,135,71,23,149,431,501,417,952,517,2107,1953,3530,4046,3952,63979,15445,23686,64120,28115,62786,25672,6658,3892,238039,124578,5601,31455,47180,40342,113461,4849,23786,41154,43672,13253,7386,851,2148,3416,971,5867,566,1737,1886,1678,19576,8728,1581,3485,2672,990,10848,1507,3465,4245,1631,19387,8175,1462,2486,2375,1852,11212,2385,2661,2869,3297,3653,1662,101,856,517,188,1991,216,793,784,198,4361,2197,209,860,771,357,2164,401,543,988,232,17139,8215,820,3009,3026,1360,8924,506,2140,4038,2240,226787,118943,5148,30142,44377,39276,107844,4103,22505,38947,42289,18698,9378,1032,2504,4288,1554,9320,1337,2264,3776,1943,99008,46060,15225,6662,682,2868,459,4554,23505,11545,1300,3817,1715,5128,7330,3719,365,1272,819,1155,52948,19122,6420,3001,2788,2202,4711,27365,7528,3800,4930,5168,5939,6461,1262,794,506,2481,1418,107596,2905,9983,5301,5186,8522,7823,841,10754,16912,13592,4521,6629,3266,3253,8108,99008,37136,9942,16181,12844,22905,84014,32670,8352,12517,11003,19472,2649,759,133,696,452,609,2621,724,216,562,420,699,5149,1558,800,1378,498,915,386,86,97,65,59,79,589,138,28,188,65,170,3600,1201,316,775,347,961,81565,31749,8004,12149,10705,18958,3497,1051,424,718,420,884
40,AK,02,,,,,040C1US02,Alaska -- In metropolitan statistical area -- in principal city,249088,127634,22281,158,2341,8910,9057,707,1071,37,29835,403,1382,8234,10053,2554,5624,1585,21242,406,737,6124,5261,1628,4397,2689,40816,829,1674,10514,10857,3412,7821,5709,13460,757,859,2746,3032,848,2653,2565,121454,16983,161,2010,5162,6893,948,1672,137,27625,359,943,5628,8432,2292,7559,2412,20431,463,690,3917,4876,2206,5217,3062,40623,1119,1217,9475,10278,3903,8947,5684,15792,1606,946,4139,3756,912,2543,1890,209824,105353,833,362,426,774,647,1302,1433,1270,27618,7627,21576,8442,20495,8264,2772,1512,104471,1021,628,807,1091,606,913,1073,1204,23159,7564,19778,9313,24266,9603,2371,1074,209824,1854,93,24,23,137,359,354,316,917,310,1555,1253,2215,2506,2474,41115,9662,15191,41354,17755,44761,17867,5143,2586,146784,75921,2866,17077,27720,28258,70863,2695,13774,24733,29661,11689,6378,729,1922,2818,909,5311,492,1594,1640,1585,14329,6305,1228,2653,1819,605,8024,1147,2683,3055,1139,17567,7580,1368,2323,2152,1737,9987,2133,2346,2543,2965,3444,1611,92,824,510,185,1833,202,700,745,186,3812,1863,190,805,532,336,1949,363,504,876,206,12199,5695,574,2014,2094,1013,6504,311,1558,3063,1572,138410,71707,2457,16030,25850,27370,66703,2020,12910,23145,28628,14669,7304,850,2136,2999,1319,7365,1171,1762,2910,1522,70357,33043,11275,4950,457,2118,215,3535,16550,8029,921,2937,1104,3559,5218,2478,294,1015,527,904,37314,14000,4690,2308,2056,1565,3381,18881,5115,2560,3828,3206,4172,4433,881,612,421,1586,933,76768,2107,6981,3188,3642,6162,5890,564,7823,12967,8803,3194,4809,2349,2430,5859,70357,26143,7152,12375,8203,16484,57919,22509,5844,9144,6761,13661,2494,735,126,610,438,585,1744,429,214,452,233,416,4702,1367,707,1335,479,814,371,82,97,65,51,76,542,130,28,184,34,166,2585,891,136,585,207,766,55998,21738,5611,8857,6540,13252,2841,901,309,612,337,682
40,AK,02,,,,,040C2US02,Alaska -- In metropolitan statistical area -- not in principal city,122624,65289,9701,73,1422,3557,3903,335,390,21,13456,172,782,4268,4390,1219,2044,581,11263,120,372,3722,3212,1107,1528,1202,23117,280,1182,6512,7017,2576,3409,2141,7752,279,391,2179,2402,389,1098,1014,57335,7339,19,971,2689,2780,298,568,14,11561,111,646,2857,3399,1117,2751,680,10365,101,259,2296,3038,1122,2188,1361,21008,312,905,4937,5832,2396,3921,2705,7062,257,496,1876,1971,434,1086,942,105584,55588,188,113,92,458,396,744,883,704,16681,4620,12401,5291,8079,3398,831,709,49996,229,207,44,301,304,571,657,774,11966,3875,10365,5069,9946,4407,684,597,105584,417,42,47,0,12,72,147,101,35,207,552,700,1315,1540,1478,22864,5783,8495,22766,10360,18025,7805,1515,1306,91255,48657,2735,14378,19460,12084,42598,2154,10012,16421,14011,1564,1008,122,226,598,62,556,74,143,246,93,5247,2423,353,832,853,385,2824,360,782,1190,492,1820,595,94,163,223,115,1225,252,315,326,332,209,51,9,32,7,3,158,14,93,39,12,549,334,19,55,239,21,215,38,39,112,26,4940,2520,246,995,932,347,2420,195,582,975,668,88377,47236,2691,14112,18527,11906,41141,2083,9595,15802,13661,4029,2074,182,368,1289,235,1955,166,502,866,421,28651,13017,3950,1712,225,750,244,1019,6955,3516,379,880,611,1569,2112,1241,71,257,292,251,15634,5122,1730,693,732,637,1330,8484,2413,1240,1102,1962,1767,2028,381,182,85,895,485,30828,798,3002,2113,1544,2360,1933,277,2931,3945,4789,1327,1820,917,823,2249,28651,10993,2790,3806,4641,6421,26095,10161,2508,3373,4242,5811,155,24,7,86,14,24,877,295,2,110,187,283,447,191,93,43,19,101,15,4,0,0,8,3,47,8,0,4,31,4,1015,310,180,190,140,195,25567,10011,2393,3292,4165,5706,656,150,115,106,83,202
40,AK,02,,,,,040E0US02,Alaska -- In micropolitan statistical area,35892,18383,2216,0,403,889,764,49,111,0,3360,14,224,927,1058,324,652,161,3111,8,134,863,1029,121,654,302,7216,54,350,2120,1763,491,1493,945,2480,68,169,500,600,147,409,587,17509,1960,11,294,887,524,61,174,9,3210,66,151,562,834,230,1100,267,3019,33,53,688,877,324,668,376,6711,98,109,1380,2038,551,1578,957,2609,82,113,677,731,125,546,335,31716,16167,48,17,12,67,107,173,334,263,4410,1284,3166,1083,3208,1221,526,248,15549,85,12,86,96,63,87,165,111,3307,1218,3262,1230,3892,1549,230,156,31716,133,0,7,0,0,0,22,48,50,51,112,170,260,499,374,5932,1785,2502,6428,2313,7100,2770,756,404,23500,12197,605,2843,4176,4573,11303,289,2269,3977,4768,341,244,14,47,103,80,97,0,16,33,48,3572,1742,255,813,507,167,1830,177,583,708,362,2229,1038,78,363,359,238,1191,180,193,534,284,175,138,29,101,5,3,37,14,10,13,0,244,119,17,47,31,24,125,13,25,6,81,1655,689,23,196,352,118,966,32,211,439,284,22445,11607,539,2628,3986,4454,10838,277,2056,3867,4638,1568,816,72,347,257,140,752,18,263,212,259,11030,5203,1290,683,26,165,93,323,2917,1391,227,486,130,683,996,593,17,110,119,157,5827,1936,601,144,318,158,715,3010,765,308,455,544,938,881,189,74,53,321,244,12183,362,1508,505,521,1154,641,105,889,1658,1421,757,954,522,432,754,11030,4222,796,1587,1365,3060,9341,3857,665,1146,1119,2554,128,19,0,60,14,35,529,105,54,93,105,172,522,132,53,231,54,52,3,3,0,0,0,0,105,24,0,3,28,50,402,82,24,54,45,197,9092,3806,625,1098,1095,2468,399,74,53,51,29,192
40,AK,02,,,,,040E1US02,Alaska -- In micropolitan statistical area -- in principal city,31720,16222,1997,0,330,822,691,49,105,0,3019,14,196,802,931,304,626,146,2789,6,119,782,883,118,589,292,6271,46,281,1799,1542,413,1333,857,2146,62,151,366,532,127,384,524,15498,1774,0,224,845,473,61,162,9,2943,66,140,489,752,203,1055,238,2660,33,44,581,770,285,598,349,5802,98,101,1109,1747,466,1433,848,2319,79,104,608,642,106,476,304,27949,14225,48,17,11,52,80,143,309,215,3749,1090,2798,962,2932,1128,470,221,13724,84,12,86,94,60,77,156,96,2787,968,2943,1060,3562,1393,201,145,27949,132,0,7,0,0,0,22,47,50,50,96,140,220,465,311,5058,1478,2058,5741,2022,6494,2521,671,366,20371,10547,483,2316,3594,4154,9824,284,1876,3386,4278,331,234,14,47,94,79,97,0,16,33,48,3166,1563,231,717,456,159,1603,151,502,600,350,2201,1030,78,363,359,230,1171,175,183,529,284,175,138,29,101,5,3,37,14,10,13,0,244,119,17,47,31,24,125,13,25,6,81,1461,594,23,158,311,102,867,28,175,404,260,19352,9957,417,2101,3404,4035,9395,272,1665,3298,4160,1505,797,72,332,253,140,708,18,260,185,245,10052,4751,1215,635,22,164,88,306,2628,1273,197,444,102,612,908,542,17,109,107,133,5301,1815,558,129,301,144,683,2706,681,264,414,480,867,780,179,63,47,259,232,11093,352,1377,480,474,1066,560,105,767,1530,1236,702,902,488,400,654,10052,3868,692,1479,1180,2833,8432,3538,562,1051,951,2330,127,19,0,59,14,35,509,91,54,92,103,169,514,126,53,229,54,52,3,3,0,0,0,0,105,24,0,3,28,50,362,67,23,45,30,197,8195,3487,522,1015,927,2244,385,72,53,39,29,192
40,AK,02,,,,,040E2US02,Alaska -- In micropolitan statistical area -- not in principal city,4172,2161,219,0,73,67,73,0,6,0,341,0,28,125,127,20,26,15,322,2,15,81,146,3,65,10,945,8,69,321,221,78,160,88,334,6,18,134,68,20,25,63,2011,186,11,70,42,51,0,12,0,267,0,11,73,82,27,45,29,359,0,9,107,107,39,70,27,909,0,8,271,291,85,145,109,290,3,9,69,89,19,70,31,3767,1942,0,0,1,15,27,30,25,48,661,194,368,121,276,93,56,27,1825,1,0,0,2,3,10,9,15,520,250,319,170,330,156,29,11,3767,1,0,0,0,0,0,0,1,0,1,16,30,40,34,63,874,307,444,687,291,606,249,85,38,3129,1650,122,527,582,419,1479,5,393,591,490,10,10,0,0,9,1,0,0,0,0,0,406,179,24,96,51,8,227,26,81,108,12,28,8,0,0,0,8,20,5,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,95,0,38,41,16,99,4,36,35,24,3093,1650,122,527,582,419,1443,5,391,569,478,63,19,0,15,4,0,44,0,3,27,14,978,452,75,48,4,1,5,17,289,118,30,42,28,71,88,51,0,1,12,24,526,121,43,15,17,14,32,304,84,44,41,64,71,101,10,11,6,62,12,1090,10,131,25,47,88,81,0,122,128,185,55,52,34,32,100,978,354,104,108,185,227,909,319,103,95,168,224,1,0,0,1,0,0,20,14,0,1,2,3,8,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,15,1,9,15,0,897,319,103,83,168,224,14,2,0,12,0,0
