SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B15001_001,B15001_002,B15001_003,B15001_004,B15001_005,B15001_006,B15001_007,B15001_008,B15001_009,B15001_010,B15001_011,B15001_012,B15001_013,B15001_014,B15001_015,B15001_016,B15001_017,B15001_018,B15001_019,B15001_020,B15001_021,B15001_022,B15001_023,B15001_024,B15001_025,B15001_026,B15001_027,B15001_028,B15001_029,B15001_030,B15001_031,B15001_032,B15001_033,B15001_034,B15001_035,B15001_036,B15001_037,B15001_038,B15001_039,B15001_040,B15001_041,B15001_042,B15001_043,B15001_044,B15001_045,B15001_046,B15001_047,B15001_048,B15001_049,B15001_050,B15001_051,B15001_052,B15001_053,B15001_054,B15001_055,B15001_056,B15001_057,B15001_058,B15001_059,B15001_060,B15001_061,B15001_062,B15001_063,B15001_064,B15001_065,B15001_066,B15001_067,B15001_068,B15001_069,B15001_070,B15001_071,B15001_072,B15001_073,B15001_074,B15001_075,B15001_076,B15001_077,B15001_078,B15001_079,B15001_080,B15001_081,B15001_082,B15001_083,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_013,B15003_014,B15003_015,B15003_016,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,C15002F_001,C15002F_002,C15002F_003,C15002F_004,C15002F_005,C15002F_006,C15002F_007,C15002F_008,C15002F_009,C15002F_010,C15002F_011,C15002G_001,C15002G_002,C15002G_003,C15002G_004,C15002G_005,C15002G_006,C15002G_007,C15002G_008,C15002G_009,C15002G_010,C15002G_011,C15002H_001,C15002H_002,C15002H_003,C15002H_004,C15002H_005,C15002H_006,C15002H_007,C15002H_008,C15002H_009,C15002H_010,C15002H_011,C15002I_001,C15002I_002,C15002I_003,C15002I_004,C15002I_005,C15002I_006,C15002I_007,C15002I_008,C15002I_009,C15002I_010,C15002I_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010,B15012_011,B15012_012,B15012_013,B15012_014,B15012_015,B15012_016,C15010_001,C15010_002,C15010_003,C15010_004,C15010_005,C15010_006,C15010A_001,C15010A_002,C15010A_003,C15010A_004,C15010A_005,C15010A_006,C15010B_001,C15010B_002,C15010B_003,C15010B_004,C15010B_005,C15010B_006,C15010C_001,C15010C_002,C15010C_003,C15010C_004,C15010C_005,C15010C_006,C15010D_001,C15010D_002,C15010D_003,C15010D_004,C15010D_005,C15010D_006,C15010E_001,C15010E_002,C15010E_003,C15010E_004,C15010E_005,C15010E_006,C15010F_001,C15010F_002,C15010F_003,C15010F_004,C15010F_005,C15010F_006,C15010G_001,C15010G_002,C15010G_003,C15010G_004,C15010G_005,C15010G_006,C15010H_001,C15010H_002,C15010H_003,C15010H_004,C15010H_005,C15010H_006,C15010I_001,C15010I_002,C15010I_003,C15010I_004,C15010I_005,C15010I_006
40,AL,01,,,,,04000US01,Alabama,3735975,1782879,239256,5349,37573,80953,93487,8332,12737,825,308163,12669,34968,96308,73981,21087,50592,18558,295922,12491,31811,91974,64783,23189,47023,24651,619106,28801,67720,205996,128256,44529,89823,53981,320432,30256,33377,99644,60685,14439,45330,36701,1953096,235311,3750,27495,65384,105443,11931,19656,1652,318401,8220,26539,74993,83003,32563,64716,28367,310294,9905,23929,74448,71623,37424,57696,35269,667128,21565,57198,205615,153872,65431,99788,63659,421962,38111,58476,160615,77998,19840,37414,29508,3261408,1543623,21752,7990,17262,37213,36243,49012,50902,31719,493922,87303,240402,103244,232768,84829,29308,19754,1717785,20825,7020,14902,35054,36379,49752,51468,28543,515671,109775,276721,155258,259614,124010,19975,12818,3261408,42577,318,498,1055,1769,6220,5150,8068,24096,23700,48567,72622,98764,102370,60262,828205,181388,197078,517123,258502,492382,208839,49283,32572,2335164,1126410,159902,344869,318500,303139,1208754,154483,367813,374583,311875,801166,356505,76710,135238,98356,46201,444661,75473,133029,150129,86030,16646,7544,1692,2063,2403,1386,9102,1630,2553,3269,1650,40267,17906,1730,2706,3046,10424,22361,3355,4984,3973,10049,1338,584,116,133,232,103,754,191,276,210,77,30659,16991,9100,4373,2174,1344,13668,6143,3352,2545,1628,36168,17683,2843,4540,6238,4062,18485,2668,3664,7045,5108,2273190,1092057,146766,335410,312272,297609,1181133,144307,360447,369184,307195,97794,54035,23273,14679,9029,7054,43759,17183,11441,8599,6536,783076,366659,102784,41100,5800,27360,6481,22043,181844,71676,11289,51362,13994,33523,82031,33100,5094,21427,9800,12610,416417,139106,33290,20810,28522,24052,32432,210389,40449,29478,48013,53052,39397,66922,9491,7237,6557,30354,13283,835312,34007,48998,24583,33058,41280,63375,4216,85759,189500,142537,25651,37748,23545,25381,55674,783076,229106,79708,183241,137733,153288,615014,177754,63112,143861,109353,120934,132231,34767,12645,32950,25408,26461,3036,1022,318,633,605,458,20473,11209,2444,3235,917,2668,180,78,52,17,14,19,2972,1088,273,729,279,603,9170,3188,864,1816,1157,2145,604804,173703,62316,141478,108298,119009,13590,5079,1125,3434,1408,2544
40,AL,01,,,,,04001US01,Alabama -- Urban,2204626,1034589,154961,2890,21424,47173,68442,4775,9587,670,197419,7778,20103,54789,48660,12103,38622,15364,174352,6726,16189,46994,37793,13993,33714,18943,339284,12525,30794,96544,72684,24879,62410,39448,168573,11740,13897,46101,33535,7418,30348,25534,1170037,157585,2134,15775,41307,75125,6480,15366,1398,207492,5089,15331,43403,54137,19555,47806,22171,186096,5738,12533,39509,41826,20619,39912,25959,378910,9968,27545,100328,89706,38114,70161,43088,239954,18082,29004,85093,48857,12131,26222,20565,1892080,879628,11071,3946,8837,14915,16467,22585,25766,16165,244428,47599,145073,58393,165094,61495,22315,15479,1012452,10903,4239,7629,16106,17463,24094,27229,15627,268333,62161,172365,90419,184101,86872,15000,9911,1892080,21974,244,269,539,966,3322,2845,4076,12390,10021,21000,33930,46679,52995,31792,423235,89526,109760,317438,148812,349195,148367,37315,25390,1213744,579492,59072,142526,164754,213140,634252,63913,164129,194027,212183,594039,258838,50836,93257,77524,37221,335201,50571,94981,120143,69506,6542,2976,639,695,912,730,3566,633,845,1387,701,33244,15054,1373,2264,2244,9173,18190,2531,3964,3174,8521,1008,415,110,66,167,72,593,166,221,190,16,22409,12448,6344,3383,1673,1048,9961,4394,2452,1868,1247,21094,10405,1378,2237,3791,2999,10689,1082,1741,4156,3710,1170211,554825,50045,135810,160409,208561,615386,57360,159154,190200,208672,69588,38940,16184,10608,6435,5713,30648,11608,7973,6098,4969,560267,264383,79016,32559,4443,21208,4154,16652,129485,51719,7926,37486,8359,23995,55882,23201,3441,14320,6237,8683,295884,103358,26235,14608,21569,15335,25611,145739,29887,20031,33552,33168,29101,46787,7085,4655,4486,20597,9964,599244,25808,34597,18832,24516,31765,46978,3181,59504,137340,91001,20113,27171,18313,20403,39722,560267,170686,55104,132621,87850,114006,425323,128023,41449,101000,66494,88357,106727,28896,10469,26674,19492,21196,1431,537,135,317,230,212,17694,9964,2118,2777,709,2126,88,60,2,7,0,19,2295,931,258,527,178,401,6709,2275,673,1319,747,1695,417233,124775,40858,99058,65728,86814,10682,4057,876,2739,989,2021
40,AL,01,,,,,04043US01,Alabama -- Rural,1531349,748290,84295,2459,16149,33780,25045,3557,3150,155,110744,4891,14865,41519,25321,8984,11970,3194,121570,5765,15622,44980,26990,9196,13309,5708,279822,16276,36926,109452,55572,19650,27413,14533,151859,18516,19480,53543,27150,7021,14982,11167,783059,77726,1616,11720,24077,30318,5451,4290,254,110909,3131,11208,31590,28866,13008,16910,6196,124198,4167,11396,34939,29797,16805,17784,9310,288218,11597,29653,105287,64166,27317,29627,20571,182008,20029,29472,75522,29141,7709,11192,8943,1369328,663995,10681,4044,8425,22298,19776,26427,25136,15554,249494,39704,95329,44851,67674,23334,6993,4275,705333,9922,2781,7273,18948,18916,25658,24239,12916,247338,47614,104356,64839,75513,37138,4975,2907,1369328,20603,74,229,516,803,2898,2305,3992,11706,13679,27567,38692,52085,49375,28470,404970,91862,87318,199685,109690,143187,60472,11968,7182,1121420,546918,100830,202343,153746,89999,574502,90570,203684,180556,99692,207127,97667,25874,41981,20832,8980,109460,24902,38048,29986,16524,10104,4568,1053,1368,1491,656,5536,997,1708,1882,949,7023,2852,357,442,802,1251,4171,824,1020,799,1528,330,169,6,67,65,31,161,25,55,20,61,8250,4543,2756,990,501,296,3707,1749,900,677,381,15074,7278,1465,2303,2447,1063,7796,1586,1923,2889,1398,1102979,537232,96721,199600,151863,89048,565747,86947,201293,178984,98523,28206,15095,7089,4071,2594,1341,13111,5575,3468,2501,1567,222809,102276,23768,8541,1357,6152,2327,5391,52359,19957,3363,13876,5635,9528,26149,9899,1653,7107,3563,3927,120533,35748,7055,6202,6953,8717,6821,64650,10562,9447,14461,19884,10296,20135,2406,2582,2071,9757,3319,236068,8199,14401,5751,8542,9515,16397,1035,26255,52160,51536,5538,10577,5232,4978,15952,222809,58420,24604,50620,49883,39282,189691,49731,21663,42861,42859,32577,25504,5871,2176,6276,5916,5265,1605,485,183,316,375,246,2779,1245,326,458,208,542,92,18,50,10,14,0,677,157,15,202,101,202,2461,913,191,497,410,450,187571,48928,21458,42420,42570,32195,2908,1022,249,695,419,523
40,AL,01,,,,,040A0US01,Alabama -- In metropolitan or micropolitan statistical area,3386513,1616461,218414,4718,33822,72533,86676,7579,12277,809,284819,11646,31391,87178,68746,19380,48450,18028,269921,11088,28676,80712,59447,21331,44735,23932,559171,25027,58256,180084,117590,40938,85620,51656,284136,24592,28449,86376,54951,13092,42207,34469,1770052,215078,3322,24422,59327,96728,10799,18853,1627,293948,7634,23898,67239,76395,29657,61695,27430,283131,8740,21513,65711,65069,33916,54805,33377,603147,18368,50059,182104,139630,59261,94358,59367,374748,31565,49905,142224,71575,17865,34687,26927,2953021,1398047,19152,6819,14719,31663,31899,42613,44482,27778,434350,79535,221199,94741,221012,81187,27966,18932,1554974,18022,5996,12493,29796,31804,43085,45156,25330,457278,99400,253269,140699,245545,115999,18974,12128,2953021,37174,310,460,906,1546,5316,4277,6706,20506,19503,41956,63703,85698,89638,53108,727867,163761,178935,474468,235440,466557,197186,46940,31060,2119015,1022256,138648,303846,291194,288568,1096759,134209,328419,339910,294221,715994,318298,66100,117500,90987,43711,397696,64589,115268,137421,80418,14490,6625,1401,1825,2165,1234,7865,1287,1960,3036,1582,39084,17341,1648,2604,2834,10255,21743,3199,4779,3862,9903,1261,563,104,133,223,103,698,173,244,204,77,29282,16300,8627,4238,2117,1318,12982,5853,3164,2380,1585,33895,16664,2597,4204,5955,3908,17231,2372,3444,6555,4860,2060434,989693,126276,294783,285422,283212,1070741,124876,321446,334825,289594,92472,51263,21874,14076,8471,6842,41209,15928,10898,7986,6397,741743,349097,98900,39693,5585,26488,6013,21121,173521,68930,10703,49062,12733,32093,76676,31134,4664,20171,8778,11929,392646,132847,32118,19826,27351,22346,31206,198185,39019,27928,45497,48262,37479,61614,8965,6638,6062,27471,12478,791591,33023,45909,23673,31766,39452,61390,4093,81074,180661,130033,24518,35989,22824,24766,52420,741743,219859,75344,174631,125603,146306,582789,170722,59560,137060,99896,115551,124129,32941,11937,31319,22916,25016,2816,935,301,547,577,456,20158,11049,2416,3165,889,2639,180,78,52,17,14,19,2903,1077,246,725,279,576,8768,3057,832,1798,1032,2049,572806,166736,58797,134683,98932,113658,13239,5002,1065,3396,1298,2478
40,AL,01,,,,,040C0US01,Alabama -- In metropolitan statistical area,2842256,1351817,185162,3811,27664,60651,75610,5638,11012,776,241250,8760,25463,70909,59161,15916,44027,17014,225985,8262,21934,64765,49898,18128,40839,22159,466678,18487,45443,145754,99079,33922,77022,46971,232742,18032,21967,69293,45556,10521,36671,30702,1490439,183767,2607,20021,49739,83730,8774,17306,1590,251571,5641,19062,55441,65185,24398,56481,25363,239271,6519,17288,52719,55163,27619,49429,30534,507377,14032,39172,148527,118635,48833,85438,52740,308453,24068,39101,115178,61020,15170,30545,23371,2473327,1166655,14261,4915,10792,23573,24331,33087,35279,22110,350721,65551,188143,78487,198559,73761,25524,17561,1306672,13724,4507,9390,22639,24552,33556,36169,20346,371865,82753,217250,116020,221893,103473,17220,11315,2473327,27985,266,391,609,1139,3916,3101,5310,14872,14640,31572,48883,66643,71448,42456,592466,130120,148304,405393,194507,420452,177234,42744,28876,1749025,842329,102864,240846,239533,259086,906696,101876,262271,279851,262698,624514,275917,54281,99140,81658,40838,348597,52917,98016,122818,74846,10965,4898,958,1290,1636,1014,6067,952,1431,2382,1302,36050,16205,1522,2303,2577,9803,19845,2873,4193,3494,9285,845,365,48,80,139,98,480,30,233,173,44,23886,13155,6630,3730,1710,1085,10731,4523,2879,1905,1424,28042,13786,2045,3332,4928,3481,14256,1712,2842,5400,4302,1702909,816955,94006,233956,234825,254168,885954,95114,256672,275644,258524,73675,40322,16075,11202,6872,6173,33353,11780,9203,6613,5757,669306,315405,91013,36913,5149,24680,5149,19122,157019,63573,9473,44897,10536,28540,67373,27981,3963,17785,7394,10250,353901,121811,30027,18046,25255,19342,29141,178174,36093,25305,41096,41551,34129,53916,7948,5791,5507,23323,11347,714802,30624,41728,22047,29119,36606,56797,3563,72902,164723,111110,22704,32327,21266,23504,45782,669306,202535,67727,159220,107295,132529,521784,156202,52800,124315,84183,104284,115684,31185,11332,29275,20890,23002,2316,863,273,429,396,355,19088,10549,2349,2981,760,2449,142,78,16,15,14,19,2509,913,246,591,221,538,7783,2745,711,1614,831,1882,512692,152471,52098,122066,83459,102598,11930,4624,986,3123,987,2210
40,AL,01,,,,,040C1US01,Alabama -- In metropolitan statistical area -- in principal city,1086483,507479,85488,1524,10306,23427,41315,2368,6127,421,98985,3644,9942,25091,24369,5854,21232,8853,79260,2759,7347,20564,16727,5622,16396,9845,160855,5347,14010,42917,34917,10952,31136,21576,82891,5309,6603,19375,16149,3657,16662,15136,579004,89436,1072,7942,20954,45700,2984,9838,946,104667,2396,7948,21136,26611,9138,25604,11834,86100,2408,6298,16434,19357,9119,19377,13107,181468,4452,13092,43977,43204,17728,36456,22559,117333,8152,12597,38033,25314,6068,15188,11981,911559,421991,4998,1849,3778,6434,7016,10732,12382,7772,107947,20682,71480,26085,85426,33444,12112,9854,489568,5639,2163,3283,6323,7604,11209,13827,7295,119580,28723,85763,42053,96625,46203,7557,5721,911559,10637,172,190,203,576,1641,1230,1883,5178,4010,8747,14620,21941,26209,15067,188465,39062,49405,157243,68138,182051,79647,19669,15575,508764,244787,20322,48745,65539,110181,263977,21951,58141,78324,105561,361224,156609,30911,55386,48303,22009,204615,32060,57375,72862,42318,2385,1082,164,248,414,256,1303,197,353,465,288,19353,9182,693,927,1326,6236,10171,1060,1795,1921,5395,398,147,16,32,50,49,251,7,151,77,16,9221,5210,2330,1622,697,561,4011,1632,938,800,641,10214,4974,525,987,1918,1544,5240,436,827,2090,1887,489518,233987,16704,45735,63615,107933,255531,18875,56092,76789,103775,30219,17052,6298,5075,2930,2749,13167,4915,3258,2554,2440,296942,140836,42930,18818,2165,11022,1790,9135,66108,27343,3798,18543,4134,12290,31798,14181,1946,7600,3348,4723,156106,53664,14773,7319,11225,6999,13348,75273,16095,10328,16324,16591,15935,27169,4473,2557,2379,11640,6120,318570,13826,20569,10794,13830,17355,26237,1668,30499,69642,46139,11534,13704,11110,11388,20275,296942,95683,28113,67093,44502,61551,215742,68757,20493,48333,31911,46248,64327,17928,6065,15933,11715,12686,544,257,28,89,84,86,11631,6928,1119,1845,320,1419,65,37,2,7,0,19,1202,532,114,223,39,294,3431,1244,292,663,433,799,211708,67178,20172,47384,31658,45316,5189,2042,422,1242,325,1158
40,AL,01,,,,,040C2US01,Alabama -- In metropolitan statistical area -- not in principal city,1755773,844338,99674,2287,17358,37224,34295,3270,4885,355,142265,5116,15521,45818,34792,10062,22795,8161,146725,5503,14587,44201,33171,12506,24443,12314,305823,13140,31433,102837,64162,22970,45886,25395,149851,12723,15364,49918,29407,6864,20009,15566,911435,94331,1535,12079,28785,38030,5790,7468,644,146904,3245,11114,34305,38574,15260,30877,13529,153171,4111,10990,36285,35806,18500,30052,17427,325909,9580,26080,104550,75431,31105,48982,30181,191120,15916,26504,77145,35706,9102,15357,11390,1561768,744664,9263,3066,7014,17139,17315,22355,22897,14338,242774,44869,116663,52402,113133,40317,13412,7707,817104,8085,2344,6107,16316,16948,22347,22342,13051,252285,54030,131487,73967,125268,57270,9663,5594,1561768,17348,94,201,406,563,2275,1871,3427,9694,10630,22825,34263,44702,45239,27389,404001,91058,98899,248150,126369,238401,97587,23075,13301,1240261,597542,82542,192101,173994,148905,642719,79925,204130,201527,157137,263290,119308,23370,43754,33355,18829,143982,20857,40641,49956,32528,8580,3816,794,1042,1222,758,4764,755,1078,1917,1014,16697,7023,829,1376,1251,3567,9674,1813,2398,1573,3890,447,218,32,48,89,49,229,23,82,96,28,14665,7945,4300,2108,1013,524,6720,2891,1941,1105,783,17828,8812,1520,2345,3010,1937,9016,1276,2015,3310,2415,1213391,582968,77302,188221,171210,146235,630423,76239,200580,198855,154749,43456,23270,9777,6127,3942,3424,20186,6865,5945,4059,3317,372364,174569,48083,18095,2984,13658,3359,9987,90911,36230,5675,26354,6402,16250,35575,13800,2017,10185,4046,5527,197795,68147,15254,10727,14030,12343,15793,102901,19998,14977,24772,24960,18194,26747,3475,3234,3128,11683,5227,396232,16798,21159,11253,15289,19251,30560,1895,42403,95081,64971,11170,18623,10156,12116,25507,372364,106852,39614,92127,62793,70978,306042,87445,32307,75982,52272,58036,51357,13257,5267,13342,9175,10316,1772,606,245,340,312,269,7457,3621,1230,1136,440,1030,77,41,14,8,14,0,1307,381,132,368,182,244,4352,1501,419,951,398,1083,300984,85293,31926,74682,51801,57282,6741,2582,564,1881,662,1052
40,AL,01,,,,,040E0US01,Alabama -- In micropolitan statistical area,544257,264644,33252,907,6158,11882,11066,1941,1265,33,43569,2886,5928,16269,9585,3464,4423,1014,43936,2826,6742,15947,9549,3203,3896,1773,92493,6540,12813,34330,18511,7016,8598,4685,51394,6560,6482,17083,9395,2571,5536,3767,279613,31311,715,4401,9588,12998,2025,1547,37,42377,1993,4836,11798,11210,5259,5214,2067,43860,2221,4225,12992,9906,6297,5376,2843,95770,4336,10887,33577,20995,10428,8920,6627,66295,7497,10804,27046,10555,2695,4142,3556,479694,231392,4891,1904,3927,8090,7568,9526,9203,5668,83629,13984,33056,16254,22453,7426,2442,1371,248302,4298,1489,3103,7157,7252,9529,8987,4984,85413,16647,36019,24679,23652,12526,1754,813,479694,9189,44,69,297,407,1400,1176,1396,5634,4863,10384,14820,19055,18190,10652,135401,33641,30631,69075,40933,46105,19952,4196,2184,369990,179927,35784,63000,51661,29482,190063,32333,66148,60059,31523,91480,42381,11819,18360,9329,2873,49099,11672,17252,14603,5572,3525,1727,443,535,529,220,1798,335,529,654,280,3034,1136,126,301,257,452,1898,326,586,368,618,416,198,56,53,84,5,218,143,11,31,33,5396,3145,1997,508,407,233,2251,1330,285,475,161,5853,2878,552,872,1027,427,2975,660,602,1155,558,357525,172738,32270,60827,50597,29044,184787,29762,64774,59181,31070,18797,10941,5799,2874,1599,669,7856,4148,1695,1373,640,72437,33692,7887,2780,436,1808,864,1999,16502,5357,1230,4165,2197,3553,9303,3153,701,2386,1384,1679,38745,11036,2091,1780,2096,3004,2065,20011,2926,2623,4401,6711,3350,7698,1017,847,555,4148,1131,76789,2399,4181,1626,2647,2846,4593,530,8172,15938,18923,1814,3662,1558,1262,6638,72437,17324,7617,15411,18308,13777,61005,14520,6760,12745,15713,11267,8445,1756,605,2044,2026,2014,500,72,28,118,181,101,1070,500,67,184,129,190,38,0,36,2,0,0,394,164,0,134,58,38,985,312,121,184,201,167,60114,14265,6699,12617,15473,11060,1309,378,79,273,311,268
40,AL,01,,,,,040E1US01,Alabama -- In micropolitan statistical area -- in principal city,169194,80833,12075,250,2245,3613,4708,722,535,2,15560,1190,2051,5586,3632,920,1821,360,13267,908,2087,4758,2535,932,1320,727,25706,1688,3525,8539,4871,2178,3144,1761,14225,1332,1751,4227,2704,602,2055,1554,88361,11632,210,1563,3324,5298,629,605,3,14561,736,1673,3695,3817,1697,1770,1173,13211,591,967,4235,3006,1646,1634,1132,28130,1038,2966,9241,6265,3180,3009,2431,20827,2170,3129,8083,3439,866,1858,1282,145487,68758,1510,589,1240,1779,2011,2912,2637,1854,23110,3843,9899,4632,8340,2888,955,559,76729,1142,566,985,1842,1731,2728,2662,1614,25254,5083,11444,7389,8271,4882,731,405,145487,2652,7,10,134,124,493,387,574,1651,998,2623,3742,5640,5299,3468,39272,9092,8926,21343,12021,16611,7770,1686,964,97511,46523,8274,14114,13432,10703,50988,7510,16428,16126,10924,41930,19016,5132,8276,4237,1371,22914,4918,8218,7070,2708,655,343,96,88,107,52,312,46,52,146,68,1396,582,58,176,63,285,814,95,316,69,334,300,136,50,19,67,0,164,136,11,17,0,1957,1245,719,240,141,145,712,376,129,195,12,1738,913,203,197,327,186,825,189,100,293,243,91788,43088,6682,12964,12941,10501,48700,6386,15910,15715,10689,8348,5095,2561,1480,707,347,3253,1702,645,615,291,27031,12742,3057,988,86,666,427,890,6076,1730,393,1769,678,1506,3609,1119,258,1101,487,644,14289,4145,926,544,775,1139,761,7004,939,825,1409,2421,1410,3140,560,170,213,1683,514,28686,1014,1213,543,1253,1142,1409,183,2538,6103,7047,736,1490,573,520,2922,27031,6262,2276,5933,6835,5725,21627,4733,1965,4711,5485,4733,4079,937,231,983,1087,841,120,37,21,0,41,21,619,364,17,148,48,42,0,0,0,0,0,0,157,75,0,20,58,4,429,116,42,71,116,84,21190,4616,1961,4634,5320,4659,638,192,22,89,236,99
40,AL,01,,,,,040E2US01,Alabama -- In micropolitan statistical area -- not in principal city,375063,183811,21177,657,3913,8269,6358,1219,730,31,28009,1696,3877,10683,5953,2544,2602,654,30669,1918,4655,11189,7014,2271,2576,1046,66787,4852,9288,25791,13640,4838,5454,2924,37169,5228,4731,12856,6691,1969,3481,2213,191252,19679,505,2838,6264,7700,1396,942,34,27816,1257,3163,8103,7393,3562,3444,894,30649,1630,3258,8757,6900,4651,3742,1711,67640,3298,7921,24336,14730,7248,5911,4196,45468,5327,7675,18963,7116,1829,2284,2274,334207,162634,3381,1315,2687,6311,5557,6614,6566,3814,60519,10141,23157,11622,14113,4538,1487,812,171573,3156,923,2118,5315,5521,6801,6325,3370,60159,11564,24575,17290,15381,7644,1023,408,334207,6537,37,59,163,283,907,789,822,3983,3865,7761,11078,13415,12891,7184,96129,24549,21705,47732,28912,29494,12182,2510,1220,272479,133404,27510,48886,38229,18779,139075,24823,49720,43933,20599,49550,23365,6687,10084,5092,1502,26185,6754,9034,7533,2864,2870,1384,347,447,422,168,1486,289,477,508,212,1638,554,68,125,194,167,1084,231,270,299,284,116,62,6,34,17,5,54,7,0,14,33,3439,1900,1278,268,266,88,1539,954,156,280,149,4115,1965,349,675,700,241,2150,471,502,862,315,265737,129650,25588,47863,37656,18543,136087,23376,48864,43466,20381,10449,5846,3238,1394,892,322,4603,2446,1050,758,349,45406,20950,4830,1792,350,1142,437,1109,10426,3627,837,2396,1519,2047,5694,2034,443,1285,897,1035,24456,6891,1165,1236,1321,1865,1304,13007,1987,1798,2992,4290,1940,4558,457,677,342,2465,617,48103,1385,2968,1083,1394,1704,3184,347,5634,9835,11876,1078,2172,985,742,3716,45406,11062,5341,9478,11473,8052,39378,9787,4795,8034,10228,6534,4366,819,374,1061,939,1173,380,35,7,118,140,80,451,136,50,36,81,148,38,0,36,2,0,0,237,89,0,114,0,34,556,196,79,113,85,83,38924,9649,4738,7983,10153,6401,671,186,57,184,75,169
