SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B15001_001,B15001_002,B15001_003,B15001_004,B15001_005,B15001_006,B15001_007,B15001_008,B15001_009,B15001_010,B15001_011,B15001_012,B15001_013,B15001_014,B15001_015,B15001_016,B15001_017,B15001_018,B15001_019,B15001_020,B15001_021,B15001_022,B15001_023,B15001_024,B15001_025,B15001_026,B15001_027,B15001_028,B15001_029,B15001_030,B15001_031,B15001_032,B15001_033,B15001_034,B15001_035,B15001_036,B15001_037,B15001_038,B15001_039,B15001_040,B15001_041,B15001_042,B15001_043,B15001_044,B15001_045,B15001_046,B15001_047,B15001_048,B15001_049,B15001_050,B15001_051,B15001_052,B15001_053,B15001_054,B15001_055,B15001_056,B15001_057,B15001_058,B15001_059,B15001_060,B15001_061,B15001_062,B15001_063,B15001_064,B15001_065,B15001_066,B15001_067,B15001_068,B15001_069,B15001_070,B15001_071,B15001_072,B15001_073,B15001_074,B15001_075,B15001_076,B15001_077,B15001_078,B15001_079,B15001_080,B15001_081,B15001_082,B15001_083,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_013,B15003_014,B15003_015,B15003_016,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,C15002F_001,C15002F_002,C15002F_003,C15002F_004,C15002F_005,C15002F_006,C15002F_007,C15002F_008,C15002F_009,C15002F_010,C15002F_011,C15002G_001,C15002G_002,C15002G_003,C15002G_004,C15002G_005,C15002G_006,C15002G_007,C15002G_008,C15002G_009,C15002G_010,C15002G_011,C15002H_001,C15002H_002,C15002H_003,C15002H_004,C15002H_005,C15002H_006,C15002H_007,C15002H_008,C15002H_009,C15002H_010,C15002H_011,C15002I_001,C15002I_002,C15002I_003,C15002I_004,C15002I_005,C15002I_006,C15002I_007,C15002I_008,C15002I_009,C15002I_010,C15002I_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010,B15012_011,B15012_012,B15012_013,B15012_014,B15012_015,B15012_016,C15010_001,C15010_002,C15010_003,C15010_004,C15010_005,C15010_006,C15010A_001,C15010A_002,C15010A_003,C15010A_004,C15010A_005,C15010A_006,C15010B_001,C15010B_002,C15010B_003,C15010B_004,C15010B_005,C15010B_006,C15010C_001,C15010C_002,C15010C_003,C15010C_004,C15010C_005,C15010C_006,C15010D_001,C15010D_002,C15010D_003,C15010D_004,C15010D_005,C15010D_006,C15010E_001,C15010E_002,C15010E_003,C15010E_004,C15010E_005,C15010E_006,C15010F_001,C15010F_002,C15010F_003,C15010F_004,C15010F_005,C15010F_006,C15010G_001,C15010G_002,C15010G_003,C15010G_004,C15010G_005,C15010G_006,C15010H_001,C15010H_002,C15010H_003,C15010H_004,C15010H_005,C15010H_006,C15010I_001,C15010I_002,C15010I_003,C15010I_004,C15010I_005,C15010I_006
40,CA,06,,,,,04000US06,California,29513923,14532102,2046863,41169,269522,649791,843000,82548,149272,11561,2925089,169358,277352,697711,696124,203213,637890,243441,2588095,251100,262537,550453,517414,168662,516563,321366,4774998,514006,388209,979525,1032318,353666,903757,603517,2197057,267562,144421,402909,433029,159998,415371,373767,14981821,1912648,25134,183852,499266,879537,107990,201771,15098,2776078,124025,201251,512195,661861,241797,722226,312723,2570936,235836,216127,460761,517510,212482,565094,363126,4942234,544707,345827,969846,1107556,456890,959187,558221,2779925,418042,212603,687504,582667,198871,415955,264283,25554412,12485239,309552,206758,461396,224320,260075,188064,269574,354806,2630598,688778,1990107,885539,2473581,972631,328115,241345,13069173,363537,232070,493663,233340,255050,176616,239045,305097,2630306,787102,2082492,1110040,2662462,1072856,269759,155738,25554412,673089,6093,9206,38542,91882,178669,114436,149993,805066,135300,322360,515125,364680,508619,659903,4678279,582625,1475880,4072599,1995579,5136043,2045487,597874,397083,16217934,7991657,1267204,1668024,2371479,2684950,8226277,1226425,1690981,2661408,2647463,1489010,721886,89340,186589,288203,157754,767124,79286,169956,330757,187125,182845,89807,23817,25865,28205,11920,93038,21998,23956,33787,13297,3851076,1763393,196916,242797,409302,914378,2087683,307202,303659,449988,1026834,98632,47845,7424,15421,16743,8257,50787,7741,14423,19982,8641,2934095,1490324,638734,413047,315925,122618,1443771,604978,357529,336547,144717,780820,380327,51110,78855,134567,115795,400493,50788,69802,147165,132738,11241978,5545985,320262,1038731,1796606,2390386,5695993,304809,1091208,2000019,2299957,8307684,4133615,1638741,1091002,956435,447437,4174069,1575778,1000957,1067777,529557,8176487,4015672,1302263,644982,61286,251119,20942,323934,1924271,956064,102978,408935,61325,394969,789138,391179,39483,156694,54432,147350,4160815,1507137,570761,136414,250747,78477,470738,1973440,617632,227968,378198,178610,571032,680238,155977,80101,67142,175825,201193,8723660,454427,558103,292792,453619,892161,842468,70365,692356,1563838,600267,469022,522155,504027,373146,434914,8176487,3336595,648230,1512835,569611,2109216,5332413,2072329,364890,929292,417360,1548542,344879,119663,30044,73026,27379,94767,25217,9165,1994,3899,2374,7785,1941212,934352,210374,401522,87384,307580,16898,5942,1600,3972,1370,4014,267335,92043,21430,57555,22223,74084,248533,103101,17898,43569,11521,72444,4690343,1844443,319059,796549,364191,1366101,976994,344131,72370,202803,79446,278244
40,CA,06,,,,,04001US06,California -- Urban,28007667,13740869,1953905,38693,253521,613689,811616,79174,145771,11441,2810689,161769,260817,662033,667024,195220,623975,239851,2475263,239502,248787,521052,490936,161096,501033,312857,4481563,491155,364328,906984,955223,328140,859752,575981,2019449,256649,132847,364687,389382,145149,384063,346672,14266798,1847063,24144,176854,481156,849302,104203,196693,14711,2684861,119475,193768,491715,634697,233024,705204,306978,2474522,227648,208616,441961,493800,203201,546600,352696,4657973,527443,330147,907951,1029840,424329,909491,528772,2602379,407208,200108,638706,537279,184337,388435,246306,24206699,11786964,298478,195574,442935,212088,247582,173740,247987,337470,2454756,639403,1863162,829605,2368823,932654,312032,230675,12419735,354059,225098,478451,224166,246000,166839,226262,293538,2480333,735708,1959908,1044891,2549730,1027912,257416,149424,24206699,652537,5948,8816,36869,87632,171570,109837,144588,776798,130379,305875,493582,340579,474249,631008,4398195,536894,1375111,3823070,1874496,4918553,1960566,569448,380099,15081626,7406967,1183420,1521158,2169034,2533355,7674659,1166867,1561230,2451283,2495279,1461764,703002,84539,181307,282064,155092,758762,77785,168208,327711,185058,159285,78460,21107,21618,24814,10921,80825,19642,20525,28844,11814,3803892,1742831,194478,240083,404448,903822,2061061,303944,299772,444221,1013124,96069,46425,7047,14912,16382,8084,49644,7559,14159,19511,8415,2859420,1447265,617501,401523,307876,120365,1412155,590281,350593,329133,142148,744643,362014,47762,74155,127552,112545,382629,48335,65846,139804,128644,10286657,5059938,281733,916939,1614343,2246923,5226719,276603,981698,1811761,2156657,8037944,3984036,1569641,1052285,925652,436458,4053908,1527820,972371,1036149,517568,7828666,3844184,1273473,631941,59890,245691,20358,315593,1839976,913560,98841,393495,57189,376891,730735,361642,36463,147641,49475,135514,3984482,1470970,556903,133193,245421,75555,459898,1878771,587479,216135,364437,167136,543584,634741,145146,74539,64162,164040,186854,8352910,441648,520162,278930,433718,856696,815718,67855,661073,1509875,562347,449492,494085,484507,362702,414102,7828666,3196671,619061,1460847,533753,2018334,5028634,1951644,340386,885045,384732,1466827,340150,117832,29765,71925,26936,93692,22735,8229,1737,3503,2054,7212,1916946,922751,207404,397413,85894,303484,16499,5830,1548,3906,1349,3866,262513,90315,21093,56537,21764,72804,241189,100070,17128,42518,11024,70449,4403580,1729708,295837,755470,333294,1289271,954026,335995,70653,198355,77146,271877
40,CA,06,,,,,04043US06,California -- Rural,1506256,791233,92958,2476,16001,36102,31384,3374,3501,120,114400,7589,16535,35678,29100,7993,13915,3590,112832,11598,13750,29401,26478,7566,15530,8509,293435,22851,23881,72541,77095,25526,44005,27536,177608,10913,11574,38222,43647,14849,31308,27095,715023,65585,990,6998,18110,30235,3787,5078,387,91217,4550,7483,20480,27164,8773,17022,5745,96414,8188,7511,18800,23710,9281,18494,10430,284261,17264,15680,61895,77716,32561,49696,29449,177546,10834,12495,48798,45388,14534,27520,17977,1347713,698275,11074,11184,18461,12232,12493,14324,21587,17336,175842,49375,126945,55934,104758,39977,16083,10670,649438,9478,6972,15212,9174,9050,9777,12783,11559,149973,51394,122584,65149,112732,44944,12343,6314,1347713,20552,145,390,1673,4250,7099,4599,5405,28268,4921,16485,21543,24101,34370,28895,280084,45731,100769,249529,121083,217490,84921,28426,16984,1136308,584690,83784,146866,202445,151595,551618,59558,129751,210125,152184,27246,18884,4801,5282,6139,2662,8362,1501,1748,3046,2067,23560,11347,2710,4247,3391,999,12213,2356,3431,4943,1483,47184,20562,2438,2714,4854,10556,26622,3258,3887,5767,13710,2563,1420,377,509,361,173,1143,182,264,471,226,74675,43059,21233,11524,8049,2253,31616,14697,6936,7414,2569,36177,18313,3348,4700,7015,3250,17864,2453,3956,7361,4094,955321,486047,38529,121792,182263,143463,469274,28206,109510,188258,143300,269740,149579,69100,38717,30783,10979,120161,47958,28586,31628,11989,347821,171488,28790,13041,1396,5428,584,8341,84295,42504,4137,15440,4136,18078,58403,29537,3020,9053,4957,11836,176333,36167,13858,3221,5326,2922,10840,94669,30153,11833,13761,11474,27448,45497,10831,5562,2980,11785,14339,370750,12779,37941,13862,19901,35465,26750,2510,31283,53963,37920,19530,28070,19520,10444,20812,347821,139924,29169,51988,35858,90882,303779,120685,24504,44247,32628,81715,4729,1831,279,1101,443,1075,2482,936,257,396,320,573,24266,11601,2970,4109,1490,4096,399,112,52,66,21,148,4822,1728,337,1018,459,1280,7344,3031,770,1051,497,1995,286763,114735,23222,41079,30897,76830,22968,8136,1717,4448,2300,6367
40,CA,06,,,,,040A0US06,California -- In metropolitan or micropolitan statistical area,29297569,14421978,2036041,40941,267467,645646,839349,81999,149117,11522,2910587,168375,275724,693007,691702,202293,636356,243130,2573481,250000,260711,546358,512995,167676,515102,320639,4733459,511597,384236,967968,1020293,349666,898769,600930,2168410,266147,142434,395937,425205,157515,410232,370940,14875591,1903287,25087,182478,496347,876061,107486,200939,14889,2763135,123546,200181,509022,657726,240440,720032,312188,2557559,235031,215241,457834,513456,211013,562825,362159,4901361,542240,343543,960349,1095225,451703,953055,555246,2750249,416509,210240,678443,574152,196584,412150,262171,25358241,12385937,308485,205768,459187,222679,258450,186033,265981,352641,2603270,680521,1969674,877150,2460459,968335,326765,240539,12972304,362241,231314,492048,231723,253904,175222,236620,303459,2605648,778321,2062238,1099740,2648062,1068145,268317,155302,25358241,670726,6071,9190,38260,91600,178079,113882,149461,801774,134534,319868,512354,361255,502601,656100,4632709,576209,1458842,4031912,1976890,5108521,2036480,595082,395841,16043272,7903936,1255641,1643916,2337690,2666689,8139336,1216739,1668612,2625921,2628064,1486626,720127,88803,186125,287646,157553,766499,79147,169829,330491,187032,177595,87327,23194,24894,27510,11729,90268,21489,23117,32637,13025,3848360,1762086,196628,242555,408897,914006,2086274,306864,303429,449660,1026321,98081,47613,7365,15319,16723,8206,50468,7685,14327,19817,8639,2928559,1486827,636957,412251,315208,122411,1441732,604172,357068,335912,144580,775748,378021,50636,78210,133671,115504,397727,50435,69266,145861,132165,11089236,5469709,313660,1017502,1765630,2372917,5619527,299608,1071258,1967325,2281336,8278799,4117962,1631747,1087163,952681,446371,4160837,1570320,997947,1064033,528537,8135924,3996098,1299410,643699,61144,250639,20801,323127,1915516,951725,102547,407269,60880,393095,781172,387093,39128,155403,53688,145860,4139826,1502781,569290,135994,250065,78044,469388,1962724,614556,226385,376983,176946,567854,674321,154729,79439,66835,174030,199288,8679943,453502,552591,290896,451188,888690,840308,70118,688448,1557848,594642,467121,518417,501996,372199,431979,8135924,3321092,644637,1507194,564389,2098612,5294753,2057997,361620,924090,412371,1538675,344585,119548,30021,72928,27364,94724,24754,8954,1908,3869,2321,7702,1940327,933920,210226,401406,87341,307434,16845,5910,1600,3970,1370,3995,266991,91981,21422,57446,22200,73942,247669,102782,17840,43485,11422,72140,4654253,1830800,315877,791531,359323,1356722,974908,343333,72260,202462,79263,277590
40,CA,06,,,,,040C0US06,California -- In metropolitan statistical area,28847088,14191352,2007664,40026,263447,635521,828351,80637,148218,11464,2871859,166846,269773,680040,681236,199162,632427,242375,2539025,247995,256863,535778,503632,165114,510618,319025,4654134,508125,377847,946950,996734,342556,886939,594983,2118670,264222,139212,384579,412463,153252,401006,363936,14655736,1880023,24928,180578,489441,864886,105736,199622,14832,2732780,122758,198095,501597,647962,236929,714875,310564,2528216,233337,213409,452131,504046,207966,557693,359634,4820286,539126,338948,941685,1070436,442352,939932,547807,2694431,414432,206011,662108,559038,191973,404132,256737,24959401,12183688,306543,204265,456474,219906,255380,182215,258572,347528,2547347,662814,1931251,860084,2430990,959299,322767,238253,12775713,360219,229983,490184,229267,251925,172225,231917,300396,2557521,759153,2022329,1079220,2616632,1055828,265239,153675,24959401,666762,6007,9094,37986,90900,176985,113276,148531,798127,133479,315694,507305,354440,490489,647924,4545153,559715,1421967,3953580,1939304,5047622,2015127,588006,391928,15695378,7729564,1235020,1596553,2272424,2625567,7965814,1201244,1625916,2554386,2584268,1480157,714998,87124,184614,286173,157087,765159,78883,169482,330176,186618,166143,81882,22013,22659,25958,11252,84261,20474,21466,30023,12298,3841618,1759138,196081,241969,408186,912902,2082480,306292,302691,448828,1024669,97294,47103,7296,15128,16510,8169,50191,7669,14253,19678,8591,2915133,1479028,633716,410051,313426,121835,1436105,601901,355680,334370,144154,763678,371975,49633,76373,131472,114497,391703,49653,68033,143241,130776,10771767,5312709,299859,975112,1704258,2333480,5459058,288477,1031719,1899894,2238968,8231439,4090885,1621008,1079470,946441,443966,4140554,1563276,993096,1057770,526412,8042683,3951309,1291858,640185,60948,249672,20570,320483,1894509,940978,101140,404561,59771,388059,764942,379311,38241,153038,52101,142251,4091374,1492109,565084,134867,249104,77080,465974,1938396,606869,223126,374451,174058,559892,660869,151328,77934,66010,170719,194878,8579566,450869,541453,287559,445088,878269,834844,69325,679233,1546894,583819,460920,510581,495606,369232,425874,8042683,3283755,636256,1496836,554299,2071537,5209835,2024205,353959,914565,403024,1514082,343705,119121,30005,72838,27264,94477,23550,8452,1854,3725,2176,7343,1937571,932773,209888,401062,87205,306643,16760,5874,1593,3962,1370,3961,265989,91523,21290,57389,22052,73735,245273,101807,17667,43295,11208,71296,4572448,1798160,308497,782478,350166,1333147,970378,341592,71750,201902,78902,276232
40,CA,06,,,,,040C1US06,California -- In metropolitan statistical area -- in principal city,13617953,6697931,947646,21176,119892,275068,401311,36834,86013,7352,1489274,88052,126270,310425,325518,94410,382092,162507,1245064,123460,120149,239067,228337,74340,275919,183792,2095527,243355,169148,399157,421488,146015,419454,296910,920420,124684,61024,159718,165908,61746,179088,168252,6920022,921174,12960,85759,224439,425699,48880,114835,8602,1412718,64932,97667,225795,302967,111803,415842,193712,1214731,117246,103740,199065,222452,93924,283211,195093,2166701,268117,155937,397373,450801,186641,442617,265215,1204698,204322,90862,282464,233721,81279,187958,124092,11749133,5750285,153956,98001,227627,99967,125802,78411,113882,158496,1108367,277843,863408,376511,1256553,509866,170140,131455,5998848,185738,115679,243952,109248,127255,76681,103552,140718,1104697,319623,890318,473647,1329628,550833,142287,84992,11749133,339694,2797,4635,18900,44699,88256,54393,74563,397016,64864,144351,253057,155092,217434,299214,1977422,235642,597466,1753726,850158,2586181,1060699,312427,216447,6910071,3424497,534948,636845,925184,1327520,3485574,531858,641352,1028899,1283465,813105,388862,48203,100712,152206,87741,424243,48356,94371,179982,101534,75137,37903,11136,9435,11804,5528,37234,10251,9170,12099,5714,2133193,981993,113467,131721,220557,516248,1151200,176965,163203,239857,571175,47079,22358,3645,7433,7459,3821,24721,3906,7642,8901,4272,1401346,714629,322171,187856,140444,64158,686717,308051,158352,148047,72267,369202,180043,22572,34365,60108,62998,189159,23436,30607,65803,69313,4726467,2351722,116375,367021,682314,1186012,2374745,115591,387072,753695,1118387,3776347,1882239,766417,479769,413995,222058,1894108,749404,432827,455293,256584,4175754,2068014,781838,398331,33965,141866,10454,197222,938836,472786,49868,187004,27002,202176,347340,171948,17414,66991,22820,68167,2107740,860996,336631,73649,138180,36924,275612,934694,298048,103334,175232,76324,281756,312050,73608,35254,30349,77273,95566,4469145,252308,273121,150439,228907,477427,453409,37882,335183,765657,264451,256333,258160,303255,216280,196333,4175754,1751352,313484,739622,250797,1120499,2610985,1030415,167729,432614,172087,808140,189275,67555,14262,38832,14267,54359,11242,4192,919,1732,858,3541,1087423,540006,110529,214878,47363,174647,8093,3111,606,2096,659,1621,136425,49629,10564,27683,10655,37894,132311,56444,8875,21787,4908,40297,2304399,918763,146961,372796,149289,716590,478642,174378,33826,93780,35533,141125
40,CA,06,,,,,040C2US06,California -- In metropolitan statistical area -- not in principal city,15229135,7493421,1060018,18850,143555,360453,427040,43803,62205,4112,1382585,78794,143503,369615,355718,104752,250335,79868,1293961,124535,136714,296711,275295,90774,234699,135233,2558607,264770,208699,547793,575246,196541,467485,298073,1198250,139538,78188,224861,246555,91506,221918,195684,7735714,958849,11968,94819,265002,439187,56856,84787,6230,1320062,57826,100428,275802,344995,125126,299033,116852,1313485,116091,109669,253066,281594,114042,274482,164541,2653585,271009,183011,544312,619635,255711,497315,282592,1489733,210110,115149,379644,325317,110694,216174,132645,13210268,6433403,152587,106264,228847,119939,129578,103804,144690,189032,1438980,384971,1067843,483573,1174437,449433,152627,106798,6776865,174481,114304,246232,120019,124670,95544,128365,159678,1452824,439530,1132011,605573,1287004,504995,122952,68683,13210268,327068,3210,4459,19086,46201,88729,58883,73968,401111,68615,171343,254248,199348,273055,348710,2567731,324073,824501,2199854,1089146,2461441,954428,275579,175481,8785307,4305067,700072,959708,1347240,1298047,4480240,669386,984564,1525487,1300803,667052,326136,38921,83902,133967,69346,340916,30527,75111,150194,85084,91006,43979,10877,13224,14154,5724,47027,10223,12296,17924,6584,1708425,777145,82614,110248,187629,396654,931280,129327,139488,208971,453494,50215,24745,3651,7695,9051,4348,25470,3763,6611,10777,4319,1513787,764399,311545,222195,172982,57677,749388,293850,197328,186323,71887,394476,191932,27061,42008,71364,51499,202544,26217,37426,77438,61463,6045300,2960987,183484,608091,1021944,1147468,3084313,172886,644647,1146199,1120581,4455092,2208646,854591,599701,532446,221908,2246446,813872,560269,602477,269828,3866929,1883295,510020,241854,26983,107806,10116,123261,955673,468192,51272,217557,32769,185883,417602,207363,20827,86047,29281,74084,1983634,631113,228453,61218,110924,40156,190362,1003702,308821,119792,199219,97734,278136,348819,77720,42680,35661,93446,99312,4110421,198561,268332,137120,216181,400842,381435,31443,344050,781237,319368,204587,252421,192351,152952,229541,3866929,1532403,322772,757214,303502,951038,2598850,993790,186230,481951,230937,705942,154430,51566,15743,34006,12997,40118,12308,4260,935,1993,1318,3802,850148,392767,99359,186184,39842,131996,8667,2763,987,1866,711,2340,129564,41894,10726,29706,11397,35841,112962,45363,8792,21508,6300,30999,2268049,879397,161536,409682,200877,616557,491736,167214,37924,108122,43369,135107
40,CA,06,,,,,040E0US06,California -- In micropolitan statistical area,450481,230626,28377,915,4020,10125,10998,1362,899,58,38728,1529,5951,12967,10466,3131,3929,755,34456,2005,3848,10580,9363,2562,4484,1614,79325,3472,6389,21018,23559,7110,11830,5947,49740,1925,3222,11358,12742,4263,9226,7004,219855,23264,159,1900,6906,11175,1750,1317,57,30355,788,2086,7425,9764,3511,5157,1624,29343,1694,1832,5703,9410,3047,5132,2525,81075,3114,4595,18664,24789,9351,13123,7439,55818,2077,4229,16335,15114,4611,8018,5434,398840,202249,1942,1503,2713,2773,3070,3818,7409,5113,55923,17707,38423,17066,29469,9036,3998,2286,196591,2022,1331,1864,2456,1979,2997,4703,3063,48127,19168,39909,20520,31430,12317,3078,1627,398840,3964,64,96,274,700,1094,606,930,3647,1055,4174,5049,6815,12112,8176,87556,16494,36875,78332,37586,60899,21353,7076,3913,347894,174372,20621,47363,65266,41122,173522,15495,42696,71535,43796,6469,5129,1679,1511,1473,466,1340,264,347,315,414,11452,5445,1181,2235,1552,477,6007,1015,1651,2614,727,6742,2948,547,586,711,1104,3794,572,738,832,1652,787,510,69,191,213,37,277,16,74,139,48,13426,7799,3241,2200,1782,576,5627,2271,1388,1542,426,12070,6046,1003,1837,2199,1007,6024,782,1233,2620,1389,317469,157000,13801,42390,61372,39437,160469,11131,39539,67431,42368,47360,27077,10739,7693,6240,2405,20283,7044,4851,6263,2125,93241,44789,7552,3514,196,967,231,2644,21007,10747,1407,2708,1109,5036,16230,7782,887,2365,1587,3609,48452,10672,4206,1127,961,964,3414,24328,7687,3259,2532,2888,7962,13452,3401,1505,825,3311,4410,100377,2633,11138,3337,6100,10421,5464,793,9215,10954,10823,6201,7836,6390,2967,6105,93241,37337,8381,10358,10090,27075,84918,33792,7661,9525,9347,24593,880,427,16,90,100,247,1204,502,54,144,145,359,2756,1147,338,344,136,791,85,36,7,8,0,34,1002,458,132,57,148,207,2396,975,173,190,214,844,81805,32640,7380,9053,9157,23575,4530,1741,510,560,361,1358
40,CA,06,,,,,040E1US06,California -- In micropolitan statistical area -- in principal city,126884,67275,12054,392,1651,3919,5142,605,319,26,14676,783,3213,4482,3467,923,1553,255,11403,900,1427,3591,2906,891,1267,421,19319,1191,1847,5048,5465,1467,2757,1544,9823,492,663,2382,2356,721,1632,1577,59609,9111,58,424,2266,4950,692,721,0,9691,238,913,2053,2700,1089,1949,749,8533,636,561,1692,2318,868,1531,927,19329,892,1323,4414,5884,1994,2903,1919,12945,590,1000,3847,3275,1023,1931,1279,105719,55221,476,465,1362,1063,1242,1461,2778,1669,15503,4915,9279,4002,7209,2107,1116,574,50498,499,382,601,874,621,958,1354,864,12006,5094,9083,4974,8314,3615,929,330,105719,975,13,0,171,212,216,235,519,1444,412,1525,1863,2419,4132,2533,22370,5139,10009,18362,8976,15523,5722,2045,904,89426,45684,7334,12765,15670,9915,43742,4555,10278,17334,11575,3497,2883,1147,876,678,182,614,76,137,120,281,2283,1043,215,411,245,172,1240,178,357,535,170,2496,1250,293,290,314,353,1246,213,353,184,496,370,255,43,102,102,8,115,0,40,60,15,4442,2636,1294,651,547,144,1806,944,535,275,52,3205,1470,190,408,640,232,1735,187,306,643,599,78827,38618,4095,10638,14448,9437,40209,3263,9354,16471,11121,16103,10243,4732,2949,1904,658,5860,2361,1489,1323,687,24194,11006,2623,1342,111,338,78,754,5174,2562,376,633,265,1338,3209,1497,162,489,366,695,13188,4020,1801,412,251,370,1186,5958,1965,828,509,724,1932,3210,672,435,233,949,921,26177,741,3044,674,1535,2981,1252,204,2550,2674,2957,1847,1649,1494,877,1698,24194,9839,2324,2453,2752,6826,21490,8557,2142,2191,2479,6121,463,239,14,30,83,97,342,137,2,44,43,116,849,349,122,123,57,198,23,8,7,8,0,0,196,134,0,12,19,31,831,415,37,45,71,263,20558,8179,1979,2128,2404,5868,1345,610,185,75,106,369
40,CA,06,,,,,040E2US06,California -- In micropolitan statistical area -- not in principal city,323597,163351,16323,523,2369,6206,5856,757,580,32,24052,746,2738,8485,6999,2208,2376,500,23053,1105,2421,6989,6457,1671,3217,1193,60006,2281,4542,15970,18094,5643,9073,4403,39917,1433,2559,8976,10386,3542,7594,5427,160246,14153,101,1476,4640,6225,1058,596,57,20664,550,1173,5372,7064,2422,3208,875,20810,1058,1271,4011,7092,2179,3601,1598,61746,2222,3272,14250,18905,7357,10220,5520,42873,1487,3229,12488,11839,3588,6087,4155,293121,147028,1466,1038,1351,1710,1828,2357,4631,3444,40420,12792,29144,13064,22260,6929,2882,1712,146093,1523,949,1263,1582,1358,2039,3349,2199,36121,14074,30826,15546,23116,8702,2149,1297,293121,2989,51,96,103,488,878,371,411,2203,643,2649,3186,4396,7980,5643,65186,11355,26866,59970,28610,45376,15631,5031,3009,258468,128688,13287,34598,49596,31207,129780,10940,32418,54201,32221,2972,2246,532,635,795,284,726,188,210,195,133,9169,4402,966,1824,1307,305,4767,837,1294,2079,557,4246,1698,254,296,397,751,2548,359,385,648,1156,417,255,26,89,111,29,162,16,34,79,33,8984,5163,1947,1549,1235,432,3821,1327,853,1267,374,8865,4576,813,1429,1559,775,4289,595,927,1977,790,238642,118382,9706,31752,46924,30000,120260,7868,30185,50960,31247,31257,16834,6007,4744,4336,1747,14423,4683,3362,4940,1438,69047,33783,4929,2172,85,629,153,1890,15833,8185,1031,2075,844,3698,13021,6285,725,1876,1221,2914,35264,6652,2405,715,710,594,2228,18370,5722,2431,2023,2164,6030,10242,2729,1070,592,2362,3489,74200,1892,8094,2663,4565,7440,4212,589,6665,8280,7866,4354,6187,4896,2090,4407,69047,27498,6057,7905,7338,20249,63428,25235,5519,7334,6868,18472,417,188,2,60,17,150,862,365,52,100,102,243,1907,798,216,221,79,593,62,28,0,0,0,34,806,324,132,45,129,176,1565,560,136,145,143,581,61247,24461,5401,6925,6753,17707,3185,1131,325,485,255,989
