SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B15001_001,B15001_002,B15001_003,B15001_004,B15001_005,B15001_006,B15001_007,B15001_008,B15001_009,B15001_010,B15001_011,B15001_012,B15001_013,B15001_014,B15001_015,B15001_016,B15001_017,B15001_018,B15001_019,B15001_020,B15001_021,B15001_022,B15001_023,B15001_024,B15001_025,B15001_026,B15001_027,B15001_028,B15001_029,B15001_030,B15001_031,B15001_032,B15001_033,B15001_034,B15001_035,B15001_036,B15001_037,B15001_038,B15001_039,B15001_040,B15001_041,B15001_042,B15001_043,B15001_044,B15001_045,B15001_046,B15001_047,B15001_048,B15001_049,B15001_050,B15001_051,B15001_052,B15001_053,B15001_054,B15001_055,B15001_056,B15001_057,B15001_058,B15001_059,B15001_060,B15001_061,B15001_062,B15001_063,B15001_064,B15001_065,B15001_066,B15001_067,B15001_068,B15001_069,B15001_070,B15001_071,B15001_072,B15001_073,B15001_074,B15001_075,B15001_076,B15001_077,B15001_078,B15001_079,B15001_080,B15001_081,B15001_082,B15001_083,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_013,B15003_014,B15003_015,B15003_016,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,C15002F_001,C15002F_002,C15002F_003,C15002F_004,C15002F_005,C15002F_006,C15002F_007,C15002F_008,C15002F_009,C15002F_010,C15002F_011,C15002G_001,C15002G_002,C15002G_003,C15002G_004,C15002G_005,C15002G_006,C15002G_007,C15002G_008,C15002G_009,C15002G_010,C15002G_011,C15002H_001,C15002H_002,C15002H_003,C15002H_004,C15002H_005,C15002H_006,C15002H_007,C15002H_008,C15002H_009,C15002H_010,C15002H_011,C15002I_001,C15002I_002,C15002I_003,C15002I_004,C15002I_005,C15002I_006,C15002I_007,C15002I_008,C15002I_009,C15002I_010,C15002I_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010,B15012_011,B15012_012,B15012_013,B15012_014,B15012_015,B15012_016,C15010_001,C15010_002,C15010_003,C15010_004,C15010_005,C15010_006,C15010A_001,C15010A_002,C15010A_003,C15010A_004,C15010A_005,C15010A_006,C15010B_001,C15010B_002,C15010B_003,C15010B_004,C15010B_005,C15010B_006,C15010C_001,C15010C_002,C15010C_003,C15010C_004,C15010C_005,C15010C_006,C15010D_001,C15010D_002,C15010D_003,C15010D_004,C15010D_005,C15010D_006,C15010E_001,C15010E_002,C15010E_003,C15010E_004,C15010E_005,C15010E_006,C15010F_001,C15010F_002,C15010F_003,C15010F_004,C15010F_005,C15010F_006,C15010G_001,C15010G_002,C15010G_003,C15010G_004,C15010G_005,C15010G_006,C15010H_001,C15010H_002,C15010H_003,C15010H_004,C15010H_005,C15010H_006,C15010I_001,C15010I_002,C15010I_003,C15010I_004,C15010I_005,C15010I_006
40,DE,10,,,,,04000US10,Delaware,730503,348722,44959,1090,7285,15932,15235,1695,3271,451,61097,2753,5408,18399,12031,4333,12498,5675,53713,2519,4434,15918,10286,3726,9828,7002,120668,3956,8865,41656,22595,8392,20982,14222,68285,3904,6148,20567,12267,3761,10996,10642,381781,44629,532,4548,13188,18613,2117,5297,334,61588,2021,3951,13714,13677,5333,14660,8232,56754,1853,3289,13964,11062,4904,12520,9162,133262,2810,7502,41059,27497,13442,23911,17041,85548,4298,8035,34184,15381,5700,10375,7575,640915,303763,3845,1726,2486,5075,4265,7455,7741,5394,96540,17928,39251,20212,54304,24378,6578,6585,337152,3255,1407,2490,3830,4430,6664,6987,4696,102921,22015,45602,29379,61466,32859,5072,4079,640915,7100,94,83,296,653,1035,972,1193,3783,2601,6304,8695,14119,14728,10090,176928,22533,39943,84853,49591,115770,57237,11650,10664,467993,224065,25549,70841,57377,70298,243928,21618,76911,68895,76504,127036,57350,8458,21545,16259,11088,69686,8301,21597,23077,16711,2374,1252,287,334,355,276,1122,252,330,364,176,23472,11211,866,832,1116,8397,12261,1196,1421,1811,7833,285,174,23,110,32,9,111,52,22,13,24,11369,6043,2205,2004,972,862,5326,1891,1456,1059,920,8386,3668,599,874,1280,915,4718,449,1184,1777,1308,440058,209519,19804,66468,54618,68629,230539,16788,73507,66027,74217,42852,22207,8416,6975,4100,2716,20645,7061,5420,4426,3738,195321,91845,26377,12404,1239,6524,1080,5130,43830,19451,1702,11818,2866,7993,21638,10250,954,4728,2396,3310,103476,34112,11671,4071,6435,4539,7396,51414,13212,7442,11683,9478,9599,17950,3395,2416,1626,6310,4203,208837,9697,12644,9528,9084,15531,17204,2281,19255,44355,27532,8451,9668,6010,5008,12589,195321,70383,17824,42814,26669,37631,146802,50152,13234,31351,22116,29949,27799,8340,2874,7878,3464,5243,452,156,41,86,43,126,16230,10121,1450,2552,526,1581,33,25,2,6,0,0,1782,626,158,346,308,344,2223,963,65,595,212,388,142846,48721,12941,30465,21591,29128,6454,2114,484,1644,981,1231
40,DE,10,,,,,04001US10,Delaware -- Urban,602063,285699,38273,839,6067,13142,13489,1352,2933,451,52186,2195,4432,15005,10486,3510,11350,5208,45448,2054,3474,12841,8669,3042,8752,6616,96260,3083,6366,31707,18273,6399,18033,12399,53532,2766,4536,15298,9913,2984,8977,9058,316364,38791,383,3824,11419,16453,1713,4691,308,53730,1543,3440,11564,11967,4455,13130,7631,47401,1427,2515,11292,9374,3893,10784,8116,107762,2408,5632,31406,22860,10243,20570,14643,68680,3222,6362,26923,12287,4649,8798,6439,524999,247426,3260,1357,2053,3428,3258,5572,5799,4179,74851,14658,32683,15935,47112,21902,5434,5945,277573,2602,1207,2026,2765,3507,5043,5652,3747,81185,18024,38464,23240,53282,28581,4551,3697,524999,5862,71,73,276,465,835,844,1071,3008,1906,4287,6765,10615,11451,7926,138387,17649,32682,71147,39175,100394,50483,9985,9642,367393,175058,18058,51730,45032,60238,192335,16020,57603,53941,64771,115638,51837,7265,19370,14853,10349,63801,7127,19639,21247,15788,1744,859,164,185,267,243,885,223,193,320,149,21933,10609,849,773,1059,7928,11324,1119,1272,1661,7272,266,170,22,110,29,9,96,52,7,13,24,10627,5676,2042,1918,911,805,4951,1695,1420,959,877,7398,3217,506,765,1125,821,4181,313,1051,1587,1230,343456,162800,13042,48261,42736,58761,180656,11835,54646,51425,62750,37812,19342,7401,5958,3537,2446,18470,6185,4929,3922,3434,170504,80393,24157,11584,1139,5876,908,4650,38201,17048,1477,10379,2417,6880,18035,8676,800,3907,2057,2595,90111,30551,10567,3550,5879,3966,6589,44323,11551,6456,10043,7893,8380,15237,2893,2025,1435,5265,3619,182302,8627,10677,8598,8089,13730,15571,1916,16625,38840,23249,7411,8477,5376,4384,10732,170504,62319,15447,37519,22506,32713,125009,43157,11084,26751,18331,25686,26137,7954,2786,7340,3148,4909,392,133,40,84,37,98,15200,9572,1316,2448,519,1345,33,25,2,6,0,0,1682,585,156,329,287,325,2051,893,63,561,184,350,121511,41859,10894,25919,17869,24970,5880,1927,371,1586,889,1107
40,DE,10,,,,,04043US10,Delaware -- Rural,128440,63023,6686,251,1218,2790,1746,343,338,0,8911,558,976,3394,1545,823,1148,467,8265,465,960,3077,1617,684,1076,386,24408,873,2499,9949,4322,1993,2949,1823,14753,1138,1612,5269,2354,777,2019,1584,65417,5838,149,724,1769,2160,404,606,26,7858,478,511,2150,1710,878,1530,601,9353,426,774,2672,1688,1011,1736,1046,25500,402,1870,9653,4637,3199,3341,2398,16868,1076,1673,7261,3094,1051,1577,1136,115916,56337,585,369,433,1647,1007,1883,1942,1215,21689,3270,6568,4277,7192,2476,1144,640,59579,653,200,464,1065,923,1621,1335,949,21736,3991,7138,6139,8184,4278,521,382,115916,1238,23,10,20,188,200,128,122,775,695,2017,1930,3504,3277,2164,38541,4884,7261,13706,10416,15376,6754,1665,1022,100600,49007,7491,19111,12345,10060,51593,5598,19308,14954,11733,11398,5513,1193,2175,1406,739,5885,1174,1958,1830,923,630,393,123,149,88,33,237,29,137,44,27,1539,602,17,59,57,469,937,77,149,150,561,19,4,1,0,3,0,15,0,15,0,0,742,367,163,86,61,57,375,196,36,100,43,988,451,93,109,155,94,537,136,133,190,78,96602,46719,6762,18207,11882,9868,49883,4953,18861,14602,11467,5040,2865,1015,1017,563,270,2175,876,491,504,304,24817,11452,2220,820,100,648,172,480,5629,2403,225,1439,449,1113,3603,1574,154,821,339,715,13365,3561,1104,521,556,573,807,7091,1661,986,1640,1585,1219,2713,502,391,191,1045,584,26535,1070,1967,930,995,1801,1633,365,2630,5515,4283,1040,1191,634,624,1857,24817,8064,2377,5295,4163,4918,21793,6995,2150,4600,3785,4263,1662,386,88,538,316,334,60,23,1,2,6,28,1030,549,134,104,7,236,0,0,0,0,0,0,100,41,2,17,21,19,172,70,2,34,28,38,21335,6862,2047,4546,3722,4158,574,187,113,58,92,124
40,DE,10,,,,,040A0US10,Delaware -- In metropolitan or micropolitan statistical area,730503,348722,44959,1090,7285,15932,15235,1695,3271,451,61097,2753,5408,18399,12031,4333,12498,5675,53713,2519,4434,15918,10286,3726,9828,7002,120668,3956,8865,41656,22595,8392,20982,14222,68285,3904,6148,20567,12267,3761,10996,10642,381781,44629,532,4548,13188,18613,2117,5297,334,61588,2021,3951,13714,13677,5333,14660,8232,56754,1853,3289,13964,11062,4904,12520,9162,133262,2810,7502,41059,27497,13442,23911,17041,85548,4298,8035,34184,15381,5700,10375,7575,640915,303763,3845,1726,2486,5075,4265,7455,7741,5394,96540,17928,39251,20212,54304,24378,6578,6585,337152,3255,1407,2490,3830,4430,6664,6987,4696,102921,22015,45602,29379,61466,32859,5072,4079,640915,7100,94,83,296,653,1035,972,1193,3783,2601,6304,8695,14119,14728,10090,176928,22533,39943,84853,49591,115770,57237,11650,10664,467993,224065,25549,70841,57377,70298,243928,21618,76911,68895,76504,127036,57350,8458,21545,16259,11088,69686,8301,21597,23077,16711,2374,1252,287,334,355,276,1122,252,330,364,176,23472,11211,866,832,1116,8397,12261,1196,1421,1811,7833,285,174,23,110,32,9,111,52,22,13,24,11369,6043,2205,2004,972,862,5326,1891,1456,1059,920,8386,3668,599,874,1280,915,4718,449,1184,1777,1308,440058,209519,19804,66468,54618,68629,230539,16788,73507,66027,74217,42852,22207,8416,6975,4100,2716,20645,7061,5420,4426,3738,195321,91845,26377,12404,1239,6524,1080,5130,43830,19451,1702,11818,2866,7993,21638,10250,954,4728,2396,3310,103476,34112,11671,4071,6435,4539,7396,51414,13212,7442,11683,9478,9599,17950,3395,2416,1626,6310,4203,208837,9697,12644,9528,9084,15531,17204,2281,19255,44355,27532,8451,9668,6010,5008,12589,195321,70383,17824,42814,26669,37631,146802,50152,13234,31351,22116,29949,27799,8340,2874,7878,3464,5243,452,156,41,86,43,126,16230,10121,1450,2552,526,1581,33,25,2,6,0,0,1782,626,158,346,308,344,2223,963,65,595,212,388,142846,48721,12941,30465,21591,29128,6454,2114,484,1644,981,1231
40,DE,10,,,,,040C0US10,Delaware -- In metropolitan statistical area,730503,348722,44959,1090,7285,15932,15235,1695,3271,451,61097,2753,5408,18399,12031,4333,12498,5675,53713,2519,4434,15918,10286,3726,9828,7002,120668,3956,8865,41656,22595,8392,20982,14222,68285,3904,6148,20567,12267,3761,10996,10642,381781,44629,532,4548,13188,18613,2117,5297,334,61588,2021,3951,13714,13677,5333,14660,8232,56754,1853,3289,13964,11062,4904,12520,9162,133262,2810,7502,41059,27497,13442,23911,17041,85548,4298,8035,34184,15381,5700,10375,7575,640915,303763,3845,1726,2486,5075,4265,7455,7741,5394,96540,17928,39251,20212,54304,24378,6578,6585,337152,3255,1407,2490,3830,4430,6664,6987,4696,102921,22015,45602,29379,61466,32859,5072,4079,640915,7100,94,83,296,653,1035,972,1193,3783,2601,6304,8695,14119,14728,10090,176928,22533,39943,84853,49591,115770,57237,11650,10664,467993,224065,25549,70841,57377,70298,243928,21618,76911,68895,76504,127036,57350,8458,21545,16259,11088,69686,8301,21597,23077,16711,2374,1252,287,334,355,276,1122,252,330,364,176,23472,11211,866,832,1116,8397,12261,1196,1421,1811,7833,285,174,23,110,32,9,111,52,22,13,24,11369,6043,2205,2004,972,862,5326,1891,1456,1059,920,8386,3668,599,874,1280,915,4718,449,1184,1777,1308,440058,209519,19804,66468,54618,68629,230539,16788,73507,66027,74217,42852,22207,8416,6975,4100,2716,20645,7061,5420,4426,3738,195321,91845,26377,12404,1239,6524,1080,5130,43830,19451,1702,11818,2866,7993,21638,10250,954,4728,2396,3310,103476,34112,11671,4071,6435,4539,7396,51414,13212,7442,11683,9478,9599,17950,3395,2416,1626,6310,4203,208837,9697,12644,9528,9084,15531,17204,2281,19255,44355,27532,8451,9668,6010,5008,12589,195321,70383,17824,42814,26669,37631,146802,50152,13234,31351,22116,29949,27799,8340,2874,7878,3464,5243,452,156,41,86,43,126,16230,10121,1450,2552,526,1581,33,25,2,6,0,0,1782,626,158,346,308,344,2223,963,65,595,212,388,142846,48721,12941,30465,21591,29128,6454,2114,484,1644,981,1231
40,DE,10,,,,,040C1US10,Delaware -- In metropolitan statistical area -- in principal city,83910,38593,6777,166,1061,2173,2974,110,248,45,8698,453,1237,2489,1792,396,1772,559,6050,217,758,2042,1188,345,872,628,11594,300,1211,4582,1963,538,1807,1193,5474,451,694,1526,913,255,754,881,45317,7391,120,566,2049,3776,153,657,70,8819,206,610,2322,2190,371,1807,1313,6942,169,546,2112,1507,401,1248,959,13222,463,1301,4217,2756,881,1810,1794,8943,646,1215,3051,1524,494,1160,853,69742,31816,531,160,244,486,520,1314,1287,779,10639,1390,4466,1534,5205,1914,796,551,37926,427,163,260,634,717,1026,1314,615,11702,1881,6096,2147,6025,3495,844,580,69742,958,0,31,22,50,92,128,111,393,352,768,1237,2340,2601,1394,19243,3098,3271,10562,3681,11230,5409,1640,1131,30778,14824,1684,3690,3736,5714,15954,1789,3963,3503,6699,33575,14507,2956,6162,3296,2093,19068,2814,7019,5834,3401,180,55,0,17,0,38,125,0,48,66,11,1278,561,117,46,114,284,717,109,96,140,372,67,54,0,51,0,3,13,0,0,0,13,2524,1335,473,543,152,167,1189,399,352,210,228,1340,480,91,130,92,167,860,45,224,371,220,27579,13235,1194,3146,3365,5530,14344,1218,3550,3249,6327,6509,3171,1007,1194,521,449,3338,991,945,621,781,19410,8466,3139,1227,87,993,147,685,3692,1521,126,1064,210,771,1635,690,90,283,211,361,10944,4388,1393,412,862,627,1094,4543,1353,536,910,797,947,2013,327,236,224,578,648,20829,796,1132,940,901,1851,1255,236,1601,4541,2655,909,1203,783,583,1443,19410,6511,1487,4336,2570,4506,12413,4356,899,2458,1495,3205,5494,1515,433,1579,877,1090,49,26,0,5,0,18,656,406,47,93,46,64,16,16,0,0,0,0,395,71,83,86,109,46,387,121,25,115,43,83,11857,4155,874,2281,1408,3139,1230,312,114,385,296,123
40,DE,10,,,,,040C2US10,Delaware -- In metropolitan statistical area -- not in principal city,646593,310129,38182,924,6224,13759,12261,1585,3023,406,52399,2300,4171,15910,10239,3937,10726,5116,47663,2302,3676,13876,9098,3381,8956,6374,109074,3656,7654,37074,20632,7854,19175,13029,62811,3453,5454,19041,11354,3506,10242,9761,336464,37238,412,3982,11139,14837,1964,4640,264,52769,1815,3341,11392,11487,4962,12853,6919,49812,1684,2743,11852,9555,4503,11272,8203,120040,2347,6201,36842,24741,12561,22101,15247,76605,3652,6820,31133,13857,5206,9215,6722,571173,271947,3314,1566,2242,4589,3745,6141,6454,4615,85901,16538,34785,18678,49099,22464,5782,6034,299226,2828,1244,2230,3196,3713,5638,5673,4081,91219,20134,39506,27232,55441,29364,4228,3499,571173,6142,94,52,274,603,943,844,1082,3390,2249,5536,7458,11779,12127,8696,157685,19435,36672,74291,45910,104540,51828,10010,9533,437215,209241,23865,67151,53641,64584,227974,19829,72948,65392,69805,93461,42843,5502,15383,12963,8995,50618,5487,14578,17243,13310,2194,1197,287,317,355,238,997,252,282,298,165,22194,10650,749,786,1002,8113,11544,1087,1325,1671,7461,218,120,23,59,32,6,98,52,22,13,11,8845,4708,1732,1461,820,695,4137,1492,1104,849,692,7046,3188,508,744,1188,748,3858,404,960,1406,1088,412479,196284,18610,63322,51253,63099,216195,15570,69957,62778,67890,36343,19036,7409,5781,3579,2267,17307,6070,4475,3805,2957,175911,83379,23238,11177,1152,5531,933,4445,40138,17930,1576,10754,2656,7222,20003,9560,864,4445,2185,2949,92532,29724,10278,3659,5573,3912,6302,46871,11859,6906,10773,8681,8652,15937,3068,2180,1402,5732,3555,188008,8901,11512,8588,8183,13680,15949,2045,17654,39814,24877,7542,8465,5227,4425,11146,175911,63872,16337,38478,24099,33125,134389,45796,12335,28893,20621,26744,22305,6825,2441,6299,2587,4153,403,130,41,81,43,108,15574,9715,1403,2459,480,1517,17,9,2,6,0,0,1387,555,75,260,199,298,1836,842,40,480,169,305,130989,44566,12067,28184,20183,25989,5224,1802,370,1259,685,1108
50,DE,10,001,,,,05000US10001,"Kent County, Delaware",130984,62081,9394,212,1599,3313,3526,305,432,7,11033,555,1131,3532,2888,919,1498,510,9404,386,702,3219,2229,709,1204,955,20454,786,2102,7515,4002,1620,2664,1765,11796,942,1024,3884,2376,815,1538,1217,68903,9206,173,1015,2032,4432,612,867,75,11412,535,697,2724,2990,1124,2347,995,10624,288,627,3238,2015,1090,2220,1146,22882,482,1804,7536,5084,2398,3320,2258,14779,979,1687,6081,2733,951,1412,936,112384,52687,895,134,375,1265,715,1394,1742,1108,18150,3214,8281,4063,6904,2851,756,840,59697,707,216,351,1010,1044,1438,1436,897,19579,3897,8925,5563,9299,4429,576,330,112384,1602,23,5,45,45,106,126,262,464,462,1813,1759,2832,3178,2005,32512,5217,7111,17206,9626,16203,7280,1332,1170,80709,38536,5702,13575,11072,8187,42173,5076,14727,12221,10149,24845,11228,1526,3731,3554,2417,13617,1514,3764,4965,3374,912,418,69,173,118,58,494,146,192,118,38,2340,969,131,164,200,474,1371,154,291,301,625,81,66,1,59,3,3,15,0,0,6,9,1352,645,107,208,242,88,707,109,218,213,167,2145,825,92,240,369,124,1320,100,387,561,272,77133,36722,5131,13173,10479,7939,40411,4500,14368,11677,9866,5872,2900,739,813,888,460,2972,803,724,861,584,25985,11351,3008,991,141,779,133,964,5588,1890,249,1693,562,1194,2755,1147,159,503,422,524,14634,4988,1642,573,894,920,959,7298,1850,1204,1733,1448,1063,2348,330,339,220,894,565,27645,1048,1783,950,1181,1777,1324,530,2840,6074,4447,713,1428,687,526,2337,25985,7850,2665,5822,4379,5269,18336,5466,1864,3719,3482,3805,5791,1498,651,1631,814,1197,96,50,17,21,0,8,1099,582,100,277,52,88,12,12,0,0,0,0,255,87,15,75,11,67,396,155,18,99,20,104,17805,5258,1840,3632,3363,3712,1044,329,52,221,238,204
50,DE,10,003,,,,05000US10003,"New Castle County, Delaware",429598,205145,27997,548,4192,9506,9754,1146,2465,386,38989,1374,3127,10708,7172,2427,9698,4483,33890,1307,2614,8810,6234,2068,7365,5492,71522,1952,3908,23650,13611,4480,14150,9771,32747,1777,2835,9374,5540,1718,5616,5887,224453,28285,251,2840,8491,11681,1067,3710,245,39190,677,2257,8379,8250,2720,10518,6389,35302,859,1717,7473,6985,2582,8753,6933,78312,1860,3447,22538,16063,6992,16014,11398,43364,2020,3880,16957,7856,2855,5829,3967,373316,177148,1871,961,1233,2345,2260,3768,3585,2871,52542,10233,22324,10693,36829,16580,4222,4831,196168,1683,702,1383,1648,2111,3263,3431,2496,55347,12981,26173,15149,41114,21935,3557,3195,373316,3554,70,46,194,327,512,514,655,1961,1238,2755,4371,7031,7016,5367,96520,11369,23214,48497,25842,77943,38515,7779,8026,254661,122225,11281,35628,29920,45396,132436,9565,38152,35730,48989,85478,38322,4857,14318,11101,8046,47156,4647,14629,15478,12402,869,479,73,60,160,186,390,59,72,166,93,19498,9543,614,542,840,7547,9955,919,845,1405,6786,143,80,22,23,29,6,63,36,5,7,15,8148,4492,1727,1481,609,675,3656,1285,1082,668,621,4519,2007,320,490,591,606,2512,206,562,849,895,237708,113541,7958,32914,28481,44188,124167,6710,35811,34178,47468,27314,14117,5360,4497,2306,1954,13197,4313,3755,2577,2552,132263,62462,20516,10244,948,5138,646,3540,30443,14483,1155,8155,1667,4983,11503,6164,493,2404,928,1514,69801,25098,8817,2979,4849,2961,5492,34907,9390,4813,8203,5641,6860,9796,1988,1332,964,3027,2485,141462,7578,8477,7361,6129,10242,13696,1285,12634,30759,15445,6209,6061,4309,3545,7732,132263,51086,11720,29713,14870,24874,94385,34439,8117,20848,11611,19370,20448,6239,2187,6021,2399,3602,279,82,17,48,35,97,14333,9185,1212,2159,440,1337,21,13,2,6,0,0,1296,465,140,249,248,194,1501,663,45,382,137,274,91656,33424,7899,20266,11302,18765,4506,1500,364,1199,592,851
50,DE,10,005,,,,05000US10005,"Sussex County, Delaware",169921,81496,7568,330,1494,3113,1955,244,374,58,11075,824,1150,4159,1971,987,1302,682,10419,826,1118,3889,1823,949,1259,555,28692,1218,2855,10491,4982,2292,4168,2686,23742,1185,2289,7309,4351,1228,3842,3538,88425,7138,108,693,2665,2500,438,720,14,10986,809,997,2611,2437,1489,1795,848,10828,706,945,3253,2062,1232,1547,1083,32068,468,2251,10985,6350,4052,4577,3385,27405,1299,2468,11146,4792,1894,3134,2672,155215,73928,1079,631,878,1465,1290,2293,2414,1415,25848,4481,8646,5456,10571,4947,1600,914,81287,865,489,756,1172,1275,1963,2120,1303,27995,5137,10504,8667,11053,6495,939,554,155215,1944,1,32,57,281,417,332,276,1358,901,1736,2565,4256,4534,2718,47896,5947,9618,19150,14123,21624,11442,2539,1468,132623,63304,8566,21638,16385,16715,69319,6977,24032,20944,17366,16713,7800,2075,3496,1604,625,8913,2140,3204,2634,935,593,355,145,101,77,32,238,47,66,80,45,1634,699,121,126,76,376,935,123,285,105,422,61,28,0,28,0,0,33,16,17,0,0,1869,906,371,315,121,99,963,497,156,178,132,1722,836,187,144,320,185,886,143,235,367,141,125217,59256,6715,20381,15658,16502,65961,5578,23328,20172,16883,9666,5190,2317,1665,906,302,4476,1945,941,988,602,37073,18032,2853,1169,150,607,301,626,7799,3078,298,1970,637,1816,7380,2939,302,1821,1046,1272,19041,4026,1212,519,692,658,945,9209,1972,1425,1747,2389,1676,5806,1077,745,442,2389,1153,39730,1071,2384,1217,1774,3512,2184,466,3781,7522,7640,1529,2179,1014,937,2520,37073,11447,3439,7279,7420,7488,34081,10247,3253,6784,7023,6774,1560,603,36,226,251,444,77,24,7,17,8,21,798,354,138,116,34,156,0,0,0,0,0,0,231,74,3,22,49,83,326,145,2,114,55,10,33385,10039,3202,6567,6926,6651,904,285,68,224,151,176
