SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B15001_001,B15001_002,B15001_003,B15001_004,B15001_005,B15001_006,B15001_007,B15001_008,B15001_009,B15001_010,B15001_011,B15001_012,B15001_013,B15001_014,B15001_015,B15001_016,B15001_017,B15001_018,B15001_019,B15001_020,B15001_021,B15001_022,B15001_023,B15001_024,B15001_025,B15001_026,B15001_027,B15001_028,B15001_029,B15001_030,B15001_031,B15001_032,B15001_033,B15001_034,B15001_035,B15001_036,B15001_037,B15001_038,B15001_039,B15001_040,B15001_041,B15001_042,B15001_043,B15001_044,B15001_045,B15001_046,B15001_047,B15001_048,B15001_049,B15001_050,B15001_051,B15001_052,B15001_053,B15001_054,B15001_055,B15001_056,B15001_057,B15001_058,B15001_059,B15001_060,B15001_061,B15001_062,B15001_063,B15001_064,B15001_065,B15001_066,B15001_067,B15001_068,B15001_069,B15001_070,B15001_071,B15001_072,B15001_073,B15001_074,B15001_075,B15001_076,B15001_077,B15001_078,B15001_079,B15001_080,B15001_081,B15001_082,B15001_083,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_013,B15003_014,B15003_015,B15003_016,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,C15002F_001,C15002F_002,C15002F_003,C15002F_004,C15002F_005,C15002F_006,C15002F_007,C15002F_008,C15002F_009,C15002F_010,C15002F_011,C15002G_001,C15002G_002,C15002G_003,C15002G_004,C15002G_005,C15002G_006,C15002G_007,C15002G_008,C15002G_009,C15002G_010,C15002G_011,C15002H_001,C15002H_002,C15002H_003,C15002H_004,C15002H_005,C15002H_006,C15002H_007,C15002H_008,C15002H_009,C15002H_010,C15002H_011,C15002I_001,C15002I_002,C15002I_003,C15002I_004,C15002I_005,C15002I_006,C15002I_007,C15002I_008,C15002I_009,C15002I_010,C15002I_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010,B15012_011,B15012_012,B15012_013,B15012_014,B15012_015,B15012_016,C15010_001,C15010_002,C15010_003,C15010_004,C15010_005,C15010_006,C15010A_001,C15010A_002,C15010A_003,C15010A_004,C15010A_005,C15010A_006,C15010B_001,C15010B_002,C15010B_003,C15010B_004,C15010B_005,C15010B_006,C15010C_001,C15010C_002,C15010C_003,C15010C_004,C15010C_005,C15010C_006,C15010D_001,C15010D_002,C15010D_003,C15010D_004,C15010D_005,C15010D_006,C15010E_001,C15010E_002,C15010E_003,C15010E_004,C15010E_005,C15010E_006,C15010F_001,C15010F_002,C15010F_003,C15010F_004,C15010F_005,C15010F_006,C15010G_001,C15010G_002,C15010G_003,C15010G_004,C15010G_005,C15010G_006,C15010H_001,C15010H_002,C15010H_003,C15010H_004,C15010H_005,C15010H_006,C15010I_001,C15010I_002,C15010I_003,C15010I_004,C15010I_005,C15010I_006
40,HI,15,,,,,04000US15,Hawaii,1105457,551578,72754,659,5311,31395,26883,3978,4212,316,105921,1139,4847,33682,28251,11200,20983,5819,89474,1837,3985,25366,20609,10034,19221,8422,181512,5277,8659,51655,39650,19846,36201,20224,101917,7408,6712,28712,18881,7332,18248,14624,553879,59758,409,3851,19696,24349,4616,6413,424,97328,998,3703,21438,24142,11549,25570,9928,86766,1112,2720,19970,18412,10921,21799,11832,184330,6722,6933,47317,39493,21648,41164,21053,125697,13922,8969,42443,21790,8460,18526,11587,972945,478824,4849,2459,4093,4260,4113,7065,6841,6184,139415,27378,80013,48412,94653,28680,12626,7783,494121,5588,3016,7693,6457,4691,5654,5516,6464,131168,27284,76553,52578,107059,38753,9705,5942,972945,10437,144,353,455,1030,2025,1468,2247,9539,2731,7986,8804,12719,12357,12648,248106,22477,54662,156566,100990,201712,67433,22331,13725,266725,143057,5798,28594,49291,59374,123668,4546,24146,41015,53961,16137,10400,340,2472,4929,2659,5737,310,742,2974,1711,2164,1151,152,399,469,131,1013,114,213,420,266,421167,189732,20921,51633,58228,58950,231435,29231,59872,64807,77525,86577,43638,5056,20893,12512,5177,42939,5342,17666,13724,6207,8939,5027,646,1680,1725,976,3912,549,1060,1296,1007,171236,85819,6951,33744,28649,16475,85417,4987,27469,32179,20782,244616,131345,4437,24885,45246,56777,113271,3731,21170,37070,51300,69925,35244,4283,12848,11821,6292,34681,3230,10500,13236,7715,305201,143742,41064,18528,2873,9271,1392,9000,69806,31292,3853,16461,4379,13821,32872,15721,1344,7417,3546,4844,161459,53165,16848,6928,10525,5549,13315,78181,21318,10428,15413,12919,18103,30113,5894,3570,2647,11577,6425,322613,11567,22837,10579,17968,32493,20064,2031,30850,63202,40490,14850,14879,13012,10657,17134,305201,109601,28996,61734,39362,65508,113335,45039,9522,18418,12103,28253,4370,1584,312,1158,350,966,397,153,74,45,79,46,136475,44986,14910,32456,20482,23641,11384,3406,829,2342,1903,2904,1983,783,153,469,100,478,37257,13650,3196,6846,4345,9220,108077,43055,9006,17326,11632,27058,14007,5166,1477,2876,1336,3152
40,HI,15,,,,,04001US15,Hawaii -- Urban,1021442,509304,68850,604,4921,29369,25828,3826,3999,303,100090,1057,4537,31086,26904,10762,20224,5520,83648,1792,3777,23115,19244,9245,18384,8091,165088,5011,7822,46512,35471,18400,33196,18676,91628,6720,6166,26373,16487,6720,16326,12836,512138,55901,393,3391,18020,23183,4434,6074,406,91221,937,3420,19900,22163,10980,24242,9579,81050,1086,2599,18376,17004,10055,20701,11229,168123,6451,6588,42851,35606,20004,37680,18943,115843,13151,8444,39400,19751,7646,17008,10443,896691,440454,4667,2217,3851,3845,3781,6526,6093,5902,127086,25349,72757,45127,88130,26517,11507,7099,456237,5421,2831,7313,6060,4444,5263,5119,6225,120527,25021,69503,48685,99631,35829,8893,5472,896691,10088,122,341,448,1000,1810,1327,2063,9101,2413,7492,8225,11789,11212,12127,226516,21097,50370,142260,93812,187761,62346,20400,12571,230169,123966,4979,24433,42336,52218,106203,4002,20522,34617,47062,15754,10173,329,2387,4849,2608,5581,310,722,2931,1618,1841,943,107,380,347,109,898,84,161,407,246,405991,183238,20027,49685,56340,57186,222753,28158,57397,62134,75064,77313,38949,4796,18143,11391,4619,38364,4872,15644,12346,5502,8165,4506,518,1584,1445,959,3659,538,963,1194,964,157458,78679,6126,30474,26525,15554,78779,4712,25118,29580,19369,209910,113147,3655,21072,38546,49874,96763,3221,17869,31002,44671,64383,32399,3928,11718,10920,5833,31984,3069,9487,12295,7133,283078,133253,39432,17742,2745,9054,1313,8578,64659,28658,3519,15587,4061,12834,29162,13863,1202,6856,3024,4217,149825,50673,15937,6692,10135,5198,12711,71701,19069,9662,14548,11846,16576,27451,5391,3205,2378,10793,5684,299345,10566,20389,9586,16730,30289,18617,1857,28788,59951,37230,13882,13508,11853,9921,16178,283078,100660,27025,58558,36235,60600,99280,39138,8400,16748,10263,24731,4226,1545,312,1131,278,960,355,136,68,43,76,32,132250,43369,14337,31642,19798,23104,10121,2926,728,2131,1723,2613,1923,738,153,461,98,473,34923,12808,3027,6402,3999,8687,94545,37376,7886,15789,9911,23583,12966,4681,1474,2680,1122,3009
40,HI,15,,,,,04043US15,Hawaii -- Rural,84015,42274,3904,55,390,2026,1055,152,213,13,5831,82,310,2596,1347,438,759,299,5826,45,208,2251,1365,789,837,331,16424,266,837,5143,4179,1446,3005,1548,10289,688,546,2339,2394,612,1922,1788,41741,3857,16,460,1676,1166,182,339,18,6107,61,283,1538,1979,569,1328,349,5716,26,121,1594,1408,866,1098,603,16207,271,345,4466,3887,1644,3484,2110,9854,771,525,3043,2039,814,1518,1144,76254,38370,182,242,242,415,332,539,748,282,12329,2029,7256,3285,6523,2163,1119,684,37884,167,185,380,397,247,391,397,239,10641,2263,7050,3893,7428,2924,812,470,76254,349,22,12,7,30,215,141,184,438,318,494,579,930,1145,521,21590,1380,4292,14306,7178,13951,5087,1931,1154,36556,19091,819,4161,6955,7156,17465,544,3624,6398,6899,383,227,11,85,80,51,156,0,20,43,93,323,208,45,19,122,22,115,30,52,13,20,15176,6494,894,1948,1888,1764,8682,1073,2475,2673,2461,9264,4689,260,2750,1121,558,4575,470,2022,1378,705,774,521,128,96,280,17,253,11,97,102,43,13778,7140,825,3270,2124,921,6638,275,2351,2599,1413,34706,18198,782,3813,6700,6903,16508,510,3301,6068,6629,5542,2845,355,1130,901,459,2697,161,1013,941,582,22123,10489,1632,786,128,217,79,422,5147,2634,334,874,318,987,3710,1858,142,561,522,627,11634,2492,911,236,390,351,604,6480,2249,766,865,1073,1527,2662,503,365,269,784,741,23268,1001,2448,993,1238,2204,1447,174,2062,3251,3260,968,1371,1159,736,956,22123,8941,1971,3176,3127,4908,14055,5901,1122,1670,1840,3522,144,39,0,27,72,6,42,17,6,2,3,14,4225,1617,573,814,684,537,1263,480,101,211,180,291,60,45,0,8,2,5,2334,842,169,444,346,533,13532,5679,1120,1537,1721,3475,1041,485,3,196,214,143
40,HI,15,,,,,040A0US15,Hawaii -- In metropolitan or micropolitan statistical area,1105457,551578,72754,659,5311,31395,26883,3978,4212,316,105921,1139,4847,33682,28251,11200,20983,5819,89474,1837,3985,25366,20609,10034,19221,8422,181512,5277,8659,51655,39650,19846,36201,20224,101917,7408,6712,28712,18881,7332,18248,14624,553879,59758,409,3851,19696,24349,4616,6413,424,97328,998,3703,21438,24142,11549,25570,9928,86766,1112,2720,19970,18412,10921,21799,11832,184330,6722,6933,47317,39493,21648,41164,21053,125697,13922,8969,42443,21790,8460,18526,11587,972945,478824,4849,2459,4093,4260,4113,7065,6841,6184,139415,27378,80013,48412,94653,28680,12626,7783,494121,5588,3016,7693,6457,4691,5654,5516,6464,131168,27284,76553,52578,107059,38753,9705,5942,972945,10437,144,353,455,1030,2025,1468,2247,9539,2731,7986,8804,12719,12357,12648,248106,22477,54662,156566,100990,201712,67433,22331,13725,266725,143057,5798,28594,49291,59374,123668,4546,24146,41015,53961,16137,10400,340,2472,4929,2659,5737,310,742,2974,1711,2164,1151,152,399,469,131,1013,114,213,420,266,421167,189732,20921,51633,58228,58950,231435,29231,59872,64807,77525,86577,43638,5056,20893,12512,5177,42939,5342,17666,13724,6207,8939,5027,646,1680,1725,976,3912,549,1060,1296,1007,171236,85819,6951,33744,28649,16475,85417,4987,27469,32179,20782,244616,131345,4437,24885,45246,56777,113271,3731,21170,37070,51300,69925,35244,4283,12848,11821,6292,34681,3230,10500,13236,7715,305201,143742,41064,18528,2873,9271,1392,9000,69806,31292,3853,16461,4379,13821,32872,15721,1344,7417,3546,4844,161459,53165,16848,6928,10525,5549,13315,78181,21318,10428,15413,12919,18103,30113,5894,3570,2647,11577,6425,322613,11567,22837,10579,17968,32493,20064,2031,30850,63202,40490,14850,14879,13012,10657,17134,305201,109601,28996,61734,39362,65508,113335,45039,9522,18418,12103,28253,4370,1584,312,1158,350,966,397,153,74,45,79,46,136475,44986,14910,32456,20482,23641,11384,3406,829,2342,1903,2904,1983,783,153,469,100,478,37257,13650,3196,6846,4345,9220,108077,43055,9006,17326,11632,27058,14007,5166,1477,2876,1336,3152
40,HI,15,,,,,040C0US15,Hawaii -- In metropolitan statistical area,899861,449960,62239,590,4159,26906,23189,3394,3793,208,89776,897,3823,26785,24880,9848,18482,5061,74210,1639,3099,19511,17316,8287,16720,7638,143833,4469,6695,40311,30592,15714,29119,16933,79902,6164,5298,22737,13843,5606,14697,11557,449901,49640,299,3070,16007,20511,3760,5593,400,81374,813,2718,16388,20434,9992,22257,8772,71425,1035,1984,15537,15111,8729,18588,10441,146043,5847,5975,36371,31481,16834,33010,16525,101419,11733,7425,34560,16960,6472,14918,9351,787982,387721,4385,2070,3356,3358,3206,5709,4945,5055,109344,22822,63809,39455,79018,24281,10658,6250,400261,5178,2536,6458,5256,3677,4488,4347,5590,102856,22405,61581,42027,88773,31894,8292,4903,787982,9563,99,332,414,918,1585,1258,1767,8047,2239,6375,6883,10197,9292,10645,193636,18564,45227,125390,81482,167791,56175,18950,11153,194218,106444,3921,20344,36462,45717,87774,2860,16344,28924,39646,14855,9550,226,2351,4501,2472,5305,310,683,2828,1484,1356,757,102,334,246,75,599,62,120,265,152,368060,165619,18558,43337,50870,52854,202441,25938,50596,56252,69655,66437,33487,3910,15585,9861,4131,32950,4012,13261,11040,4637,6542,3694,401,1195,1306,792,2848,258,734,956,900,136514,68170,4966,26198,22840,14166,68344,4090,21118,25748,17388,177136,96988,2804,17470,33128,43586,80148,2367,14228,25956,37597,54344,27602,3045,9741,9558,5258,26742,2234,7743,10426,6339,254069,120207,36328,16080,2607,8415,1087,8139,57625,25567,3211,14190,3353,11304,26254,12434,1100,6440,2471,3809,133862,46439,14684,6045,9061,4734,11915,63154,16875,8514,12933,10376,14456,24269,4453,2781,2137,9744,5154,268536,9480,17838,8366,14653,27483,17350,1690,25832,54385,32517,12442,12054,10911,9129,14406,254069,90093,24258,53176,31765,54777,85363,33574,7314,14494,8441,21540,3956,1379,312,1110,278,877,227,81,21,36,61,28,122509,40190,13349,29476,17971,21523,8768,2631,566,1776,1495,2300,1692,625,69,438,98,462,31554,11613,2627,5846,3421,8047,81183,32033,6860,13576,8144,20570,11597,4077,1236,2551,964,2769
40,HI,15,,,,,040C1US15,Hawaii -- In metropolitan statistical area -- in principal city,333827,163608,19068,107,1559,6524,8054,1076,1687,61,32476,403,1789,8594,7962,3061,8053,2614,27088,900,1438,6470,6285,2715,6103,3177,53021,2364,3460,13734,9940,5453,11637,6433,31955,3069,2363,9100,4982,1785,5922,4734,170219,18710,110,1118,4761,8655,1602,2277,187,29891,480,1295,5496,6448,3151,8789,4232,25266,671,1038,5324,4586,3228,6640,3779,54025,3078,3153,13103,10646,6011,12000,6034,42327,5857,3120,14133,6663,2594,6022,3938,296049,144540,2239,1170,1715,1612,1489,3097,2073,2391,37898,7195,21974,13014,31715,9089,4741,3128,151509,2955,1112,3419,2600,1734,2393,1904,2575,38056,7637,20706,14984,33451,12274,3432,2277,296049,5194,74,214,120,509,738,627,1043,4091,1020,3192,3223,5490,3977,4966,69606,6348,14832,42680,27998,65166,21363,8173,5405,58191,33437,1076,5767,10356,16238,24754,938,4232,7525,12059,4540,3177,95,883,1299,900,1363,65,223,771,304,396,142,23,46,54,19,254,17,68,95,74,168901,74978,11070,18865,20315,24728,93923,14675,23317,24269,31662,22316,11193,1682,5103,3010,1398,11123,1843,4490,3403,1387,2387,1433,189,404,519,321,954,50,266,271,367,39318,20180,1651,6830,6630,5069,19138,1104,5460,6993,5581,53112,30558,738,4905,9444,15471,22554,800,3540,6747,11467,16736,8681,1066,2927,2849,1839,8055,734,2178,3140,2003,100107,48673,15699,6895,1007,3957,367,3473,22318,9532,1448,5546,1246,4546,10656,5013,496,2417,992,1738,51434,18980,6434,2032,3841,1566,5107,22494,6148,2623,4996,3221,5506,9960,1780,1095,881,3822,2382,105783,3751,7413,3394,5273,11180,6857,658,9366,22113,11422,5876,4771,4759,3676,5274,100107,35802,8701,21638,11214,22752,28297,11299,2284,5019,2215,7480,1204,463,91,309,51,290,93,37,0,11,40,5,56390,19200,5449,13588,7418,10735,2785,780,148,575,493,789,688,239,10,124,23,292,10650,3784,719,2012,974,3161,26938,10756,2133,4678,2177,7194,3842,1442,253,876,185,1086
40,HI,15,,,,,040C2US15,Hawaii -- In metropolitan statistical area -- not in principal city,566034,286352,43171,483,2600,20382,15135,2318,2106,147,57300,494,2034,18191,16918,6787,10429,2447,47122,739,1661,13041,11031,5572,10617,4461,90812,2105,3235,26577,20652,10261,17482,10500,47947,3095,2935,13637,8861,3821,8775,6823,279682,30930,189,1952,11246,11856,2158,3316,213,51483,333,1423,10892,13986,6841,13468,4540,46159,364,946,10213,10525,5501,11948,6662,92018,2769,2822,23268,20835,10823,21010,10491,59092,5876,4305,20427,10297,3878,8896,5413,491933,243181,2146,900,1641,1746,1717,2612,2872,2664,71446,15627,41835,26441,47303,15192,5917,3122,248752,2223,1424,3039,2656,1943,2095,2443,3015,64800,14768,40875,27043,55322,19620,4860,2626,491933,4369,25,118,294,409,847,631,724,3956,1219,3183,3660,4707,5315,5679,124030,12216,30395,82710,53484,102625,34812,10777,5748,136027,73007,2845,14577,26106,29479,63020,1922,12112,21399,27587,10315,6373,131,1468,3202,1572,3942,245,460,2057,1180,960,615,79,288,192,56,345,45,52,170,78,199159,90641,7488,24472,30555,28126,108518,11263,27279,31983,37993,44121,22294,2228,10482,6851,2733,21827,2169,8771,7637,3250,4155,2261,212,791,787,471,1894,208,468,685,533,97196,47990,3315,19368,16210,9097,49206,2986,15658,18755,11807,124024,66430,2066,12565,23684,28115,57594,1567,10688,19209,26130,37608,18921,1979,6814,6709,3419,18687,1500,5565,7286,4336,153962,71534,20629,9185,1600,4458,720,4666,35307,16035,1763,8644,2107,6758,15598,7421,604,4023,1479,2071,82428,27459,8250,4013,5220,3168,6808,40660,10727,5891,7937,7155,8950,14309,2673,1686,1256,5922,2772,162753,5729,10425,4972,9380,16303,10493,1032,16466,32272,21095,6566,7283,6152,5453,9132,153962,54291,15557,31538,20551,32025,57066,22275,5030,9475,6226,14060,2752,916,221,801,227,587,134,44,21,25,21,23,66119,20990,7900,15888,10553,10788,5983,1851,418,1201,1002,1511,1004,386,59,314,75,170,20904,7829,1908,3834,2447,4886,54245,21277,4727,8898,5967,13376,7755,2635,983,1675,779,1683
40,HI,15,,,,,040E0US15,Hawaii -- In micropolitan statistical area,205596,101618,10515,69,1152,4489,3694,584,419,108,16145,242,1024,6897,3371,1352,2501,758,15264,198,886,5855,3293,1747,2501,784,37679,808,1964,11344,9058,4132,7082,3291,22015,1244,1414,5975,5038,1726,3551,3067,103978,10118,110,781,3689,3838,856,820,24,15954,185,985,5050,3708,1557,3313,1156,15341,77,736,4433,3301,2192,3211,1391,38287,875,958,10946,8012,4814,8154,4528,24278,2189,1544,7883,4830,1988,3608,2236,184963,91103,464,389,737,902,907,1356,1896,1129,30071,4556,16204,8957,15635,4399,1968,1533,93860,410,480,1235,1201,1014,1166,1169,874,28312,4879,14972,10551,18286,6859,1413,1039,184963,874,45,21,41,112,440,210,480,1492,492,1611,1921,2522,3065,2003,54470,3913,9435,31176,19508,33921,11258,3381,2572,72507,36613,1877,8250,12829,13657,35894,1686,7802,12091,14315,1282,850,114,121,428,187,432,0,59,146,227,808,394,50,65,223,56,414,52,93,155,114,53107,24113,2363,8296,7358,6096,28994,3293,9276,8555,7870,20140,10151,1146,5308,2651,1046,9989,1330,4405,2684,1570,2397,1333,245,485,419,184,1064,291,326,340,107,34722,17649,1985,7546,5809,2309,17073,897,6351,6431,3394,67480,34357,1633,7415,12118,13191,33123,1364,6942,11114,13703,15581,7642,1238,3107,2263,1034,7939,996,2757,2810,1376,51132,23535,4736,2448,266,856,305,861,12181,5725,642,2271,1026,2517,6618,3287,244,977,1075,1035,27597,6726,2164,883,1464,815,1400,15027,4443,1914,2480,2543,3647,5844,1441,789,510,1833,1271,54077,2087,4999,2213,3315,5010,2714,341,5018,8817,7973,2408,2825,2101,1528,2728,51132,19508,4738,8558,7597,10731,27972,11465,2208,3924,3662,6713,414,205,0,48,72,89,170,72,53,9,18,18,13966,4796,1561,2980,2511,2118,2616,775,263,566,408,604,291,158,84,31,2,16,5703,2037,569,1000,924,1173,26894,11022,2146,3750,3488,6488,2410,1089,241,325,372,383
40,HI,15,,,,,040E1US15,Hawaii -- In micropolitan statistical area -- in principal city,44710,22105,3113,0,187,1057,1444,294,122,9,3713,46,149,1058,929,369,865,297,3133,48,125,1010,589,488,665,208,7716,72,335,2318,1600,1081,1544,766,4430,144,395,1593,868,370,622,438,22605,2712,0,37,808,1160,464,239,4,3237,47,77,998,572,342,802,399,3347,0,115,931,760,487,712,342,7800,70,173,2070,1548,1040,1858,1041,5509,413,455,1921,967,515,883,355,38885,18992,114,11,49,136,194,285,202,323,5979,1085,2901,2308,3696,950,393,366,19893,86,27,154,263,115,164,234,307,5920,1257,2590,2384,4255,1480,349,308,38885,200,9,11,0,0,14,4,39,164,74,325,309,449,436,630,11001,898,2342,5491,4692,7951,2430,742,674,10159,5195,215,1404,1696,1880,4964,265,1077,1576,2046,359,216,49,5,109,53,143,0,0,63,80,115,41,2,9,21,9,74,4,3,51,16,14342,6779,387,1843,2181,2368,7563,590,2317,2040,2616,3340,1674,198,719,549,208,1666,208,690,385,383,336,161,21,93,47,0,175,6,77,86,6,10234,4926,442,1906,1691,887,5308,277,1756,2030,1245,9242,4691,163,1191,1608,1729,4551,222,967,1415,1947,3037,1521,268,587,388,278,1516,140,509,560,307,11797,5405,1488,855,31,272,64,266,2857,1388,78,588,256,547,1060,557,16,154,216,117,6392,1811,565,297,249,240,460,3343,933,390,613,621,786,1238,314,160,52,458,254,12531,518,1037,508,931,1235,622,77,1006,1978,2010,543,581,386,289,810,11797,4612,972,1928,1855,2430,3926,1641,281,474,468,1062,133,43,0,37,0,53,25,25,0,0,0,0,4984,1910,484,1074,841,675,591,211,19,53,173,135,6,6,0,0,0,0,2132,776,188,290,373,505,3676,1537,281,435,428,995,585,301,61,49,89,85
40,HI,15,,,,,040E2US15,Hawaii -- In micropolitan statistical area -- not in principal city,160886,79513,7402,69,965,3432,2250,290,297,99,12432,196,875,5839,2442,983,1636,461,12131,150,761,4845,2704,1259,1836,576,29963,736,1629,9026,7458,3051,5538,2525,17585,1100,1019,4382,4170,1356,2929,2629,81373,7406,110,744,2881,2678,392,581,20,12717,138,908,4052,3136,1215,2511,757,11994,77,621,3502,2541,1705,2499,1049,30487,805,785,8876,6464,3774,6296,3487,18769,1776,1089,5962,3863,1473,2725,1881,146078,72111,350,378,688,766,713,1071,1694,806,24092,3471,13303,6649,11939,3449,1575,1167,73967,324,453,1081,938,899,1002,935,567,22392,3622,12382,8167,14031,5379,1064,731,146078,674,36,10,41,112,426,206,441,1328,418,1286,1612,2073,2629,1373,43469,3015,7093,25685,14816,25970,8828,2639,1898,62348,31418,1662,6846,11133,11777,30930,1421,6725,10515,12269,923,634,65,116,319,134,289,0,59,83,147,693,353,48,56,202,47,340,48,90,104,98,38765,17334,1976,6453,5177,3728,21431,2703,6959,6515,5254,16800,8477,948,4589,2102,838,8323,1122,3715,2299,1187,2061,1172,224,392,372,184,889,285,249,254,101,24488,12723,1543,5640,4118,1422,11765,620,4595,4401,2149,58238,29666,1470,6224,10510,11462,28572,1142,5975,9699,11756,12544,6121,970,2520,1875,756,6423,856,2248,2250,1069,39335,18130,3248,1593,235,584,241,595,9324,4337,564,1683,770,1970,5558,2730,228,823,859,918,21205,4915,1599,586,1215,575,940,11684,3510,1524,1867,1922,2861,4606,1127,629,458,1375,1017,41546,1569,3962,1705,2384,3775,2092,264,4012,6839,5963,1865,2244,1715,1239,1918,39335,14896,3766,6630,5742,8301,24046,9824,1927,3450,3194,5651,281,162,0,11,72,36,145,47,53,9,18,18,8982,2886,1077,1906,1670,1443,2025,564,244,513,235,469,285,152,84,31,2,16,3571,1261,381,710,551,668,23218,9485,1865,3315,3060,5493,1825,788,180,276,283,298
