SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B15001_001,B15001_002,B15001_003,B15001_004,B15001_005,B15001_006,B15001_007,B15001_008,B15001_009,B15001_010,B15001_011,B15001_012,B15001_013,B15001_014,B15001_015,B15001_016,B15001_017,B15001_018,B15001_019,B15001_020,B15001_021,B15001_022,B15001_023,B15001_024,B15001_025,B15001_026,B15001_027,B15001_028,B15001_029,B15001_030,B15001_031,B15001_032,B15001_033,B15001_034,B15001_035,B15001_036,B15001_037,B15001_038,B15001_039,B15001_040,B15001_041,B15001_042,B15001_043,B15001_044,B15001_045,B15001_046,B15001_047,B15001_048,B15001_049,B15001_050,B15001_051,B15001_052,B15001_053,B15001_054,B15001_055,B15001_056,B15001_057,B15001_058,B15001_059,B15001_060,B15001_061,B15001_062,B15001_063,B15001_064,B15001_065,B15001_066,B15001_067,B15001_068,B15001_069,B15001_070,B15001_071,B15001_072,B15001_073,B15001_074,B15001_075,B15001_076,B15001_077,B15001_078,B15001_079,B15001_080,B15001_081,B15001_082,B15001_083,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_013,B15003_014,B15003_015,B15003_016,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,C15002F_001,C15002F_002,C15002F_003,C15002F_004,C15002F_005,C15002F_006,C15002F_007,C15002F_008,C15002F_009,C15002F_010,C15002F_011,C15002G_001,C15002G_002,C15002G_003,C15002G_004,C15002G_005,C15002G_006,C15002G_007,C15002G_008,C15002G_009,C15002G_010,C15002G_011,C15002H_001,C15002H_002,C15002H_003,C15002H_004,C15002H_005,C15002H_006,C15002H_007,C15002H_008,C15002H_009,C15002H_010,C15002H_011,C15002I_001,C15002I_002,C15002I_003,C15002I_004,C15002I_005,C15002I_006,C15002I_007,C15002I_008,C15002I_009,C15002I_010,C15002I_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010,B15012_011,B15012_012,B15012_013,B15012_014,B15012_015,B15012_016,C15010_001,C15010_002,C15010_003,C15010_004,C15010_005,C15010_006,C15010A_001,C15010A_002,C15010A_003,C15010A_004,C15010A_005,C15010A_006,C15010B_001,C15010B_002,C15010B_003,C15010B_004,C15010B_005,C15010B_006,C15010C_001,C15010C_002,C15010C_003,C15010C_004,C15010C_005,C15010C_006,C15010D_001,C15010D_002,C15010D_003,C15010D_004,C15010D_005,C15010D_006,C15010E_001,C15010E_002,C15010E_003,C15010E_004,C15010E_005,C15010E_006,C15010F_001,C15010F_002,C15010F_003,C15010F_004,C15010F_005,C15010F_006,C15010G_001,C15010G_002,C15010G_003,C15010G_004,C15010G_005,C15010G_006,C15010H_001,C15010H_002,C15010H_003,C15010H_004,C15010H_005,C15010H_006,C15010I_001,C15010I_002,C15010I_003,C15010I_004,C15010I_005,C15010I_006
40,IA,19,,,,,04000US19,Iowa,2379075,1170340,164878,2540,17560,48657,69742,12441,13193,745,200301,4971,11323,53941,45943,25315,44565,14243,184631,5411,9927,51147,40842,22614,36779,17911,405255,11287,20690,145757,85318,41823,66526,33854,215275,12999,14848,87346,38950,9915,28185,23032,1208735,155357,2052,12407,34725,74090,12818,18433,832,190976,3698,7213,33547,43405,30074,54098,18941,179993,4928,6732,33802,37483,29284,45757,22007,406903,9130,14732,123104,94863,56893,73705,34476,275506,13397,18680,128036,54330,15711,30034,15318,2058840,1005462,7393,2993,6009,18273,10314,15007,17647,13820,338191,71751,139302,99667,176055,55363,19750,13927,1053378,7008,2692,4997,16456,8790,12321,15596,10650,318489,80723,149358,131962,203594,69329,12257,9156,2058840,14401,344,217,580,1027,2194,1323,2019,8987,4073,30656,19104,27328,33243,24470,573723,82957,152474,288660,231629,379649,124692,32007,23083,1919206,932785,75272,319299,292036,246178,986421,65435,302907,341458,276621,53709,28818,4971,9509,9178,5160,24891,4176,6536,9658,4521,6267,3068,574,997,1041,456,3199,437,903,1390,469,38985,18369,2785,2929,2936,9719,20616,3462,3814,3862,9478,1501,769,167,294,218,90,732,177,259,216,80,20774,12111,6381,2465,2097,1168,8663,3809,2184,1834,836,18398,9542,1306,2698,3214,2324,8856,1014,1886,3625,2331,1863338,903894,63784,311410,285912,242788,959444,55723,295517,335381,272823,79834,42615,18641,10972,8387,4615,37219,14055,9875,8438,4851,559431,265095,85919,37324,4176,20924,5753,17742,127959,51036,7410,33612,12588,23313,51217,19852,3195,10388,10008,7774,294336,108416,27251,13475,21175,18451,28064,140568,25981,19703,28143,37090,29651,45352,5257,5347,2449,22376,9923,609032,22208,50069,17249,25767,35430,32151,2799,57612,121739,111492,20857,30848,19716,22629,38466,559431,166701,53306,116691,106266,116467,522799,149527,49696,110371,103547,109658,9681,3501,792,2124,743,2521,925,313,34,113,221,244,19197,10712,2093,3052,964,2376,170,52,0,22,58,38,2004,843,157,264,256,484,4655,1753,534,745,477,1146,515611,147035,49150,108758,102591,108077,9466,3434,640,1885,1259,2248
40,IA,19,,,,,04001US19,Iowa -- Urban,1535404,745903,122952,1459,11747,34115,56745,7882,10363,641,144589,3877,8626,36688,32603,15720,34893,12182,121555,4087,7066,31123,27019,12826,25789,13645,236312,8057,13060,75714,48452,22664,43647,24718,120495,6345,8069,43304,21835,5956,18702,16284,789501,120149,1160,8390,24961,61585,8656,14720,677,136790,2810,5500,23362,31196,18984,39767,15171,119737,3827,5270,22714,24337,17269,30636,15684,244216,6730,9930,68631,55350,32129,47478,23968,168609,8016,11923,73589,33820,9822,20132,11307,1292303,622951,5442,2376,4971,9577,7103,9640,11117,8961,186829,43104,86805,57166,123031,40866,14776,11187,669352,5505,2168,4196,9514,6197,8442,10595,7389,188296,50409,94294,78204,138013,49946,8988,7196,1292303,10947,187,149,518,850,1934,906,1732,7435,3019,16072,13300,18082,21712,16350,319515,55610,93513,181099,135370,261044,90812,23764,18383,1169393,558749,44957,170316,170758,172718,610644,42491,174801,204985,188367,50579,26960,4644,8994,8571,4751,23619,3972,6150,9239,4258,4128,1995,342,654,730,269,2133,271,605,980,277,35341,16939,2650,2620,2579,9090,18402,3161,3350,3249,8642,1280,688,149,267,189,83,592,148,214,193,37,17905,10437,5543,2100,1753,1041,7468,3307,1842,1593,726,13677,7183,902,1878,2495,1908,6494,656,1334,2668,1836,1123054,534809,35319,163782,165858,169850,588245,34222,168621,200056,185346,66741,35656,15749,9161,6759,3987,31085,11996,8276,6887,3926,394003,189860,67043,28836,3095,16566,3991,14555,87831,34354,4872,23926,7455,17224,34986,13057,2146,7606,6299,5878,204143,79517,20919,9282,15158,12274,21884,93187,17898,12326,19055,22709,21199,31439,3931,3681,1734,14726,7367,430039,16825,30286,12363,19333,27472,24397,2193,38364,87457,70946,16475,23344,15392,17917,27275,394003,118995,35402,84045,67454,88107,361085,103109,32323,78381,65188,82084,9009,3285,770,1984,702,2268,546,193,9,90,123,131,17732,10099,1803,2766,886,2178,120,36,0,11,38,35,1767,750,131,232,206,448,3744,1523,366,581,311,963,355196,101135,31906,76932,64422,80801,7913,2805,488,1684,1015,1921
40,IA,19,,,,,04043US19,Iowa -- Rural,843671,424437,41926,1081,5813,14542,12997,4559,2830,104,55712,1094,2697,17253,13340,9595,9672,2061,63076,1324,2861,20024,13823,9788,10990,4266,168943,3230,7630,70043,36866,19159,22879,9136,94780,6654,6779,44042,17115,3959,9483,6748,419234,35208,892,4017,9764,12505,4162,3713,155,54186,888,1713,10185,12209,11090,14331,3770,60256,1101,1462,11088,13146,12015,15121,6323,162687,2400,4802,54473,39513,24764,26227,10508,106897,5381,6757,54447,20510,5889,9902,4011,766537,382511,1951,617,1038,8696,3211,5367,6530,4859,151362,28647,52497,42501,53024,14497,4974,2740,384026,1503,524,801,6942,2593,3879,5001,3261,130193,30314,55064,53758,65581,19383,3269,1960,766537,3454,157,68,62,177,260,417,287,1552,1054,14584,5804,9246,11531,8120,254208,27347,58961,107561,96259,118605,33880,8243,4700,749813,374036,30315,148983,121278,73460,375777,22944,128106,136473,88254,3130,1858,327,515,607,409,1272,204,386,419,263,2139,1073,232,343,311,187,1066,166,298,410,192,3644,1430,135,309,357,629,2214,301,464,613,836,221,81,18,27,29,7,140,29,45,23,43,2869,1674,838,365,344,127,1195,502,342,241,110,4721,2359,404,820,719,416,2362,358,552,957,495,740284,369085,28465,147628,120054,72938,371199,21501,126896,135325,87477,13093,6959,2892,1811,1628,628,6134,2059,1599,1551,925,165428,75235,18876,8488,1081,4358,1762,3187,40128,16682,2538,9686,5133,6089,16231,6795,1049,2782,3709,1896,90193,28899,6332,4193,6017,6177,6180,47381,8083,7377,9088,14381,8452,13913,1326,1666,715,7650,2556,178993,5383,19783,4886,6434,7958,7754,606,19248,34282,40546,4382,7504,4324,4712,11191,165428,47706,17904,32646,38812,28360,161714,46418,17373,31990,38359,27574,672,216,22,140,41,253,379,120,25,23,98,113,1465,613,290,286,78,198,50,16,0,11,20,3,237,93,26,32,50,36,911,230,168,164,166,183,160415,45900,17244,31826,38169,27276,1553,629,152,201,244,327
40,IA,19,,,,,040A0US19,Iowa -- In metropolitan or micropolitan statistical area,1813167,890764,132582,2006,13278,37587,58545,9274,11200,692,160793,3617,8666,41317,36671,18962,38448,13112,144929,3989,7371,38283,31884,15962,31517,15923,301506,8567,15154,100355,63288,30789,54207,29146,150954,8174,9803,57202,28022,7114,22099,18540,922403,125962,1425,9157,26939,62164,9642,15860,775,154574,2954,5626,25810,34690,22485,45973,17036,141723,3830,5101,25543,28904,21478,37877,18990,305982,7195,11034,87670,70643,41613,59017,28810,194162,8676,13405,87028,38866,11139,22655,12393,1554623,758182,5934,2170,4637,11606,7392,10886,12770,9946,237157,53743,106122,72827,146271,47587,16947,12187,796441,5839,2142,3992,10682,6625,9182,11275,8084,226051,60221,112882,96715,165522,58407,10651,8171,1554623,11773,237,170,484,889,1585,947,1537,7092,3086,19202,14017,20068,24045,18030,400687,62521,113964,219004,169542,311793,105994,27598,20358,1429450,693273,51480,220546,216104,205143,736177,46354,212327,251290,226206,51112,26995,4492,8893,8763,4847,24117,4056,6269,9378,4414,4330,2038,351,690,592,405,2292,328,566,1046,352,36166,17224,2597,2643,2716,9268,18942,3146,3453,3437,8906,1259,636,145,267,138,86,623,155,206,190,72,17246,10067,5318,1942,1706,1101,7179,3073,1674,1678,754,15060,7949,958,2176,2673,2142,7111,709,1556,2799,2047,1383838,669804,42832,214116,210841,202015,714034,38860,206189,246290,222695,65390,34776,14535,8903,7079,4259,30614,10993,8086,7141,4394,465743,222992,75282,32537,3676,18983,4336,15750,107071,42835,6028,28950,9148,20110,40639,15930,2495,8571,7277,6366,242751,92662,24330,11063,18409,14133,24727,115041,22291,15765,24045,28023,24917,35048,4398,4152,2022,16453,8023,508227,19843,39068,14689,22052,31052,29310,2634,46746,105222,83681,18496,26196,17188,20361,31689,465743,142321,43179,100980,79370,99893,431349,126013,39887,94974,76918,93557,9261,3377,760,2075,719,2330,757,270,29,91,173,194,18174,10278,1894,2891,896,2215,158,47,0,18,58,35,1855,748,145,256,238,468,4189,1588,464,675,368,1094,424710,123714,39406,93456,76077,92057,8653,3101,570,1778,1085,2119
40,IA,19,,,,,040C0US19,Iowa -- In metropolitan statistical area,1389465,680627,107008,1456,9777,28609,49956,6987,9804,419,127458,2683,6536,30951,27813,14422,33367,11686,113513,2873,5782,27416,24429,11803,27045,14165,224749,6073,10575,71202,46008,22286,43926,24679,107899,5247,6961,38941,20248,5011,16902,14589,708838,103735,1139,6756,21294,52427,7646,13766,707,124152,2215,4190,19816,26894,16755,39141,15141,111405,2662,4195,19079,21414,15571,31957,16527,230394,5127,7990,62934,52377,30585,47136,24245,139152,5594,9190,60902,28474,7562,17363,10067,1178722,573619,4396,1370,3201,7909,5220,7821,9249,7564,168510,39304,79194,53522,121240,40114,14435,10570,605103,4438,1364,2890,6906,4488,6573,8272,6232,162731,44290,84869,70473,135597,49364,9402,7214,1178722,8834,176,128,393,471,978,588,1172,4919,2104,12711,9708,14394,17521,13796,286281,44960,83594,164063,123995,256837,89478,23837,17784,1074264,520577,36216,155135,158611,170615,553687,32116,151238,183895,186438,44314,22572,3781,7287,7344,4160,21742,3715,5593,8332,4102,3377,1601,317,526,428,330,1776,240,405,940,191,31991,15182,2116,2204,2343,8519,16809,2548,3025,2835,8401,977,514,126,188,117,83,463,147,150,131,35,12200,7076,3503,1495,1255,823,5124,1845,1268,1401,610,11599,6097,671,1675,1922,1829,5502,552,1052,2098,1800,1039698,502907,30082,150212,154790,167823,536791,26477,146423,180255,183636,48828,25798,9992,6888,5196,3722,23030,7832,6261,5401,3536,387936,186359,65649,28268,3117,16857,3497,13910,89219,35512,4984,24321,7233,17169,31491,12363,1950,6729,5414,5035,201577,79880,21492,9459,15909,11448,21572,94267,18591,12942,20194,21757,20783,27430,3682,3204,1684,12312,6548,423425,17667,31503,12319,18246,26760,24884,2265,38658,89245,65137,15949,21989,14869,18020,25914,387936,119908,35656,85694,61661,85017,357053,105186,32771,80239,59484,79373,8262,2842,707,1932,667,2114,521,196,22,58,107,138,16920,9630,1687,2728,837,2038,118,36,0,18,29,35,1433,618,80,153,200,382,3629,1400,389,566,337,937,351459,103162,32401,78849,58861,78186,7258,2744,441,1559,821,1693
40,IA,19,,,,,040C1US19,Iowa -- In metropolitan statistical area -- in principal city,744148,363595,73425,857,5394,18010,38211,3924,6763,266,75935,2078,4282,18157,16903,7501,19378,7636,56213,1994,3737,14481,12366,5241,11587,6807,107021,4126,6645,34237,21085,9615,19025,12288,51001,2481,3704,16831,9041,2115,8395,8434,380553,71922,576,3898,13911,38999,4660,9322,556,71483,1594,2896,12038,16283,8915,21094,8663,54727,1941,3157,10943,11156,6918,13209,7403,111864,3788,5384,31369,23997,14014,21015,12297,70557,3209,5521,28671,13557,3736,9536,6327,598801,290170,2999,994,2405,4281,3690,4628,5581,4469,83706,19334,40061,24472,58385,20743,7555,6867,308631,3334,1074,2123,4001,3212,4532,5508,3706,83021,21969,43024,33583,64854,25436,4665,4589,598801,6333,104,83,363,371,779,368,1051,3477,1451,6831,6902,9160,11089,8175,139736,26991,41303,83085,58055,123239,46179,12220,11456,518634,249211,20449,73176,73324,82262,269423,19732,73917,86420,89354,36836,18664,3119,6291,6206,3048,18172,3428,4795,6868,3081,2420,1140,229,410,299,202,1280,119,306,720,135,23371,11396,1827,1736,1647,6186,11975,2182,2105,1934,5754,754,422,126,108,113,75,332,69,120,115,28,9294,5261,2819,976,943,523,4033,1578,1024,1040,391,7492,4076,478,1009,1335,1254,3416,382,754,1479,801,493377,236206,15685,69177,70610,80734,257171,15380,70290,83859,87642,36164,19119,7910,5292,3793,2124,17045,6208,4807,3874,2156,193094,93550,36826,16204,1727,8551,1655,8689,39895,15566,2337,10683,2981,8328,16829,6709,884,3263,2791,3182,99544,41206,12013,4224,7170,5293,12506,42475,9226,5507,7931,8963,10848,15863,2327,1694,946,6842,4054,212177,8737,14792,6814,9996,15235,12679,1275,17724,40390,30210,9722,12270,8595,10120,13618,193094,62045,16373,38544,28525,47607,171616,51669,14709,34805,27038,43395,6129,2206,446,1263,528,1686,337,137,9,40,78,73,11940,6712,1062,1985,610,1571,103,28,0,11,29,35,914,426,14,109,119,246,2055,867,133,331,123,601,168376,50374,14464,34120,26639,42779,4280,1729,273,805,512,961
40,IA,19,,,,,040C2US19,Iowa -- In metropolitan statistical area -- not in principal city,645317,317032,33583,599,4383,10599,11745,3063,3041,153,51523,605,2254,12794,10910,6921,13989,4050,57300,879,2045,12935,12063,6562,15458,7358,117728,1947,3930,36965,24923,12671,24901,12391,56898,2766,3257,22110,11207,2896,8507,6155,328285,31813,563,2858,7383,13428,2986,4444,151,52669,621,1294,7778,10611,7840,18047,6478,56678,721,1038,8136,10258,8653,18748,9124,118530,1339,2606,31565,28380,16571,26121,11948,68595,2385,3669,32231,14917,3826,7827,3740,579921,283449,1397,376,796,3628,1530,3193,3668,3095,84804,19970,39133,29050,62855,19371,6880,3703,296472,1104,290,767,2905,1276,2041,2764,2526,79710,22321,41845,36890,70743,23928,4737,2625,579921,2501,72,45,30,100,199,220,121,1442,653,5880,2806,5234,6432,5621,146545,17969,42291,80978,65940,133598,43299,11617,6328,555630,271366,15767,81959,85287,88353,284264,12384,77321,97475,97084,7478,3908,662,996,1138,1112,3570,287,798,1464,1021,957,461,88,116,129,128,496,121,99,220,56,8620,3786,289,468,696,2333,4834,366,920,901,2647,223,92,0,80,4,8,131,78,30,16,7,2906,1815,684,519,312,300,1091,267,244,361,219,4107,2021,193,666,587,575,2086,170,298,619,999,546321,266701,14397,81035,84180,87089,279620,11097,76133,96396,95994,12664,6679,2082,1596,1403,1598,5985,1624,1454,1527,1380,194842,92809,28823,12064,1390,8306,1842,5221,49324,19946,2647,13638,4252,8841,14662,5654,1066,3466,2623,1853,102033,38674,9479,5235,8739,6155,9066,51792,9365,7435,12263,12794,9935,11567,1355,1510,738,5470,2494,211248,8930,16711,5505,8250,11525,12205,990,20934,48855,34927,6227,9719,6274,7900,12296,194842,57863,19283,47150,33136,37410,185437,53517,18062,45434,32446,35978,2133,636,261,669,139,428,184,59,13,18,29,65,4980,2918,625,743,227,467,15,8,0,7,0,0,519,192,66,44,81,136,1574,533,256,235,214,336,183083,52788,17937,44729,32222,35407,2978,1015,168,754,309,732
40,IA,19,,,,,040E0US19,Iowa -- In micropolitan statistical area,423702,210137,25574,550,3501,8978,8589,2287,1396,273,33335,934,2130,10366,8858,4540,5081,1426,31416,1116,1589,10867,7455,4159,4472,1758,76757,2494,4579,29153,17280,8503,10281,4467,43055,2927,2842,18261,7774,2103,5197,3951,213565,22227,286,2401,5645,9737,1996,2094,68,30422,739,1436,5994,7796,5730,6832,1895,30318,1168,906,6464,7490,5907,5920,2463,75588,2068,3044,24736,18266,11028,11881,4565,55010,3082,4215,26126,10392,3577,5292,2326,375901,184563,1538,800,1436,3697,2172,3065,3521,2382,68647,14439,26928,19305,25031,7473,2512,1617,191338,1401,778,1102,3776,2137,2609,3003,1852,63320,15931,28013,26242,29925,9043,1249,957,375901,2939,61,42,91,418,607,359,365,2173,982,6491,4309,5674,6524,4234,114406,17561,30370,54941,45547,54956,16516,3761,2574,355186,172696,15264,65411,57493,34528,182490,14238,61089,67395,39768,6798,4423,711,1606,1419,687,2375,341,676,1046,312,953,437,34,164,164,75,516,88,161,106,161,4175,2042,481,439,373,749,2133,598,428,602,505,282,122,19,79,21,3,160,8,56,59,37,5046,2991,1815,447,451,278,2055,1228,406,277,144,3461,1852,287,501,751,313,1609,157,504,701,247,344140,166897,12750,63904,56051,34192,177243,12383,59766,66035,39059,16562,8978,4543,2015,1883,537,7584,3161,1825,1740,858,77807,36633,9633,4269,559,2126,839,1840,17852,7323,1044,4629,1915,2941,9148,3567,545,1842,1863,1331,41174,12782,2838,1604,2500,2685,3155,20774,3700,2823,3851,6266,4134,7618,716,948,338,4141,1475,84802,2176,7565,2370,3806,4292,4426,369,8088,15977,18544,2547,4207,2319,2341,5775,77807,22413,7523,15286,17709,14876,74296,20827,7116,14735,17434,14184,999,535,53,143,52,216,236,74,7,33,66,56,1254,648,207,163,59,177,40,11,0,0,29,0,422,130,65,103,38,86,560,188,75,109,31,157,73251,20552,7005,14607,17216,13871,1395,357,129,219,264,426
40,IA,19,,,,,040E1US19,Iowa -- In micropolitan statistical area -- in principal city,229312,111565,15536,219,2212,5372,5625,1098,763,247,19676,696,1473,6333,5138,2157,3075,804,17392,810,938,6188,4229,2056,2224,947,37477,1802,2728,13219,8755,3644,4995,2334,21484,1600,1385,8144,3841,1125,2868,2521,117747,14329,111,1636,3508,6713,1110,1212,39,17685,564,957,3897,4816,2783,3702,966,17215,855,679,3965,4381,3346,2792,1197,37990,1517,1808,11771,9017,5494,6015,2368,30528,1890,2658,13638,5838,2037,2996,1471,199447,96029,1049,632,1190,2037,1427,1865,1863,1369,33884,7228,14735,8982,13162,4142,1398,1066,103418,1010,681,864,2271,1532,1573,1938,1059,33271,8637,15415,13660,15505,4727,676,599,199447,2059,28,28,88,342,513,314,337,1717,612,3696,2959,3438,3801,2428,57107,10048,15865,30150,22642,28667,8869,2074,1665,182939,86480,8568,31317,28507,18088,96459,8938,31531,35501,20489,5973,3849,628,1379,1219,623,2124,251,602,994,277,615,293,19,127,115,32,322,80,112,48,82,3469,1744,455,396,273,620,1725,509,331,467,418,188,87,18,56,13,0,101,8,32,52,9,4187,2402,1535,305,325,237,1785,1092,351,206,136,2076,1174,209,304,493,168,902,50,312,444,96,174926,82203,6690,30251,27418,17844,92723,7517,30540,34513,20153,12479,6782,3581,1416,1383,402,5697,2576,1418,1241,462,41275,19768,5592,2555,265,1228,525,1019,8787,3445,451,2316,918,1657,5389,1874,355,1094,1140,926,21507,6630,1533,812,1231,1387,1667,10410,1721,1413,1917,3044,2315,4467,403,533,215,2431,885,45079,1113,3090,1100,2247,2634,2592,214,4126,8288,9887,1514,2576,1524,1205,2969,41275,11531,3829,8001,9445,8469,38577,10219,3602,7566,9264,7926,900,466,50,141,43,200,114,42,0,28,19,25,1038,589,133,122,50,144,9,0,0,0,9,0,373,123,37,99,37,77,264,92,7,45,23,97,37997,10090,3566,7492,9099,7750,864,189,36,148,202,289
40,IA,19,,,,,040E2US19,Iowa -- In micropolitan statistical area -- not in principal city,194390,98572,10038,331,1289,3606,2964,1189,633,26,13659,238,657,4033,3720,2383,2006,622,14024,306,651,4679,3226,2103,2248,811,39280,692,1851,15934,8525,4859,5286,2133,21571,1327,1457,10117,3933,978,2329,1430,95818,7898,175,765,2137,3024,886,882,29,12737,175,479,2097,2980,2947,3130,929,13103,313,227,2499,3109,2561,3128,1266,37598,551,1236,12965,9249,5534,5866,2197,24482,1192,1557,12488,4554,1540,2296,855,176454,88534,489,168,246,1660,745,1200,1658,1013,34763,7211,12193,10323,11869,3331,1114,551,87920,391,97,238,1505,605,1036,1065,793,30049,7294,12598,12582,14420,4316,573,358,176454,880,33,14,3,76,94,45,28,456,370,2795,1350,2236,2723,1806,57299,7513,14505,24791,22905,26289,7647,1687,909,172247,86216,6696,34094,28986,16440,86031,5300,29558,31894,19279,825,574,83,227,200,64,251,90,74,52,35,338,144,15,37,49,43,194,8,49,58,79,706,298,26,43,100,129,408,89,97,135,87,94,35,1,23,8,3,59,0,24,7,28,859,589,280,142,126,41,270,136,55,71,8,1385,678,78,197,258,145,707,107,192,257,151,169214,84694,6060,33653,28633,16348,84520,4866,29226,31522,18906,4083,2196,962,599,500,135,1887,585,407,499,396,36532,16865,4041,1714,294,898,314,821,9065,3878,593,2313,997,1284,3759,1693,190,748,723,405,19667,6152,1305,792,1269,1298,1488,10364,1979,1410,1934,3222,1819,3151,313,415,123,1710,590,39723,1063,4475,1270,1559,1658,1834,155,3962,7689,8657,1033,1631,795,1136,2806,36532,10882,3694,7285,8264,6407,35719,10608,3514,7169,8170,6258,99,69,3,2,9,16,122,32,7,5,47,31,216,59,74,41,9,33,31,11,0,0,20,0,49,7,28,4,1,9,296,96,68,64,8,60,35254,10462,3439,7115,8117,6121,531,168,93,71,62,137
