SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B15001_001,B15001_002,B15001_003,B15001_004,B15001_005,B15001_006,B15001_007,B15001_008,B15001_009,B15001_010,B15001_011,B15001_012,B15001_013,B15001_014,B15001_015,B15001_016,B15001_017,B15001_018,B15001_019,B15001_020,B15001_021,B15001_022,B15001_023,B15001_024,B15001_025,B15001_026,B15001_027,B15001_028,B15001_029,B15001_030,B15001_031,B15001_032,B15001_033,B15001_034,B15001_035,B15001_036,B15001_037,B15001_038,B15001_039,B15001_040,B15001_041,B15001_042,B15001_043,B15001_044,B15001_045,B15001_046,B15001_047,B15001_048,B15001_049,B15001_050,B15001_051,B15001_052,B15001_053,B15001_054,B15001_055,B15001_056,B15001_057,B15001_058,B15001_059,B15001_060,B15001_061,B15001_062,B15001_063,B15001_064,B15001_065,B15001_066,B15001_067,B15001_068,B15001_069,B15001_070,B15001_071,B15001_072,B15001_073,B15001_074,B15001_075,B15001_076,B15001_077,B15001_078,B15001_079,B15001_080,B15001_081,B15001_082,B15001_083,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_013,B15003_014,B15003_015,B15003_016,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,C15002F_001,C15002F_002,C15002F_003,C15002F_004,C15002F_005,C15002F_006,C15002F_007,C15002F_008,C15002F_009,C15002F_010,C15002F_011,C15002G_001,C15002G_002,C15002G_003,C15002G_004,C15002G_005,C15002G_006,C15002G_007,C15002G_008,C15002G_009,C15002G_010,C15002G_011,C15002H_001,C15002H_002,C15002H_003,C15002H_004,C15002H_005,C15002H_006,C15002H_007,C15002H_008,C15002H_009,C15002H_010,C15002H_011,C15002I_001,C15002I_002,C15002I_003,C15002I_004,C15002I_005,C15002I_006,C15002I_007,C15002I_008,C15002I_009,C15002I_010,C15002I_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010,B15012_011,B15012_012,B15012_013,B15012_014,B15012_015,B15012_016,C15010_001,C15010_002,C15010_003,C15010_004,C15010_005,C15010_006,C15010A_001,C15010A_002,C15010A_003,C15010A_004,C15010A_005,C15010A_006,C15010B_001,C15010B_002,C15010B_003,C15010B_004,C15010B_005,C15010B_006,C15010C_001,C15010C_002,C15010C_003,C15010C_004,C15010C_005,C15010C_006,C15010D_001,C15010D_002,C15010D_003,C15010D_004,C15010D_005,C15010D_006,C15010E_001,C15010E_002,C15010E_003,C15010E_004,C15010E_005,C15010E_006,C15010F_001,C15010F_002,C15010F_003,C15010F_004,C15010F_005,C15010F_006,C15010G_001,C15010G_002,C15010G_003,C15010G_004,C15010G_005,C15010G_006,C15010H_001,C15010H_002,C15010H_003,C15010H_004,C15010H_005,C15010H_006,C15010I_001,C15010I_002,C15010I_003,C15010I_004,C15010I_005,C15010I_006
40,IN,18,,,,,04000US18,Indiana,5007586,2436733,341530,7933,55544,114202,127405,10267,24349,1830,424217,15551,37684,129950,97556,34287,80331,28858,411047,15988,30926,132315,88120,37890,72294,33514,850935,29532,66030,320335,170145,65227,126180,73486,409004,26900,39758,155197,75918,17620,45740,47871,2570853,326369,5400,41752,90880,140914,12468,32985,1970,421491,11918,30586,90387,103071,47413,99484,38632,410997,12924,24900,100063,93658,51159,87314,40979,880677,24450,56146,314223,184165,88596,133274,79823,531319,32058,62107,243581,91206,22085,37369,42913,4339687,2095203,20580,7020,17226,43145,34241,49989,51866,38302,737797,138940,292799,155024,324545,121039,36488,26202,2244484,18542,7223,13116,42469,33209,53183,54250,33097,748254,151694,320406,209253,357441,162653,23141,16553,4339687,39122,581,626,1471,2223,4949,4393,5652,24690,13187,72427,67450,103172,106116,71399,1261742,224309,290634,613205,364277,681986,283692,59629,42755,3761488,1821130,208596,650760,510391,451383,1940358,204224,664375,579652,492107,361728,166364,27303,59545,54900,24616,195364,25823,59831,74841,34869,10934,5596,1333,1957,1500,806,5338,1049,1614,1962,713,77765,36433,4421,4685,4443,22884,41332,6451,6693,6527,21661,1529,744,102,270,167,205,785,95,280,277,133,78270,42115,16732,13886,7764,3733,36155,14225,9724,8460,3746,47973,22821,3882,6694,7598,4647,25152,3222,5737,9634,6559,3636651,1755828,185354,630765,497192,442517,1880823,185049,648088,565257,482429,212949,112119,41547,35415,22318,12839,100830,34762,27253,24925,13890,1068062,508274,161896,63161,12298,37764,10423,38250,252767,95105,20873,67144,21371,48274,93611,36868,6459,18699,17427,14158,559788,202682,49410,31333,33210,36422,52307,276824,51919,47162,57046,63326,57371,80282,9756,11588,5092,37289,16557,1151073,43657,66471,36553,45341,64103,75892,5138,138211,227929,193800,39672,66891,36632,40064,70719,1068062,306219,129713,218955,186258,226917,943490,258146,114011,194368,174218,202747,59485,16449,7031,15809,7370,12826,1519,455,262,235,220,347,44545,24421,6181,5389,2414,6140,338,85,42,73,44,94,7479,2841,955,1306,688,1689,11206,3822,1231,1775,1304,3074,924946,252173,112160,190065,172116,198432,26729,8912,2895,5856,2946,6120
40,IN,18,,,,,04001US18,Indiana -- Urban,3639369,1743892,268124,4555,41858,84416,108125,6366,21080,1724,330413,10512,29824,95619,76526,24557,67358,26017,301218,11821,23804,90137,64409,25623,57266,28158,574423,21186,45211,196109,116971,42719,94823,57404,269714,17907,25848,92590,51664,11961,34138,35606,1895477,263744,2560,32307,71215,119662,9084,27140,1776,333350,8088,25235,68461,82033,35029,81370,33134,305384,9664,20206,70499,69863,35179,67329,32644,613425,17757,41720,203877,128896,59144,101553,60478,379574,23790,45102,165437,67232,15817,29469,32727,3107501,1475768,16049,5857,15147,24373,23903,34962,37837,27985,474455,94327,215243,104860,253585,95518,29763,21904,1631733,14925,6143,11692,26539,25201,39794,41741,25527,508274,109035,238989,145169,279721,126036,19099,13848,3107501,30974,462,471,1219,1809,4126,3913,4872,21967,9824,41088,49104,74756,79578,53512,824103,158626,203362,454232,250029,533306,221554,48862,35752,2560134,1218630,135877,393187,342744,346822,1341504,143015,428062,395761,374666,352926,160183,25677,57347,53247,23912,192743,25576,59202,73967,33998,7921,3977,1034,1388,970,585,3944,808,1133,1483,520,72138,34492,4375,4267,4022,21828,37646,5933,5920,5594,20199,1132,530,101,171,122,136,602,84,229,217,72,72986,39094,15715,12943,7003,3433,33892,13388,9161,7872,3471,40264,18862,3334,5152,6322,4054,21402,2758,4567,8299,5778,2448779,1160312,114554,375406,331288,339064,1288467,125162,414066,383188,366051,193555,101850,38635,32125,19691,11399,91705,32548,24292,22450,12415,839474,400770,136487,52552,9996,32493,8113,33333,194539,72789,15166,53178,14935,38471,69744,27599,4742,14420,11991,10992,438704,165336,41649,24332,27142,27818,44395,211172,40919,34822,43860,44963,46608,62196,7878,8829,3828,27647,14014,906334,36383,48591,28962,37243,53370,59252,4223,104549,182233,141359,33748,55357,31189,34380,55495,839474,243386,97887,174921,135467,187813,721488,197821,83300,151488,124136,164743,57910,15827,6894,15413,7238,12538,1105,316,208,206,100,275,42027,23456,5553,5024,2182,5812,208,64,21,9,44,70,6904,2571,916,1185,657,1575,9832,3331,995,1596,1110,2800,705115,192464,81608,147707,122371,160965,23814,8005,2670,5171,2522,5446
40,IN,18,,,,,04043US18,Indiana -- Rural,1368217,692841,73406,3378,13686,29786,19280,3901,3269,106,93804,5039,7860,34331,21030,9730,12973,2841,109829,4167,7122,42178,23711,12267,15028,5356,276512,8346,20819,124226,53174,22508,31357,16082,139290,8993,13910,62607,24254,5659,11602,12265,675376,62625,2840,9445,19665,21252,3384,5845,194,88141,3830,5351,21926,21038,12384,18114,5498,105613,3260,4694,29564,23795,15980,19985,8335,267252,6693,14426,110346,55269,29452,31721,19345,151745,8268,17005,78144,23974,6268,7900,10186,1232186,619435,4531,1163,2079,18772,10338,15027,14029,10317,263342,44613,77556,50164,70960,25521,6725,4298,612751,3617,1080,1424,15930,8008,13389,12509,7570,239980,42659,81417,64084,77720,36617,4042,2705,1232186,8148,119,155,252,414,823,480,780,2723,3363,31339,18346,28416,26538,17887,437639,65683,87272,158973,114248,148680,62138,10767,7003,1201354,602500,72719,257573,167647,104561,598854,61209,236313,183891,117441,8802,6181,1626,2198,1653,704,2621,247,629,874,871,3013,1619,299,569,530,221,1394,241,481,479,193,5627,1941,46,418,421,1056,3686,518,773,933,1462,397,214,1,99,45,69,183,11,51,60,61,5284,3021,1017,943,761,300,2263,837,563,588,275,7709,3959,548,1542,1276,593,3750,464,1170,1335,781,1187872,595516,70800,255359,165904,103453,592356,59887,234022,182069,116378,19394,10269,2912,3290,2627,1440,9125,2214,2961,2475,1475,228588,107504,25409,10609,2302,5271,2310,4917,58228,22316,5707,13966,6436,9803,23867,9269,1717,4279,5436,3166,121084,37346,7761,7001,6068,8604,7912,65652,11000,12340,13186,18363,10763,18086,1878,2759,1264,9642,2543,244739,7274,17880,7591,8098,10733,16640,915,33662,45696,52441,5924,11534,5443,5684,15224,228588,62833,31826,44034,50791,39104,222002,60325,30711,42880,50082,38004,1575,622,137,396,132,288,414,139,54,29,120,72,2518,965,628,365,232,328,130,21,21,64,0,24,575,270,39,121,31,114,1374,491,236,179,194,274,219831,59709,30552,42358,49745,37467,2915,907,225,685,424,674
40,IN,18,,,,,040A0US18,Indiana -- In metropolitan or micropolitan statistical area,4657470,2263781,322139,6770,51499,106344,122783,9207,23731,1805,398466,13654,35205,120298,91950,31723,77268,28368,383435,14331,28789,120721,81956,35118,69824,32696,786433,26255,60084,289833,158685,60175,120433,70968,373308,23735,35384,138664,70372,16522,43361,45270,2393689,308834,4208,38931,85180,135283,11559,31738,1935,396405,10315,28855,83667,96378,43879,95691,37620,384022,11556,23107,91906,87838,46850,83483,39282,816539,22024,51545,285832,171173,81855,128182,75928,487889,28953,56439,220886,85198,20404,35573,40436,4026497,1941642,19061,6605,16324,35985,30940,45535,47671,35316,669516,128542,274421,143538,310886,116287,35484,25531,2084855,17348,6966,12553,35981,30632,48760,49782,30772,682291,140531,300056,192988,342929,154543,22561,16162,4026497,36409,545,596,1361,2133,4747,4189,5387,23490,11685,60281,61572,94295,97453,66088,1146889,204918,269073,574477,336526,653815,270830,58045,41693,3457042,1672144,184933,583991,471336,431884,1784898,182849,599710,533193,469146,359301,164889,27001,58920,54515,24453,194412,25692,59509,74490,34721,10188,5262,1232,1913,1329,788,4926,984,1469,1784,689,76676,36071,4418,4597,4382,22674,40605,6350,6522,6298,21435,1411,638,102,210,142,184,773,95,280,277,121,76119,40922,16185,13530,7547,3660,35197,13693,9479,8339,3686,45760,21716,3566,6355,7250,4545,24044,3131,5322,9194,6397,3335526,1608487,162291,564559,458506,423131,1727039,164155,584100,519199,459585,207331,109172,40357,34476,21696,12643,98159,33744,26319,24393,13703,1024383,488188,156935,61237,11962,36641,9881,37214,242622,91332,19812,64805,20075,46598,88631,35240,6120,17810,15968,13493,536195,195103,48133,29931,31611,34552,50876,265083,50130,45091,54947,59320,55595,76009,9465,10922,4859,34825,15938,1104662,42311,63178,35383,44143,62273,73208,4968,132081,219303,181804,38666,64604,35600,39149,67991,1024383,295537,123838,210673,174621,219714,901030,247876,108289,186398,162730,195737,59174,16371,7027,15630,7354,12792,1477,440,262,225,203,347,44109,24294,6077,5310,2337,6091,305,73,30,73,44,85,7346,2759,948,1272,678,1689,10942,3724,1205,1765,1275,2973,882716,241947,106445,182139,160645,191540,26346,8790,2881,5772,2925,5978
40,IN,18,,,,,040C0US18,Indiana -- In metropolitan statistical area,3887801,1884268,272539,5097,43048,86939,106662,7300,21748,1745,339395,10522,29131,98089,78707,26495,69716,26735,322051,11532,23859,95554,69265,28978,62958,29905,649053,20874,48221,228214,132405,48994,106304,64041,301230,18364,27840,107103,58306,13487,37610,38520,2003533,263764,3005,32716,70758,117935,9453,28098,1799,340671,7991,23946,68434,82613,36989,85594,35104,324570,9012,19201,73562,74427,38133,74913,35322,679314,17433,41651,227563,144548,66755,114158,67206,395214,23236,43732,174823,70906,16980,30923,34614,3351498,1611729,15562,5586,14079,26065,24560,36232,38732,29527,528960,105164,233519,117954,276588,103314,32375,23512,1739769,14469,6263,10689,26251,24587,38552,39804,25587,544382,116946,255548,158857,305588,136301,21027,14918,3351498,30031,512,477,1167,1978,4142,3573,4601,20167,8627,43689,49147,74784,78536,55114,909804,163538,222110,489067,276811,582176,239615,53402,38430,2812711,1358871,142465,449408,385241,381757,1453840,140007,465789,435060,412984,348678,158624,25662,56339,52728,23895,190054,24942,57923,73107,34082,8447,4246,951,1596,994,705,4201,856,1145,1629,571,72105,34024,4156,4261,3944,21663,38081,5878,6034,5564,20605,1279,603,97,190,142,174,676,47,251,271,107,68187,36439,14055,11840,7048,3496,31748,11997,8686,7593,3472,40091,18922,2957,5326,6540,4099,21169,2475,4554,8127,6013,2705216,1302731,122914,432305,373919,373593,1402485,123828,452319,422429,403909,184284,96606,34967,30231,19548,11860,87678,29259,23300,22180,12939,913623,435789,143194,56315,10831,33454,8466,34128,216465,82595,17460,58006,16659,41745,76130,30949,5398,15530,12791,11462,477834,176335,44460,26630,28835,29699,46711,235962,46057,39814,49660,49987,50444,65537,8369,9620,4337,29009,14202,986122,39261,56528,32603,39490,57295,65857,4452,117305,197709,152861,35494,56795,32505,36640,61327,913623,268745,109753,189822,146611,198692,794741,222748,94906,166477,135133,175477,57977,16031,6777,15373,7246,12550,1276,359,222,192,170,333,42268,23436,5811,4963,2198,5860,281,69,30,71,36,75,6968,2635,907,1153,637,1636,10112,3467,1100,1593,1191,2761,777502,217211,93128,162486,133265,171412,24799,8223,2780,5379,2630,5787
40,IN,18,,,,,040C1US18,Indiana -- In metropolitan statistical area -- in principal city,1658265,790137,140000,2513,19525,39834,61795,2776,12472,1085,162303,6277,15504,43078,37820,10305,34431,14888,129337,6831,11766,38006,27310,9530,23206,12688,246716,10914,22504,79027,49451,17311,40237,27272,111781,7236,11342,34444,21183,5007,15612,16957,868128,142076,1162,16861,34683,68368,3983,15966,1053,166072,4812,13336,33024,41059,15391,40035,18415,132060,5332,11044,30348,30424,13543,27309,14060,267379,9224,20209,82622,58032,24619,45268,27405,160541,10332,19247,63673,29953,6808,14642,15886,1376189,650137,8147,2943,9158,11010,11748,17229,19290,12849,194555,38916,96848,42153,113486,44774,14643,12388,726052,7629,3754,5995,12322,12288,18948,20670,11930,209667,48258,111210,60361,127254,58021,9734,8011,1376189,15776,257,182,776,1239,2261,1982,2645,12508,4604,18728,24036,36177,39960,24779,332752,71470,87174,208058,102514,240740,102795,24377,20399,1010549,482269,58479,140622,130797,152371,528280,59526,152768,152993,162993,263955,116893,20358,42445,38482,15608,147062,21241,47244,55961,22616,3849,1880,487,658,432,303,1969,437,556,793,183,42921,21022,2878,2683,1825,13636,21899,3608,2779,2958,12554,638,254,85,84,59,26,384,44,151,172,17,32550,17762,8651,5183,2613,1315,14788,7155,3845,2479,1309,21727,10057,1436,2880,3709,2032,11670,1525,2324,4473,3348,958247,454868,47119,132696,126173,148880,503379,49555,146571,148122,159131,88471,46819,20680,13754,7621,4764,41652,17757,10576,7995,5324,388311,185291,67950,28769,4473,14742,3162,16804,84772,32532,6226,21313,6180,18521,32569,13102,2343,6860,4996,5268,203020,80234,23121,10342,12450,10459,23862,92258,19256,13644,18558,17377,23423,30528,4030,4368,2097,12527,7506,422167,18630,23892,15313,18717,27134,27778,2228,44667,79310,57165,18638,28090,17231,16522,26852,388311,120810,41396,76020,54701,95384,315364,92341,33315,61900,47668,80140,38224,10268,4178,9958,4787,9033,486,141,38,103,69,135,26190,15368,2998,2745,1303,3776,43,0,10,2,17,14,2624,917,309,600,224,574,5380,1775,548,712,633,1712,308011,89854,32505,60407,46987,78258,10088,3393,1147,2084,971,2493
40,IN,18,,,,,040C2US18,Indiana -- In metropolitan statistical area -- not in principal city,2229536,1094131,132539,2584,23523,47105,44867,4524,9276,660,177092,4245,13627,55011,40887,16190,35285,11847,192714,4701,12093,57548,41955,19448,39752,17217,402337,9960,25717,149187,82954,31683,66067,36769,189449,11128,16498,72659,37123,8480,21998,21563,1135405,121688,1843,15855,36075,49567,5470,12132,746,174599,3179,10610,35410,41554,21598,45559,16689,192510,3680,8157,43214,44003,24590,47604,21262,411935,8209,21442,144941,86516,42136,68890,39801,234673,12904,24485,111150,40953,10172,16281,18728,1975309,961592,7415,2643,4921,15055,12812,19003,19442,16678,334405,66248,136671,75801,163102,58540,17732,11124,1013717,6840,2509,4694,13929,12299,19604,19134,13657,334715,68688,144338,98496,178334,78280,11293,6907,1975309,14255,255,295,391,739,1881,1591,1956,7659,4023,24961,25111,38607,38576,30335,577052,92068,134936,281009,174297,341436,136820,29025,18031,1802162,876602,83986,308786,254444,229386,925560,80481,313021,282067,249991,84723,41731,5304,13894,14246,8287,42992,3701,10679,17146,11466,4598,2366,464,938,562,402,2232,419,589,836,388,29184,13002,1278,1578,2119,8027,16182,2270,3255,2606,8051,641,349,12,106,83,148,292,3,100,99,90,35637,18677,5404,6657,4435,2181,16960,4842,4841,5114,2163,18364,8865,1521,2446,2831,2067,9499,950,2230,3654,2665,1746969,847863,75795,299609,247746,224713,899106,74273,305748,274307,244778,95813,49787,14287,16477,11927,7096,46026,11502,12724,14185,7615,525312,250498,75244,27546,6358,18712,5304,17324,131693,50063,11234,36693,10479,23224,43561,17847,3055,8670,7795,6194,274814,96101,21339,16288,16385,19240,22849,143704,26801,26170,31102,32610,27021,35009,4339,5252,2240,16482,6696,563955,20631,32636,17290,20773,30161,38079,2224,72638,118399,95696,16856,28705,15274,20118,34475,525312,147935,68357,113802,91910,103308,479377,130407,61591,104577,87465,95337,19753,5763,2599,5415,2459,3517,790,218,184,89,101,198,16078,8068,2813,2218,895,2084,238,69,20,69,19,61,4344,1718,598,553,413,1062,4732,1692,552,881,558,1049,469491,127357,60623,102079,86278,93154,14711,4830,1633,3295,1659,3294
40,IN,18,,,,,040E0US18,Indiana -- In micropolitan statistical area,769669,379513,49600,1673,8451,19405,16121,1907,1983,60,59071,3132,6074,22209,13243,5228,7552,1633,61384,2799,4930,25167,12691,6140,6866,2791,137380,5381,11863,61619,26280,11181,14129,6927,72078,5371,7544,31561,12066,3035,5751,6750,390156,45070,1203,6215,14422,17348,2106,3640,136,55734,2324,4909,15233,13765,6890,10097,2516,59452,2544,3906,18344,13411,8717,8570,3960,137225,4591,9894,58269,26625,15100,14024,8722,92675,5717,12707,46063,14292,3424,4650,5822,674999,329913,3499,1019,2245,9920,6380,9303,8939,5789,140556,23378,40902,25584,34298,12973,3109,2019,345086,2879,703,1864,9730,6045,10208,9978,5185,137909,23585,44508,34131,37341,18242,1534,1244,674999,6378,33,119,194,155,605,616,786,3323,3058,16592,12425,19511,18917,10974,237085,41380,46963,85410,59715,71639,31215,4643,3263,644331,313273,42468,134583,86095,50127,331058,42842,133921,98133,56162,10623,6265,1339,2581,1787,558,4358,750,1586,1383,639,1741,1016,281,317,335,83,725,128,324,155,118,4571,2047,262,336,438,1011,2524,472,488,734,830,132,35,5,20,0,10,97,48,29,6,14,7932,4483,2130,1690,499,164,3449,1696,793,746,214,5669,2794,609,1029,710,446,2875,656,768,1067,384,630310,305756,39377,132254,84587,49538,324554,40327,131781,96770,55676,23047,12566,5390,4245,2148,783,10481,4485,3019,2213,764,110760,52399,13741,4922,1131,3187,1415,3086,26157,8737,2352,6799,3416,4853,12501,4291,722,2280,3177,2031,58361,18768,3673,3301,2776,4853,4165,29121,4073,5277,5287,9333,5151,10472,1096,1302,522,5816,1736,118540,3050,6650,2780,4653,4978,7351,516,14776,21594,28943,3172,7809,3095,2509,6664,110760,26792,14085,20851,28010,21022,106289,25128,13383,19921,27597,20260,1197,340,250,257,108,242,201,81,40,33,33,14,1841,858,266,347,139,231,24,4,0,2,8,10,378,124,41,119,41,53,830,257,105,172,84,212,105214,24736,13317,19653,27380,20128,1547,567,101,393,295,191
40,IN,18,,,,,040E1US18,Indiana -- In micropolitan statistical area -- in principal city,276362,130497,20157,440,3098,7741,7506,606,745,21,23499,1023,2747,8988,5475,1641,2950,675,21875,1326,2262,8447,4775,1604,2346,1115,42054,1968,4006,17902,8126,3322,4476,2254,22912,2183,2544,9293,3738,919,1994,2241,145865,19328,329,2469,6323,8434,678,1003,92,22636,718,2403,6464,5794,2445,3836,976,21664,1109,1856,6736,5157,2985,2482,1339,45689,1812,4269,19157,8564,4916,4307,2664,36548,2577,5605,16966,5872,1406,1723,2399,236877,110340,1817,404,1279,3000,2190,3552,3671,2146,44630,7111,15003,7486,11766,4417,1100,768,126537,1377,366,1034,3439,2570,4606,4804,2153,49323,8842,16545,11752,12348,6430,561,387,236877,3194,21,53,71,30,214,381,392,1921,1482,4957,4760,8158,8475,4299,77423,16530,15953,31548,19238,24114,10847,1661,1155,217829,100181,15014,41110,27391,16666,117648,17793,46758,34645,18452,7979,4371,924,1684,1397,366,3608,659,1354,1099,496,685,331,129,114,77,11,354,59,166,74,55,2797,1475,224,186,287,778,1322,304,191,384,443,74,14,4,0,0,10,60,37,11,4,8,5038,2805,1415,1143,175,72,2233,1184,512,440,97,2475,1163,349,393,273,148,1312,313,331,493,175,211114,96551,13519,39865,26815,16352,114563,16603,45808,33915,18237,12467,6800,3035,2534,825,406,5667,2557,1546,1231,333,37777,18051,5380,2026,292,1299,581,1182,8436,2461,713,2416,1121,1725,4235,1359,255,789,949,883,19726,6664,1493,1228,795,1679,1469,8940,1148,1543,1535,2784,1930,4122,481,494,210,2254,683,40379,1021,1723,792,1935,1945,2487,197,4646,7235,9696,1431,2746,1202,938,2385,37777,8968,4525,7044,9368,7872,35118,7983,4008,6487,9200,7440,862,177,227,181,91,186,66,39,21,0,0,6,1221,592,217,261,15,136,18,0,0,0,8,10,169,90,26,22,14,17,323,87,26,93,40,77,34589,7779,3979,6335,9082,7414,739,312,55,180,139,53
40,IN,18,,,,,040E2US18,Indiana -- In micropolitan statistical area -- not in principal city,493307,249016,29443,1233,5353,11664,8615,1301,1238,39,35572,2109,3327,13221,7768,3587,4602,958,39509,1473,2668,16720,7916,4536,4520,1676,95326,3413,7857,43717,18154,7859,9653,4673,49166,3188,5000,22268,8328,2116,3757,4509,244291,25742,874,3746,8099,8914,1428,2637,44,33098,1606,2506,8769,7971,4445,6261,1540,37788,1435,2050,11608,8254,5732,6088,2621,91536,2779,5625,39112,18061,10184,9717,6058,56127,3140,7102,29097,8420,2018,2927,3423,438122,219573,1682,615,966,6920,4190,5751,5268,3643,95926,16267,25899,18098,22532,8556,2009,1251,218549,1502,337,830,6291,3475,5602,5174,3032,88586,14743,27963,22379,24993,11812,973,857,438122,3184,12,66,123,125,391,235,394,1402,1576,11635,7665,11353,10442,6675,159662,24850,31010,53862,40477,47525,20368,2982,2108,426502,213092,27454,93473,58704,33461,213410,25049,87163,63488,37710,2644,1894,415,897,390,192,750,91,232,284,143,1056,685,152,203,258,72,371,69,158,81,63,1774,572,38,150,151,233,1202,168,297,350,387,58,21,1,20,0,0,37,11,18,2,6,2894,1678,715,547,324,92,1216,512,281,306,117,3194,1631,260,636,437,298,1563,343,437,574,209,419196,209205,25858,92389,57772,33186,209991,23724,85973,62855,37439,10580,5766,2355,1711,1323,377,4814,1928,1473,982,431,72983,34348,8361,2896,839,1888,834,1904,17721,6276,1639,4383,2295,3128,8266,2932,467,1491,2228,1148,38635,12104,2180,2073,1981,3174,2696,20181,2925,3734,3752,6549,3221,6350,615,808,312,3562,1053,78161,2029,4927,1988,2718,3033,4864,319,10130,14359,19247,1741,5063,1893,1571,4279,72983,17824,9560,13807,18642,13150,71171,17145,9375,13434,18397,12820,335,163,23,76,17,56,135,42,19,33,33,8,620,266,49,86,124,95,6,4,0,2,0,0,209,34,15,97,27,36,507,170,79,79,44,135,70625,16957,9338,13318,18298,12714,808,255,46,213,156,138
