SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B15001_001,B15001_002,B15001_003,B15001_004,B15001_005,B15001_006,B15001_007,B15001_008,B15001_009,B15001_010,B15001_011,B15001_012,B15001_013,B15001_014,B15001_015,B15001_016,B15001_017,B15001_018,B15001_019,B15001_020,B15001_021,B15001_022,B15001_023,B15001_024,B15001_025,B15001_026,B15001_027,B15001_028,B15001_029,B15001_030,B15001_031,B15001_032,B15001_033,B15001_034,B15001_035,B15001_036,B15001_037,B15001_038,B15001_039,B15001_040,B15001_041,B15001_042,B15001_043,B15001_044,B15001_045,B15001_046,B15001_047,B15001_048,B15001_049,B15001_050,B15001_051,B15001_052,B15001_053,B15001_054,B15001_055,B15001_056,B15001_057,B15001_058,B15001_059,B15001_060,B15001_061,B15001_062,B15001_063,B15001_064,B15001_065,B15001_066,B15001_067,B15001_068,B15001_069,B15001_070,B15001_071,B15001_072,B15001_073,B15001_074,B15001_075,B15001_076,B15001_077,B15001_078,B15001_079,B15001_080,B15001_081,B15001_082,B15001_083,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_013,B15003_014,B15003_015,B15003_016,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,C15002F_001,C15002F_002,C15002F_003,C15002F_004,C15002F_005,C15002F_006,C15002F_007,C15002F_008,C15002F_009,C15002F_010,C15002F_011,C15002G_001,C15002G_002,C15002G_003,C15002G_004,C15002G_005,C15002G_006,C15002G_007,C15002G_008,C15002G_009,C15002G_010,C15002G_011,C15002H_001,C15002H_002,C15002H_003,C15002H_004,C15002H_005,C15002H_006,C15002H_007,C15002H_008,C15002H_009,C15002H_010,C15002H_011,C15002I_001,C15002I_002,C15002I_003,C15002I_004,C15002I_005,C15002I_006,C15002I_007,C15002I_008,C15002I_009,C15002I_010,C15002I_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010,B15012_011,B15012_012,B15012_013,B15012_014,B15012_015,B15012_016,C15010_001,C15010_002,C15010_003,C15010_004,C15010_005,C15010_006,C15010A_001,C15010A_002,C15010A_003,C15010A_004,C15010A_005,C15010A_006,C15010B_001,C15010B_002,C15010B_003,C15010B_004,C15010B_005,C15010B_006,C15010C_001,C15010C_002,C15010C_003,C15010C_004,C15010C_005,C15010C_006,C15010D_001,C15010D_002,C15010D_003,C15010D_004,C15010D_005,C15010D_006,C15010E_001,C15010E_002,C15010E_003,C15010E_004,C15010E_005,C15010E_006,C15010F_001,C15010F_002,C15010F_003,C15010F_004,C15010F_005,C15010F_006,C15010G_001,C15010G_002,C15010G_003,C15010G_004,C15010G_005,C15010G_006,C15010H_001,C15010H_002,C15010H_003,C15010H_004,C15010H_005,C15010H_006,C15010I_001,C15010I_002,C15010I_003,C15010I_004,C15010I_005,C15010I_006
40,KS,20,,,,,04000US20,Kansas,2176945,1072913,155909,2614,19003,47439,65618,8918,11650,667,196061,6567,15020,48431,50140,17115,43499,15289,175221,7411,11763,41746,41984,14995,37437,19885,362278,12548,20958,105033,85153,25099,71454,42033,183444,9957,10449,59647,38918,7822,30996,25655,1104032,142541,1418,14450,33947,65499,10480,15353,1394,188266,4900,10626,32732,45752,20690,51149,22417,170382,6090,8496,31525,38856,19480,41949,23986,370760,10852,16562,94347,93694,35741,75069,44495,232083,12836,17014,86434,55290,12021,28838,19650,1878495,917004,8490,4592,9014,14387,12155,14065,18706,13264,254857,70778,145417,65031,183386,68841,20861,13160,961491,7520,3977,7934,15247,10986,13426,16416,11870,245038,82084,151508,87932,197005,87849,13631,9068,1878495,16010,246,247,849,1404,3128,2695,2834,14114,5417,24217,23141,27491,35122,25134,421417,78478,152862,296925,152963,380391,156690,34492,22228,1646514,801313,73326,222680,246750,258557,845201,67195,217036,282931,278039,100350,50395,6812,16417,18224,8942,49955,6035,13029,20753,10138,14445,7307,970,2197,2706,1434,7138,1048,1822,3038,1230,48675,22558,3386,3295,4047,11830,26117,4804,4982,4402,11929,1067,662,37,241,136,248,405,69,98,138,100,34238,18249,8135,5714,3130,1270,15989,6562,4095,3933,1399,33206,16520,2007,4313,6233,3967,16686,1663,3976,6329,4718,1531109,741213,49470,206368,234473,250902,789896,47416,202869,269424,270187,157650,82514,32972,23323,16538,9681,75136,27300,19196,18675,9965,593801,286248,87464,36774,5495,20032,5776,19387,142133,54737,8692,38798,13358,26548,56651,21301,3271,13790,9501,8788,307553,107218,26436,15365,19773,18428,27216,151847,27527,22662,31822,37611,32225,48488,6136,5832,3949,22685,9886,639181,23820,45765,17815,24822,36829,37810,3273,66664,132867,111715,20074,31010,22710,25470,38537,593801,172911,61317,128164,107359,124050,536596,150327,54851,116335,102161,112922,19080,4927,2555,4846,2288,4464,2664,729,254,678,334,669,23759,13060,2445,3745,1123,3386,348,140,20,73,32,83,2669,916,172,746,391,444,8685,2812,1020,1741,1030,2082,521089,145329,53327,112378,100076,109979,19646,6334,1916,4979,2590,3827
40,KS,20,,,,,04001US20,Kansas -- Urban,1613963,789044,127317,2035,14549,37090,55896,6859,10246,642,157990,5678,12554,37139,39658,12658,36388,13915,134496,6093,9476,30361,31035,10718,29837,16976,250037,9676,15164,64944,56403,15919,53776,34155,119204,6428,6596,33438,24672,5362,22852,19856,824919,118455,833,11246,27098,56576,8216,13225,1261,152026,4244,8827,25401,36297,15873,42105,19279,131124,4995,6947,24189,29434,13740,32363,19456,261125,8978,12705,62481,63676,23597,55978,33710,162189,9366,12733,56377,38193,8263,21569,15688,1368191,661727,7172,3925,7732,9046,9539,10255,14242,9754,165882,48370,103398,44657,142853,56327,17675,10900,706464,6490,3577,7017,10499,8773,10164,12811,9464,168448,57567,110033,61473,152015,69349,11338,7446,1368191,13662,190,197,758,1301,2756,2300,2473,12276,4530,15015,18312,20419,27053,19218,277495,56835,105937,213431,106130,294868,125676,29013,18346,1158573,557509,52626,137130,165698,202055,601064,50285,143309,194403,213067,96345,47908,6525,15691,17179,8513,48437,5824,12749,20175,9689,10239,5249,671,1483,2007,1088,4990,845,1172,2144,829,46075,21606,3281,3146,3836,11343,24469,4560,4622,3971,11316,838,517,22,152,117,226,321,68,89,100,64,30026,15823,6953,5102,2621,1147,14203,5806,3641,3536,1220,26095,13115,1587,3178,4967,3383,12980,1407,2866,4744,3963,1055513,503747,30943,122856,154867,195081,551766,32363,130745,182528,206130,139799,72975,29440,20377,14410,8748,66824,24571,16950,16503,8800,467903,227755,73858,30727,4510,17604,4334,16683,111189,41597,6791,31307,9395,22099,42708,15934,2450,10853,6456,7015,240148,88110,22139,12351,16173,14219,23228,114781,21352,16634,24859,25781,26155,37257,5065,4338,3041,16896,7917,504423,20100,30336,14131,20561,31398,31561,2787,51441,107600,80158,17229,25485,19135,22097,30404,467903,136814,47074,103837,77081,103097,415122,115613,41257,92965,72506,92781,18202,4707,2419,4624,2200,4252,1917,570,167,494,206,480,22659,12618,2268,3427,1060,3286,290,131,12,73,23,51,2367,776,126,709,343,413,7346,2399,825,1545,743,1834,401211,111037,39903,89468,70683,90120,17548,5722,1659,4457,2238,3472
40,KS,20,,,,,04043US20,Kansas -- Rural,562982,283869,28592,579,4454,10349,9722,2059,1404,25,38071,889,2466,11292,10482,4457,7111,1374,40725,1318,2287,11385,10949,4277,7600,2909,112241,2872,5794,40089,28750,9180,17678,7878,64240,3529,3853,26209,14246,2460,8144,5799,279113,24086,585,3204,6849,8923,2264,2128,133,36240,656,1799,7331,9455,4817,9044,3138,39258,1095,1549,7336,9422,5740,9586,4530,109635,1874,3857,31866,30018,12144,19091,10785,69894,3470,4281,30057,17097,3758,7269,3962,510304,255277,1318,667,1282,5341,2616,3810,4464,3510,88975,22408,42019,20374,40533,12514,3186,2260,255027,1030,400,917,4748,2213,3262,3605,2406,76590,24517,41475,26459,44990,18500,2293,1622,510304,2348,56,50,91,103,372,395,361,1838,887,9202,4829,7072,8069,5916,143922,21643,46925,83494,46833,85523,31014,5479,3882,487941,243804,20700,85550,81052,56502,244137,16910,73727,88528,64972,4005,2487,287,726,1045,429,1518,211,280,578,449,4206,2058,299,714,699,346,2148,203,650,894,401,2600,952,105,149,211,487,1648,244,360,431,613,229,145,15,89,19,22,84,1,9,38,36,4212,2426,1182,612,509,123,1786,756,454,397,179,7111,3405,420,1135,1266,584,3706,256,1110,1585,755,475596,237466,18527,83512,79606,55821,238130,15053,72124,86896,64057,17851,9539,3532,2946,2128,933,8312,2729,2246,2172,1165,125898,58493,13606,6047,985,2428,1442,2704,30944,13140,1901,7491,3963,4449,13943,5367,821,2937,3045,1773,67405,19108,4297,3014,3600,4209,3988,37066,6175,6028,6963,11830,6070,11231,1071,1494,908,5789,1969,134758,3720,15429,3684,4261,5431,6249,486,15223,25267,31557,2845,5525,3575,3373,8133,125898,36097,14243,24327,30278,20953,121474,34714,13594,23370,29655,20141,878,220,136,222,88,212,747,159,87,184,128,189,1100,442,177,318,63,100,58,9,8,0,9,32,302,140,46,37,48,31,1339,413,195,196,287,248,119878,34292,13424,22910,29393,19859,2098,612,257,522,352,355
40,KS,20,,,,,040A0US20,Kansas -- In metropolitan or micropolitan statistical area,1874890,922188,138951,2214,16322,41506,59796,7712,10802,599,173977,5801,13133,41942,43914,14644,40033,14510,154001,6431,10135,35376,36209,12752,34590,18508,307524,10896,17445,84800,70926,20524,64021,38912,147735,7468,8166,44620,31540,6477,26762,22702,952702,128435,1111,12331,30558,60002,8832,14255,1346,167970,4357,9408,28259,40049,17836,47019,21042,150407,5347,7525,27301,33471,16432,38182,22149,317508,9520,14391,78528,78097,29253,67324,40395,188382,10310,13897,68521,44211,9619,24236,17588,1607504,783237,7426,4116,7958,11096,10477,11468,15675,11259,206738,59017,123572,54397,165406,63302,19123,12207,824267,6770,3565,7090,12109,9255,11438,14159,10369,202609,67345,128483,73140,176761,79914,12721,8539,1607504,14196,205,192,726,1255,2814,2489,2510,12538,4666,18539,19732,22906,29834,21628,343088,66259,126362,252055,127537,342167,143216,31844,20746,1388578,674703,59875,176730,204833,233265,713875,55840,176086,232624,249325,98028,48800,6524,15937,17502,8837,49228,5910,12859,20407,10052,11949,6041,795,1801,2272,1173,5908,924,1418,2460,1106,47640,22223,3323,3233,3958,11709,25417,4728,4802,4230,11657,927,581,23,202,125,231,346,69,82,107,88,31030,16455,7277,5194,2785,1199,14575,5815,3843,3594,1323,29352,14434,1658,3641,5511,3624,14918,1469,3519,5546,4384,1282415,619541,38142,161961,193446,225992,662874,37524,163361,220165,241824,144472,75384,29872,21180,15175,9157,69088,25032,17402,17138,9516,537973,260038,81293,33885,5134,19198,4999,18077,129281,49269,8035,36055,11261,24661,49464,18592,2780,12357,7756,7979,277935,98928,24837,14189,18451,16059,25392,137183,25246,20458,29685,31983,29811,41824,5527,5050,3451,19000,8796,579473,22530,38104,16082,22995,34557,36165,3020,60423,123546,94815,18732,28127,21310,23951,35116,537973,157356,55646,119197,91058,114716,482590,135375,49394,107646,86241,103934,18889,4887,2531,4825,2229,4417,2279,642,226,645,211,555,23366,12903,2347,3684,1105,3327,319,140,20,66,27,66,2522,863,153,707,381,418,8008,2546,975,1624,864,1999,467816,130588,47951,103824,84265,101188,18673,6047,1809,4805,2430,3582
40,KS,20,,,,,040C0US20,Kansas -- In metropolitan statistical area,1462534,717376,104857,1309,12269,30935,45312,5314,9218,500,136624,3955,9131,30964,33759,10837,35013,12965,122819,4576,7432,26332,27836,9854,29843,16946,240836,6587,12686,62306,54371,15245,55131,34510,112240,4924,5936,32106,23540,4583,22107,19044,745158,97918,651,9494,22258,46034,6559,11678,1244,133519,3020,6806,20838,30879,13404,39682,18890,120724,3720,5134,20820,25991,12593,32728,19738,250509,6072,10423,60230,59923,21339,57813,34709,142488,6971,9969,50999,33260,6974,19738,14577,1259759,612519,5224,2624,4868,7326,6934,8686,11246,8319,151708,43917,95589,40519,142094,55742,17009,10714,647240,4969,2310,4332,8172,6201,8220,10187,7724,152887,50190,99863,54310,149961,69008,11269,7637,1259759,10193,178,111,541,706,1799,1599,1545,7655,3445,12053,13135,16906,21433,16043,256186,48409,94107,195452,94829,292055,124750,28278,18351,1077637,523314,41325,127396,153623,200970,554323,37901,130404,173864,212154,86516,42213,5490,13337,15231,8155,44303,5191,11638,18269,9205,9289,4620,576,1341,1714,989,4669,699,1111,1968,891,42320,19912,2565,2778,3453,11116,22408,3946,4189,3600,10673,694,460,23,153,63,221,234,55,61,41,77,20075,10562,4112,3801,1616,1033,9513,3257,2705,2433,1118,23228,11438,1136,2902,4325,3075,11790,1066,2779,4188,3757,1001814,483969,26467,116992,145477,195033,517845,25727,121146,165043,205929,101487,52782,19426,15237,10556,7563,48705,16057,12667,12043,7938,463434,225559,71599,30219,4170,17520,3733,15957,112809,43374,6836,32031,8952,21616,41151,15996,2191,10199,5855,6910,237875,85326,21955,12080,16034,13031,22226,118234,22337,17889,25800,25591,26617,34315,4827,4301,2856,14726,7605,498874,20321,31655,13782,19762,30394,33812,2814,51536,108201,74734,16890,24403,18880,21754,29936,463434,138708,47467,104440,71888,100931,413124,118308,41802,93786,67807,91421,17360,4454,2309,4514,1993,4090,1880,544,199,580,145,412,21789,12329,2179,3405,990,2886,298,140,20,56,16,66,2151,713,115,650,308,365,6832,2220,843,1449,629,1691,400962,114185,40684,90595,66376,89122,15501,5224,1414,4100,1808,2955
40,KS,20,,,,,040C1US20,Kansas -- In metropolitan statistical area -- in principal city,757482,367744,63665,850,6850,15864,30577,2899,6253,372,76743,2849,6034,16665,18645,5982,18733,7835,58943,3348,4920,13231,12557,4074,13082,7731,114959,4471,7573,29036,25258,6600,25313,16708,53434,2950,3205,13913,10483,2112,10747,10024,389738,62634,431,5755,12676,31761,3569,7543,899,74696,2052,4695,12619,17291,6796,20687,10556,58800,2619,3917,11367,12487,5383,14093,8934,121774,4508,6606,29608,28499,9566,26202,16785,71834,4287,5575,24086,16470,3395,10137,7884,631183,304079,3710,1929,3735,4244,4612,5107,7171,4842,72845,20433,46510,18768,67875,27284,8569,6445,327104,3595,1663,3223,4985,4371,5226,6211,4985,77680,24420,50327,25140,71119,33793,5749,4617,631183,7305,69,80,457,530,1282,1174,1234,5724,2474,6755,8983,10333,13382,9827,125726,24799,44853,96837,43908,138994,61077,14318,11062,500887,241407,24426,55378,67933,93670,259480,23038,60258,78044,98140,66271,30725,4313,9957,11140,5315,35546,4293,10005,14738,6510,5140,2542,369,677,890,606,2598,484,562,1071,481,29495,14090,1977,2141,2201,7771,15405,3005,3030,2114,7256,293,163,13,42,14,94,130,40,28,22,40,15319,8086,3449,2821,1027,789,7233,2670,2160,1614,789,13778,7066,803,1829,2506,1928,6712,729,1637,2284,2062,449140,214760,13103,48488,62765,90404,234380,13540,53613,72841,94386,70748,36510,15088,10353,6641,4428,34238,12635,9357,7351,4895,225451,110173,37100,16168,2260,8443,1335,8894,52302,20003,2786,14628,3970,10915,20771,8166,1308,4906,2697,3694,115278,42831,11614,5685,7786,5692,12054,54426,10310,7787,11487,10875,13967,18021,2572,2239,1486,7442,4282,243764,11018,14025,7313,9570,16049,16974,1350,24030,50523,33287,9674,12911,10854,10983,15203,225451,68833,22065,48736,32011,53806,191810,54987,18576,41855,29280,47112,11825,2764,1494,3102,1424,3041,1087,388,98,300,48,253,15027,8836,1427,2142,682,1940,134,56,12,21,12,33,1578,475,70,520,237,276,3990,1327,388,796,328,1151,184790,52632,17879,40139,28466,45674,9323,3083,834,2402,1094,1910
40,KS,20,,,,,040C2US20,Kansas -- In metropolitan statistical area -- not in principal city,705052,349632,41192,459,5419,15071,14735,2415,2965,128,59881,1106,3097,14299,15114,4855,16280,5130,63876,1228,2512,13101,15279,5780,16761,9215,125877,2116,5113,33270,29113,8645,29818,17802,58806,1974,2731,18193,13057,2471,11360,9020,355420,35284,220,3739,9582,14273,2990,4135,345,58823,968,2111,8219,13588,6608,18995,8334,61924,1101,1217,9453,13504,7210,18635,10804,128735,1564,3817,30622,31424,11773,31611,17924,70654,2684,4394,26913,16790,3579,9601,6693,628576,308440,1514,695,1133,3082,2322,3579,4075,3477,78863,23484,49079,21751,74219,28458,8440,4269,320136,1374,647,1109,3187,1830,2994,3976,2739,75207,25770,49536,29170,78842,35215,5520,3020,628576,2888,109,31,84,176,517,425,311,1931,971,5298,4152,6573,8051,6216,130460,23610,49254,98615,50921,153061,63673,13960,7289,576750,281907,16899,72018,85690,107300,294843,14863,70146,95820,114014,20245,11488,1177,3380,4091,2840,8757,898,1633,3531,2695,4149,2078,207,664,824,383,2071,215,549,897,410,12825,5822,588,637,1252,3345,7003,941,1159,1486,3417,401,297,10,111,49,127,104,15,33,19,37,4756,2476,663,980,589,244,2280,587,545,819,329,9450,4372,333,1073,1819,1147,5078,337,1142,1904,1695,552674,269209,13364,68504,82712,104629,283465,12187,67533,92202,111543,30739,16272,4338,4884,3915,3135,14467,3422,3310,4692,3043,237983,115386,34499,14051,1910,9077,2398,7063,60507,23371,4050,17403,4982,10701,20380,7830,883,5293,3158,3216,122597,42495,10341,6395,8248,7339,10172,63808,12027,10102,14313,14716,12650,16294,2255,2062,1370,7284,3323,255110,9303,17630,6469,10192,14345,16838,1464,27506,57678,41447,7216,11492,8026,10771,14733,237983,69875,25402,55704,39877,47125,221314,63321,23226,51931,38527,44309,5535,1690,815,1412,569,1049,793,156,101,280,97,159,6762,3493,752,1263,308,946,164,84,8,35,4,33,573,238,45,130,71,89,2842,893,455,653,301,540,216172,61553,22805,50456,37910,43448,6178,2141,580,1698,714,1045
40,KS,20,,,,,040E0US20,Kansas -- In micropolitan statistical area,412356,204812,34094,905,4053,10571,14484,2398,1584,99,37353,1846,4002,10978,10155,3807,5020,1545,31182,1855,2703,9044,8373,2898,4747,1562,66688,4309,4759,22494,16555,5279,8890,4402,35495,2544,2230,12514,8000,1894,4655,3658,207544,30517,460,2837,8300,13968,2273,2577,102,34451,1337,2602,7421,9170,4432,7337,2152,29683,1627,2391,6481,7480,3839,5454,2411,66999,3448,3968,18298,18174,7914,9511,5686,45894,3339,3928,17522,10951,2645,4498,3011,347745,170718,2202,1492,3090,3770,3543,2782,4429,2940,55030,15100,27983,13878,23312,7560,2114,1493,177027,1801,1255,2758,3937,3054,3218,3972,2645,49722,17155,28620,18830,26800,10906,1452,902,347745,4003,27,81,185,549,1015,890,965,4883,1221,6486,6597,6000,8401,5585,86902,17850,32255,56603,32708,50112,18466,3566,2395,310941,151389,18550,49334,51210,32295,159552,17939,45682,58760,37171,11512,6587,1034,2600,2271,682,4925,719,1221,2138,847,2660,1421,219,460,558,184,1239,225,307,492,215,5320,2311,758,455,505,593,3009,782,613,630,984,233,121,0,49,62,10,112,14,21,66,11,10955,5893,3165,1393,1169,166,5062,2558,1138,1161,205,6124,2996,522,739,1186,549,3128,403,740,1358,627,280601,135572,11675,44969,47969,30959,145029,11797,42215,55122,35895,42985,22602,10446,5943,4619,1594,20383,8975,4735,5095,1578,74539,34479,9694,3666,964,1678,1266,2120,16472,5895,1199,4024,2309,3045,8313,2596,589,2158,1901,1069,40060,13602,2882,2109,2417,3028,3166,18949,2909,2569,3885,6392,3194,7509,700,749,595,4274,1191,80599,2209,6449,2300,3233,4163,2353,206,8887,15345,20081,1842,3724,2430,2197,5180,74539,18648,8179,14757,19170,13785,69466,17067,7592,13860,18434,12513,1529,433,222,311,236,327,399,98,27,65,66,143,1577,574,168,279,115,441,21,0,0,10,11,0,371,150,38,57,73,53,1176,326,132,175,235,308,66854,16403,7267,13229,17889,12066,3172,823,395,705,622,627
40,KS,20,,,,,040E1US20,Kansas -- In micropolitan statistical area -- in principal city,262962,129690,25146,583,2686,7293,11460,1798,1264,62,26008,1427,3022,7541,7090,2271,3501,1156,20123,1447,1991,5911,5006,1789,2899,1080,38934,3187,3026,12478,9682,2568,5103,2890,19479,1589,1137,6372,4289,1029,2777,2286,133272,23007,202,2016,5715,11297,1616,2092,69,23694,1143,1993,5042,6057,2954,4951,1554,18885,1186,1747,4503,4694,2101,3177,1477,39551,2628,2752,10394,10566,4371,5671,3169,28135,2368,2676,10076,6539,1529,2911,2036,214809,104544,1819,1132,2509,2190,2616,1615,2964,1981,32302,8964,17103,7657,14280,4887,1461,1064,110265,1553,1114,2215,2443,2346,2087,2848,1887,30015,10549,17307,10955,16710,6717,831,688,214809,3372,0,69,152,458,886,681,723,4001,968,3665,4962,3702,5812,3868,50444,11873,19513,34410,18612,30990,11604,2292,1752,185750,89049,12167,27621,29315,19946,96701,12582,26872,34402,22845,9735,5506,867,2296,1802,541,4229,641,1072,1785,731,1683,955,167,320,341,127,728,189,168,247,124,4611,2074,726,397,441,510,2537,703,540,501,793,202,92,0,23,59,10,110,14,19,66,11,8925,4827,2504,1175,997,151,4098,2059,967,956,116,3903,2041,395,470,769,407,1862,305,377,854,326,160757,75891,6312,24159,26690,18730,84866,7403,24032,31550,21881,35259,18720,8687,4792,3810,1431,16539,7472,3913,4002,1152,46638,21692,6666,2336,665,1237,944,1484,9963,3312,684,2526,1411,2030,5063,1468,383,1341,1194,677,24946,9240,1921,1384,1688,2008,2239,10759,1746,1451,2194,3446,1922,4947,500,484,353,2817,793,50324,1460,2977,1504,2222,2919,1332,159,5489,9690,12411,1228,2405,1645,1522,3361,46638,11283,5051,9339,11820,9145,42791,10027,4606,8647,11333,8178,1272,347,218,258,178,271,251,77,0,34,28,112,1303,497,154,222,97,333,21,0,0,10,11,0,267,136,7,43,47,34,733,199,66,125,126,217,40611,9429,4329,8142,10864,7847,2583,734,316,554,523,456
40,KS,20,,,,,040E2US20,Kansas -- In micropolitan statistical area -- not in principal city,149394,75122,8948,322,1367,3278,3024,600,320,37,11345,419,980,3437,3065,1536,1519,389,11059,408,712,3133,3367,1109,1848,482,27754,1122,1733,10016,6873,2711,3787,1512,16016,955,1093,6142,3711,865,1878,1372,74272,7510,258,821,2585,2671,657,485,33,10757,194,609,2379,3113,1478,2386,598,10798,441,644,1978,2786,1738,2277,934,27448,820,1216,7904,7608,3543,3840,2517,17759,971,1252,7446,4412,1116,1587,975,132936,66174,383,360,581,1580,927,1167,1465,959,22728,6136,10880,6221,9032,2673,653,429,66762,248,141,543,1494,708,1131,1124,758,19707,6606,11313,7875,10090,4189,621,214,132936,631,27,12,33,91,129,209,242,882,253,2821,1635,2298,2589,1717,36458,5977,12742,22193,14096,19122,6862,1274,643,125191,62340,6383,21713,21895,12349,62851,5357,18810,24358,14326,1777,1081,167,304,469,141,696,78,149,353,116,977,466,52,140,217,57,511,36,139,245,91,709,237,32,58,64,83,472,79,73,129,191,31,29,0,26,3,0,2,0,2,0,0,2030,1066,661,218,172,15,964,499,171,205,89,2221,955,127,269,417,142,1266,98,363,504,301,119844,59681,5363,20810,21279,12229,60163,4394,18183,23572,14014,7726,3882,1759,1151,809,163,3844,1503,822,1093,426,27901,12787,3028,1330,299,441,322,636,6509,2583,515,1498,898,1015,3250,1128,206,817,707,392,15114,4362,961,725,729,1020,927,8190,1163,1118,1691,2946,1272,2562,200,265,242,1457,398,30275,749,3472,796,1011,1244,1021,47,3398,5655,7670,614,1319,785,675,1819,27901,7365,3128,5418,7350,4640,26675,7040,2986,5213,7101,4335,257,86,4,53,58,56,148,21,27,31,38,31,274,77,14,57,18,108,0,0,0,0,0,0,104,14,31,14,26,19,443,127,66,50,109,91,26243,6974,2938,5087,7025,4219,589,89,79,151,99,171
