SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B15001_001,B15001_002,B15001_003,B15001_004,B15001_005,B15001_006,B15001_007,B15001_008,B15001_009,B15001_010,B15001_011,B15001_012,B15001_013,B15001_014,B15001_015,B15001_016,B15001_017,B15001_018,B15001_019,B15001_020,B15001_021,B15001_022,B15001_023,B15001_024,B15001_025,B15001_026,B15001_027,B15001_028,B15001_029,B15001_030,B15001_031,B15001_032,B15001_033,B15001_034,B15001_035,B15001_036,B15001_037,B15001_038,B15001_039,B15001_040,B15001_041,B15001_042,B15001_043,B15001_044,B15001_045,B15001_046,B15001_047,B15001_048,B15001_049,B15001_050,B15001_051,B15001_052,B15001_053,B15001_054,B15001_055,B15001_056,B15001_057,B15001_058,B15001_059,B15001_060,B15001_061,B15001_062,B15001_063,B15001_064,B15001_065,B15001_066,B15001_067,B15001_068,B15001_069,B15001_070,B15001_071,B15001_072,B15001_073,B15001_074,B15001_075,B15001_076,B15001_077,B15001_078,B15001_079,B15001_080,B15001_081,B15001_082,B15001_083,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_013,B15003_014,B15003_015,B15003_016,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,C15002F_001,C15002F_002,C15002F_003,C15002F_004,C15002F_005,C15002F_006,C15002F_007,C15002F_008,C15002F_009,C15002F_010,C15002F_011,C15002G_001,C15002G_002,C15002G_003,C15002G_004,C15002G_005,C15002G_006,C15002G_007,C15002G_008,C15002G_009,C15002G_010,C15002G_011,C15002H_001,C15002H_002,C15002H_003,C15002H_004,C15002H_005,C15002H_006,C15002H_007,C15002H_008,C15002H_009,C15002H_010,C15002H_011,C15002I_001,C15002I_002,C15002I_003,C15002I_004,C15002I_005,C15002I_006,C15002I_007,C15002I_008,C15002I_009,C15002I_010,C15002I_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010,B15012_011,B15012_012,B15012_013,B15012_014,B15012_015,B15012_016,C15010_001,C15010_002,C15010_003,C15010_004,C15010_005,C15010_006,C15010A_001,C15010A_002,C15010A_003,C15010A_004,C15010A_005,C15010A_006,C15010B_001,C15010B_002,C15010B_003,C15010B_004,C15010B_005,C15010B_006,C15010C_001,C15010C_002,C15010C_003,C15010C_004,C15010C_005,C15010C_006,C15010D_001,C15010D_002,C15010D_003,C15010D_004,C15010D_005,C15010D_006,C15010E_001,C15010E_002,C15010E_003,C15010E_004,C15010E_005,C15010E_006,C15010F_001,C15010F_002,C15010F_003,C15010F_004,C15010F_005,C15010F_006,C15010G_001,C15010G_002,C15010G_003,C15010G_004,C15010G_005,C15010G_006,C15010H_001,C15010H_002,C15010H_003,C15010H_004,C15010H_005,C15010H_006,C15010I_001,C15010I_002,C15010I_003,C15010I_004,C15010I_005,C15010I_006
40,MA,25,,,,,04000US25,Massachusetts,5351591,2559175,350279,4813,38639,108282,137818,10028,46485,4214,460595,12899,24686,109832,77985,27469,138020,69704,409951,14542,20790,100928,64193,26265,102856,80377,903467,38990,48027,257172,144297,62024,195924,157033,434883,36697,32749,114845,62351,26066,73671,88504,2792416,351315,3441,26761,85981,156316,12295,60149,6372,465504,8901,17550,72857,76991,32938,152875,103392,428559,12028,17289,77498,69185,41013,111499,100047,965242,38441,40105,227847,163189,104247,220122,171291,581796,54289,44402,206119,85743,39752,77153,74338,4649997,2208896,30028,18279,20919,33902,25282,33195,32954,34821,582777,104711,244115,141824,510471,254948,71527,69143,2441101,34147,20633,23046,35833,25240,30954,30969,32183,584321,122471,272637,217950,561649,337045,62333,49690,4649997,64175,661,987,2651,6217,10462,17934,15527,28438,18675,51060,50522,64149,63923,67004,1032460,134638,227182,516752,359774,1072120,591993,133860,118833,3818954,1814005,150346,480116,408823,774720,2004949,145533,483330,513005,863081,299153,139494,22661,43570,41544,31719,159659,26927,42801,49674,40257,8788,4292,884,1588,1019,801,4496,907,1219,1301,1069,272948,128341,17364,18671,14504,77802,144607,24376,21965,16877,81389,1192,609,89,30,237,253,583,81,166,177,159,159966,77526,27340,26404,14873,8909,82440,26167,24978,20792,10503,88996,44629,10696,12398,9650,11885,44367,9014,9862,11232,14259,3613868,1716979,122869,449499,390209,754402,1896889,117291,456442,486477,836679,397931,191904,63437,60941,36634,30892,206027,60570,54492,51362,39603,1916806,906089,296919,144920,12614,62553,4758,72074,446995,215267,18759,100797,17114,95058,162175,74915,8253,31105,13637,34265,1010717,360918,136370,37721,59190,27461,100176,498308,156400,61762,84791,71107,124248,151491,35995,18245,8356,44258,44637,2071590,99584,129893,77415,124570,213484,173867,12283,169343,359924,187895,137901,117907,96337,69529,101658,1916806,763867,157354,346792,178335,470458,1637801,621663,132558,298641,164284,420655,71976,26321,7861,15098,5314,17382,1870,722,107,269,242,530,159191,95229,13524,24059,5364,21015,412,159,69,104,7,73,19412,7660,1648,4295,1615,4194,26144,12113,1587,4326,1509,6609,1591081,601695,129079,290169,160917,409221,70495,29109,5206,13421,5413,17346
40,MA,25,,,,,04001US25,Massachusetts -- Urban,4926825,2350752,329423,4577,36066,100699,130802,9034,44223,4022,437634,12648,23611,102969,73107,25136,132451,67712,381161,14266,19910,93611,58967,23829,95258,75320,811675,37485,44885,230013,129634,54292,174558,140808,390859,34970,29776,103525,55845,23367,65262,78114,2576073,332871,3305,25095,80766,149291,11111,57281,6022,443044,8751,17086,69371,72143,30390,145594,99709,397180,11928,16724,72322,64433,37323,101815,92635,869970,37656,38150,207404,146485,92581,195257,152437,533008,52422,41835,189433,77986,35736,69161,66435,4264531,2021329,28810,17836,20501,32222,23824,30632,30980,32746,530118,94969,222584,126624,467529,233336,64754,63864,2243202,33028,20390,22753,34586,24450,29264,29585,30496,538530,111314,249733,196030,511827,307109,58114,45993,4264531,61838,616,965,2624,6175,10313,17533,15326,27928,18145,48663,48274,59896,60565,63242,943565,125083,206283,472317,322654,979356,540445,122868,109857,3448100,1633597,139359,428821,364081,701336,1814503,137904,439022,458469,779108,295818,137610,22507,43170,40963,30970,158208,26800,42516,49222,39670,8133,3934,791,1462,921,760,4199,882,1129,1227,961,267447,126016,17160,18502,14217,76137,141431,24046,21586,16454,79345,1029,524,69,27,213,215,505,81,152,150,122,158284,76669,27087,26179,14607,8796,81615,25992,24707,20647,10269,85720,42979,10578,11957,9175,11269,42741,8847,9418,10908,13568,3247060,1538459,112097,398518,346000,681844,1708601,109841,412447,432638,753675,392327,189204,62972,60407,35920,29905,203123,60181,54004,50509,38429,1752526,829483,284020,139142,12075,59931,4448,68424,402087,192968,16903,91031,15105,86080,143376,66550,7327,27735,12203,29561,923043,342640,129779,35256,56569,25431,95605,444807,140021,54707,76894,61851,111334,135596,32332,16540,7721,39578,39425,1895256,92817,116766,71080,113218,197863,159943,11281,153515,331950,167338,126123,107195,88073,65232,92862,1752526,700792,142808,319881,158616,430429,1480444,562524,118419,272715,145040,381746,70640,25529,7827,14895,5211,17178,1721,657,97,247,231,489,155482,92944,13326,23489,5222,20501,337,111,69,87,7,63,19065,7515,1597,4281,1554,4118,24837,11512,1473,4167,1351,6334,1435519,543405,115085,264563,141789,370677,68334,28109,5033,13003,5278,16911
40,MA,25,,,,,04043US25,Massachusetts -- Rural,424766,208423,20856,236,2573,7583,7016,994,2262,192,22961,251,1075,6863,4878,2333,5569,1992,28790,276,880,7317,5226,2436,7598,5057,91792,1505,3142,27159,14663,7732,21366,16225,44024,1727,2973,11320,6506,2699,8409,10390,216343,18444,136,1666,5215,7025,1184,2868,350,22460,150,464,3486,4848,2548,7281,3683,31379,100,565,5176,4752,3690,9684,7412,95272,785,1955,20443,16704,11666,24865,18854,48788,1867,2567,16686,7757,4016,7992,7903,385466,187567,1218,443,418,1680,1458,2563,1974,2075,52659,9742,21531,15200,42942,21612,6773,5279,197899,1119,243,293,1247,790,1690,1384,1687,45791,11157,22904,21920,49822,29936,4219,3697,385466,2337,45,22,27,42,149,401,201,510,530,2397,2248,4253,3358,3762,88895,9555,20899,44435,37120,92764,51548,10992,8976,370854,180408,10987,51295,44742,73384,190446,7629,44308,54536,83973,3335,1884,154,400,581,749,1451,127,285,452,587,655,358,93,126,98,41,297,25,90,74,108,5501,2325,204,169,287,1665,3176,330,379,423,2044,163,85,20,3,24,38,78,0,14,27,37,1682,857,253,225,266,113,825,175,271,145,234,3276,1650,118,441,475,616,1626,167,444,324,691,366808,178520,10772,50981,44209,72558,188288,7450,43995,53839,83004,5604,2700,465,534,714,987,2904,389,488,853,1174,164280,76606,12899,5778,539,2622,310,3650,44908,22299,1856,9766,2009,8978,18799,8365,926,3370,1434,4704,87674,18278,6591,2465,2621,2030,4571,53501,16379,7055,7897,9256,12914,15895,3663,1705,635,4680,5212,176334,6767,13127,6335,11352,15621,13924,1002,15828,27974,20557,11778,10712,8264,4297,8796,164280,63075,14546,26911,19719,40029,157357,59139,14139,25926,19244,38909,1336,792,34,203,103,204,149,65,10,22,11,41,3709,2285,198,570,142,514,75,48,0,17,0,10,347,145,51,14,61,76,1307,601,114,159,158,275,155562,58290,13994,25606,19128,38544,2161,1000,173,418,135,435
40,MA,25,,,,,040A0US25,Massachusetts -- In metropolitan or micropolitan statistical area,5343030,2554513,349968,4810,38573,108208,137676,10028,46459,4214,459462,12899,24686,109436,77763,27337,137755,69586,409046,14529,20690,100581,64033,26245,102720,80248,901872,38961,47908,256658,143971,61943,195597,156834,434165,36673,32731,114735,62262,26050,73499,88215,2788517,350850,3441,26752,85776,156178,12287,60057,6359,464902,8901,17500,72753,76807,32923,152743,103275,427946,12028,17289,77449,69047,40943,111264,99926,963804,38441,40059,227600,162836,104108,219744,171016,581015,54284,44391,205938,85609,39680,76955,74158,4642212,2204545,30009,18279,20895,33879,25259,33127,32864,34765,581410,104518,243511,141575,509571,254442,71346,69095,2437667,34142,20633,23046,35833,25240,30918,30941,32140,583740,122258,272041,217654,560706,336449,62270,49656,4642212,64151,661,987,2651,6217,10462,17934,15527,28414,18675,51037,50499,64045,63805,66905,1030675,134475,226776,515552,359229,1070277,590891,133616,118751,3812200,1810393,150178,479156,407875,773184,2001807,145426,482832,512009,861540,298705,139079,22546,43354,41524,31655,159626,26927,42781,49661,40257,8738,4242,884,1555,1002,801,4496,907,1219,1301,1069,272903,128321,17364,18671,14493,77793,144582,24371,21960,16877,81374,1192,609,89,30,237,253,583,81,166,177,159,159811,77460,27340,26355,14856,8909,82351,26167,24957,20752,10475,88663,44441,10676,12289,9617,11859,44222,9014,9825,11176,14207,3607939,1713939,122725,448758,389422,753034,1894000,117238,456012,485594,835156,397024,191266,63413,60673,36456,30724,205758,60516,54424,51249,39569,1913535,904454,296373,144585,12590,62510,4758,71930,446367,214992,18735,100622,17086,94932,161714,74685,8241,31033,13574,34181,1009081,360459,136146,37689,59176,27453,99995,497509,156106,61715,84687,71016,123985,151113,35892,18201,8334,44208,44478,2068053,99499,129535,77331,124309,213021,173612,12243,169139,359494,187649,137574,117702,96050,69348,101547,1913535,762406,157171,346362,178095,469501,1634724,620341,132375,298215,164047,419746,71912,26257,7861,15098,5314,17382,1870,722,107,269,242,530,159167,95219,13524,24055,5361,21008,412,159,69,104,7,73,19384,7648,1648,4295,1615,4178,26066,12060,1587,4326,1509,6584,1588190,600524,128896,289743,160680,408347,70293,28958,5206,13421,5413,17295
40,MA,25,,,,,040C0US25,Massachusetts -- In metropolitan statistical area,5271083,2519764,346379,4772,37991,106960,136410,9901,46210,4135,454253,12771,24289,107962,76465,26898,136780,69088,404036,14447,20514,99111,62960,25770,101667,79567,888289,38819,46836,252247,141380,60692,193466,154849,426807,36380,32124,112833,60954,25601,72359,86556,2751319,347622,3436,26507,84910,154902,12055,59550,6262,459924,8816,17315,71634,75927,32240,151446,102546,422689,11993,17150,76531,68004,40180,109950,98881,949087,38328,39624,224493,159900,102251,216370,168121,571997,53971,43893,202770,84282,39068,75432,72581,4577082,2173385,29697,18260,20807,33653,24747,32506,32322,34188,572153,102666,239093,138961,504272,251318,70490,68252,2403697,33954,20612,22997,35545,24971,30568,30544,31899,575428,120390,267723,213739,553198,331338,61809,48982,4577082,63651,654,982,2651,6200,10462,17923,15521,28283,18539,50659,49718,63074,62866,66087,1015257,132324,223056,506816,352700,1057470,582656,132299,117234,3750781,1781046,147698,470335,399370,763643,1969735,143888,474919,502310,848618,297768,138567,22405,43294,41390,31478,159201,26845,42704,49531,40121,8434,4130,835,1527,982,786,4304,893,1127,1277,1007,272004,127912,17219,18646,14439,77608,144092,24311,21863,16820,81098,1150,594,89,30,237,238,556,81,166,150,159,159321,77179,27287,26169,14844,8879,82142,26123,24886,20717,10416,87624,43957,10647,12152,9458,11700,43667,8949,9763,11047,13908,3547443,1685058,120338,439994,381116,743610,1862385,115778,448228,476021,822358,395674,190548,63251,60539,36217,30541,205126,60381,54253,51077,39415,1889659,894332,294217,143468,12514,62347,4736,71152,441200,212562,18461,99887,16830,93460,158915,73642,8075,30633,13342,33223,995327,357264,135004,37423,58907,27159,98771,490050,153972,60897,83944,69776,121461,148013,35190,17875,8250,43548,43150,2041942,98683,127392,76469,122593,210097,172757,12049,167021,357015,184752,135259,115460,93633,68621,100141,1889659,753838,155245,343968,175391,461217,1612261,612326,130533,296028,161392,411982,71599,26154,7823,15019,5281,17322,1793,669,107,253,242,522,158706,95018,13524,23969,5361,20834,397,144,69,104,7,73,19295,7626,1612,4279,1608,4170,25608,11901,1577,4316,1500,6314,1565968,592582,127089,287576,158060,400661,69956,28859,5164,13377,5371,17185
40,MA,25,,,,,040C1US25,Massachusetts -- In metropolitan statistical area -- in principal city,1156226,549493,102163,1495,8940,26182,47238,1663,14727,1918,136811,4041,6642,23791,17986,5411,48323,30617,84760,4912,5528,19986,11673,4519,19347,18795,152694,11410,11725,42777,22314,8055,28168,28245,73065,8784,6813,17442,9212,3198,10938,16678,606733,109992,1204,6154,24840,54191,2405,18898,2300,138654,2668,5111,17850,18522,6976,49815,37712,88662,4376,5813,17789,13918,6363,18448,21955,167659,11506,11360,40454,26126,13595,32862,31756,101766,13767,9022,31456,13142,5139,13209,16031,944071,447330,7387,5741,6726,9293,6394,8017,8211,8086,103996,16260,44925,21183,106776,55149,19011,20175,496741,8799,5941,7728,9849,7040,7721,8362,8183,107549,18626,53082,32073,114334,73877,18961,14616,944071,16186,103,349,1044,2248,3557,4381,5497,8957,5970,13172,13434,15738,16573,16269,182919,28626,34886,98007,53256,221110,129026,37972,34791,623043,300094,28556,62161,51449,157928,322949,27691,63993,62374,168891,155837,68614,11808,23490,19780,13536,87223,15094,25326,26613,20190,3008,1484,425,455,284,320,1524,341,432,517,234,79775,37953,5726,6190,3651,22386,41822,8086,6150,3897,23689,318,149,0,18,46,85,169,0,97,49,23,52014,23924,8897,7501,4334,3192,28090,8935,8338,6928,3889,30076,15112,4443,4181,2824,3664,14964,3476,3213,3403,4872,549942,266202,17401,52112,46072,150617,283740,15742,54118,53270,160610,146632,68491,24817,20615,11614,11445,78141,24118,20741,18953,14329,422899,201111,99299,52545,3792,20794,1088,21080,74196,35523,3420,13700,2695,18858,27616,13458,1407,4097,1772,6882,221788,109718,46467,9600,16748,5323,31580,82830,28215,8702,12908,9695,23310,29240,7966,3107,1651,6852,9664,462319,22335,35594,18824,28141,58487,35055,3711,32695,72826,29159,35699,29216,24128,16613,19836,422899,184174,30028,69898,27425,111374,326819,137190,21687,53089,22468,92385,33726,11843,3471,7013,2530,8869,554,191,59,123,46,135,46075,27958,3730,6790,1389,6208,108,47,5,49,7,0,7081,2917,582,1549,539,1494,8536,4028,494,1285,446,2283,311227,129716,20751,50567,21366,88827,25774,11361,1650,4650,1981,6132
40,MA,25,,,,,040C2US25,Massachusetts -- In metropolitan statistical area -- not in principal city,4114857,1970271,244216,3277,29051,80778,89172,8238,31483,2217,317442,8730,17647,84171,58479,21487,88457,38471,319276,9535,14986,79125,51287,21251,82320,60772,735595,27409,35111,209470,119066,52637,165298,126604,353742,27596,25311,95391,51742,22403,61421,69878,2144586,237630,2232,20353,60070,100711,9650,40652,3962,321270,6148,12204,53784,57405,25264,101631,64834,334027,7617,11337,58742,54086,33817,91502,76926,781428,26822,28264,184039,133774,88656,183508,136365,470231,40204,34871,171314,71140,33929,62223,56550,3633011,1726055,22310,12519,14081,24360,18353,24489,24111,26102,468157,86406,194168,117778,397496,196169,51479,48077,1906956,25155,14671,15269,25696,17931,22847,22182,23716,467879,101764,214641,181666,438864,257461,42848,34366,3633011,47465,551,633,1607,3952,6905,13542,10024,19326,12569,37487,36284,47336,46293,49818,832338,103698,188170,408809,299444,836360,453630,94327,82443,3127738,1480952,119142,408174,347921,605715,1646786,116197,410926,439936,679727,141931,69953,10597,19804,21610,17942,71978,11751,17378,22918,19931,5426,2646,410,1072,698,466,2780,552,695,760,773,192229,89959,11493,12456,10788,55222,102270,16225,15713,12923,57409,832,445,89,12,191,153,387,81,69,101,136,107307,53255,18390,18668,10510,5687,54052,17188,16548,13789,6527,57548,28845,6204,7971,6634,8036,28703,5473,6550,7644,9036,2997501,1418856,102937,387882,335044,592993,1578645,100036,394110,422751,661748,249042,122057,38434,39924,24603,19096,126985,36263,33512,32124,25086,1466760,693221,194918,90923,8722,41553,3648,50072,367004,177039,15041,86187,14135,74602,131299,60184,6668,26536,11570,26341,773539,247546,88537,27823,42159,21836,67191,407220,125757,52195,71036,60081,98151,118773,27224,14768,6599,36696,33486,1579623,76348,91798,57645,94452,151610,137702,8338,134326,284189,155593,99560,86244,69505,52008,80305,1466760,569664,125217,274070,147966,349843,1285442,475136,108846,242939,138924,319597,37873,14311,4352,8006,2751,8453,1239,478,48,130,196,387,112631,67060,9794,17179,3972,14626,289,97,64,55,0,73,12214,4709,1030,2730,1069,2676,17072,7873,1083,3031,1054,4031,1254741,462866,106338,237009,136694,311834,44182,17498,3514,8727,3390,11053
40,MA,25,,,,,040E0US25,Massachusetts -- In micropolitan statistical area,71947,34749,3589,38,582,1248,1266,127,249,79,5209,128,397,1474,1298,439,975,498,5010,82,176,1470,1073,475,1053,681,13583,142,1072,4411,2591,1251,2131,1985,7358,293,607,1902,1308,449,1140,1659,37198,3228,5,245,866,1276,232,507,97,4978,85,185,1119,880,683,1297,729,5257,35,139,918,1043,763,1314,1045,14717,113,435,3107,2936,1857,3374,2895,9018,313,498,3168,1327,612,1523,1577,65130,31160,312,19,88,226,512,621,542,577,9257,1852,4418,2614,5299,3124,856,843,33970,188,21,49,288,269,350,397,241,8312,1868,4318,3915,7508,5111,461,674,65130,500,7,5,0,17,0,11,6,131,136,378,781,971,939,818,15418,2151,3720,8736,6529,12807,8235,1317,1517,61419,29347,2480,8821,8505,9541,32072,1538,7913,9699,12922,937,512,141,60,134,177,425,82,77,130,136,304,112,49,28,20,15,192,14,92,24,62,899,409,145,25,54,185,490,60,97,57,276,42,15,0,0,0,15,27,0,0,27,0,490,281,53,186,12,30,209,44,71,35,59,1039,484,29,137,159,159,555,65,62,129,299,60496,28881,2387,8764,8306,9424,31615,1460,7784,9573,12798,1350,718,162,134,239,183,632,135,171,172,154,23876,10122,2156,1117,76,163,22,778,5167,2430,274,735,256,1472,2799,1043,166,400,232,958,13754,3195,1142,266,269,294,1224,7459,2134,818,743,1240,2524,3100,702,326,84,660,1328,26111,816,2143,862,1716,2924,855,194,2118,2479,2897,2315,2242,2417,727,1406,23876,8568,1926,2394,2704,8284,22463,8015,1842,2187,2655,7764,313,103,38,79,33,60,77,53,0,16,0,8,461,201,0,86,0,174,15,15,0,0,0,0,89,22,36,16,7,8,458,159,10,10,9,270,22222,7942,1807,2167,2620,7686,337,99,42,44,42,110
40,MA,25,,,,,040E1US25,Massachusetts -- In micropolitan statistical area -- in principal city,15812,7787,852,0,104,376,302,32,26,12,1451,23,78,417,457,120,231,125,1396,23,41,355,365,207,257,148,2589,10,166,862,444,316,430,361,1499,64,207,354,350,98,152,274,8025,847,0,40,307,317,68,115,0,1254,11,48,259,219,242,275,200,1384,8,41,300,316,170,316,233,2756,69,62,679,627,415,505,399,1784,47,125,744,218,126,265,259,14113,6935,60,5,26,29,199,166,48,79,1988,489,1127,741,1070,719,111,78,7178,46,14,0,75,54,87,127,8,1982,512,868,953,1361,950,86,55,14113,106,0,5,0,14,0,0,6,20,39,65,253,253,175,87,3353,617,1001,1995,1694,2431,1669,197,133,13371,6530,513,1900,2255,1862,6841,356,1920,2247,2318,273,185,88,26,45,26,88,16,9,19,44,0,0,0,0,0,0,0,0,0,0,0,133,41,0,10,6,25,92,0,26,0,66,0,0,0,0,0,0,0,0,0,0,0,140,59,11,27,5,16,81,29,22,30,0,196,120,0,25,46,49,76,10,5,37,24,13018,6366,460,1869,2200,1837,6652,308,1836,2202,2306,582,294,82,76,95,41,288,77,108,84,19,4430,1978,564,272,23,76,0,193,988,350,83,173,49,333,426,128,37,82,25,154,2452,848,329,122,123,41,233,1080,234,110,148,214,374,524,110,84,24,112,194,4790,75,245,87,322,641,153,36,487,636,458,424,360,404,156,306,4430,1423,459,626,441,1481,4180,1335,459,524,441,1421,70,20,0,50,0,0,0,0,0,0,0,0,91,38,0,36,0,17,0,0,0,0,0,0,16,0,0,16,0,0,73,30,0,0,0,43,4143,1319,454,524,441,1405,60,23,5,16,0,16
40,MA,25,,,,,040E2US25,Massachusetts -- In micropolitan statistical area -- not in principal city,56135,26962,2737,38,478,872,964,95,223,67,3758,105,319,1057,841,319,744,373,3614,59,135,1115,708,268,796,533,10994,132,906,3549,2147,935,1701,1624,5859,229,400,1548,958,351,988,1385,29173,2381,5,205,559,959,164,392,97,3724,74,137,860,661,441,1022,529,3873,27,98,618,727,593,998,812,11961,44,373,2428,2309,1442,2869,2496,7234,266,373,2424,1109,486,1258,1318,51017,24225,252,14,62,197,313,455,494,498,7269,1363,3291,1873,4229,2405,745,765,26792,142,7,49,213,215,263,270,233,6330,1356,3450,2962,6147,4161,375,619,51017,394,7,0,0,3,0,11,0,111,97,313,528,718,764,731,12065,1534,2719,6741,4835,10376,6566,1120,1384,48048,22817,1967,6921,6250,7679,25231,1182,5993,7452,10604,664,327,53,34,89,151,337,66,68,111,92,304,112,49,28,20,15,192,14,92,24,62,766,368,145,15,48,160,398,60,71,57,210,42,15,0,0,0,15,27,0,0,27,0,350,222,42,159,7,14,128,15,49,5,59,843,364,29,112,113,110,479,55,57,92,275,47478,22515,1927,6895,6106,7587,24963,1152,5948,7371,10492,768,424,80,58,144,142,344,58,63,88,135,19446,8144,1592,845,53,87,22,585,4179,2080,191,562,207,1139,2373,915,129,318,207,804,11302,2347,813,144,146,253,991,6379,1900,708,595,1026,2150,2576,592,242,60,548,1134,21321,741,1898,775,1394,2283,702,158,1631,1843,2439,1891,1882,2013,571,1100,19446,7145,1467,1768,2263,6803,18283,6680,1383,1663,2214,6343,243,83,38,29,33,60,77,53,0,16,0,8,370,163,0,50,0,157,15,15,0,0,0,0,73,22,36,0,7,8,385,129,10,10,9,227,18079,6623,1353,1643,2179,6281,277,76,37,28,42,94
