SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B15001_001,B15001_002,B15001_003,B15001_004,B15001_005,B15001_006,B15001_007,B15001_008,B15001_009,B15001_010,B15001_011,B15001_012,B15001_013,B15001_014,B15001_015,B15001_016,B15001_017,B15001_018,B15001_019,B15001_020,B15001_021,B15001_022,B15001_023,B15001_024,B15001_025,B15001_026,B15001_027,B15001_028,B15001_029,B15001_030,B15001_031,B15001_032,B15001_033,B15001_034,B15001_035,B15001_036,B15001_037,B15001_038,B15001_039,B15001_040,B15001_041,B15001_042,B15001_043,B15001_044,B15001_045,B15001_046,B15001_047,B15001_048,B15001_049,B15001_050,B15001_051,B15001_052,B15001_053,B15001_054,B15001_055,B15001_056,B15001_057,B15001_058,B15001_059,B15001_060,B15001_061,B15001_062,B15001_063,B15001_064,B15001_065,B15001_066,B15001_067,B15001_068,B15001_069,B15001_070,B15001_071,B15001_072,B15001_073,B15001_074,B15001_075,B15001_076,B15001_077,B15001_078,B15001_079,B15001_080,B15001_081,B15001_082,B15001_083,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_013,B15003_014,B15003_015,B15003_016,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,C15002F_001,C15002F_002,C15002F_003,C15002F_004,C15002F_005,C15002F_006,C15002F_007,C15002F_008,C15002F_009,C15002F_010,C15002F_011,C15002G_001,C15002G_002,C15002G_003,C15002G_004,C15002G_005,C15002G_006,C15002G_007,C15002G_008,C15002G_009,C15002G_010,C15002G_011,C15002H_001,C15002H_002,C15002H_003,C15002H_004,C15002H_005,C15002H_006,C15002H_007,C15002H_008,C15002H_009,C15002H_010,C15002H_011,C15002I_001,C15002I_002,C15002I_003,C15002I_004,C15002I_005,C15002I_006,C15002I_007,C15002I_008,C15002I_009,C15002I_010,C15002I_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010,B15012_011,B15012_012,B15012_013,B15012_014,B15012_015,B15012_016,C15010_001,C15010_002,C15010_003,C15010_004,C15010_005,C15010_006,C15010A_001,C15010A_002,C15010A_003,C15010A_004,C15010A_005,C15010A_006,C15010B_001,C15010B_002,C15010B_003,C15010B_004,C15010B_005,C15010B_006,C15010C_001,C15010C_002,C15010C_003,C15010C_004,C15010C_005,C15010C_006,C15010D_001,C15010D_002,C15010D_003,C15010D_004,C15010D_005,C15010D_006,C15010E_001,C15010E_002,C15010E_003,C15010E_004,C15010E_005,C15010E_006,C15010F_001,C15010F_002,C15010F_003,C15010F_004,C15010F_005,C15010F_006,C15010G_001,C15010G_002,C15010G_003,C15010G_004,C15010G_005,C15010G_006,C15010H_001,C15010H_002,C15010H_003,C15010H_004,C15010H_005,C15010H_006,C15010I_001,C15010I_002,C15010I_003,C15010I_004,C15010I_005,C15010I_006
40,ME,23,,,,,04000US23,Maine,1070422,518032,58332,546,6642,19303,24778,2181,4587,295,75833,1044,4548,24786,17685,7375,16142,4253,76507,981,3821,26430,16229,8370,14427,6249,198015,4522,12035,73130,38395,18359,32684,18890,109345,8126,7682,35495,17120,6054,18311,16557,552390,55024,443,5301,15536,24860,2475,6145,264,76810,948,2238,17831,18980,8515,20859,7439,79103,844,2265,19984,16240,10574,19378,9818,208547,3253,7143,66810,41721,25556,40257,23807,132906,7819,10036,52907,22325,8320,18378,13121,957066,459700,2629,714,1386,9944,6016,8067,8103,5900,159841,27922,61507,40158,81564,28474,10131,7344,497366,2865,847,1464,7688,4941,6487,5990,4264,157532,30562,68704,52965,98872,42735,6524,4926,957066,5494,122,104,113,227,403,592,917,1933,3070,14562,10957,14554,14093,10164,267967,49406,58484,130211,93123,180436,71209,16655,12270,921369,442056,40018,154416,124526,123096,479313,31297,153324,146606,148086,7598,4748,647,1415,1613,1073,2850,668,778,763,641,5060,2329,370,733,908,318,2731,439,619,1280,393,9359,3746,874,628,695,1549,5613,1157,992,1273,2191,181,73,0,33,26,14,108,42,17,47,2,1576,863,119,285,182,277,713,145,172,121,275,11923,5885,731,2331,1637,1186,6038,798,1630,2141,1469,913945,438746,39600,153551,123671,121924,475199,30853,152479,145010,146857,10016,4799,679,1346,1361,1413,5217,615,1104,1889,1609,280570,127513,29683,12826,1972,5779,1475,7631,62962,26543,3978,12018,5429,14994,34868,14739,1489,5540,5026,8074,153057,42369,14025,5408,5190,5774,11972,79189,20220,11780,10935,15276,20978,31499,6260,3952,1433,10736,9118,303805,9047,23808,8713,16613,26841,15631,3008,30910,42393,45634,20208,19327,15022,9252,17398,280570,94613,28579,40895,43716,72767,271182,90541,27606,39598,43045,70392,1714,806,137,265,107,399,711,159,101,113,93,245,3740,1794,371,561,189,825,16,0,0,10,0,6,552,294,59,71,29,99,2655,1019,305,277,253,801,268781,89663,27312,39307,42900,69599,3022,1063,385,393,193,988
40,ME,23,,,,,04001US23,Maine -- Urban,416588,196261,29103,243,2418,7701,14799,987,2750,205,34774,650,1920,9423,7875,3029,9024,2853,29787,449,1576,8560,6633,2957,6433,3179,66010,1707,3549,19772,12829,6131,13477,8545,36587,2592,2157,10944,5813,1881,6879,6321,220327,29008,242,2461,6868,14803,1077,3425,132,35480,601,987,7094,8679,3314,10584,4221,29775,528,963,6471,5406,3564,8225,4618,72362,1521,2245,19694,13451,8776,16366,10309,53702,3745,3941,20439,8862,3232,7684,5799,358477,167158,1010,394,725,3269,1915,2485,2710,2092,48699,9986,23164,13998,35813,12587,4888,3423,191319,1473,498,912,3512,2070,2271,2031,1764,53698,10802,25596,18886,42859,19374,3167,2406,358477,2483,105,75,66,109,202,335,546,1091,1514,5267,3985,4756,4741,3856,83844,18553,20788,48760,32884,78672,31961,8055,5829,337983,156690,12901,45413,44414,53962,181293,12394,51234,52816,64849,5958,3590,488,1068,1191,843,2368,617,682,562,507,1789,903,108,297,376,122,886,160,215,401,110,6350,2771,746,532,448,1045,3579,768,612,732,1467,94,54,0,32,22,0,40,16,15,7,2,776,431,63,132,73,163,345,51,124,15,155,5527,2719,294,1225,624,576,2808,525,816,751,716,334152,154805,12598,44843,43983,53381,179347,12074,50877,52118,64278,5097,2643,432,890,645,676,2454,392,541,758,763,124517,56711,16406,7166,969,3204,708,4359,27105,10897,1514,5524,1986,7184,13200,5263,523,2274,1771,3369,67806,21058,7310,2269,2364,2370,6745,33265,9005,4620,4364,5636,9640,13483,2473,1610,586,4591,4223,135615,4004,9738,3475,7760,13840,6164,1375,12480,18953,17799,10461,9535,7664,5272,7095,124517,42114,11505,18316,17062,35520,118811,39454,11044,17571,16686,34056,1350,641,68,211,91,339,232,78,13,16,33,92,2512,1222,203,321,157,609,2,0,0,0,0,2,318,188,28,51,12,39,1292,531,149,146,83,383,117659,39056,10958,17442,16622,33581,1439,477,92,209,99,562
40,ME,23,,,,,04043US23,Maine -- Rural,653834,321771,29229,303,4224,11602,9979,1194,1837,90,41059,394,2628,15363,9810,4346,7118,1400,46720,532,2245,17870,9596,5413,7994,3070,132005,2815,8486,53358,25566,12228,19207,10345,72758,5534,5525,24551,11307,4173,11432,10236,332063,26016,201,2840,8668,10057,1398,2720,132,41330,347,1251,10737,10301,5201,10275,3218,49328,316,1302,13513,10834,7010,11153,5200,136185,1732,4898,47116,28270,16780,23891,13498,79204,4074,6095,32468,13463,5088,10694,7322,598589,292542,1619,320,661,6675,4101,5582,5393,3808,111142,17936,38343,26160,45751,15887,5243,3921,306047,1392,349,552,4176,2871,4216,3959,2500,103834,19760,43108,34079,56013,23361,3357,2520,598589,3011,17,29,47,118,201,257,371,842,1556,9295,6972,9798,9352,6308,184123,30853,37696,81451,60239,101764,39248,8600,6441,583386,285366,27117,109003,80112,69134,298020,18903,102090,93790,83237,1640,1158,159,347,422,230,482,51,96,201,134,3271,1426,262,436,532,196,1845,279,404,879,283,3009,975,128,96,247,504,2034,389,380,541,724,87,19,0,1,4,14,68,26,2,40,0,800,432,56,153,109,114,368,94,48,106,120,6396,3166,437,1106,1013,610,3230,273,814,1390,753,579793,283941,27002,108708,79688,68543,295852,18779,101602,92892,82579,4919,2156,247,456,716,737,2763,223,563,1131,846,156053,70802,13277,5660,1003,2575,767,3272,35857,15646,2464,6494,3443,7810,21668,9476,966,3266,3255,4705,85251,21311,6715,3139,2826,3404,5227,45924,11215,7160,6571,9640,11338,18016,3787,2342,847,6145,4895,168190,5043,14070,5238,8853,13001,9467,1633,18430,23440,27835,9747,9792,7358,3980,10303,156053,52499,17074,22579,26654,37247,152371,51087,16562,22027,26359,36336,364,165,69,54,16,60,479,81,88,97,60,153,1228,572,168,240,32,216,14,0,0,10,0,4,234,106,31,20,17,60,1363,488,156,131,170,418,151122,50607,16354,21865,26278,36018,1583,586,293,184,94,426
40,ME,23,,,,,040A0US23,Maine -- In metropolitan or micropolitan statistical area,725606,349931,41698,303,4531,12694,18527,1629,3738,276,54657,702,2681,16476,12430,5474,13176,3718,53230,665,2292,16859,11002,6123,11331,4958,132303,2853,7360,45311,25845,12513,24195,14226,68043,4897,4588,21202,11077,3762,11606,10911,375675,40140,307,3590,10570,18788,1881,4775,229,55339,631,1409,11820,13063,5577,16636,6203,55049,644,1510,12515,10579,7295,14725,7781,139981,2215,4495,41539,27458,17918,28888,17468,85166,5102,6372,33183,14573,5329,11977,8630,643768,308233,1696,488,1054,5879,3532,4827,4669,3893,99848,18644,41710,27872,60308,20584,7866,5363,335535,1954,661,1143,4834,3302,4199,3497,2788,99057,20533,45140,36119,72226,31373,5045,3664,643768,3650,114,92,89,186,288,380,741,1456,2126,8587,6834,9026,8166,6681,167210,31695,39177,86850,63991,132534,51957,12911,9027,617329,294889,24057,95816,84319,90697,322440,19828,95940,98044,108628,6456,4001,512,1207,1407,875,2455,631,734,594,496,2634,1278,173,393,505,207,1356,176,326,603,251,7674,3266,770,569,634,1293,4408,955,858,959,1636,95,29,0,3,22,4,66,16,15,33,2,1168,595,68,182,130,215,573,128,145,88,212,8412,4175,458,1678,1209,830,4237,644,1039,1471,1083,611810,292355,23722,95146,83682,89805,319455,19473,95441,96857,107684,7388,3598,529,1032,1006,1031,3790,512,686,1369,1223,206429,94121,24027,10469,1520,4866,1085,6087,47577,20173,2970,9375,3662,11397,22517,9590,1011,3853,3002,5061,112308,33677,11300,4266,4212,4413,9486,58024,14842,8710,8336,10412,15724,20607,4087,2716,919,6933,5952,223914,7278,16648,5931,12848,21049,11367,2241,22840,32832,30842,14595,14157,11037,7557,12692,206429,70461,21193,31561,29507,53707,199325,67295,20534,30538,29073,51885,1371,637,96,228,54,356,458,104,51,53,47,203,2929,1391,306,442,152,638,6,0,0,0,0,6,427,258,37,51,13,68,1913,776,169,249,168,551,197489,66632,20309,30300,28991,51257,2254,789,231,318,118,798
40,ME,23,,,,,040C0US23,Maine -- In metropolitan statistical area,628752,303300,36421,243,3813,11024,16225,1448,3419,249,47960,605,2315,14255,10727,4803,11926,3329,46324,546,2119,14280,9295,5310,10371,4403,114058,2214,6210,38053,22462,10729,21800,12590,58537,4129,3814,18145,9628,3159,10055,9607,325452,34922,248,3175,8737,16583,1648,4302,229,48411,489,1233,9955,11142,4863,15071,5658,47794,476,1417,10529,8846,6295,13434,6797,120782,1895,3606,35295,23394,15168,26199,15225,73543,4447,5455,28093,12708,4694,10581,7565,557409,266879,1303,427,838,4926,2943,4200,3988,3327,84733,15846,36266,24001,54152,18095,7163,4671,290530,1642,577,1008,4080,2807,3445,3063,2396,83872,17299,38791,31020,65285,27558,4496,3191,557409,2945,106,76,79,131,268,344,613,1233,1846,7160,5750,7645,7051,5723,141881,26724,33145,75057,55021,119437,45653,11659,7862,533534,254782,20149,81064,72607,80962,278752,16664,81079,83790,97219,5988,3701,471,1080,1322,828,2287,603,676,512,496,2168,1058,121,378,430,129,1110,136,256,526,192,7165,3050,740,519,598,1193,4115,908,828,867,1512,44,26,0,0,22,4,18,0,0,16,2,950,506,58,177,56,215,444,120,106,45,173,7560,3756,413,1515,1078,750,3804,587,927,1354,936,528534,252452,19837,80441,72026,80148,276082,16329,80628,82776,96349,6539,3244,457,971,869,947,3295,468,603,1146,1078,184611,84081,21780,9586,1384,4350,948,5512,42639,18115,2646,8339,3188,10351,19662,8143,893,3481,2706,4439,100530,30406,10072,3898,3756,3893,8787,51978,13331,7941,7404,8777,14525,18146,3659,2384,693,6073,5337,200312,6295,14829,5035,11373,19321,10141,2031,20662,29130,26752,13210,12671,10449,7190,11223,184611,62906,19146,28023,25585,48951,178181,59959,18577,27070,25242,47333,1324,596,96,222,54,356,321,104,27,49,22,119,2705,1258,258,442,136,611,6,0,0,0,0,6,388,258,33,16,13,68,1686,731,155,224,118,458,176497,59354,18369,26857,25184,46733,2025,715,214,258,94,744
40,ME,23,,,,,040C1US23,Maine -- In metropolitan statistical area -- in principal city,149635,71219,10230,137,928,2510,4741,468,1364,82,15309,278,668,3588,3846,1298,4227,1404,11225,191,501,3423,2354,1075,2317,1364,23333,690,1318,7002,4752,1973,4444,3154,11122,894,785,3410,1706,562,1785,1980,78416,10470,179,1297,1980,4870,464,1565,115,15518,238,424,2710,3368,1319,5364,2095,11039,213,490,2301,2058,1395,2838,1744,25088,708,846,6677,4860,3018,5302,3677,16301,1355,1436,5923,2751,885,2131,1820,128935,60989,341,262,252,1198,662,1230,764,616,17423,3886,8772,4908,12773,4644,2158,1100,67946,612,284,435,1183,777,856,723,840,17611,3699,9338,6617,15635,7128,1338,870,128935,953,79,49,53,82,161,122,262,425,737,1644,1439,2086,1487,1456,28116,6918,7585,18110,11525,28408,11772,3496,1970,118724,55845,4474,15720,16168,19483,62879,4343,16153,18497,23886,3538,1917,339,523,653,402,1621,536,565,284,236,335,180,19,87,68,6,155,30,78,37,10,3043,1382,345,332,338,367,1661,534,345,349,433,2,0,0,0,0,0,2,0,0,0,2,505,263,45,89,0,129,242,51,89,9,93,2788,1402,103,672,339,288,1386,216,381,478,311,117186,55085,4338,15473,16047,19227,62101,4157,16053,18244,23647,2328,1197,249,461,193,294,1131,258,227,286,360,45646,20675,7531,3136,405,1421,291,2278,9379,4040,700,1704,588,2347,3765,1425,166,673,460,1041,24971,9689,3316,1037,905,928,3503,11331,3026,1474,1433,1711,3687,3951,670,378,63,1397,1443,50169,1446,3565,1068,2778,5730,1962,834,4459,6473,5652,4518,3271,3194,2361,2858,45646,15613,4160,6199,5375,14299,43369,14487,3919,5930,5288,13745,638,292,37,90,40,179,16,0,0,0,0,16,800,412,109,114,6,159,2,0,0,0,0,2,222,148,22,0,0,52,599,274,73,65,41,146,42874,14292,3899,5915,5280,13488,654,241,20,34,21,338
40,ME,23,,,,,040C2US23,Maine -- In metropolitan statistical area -- not in principal city,479117,232081,26191,106,2885,8514,11484,980,2055,167,32651,327,1647,10667,6881,3505,7699,1925,35099,355,1618,10857,6941,4235,8054,3039,90725,1524,4892,31051,17710,8756,17356,9436,47415,3235,3029,14735,7922,2597,8270,7627,247036,24452,69,1878,6757,11713,1184,2737,114,32893,251,809,7245,7774,3544,9707,3563,36755,263,927,8228,6788,4900,10596,5053,95694,1187,2760,28618,18534,12150,20897,11548,57242,3092,4019,22170,9957,3809,8450,5745,428474,205890,962,165,586,3728,2281,2970,3224,2711,67310,11960,27494,19093,41379,13451,5005,3571,222584,1030,293,573,2897,2030,2589,2340,1556,66261,13600,29453,24403,49650,20430,3158,2321,428474,1992,27,27,26,49,107,222,351,808,1109,5516,4311,5559,5564,4267,113765,19806,25560,56947,43496,91029,33881,8163,5892,414810,198937,15675,65344,56439,61479,215873,12321,64926,65293,73333,2450,1784,132,557,669,426,666,67,111,228,260,1833,878,102,291,362,123,955,106,178,489,182,4122,1668,395,187,260,826,2454,374,483,518,1079,42,26,0,0,22,4,16,0,0,16,0,445,243,13,88,56,86,202,69,17,36,80,4772,2354,310,843,739,462,2418,371,546,876,625,411348,197367,15499,64968,55979,60921,213981,12172,64575,64532,72702,4211,2047,208,510,676,653,2164,210,376,860,718,138965,63406,14249,6450,979,2929,657,3234,33260,14075,1946,6635,2600,8004,15897,6718,727,2808,2246,3398,75559,20717,6756,2861,2851,2965,5284,40647,10305,6467,5971,7066,10838,14195,2989,2006,630,4676,3894,150143,4849,11264,3967,8595,13591,8179,1197,16203,22657,21100,8692,9400,7255,4829,8365,138965,47293,14986,21824,20210,34652,134812,45472,14658,21140,19954,33588,686,304,59,132,14,177,305,104,27,49,22,103,1905,846,149,328,130,452,4,0,0,0,0,4,166,110,11,16,13,16,1087,457,82,159,77,312,133623,45062,14470,20942,19904,33245,1371,474,194,224,73,406
40,ME,23,,,,,040E0US23,Maine -- In micropolitan statistical area,96854,46631,5277,60,718,1670,2302,181,319,27,6697,97,366,2221,1703,671,1250,389,6906,119,173,2579,1707,813,960,555,18245,639,1150,7258,3383,1784,2395,1636,9506,768,774,3057,1449,603,1551,1304,50223,5218,59,415,1833,2205,233,473,0,6928,142,176,1865,1921,714,1565,545,7255,168,93,1986,1733,1000,1291,984,19199,320,889,6244,4064,2750,2689,2243,11623,655,917,5090,1865,635,1396,1065,86359,41354,393,61,216,953,589,627,681,566,15115,2798,5444,3871,6156,2489,703,692,45005,312,84,135,754,495,754,434,392,15185,3234,6349,5099,6941,3815,549,473,86359,705,8,16,10,55,20,36,128,223,280,1427,1084,1381,1115,958,25329,4971,6032,11793,8970,13097,6304,1252,1165,83795,40107,3908,14752,11712,9735,43688,3164,14861,14254,11409,468,300,41,127,85,47,168,28,58,82,0,466,220,52,15,75,78,246,40,70,77,59,509,216,30,50,36,100,293,47,30,92,124,51,3,0,3,0,0,48,16,15,17,0,218,89,10,5,74,0,129,8,39,43,39,852,419,45,163,131,80,433,57,112,117,147,83276,39903,3885,14705,11656,9657,43373,3144,14813,14081,11335,849,354,72,61,137,84,495,44,83,223,145,21818,10040,2247,883,136,516,137,575,4938,2058,324,1036,474,1046,2855,1447,118,372,296,622,11778,3271,1228,368,456,520,699,6046,1511,769,932,1635,1199,2461,428,332,226,860,615,23602,983,1819,896,1475,1728,1226,210,2178,3702,4090,1385,1486,588,367,1469,21818,7555,2047,3538,3922,4756,21144,7336,1957,3468,3831,4552,47,41,0,6,0,0,137,0,24,4,25,84,224,133,48,0,16,27,0,0,0,0,0,0,39,0,4,35,0,0,227,45,14,25,50,93,20992,7278,1940,3443,3807,4524,229,74,17,60,24,54
40,ME,23,,,,,040E1US23,Maine -- In micropolitan statistical area -- in principal city,28372,13398,2173,33,153,652,1197,33,88,17,1861,35,101,520,573,116,363,153,2013,42,86,620,712,181,204,168,4442,242,268,1650,1030,269,626,357,2909,303,188,944,342,127,470,535,14974,2429,36,139,930,1113,64,147,0,2148,48,95,600,604,141,503,157,1982,117,26,531,531,175,315,287,4624,138,233,1447,1049,712,616,429,3791,200,351,1739,481,133,487,400,23770,11225,184,23,35,380,193,165,203,82,3734,861,1796,693,1663,666,241,306,12545,67,32,71,333,174,253,139,139,4317,828,1837,1161,1921,986,110,177,23770,251,0,9,0,39,0,7,52,54,82,631,367,418,342,221,6568,1483,1689,3633,1854,3584,1652,351,483,22499,10693,1147,3612,3179,2755,11806,1082,4117,3603,3004,306,166,0,46,79,41,140,21,42,77,0,204,83,48,0,21,14,121,35,31,27,28,261,89,30,19,10,30,172,30,23,62,57,18,3,0,3,0,0,15,0,15,0,0,72,2,2,0,0,0,70,0,35,0,35,410,189,38,54,61,36,221,40,54,57,70,22280,10631,1147,3612,3123,2749,11649,1068,4104,3510,2967,309,62,0,0,56,6,247,14,48,93,92,6070,2876,708,295,29,105,45,234,1163,440,115,218,51,339,1005,522,25,75,91,292,3194,962,336,56,175,203,192,1345,241,162,258,386,298,887,97,133,93,316,248,6600,243,474,173,376,568,225,22,577,987,1118,484,524,203,200,426,6070,1931,520,924,1092,1603,5759,1839,497,889,1034,1500,41,41,0,0,0,0,42,0,0,0,25,17,87,51,9,0,0,27,0,0,0,0,0,0,35,0,0,35,0,0,106,0,14,0,33,59,5716,1833,497,876,1010,1500,98,6,0,48,24,20
40,ME,23,,,,,040E2US23,Maine -- In micropolitan statistical area -- not in principal city,68482,33233,3104,27,565,1018,1105,148,231,10,4836,62,265,1701,1130,555,887,236,4893,77,87,1959,995,632,756,387,13803,397,882,5608,2353,1515,1769,1279,6597,465,586,2113,1107,476,1081,769,35249,2789,23,276,903,1092,169,326,0,4780,94,81,1265,1317,573,1062,388,5273,51,67,1455,1202,825,976,697,14575,182,656,4797,3015,2038,2073,1814,7832,455,566,3351,1384,502,909,665,62589,30129,209,38,181,573,396,462,478,484,11381,1937,3648,3178,4493,1823,462,386,32460,245,52,64,421,321,501,295,253,10868,2406,4512,3938,5020,2829,439,296,62589,454,8,7,10,16,20,29,76,169,198,796,717,963,773,737,18761,3488,4343,8160,7116,9513,4652,901,682,61296,29414,2761,11140,8533,6980,31882,2082,10744,10651,8405,162,134,41,81,6,6,28,7,16,5,0,262,137,4,15,54,64,125,5,39,50,31,248,127,0,31,26,70,121,17,7,30,67,33,0,0,0,0,0,33,16,0,17,0,146,87,8,5,74,0,59,8,4,43,4,442,230,7,109,70,44,212,17,58,60,77,60996,29272,2738,11093,8533,6908,31724,2076,10709,10571,8368,540,292,72,61,81,78,248,30,35,130,53,15748,7164,1539,588,107,411,92,341,3775,1618,209,818,423,707,1850,925,93,297,205,330,8584,2309,892,312,281,317,507,4701,1270,607,674,1249,901,1574,331,199,133,544,367,17002,740,1345,723,1099,1160,1001,188,1601,2715,2972,901,962,385,167,1043,15748,5624,1527,2614,2830,3153,15385,5497,1460,2579,2797,3052,6,0,0,6,0,0,95,0,24,4,0,67,137,82,39,0,16,0,0,0,0,0,0,0,4,0,4,0,0,0,121,45,0,25,17,34,15276,5445,1443,2567,2797,3024,131,68,17,12,0,34
