SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B15001_001,B15001_002,B15001_003,B15001_004,B15001_005,B15001_006,B15001_007,B15001_008,B15001_009,B15001_010,B15001_011,B15001_012,B15001_013,B15001_014,B15001_015,B15001_016,B15001_017,B15001_018,B15001_019,B15001_020,B15001_021,B15001_022,B15001_023,B15001_024,B15001_025,B15001_026,B15001_027,B15001_028,B15001_029,B15001_030,B15001_031,B15001_032,B15001_033,B15001_034,B15001_035,B15001_036,B15001_037,B15001_038,B15001_039,B15001_040,B15001_041,B15001_042,B15001_043,B15001_044,B15001_045,B15001_046,B15001_047,B15001_048,B15001_049,B15001_050,B15001_051,B15001_052,B15001_053,B15001_054,B15001_055,B15001_056,B15001_057,B15001_058,B15001_059,B15001_060,B15001_061,B15001_062,B15001_063,B15001_064,B15001_065,B15001_066,B15001_067,B15001_068,B15001_069,B15001_070,B15001_071,B15001_072,B15001_073,B15001_074,B15001_075,B15001_076,B15001_077,B15001_078,B15001_079,B15001_080,B15001_081,B15001_082,B15001_083,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_013,B15003_014,B15003_015,B15003_016,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,C15002F_001,C15002F_002,C15002F_003,C15002F_004,C15002F_005,C15002F_006,C15002F_007,C15002F_008,C15002F_009,C15002F_010,C15002F_011,C15002G_001,C15002G_002,C15002G_003,C15002G_004,C15002G_005,C15002G_006,C15002G_007,C15002G_008,C15002G_009,C15002G_010,C15002G_011,C15002H_001,C15002H_002,C15002H_003,C15002H_004,C15002H_005,C15002H_006,C15002H_007,C15002H_008,C15002H_009,C15002H_010,C15002H_011,C15002I_001,C15002I_002,C15002I_003,C15002I_004,C15002I_005,C15002I_006,C15002I_007,C15002I_008,C15002I_009,C15002I_010,C15002I_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010,B15012_011,B15012_012,B15012_013,B15012_014,B15012_015,B15012_016,C15010_001,C15010_002,C15010_003,C15010_004,C15010_005,C15010_006,C15010A_001,C15010A_002,C15010A_003,C15010A_004,C15010A_005,C15010A_006,C15010B_001,C15010B_002,C15010B_003,C15010B_004,C15010B_005,C15010B_006,C15010C_001,C15010C_002,C15010C_003,C15010C_004,C15010C_005,C15010C_006,C15010D_001,C15010D_002,C15010D_003,C15010D_004,C15010D_005,C15010D_006,C15010E_001,C15010E_002,C15010E_003,C15010E_004,C15010E_005,C15010E_006,C15010F_001,C15010F_002,C15010F_003,C15010F_004,C15010F_005,C15010F_006,C15010G_001,C15010G_002,C15010G_003,C15010G_004,C15010G_005,C15010G_006,C15010H_001,C15010H_002,C15010H_003,C15010H_004,C15010H_005,C15010H_006,C15010I_001,C15010I_002,C15010I_003,C15010I_004,C15010I_005,C15010I_006
40,MI,26,,,,,04000US26,Michigan,7681837,3729729,510457,7997,71921,156953,209854,22140,38847,2745,607047,14981,46909,169747,155351,50202,121388,48469,589177,16065,41067,167195,142834,49373,107138,65505,1349544,34781,93590,426715,324293,114680,212612,142873,673504,39469,61900,209646,140937,39084,93080,89388,3952108,488499,5397,47797,125582,229974,27316,49050,3383,600545,11973,35530,116063,162474,67905,142760,63840,599541,14359,31322,123362,147245,72708,126604,83941,1409329,29750,74510,417945,343591,166442,228265,148826,854194,47832,82429,347989,170800,48035,85850,71259,6682881,3219272,36560,8304,17368,43064,39946,70034,77181,56305,973303,240688,522727,253339,534218,232732,67224,46279,3463609,36134,9227,17565,40988,35926,64399,73513,49953,1005359,268033,556077,355090,583479,293646,44168,30052,6682881,72694,912,1206,1281,3107,5663,5362,9474,25459,15027,69025,75872,134433,150694,106258,1710082,268580,508721,1078804,608429,1117697,526378,111392,76331,5459203,2652785,251357,799920,848357,753151,2806418,232416,843032,943015,787955,850010,385944,67860,137137,127564,53383,464066,62948,125818,185947,89353,34198,16619,2632,5851,5980,2156,17579,2542,5597,7040,2400,176130,83444,7621,7804,11264,56755,92686,12564,11547,14961,53614,1673,785,103,110,298,274,888,130,202,358,198,60723,31849,12366,9120,6397,3966,28874,10088,7332,7289,4165,100944,47846,6823,13361,16894,10768,53098,7017,11831,20590,13660,5300805,2573769,228665,777615,828053,739436,2727036,212420,823301,919158,772157,235473,119047,37141,33699,29826,18381,116426,32028,29562,33985,20851,1831798,880453,252813,110102,15923,58198,13653,54937,445172,192755,29865,114802,29226,78524,182468,74719,11533,39563,27539,29114,951345,310294,87902,40411,57989,44703,79289,483942,110803,73936,106997,91318,100888,157109,23888,21283,11545,66782,33611,1980642,75343,107601,65362,86724,119761,189878,11528,207902,404052,289186,76874,86551,62765,72034,125081,1831798,600169,192951,389094,273221,376363,1541106,481724,160876,332889,246557,319060,142736,40794,13991,34488,18188,35275,4556,1431,451,817,699,1158,110369,63765,14502,14761,4710,12631,472,98,34,36,69,235,8131,2893,740,1620,811,2067,24428,9464,2357,4483,2187,5937,1511593,471022,158345,327062,243295,311869,39232,13940,3551,7771,4110,9860
40,MI,26,,,,,04001US26,Michigan -- Urban,5710354,2735158,410742,6041,55208,118176,177380,17071,34308,2558,483351,11295,37499,124906,123129,38182,104224,44116,444802,12327,31595,117876,105905,35379,85742,55978,945586,26885,67287,272785,222900,78351,161997,115381,450677,26932,40974,129426,92440,26506,67384,67015,2975196,401441,3922,36872,98542,194421,21380,43269,3035,482704,9350,29632,89079,129998,50784,118615,55246,458667,11587,25719,90426,110191,51419,99555,69770,1011790,24873,57624,278918,244176,115952,174059,116188,620594,37581,61349,242197,124378,34829,64551,55709,4898171,2324416,28129,6682,14404,28224,29057,49629,57428,41241,644993,163704,380670,178418,419347,188293,55118,39079,2573755,29751,7957,15370,30313,27838,49278,57681,39527,700620,190998,417745,252984,456780,235158,36436,25319,4898171,57880,739,931,1033,2634,4662,4640,8339,21435,11937,46600,56895,98907,115109,80768,1150404,195209,354702,798415,431402,876127,423451,91554,64398,3745318,1795114,164748,484337,565553,580476,1950204,167354,547525,637483,597842,829991,373561,65416,132259,123883,52003,456430,61755,123685,183053,87937,21493,10230,1501,3385,3836,1508,11263,1751,3395,4526,1591,167041,80011,7250,7308,10571,54882,87030,11963,10364,13531,51172,1430,702,101,70,280,251,728,73,185,299,171,51746,26873,10484,7497,5450,3442,24873,8792,6467,6216,3398,81152,37925,5294,10137,13219,9275,43227,6027,8999,16619,11582,3615118,1730489,146202,466643,549050,568594,1884629,150388,531546,618501,584194,195403,98213,30738,27012,24478,15985,97190,27370,24585,27447,17788,1455530,701837,217617,96638,13530,50035,10655,46759,349821,153474,22805,90860,20439,62243,134399,55839,8418,29933,18362,21847,753693,257890,75670,32603,47933,34843,66841,375543,89316,55095,84563,65487,81082,120260,19060,15868,9217,49423,26692,1572836,62908,79849,52537,71556,100346,157528,9882,159567,324388,210599,64130,69643,51556,61664,96683,1455530,489997,148319,312541,199209,305464,1178318,376433,117938,258707,174321,250919,139940,40049,13714,33834,17788,34555,3099,938,289,589,417,866,106054,61779,13824,14142,4363,11946,422,74,34,26,64,224,6840,2484,566,1365,565,1860,20857,8240,1954,3878,1691,5094,1152788,366916,115858,253686,171608,244720,33773,12322,2892,6621,3301,8637
40,MI,26,,,,,04043US26,Michigan -- Rural,1971483,994571,99715,1956,16713,38777,32474,5069,4539,187,123696,3686,9410,44841,32222,12020,17164,4353,144375,3738,9472,49319,36929,13994,21396,9527,403958,7896,26303,153930,101393,36329,50615,27492,222827,12537,20926,80220,48497,12578,25696,22373,976912,87058,1475,10925,27040,35553,5936,5781,348,117841,2623,5898,26984,32476,17121,24145,8594,140874,2772,5603,32936,37054,21289,27049,14171,397539,4877,16886,139027,99415,50490,54206,32638,233600,10251,21080,105792,46422,13206,21299,15550,1784710,894856,8431,1622,2964,14840,10889,20405,19753,15064,328310,76984,142057,74921,114871,44439,12106,7200,889854,6383,1270,2195,10675,8088,15121,15832,10426,304739,77035,138332,102106,126699,58488,7732,4733,1784710,14814,173,275,248,473,1001,722,1135,4024,3090,22425,18977,35526,35585,25490,559678,73371,154019,280389,177027,241570,102927,19838,11933,1713885,857671,86609,315583,282804,172675,856214,65062,295507,305532,190113,20019,12383,2444,4878,3681,1380,7636,1193,2133,2894,1416,12705,6389,1131,2466,2144,648,6316,791,2202,2514,809,9089,3433,371,496,693,1873,5656,601,1183,1430,2442,243,83,2,40,18,23,160,57,17,59,27,8977,4976,1882,1623,947,524,4001,1296,865,1073,767,19792,9921,1529,3224,3675,1493,9871,990,2832,3971,2078,1685687,843280,82463,310972,279003,170842,842407,62032,291755,300657,187963,40070,20834,6403,6687,5348,2396,19236,4658,4977,6538,3063,376268,178616,35196,13464,2393,8163,2998,8178,95351,39281,7060,23942,8787,16281,48069,18880,3115,9630,9177,7267,197652,52404,12232,7808,10056,9860,12448,108399,21487,18841,22434,25831,19806,36849,4828,5415,2328,17359,6919,407806,12435,27752,12825,15168,19415,32350,1646,48335,79664,78587,12744,16908,11209,10370,28398,376268,110172,44632,76553,74012,70899,362788,105291,42938,74182,72236,68141,2796,745,277,654,400,720,1457,493,162,228,282,292,4315,1986,678,619,347,685,50,24,0,10,5,11,1291,409,174,255,246,207,3571,1224,403,605,496,843,358805,104106,42487,73376,71687,67149,5459,1618,659,1150,809,1223
40,MI,26,,,,,040A0US26,Michigan -- In metropolitan or micropolitan statistical area,7145290,3460470,484691,7242,66782,146266,202887,20904,37903,2707,573954,13756,43638,156123,147500,47254,117989,47694,554014,14858,37680,153597,134262,46366,103398,63853,1246436,32189,84712,382673,300341,106499,202305,137717,601375,35250,54483,182362,125915,35349,85516,82500,3684820,466601,4764,44598,118153,221858,25949,47955,3324,570058,11154,33427,108126,153014,63704,138181,62452,566296,13610,29460,114073,138225,67652,121621,81655,1306660,28120,68350,378258,318372,154070,217342,142148,775205,44275,74537,311415,155548,43928,79025,66477,6193998,2975779,33910,7804,16584,37755,35924,62998,69928,51663,874755,220800,487218,235468,509208,222331,64504,44929,3218219,34166,8845,16980,37168,32985,58714,67499,46576,911872,247150,518009,329354,556169,280966,42470,29296,6193998,68076,894,1067,1165,2976,5399,5148,9170,24394,13896,61027,68909,121712,137427,98239,1542556,244071,467950,1005227,564822,1065377,503297,106974,74225,4991900,2421351,221862,706261,778443,714785,2570549,209213,752624,861850,746862,843927,381273,66633,134875,126548,53217,462654,62605,125409,185426,89214,28183,13627,2034,4706,4971,1916,14556,2161,4389,5910,2096,174282,82778,7534,7640,11121,56483,91504,12357,11246,14621,53280,1565,745,103,89,281,272,820,111,191,340,178,59217,31110,12119,8838,6265,3888,28107,9805,7143,7071,4088,94924,44895,6281,12346,15857,10411,50029,6681,10870,19295,13183,4840099,2345654,200289,685078,758976,701311,2494445,190073,733828,839109,731435,226602,114560,35595,32204,28702,18059,112042,30835,28338,32499,20370,1749873,840972,246263,107866,15540,56919,13095,52843,426693,186087,28428,110579,26801,74798,168016,69226,10556,36811,24507,26916,908901,301040,85900,39094,56130,42775,77141,462359,107118,70203,103225,85071,96742,145502,22485,19509,10837,61113,31558,1891466,73050,102131,62648,83324,115188,184531,11186,197506,388859,268180,73842,82273,60339,70144,118265,1749873,578682,183330,374501,253362,359998,1461647,460994,151662,318758,227016,303217,142431,40729,13960,34457,18133,35152,4012,1276,335,721,592,1088,109763,63571,14335,14640,4687,12530,450,93,34,26,69,228,7976,2863,722,1554,799,2038,23594,9156,2282,4345,2066,5745,1432746,450438,149188,313121,223842,296157,38429,13736,3473,7506,4010,9704
40,MI,26,,,,,040C0US26,Michigan -- In metropolitan statistical area,6252934,3011921,418839,6216,58467,125029,174026,17323,35214,2564,505565,11564,38094,131844,128801,41390,108736,45136,487284,13177,33136,129449,117565,40122,94282,59553,1086886,28639,74312,321245,261003,92258,182531,126898,513347,30105,47059,151083,107699,30690,74887,71824,3241013,407084,4173,39186,102860,191534,21937,44232,3162,509104,9772,30259,93134,135746,55585,126224,58384,505201,12541,26913,98728,122152,59137,109646,76084,1149085,25922,61749,322577,279592,134390,195647,129208,670539,39605,65306,264677,134993,38531,68793,58634,5427011,2593082,29679,7105,15220,31481,31169,54405,61422,45605,733621,188698,426370,204460,460436,203665,59061,40685,2833929,31449,8225,16101,32065,29348,52170,60585,42124,779116,214789,457694,287643,500310,256139,39303,26868,5427011,61128,829,973,1044,2694,5004,4786,8460,22861,12305,51241,60517,106575,122007,87729,1306107,206630,403487,884064,492103,960746,459804,98364,67553,4267911,2064297,185828,575472,661930,641067,2203614,180930,624783,733718,664183,830103,369947,64402,129412,123559,52574,460156,62109,124762,184547,88738,18808,9070,1342,3035,3284,1409,9738,1652,2885,3720,1481,169708,80833,7367,7427,10747,55292,88875,12001,10646,14170,52058,1336,653,75,72,242,264,683,101,132,274,176,55241,28738,11505,7831,5733,3669,26503,9344,6678,6627,3854,83904,39544,5567,10372,14033,9572,44360,5930,9230,17070,12130,4130800,1996023,166529,556670,644296,628528,2134777,163503,608280,713322,649672,205883,103590,32450,28442,25855,16843,102293,28491,25286,29327,19189,1586467,763847,228112,100766,14292,53019,11450,48585,389024,171799,25695,101791,22449,67290,146711,61110,9312,32821,19837,23631,822620,276033,79528,35371,52213,38430,70491,419160,99091,63217,95145,74339,87368,127427,20484,16964,9782,52681,27516,1713519,68329,89701,57012,76122,105156,174019,10380,177439,357993,231927,66918,74156,55105,65382,103880,1586467,532778,164851,344771,219186,324881,1305250,417820,133778,290233,193667,269752,141312,40273,13903,34261,18054,34821,2890,984,228,410,443,825,107350,62296,14118,14268,4529,12139,440,92,34,26,64,224,7523,2740,707,1510,639,1927,21702,8573,2083,4063,1790,5193,1278200,407852,131524,284865,190758,263201,36032,12959,3236,7168,3599,9070
40,MI,26,,,,,040C1US26,Michigan -- In metropolitan statistical area -- in principal city,1907547,905276,164932,2596,22692,44122,73952,5589,14854,1127,172148,5584,17287,44467,42543,10352,35079,16836,142114,6529,14191,40869,33598,9079,21723,16125,292419,12070,29235,88885,68590,20830,40861,31948,133663,11158,15685,37259,24673,6630,17956,20302,1002271,161838,1881,16512,39431,80080,6087,16454,1393,177199,5059,14565,34218,48046,15142,39815,20354,153223,6060,12845,33497,39252,15932,26096,19541,319277,12067,26161,85612,77731,33587,48871,35248,190734,14404,21615,66352,39101,10303,19551,19408,1580777,740344,12021,3548,8340,11432,12598,21780,26093,15927,211480,47085,122319,46891,115619,55479,15125,14607,840433,13105,4027,7957,12501,12528,19657,27216,15785,219679,57969,146161,74964,134333,73710,10703,10138,1580777,25126,250,378,481,1329,2663,2474,4583,11714,5488,18445,25126,41437,53309,31712,355236,75923,105054,268480,121855,249952,129189,25828,24745,886652,428476,50355,110969,123810,143342,458176,52001,119372,139560,147243,563849,248534,48937,89818,79950,29829,315315,46827,89378,124294,54816,6201,2837,499,1062,966,310,3364,684,996,1233,451,65902,32218,3168,2526,3817,22707,33684,4917,3478,4655,20634,481,215,48,23,95,49,266,19,45,119,83,26319,13796,6337,3446,2625,1388,12523,5561,3115,2541,1306,31373,14268,2395,3636,5032,3205,17105,2767,3295,6692,4351,832244,401390,40265,103212,118152,139761,430854,42477,112542,132993,142842,87640,44091,17314,12141,9440,5196,43549,16049,11154,10125,6221,429714,200830,71342,34647,4698,13724,3058,15215,91230,42693,5448,20263,4625,18201,38258,16720,2310,7816,4489,6923,228884,83042,28267,9437,14347,8432,22559,106883,28023,14455,23228,16201,24976,38959,7216,4822,3027,15090,8804,465546,21481,26266,18341,23035,32895,46313,3521,44566,85591,54708,22072,23001,16650,18406,28700,429714,157566,41170,82405,51895,96678,290585,102346,27126,55364,37990,67759,84645,24371,7867,19555,11639,21213,761,225,53,136,76,271,43341,26448,5155,5474,1570,4694,132,44,34,14,14,26,2694,974,197,636,113,774,7556,3158,738,1226,493,1941,282603,99222,26379,53866,37248,65888,11417,4256,1017,2248,902,2994
40,MI,26,,,,,040C2US26,Michigan -- In metropolitan statistical area -- not in principal city,4345387,2106645,253907,3620,35775,80907,100074,11734,20360,1437,333417,5980,20807,87377,86258,31038,73657,28300,345170,6648,18945,88580,83967,31043,72559,43428,794467,16569,45077,232360,192413,71428,141670,94950,379684,18947,31374,113824,83026,24060,56931,51522,2238742,245246,2292,22674,63429,111454,15850,27778,1769,331905,4713,15694,58916,87700,40443,86409,38030,351978,6481,14068,65231,82900,43205,83550,56543,829808,13855,35588,236965,201861,100803,146776,93960,479805,25201,43691,198325,95892,28228,49242,39226,3846234,1852738,17658,3557,6880,20049,18571,32625,35329,29678,522141,141613,304051,157569,344817,148186,43936,26078,1993496,18344,4198,8144,19564,16820,32513,33369,26339,559437,156820,311533,212679,365977,182429,28600,16730,3846234,36002,579,595,563,1365,2341,2312,3877,11147,6817,32796,35391,65138,68698,56017,950871,130707,298433,615584,370248,710794,330615,72536,42808,3381259,1635821,135473,464503,538120,497725,1745438,128929,505411,594158,516940,266254,121413,15465,39594,43609,22745,144841,15282,35384,60253,33922,12607,6233,843,1973,2318,1099,6374,968,1889,2487,1030,103806,48615,4199,4901,6930,32585,55191,7084,7168,9515,31424,855,438,27,49,147,215,417,82,87,155,93,28922,14942,5168,4385,3108,2281,13980,3783,3563,4086,2548,52531,25276,3172,6736,9001,6367,27255,3163,5935,10378,7779,3298556,1594633,126264,453458,526144,488767,1703923,121026,495738,580329,506830,118243,59499,15136,16301,16415,11647,58744,12442,14132,19202,12968,1156753,563017,156770,66119,9594,39295,8392,33370,297794,129106,20247,81528,17824,49089,108453,44390,7002,25005,15348,16708,593736,192991,51261,25934,37866,29998,47932,312277,71068,48762,71917,58138,62392,88468,13268,12142,6755,37591,18712,1247973,46848,63435,38671,53087,72261,127706,6859,132873,272402,177219,44846,51155,38455,46976,75180,1156753,375212,123681,262366,167291,228203,1014665,315474,106652,234869,155677,201993,56667,15902,6036,14706,6415,13608,2129,759,175,274,367,554,64009,35848,8963,8794,2959,7445,308,48,0,12,50,198,4829,1766,510,874,526,1153,14146,5415,1345,2837,1297,3252,995597,308630,105145,230999,153510,197313,24615,8703,2219,4920,2697,6076
40,MI,26,,,,,040E0US26,Michigan -- In micropolitan statistical area,892356,448549,65852,1026,8315,21237,28861,3581,2689,143,68389,2192,5544,24279,18699,5864,9253,2558,66730,1681,4544,24148,16697,6244,9116,4300,159550,3550,10400,61428,39338,14241,19774,10819,88028,5145,7424,31279,18216,4659,10629,10676,443807,59517,591,5412,15293,30324,4012,3723,162,60954,1382,3168,14992,17268,8119,11957,4068,61095,1069,2547,15345,16073,8515,11975,5571,157575,2198,6601,55681,38780,19680,21695,12940,104666,4670,9231,46738,20555,5397,10232,7843,766987,382697,4231,699,1364,6274,4755,8593,8506,6058,141134,32102,60848,31008,48772,18666,5443,4244,384290,2717,620,879,5103,3637,6544,6914,4452,132756,32361,60315,41711,55859,24827,3167,2428,766987,6948,65,94,121,282,395,362,710,1533,1591,9786,8392,15137,15420,10510,236449,37441,64463,121163,72719,104631,43493,8610,6672,723989,357054,36034,130789,116513,73718,366935,28283,127841,128132,82679,13824,11326,2231,5463,2989,643,2498,496,647,879,476,9375,4557,692,1671,1687,507,4818,509,1504,2190,615,4574,1945,167,213,374,1191,2629,356,600,451,1222,229,92,28,17,39,8,137,10,59,66,2,3976,2372,614,1007,532,219,1604,461,465,444,234,11020,5351,714,1974,1824,839,5669,751,1640,2225,1053,709299,349631,33760,128408,114680,72783,359668,26570,125548,125787,81763,20719,10970,3145,3762,2847,1216,9749,2344,3052,3172,1181,163406,77125,18151,7100,1248,3900,1645,4258,37669,14288,2733,8788,4352,7508,21305,8116,1244,3990,4670,3285,86281,25007,6372,3723,3917,4345,6650,43199,8027,6986,8080,10732,9374,18075,2001,2545,1055,8432,4042,177947,4721,12430,5636,7202,10032,10512,806,20067,30866,36253,6924,8117,5234,4762,14385,163406,45904,18479,29730,34176,35117,156397,43174,17884,28525,33349,33465,1119,456,57,196,79,331,1122,292,107,311,149,263,2413,1275,217,372,158,391,10,1,0,0,5,4,453,123,15,44,160,111,1892,583,199,282,276,552,154546,42586,17664,28256,33084,32956,2397,777,237,338,411,634
40,MI,26,,,,,040E1US26,Michigan -- In micropolitan statistical area -- in principal city,191955,95069,26567,159,1999,6837,14966,1526,1034,46,17077,504,1433,5284,4899,1237,2845,875,12888,322,911,4621,2927,1163,1987,957,24909,898,1841,8010,5897,2132,3685,2446,13628,828,1178,4364,2621,766,1739,2132,96886,24587,90,1256,5092,15430,1264,1420,35,14753,315,1047,3108,4306,1825,2992,1160,10762,220,463,2320,3149,1431,1940,1239,25755,459,1266,7574,6077,3335,4315,2729,21029,1182,1760,8681,4225,1160,2212,1809,140801,68502,1033,217,297,1005,991,1780,1455,1137,22279,5117,11227,5298,10256,3944,1061,1405,72299,596,182,203,1195,826,1323,1402,985,21683,6036,11721,7751,11459,5412,720,805,140801,1629,0,29,31,108,138,93,141,359,485,1715,1817,3103,2857,2122,36022,7940,11153,22948,13049,21715,9356,1781,2210,128243,60877,6626,19398,19500,15353,67366,5847,20667,23693,17159,4244,3467,672,1575,994,226,777,122,117,360,178,2437,1292,186,399,562,145,1145,126,347,496,176,1460,698,24,88,41,545,762,111,72,67,512,52,26,26,0,0,0,26,0,3,23,0,1218,763,223,316,158,66,455,217,101,102,35,3147,1379,158,503,387,331,1768,289,376,767,336,123698,58539,5845,18660,18926,15108,65159,5190,20080,23029,16860,6565,3615,1056,1256,943,360,2950,935,797,874,344,35062,16666,5223,2226,297,917,396,1387,7572,2676,454,1624,955,1863,3871,1278,220,669,1066,638,18396,5657,1638,770,711,954,1584,8718,1933,1294,1471,2099,1921,4021,478,605,286,1666,986,38486,1121,2577,1203,1866,2690,1738,212,4028,5877,7583,2133,2060,1187,1171,3040,35062,10229,3640,5678,7136,8379,32512,9043,3472,5305,6880,7812,404,169,31,60,41,103,321,90,21,101,72,37,1057,608,81,129,66,173,0,0,0,0,0,0,101,39,0,10,30,22,667,280,35,73,47,232,31968,8830,3380,5252,6797,7709,704,286,92,84,113,129
40,MI,26,,,,,040E2US26,Michigan -- In micropolitan statistical area -- not in principal city,700401,353480,39285,867,6316,14400,13895,2055,1655,97,51312,1688,4111,18995,13800,4627,6408,1683,53842,1359,3633,19527,13770,5081,7129,3343,134641,2652,8559,53418,33441,12109,16089,8373,74400,4317,6246,26915,15595,3893,8890,8544,346921,34930,501,4156,10201,14894,2748,2303,127,46201,1067,2121,11884,12962,6294,8965,2908,50333,849,2084,13025,12924,7084,10035,4332,131820,1739,5335,48107,32703,16345,17380,10211,83637,3488,7471,38057,16330,4237,8020,6034,626186,314195,3198,482,1067,5269,3764,6813,7051,4921,118855,26985,49621,25710,38516,14722,4382,2839,311991,2121,438,676,3908,2811,5221,5512,3467,111073,26325,48594,33960,44400,19415,2447,1623,626186,5319,65,65,90,174,257,269,569,1174,1106,8071,6575,12034,12563,8388,200427,29501,53310,98215,59670,82916,34137,6829,4462,595746,296177,29408,111391,97013,58365,299569,22436,107174,104439,65520,9580,7859,1559,3888,1995,417,1721,374,530,519,298,6938,3265,506,1272,1125,362,3673,383,1157,1694,439,3114,1247,143,125,333,646,1867,245,528,384,710,177,66,2,17,39,8,111,10,56,43,2,2758,1609,391,691,374,153,1149,244,364,342,199,7873,3972,556,1471,1437,508,3901,462,1264,1458,717,585601,291092,27915,109748,95754,57675,294509,21380,105468,102758,64903,14154,7355,2089,2506,1904,856,6799,1409,2255,2298,837,128344,60459,12928,4874,951,2983,1249,2871,30097,11612,2279,7164,3397,5645,17434,6838,1024,3321,3604,2647,67885,19350,4734,2953,3206,3391,5066,34481,6094,5692,6609,8633,7453,14054,1523,1940,769,6766,3056,139461,3600,9853,4433,5336,7342,8774,594,16039,24989,28670,4791,6057,4047,3591,11345,128344,35675,14839,24052,27040,26738,123885,34131,14412,23220,26469,25653,715,287,26,136,38,228,801,202,86,210,77,226,1356,667,136,243,92,218,10,1,0,0,5,4,352,84,15,34,130,89,1225,303,164,209,229,320,122578,33756,14284,23004,26287,25247,1693,491,145,254,298,505
