SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B15001_001,B15001_002,B15001_003,B15001_004,B15001_005,B15001_006,B15001_007,B15001_008,B15001_009,B15001_010,B15001_011,B15001_012,B15001_013,B15001_014,B15001_015,B15001_016,B15001_017,B15001_018,B15001_019,B15001_020,B15001_021,B15001_022,B15001_023,B15001_024,B15001_025,B15001_026,B15001_027,B15001_028,B15001_029,B15001_030,B15001_031,B15001_032,B15001_033,B15001_034,B15001_035,B15001_036,B15001_037,B15001_038,B15001_039,B15001_040,B15001_041,B15001_042,B15001_043,B15001_044,B15001_045,B15001_046,B15001_047,B15001_048,B15001_049,B15001_050,B15001_051,B15001_052,B15001_053,B15001_054,B15001_055,B15001_056,B15001_057,B15001_058,B15001_059,B15001_060,B15001_061,B15001_062,B15001_063,B15001_064,B15001_065,B15001_066,B15001_067,B15001_068,B15001_069,B15001_070,B15001_071,B15001_072,B15001_073,B15001_074,B15001_075,B15001_076,B15001_077,B15001_078,B15001_079,B15001_080,B15001_081,B15001_082,B15001_083,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_013,B15003_014,B15003_015,B15003_016,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,C15002F_001,C15002F_002,C15002F_003,C15002F_004,C15002F_005,C15002F_006,C15002F_007,C15002F_008,C15002F_009,C15002F_010,C15002F_011,C15002G_001,C15002G_002,C15002G_003,C15002G_004,C15002G_005,C15002G_006,C15002G_007,C15002G_008,C15002G_009,C15002G_010,C15002G_011,C15002H_001,C15002H_002,C15002H_003,C15002H_004,C15002H_005,C15002H_006,C15002H_007,C15002H_008,C15002H_009,C15002H_010,C15002H_011,C15002I_001,C15002I_002,C15002I_003,C15002I_004,C15002I_005,C15002I_006,C15002I_007,C15002I_008,C15002I_009,C15002I_010,C15002I_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010,B15012_011,B15012_012,B15012_013,B15012_014,B15012_015,B15012_016,C15010_001,C15010_002,C15010_003,C15010_004,C15010_005,C15010_006,C15010A_001,C15010A_002,C15010A_003,C15010A_004,C15010A_005,C15010A_006,C15010B_001,C15010B_002,C15010B_003,C15010B_004,C15010B_005,C15010B_006,C15010C_001,C15010C_002,C15010C_003,C15010C_004,C15010C_005,C15010C_006,C15010D_001,C15010D_002,C15010D_003,C15010D_004,C15010D_005,C15010D_006,C15010E_001,C15010E_002,C15010E_003,C15010E_004,C15010E_005,C15010E_006,C15010F_001,C15010F_002,C15010F_003,C15010F_004,C15010F_005,C15010F_006,C15010G_001,C15010G_002,C15010G_003,C15010G_004,C15010G_005,C15010G_006,C15010H_001,C15010H_002,C15010H_003,C15010H_004,C15010H_005,C15010H_006,C15010I_001,C15010I_002,C15010I_003,C15010I_004,C15010I_005,C15010I_006
40,MN,27,,,,,04000US27,Minnesota,4168770,2054764,257931,2851,33551,78044,102012,15547,24922,1004,378501,7769,20004,88984,83777,47155,100597,30215,339661,9372,16303,75671,73454,40814,82213,41834,730764,15291,30183,207161,162486,78302,153674,83667,347907,21065,21178,112008,67988,17446,60283,47939,2114006,248705,2510,24084,56549,110428,17644,36009,1481,366540,7741,13131,53764,75193,53892,116839,45980,331455,9762,10642,49292,68839,46993,93435,52492,735808,16613,21005,178847,176302,92314,165367,85360,431498,24307,25755,174588,87754,25052,61886,32156,3662134,1796833,17380,4725,8905,22487,14673,21382,25807,25806,483824,114759,272946,183717,396767,129188,45215,29252,1865301,22872,5499,8126,21926,11521,17135,21816,20061,456491,133018,275070,218251,437527,163791,31410,20787,3662134,40252,422,485,897,1883,3417,3120,3428,13603,6086,38327,26194,38517,47623,45867,825855,114460,247777,548016,401968,834294,292979,76625,50039,3223052,1578620,98520,430104,509970,540026,1644432,79937,410692,560473,593330,167022,84898,13581,23801,29250,18266,82124,17896,19791,29224,15213,32143,15609,2878,6052,5173,1506,16534,2747,4612,6908,2267,144286,68500,11811,11288,14889,30512,75786,17639,11510,15285,31352,1080,473,37,139,130,167,607,91,141,167,208,45597,25271,11295,6740,3943,3293,20326,8508,5354,3920,2544,48954,23462,3043,5700,8067,6652,25492,2138,4391,10362,8601,3142151,1536769,84067,418859,501181,532662,1605382,68561,401168,550355,585298,133657,70501,26755,19062,13697,10987,63156,20806,15552,15443,11355,1253937,600422,192034,82891,9723,45224,9518,44678,300166,126251,16642,75761,22886,58626,108222,44825,6173,19976,18455,18793,653515,236111,71041,29640,43065,29379,62986,323362,76906,44931,60096,60251,81178,94042,13714,13998,5297,39682,21351,1385145,60242,90757,39673,68814,113457,83565,8788,131514,262102,190892,66169,64751,56356,63818,84247,1253937,415628,121107,249419,180171,287612,1133356,358208,109058,229029,172994,264067,33479,12179,4092,6797,2268,8143,3773,1323,345,575,508,1022,61864,35250,6064,9349,2362,8839,375,168,79,27,6,95,5837,2090,448,1229,757,1313,15253,6410,1021,2413,1276,4133,1117960,352210,107801,226319,171515,260115,22342,8544,1754,4102,2291,5651
40,MN,27,,,,,04001US27,Minnesota -- Urban,3068771,1490872,203521,2091,24950,57921,84990,10779,21857,933,305269,6737,15457,65199,66665,34572,88713,27926,257795,8322,12355,51256,53753,27922,67826,36361,500170,12692,19487,121321,106729,50362,120617,68962,224117,12233,11378,62513,44438,11877,44613,37065,1577899,203365,2120,17768,43539,94362,12939,31346,1291,299553,6980,10742,41078,59189,39731,100687,41146,252824,8998,8615,34886,50159,31775,74213,44178,519223,14554,15352,112412,118696,61119,127967,69123,302934,17297,17417,115341,61607,17823,47193,26256,2661885,1287351,14791,4086,7810,13297,9992,13244,16921,18520,300289,79599,191986,124733,321769,108143,37350,24821,1374534,20709,4900,7346,14874,8852,12075,15599,15600,303717,93212,196439,150448,350060,136152,26695,17856,2661885,35500,315,352,800,1632,3065,2822,3048,12108,4851,23320,18844,25319,32520,34120,523761,80245,172811,388425,275181,671829,244295,64045,42677,2261987,1088491,59803,252575,340923,435190,1173496,54343,262960,381244,474949,163144,82424,13125,23069,28413,17817,80720,17644,19441,28836,14799,17023,8217,1508,3274,2538,897,8806,1453,2367,3746,1240,137215,65817,11415,10749,14334,29319,71398,16840,10606,14187,29765,822,314,15,123,81,95,508,65,115,135,193,41446,22930,10389,6133,3473,2935,18516,7812,4957,3493,2254,40248,19158,2406,4366,6556,5830,21090,1798,3271,8458,7563,2191079,1051715,47219,242701,333270,428525,1139364,44215,254930,372546,467673,118721,62626,23881,16925,11873,9947,56095,18776,13534,13498,10287,1022846,492083,168569,73329,8281,39695,7492,39772,241836,101463,12377,62164,16221,49611,81678,34426,4241,15814,12201,14996,530763,201533,62846,23335,36348,22977,56027,255781,62870,33495,48281,43130,68005,73449,11082,10789,4321,29455,17802,1133034,51876,68273,32295,57990,98794,70585,7936,100806,217211,139749,58952,55373,49788,56755,66651,1022846,346016,92518,206623,131476,246213,910139,291726,81242,187389,125262,224520,32616,11837,3972,6628,2192,7987,2137,816,196,329,291,505,59084,33948,5797,8978,2072,8289,288,132,79,22,3,52,5189,1819,411,1096,665,1198,13393,5738,821,2181,991,3662,896198,286342,80086,184905,124057,220808,20234,7647,1614,3764,1915,5294
40,MN,27,,,,,04043US27,Minnesota -- Rural,1099999,563892,54410,760,8601,20123,17022,4768,3065,71,73232,1032,4547,23785,17112,12583,11884,2289,81866,1050,3948,24415,19701,12892,14387,5473,230594,2599,10696,85840,55757,27940,33057,14705,123790,8832,9800,49495,23550,5569,15670,10874,536107,45340,390,6316,13010,16066,4705,4663,190,66987,761,2389,12686,16004,14161,16152,4834,78631,764,2027,14406,18680,15218,19222,8314,216585,2059,5653,66435,57606,31195,37400,16237,128564,7010,8338,59247,26147,7229,14693,5900,1000249,509482,2589,639,1095,9190,4681,8138,8886,7286,183535,35160,80960,58984,74998,21045,7865,4431,490767,2163,599,780,7052,2669,5060,6217,4461,152774,39806,78631,67803,87467,27639,4715,2931,1000249,4752,107,133,97,251,352,298,380,1495,1235,15007,7350,13198,15103,11747,302094,34215,74966,159591,126787,162465,48684,12580,7362,961065,490129,38717,177529,169047,104836,470936,25594,147732,179229,118381,3878,2474,456,732,837,449,1404,252,350,388,414,15120,7392,1370,2778,2635,609,7728,1294,2245,3162,1027,7071,2683,396,539,555,1193,4388,799,904,1098,1587,258,159,22,16,49,72,99,26,26,32,15,4151,2341,906,607,470,358,1810,696,397,427,290,8706,4304,637,1334,1511,822,4402,340,1120,1904,1038,951072,485054,36848,176158,167911,104137,466018,24346,146238,177809,117625,14936,7875,2874,2137,1824,1040,7061,2030,2018,1945,1068,231091,108339,23465,9562,1442,5529,2026,4906,58330,24788,4265,13597,6665,9015,26544,10399,1932,4162,6254,3797,122752,34578,8195,6305,6717,6402,6959,67581,14036,11436,11815,17121,13173,20593,2632,3209,976,10227,3549,252111,8366,22484,7378,10824,14663,12980,852,30708,44891,51143,7217,9378,6568,7063,17596,231091,69612,28589,42796,48695,41399,223217,66482,27816,41640,47732,39547,863,342,120,169,76,156,1636,507,149,246,217,517,2780,1302,267,371,290,550,87,36,0,5,3,43,648,271,37,133,92,115,1860,672,200,232,285,471,221762,65868,27715,41414,47458,39307,2108,897,140,338,376,357
40,MN,27,,,,,040A0US27,Minnesota -- In metropolitan or micropolitan statistical area,3771828,1856042,238447,2441,30150,70410,96710,13798,23974,964,350540,7214,17869,79542,77469,42410,96823,29213,311912,8848,14481,66479,66768,36445,78200,40691,655493,13561,25978,177040,143932,69929,145145,79908,299650,16504,17153,91987,59171,15578,54961,44296,1915786,230612,2346,21606,50684,104239,15708,34584,1445,340741,7238,11946,47963,68808,48520,111604,44662,304734,9142,9502,43116,62173,41789,88324,50688,664486,15638,18548,154623,156877,82082,155139,81579,375213,20137,21758,147824,77176,22233,56001,30084,3302769,1617595,15933,4377,8377,17440,12472,18006,21936,23067,415048,102507,244833,164362,375129,123211,42800,28097,1685174,21765,5138,7699,17553,10290,14519,18760,18185,393526,118712,246322,194624,411068,156596,30378,20039,3302769,37698,390,448,864,1756,3151,2906,3249,12827,5412,29581,22762,32525,40696,41252,708658,99916,221219,491155,358986,786197,279807,73178,48136,2880515,1408004,80916,364219,452968,509901,1472511,66521,350254,496604,559132,164703,83235,13305,23286,28592,18052,81468,17794,19619,28928,15127,25801,12685,2350,4930,4111,1294,13116,2184,3461,5613,1858,142141,67695,11601,11034,14741,30319,74446,17246,11184,14999,31017,922,372,15,130,105,122,550,63,121,162,204,43196,24003,10716,6388,3708,3191,19193,8092,5049,3654,2398,45491,21601,2705,5061,7477,6358,23890,2009,3838,9698,8345,2805249,1369050,67812,353884,444612,502742,1436199,56170,341522,487176,551331,125091,66045,24726,17773,12859,10687,59046,19302,14419,14378,10947,1187318,569237,184699,79688,9220,43904,8561,43326,285281,120280,15541,72664,20584,56212,99257,41526,5507,18786,15963,17475,618081,226026,68728,27974,41413,27027,60884,305970,73838,42311,57560,54464,77797,86085,12912,12828,4887,35557,19901,1312253,58377,83513,37861,65911,109338,80873,8520,123137,251328,171949,63950,61691,54651,62354,78800,1187318,396972,113381,239214,162156,275595,1069033,340431,101623,219105,155306,252568,33179,12063,3995,6788,2252,8081,3152,1092,284,498,424,854,61336,35056,5993,9271,2258,8758,326,133,79,27,3,84,5589,2020,438,1175,723,1233,14703,6177,969,2350,1190,4017,1054073,334656,100392,216442,153894,248689,21634,8250,1716,3990,2173,5505
40,MN,27,,,,,040C0US27,Minnesota -- In metropolitan statistical area,3211273,1577650,202234,1993,25108,59391,82032,10847,21938,925,307813,6196,14292,66596,67069,35857,89900,27903,272171,7593,11799,55805,57399,30244,71308,38023,556209,11491,21014,142511,120568,57894,130193,72538,239223,12094,12828,69482,47673,12566,46676,37904,1633623,196180,1811,18264,42629,87773,12558,31801,1344,301315,6297,9910,40374,58928,40619,103415,41772,266627,7885,7997,35921,52944,34960,79879,47041,566706,14014,15395,125808,130682,67399,139053,74355,302795,15677,17109,115672,62707,17892,47628,26110,2812859,1375416,13938,3640,6976,12820,9346,13867,16995,19725,334394,85776,206933,136561,338077,112256,38773,25339,1437443,19705,4371,6625,13172,8252,11854,14655,15650,317775,98399,206862,160870,369975,142930,28180,18168,2812859,33643,335,399,757,1532,2447,2541,2699,10902,4343,21649,17598,25721,31650,35375,570422,81747,184175,413795,297431,708052,255186,66953,43507,2419196,1180941,60958,288229,374832,456922,1238255,50500,277955,407607,502193,159048,79698,12340,22255,27511,17592,79350,16917,19132,28386,14915,16973,8142,1400,3270,2518,954,8831,1497,2259,3671,1404,137167,65423,10946,10508,14132,29837,71744,16616,10625,14116,30387,772,340,15,130,82,113,432,62,91,120,159,38290,21252,9275,5640,3347,2990,17038,6894,4519,3340,2285,41413,19620,2373,4362,6848,6037,21793,1798,3194,8891,7910,2355900,1148157,50767,279617,367681,450092,1207743,42667,270521,399581,494974,107576,56731,20205,15127,11273,10126,50845,15529,12460,12614,10242,1073698,514445,172246,74804,8421,41092,7335,40594,257619,109650,13740,66113,16871,51245,84580,36428,4576,16176,12467,14933,559253,209133,64790,25139,38467,23735,57002,276382,68380,37492,52925,46260,71325,73738,11433,11072,4354,29212,17667,1187836,54596,73549,34731,60637,101769,75758,8070,109180,230046,144393,59617,55897,50983,58966,69644,1073698,365485,100440,219127,135880,252766,959115,310314,89117,199574,129474,230636,32507,11857,3895,6689,2175,7891,2358,897,209,363,324,565,60224,34458,5902,9130,2168,8566,272,132,34,24,3,79,5275,1895,430,1076,654,1220,13947,5932,853,2271,1082,3809,945066,304981,87936,196978,128308,226863,20368,7634,1658,3856,1861,5359
40,MN,27,,,,,040C1US27,Minnesota -- In metropolitan statistical area -- in principal city,1017583,501583,84626,819,8424,20134,39818,3602,11245,584,117899,3570,5155,20386,23999,10554,39287,14948,83781,3895,4274,14813,15797,7520,22621,14861,152138,5985,6542,32241,29799,12248,39037,26286,63139,3557,3155,14378,11891,3270,13408,13480,516000,82418,960,5869,14895,41127,4389,14521,657,114136,3790,4371,13307,19967,10994,41415,20292,80254,4686,3696,9819,13636,7749,23117,17551,156978,7596,5778,27821,31654,15470,41471,27188,82214,5199,4356,26566,16315,4574,15103,10101,850539,416957,6800,1923,3764,4520,3388,3865,5435,6438,81818,22535,58951,33592,114353,42247,15702,11626,433582,10851,2639,3474,4307,3346,4180,5626,5049,77513,24335,57237,38787,121106,53748,12741,8643,850539,17651,92,161,432,960,1431,1486,1320,5918,1965,6862,6734,8045,11061,11487,135575,23756,46870,116188,72379,235459,95995,28443,20269,659754,322834,15940,58784,89849,158261,336920,13371,58083,93772,171694,86797,42963,7855,12346,14562,8200,43834,11470,11021,14891,6452,6823,3169,614,1345,781,429,3654,711,820,1534,589,61224,29530,5899,4879,5782,12970,31694,9286,4333,5407,12668,179,101,7,44,18,32,78,26,31,21,0,18165,10158,4822,2799,1408,1129,8007,3586,2058,1253,1110,17597,8202,996,1621,2678,2907,9395,1022,1167,3481,3725,633498,308884,11024,55522,87211,155127,324614,9828,55594,91035,168157,48001,25850,10147,6694,4432,4577,22151,7615,4918,4640,4978,380166,183928,73813,34409,3597,14679,2324,18804,83227,36624,4094,18003,4437,20069,26888,11934,1342,4586,3188,5838,196238,82671,29429,8839,12216,6895,25292,88363,23678,10392,14607,12022,27664,25204,4419,3819,1293,8571,7102,425962,19990,29338,13008,22075,43535,25975,3894,35407,69280,40468,28928,24390,25000,22482,22192,380166,140493,32083,65384,37437,104769,329955,115438,27700,57813,34622,94382,14652,5130,1653,2876,1322,3671,1018,456,117,89,116,240,25638,15580,2152,3381,740,3785,32,16,0,0,0,16,2239,829,137,374,250,649,6632,3044,324,851,387,2026,323284,112852,27025,56589,34202,92616,9555,3669,877,1673,721,2615
40,MN,27,,,,,040C2US27,Minnesota -- In metropolitan statistical area -- not in principal city,2193690,1076067,117608,1174,16684,39257,42214,7245,10693,341,189914,2626,9137,46210,43070,25303,50613,12955,188390,3698,7525,40992,41602,22724,48687,23162,404071,5506,14472,110270,90769,45646,91156,46252,176084,8537,9673,55104,35782,9296,33268,24424,1117623,113762,851,12395,27734,46646,8169,17280,687,187179,2507,5539,27067,38961,29625,62000,21480,186373,3199,4301,26102,39308,27211,56762,29490,409728,6418,9617,97987,99028,51929,97582,47167,220581,10478,12753,89106,46392,13318,32525,16009,1962320,958459,7138,1717,3212,8300,5958,10002,11560,13287,252576,63241,147982,102969,223724,70009,23071,13713,1003861,8854,1732,3151,8865,4906,7674,9029,10601,240262,74064,149625,122083,248869,89182,15439,9525,1962320,15992,243,238,325,572,1016,1055,1379,4984,2378,14787,10864,17676,20589,23888,434847,57991,137305,297607,225052,472593,159191,38510,23238,1759442,858107,45018,229445,284983,298661,901335,37129,219872,313835,330499,72251,36735,4485,9909,12949,9392,35516,5447,8111,13495,8463,10150,4973,786,1925,1737,525,5177,786,1439,2137,815,75943,35893,5047,5629,8350,16867,40050,7330,6292,8709,17719,593,239,8,86,64,81,354,36,60,99,159,20125,11094,4453,2841,1939,1861,9031,3308,2461,2087,1175,23816,11418,1377,2741,4170,3130,12398,776,2027,5410,4185,1722402,839273,39743,224095,280470,294965,883129,32839,214927,308546,326817,59575,30881,10058,8433,6841,5549,28694,7914,7542,7974,5264,693532,330517,98433,40395,4824,26413,5011,21790,174392,73026,9646,48110,12434,31176,57692,24494,3234,11590,9279,9095,363015,126462,35361,16300,26251,16840,31710,188019,44702,27100,38318,34238,43661,48534,7014,7253,3061,20641,10565,761874,34606,44211,21723,38562,58234,49783,4176,73773,160766,103925,30689,31507,25983,36484,47452,693532,224992,68357,153743,98443,147997,629160,194876,61417,141761,94852,136254,17855,6727,2242,3813,853,4220,1340,441,92,274,208,325,34586,18878,3750,5749,1428,4781,240,116,34,24,3,63,3036,1066,293,702,404,571,7315,2888,529,1420,695,1783,621782,192129,60911,140389,94106,134247,10813,3965,781,2183,1140,2744
40,MN,27,,,,,040E0US27,Minnesota -- In micropolitan statistical area,560555,278392,36213,448,5042,11019,14678,2951,2036,39,42727,1018,3577,12946,10400,6553,6923,1310,39741,1255,2682,10674,9369,6201,6892,2668,99284,2070,4964,34529,23364,12035,14952,7370,60427,4410,4325,22505,11498,3012,8285,6392,282163,34432,535,3342,8055,16466,3150,2783,101,39426,941,2036,7589,9880,7901,8189,2890,38107,1257,1505,7195,9229,6829,8445,3647,97780,1624,3153,28815,26195,14683,16086,7224,72418,4460,4649,32152,14469,4341,8373,3974,489910,242179,1995,737,1401,4620,3126,4139,4941,3342,80654,16731,37900,27801,37052,10955,4027,2758,247731,2060,767,1074,4381,2038,2665,4105,2535,75751,20313,39460,33754,41093,13666,2198,1871,489910,4055,55,49,107,224,704,365,550,1925,1069,7932,5164,6804,9046,5877,138236,18169,37044,77360,61555,78145,24621,6225,4629,461319,227063,19958,75990,78136,52979,234256,16021,72299,88997,56939,5655,3537,965,1031,1081,460,2118,877,487,542,212,8828,4543,950,1660,1593,340,4285,687,1202,1942,454,4974,2272,655,526,609,482,2702,630,559,883,630,150,32,0,0,23,9,118,1,30,42,45,4906,2751,1441,748,361,201,2155,1198,530,314,113,4078,1981,332,699,629,321,2097,211,644,807,435,449349,220893,17045,74267,76931,52650,228456,13503,71001,87595,56357,17515,9314,4521,2646,1586,561,8201,3773,1959,1764,705,113620,54792,12453,4884,799,2812,1226,2732,27662,10630,1801,6551,3713,4967,14677,5098,931,2610,3496,2542,58828,16893,3938,2835,2946,3292,3882,29588,5458,4819,4635,8204,6472,12347,1479,1756,533,6345,2234,124417,3781,9964,3130,5274,7569,5115,450,13957,21282,27556,4333,5794,3668,3388,9156,113620,31487,12941,20087,26276,22829,109918,30117,12506,19531,25832,21932,672,206,100,99,77,190,794,195,75,135,100,289,1112,598,91,141,90,192,54,1,45,3,0,5,314,125,8,99,69,13,756,245,116,79,108,208,109007,29675,12456,19464,25586,21826,1266,616,58,134,312,146
40,MN,27,,,,,040E1US27,Minnesota -- In micropolitan statistical area -- in principal city,238027,115325,21257,273,2431,5547,10402,1411,1173,20,20980,796,2059,6162,4894,2699,3697,673,17056,874,1613,4134,3714,2290,3019,1412,34763,1238,1954,10865,7871,3602,6005,3228,21269,1716,1276,7655,3791,1102,3097,2632,122702,21095,430,1292,4620,11698,1459,1549,47,18576,695,1138,3731,4835,3249,3447,1481,16038,993,920,2925,3733,2244,3563,1660,35516,1068,1336,9939,9461,4983,5931,2798,31477,2269,2083,13923,5871,1862,3440,2029,195675,94068,1268,584,913,1859,1575,1742,2191,1394,28816,6317,13953,9693,15818,4723,1762,1460,101607,1460,590,777,2198,1135,1282,1829,1231,30518,8033,15867,12338,16381,6036,956,976,195675,2728,12,39,47,181,574,321,403,1287,670,3387,2710,3024,4020,2625,51825,7509,14350,29820,22031,32199,10759,2718,2436,180086,85218,8567,26256,27770,22625,94868,8088,28843,34472,23465,4872,3158,904,920,913,421,1714,730,391,426,167,2095,1201,169,474,450,108,894,111,225,500,58,3214,1536,553,356,309,318,1678,506,287,462,423,100,16,0,0,16,0,84,0,24,15,45,3635,2074,1124,570,245,135,1561,978,418,132,33,1673,865,209,240,260,156,808,89,330,231,158,171930,81032,6390,25072,27114,22456,90898,6135,28123,33592,23048,12278,6555,3425,1895,875,360,5723,2987,1245,1021,470,48112,23763,6207,2405,364,1505,589,1344,11827,4341,715,2830,1632,2309,5729,1770,281,1072,1398,1208,24349,7339,1709,1082,1224,1373,1951,11541,2309,1685,1733,2874,2940,5469,679,758,246,2770,1016,52862,1893,3395,1287,2339,3590,2037,191,5320,9151,11170,2360,2697,1955,1596,3881,48112,13213,4885,8610,10636,10768,46090,12348,4640,8367,10416,10319,588,195,90,82,58,163,166,17,8,25,34,82,741,463,61,84,30,103,45,0,45,0,0,0,168,111,0,8,43,6,314,79,41,44,55,95,45504,12062,4617,8333,10238,10254,830,442,23,53,217,95
40,MN,27,,,,,040E2US27,Minnesota -- In micropolitan statistical area -- not in principal city,322528,163067,14956,175,2611,5472,4276,1540,863,19,21747,222,1518,6784,5506,3854,3226,637,22685,381,1069,6540,5655,3911,3873,1256,64521,832,3010,23664,15493,8433,8947,4142,39158,2694,3049,14850,7707,1910,5188,3760,159461,13337,105,2050,3435,4768,1691,1234,54,20850,246,898,3858,5045,4652,4742,1409,22069,264,585,4270,5496,4585,4882,1987,62264,556,1817,18876,16734,9700,10155,4426,40941,2191,2566,18229,8598,2479,4933,1945,294235,148111,727,153,488,2761,1551,2397,2750,1948,51838,10414,23947,18108,21234,6232,2265,1298,146124,600,177,297,2183,903,1383,2276,1304,45233,12280,23593,21416,24712,7630,1242,895,294235,1327,43,10,60,43,130,44,147,638,399,4545,2454,3780,5026,3252,86411,10660,22694,47540,39524,45946,13862,3507,2193,281233,141845,11391,49734,50366,30354,139388,7933,43456,54525,33474,783,379,61,111,168,39,404,147,96,116,45,6733,3342,781,1186,1143,232,3391,576,977,1442,396,1760,736,102,170,300,164,1024,124,272,421,207,50,16,0,0,7,9,34,1,6,27,0,1271,677,317,178,116,66,594,220,112,182,80,2405,1116,123,459,369,165,1289,122,314,576,277,277419,139861,10655,49195,49817,30194,137558,7368,42878,54003,33309,5237,2759,1096,751,711,201,2478,786,714,743,235,65508,31029,6246,2479,435,1307,637,1388,15835,6289,1086,3721,2081,2658,8948,3328,650,1538,2098,1334,34479,9554,2229,1753,1722,1919,1931,18047,3149,3134,2902,5330,3532,6878,800,998,287,3575,1218,71555,1888,6569,1843,2935,3979,3078,259,8637,12131,16386,1973,3097,1713,1792,5275,65508,18274,8056,11477,15640,12061,63828,17769,7866,11164,15416,11613,84,11,10,17,19,27,628,178,67,110,66,207,371,135,30,57,60,89,9,1,0,3,0,5,146,14,8,91,26,7,442,166,75,35,53,113,63503,17613,7839,11131,15348,11572,436,174,35,81,95,51
