SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B15001_001,B15001_002,B15001_003,B15001_004,B15001_005,B15001_006,B15001_007,B15001_008,B15001_009,B15001_010,B15001_011,B15001_012,B15001_013,B15001_014,B15001_015,B15001_016,B15001_017,B15001_018,B15001_019,B15001_020,B15001_021,B15001_022,B15001_023,B15001_024,B15001_025,B15001_026,B15001_027,B15001_028,B15001_029,B15001_030,B15001_031,B15001_032,B15001_033,B15001_034,B15001_035,B15001_036,B15001_037,B15001_038,B15001_039,B15001_040,B15001_041,B15001_042,B15001_043,B15001_044,B15001_045,B15001_046,B15001_047,B15001_048,B15001_049,B15001_050,B15001_051,B15001_052,B15001_053,B15001_054,B15001_055,B15001_056,B15001_057,B15001_058,B15001_059,B15001_060,B15001_061,B15001_062,B15001_063,B15001_064,B15001_065,B15001_066,B15001_067,B15001_068,B15001_069,B15001_070,B15001_071,B15001_072,B15001_073,B15001_074,B15001_075,B15001_076,B15001_077,B15001_078,B15001_079,B15001_080,B15001_081,B15001_082,B15001_083,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_013,B15003_014,B15003_015,B15003_016,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,C15002F_001,C15002F_002,C15002F_003,C15002F_004,C15002F_005,C15002F_006,C15002F_007,C15002F_008,C15002F_009,C15002F_010,C15002F_011,C15002G_001,C15002G_002,C15002G_003,C15002G_004,C15002G_005,C15002G_006,C15002G_007,C15002G_008,C15002G_009,C15002G_010,C15002G_011,C15002H_001,C15002H_002,C15002H_003,C15002H_004,C15002H_005,C15002H_006,C15002H_007,C15002H_008,C15002H_009,C15002H_010,C15002H_011,C15002I_001,C15002I_002,C15002I_003,C15002I_004,C15002I_005,C15002I_006,C15002I_007,C15002I_008,C15002I_009,C15002I_010,C15002I_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010,B15012_011,B15012_012,B15012_013,B15012_014,B15012_015,B15012_016,C15010_001,C15010_002,C15010_003,C15010_004,C15010_005,C15010_006,C15010A_001,C15010A_002,C15010A_003,C15010A_004,C15010A_005,C15010A_006,C15010B_001,C15010B_002,C15010B_003,C15010B_004,C15010B_005,C15010B_006,C15010C_001,C15010C_002,C15010C_003,C15010C_004,C15010C_005,C15010C_006,C15010D_001,C15010D_002,C15010D_003,C15010D_004,C15010D_005,C15010D_006,C15010E_001,C15010E_002,C15010E_003,C15010E_004,C15010E_005,C15010E_006,C15010F_001,C15010F_002,C15010F_003,C15010F_004,C15010F_005,C15010F_006,C15010G_001,C15010G_002,C15010G_003,C15010G_004,C15010G_005,C15010G_006,C15010H_001,C15010H_002,C15010H_003,C15010H_004,C15010H_005,C15010H_006,C15010I_001,C15010I_002,C15010I_003,C15010I_004,C15010I_005,C15010I_006
40,MO,29,,,,,04000US29,Missouri,4664527,2258884,301783,6175,39889,101722,116775,13412,22192,1618,400091,10215,30173,115995,96956,32494,81001,33257,363617,10192,27316,109060,80814,29392,67978,38865,786344,21729,63799,271951,174433,52865,124579,76988,407049,29752,34888,140144,80827,16423,56610,48405,2405643,289367,3429,28726,76624,128944,18144,30922,2578,400138,8031,22771,80562,98704,41851,99952,48267,367617,8792,21584,80987,86002,37625,81551,51076,825636,19324,53913,253563,195156,74668,140442,88570,522885,38057,54346,215551,104559,22248,49750,38374,4073377,1957101,16653,4445,9828,40962,29144,44814,50666,31552,637150,138085,294945,131174,330168,129096,40544,27875,2116276,16583,4763,8787,44071,27815,46812,49553,28434,630663,159128,325293,176392,371695,179739,27496,19052,4073377,33236,520,498,652,1427,3070,3041,4850,13765,10762,74271,56959,91626,100219,59986,1079050,188763,297213,620238,307566,701863,308835,68040,46927,3463756,1675019,177889,549038,478855,469237,1788737,175967,545660,548116,518994,426327,192601,32726,67525,64291,28059,233726,32646,65846,89080,46154,17472,9133,1713,2749,3349,1322,8339,1325,2505,2864,1645,70342,31415,3578,3977,4039,19821,38927,6547,5904,6117,20359,3427,1943,149,571,723,500,1484,454,334,531,165,35103,18973,7201,5534,3625,2613,16130,6144,4137,3530,2319,56950,28017,4808,7756,9322,6131,28933,3735,6277,10575,8346,3387345,1636139,167178,538167,469247,461547,1751206,166342,537089,537609,510166,118684,61430,18903,17392,14517,10618,57254,16491,13834,14876,12053,1125665,527683,167492,64646,9415,42107,10586,40738,255176,98855,16328,68483,19615,51895,105015,42792,5564,24276,14951,17432,597982,216007,54726,27947,42056,34427,56851,293851,58138,43881,61482,69095,61255,88124,11912,10747,7379,40416,17670,1216443,50393,81345,34772,57929,69274,65014,7235,123354,256079,196820,43496,59499,44936,51292,75005,1125665,331069,113882,245783,189090,245841,988231,281897,100329,214226,173778,218001,74213,19570,6810,19746,10877,17210,2967,996,328,740,397,506,40180,21856,4109,6676,1875,5664,665,285,105,156,60,59,4932,1746,507,1193,471,1015,14477,4719,1694,3046,1632,3386,971713,276395,98952,210318,171845,214203,22671,7232,2157,5510,2496,5276
40,MO,29,,,,,04001US29,Missouri -- Urban,3301217,1579036,232265,3522,27626,73463,96814,9839,19513,1488,311400,7034,21817,80700,75979,24835,70376,30659,261797,6971,18727,68511,58005,20685,55404,33494,520106,12840,38169,154199,118415,36754,96692,63037,253468,15022,19965,77140,51735,10590,41606,37410,1722181,226037,1724,19874,56373,106485,12657,26643,2281,310574,5175,16526,56117,76935,30469,83827,41525,265655,6053,14771,52533,61294,26282,63302,41420,561639,12716,34446,155436,134974,50057,106046,67964,358276,24318,35314,139956,74034,16231,37915,30508,2842915,1346771,11205,3335,6980,20347,17916,26869,32470,21423,380550,92718,211416,92864,264078,107145,33769,23686,1496144,12199,3551,6463,26049,17517,29739,33311,20490,404042,109346,237891,123039,291090,142762,22466,16189,2842915,23404,426,373,523,1085,2235,2244,3757,9686,6366,40030,35433,56608,65781,41913,661353,123239,202064,449307,215903,555168,249907,56235,39875,2275945,1086046,94803,299979,317989,373275,1189899,102973,324843,363843,398240,413156,185231,31308,64608,62208,27107,227925,31558,63918,87353,45096,10999,5737,1016,1738,2104,879,5262,782,1719,1784,977,65784,30096,3444,3661,3787,19204,35688,5863,5164,5494,19167,2590,1590,86,503,557,444,1000,219,222,432,127,31322,16989,6278,5026,3292,2393,14333,5327,3881,3064,2061,43119,21082,3610,5035,7061,5376,22037,2597,4295,8306,6839,2213577,1054076,86109,291285,310275,366407,1159501,95453,317919,355573,390556,99480,51819,15803,14407,12026,9583,47661,13435,11698,12069,10459,901185,428678,146360,56571,8118,37484,8232,35955,203302,78170,12064,56643,14087,42338,79016,32048,4094,19136,10117,13621,472507,179522,47074,22065,34880,25428,50075,224562,46063,33176,48097,47713,49513,68423,9748,8194,5795,29932,14754,975470,42565,58997,28230,48153,59270,54871,6261,95248,210320,141448,38290,49637,38962,44767,58451,901185,269674,87711,202035,135509,206256,771515,222990,74901,172573,121195,179856,72203,19105,6744,19041,10588,16725,1856,614,195,436,227,384,38371,21172,3961,6082,1759,5397,571,269,75,138,57,32,4454,1638,428,1120,400,868,12215,3886,1407,2645,1283,2994,756963,218069,73629,169106,119624,176535,20042,6562,1917,4867,2066,4630
40,MO,29,,,,,04043US29,Missouri -- Rural,1363310,679848,69518,2653,12263,28259,19961,3573,2679,130,88691,3181,8356,35295,20977,7659,10625,2598,101820,3221,8589,40549,22809,8707,12574,5371,266238,8889,25630,117752,56018,16111,27887,13951,153581,14730,14923,63004,29092,5833,15004,10995,683462,63330,1705,8852,20251,22459,5487,4279,297,89564,2856,6245,24445,21769,11382,16125,6742,101962,2739,6813,28454,24708,11343,18249,9656,263997,6608,19467,98127,60182,24611,34396,20606,164609,13739,19032,75595,30525,6017,11835,7866,1230462,610330,5448,1110,2848,20615,11228,17945,18196,10129,256600,45367,83529,38310,66090,21951,6775,4189,620132,4384,1212,2324,18022,10298,17073,16242,7944,226621,49782,87402,53353,80605,36977,5030,2863,1230462,9832,94,125,129,342,835,797,1093,4079,4396,34241,21526,35018,34438,18073,417697,65524,95149,170931,91663,146695,58928,11805,7052,1187811,588973,83086,249059,160866,95962,598838,72994,220817,184273,120754,13171,7370,1418,2917,2083,952,5801,1088,1928,1727,1058,6473,3396,697,1011,1245,443,3077,543,786,1080,668,4558,1319,134,316,252,617,3239,684,740,623,1192,837,353,63,68,166,56,484,235,112,99,38,3781,1984,923,508,333,220,1797,817,256,466,258,13831,6935,1198,2721,2261,755,6896,1138,1982,2269,1507,1173768,582063,81069,246882,158972,95140,591705,70889,219170,182036,119610,19204,9611,3100,2985,2491,1035,9593,3056,2136,2807,1594,224480,99005,21132,8075,1297,4623,2354,4783,51874,20685,4264,11840,5528,9557,25999,10744,1470,5140,4834,3811,125475,36485,7652,5882,7176,8999,6776,69289,12075,10705,13385,21382,11742,19701,2164,2553,1584,10484,2916,240973,7828,22348,6542,9776,10004,10143,974,28106,45759,55372,5206,9862,5974,6525,16554,224480,61395,26171,43748,53581,39585,216716,58907,25428,41653,52583,38145,2010,465,66,705,289,485,1111,382,133,304,170,122,1809,684,148,594,116,267,94,16,30,18,3,27,478,108,79,73,71,147,2262,833,287,401,349,392,214750,58326,25323,41212,52221,37668,2629,670,240,643,430,646
40,MO,29,,,,,040A0US29,Missouri -- In metropolitan or micropolitan statistical area,4019738,1940787,268793,4487,33581,87161,109036,11895,21090,1543,354965,7867,25136,96425,86931,29136,77129,32341,317169,8275,22546,88587,70960,26005,63533,37263,669346,16472,49969,216471,151937,46691,115162,72644,330514,21162,26601,107958,67133,13951,49821,43888,2078951,259442,2480,24305,66235,118400,15973,29640,2409,356144,6174,18599,66986,88443,36968,93245,45729,322298,7105,18049,67266,74869,32634,74724,47651,708116,15014,42561,207465,168920,64315,128457,81384,432951,28313,43251,174144,89286,19048,44220,34689,3491503,1671994,13508,3569,7770,28929,22360,34494,40692,26706,509441,118318,258643,115783,305645,121359,38208,26569,1819509,13893,3888,7325,31500,21549,36924,39810,24177,515861,135686,285832,152965,340646,165317,25924,18212,3491503,27401,468,412,557,1214,2483,2323,4094,11001,7700,52729,43909,71418,80502,50883,872961,152341,254004,544475,268748,646291,286676,64132,44781,2908632,1403904,131842,427022,410684,434356,1504728,131365,435133,465298,472932,413483,185183,30770,64105,62600,27708,228300,31111,63726,87749,45714,14386,7620,1348,2272,2830,1170,6766,1082,1930,2395,1359,68696,30933,3528,3842,3955,19608,37763,6341,5604,5891,19927,3112,1779,149,478,690,462,1333,445,299,430,159,32962,17829,6530,5275,3466,2558,15133,5738,3886,3324,2185,50232,24746,3861,6447,8519,5919,25486,2984,5283,9396,7823,2839031,1368429,122263,417252,401963,426951,1470602,122939,427345,455808,464510,109332,56644,17057,15937,13386,10264,52688,14848,12744,13671,11425,1041880,491781,160042,61760,8952,40709,9543,39078,238030,92198,14929,64591,17562,48750,93709,38144,5061,22062,12702,15740,550099,201488,51853,25653,39587,30255,54140,269702,54138,40310,57611,60395,57248,78909,11050,9848,6647,35209,16155,1126429,47715,73070,32391,53993,65725,61965,6878,113640,240805,172462,41553,55612,42694,49510,68416,1041880,309143,104753,231207,165666,231111,907288,260992,91465,200237,150726,203868,73422,19348,6771,19509,10789,17005,2529,819,297,691,293,429,39535,21615,3995,6533,1798,5594,621,269,103,156,57,36,4743,1663,484,1193,454,949,13742,4437,1638,2888,1549,3230,891461,255715,90113,196514,148906,200213,21689,6907,2066,5289,2373,5054
40,MO,29,,,,,040C0US29,Missouri -- In metropolitan statistical area,3462519,1662088,218902,3542,27979,70407,87143,9760,18701,1370,307990,6404,20638,79511,74987,25637,70777,30036,276650,6961,18426,73301,61506,22486,59193,34777,579712,13261,40379,179317,132270,40691,107017,66777,278834,15799,21341,87866,57277,12055,45077,39419,1800431,218882,1974,20604,54569,99493,13336,26709,2197,313123,4935,15147,56694,76287,31766,85384,42910,282514,6011,15270,55514,64958,28037,68454,44270,616678,12432,34497,173643,148441,56012,117870,73783,369234,22554,35187,146359,76947,16625,40029,31533,3024735,1443186,11102,2839,6539,21945,17812,27326,33026,22620,419995,100430,225610,100869,282064,112156,35059,23794,1581549,11919,3223,6081,24709,16972,29528,32722,20879,432210,115682,250951,132440,311737,151449,24207,16840,3024735,23021,420,392,440,1013,1914,1883,3408,9212,5889,40765,34784,56854,65748,43499,727014,125191,216112,476561,233309,593801,263605,59266,40634,2477852,1194318,101081,343924,350554,398759,1283534,101554,356850,395019,430111,394801,174877,28502,60517,59303,26555,219924,29666,60515,85043,44700,11837,6374,1034,1876,2423,1041,5463,911,1547,1878,1127,64830,29273,3435,3561,3696,18581,35557,5976,5120,5507,18954,2703,1551,112,443,560,436,1152,393,287,383,89,29314,15688,5901,4427,2958,2402,13626,5113,3433,2990,2090,43398,21105,3144,5247,7415,5299,22293,2420,4458,8253,7162,2415371,1162482,92681,335147,342771,391883,1252889,94249,349792,386559,422289,97394,50448,15082,14040,11794,9532,46946,12976,11261,12183,10526,957306,453073,147843,57160,8047,38476,8479,35681,220734,85740,13683,60946,15324,45041,84496,34699,4449,20381,10852,14115,504233,186129,48696,23644,36746,26765,50278,246542,50195,37131,53972,52452,52792,71562,10272,9135,6098,31207,14850,1035322,45259,66109,29789,49415,61587,58307,6383,104353,225440,151129,38738,50943,39940,46759,61171,957306,286762,96089,216619,145079,212757,828870,240718,83533,186820,130836,186963,71255,18713,6600,18970,10530,16442,2168,668,237,642,231,390,37535,20724,3768,6191,1767,5085,525,245,52,135,57,36,4492,1604,442,1170,374,902,12461,4090,1457,2691,1284,2939,814172,235814,82264,183463,129167,183464,20058,6431,1900,4864,2097,4766
40,MO,29,,,,,040C1US29,Missouri -- In metropolitan statistical area -- in principal city,1065342,510551,85544,1262,8772,22077,40514,2991,9170,758,113729,2445,7232,25542,26868,8144,30246,13252,83884,2939,7065,21437,17504,6052,17630,11257,157864,5289,13994,46743,35490,10404,27051,18893,69530,4698,6089,19706,13955,2690,11276,11116,554791,92994,757,6179,19356,48706,4123,12838,1035,112900,2091,6053,19302,26826,8747,32012,17869,81525,2564,6047,16253,18070,7325,18216,13050,167047,5024,12386,44590,41223,13307,29141,21376,100325,7039,10951,35979,21703,4652,10621,9380,886804,425007,4498,1370,2991,6512,6307,9227,11461,7385,113428,27008,66809,27290,86203,34000,11635,8883,461797,5079,1323,2795,7521,5731,10438,12381,6887,116124,31835,75987,34031,89990,46308,8911,6456,886804,9577,120,144,179,341,972,937,1628,4158,2299,11734,12038,19665,23842,14272,191101,38451,58843,142796,61321,176193,80308,20546,15339,624473,304420,25223,73685,87075,118437,320053,26778,75867,94769,122639,202174,90687,17542,33429,27906,11810,111487,18629,33894,40549,18415,3766,2034,525,522,661,326,1732,309,657,444,322,23986,11229,1904,1541,1296,6488,12757,2548,1962,1780,6467,848,493,36,124,126,207,355,136,115,104,0,15462,8484,3354,2347,1437,1346,6978,2663,2065,1235,1015,16095,7660,1167,1780,2606,2107,8435,1092,1564,2972,2807,599211,291286,21966,70283,83646,115391,307925,23927,72957,91428,119613,43475,23036,6958,6177,5398,4503,20439,5713,5500,4937,4289,292386,140721,59175,23723,3434,13012,2646,16360,59154,22125,3786,13971,4019,15253,22392,8924,1183,4780,2896,4609,151665,67004,19805,7931,11785,6611,20872,64660,13949,9235,12524,12526,16426,20001,2795,2347,1757,8481,4621,319349,12565,23033,9744,16444,22565,14602,2463,30408,60599,39159,15657,18840,16694,16413,20163,292386,91321,27916,57829,37179,78141,241076,72782,22995,47198,31678,66423,30225,8572,2772,7038,4351,7492,648,158,60,195,62,173,12955,7028,1329,2083,498,2017,207,142,0,55,0,10,2361,872,196,393,214,686,4914,1767,564,867,376,1340,235004,70905,22441,45897,31033,64728,8792,2651,742,1936,907,2556
40,MO,29,,,,,040C2US29,Missouri -- In metropolitan statistical area -- not in principal city,2397177,1151537,133358,2280,19207,48330,46629,6769,9531,612,194261,3959,13406,53969,48119,17493,40531,16784,192766,4022,11361,51864,44002,16434,41563,23520,421848,7972,26385,132574,96780,30287,79966,47884,209304,11101,15252,68160,43322,9365,33801,28303,1245640,125888,1217,14425,35213,50787,9213,13871,1162,200223,2844,9094,37392,49461,23019,53372,25041,200989,3447,9223,39261,46888,20712,50238,31220,449631,7408,22111,129053,107218,42705,88729,52407,268909,15515,24236,110380,55244,11973,29408,22153,2137931,1018179,6604,1469,3548,15433,11505,18099,21565,15235,306567,73422,158801,73579,195861,78156,23424,14911,1119752,6840,1900,3286,17188,11241,19090,20341,13992,316086,83847,174964,98409,221747,105141,15296,10384,2137931,13444,300,248,261,672,942,946,1780,5054,3590,29031,22746,37189,41906,29227,535913,86740,157269,333765,171988,417608,183297,38720,25295,1853379,889898,75858,270239,263479,280322,963481,74776,280983,300250,307472,192627,84190,10960,27088,31397,14745,108437,11037,26621,44494,26285,8071,4340,509,1354,1762,715,3731,602,890,1434,805,40844,18044,1531,2020,2400,12093,22800,3428,3158,3727,12487,1855,1058,76,319,434,229,797,257,172,279,89,13852,7204,2547,2080,1521,1056,6648,2450,1368,1755,1075,27303,13445,1977,3467,4809,3192,13858,1328,2894,5281,4355,1816160,871196,70715,264864,259125,276492,944964,70322,276835,295131,302676,53919,27412,8124,7863,6396,5029,26507,7263,5761,7246,6237,664920,312352,88668,33437,4613,25464,5833,19321,161580,63615,9897,46975,11305,29788,62104,25775,3266,15601,7956,9506,352568,119125,28891,15713,24961,20154,29406,181882,36246,27896,41448,39926,36366,51561,7477,6788,4341,22726,10229,715973,32694,43076,20045,32971,39022,43705,3920,73945,164841,111970,23081,32103,23246,30346,41008,664920,195441,68173,158790,107900,134616,587794,167936,60538,139622,99158,120540,41030,10141,3828,11932,6179,8950,1520,510,177,447,169,217,24580,13696,2439,4108,1269,3068,318,103,52,80,57,26,2131,732,246,777,160,216,7547,2323,893,1824,908,1599,579168,164909,59823,137566,98134,118736,11266,3780,1158,2928,1190,2210
40,MO,29,,,,,040E0US29,Missouri -- In micropolitan statistical area,557219,278699,49891,945,5602,16754,21893,2135,2389,173,46975,1463,4498,16914,11944,3499,6352,2305,40519,1314,4120,15286,9454,3519,4340,2486,89634,3211,9590,37154,19667,6000,8145,5867,51680,5363,5260,20092,9856,1896,4744,4469,278520,40560,506,3701,11666,18907,2637,2931,212,43021,1239,3452,10292,12156,5202,7861,2819,39784,1094,2779,11752,9911,4597,6270,3381,91438,2582,8064,33822,20479,8303,10587,7601,63717,5759,8064,27785,12339,2423,4191,3156,466768,228808,2406,730,1231,6984,4548,7168,7666,4086,89446,17888,33033,14914,23581,9203,3149,2775,237960,1974,665,1244,6791,4577,7396,7088,3298,83651,20004,34881,20525,28909,13868,1717,1372,466768,4380,48,20,117,201,569,440,686,1789,1811,11964,9125,14564,14754,7384,145947,27150,37892,67914,35439,52490,23071,4866,4147,430780,209586,30761,83098,60130,35597,221194,29811,78283,70279,42821,18682,10306,2268,3588,3297,1153,8376,1445,3211,2706,1014,2549,1246,314,396,407,129,1303,171,383,517,232,3866,1660,93,281,259,1027,2206,365,484,384,973,409,228,37,35,130,26,181,52,12,47,70,3648,2141,629,848,508,156,1507,625,453,334,95,6834,3641,717,1200,1104,620,3193,564,825,1143,661,423660,205947,29582,82105,59192,35068,217713,28690,77553,69249,42221,11938,6196,1975,1897,1592,732,5742,1872,1483,1488,899,84574,38708,12199,4600,905,2233,1064,3397,17296,6458,1246,3645,2238,3709,9213,3445,612,1681,1850,1625,45866,15359,3157,2009,2841,3490,3862,23160,3943,3179,3639,7943,4456,7347,778,713,549,4002,1305,91107,2456,6961,2602,4578,4138,3658,495,9287,15365,21333,2815,4669,2754,2751,7245,84574,22381,8664,14588,20587,18354,78418,20274,7932,13417,19890,16905,2167,635,171,539,259,563,361,151,60,49,62,39,2000,891,227,342,31,509,96,24,51,21,0,0,251,59,42,23,80,47,1281,347,181,197,265,291,77289,19901,7849,13051,19739,16749,1631,476,166,425,276,288
40,MO,29,,,,,040E1US29,Missouri -- In micropolitan statistical area -- in principal city,207257,103990,29058,385,2106,8567,14795,1390,1720,95,19829,582,1607,6403,5277,1423,3096,1441,13957,521,1486,4683,3241,1112,1737,1177,26323,1192,2618,9571,5564,2023,2695,2660,14823,1426,1392,5509,2688,579,1455,1774,103267,22442,146,1366,5382,12517,1055,1859,117,16868,453,1154,3632,5029,1601,3562,1437,13734,442,831,3654,3495,1712,2410,1190,27706,870,2513,9553,6055,2435,3528,2752,22517,2014,2653,9699,4281,1065,1460,1345,155757,74932,912,328,422,2059,1409,2293,2444,957,26166,5828,10942,5137,8983,3773,1536,1743,80825,767,218,547,2247,1569,2267,2174,1141,26538,6582,12278,6813,10960,5224,807,693,155757,1679,0,0,77,85,230,154,364,605,702,3604,2978,4560,4618,2098,43793,8911,12410,23220,11950,19943,8997,2343,2436,136680,64647,8935,22711,18917,14084,72033,9347,23990,22772,15924,11423,6244,1282,2339,1968,655,5179,894,1835,1860,590,611,257,57,92,108,0,354,10,89,176,79,2504,1164,34,182,136,812,1340,194,211,208,727,254,134,0,23,95,16,120,11,0,39,70,1715,1057,272,391,299,95,658,272,215,99,72,2570,1429,244,428,384,373,1141,202,198,519,222,133378,63086,8448,22242,18581,13815,70292,8720,23664,22281,15627,5546,2780,843,825,718,394,2766,963,750,616,437,33719,16035,6161,2516,308,1180,459,1698,6645,2584,481,1201,702,1677,3229,1109,230,575,720,595,17684,6907,1546,659,1379,1181,2142,7972,1608,1083,1132,2503,1646,2805,388,194,165,1531,527,36467,1017,2571,1144,2058,1984,1719,305,3256,5887,7403,1292,2113,1435,1206,3077,33719,9751,2955,5632,7096,8285,30008,8305,2579,5032,6773,7319,1245,439,71,199,163,373,79,45,9,0,25,0,1539,761,160,277,0,341,86,24,51,11,0,0,167,41,42,6,32,46,595,136,43,107,103,206,29442,8123,2568,4797,6742,7212,831,274,68,235,58,196
40,MO,29,,,,,040E2US29,Missouri -- In micropolitan statistical area -- not in principal city,349962,174709,20833,560,3496,8187,7098,745,669,78,27146,881,2891,10511,6667,2076,3256,864,26562,793,2634,10603,6213,2407,2603,1309,63311,2019,6972,27583,14103,3977,5450,3207,36857,3937,3868,14583,7168,1317,3289,2695,175253,18118,360,2335,6284,6390,1582,1072,95,26153,786,2298,6660,7127,3601,4299,1382,26050,652,1948,8098,6416,2885,3860,2191,63732,1712,5551,24269,14424,5868,7059,4849,41200,3745,5411,18086,8058,1358,2731,1811,311011,153876,1494,402,809,4925,3139,4875,5222,3129,63280,12060,22091,9777,14598,5430,1613,1032,157135,1207,447,697,4544,3008,5129,4914,2157,57113,13422,22603,13712,17949,8644,910,679,311011,2701,48,20,40,116,339,286,322,1184,1109,8360,6147,10004,10136,5286,102154,18239,25482,44694,23489,32547,14074,2523,1711,294100,144939,21826,60387,41213,21513,149161,20464,54293,47507,26897,7259,4062,986,1249,1329,498,3197,551,1376,846,424,1938,989,257,304,299,129,949,161,294,341,153,1362,496,59,99,123,215,866,171,273,176,246,155,94,37,12,35,10,61,41,12,8,0,1933,1084,357,457,209,61,849,353,238,235,23,4264,2212,473,772,720,247,2052,362,627,624,439,290282,142861,21134,59863,40611,21253,147421,19970,53889,46968,26594,6392,3416,1132,1072,874,338,2976,909,733,872,462,50855,22673,6038,2084,597,1053,605,1699,10651,3874,765,2444,1536,2032,5984,2336,382,1106,1130,1030,28182,8452,1611,1350,1462,2309,1720,15188,2335,2096,2507,5440,2810,4542,390,519,384,2471,778,54640,1439,4390,1458,2520,2154,1939,190,6031,9478,13930,1523,2556,1319,1545,4168,50855,12630,5709,8956,13491,10069,48410,11969,5353,8385,13117,9586,922,196,100,340,96,190,282,106,51,49,37,39,461,130,67,65,31,168,10,0,0,10,0,0,84,18,0,17,48,1,686,211,138,90,162,85,47847,11778,5281,8254,12997,9537,800,202,98,190,218,92
