SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B15001_001,B15001_002,B15001_003,B15001_004,B15001_005,B15001_006,B15001_007,B15001_008,B15001_009,B15001_010,B15001_011,B15001_012,B15001_013,B15001_014,B15001_015,B15001_016,B15001_017,B15001_018,B15001_019,B15001_020,B15001_021,B15001_022,B15001_023,B15001_024,B15001_025,B15001_026,B15001_027,B15001_028,B15001_029,B15001_030,B15001_031,B15001_032,B15001_033,B15001_034,B15001_035,B15001_036,B15001_037,B15001_038,B15001_039,B15001_040,B15001_041,B15001_042,B15001_043,B15001_044,B15001_045,B15001_046,B15001_047,B15001_048,B15001_049,B15001_050,B15001_051,B15001_052,B15001_053,B15001_054,B15001_055,B15001_056,B15001_057,B15001_058,B15001_059,B15001_060,B15001_061,B15001_062,B15001_063,B15001_064,B15001_065,B15001_066,B15001_067,B15001_068,B15001_069,B15001_070,B15001_071,B15001_072,B15001_073,B15001_074,B15001_075,B15001_076,B15001_077,B15001_078,B15001_079,B15001_080,B15001_081,B15001_082,B15001_083,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_013,B15003_014,B15003_015,B15003_016,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,C15002F_001,C15002F_002,C15002F_003,C15002F_004,C15002F_005,C15002F_006,C15002F_007,C15002F_008,C15002F_009,C15002F_010,C15002F_011,C15002G_001,C15002G_002,C15002G_003,C15002G_004,C15002G_005,C15002G_006,C15002G_007,C15002G_008,C15002G_009,C15002G_010,C15002G_011,C15002H_001,C15002H_002,C15002H_003,C15002H_004,C15002H_005,C15002H_006,C15002H_007,C15002H_008,C15002H_009,C15002H_010,C15002H_011,C15002I_001,C15002I_002,C15002I_003,C15002I_004,C15002I_005,C15002I_006,C15002I_007,C15002I_008,C15002I_009,C15002I_010,C15002I_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010,B15012_011,B15012_012,B15012_013,B15012_014,B15012_015,B15012_016,C15010_001,C15010_002,C15010_003,C15010_004,C15010_005,C15010_006,C15010A_001,C15010A_002,C15010A_003,C15010A_004,C15010A_005,C15010A_006,C15010B_001,C15010B_002,C15010B_003,C15010B_004,C15010B_005,C15010B_006,C15010C_001,C15010C_002,C15010C_003,C15010C_004,C15010C_005,C15010C_006,C15010D_001,C15010D_002,C15010D_003,C15010D_004,C15010D_005,C15010D_006,C15010E_001,C15010E_002,C15010E_003,C15010E_004,C15010E_005,C15010E_006,C15010F_001,C15010F_002,C15010F_003,C15010F_004,C15010F_005,C15010F_006,C15010G_001,C15010G_002,C15010G_003,C15010G_004,C15010G_005,C15010G_006,C15010H_001,C15010H_002,C15010H_003,C15010H_004,C15010H_005,C15010H_006,C15010I_001,C15010I_002,C15010I_003,C15010I_004,C15010I_005,C15010I_006
40,MS,28,,,,,04000US28,Mississippi,2256957,1077884,155765,3984,27087,49167,59368,9122,6532,505,192333,7864,24973,59298,48505,16672,25630,9391,180826,7031,21745,60281,42130,15700,21557,12382,365249,23041,44878,124461,79374,26869,42075,24551,183711,23474,22425,52889,34902,7579,22961,19481,1179073,151509,1633,17641,39488,70132,12038,9505,1072,197263,4518,16081,44415,52702,25743,36393,17411,190564,4922,14089,46061,47696,24925,32752,20119,396816,15969,39055,122072,92094,41085,53363,33178,242921,26468,35733,83945,46412,11716,20884,17763,1949683,922119,14147,6859,12298,28106,22864,33610,36803,20744,296929,51389,153522,66820,112223,40662,14467,10676,1027564,12841,4924,8909,25203,20597,30355,36004,18002,296493,60362,178542,103469,143392,69836,10988,7647,1949683,26988,256,369,760,1888,4190,4320,6141,15066,16036,37273,43461,63965,72807,38746,472088,121334,111751,332064,170289,255615,110498,25455,18323,1221316,591166,88202,178712,182711,141541,630150,74953,186362,211347,157488,672419,302351,78982,111267,81637,30465,370068,75657,103699,123224,67488,7475,3712,1067,1185,1130,330,3763,1086,843,1464,370,18969,8279,1416,1647,1691,3525,10690,1738,2478,2566,3908,380,79,10,21,48,0,301,12,152,45,92,15880,10255,4750,2733,2051,721,5625,2334,1506,997,788,13244,6277,1004,1364,2463,1446,6967,1055,1453,2730,1729,1194039,575737,82575,174030,179621,139511,618302,71686,183346,207871,155399,46286,27357,11037,8014,5444,2862,18929,5827,4696,5276,3130,409891,178028,51117,18371,4028,12642,4327,11749,84469,27995,7463,24595,8814,15602,42442,14797,2904,10686,7899,6156,231863,79838,18422,13800,13979,16474,17163,113378,18980,17759,22436,33103,21100,38647,4527,4061,3344,19651,7064,432447,13708,29339,13405,16004,17740,18694,2091,53684,89820,92479,13117,20049,10454,10932,30931,409891,103092,50015,87682,90268,78834,299029,74527,37495,65193,64843,56971,97953,23228,10704,20057,24081,19883,700,256,61,118,134,131,7433,3531,1226,1268,388,1020,92,21,0,8,8,55,1509,471,185,342,300,211,3175,1058,344,696,514,563,294910,73071,36890,64488,64214,56247,5992,2072,751,1238,913,1018
40,MS,28,,,,,04001US28,Mississippi -- Urban,1110728,514976,86151,1768,13437,24387,36736,5001,4511,311,102918,4115,11353,28178,27063,8593,17250,6366,87026,3230,8763,26282,21212,7241,12307,7991,160716,8663,16742,48886,36789,11867,22726,15043,78165,8310,7743,19156,15566,3676,12357,11357,595752,89183,1033,9131,21000,45129,6049,6065,776,109609,2296,8327,23402,29080,13098,22119,11287,96421,2275,6782,21077,24239,11666,18055,12327,185626,7073,16648,50316,44414,18072,30268,18835,114913,11832,15331,36088,23521,5802,11826,10513,935394,428825,6311,2635,4830,10542,8366,12472,14703,9060,122502,23461,77169,31377,64640,24197,9775,6785,506569,6503,2256,4224,10493,9005,13081,16716,8286,130883,28515,92739,48638,82268,40644,7297,5021,935394,12814,103,194,205,910,1912,1567,2756,6298,6759,14276,17371,25553,31419,17346,202671,50714,51976,169908,80015,146908,64841,17072,11806,507707,241063,25067,58496,76851,80649,266644,24827,67778,87411,86628,392679,170403,39590,60252,50325,20236,222276,41909,58971,77863,43533,2260,1258,322,340,368,228,1002,261,254,281,206,15009,6539,1001,1364,1453,2721,8470,1372,2123,1969,3006,207,19,10,9,0,0,188,6,66,45,71,9390,5633,2331,1278,1484,540,3757,1596,865,704,592,8142,3910,598,763,1526,1023,4232,593,826,1619,1194,489726,231022,21694,55603,74723,79002,258704,22816,65649,85081,85158,29182,16585,6002,4435,3881,2267,12597,3704,3076,3630,2187,240627,105397,33413,11965,2584,8627,2507,7730,48270,16052,4373,14471,4264,9110,23714,8168,1627,6253,3882,3784,135230,48601,12008,7998,8580,8607,11408,64290,11836,9592,13295,16597,12970,22339,2915,2107,2078,10642,4597,254339,8305,16385,8626,10400,12097,11193,1155,30412,54461,47820,8867,12110,7162,6993,18353,240627,62944,28281,53304,46499,49599,167277,43108,20041,38114,31346,34668,63769,15858,6880,13429,14227,13375,434,178,30,76,68,82,5727,2790,1009,888,255,785,71,0,0,8,8,55,1132,361,150,248,193,180,2217,649,171,541,402,454,164160,41962,19630,37685,30858,34025,4454,1626,506,804,652,866
40,MS,28,,,,,04043US28,Mississippi -- Rural,1146229,562908,69614,2216,13650,24780,22632,4121,2021,194,89415,3749,13620,31120,21442,8079,8380,3025,93800,3801,12982,33999,20918,8459,9250,4391,204533,14378,28136,75575,42585,15002,19349,9508,105546,15164,14682,33733,19336,3903,10604,8124,583321,62326,600,8510,18488,25003,5989,3440,296,87654,2222,7754,21013,23622,12645,14274,6124,94143,2647,7307,24984,23457,13259,14697,7792,211190,8896,22407,71756,47680,23013,23095,14343,128008,14636,20402,47857,22891,5914,9058,7250,1014289,493294,7836,4224,7468,17564,14498,21138,22100,11684,174427,27928,76353,35443,47583,16465,4692,3891,520995,6338,2668,4685,14710,11592,17274,19288,9716,165610,31847,85803,54831,61124,29192,3691,2626,1014289,14174,153,175,555,978,2278,2753,3385,8768,9277,22997,26090,38412,41388,21400,269417,70620,59775,162156,90274,108707,45657,8383,6517,713609,350103,63135,120216,105860,60892,363506,50126,118584,123936,70860,279740,131948,39392,51015,31312,10229,147792,33748,44728,45361,23955,5215,2454,745,845,762,102,2761,825,589,1183,164,3960,1740,415,283,238,804,2220,366,355,597,902,173,60,0,12,48,0,113,6,86,0,21,6490,4622,2419,1455,567,181,1868,738,641,293,196,5102,2367,406,601,937,423,2735,462,627,1111,535,704313,344715,60881,118427,104898,60509,359598,48870,117697,122790,70241,17104,10772,5035,3579,1563,595,6332,2123,1620,1646,943,169264,72631,17704,6406,1444,4015,1820,4019,36199,11943,3090,10124,4550,6492,18728,6629,1277,4433,4017,2372,96633,31237,6414,5802,5399,7867,5755,49088,7144,8167,9141,16506,8130,16308,1612,1954,1266,9009,2467,178108,5403,12954,4779,5604,5643,7501,936,23272,35359,44659,4250,7939,3292,3939,12578,169264,40148,21734,34378,43769,29235,131752,31419,17454,27079,33497,22303,34184,7370,3824,6628,9854,6508,266,78,31,42,66,49,1706,741,217,380,133,235,21,21,0,0,0,0,377,110,35,94,107,31,958,409,173,155,112,109,130750,31109,17260,26803,33356,22222,1538,446,245,434,261,152
40,MS,28,,,,,040A0US28,Mississippi -- In metropolitan or micropolitan statistical area,1770331,842002,124620,3044,20464,37325,50043,7496,5786,462,152990,5669,17790,44709,40127,13478,22823,8394,141725,5206,15353,44524,34768,12279,18458,11137,283431,16209,31174,92090,63760,22636,35967,21595,139236,16364,15068,38274,27993,6035,19068,16434,928329,123794,1198,13217,30565,59679,9946,8255,934,159459,3409,12160,33984,42597,20574,31099,15636,150467,3230,10082,34193,38113,19287,28004,17558,310410,11233,28279,90533,74550,32070,45435,28310,184199,18172,25055,63011,36765,9202,16988,15006,1521917,717382,10351,4883,8941,19273,15366,23080,25800,15139,219597,41261,125387,54428,96316,34945,12995,9620,804535,9255,3568,6133,17088,14532,21701,26047,13296,221721,47319,144706,81133,121526,59581,9998,6931,1521917,19606,214,292,584,1352,2951,3058,4478,10596,10989,25372,29898,44781,51847,28435,351082,90236,88580,270093,135561,217842,94526,22993,16551,946842,458313,60097,129997,146340,121879,488529,50891,138142,166044,133452,530248,237040,57052,84817,68617,26554,293208,55650,78318,101179,58061,3207,1580,441,361,496,282,1627,411,427,500,289,17496,7583,1271,1415,1600,3297,9913,1642,2290,2247,3734,290,41,10,21,10,0,249,6,126,33,84,12388,7417,3194,1864,1782,577,4971,2122,1187,895,767,11446,5408,768,1122,2231,1287,6038,898,1231,2260,1649,924393,445483,55841,126212,143478,119952,478910,48598,135772,163025,131515,37081,21356,7798,6066,4900,2592,15725,4539,3683,4555,2948,351912,153876,45346,16508,3586,11402,3438,10412,73028,24507,6434,21293,7022,13772,35502,12478,2495,9241,5907,5381,198036,69095,16531,11659,12061,13417,15427,96947,17088,15405,19573,26049,18832,31994,3953,3445,2952,15484,6160,371362,12438,24851,11992,14275,16016,16595,1902,46397,78223,73038,11768,17303,9568,10070,26926,351912,91065,43024,76522,71317,69984,255331,65332,31886,56965,50474,50674,84615,20738,9442,17339,19662,17434,571,209,50,87,104,121,7031,3410,1133,1194,330,964,84,21,0,0,8,55,1344,415,185,293,240,211,2936,940,328,644,499,525,251467,63944,31296,56309,49944,49974,5540,1925,736,1140,763,976
40,MS,28,,,,,040C0US28,Mississippi -- In metropolitan statistical area,1027517,488749,67746,1452,11967,20820,26037,3876,3357,237,91592,2830,9838,26081,24692,7541,15483,5127,86026,2836,8249,25528,21977,7519,12069,7848,165799,7841,15583,52281,39161,13455,23661,13817,77586,7466,7506,21076,16242,3681,11459,10156,538768,67777,634,7539,17213,31876,4794,5225,496,96977,1909,6702,19814,25477,12475,20184,10416,91185,1486,5633,19502,23475,11415,17984,11690,181452,5416,13922,51282,45745,18693,28954,17440,101377,8428,13141,35012,20662,5341,9741,9052,891994,421003,5361,2203,4261,9148,7290,11669,13310,8907,124966,24584,77488,32196,62672,22838,8739,5371,470991,4661,1546,3322,7710,7606,11140,13728,6924,125610,28367,86992,47924,76863,37333,6750,4515,891994,10022,101,99,351,722,1234,1242,2096,5487,5115,11743,14896,22809,27038,15831,199023,51553,52951,164480,80120,139535,60171,15489,9886,570011,275915,32047,75986,89562,78320,294096,27028,81187,100442,85439,290902,130099,26500,45671,40258,17670,160803,26004,40765,58559,35475,2046,1143,239,287,393,224,903,256,256,235,156,12681,5389,1028,1073,1219,2069,7292,1329,1739,1682,2542,212,31,10,21,0,0,181,6,83,29,63,8398,4867,1893,1038,1404,532,3531,1401,769,715,646,7744,3559,432,890,1432,805,4185,613,811,1621,1140,554763,267323,29395,73795,87297,76836,287440,25670,79439,98331,84000,25053,14191,4766,3510,3899,2016,10862,2795,2626,3378,2063,225081,99620,29922,11177,2562,7275,2070,6838,48083,15474,4451,14722,4147,9289,21615,7468,1654,5908,3080,3505,125461,44724,10852,8111,8273,7443,10045,61944,11286,10290,13648,15074,11646,18793,2566,1953,1858,8815,3601,237988,8487,15483,7807,9702,10726,10149,1155,31367,52815,41527,8122,10934,6270,6645,16799,225081,58823,29021,51684,40629,44924,163759,41615,21583,38049,29485,33027,53145,14052,6177,12040,10306,10570,380,134,44,70,59,73,4611,2023,881,822,208,677,63,0,0,0,8,55,1178,384,157,244,192,201,1945,615,179,459,371,321,160836,40649,21086,37617,29104,32380,4079,1364,582,775,506,852
40,MS,28,,,,,040C1US28,Mississippi -- In metropolitan statistical area -- in principal city,270866,126447,23171,530,3676,6558,9745,1396,1119,147,26695,999,2981,6971,7096,2344,4711,1593,20019,616,1932,6934,5241,1422,2235,1639,38700,1833,4192,12144,8933,3199,4783,3616,17862,1952,1870,3910,3389,961,2622,3158,144419,24395,225,2749,5136,13190,1129,1671,295,29121,812,1855,6265,8633,2967,5587,3002,21954,426,1980,4858,6149,2667,3646,2228,44111,1546,4223,11509,10890,4168,7120,4655,24838,2315,3654,7240,4813,1084,2808,2924,223300,103276,1397,649,975,2379,2029,3024,3668,2254,29959,4939,19720,7926,14351,5505,2890,1611,120024,1401,477,1038,2183,2350,3190,4253,1919,29872,6803,23682,10886,19161,9673,1767,1369,223300,2798,52,49,57,113,467,388,531,1482,1339,3223,4379,6214,7921,4173,47182,12649,11742,43402,18812,33512,15178,4657,2980,94002,46207,5141,10926,14353,15787,47795,4390,11869,14369,17167,120822,53150,10214,18177,17101,7658,67672,11131,17002,25776,13763,696,414,41,192,144,37,282,112,53,57,60,3248,1327,283,251,265,528,1921,463,502,515,441,86,2,0,2,0,0,84,0,0,29,55,2227,1200,575,167,317,141,1027,531,175,241,80,2219,976,121,244,405,206,1243,184,271,384,404,89005,43270,4150,10310,13578,15232,45735,3979,11203,13711,16842,7615,4275,1544,900,1136,695,3340,817,914,1093,516,56327,24357,8479,3413,591,1786,498,2191,10098,3352,784,2774,754,2434,5780,1978,403,1281,959,1159,31970,11378,3260,1343,1754,1855,3166,14860,3172,2067,3050,3172,3399,5732,740,531,551,2716,1194,59894,2262,3820,2207,2904,3855,1920,316,6473,11426,10172,3028,3031,2100,1829,4551,56327,15915,5719,11196,9954,13543,32954,9122,3523,6799,5305,8205,21421,5971,1929,4172,4441,4908,97,0,0,36,31,30,969,535,161,92,21,160,55,0,0,0,0,55,221,75,22,41,61,22,610,212,84,56,95,163,32074,8811,3408,6729,5185,7941,1211,432,137,134,167,341
40,MS,28,,,,,040C2US28,Mississippi -- In metropolitan statistical area -- not in principal city,756651,362302,44575,922,8291,14262,16292,2480,2238,90,64897,1831,6857,19110,17596,5197,10772,3534,66007,2220,6317,18594,16736,6097,9834,6209,127099,6008,11391,40137,30228,10256,18878,10201,59724,5514,5636,17166,12853,2720,8837,6998,394349,43382,409,4790,12077,18686,3665,3554,201,67856,1097,4847,13549,16844,9508,14597,7414,69231,1060,3653,14644,17326,8748,14338,9462,137341,3870,9699,39773,34855,14525,21834,12785,76539,6113,9487,27772,15849,4257,6933,6128,668694,317727,3964,1554,3286,6769,5261,8645,9642,6653,95007,19645,57768,24270,48321,17333,5849,3760,350967,3260,1069,2284,5527,5256,7950,9475,5005,95738,21564,63310,37038,57702,27660,4983,3146,668694,7224,49,50,294,609,767,854,1565,4005,3776,8520,10517,16595,19117,11658,151841,38904,41209,121078,61308,106023,44993,10832,6906,476009,229708,26906,65060,75209,62533,246301,22638,69318,86073,68272,170080,76949,16286,27494,23157,10012,93131,14873,23763,32783,21712,1350,729,198,95,249,187,621,144,203,178,96,9433,4062,745,822,954,1541,5371,866,1237,1167,2101,126,29,10,19,0,0,97,6,83,0,8,6171,3667,1318,871,1087,391,2504,870,594,474,566,5525,2583,311,646,1027,599,2942,429,540,1237,736,465758,224053,25245,63485,73719,61604,241705,21691,68236,84620,67158,17438,9916,3222,2610,2763,1321,7522,1978,1712,2285,1547,168754,75263,21443,7764,1971,5489,1572,4647,37985,12122,3667,11948,3393,6855,15835,5490,1251,4627,2121,2346,93491,33346,7592,6768,6519,5588,6879,47084,8114,8223,10598,11902,8247,13061,1826,1422,1307,6099,2407,178094,6225,11663,5600,6798,6871,8229,839,24894,41389,31355,5094,7903,4170,4816,12248,168754,42908,23302,40488,30675,31381,130805,32493,18060,31250,24180,24822,31724,8081,4248,7868,5865,5662,283,134,44,34,28,43,3642,1488,720,730,187,517,8,0,0,0,8,0,957,309,135,203,131,179,1335,403,95,403,276,158,128762,31838,17678,30888,23919,24439,2868,932,445,641,339,511
40,MS,28,,,,,040E0US28,Mississippi -- In micropolitan statistical area,742814,353253,56874,1592,8497,16505,24006,3620,2429,225,61398,2839,7952,18628,15435,5937,7340,3267,55699,2370,7104,18996,12791,4760,6389,3289,117632,8368,15591,39809,24599,9181,12306,7778,61650,8898,7562,17198,11751,2354,7609,6278,389561,56017,564,5678,13352,27803,5152,3030,438,62482,1500,5458,14170,17120,8099,10915,5220,59282,1744,4449,14691,14638,7872,10020,5868,128958,5817,14357,39251,28805,13377,16481,10870,82822,9744,11914,27999,16103,3861,7247,5954,629923,296379,4990,2680,4680,10125,8076,11411,12490,6232,94631,16677,47899,22232,33644,12107,4256,4249,333544,4594,2022,2811,9378,6926,10561,12319,6372,96111,18952,57714,33209,44663,22248,3248,2416,629923,9584,113,193,233,630,1717,1816,2382,5109,5874,13629,15002,21972,24809,12604,152059,38683,35629,105613,55441,78307,34355,7504,6665,376831,182398,28050,54011,56778,43559,194433,23863,56955,65602,48013,239346,106941,30552,39146,28359,8884,132405,29646,37553,42620,22586,1161,437,202,74,103,58,724,155,171,265,133,4815,2194,243,342,381,1228,2621,313,551,565,1192,78,10,0,0,10,0,68,0,43,4,21,3990,2550,1301,826,378,45,1440,721,418,180,121,3702,1849,336,232,799,482,1853,285,420,639,509,369630,178160,26446,52417,56181,43116,191470,22928,56333,64694,47515,12028,7165,3032,2556,1001,576,4863,1744,1057,1177,885,126831,54256,15424,5331,1024,4127,1368,3574,24945,9033,1983,6571,2875,4483,13887,5010,841,3333,2827,1876,72575,24371,5679,3548,3788,5974,5382,35003,5802,5115,5925,10975,7186,13201,1387,1492,1094,6669,2559,133374,3951,9368,4185,4573,5290,6446,747,15030,25408,31511,3646,6369,3298,3425,10127,126831,32242,14003,24838,30688,25060,91572,23717,10303,18916,20989,17647,31470,6686,3265,5299,9356,6864,191,75,6,17,45,48,2420,1387,252,372,122,287,21,21,0,0,0,0,166,31,28,49,48,10,991,325,149,185,128,204,90631,23295,10210,18692,20840,17594,1461,561,154,365,257,124
40,MS,28,,,,,040E1US28,Mississippi -- In micropolitan statistical area -- in principal city,277616,126736,22217,549,3557,6026,9017,1611,1382,75,24772,1065,2895,6845,6462,2207,3559,1739,18909,754,2154,5820,4760,1334,2576,1511,39131,2680,4805,12388,7520,2780,5046,3912,21707,2886,2332,4930,3876,858,3517,3308,150880,23272,273,2230,5088,11795,2037,1540,309,26236,453,2347,5923,6995,2929,4946,2643,22247,449,1661,5509,5506,2693,3740,2689,47366,1766,5350,13081,10787,4557,7329,4496,31759,4025,4113,9324,6406,1519,3600,2772,232127,104519,1920,766,1493,3206,2309,3718,4094,2065,29983,5288,17330,7179,14698,5391,2629,2450,127608,1950,734,1028,2981,2549,3753,4525,2644,33837,6874,22820,11698,19615,9530,1702,1368,232127,3870,9,92,47,119,674,559,761,1760,1813,4374,4858,7471,8619,4709,51419,12401,12162,40150,18877,34313,14921,4331,3818,106247,50345,4718,10832,15295,19500,55902,4781,13554,17950,19617,119700,51049,14154,18561,13792,4542,68651,14785,19420,22795,11651,311,140,69,17,36,18,171,65,22,40,44,3000,1416,169,201,206,840,1584,210,394,338,642,8,0,0,0,0,0,8,0,8,0,0,1269,759,356,288,106,9,510,202,216,71,21,1592,810,105,84,362,259,782,121,223,198,240,104172,49176,4266,10421,15107,19382,54996,4536,13326,17667,19467,3651,2051,834,679,330,208,1600,515,414,396,275,57383,25168,7360,2264,339,2455,611,1691,10983,4063,779,2970,1129,2042,6825,2433,417,1687,1313,975,32215,11061,2938,1410,1664,2051,2998,14782,2857,1859,2514,4204,3348,6372,849,567,668,3001,1287,60759,1424,4489,2493,2262,2742,2899,399,5939,12167,12848,1960,3073,1861,1797,4406,57383,15404,5371,11958,12309,12341,39117,10653,3628,8903,7682,8251,16193,3576,1572,2728,4537,3780,62,29,6,0,9,18,1482,986,129,189,39,139,0,0,0,0,0,0,30,0,11,10,0,9,499,160,25,128,42,144,38849,10494,3626,8831,7651,8247,483,267,13,110,41,52
40,MS,28,,,,,040E2US28,Mississippi -- In micropolitan statistical area -- not in principal city,465198,226517,34657,1043,4940,10479,14989,2009,1047,150,36626,1774,5057,11783,8973,3730,3781,1528,36790,1616,4950,13176,8031,3426,3813,1778,78501,5688,10786,27421,17079,6401,7260,3866,39943,6012,5230,12268,7875,1496,4092,2970,238681,32745,291,3448,8264,16008,3115,1490,129,36246,1047,3111,8247,10125,5170,5969,2577,37035,1295,2788,9182,9132,5179,6280,3179,81592,4051,9007,26170,18018,8820,9152,6374,51063,5719,7801,18675,9697,2342,3647,3182,397796,191860,3070,1914,3187,6919,5767,7693,8396,4167,64648,11389,30569,15053,18946,6716,1627,1799,205936,2644,1288,1783,6397,4377,6808,7794,3728,62274,12078,34894,21511,25048,12718,1546,1048,397796,5714,104,101,186,511,1043,1257,1621,3349,4061,9255,10144,14501,16190,7895,100640,26282,23467,65463,36564,43994,19434,3173,2847,270584,132053,23332,43179,41483,24059,138531,19082,43401,47652,28396,119646,55892,16398,20585,14567,4342,63754,14861,18133,19825,10935,850,297,133,57,67,40,553,90,149,225,89,1815,778,74,141,175,388,1037,103,157,227,550,70,10,0,0,10,0,60,0,35,4,21,2721,1791,945,538,272,36,930,519,202,109,100,2110,1039,231,148,437,223,1071,164,197,441,269,265458,128984,22180,41996,41074,23734,136474,18392,43007,47027,28048,8377,5114,2198,1877,671,368,3263,1229,643,781,610,69448,29088,8064,3067,685,1672,757,1883,13962,4970,1204,3601,1746,2441,7062,2577,424,1646,1514,901,40360,13310,2741,2138,2124,3923,2384,20221,2945,3256,3411,6771,3838,6829,538,925,426,3668,1272,72615,2527,4879,1692,2311,2548,3547,348,9091,13241,18663,1686,3296,1437,1628,5721,69448,16838,8632,12880,18379,12719,52455,13064,6675,10013,13307,9396,15277,3110,1693,2571,4819,3084,129,46,0,17,36,30,938,401,123,183,83,148,21,21,0,0,0,0,136,31,17,39,48,1,492,165,124,57,86,60,51782,12801,6584,9861,13189,9347,978,294,141,255,216,72
