SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B15001_001,B15001_002,B15001_003,B15001_004,B15001_005,B15001_006,B15001_007,B15001_008,B15001_009,B15001_010,B15001_011,B15001_012,B15001_013,B15001_014,B15001_015,B15001_016,B15001_017,B15001_018,B15001_019,B15001_020,B15001_021,B15001_022,B15001_023,B15001_024,B15001_025,B15001_026,B15001_027,B15001_028,B15001_029,B15001_030,B15001_031,B15001_032,B15001_033,B15001_034,B15001_035,B15001_036,B15001_037,B15001_038,B15001_039,B15001_040,B15001_041,B15001_042,B15001_043,B15001_044,B15001_045,B15001_046,B15001_047,B15001_048,B15001_049,B15001_050,B15001_051,B15001_052,B15001_053,B15001_054,B15001_055,B15001_056,B15001_057,B15001_058,B15001_059,B15001_060,B15001_061,B15001_062,B15001_063,B15001_064,B15001_065,B15001_066,B15001_067,B15001_068,B15001_069,B15001_070,B15001_071,B15001_072,B15001_073,B15001_074,B15001_075,B15001_076,B15001_077,B15001_078,B15001_079,B15001_080,B15001_081,B15001_082,B15001_083,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_013,B15003_014,B15003_015,B15003_016,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,C15002F_001,C15002F_002,C15002F_003,C15002F_004,C15002F_005,C15002F_006,C15002F_007,C15002F_008,C15002F_009,C15002F_010,C15002F_011,C15002G_001,C15002G_002,C15002G_003,C15002G_004,C15002G_005,C15002G_006,C15002G_007,C15002G_008,C15002G_009,C15002G_010,C15002G_011,C15002H_001,C15002H_002,C15002H_003,C15002H_004,C15002H_005,C15002H_006,C15002H_007,C15002H_008,C15002H_009,C15002H_010,C15002H_011,C15002I_001,C15002I_002,C15002I_003,C15002I_004,C15002I_005,C15002I_006,C15002I_007,C15002I_008,C15002I_009,C15002I_010,C15002I_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010,B15012_011,B15012_012,B15012_013,B15012_014,B15012_015,B15012_016,C15010_001,C15010_002,C15010_003,C15010_004,C15010_005,C15010_006,C15010A_001,C15010A_002,C15010A_003,C15010A_004,C15010A_005,C15010A_006,C15010B_001,C15010B_002,C15010B_003,C15010B_004,C15010B_005,C15010B_006,C15010C_001,C15010C_002,C15010C_003,C15010C_004,C15010C_005,C15010C_006,C15010D_001,C15010D_002,C15010D_003,C15010D_004,C15010D_005,C15010D_006,C15010E_001,C15010E_002,C15010E_003,C15010E_004,C15010E_005,C15010E_006,C15010F_001,C15010F_002,C15010F_003,C15010F_004,C15010F_005,C15010F_006,C15010G_001,C15010G_002,C15010G_003,C15010G_004,C15010G_005,C15010G_006,C15010H_001,C15010H_002,C15010H_003,C15010H_004,C15010H_005,C15010H_006,C15010I_001,C15010I_002,C15010I_003,C15010I_004,C15010I_005,C15010I_006
40,MT,30,,,,,04000US30,Montana,798371,398591,52115,904,7381,18904,20296,2197,2300,133,66134,1202,4127,19851,17379,5972,14241,3362,59285,780,2779,17540,14846,5951,11873,5516,140020,2143,6683,45993,34475,11679,25564,13483,81037,3799,4869,24359,17475,3622,15490,11423,399780,47822,592,5581,14126,21300,2034,3925,264,62405,619,3017,14109,15699,6134,16668,6159,57131,535,2194,12387,12784,6590,15356,7285,142591,1850,5884,40188,37280,15145,28455,13789,89831,3387,5759,33502,21444,5331,13298,7110,698434,346476,1647,367,685,5225,3220,4847,6069,4322,107743,22772,61403,27224,67168,21021,7455,5308,351958,1272,393,393,4333,2765,4654,5862,3573,100186,24469,62738,33200,73777,26133,5210,3000,698434,2919,15,100,153,89,272,131,222,856,1067,8491,5985,9501,11931,7895,175084,32845,47241,124141,60424,140945,47154,12665,8308,640403,318492,22255,97768,101909,96560,321911,19063,91523,109225,102100,2495,1738,238,574,509,417,757,106,153,245,253,35899,17297,2918,6823,5849,1707,18602,3013,5347,7502,2740,4656,1677,125,276,414,862,2979,264,810,618,1287,592,360,49,120,170,21,232,17,134,37,44,2851,1488,331,487,480,190,1363,239,521,416,187,11538,5424,466,1695,2068,1195,6114,543,1698,2364,1509,628818,312651,21247,95732,99996,95676,316167,18338,89630,107293,100906,16846,8498,1543,2916,2729,1310,8348,1111,2743,2831,1663,209072,100952,26487,12696,1729,5023,1848,5191,47552,21502,3670,9241,4953,8186,26913,11854,1667,4466,4733,4193,108120,34530,10360,4925,4480,6196,8569,53182,13535,8148,8079,12421,10999,20408,3229,2974,1433,8360,4412,228238,6372,25804,8857,8891,17054,12182,1191,25487,34143,40445,8998,11928,8369,6135,12382,209072,73176,23113,32722,38511,41550,198660,69652,22089,30655,36839,39425,670,219,47,200,29,175,4447,1319,472,998,908,750,2149,979,215,427,249,279,65,4,15,5,27,14,377,138,65,36,27,111,2704,865,210,401,432,796,196582,68921,21823,30379,36428,39031,2973,1008,345,428,495,697
40,MT,30,,,,,04001US30,Montana -- Urban,449834,220807,35593,364,3823,12346,15753,1422,1790,95,43844,676,2414,12175,12146,3501,10417,2515,35048,400,1671,9547,8927,3541,7327,3635,68454,905,3209,20948,16736,5694,13196,7766,37868,1572,2083,11124,7820,1678,7643,5948,229027,33490,217,2960,9575,16228,1293,3045,172,40832,294,2040,8365,10315,3652,11400,4766,33340,282,1475,6345,7340,3929,9290,4679,73060,889,3111,20033,18809,7587,14635,7996,48305,1827,3192,18373,11235,2730,6954,3994,380751,185214,899,187,330,2137,1522,2436,3130,2289,53794,12223,33406,14414,38583,12518,4326,3020,195537,839,150,246,2057,1570,2543,3538,2167,53116,13839,33860,17898,42279,16440,3249,1746,380751,1738,0,60,53,29,112,83,68,508,647,3547,3092,4979,6668,4456,88491,18419,26062,67266,32312,80862,28958,7575,4766,349784,170539,10661,48572,55323,55983,179245,10623,48620,59852,60150,2009,1379,153,447,440,339,630,84,118,224,204,16658,7757,1462,3301,2380,614,8901,1706,2610,3384,1201,3470,1427,125,202,374,726,2043,157,477,436,973,253,140,49,46,32,13,113,17,57,15,24,1731,995,244,264,325,162,736,150,234,243,109,6846,2977,236,962,1169,610,3869,373,1000,1443,1053,341828,166336,9976,47214,53816,55330,175492,10180,47327,58537,59448,11421,5945,1074,1876,1989,1006,5476,693,1773,1981,1029,122161,58447,18698,8853,1097,3517,1276,3955,26158,11211,2200,5106,2625,5016,13591,5589,833,2302,2529,2338,63714,23809,7407,3395,2980,3852,6175,28957,7179,4307,4587,6245,6639,10948,1798,1547,736,4462,2405,133792,3786,13239,4858,5454,11426,6842,886,14798,19923,22117,5658,7609,5709,3787,7700,122161,42037,13379,19228,20989,26528,116133,39903,12820,18060,20195,25155,543,185,39,155,23,141,1815,509,190,459,326,331,1699,793,146,326,179,255,37,0,13,0,24,0,271,104,40,22,10,95,1663,543,131,206,232,551,114778,39384,12704,17883,19920,24887,2035,743,170,266,318,538
40,MT,30,,,,,04043US30,Montana -- Rural,348537,177784,16522,540,3558,6558,4543,775,510,38,22290,526,1713,7676,5233,2471,3824,847,24237,380,1108,7993,5919,2410,4546,1881,71566,1238,3474,25045,17739,5985,12368,5717,43169,2227,2786,13235,9655,1944,7847,5475,170753,14332,375,2621,4551,5072,741,880,92,21573,325,977,5744,5384,2482,5268,1393,23791,253,719,6042,5444,2661,6066,2606,69531,961,2773,20155,18471,7558,13820,5793,41526,1560,2567,15129,10209,2601,6344,3116,317683,161262,748,180,355,3088,1698,2411,2939,2033,53949,10549,27997,12810,28585,8503,3129,2288,156421,433,243,147,2276,1195,2111,2324,1406,47070,10630,28878,15302,31498,9693,1961,1254,317683,1181,15,40,100,60,160,48,154,348,420,4944,2893,4522,5263,3439,86593,14426,21179,56875,28112,60083,18196,5090,3542,290619,147953,11594,49196,46586,40577,142666,8440,42903,49373,41950,486,359,85,127,69,78,127,22,35,21,49,19241,9540,1456,3522,3469,1093,9701,1307,2737,4118,1539,1186,250,0,74,40,136,936,107,333,182,314,339,220,0,74,138,8,119,0,77,22,20,1120,493,87,223,155,28,627,89,287,173,78,4692,2447,230,733,899,585,2245,170,698,921,456,286990,146315,11271,48518,46180,40346,140675,8158,42303,48756,41458,5425,2553,469,1040,740,304,2872,418,970,850,634,86911,42505,7789,3843,632,1506,572,1236,21394,10291,1470,4135,2328,3170,13322,6265,834,2164,2204,1855,44406,10721,2953,1530,1500,2344,2394,24225,6356,3841,3492,6176,4360,9460,1431,1427,697,3898,2007,94446,2586,12565,3999,3437,5628,5340,305,10689,14220,18328,3340,4319,2660,2348,4682,86911,31139,9734,13494,17522,15022,82527,29749,9269,12595,16644,14270,127,34,8,45,6,34,2632,810,282,539,582,419,450,186,69,101,70,24,28,4,2,5,3,14,106,34,25,14,17,16,1041,322,79,195,200,245,81804,29537,9119,12496,16508,14144,938,265,175,162,177,159
40,MT,30,,,,,040A0US30,Montana -- In metropolitan or micropolitan statistical area,522254,259614,37152,447,4193,12893,16108,1511,1890,110,46884,694,2330,12484,12892,4128,11497,2859,40246,338,1703,10783,10371,3766,8878,4407,87969,988,3639,26809,21100,7005,18052,10376,47363,1812,2286,13179,9881,1895,10143,8167,262640,34873,264,3353,9839,16736,1401,3137,143,44279,240,1682,8941,11197,3921,13259,5039,38578,269,1423,7264,8656,4055,11317,5594,90694,887,3438,23685,23339,9165,20017,10163,54216,1781,3227,19148,12778,3144,8944,5194,450229,222462,786,197,398,2451,1418,2574,3183,2783,63255,14696,39548,16794,48570,15654,5999,4156,227767,827,264,258,1828,1559,2545,3230,2436,59038,16126,39844,20285,53537,19569,4140,2281,450229,1613,0,93,107,59,132,70,125,531,667,3612,2977,5119,6413,5219,103163,19130,30822,79392,37079,102107,35223,10139,6437,424732,209961,12206,59238,66881,71636,214771,11123,55651,71978,76019,2121,1496,160,467,485,384,625,85,95,240,205,10456,5101,872,1922,1663,644,5355,1117,1419,1876,943,3639,1397,108,178,366,745,2242,173,531,457,1081,269,188,49,60,61,18,81,17,11,37,16,1845,1034,241,277,349,167,811,163,259,222,167,7167,3285,154,1113,1233,785,3882,269,1072,1445,1096,416542,205688,11520,57847,65428,70893,210854,10579,54346,70620,75309,11791,6083,1041,1928,1983,1131,5708,779,1820,1989,1120,153906,74379,21072,9967,1364,4145,1351,4245,34997,15830,2758,6954,3318,6137,18310,8032,1131,3184,2864,3099,79527,27388,8435,4061,3623,4336,6933,38001,10103,5882,5971,7919,8126,14138,2392,2076,956,5491,3223,168616,4996,17723,6785,6697,13521,9492,1010,19116,25979,26562,7091,8906,6622,4886,9230,153906,54759,17272,24833,25279,31763,147655,52437,16643,23621,24632,30322,589,179,43,167,29,171,1587,547,169,393,178,300,1826,844,182,348,192,260,34,0,15,2,3,14,334,131,58,30,10,105,1881,621,162,272,235,591,146202,51897,16444,23430,24362,30069,2251,784,271,327,331,538
40,MT,30,,,,,040C0US30,Montana -- In metropolitan statistical area,282520,139512,19452,325,2282,7315,7642,788,1044,56,26584,393,1557,7430,7402,2407,5790,1605,21589,226,988,5845,5596,1995,4581,2358,46266,547,1891,14669,11183,3776,8981,5219,25621,1188,1227,7735,5561,926,5202,3782,143008,19042,135,1879,5532,8726,906,1764,100,24936,203,1144,5322,6401,2318,6781,2767,20831,120,913,3912,5110,1961,5734,3081,47988,389,2149,13414,11561,4937,10263,5275,30211,1133,2101,10978,6938,1634,4790,2637,244026,120060,532,104,263,1455,825,1336,1924,1578,35679,8019,21723,9104,24554,7980,3183,1801,123966,531,150,115,1049,1017,1520,2212,1558,33626,8683,21327,10850,27568,10349,2163,1248,244026,1063,0,60,66,0,105,23,72,306,348,2156,1842,2856,4136,3136,58255,11050,16702,43050,19954,52122,18329,5346,3049,227135,111614,6934,33078,36014,35588,115521,6810,31417,38109,39185,1477,965,107,263,341,254,512,85,59,201,167,7238,3485,525,1213,1211,536,3753,829,1021,1230,673,2175,966,108,154,203,501,1209,108,375,258,468,232,175,49,60,48,18,57,17,0,29,11,1239,678,181,149,246,102,561,86,188,185,102,4530,2177,113,762,783,519,2353,217,566,848,722,222097,108854,6488,32117,35062,35187,113243,6469,30571,37375,38828,7393,4012,686,1277,1333,716,3381,479,1210,1075,617,78846,37518,10886,4620,649,2288,712,2617,17648,7723,1644,3628,1445,3208,8984,3616,712,1646,1484,1526,41328,14416,4344,2137,2138,2122,3675,19485,4866,3176,3180,4428,3835,7427,1130,1156,563,2976,1602,86876,1929,8758,3183,3663,7367,3874,442,10579,14085,13846,3739,4429,3228,2775,4979,78846,26299,9474,13443,13167,16463,74773,24928,9052,12600,12767,15426,421,113,36,118,4,150,1209,391,146,284,136,252,969,444,71,203,112,139,29,0,15,2,3,9,204,71,40,22,10,61,1241,352,114,214,135,426,74015,24637,8925,12523,12648,15282,1333,464,181,188,148,352
40,MT,30,,,,,040C1US30,Montana -- In metropolitan statistical area -- in principal city,188241,91609,14466,199,1699,5306,5811,555,849,47,19303,248,1024,4828,5670,1790,4477,1266,14392,131,691,3760,3693,1218,3128,1771,27914,324,1111,8219,6660,2184,5800,3616,15534,665,723,4267,3268,590,3458,2563,96632,14770,48,1278,4145,7085,674,1492,48,17529,142,888,3446,4633,1410,4813,2197,13715,71,679,2074,3441,1167,3985,2298,30326,282,1372,8319,7255,2934,6542,3622,20292,775,1264,7157,4955,992,3216,1933,159005,77143,371,61,144,792,522,765,1310,952,21074,5110,14181,5782,16863,5662,2209,1345,81862,362,92,89,727,668,864,1596,1075,20996,5921,14363,6503,18556,7655,1542,853,159005,733,0,60,33,0,46,14,40,193,260,1259,1190,1629,2906,2027,35131,6939,11031,28544,12285,35419,13317,3751,2198,146483,70871,4072,19156,22983,24660,75612,4410,19454,24768,26980,1223,791,107,233,251,200,432,84,48,154,146,5023,2504,425,880,867,332,2519,708,559,821,431,1871,866,108,143,177,438,1005,53,339,228,385,164,132,49,46,24,13,32,17,0,15,0,873,461,70,124,179,88,412,55,123,176,58,3368,1518,86,492,592,348,1850,146,473,625,606,142705,68721,3733,18428,22146,24414,73984,4181,18811,24225,26767,5469,3061,468,967,1111,515,2408,324,924,778,382,54685,26079,8292,3515,387,1739,484,2167,11766,4886,1153,2531,978,2218,6021,2237,557,1216,1002,1009,28606,10489,3145,1566,1571,1380,2827,12968,3235,2050,2213,2831,2639,5149,794,761,435,1977,1182,60143,1308,5658,2205,2536,5418,2460,292,7237,10054,9095,2720,3235,2476,1918,3531,54685,17812,6474,9705,8652,12042,51640,16745,6223,8996,8410,11266,346,94,36,75,0,141,763,228,105,275,91,64,823,399,20,187,88,129,13,0,13,0,0,0,146,71,15,14,0,46,954,275,62,158,63,396,51181,16553,6156,8939,8375,11158,897,327,82,133,54,301
40,MT,30,,,,,040C2US30,Montana -- In metropolitan statistical area -- not in principal city,94279,47903,4986,126,583,2009,1831,233,195,9,7281,145,533,2602,1732,617,1313,339,7197,95,297,2085,1903,777,1453,587,18352,223,780,6450,4523,1592,3181,1603,10087,523,504,3468,2293,336,1744,1219,46376,4272,87,601,1387,1641,232,272,52,7407,61,256,1876,1768,908,1968,570,7116,49,234,1838,1669,794,1749,783,17662,107,777,5095,4306,2003,3721,1653,9919,358,837,3821,1983,642,1574,704,85021,42917,161,43,119,663,303,571,614,626,14605,2909,7542,3322,7691,2318,974,456,42104,169,58,26,322,349,656,616,483,12630,2762,6964,4347,9012,2694,621,395,85021,330,0,0,33,0,59,9,32,113,88,897,652,1227,1230,1109,23124,4111,5671,14506,7669,16703,5012,1595,851,80652,40743,2862,13922,13031,10928,39909,2400,11963,13341,12205,254,174,0,30,90,54,80,1,11,47,21,2215,981,100,333,344,204,1234,121,462,409,242,304,100,0,11,26,63,204,55,36,30,83,68,43,0,14,24,5,25,0,0,14,11,366,217,111,25,67,14,149,31,65,9,44,1162,659,27,270,191,171,503,71,93,223,116,79392,40133,2755,13689,12916,10773,39259,2288,11760,13150,12061,1924,951,218,310,222,201,973,155,286,297,235,24161,11439,2594,1105,262,549,228,450,5882,2837,491,1097,467,990,2963,1379,155,430,482,517,12722,3927,1199,571,567,742,848,6517,1631,1126,967,1597,1196,2278,336,395,128,999,420,26733,621,3100,978,1127,1949,1414,150,3342,4031,4751,1019,1194,752,857,1448,24161,8487,3000,3738,4515,4421,23133,8183,2829,3604,4357,4160,75,19,0,43,4,9,446,163,41,9,45,188,146,45,51,16,24,10,16,0,2,2,3,9,58,0,25,8,10,15,287,77,52,56,72,30,22834,8084,2769,3584,4273,4124,436,137,99,55,94,51
40,MT,30,,,,,040E0US30,Montana -- In micropolitan statistical area,239734,120102,17700,122,1911,5578,8466,723,846,54,20300,301,773,5054,5490,1721,5707,1254,18657,112,715,4938,4775,1771,4297,2049,41703,441,1748,12140,9917,3229,9071,5157,21742,624,1059,5444,4320,969,4941,4385,119632,15831,129,1474,4307,8010,495,1373,43,19343,37,538,3619,4796,1603,6478,2272,17747,149,510,3352,3546,2094,5583,2513,42706,498,1289,10271,11778,4228,9754,4888,24005,648,1126,8170,5840,1510,4154,2557,206203,102402,254,93,135,996,593,1238,1259,1205,27576,6677,17825,7690,24016,7674,2816,2355,103801,296,114,143,779,542,1025,1018,878,25412,7443,18517,9435,25969,9220,1977,1033,206203,550,0,33,41,59,27,47,53,225,319,1456,1135,2263,2277,2083,44908,8080,14120,36342,17125,49985,16894,4793,3388,197597,98347,5272,26160,30867,36048,99250,4313,24234,33869,36834,644,531,53,204,144,130,113,0,36,39,38,3218,1616,347,709,452,108,1602,288,398,646,270,1464,431,0,24,163,244,1033,65,156,199,613,37,13,0,0,13,0,24,0,11,8,5,606,356,60,128,103,65,250,77,71,37,65,2637,1108,41,351,450,266,1529,52,506,597,374,194445,96834,5032,25730,30366,35706,97611,4110,23775,33245,36481,4398,2071,355,651,650,415,2327,300,610,914,503,75060,36861,10186,5347,715,1857,639,1628,17349,8107,1114,3326,1873,2929,9326,4416,419,1538,1380,1573,38199,12972,4091,1924,1485,2214,3258,18516,5237,2706,2791,3491,4291,6711,1262,920,393,2515,1621,81740,3067,8965,3602,3034,6154,5618,568,8537,11894,12716,3352,4477,3394,2111,4251,75060,28460,7798,11390,12112,15300,72882,27509,7591,11021,11865,14896,168,66,7,49,25,21,378,156,23,109,42,48,857,400,111,145,80,121,5,0,0,0,0,5,130,60,18,8,0,44,640,269,48,58,100,165,72187,27260,7519,10907,11714,14787,918,320,90,139,183,186
40,MT,30,,,,,040E1US30,Montana -- In micropolitan statistical area -- in principal city,103288,51213,11194,57,633,3059,6507,318,604,16,9965,180,369,2240,2594,687,3146,749,7706,53,245,2034,2065,736,1668,905,14357,180,663,3438,3289,1184,3087,2516,7991,233,320,2029,1383,315,1835,1876,52075,9861,67,531,2231,5763,268,962,39,8946,20,206,1334,2268,609,3179,1330,7113,101,236,1178,1382,943,2036,1237,15727,185,534,3584,3975,1623,3820,2006,10428,357,533,3540,2413,646,1807,1132,82233,40019,141,42,49,414,183,487,544,383,9741,2374,6957,2922,9736,3674,1277,1095,42214,173,14,18,458,323,466,406,314,9636,2769,7269,3821,10842,4346,875,484,82233,314,0,0,18,14,0,24,24,43,181,691,506,953,950,697,16038,3339,5143,14226,6743,20578,8020,2152,1579,77933,37964,1944,9269,11487,15264,39969,1935,9193,13073,15768,471,391,41,135,90,125,80,0,13,36,31,1543,756,197,240,275,44,787,220,143,257,167,939,324,0,0,114,210,615,10,67,156,382,8,8,0,0,8,0,0,0,0,0,0,237,182,47,0,89,46,55,0,14,13,28,1102,394,14,97,190,93,708,7,206,324,171,76318,37134,1845,9017,11135,15137,39184,1886,8889,12756,15653,2049,1099,188,277,461,173,950,49,357,394,150,32329,15782,5514,2917,344,1059,437,757,6557,2997,362,960,901,1337,3711,1725,142,531,643,670,16547,6281,2031,865,591,1016,1778,7327,1920,1040,1089,1153,2125,2939,525,420,171,1135,688,35316,1242,3433,1366,1340,3129,2377,338,3454,4640,5524,1832,2155,1591,994,1901,32329,12115,3173,4401,5285,7355,31032,11618,3015,4136,5163,7100,156,63,7,49,23,14,211,89,14,92,0,16,592,207,105,100,65,115,0,0,0,0,0,0,74,33,0,0,0,41,264,105,32,24,34,69,30790,11502,3007,4105,5120,7056,323,149,8,31,43,92
40,MT,30,,,,,040E2US30,Montana -- In micropolitan statistical area -- not in principal city,136446,68889,6506,65,1278,2519,1959,405,242,38,10335,121,404,2814,2896,1034,2561,505,10951,59,470,2904,2710,1035,2629,1144,27346,261,1085,8702,6628,2045,5984,2641,13751,391,739,3415,2937,654,3106,2509,67557,5970,62,943,2076,2247,227,411,4,10397,17,332,2285,2528,994,3299,942,10634,48,274,2174,2164,1151,3547,1276,26979,313,755,6687,7803,2605,5934,2882,13577,291,593,4630,3427,864,2347,1425,123970,62383,113,51,86,582,410,751,715,822,17835,4303,10868,4768,14280,4000,1539,1260,61587,123,100,125,321,219,559,612,564,15776,4674,11248,5614,15127,4874,1102,549,123970,236,0,33,23,45,27,23,29,182,138,765,629,1310,1327,1386,28870,4741,8977,22116,10382,29407,8874,2641,1809,119664,60383,3328,16891,19380,20784,59281,2378,15041,20796,21066,173,140,12,69,54,5,33,0,23,3,7,1675,860,150,469,177,64,815,68,255,389,103,525,107,0,24,49,34,418,55,89,43,231,29,5,0,0,5,0,24,0,11,8,5,369,174,13,128,14,19,195,77,57,24,37,1535,714,27,254,260,173,821,45,300,273,203,118127,59700,3187,16713,19231,20569,58427,2224,14886,20489,20828,2349,972,167,374,189,242,1377,251,253,520,353,42731,21079,4672,2430,371,798,202,871,10792,5110,752,2366,972,1592,5615,2691,277,1007,737,903,21652,6691,2060,1059,894,1198,1480,11189,3317,1666,1702,2338,2166,3772,737,500,222,1380,933,46424,1825,5532,2236,1694,3025,3241,230,5083,7254,7192,1520,2322,1803,1117,2350,42731,16345,4625,6989,6827,7945,41850,15891,4576,6885,6702,7796,12,3,0,0,2,7,167,67,9,17,42,32,265,193,6,45,15,6,5,0,0,0,0,5,56,27,18,8,0,3,376,164,16,34,66,96,41397,15758,4512,6802,6594,7731,595,171,82,108,140,94
