SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B15001_001,B15001_002,B15001_003,B15001_004,B15001_005,B15001_006,B15001_007,B15001_008,B15001_009,B15001_010,B15001_011,B15001_012,B15001_013,B15001_014,B15001_015,B15001_016,B15001_017,B15001_018,B15001_019,B15001_020,B15001_021,B15001_022,B15001_023,B15001_024,B15001_025,B15001_026,B15001_027,B15001_028,B15001_029,B15001_030,B15001_031,B15001_032,B15001_033,B15001_034,B15001_035,B15001_036,B15001_037,B15001_038,B15001_039,B15001_040,B15001_041,B15001_042,B15001_043,B15001_044,B15001_045,B15001_046,B15001_047,B15001_048,B15001_049,B15001_050,B15001_051,B15001_052,B15001_053,B15001_054,B15001_055,B15001_056,B15001_057,B15001_058,B15001_059,B15001_060,B15001_061,B15001_062,B15001_063,B15001_064,B15001_065,B15001_066,B15001_067,B15001_068,B15001_069,B15001_070,B15001_071,B15001_072,B15001_073,B15001_074,B15001_075,B15001_076,B15001_077,B15001_078,B15001_079,B15001_080,B15001_081,B15001_082,B15001_083,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_013,B15003_014,B15003_015,B15003_016,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,C15002F_001,C15002F_002,C15002F_003,C15002F_004,C15002F_005,C15002F_006,C15002F_007,C15002F_008,C15002F_009,C15002F_010,C15002F_011,C15002G_001,C15002G_002,C15002G_003,C15002G_004,C15002G_005,C15002G_006,C15002G_007,C15002G_008,C15002G_009,C15002G_010,C15002G_011,C15002H_001,C15002H_002,C15002H_003,C15002H_004,C15002H_005,C15002H_006,C15002H_007,C15002H_008,C15002H_009,C15002H_010,C15002H_011,C15002I_001,C15002I_002,C15002I_003,C15002I_004,C15002I_005,C15002I_006,C15002I_007,C15002I_008,C15002I_009,C15002I_010,C15002I_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010,B15012_011,B15012_012,B15012_013,B15012_014,B15012_015,B15012_016,C15010_001,C15010_002,C15010_003,C15010_004,C15010_005,C15010_006,C15010A_001,C15010A_002,C15010A_003,C15010A_004,C15010A_005,C15010A_006,C15010B_001,C15010B_002,C15010B_003,C15010B_004,C15010B_005,C15010B_006,C15010C_001,C15010C_002,C15010C_003,C15010C_004,C15010C_005,C15010C_006,C15010D_001,C15010D_002,C15010D_003,C15010D_004,C15010D_005,C15010D_006,C15010E_001,C15010E_002,C15010E_003,C15010E_004,C15010E_005,C15010E_006,C15010F_001,C15010F_002,C15010F_003,C15010F_004,C15010F_005,C15010F_006,C15010G_001,C15010G_002,C15010G_003,C15010G_004,C15010G_005,C15010G_006,C15010H_001,C15010H_002,C15010H_003,C15010H_004,C15010H_005,C15010H_006,C15010I_001,C15010I_002,C15010I_003,C15010I_004,C15010I_005,C15010I_006
40,ND,38,,,,,04000US38,North Dakota,568445,290849,48557,304,4424,14421,21289,3612,4370,137,58452,659,2626,15287,14585,9257,12483,3555,43763,507,1942,11289,9745,6921,9427,3932,93162,1504,4638,28920,22189,13270,15736,6905,46915,6263,3013,15002,9818,2607,6499,3713,277596,42281,375,3196,9650,19599,3523,5635,303,49351,442,1547,8441,10298,7619,16088,4916,38609,487,880,6806,8408,6916,10872,4240,89525,1403,2546,23296,21834,13974,19240,7232,57830,5581,3996,22045,13162,3330,7545,2171,477607,242292,1410,335,555,6633,1803,3453,3723,3240,70498,15820,40517,32055,44145,10743,4197,3165,235315,1249,323,626,5715,1581,2209,3266,1913,60588,14838,38864,31839,53745,14289,2175,2095,477607,2659,15,44,6,97,242,254,320,861,893,11455,3384,5662,6989,5153,113229,17857,30658,79381,63894,97890,25032,6372,5260,434793,220230,17590,64019,80415,58206,214563,13358,56376,77610,67219,7510,4861,581,1361,1935,984,2649,408,559,1094,588,19459,9166,1863,2878,3460,965,10293,1695,2030,4459,2109,5652,2658,357,567,492,1242,2994,640,478,524,1352,148,94,0,38,27,29,54,14,2,38,0,3058,1755,519,620,414,202,1303,288,356,417,242,6987,3528,242,1015,1649,622,3459,479,787,1399,794,428518,216518,16905,62530,79394,57689,212000,12985,55560,76804,66651,10307,5966,1370,2188,1550,858,4341,759,1342,1352,888,134554,62250,23168,9698,2034,4891,1720,4825,28870,11574,2077,7080,3790,4349,10212,3874,712,1829,2368,1429,72304,29058,6241,5880,5057,5014,6866,33530,4629,6231,6480,9656,6534,9716,652,1515,599,5074,1876,146658,4878,12236,4193,5165,6953,6763,981,20045,27008,29002,4298,4696,3199,4504,12737,134554,36668,18449,25936,27622,25879,125425,33505,17255,24573,26312,23780,1572,833,201,197,59,282,3074,467,329,533,869,876,2594,1362,504,256,183,289,29,22,7,0,0,0,444,77,13,50,87,217,1416,402,140,327,112,435,124340,33136,17237,24366,26230,23371,1746,547,62,266,218,653
40,ND,38,,,,,04001US38,North Dakota -- Urban,349255,177471,36580,213,2559,10143,17668,2429,3457,111,40791,444,1663,10317,10547,5864,9162,2794,26403,296,1211,6425,6009,3582,5849,3031,50217,798,2180,14230,11457,6886,9815,4851,23480,2768,1364,6830,5109,1292,3721,2396,171784,32344,296,1886,6859,15822,2587,4637,257,33765,299,931,5648,6685,4982,11479,3741,23369,388,413,3989,5232,3942,6530,2875,49791,922,1308,11502,12052,7846,11417,4744,32515,2926,2054,12578,7148,1722,4598,1489,280331,140891,984,200,315,2807,756,1823,1876,1963,37802,9577,23545,17624,28547,7481,3110,2481,139440,978,249,406,2902,843,960,1802,1101,33717,8823,22294,18492,34024,9841,1344,1664,280331,1962,2,30,0,76,185,156,181,540,464,5245,1599,2783,3678,3064,60453,11066,18400,45839,36116,62571,17322,4454,4145,256187,127964,8711,34272,46307,38674,128223,7225,31473,45471,44054,6491,4121,527,1075,1655,864,2370,368,485,979,538,5646,2664,640,864,931,229,2982,522,555,1513,392,4768,2366,353,470,443,1100,2402,599,365,389,1049,119,85,0,34,22,29,34,0,0,34,0,2112,1212,336,435,246,195,900,137,265,317,181,5008,2479,157,652,1142,528,2529,390,574,906,659,252192,125517,8354,33272,45590,38301,126675,7024,31029,44955,43667,6768,4014,849,1429,1037,699,2754,434,849,883,588,88492,41619,16923,7053,1556,3538,999,3777,18579,7049,1318,4961,2054,3197,6117,2273,456,1173,1312,903,46873,20388,4577,4054,3357,3202,5198,20398,2785,4034,3983,5176,4420,6087,403,985,382,2946,1371,97461,3608,6655,2696,3956,5308,4539,708,13559,18117,16649,3434,3324,2426,3603,8879,88492,24140,12403,17394,15689,18866,82728,21722,11620,16579,15310,17497,1402,760,192,177,35,238,621,151,40,78,78,274,2149,1134,406,222,139,248,29,22,7,0,0,0,376,67,6,39,65,199,1187,284,132,299,62,410,81968,21480,11611,16461,15252,17164,1287,408,24,159,143,553
40,ND,38,,,,,04043US38,North Dakota -- Rural,219190,113378,11977,91,1865,4278,3621,1183,913,26,17661,215,963,4970,4038,3393,3321,761,17360,211,731,4864,3736,3339,3578,901,42945,706,2458,14690,10732,6384,5921,2054,23435,3495,1649,8172,4709,1315,2778,1317,105812,9937,79,1310,2791,3777,936,998,46,15586,143,616,2793,3613,2637,4609,1175,15240,99,467,2817,3176,2974,4342,1365,39734,481,1238,11794,9782,6128,7823,2488,25315,2655,1942,9467,6014,1608,2947,682,197276,101401,426,135,240,3826,1047,1630,1847,1277,32696,6243,16972,14431,15598,3262,1087,684,95875,271,74,220,2813,738,1249,1464,812,26871,6015,16570,13347,19721,4448,831,431,197276,697,13,14,6,21,57,98,139,321,429,6210,1785,2879,3311,2089,52776,6791,12258,33542,27778,35319,7710,1918,1115,178606,92266,8879,29747,34108,19532,86340,6133,24903,32139,23165,1019,740,54,286,280,120,279,40,74,115,50,13813,6502,1223,2014,2529,736,7311,1173,1475,2946,1717,884,292,4,97,49,142,592,41,113,135,303,29,9,0,4,5,0,20,14,2,4,0,946,543,183,185,168,7,403,151,91,100,61,1979,1049,85,363,507,94,930,89,213,493,135,176326,91001,8551,29258,33804,19388,85325,5961,24531,31849,22984,3539,1952,521,759,513,159,1587,325,493,469,300,46062,20631,6245,2645,478,1353,721,1048,10291,4525,759,2119,1736,1152,4095,1601,256,656,1056,526,25431,8670,1664,1826,1700,1812,1668,13132,1844,2197,2497,4480,2114,3629,249,530,217,2128,505,49197,1270,5581,1497,1209,1645,2224,273,6486,8891,12353,864,1372,773,901,3858,46062,12528,6046,8542,11933,7013,42697,11783,5635,7994,11002,6283,170,73,9,20,24,44,2453,316,289,455,791,602,445,228,98,34,44,41,0,0,0,0,0,0,68,10,7,11,22,18,229,118,8,28,50,25,42372,11656,5626,7905,10978,6207,459,139,38,107,75,100
40,ND,38,,,,,040A0US38,North Dakota -- In metropolitan or micropolitan statistical area,417680,213960,40090,164,3032,11619,18686,2811,3667,111,47365,454,2000,12110,11860,7294,10507,3140,33034,346,1330,8025,7288,4954,7567,3524,64136,839,2834,18832,14974,9035,11992,5630,29335,3556,1690,8877,6263,1717,4436,2796,203720,35191,308,2167,7756,16951,2835,4899,275,39385,367,1079,6296,8075,5838,13429,4301,29074,403,512,4725,6316,4943,8587,3588,62751,967,1550,15135,15193,9917,14255,5734,37319,3376,2271,14184,8485,2100,5255,1648,342399,173870,1008,198,356,3633,1160,2107,2261,2326,47844,11506,28879,23000,34502,8729,3643,2718,168529,1072,277,424,3340,942,1182,2072,1216,40340,10670,27399,22798,41526,11666,1749,1856,342399,2080,7,38,0,69,151,210,189,591,568,6405,2102,3289,4333,3542,75308,12876,22176,56278,45798,76028,20395,5392,4574,314768,159070,10915,43782,58018,46355,155698,8375,37820,56067,53436,7015,4472,540,1186,1820,926,2543,389,532,1069,553,7489,3517,718,1100,1382,317,3972,665,696,1883,728,5154,2537,353,522,458,1204,2617,606,415,419,1177,125,87,0,34,24,29,38,0,0,38,0,2278,1341,347,456,340,198,937,105,301,326,205,5570,2846,176,764,1343,563,2724,385,576,1065,698,310051,156239,10467,42689,57190,45893,153812,8100,37249,55499,52964,7739,4538,947,1552,1240,799,3201,471,1016,986,728,106389,49592,19615,8164,1846,4205,1176,4224,22745,9084,1537,5843,2681,3600,7232,2739,499,1389,1586,1019,56797,24326,5357,4807,4287,3877,5998,25568,3687,4827,5240,6534,5280,6903,468,1121,417,3406,1491,116455,4114,8748,3236,4584,6049,5698,841,15997,22260,20327,3669,3695,2660,4084,10493,106389,29499,14637,21381,19260,21612,99791,26684,13833,20461,18744,20069,1479,822,197,174,48,238,1045,246,79,155,155,410,2381,1318,399,229,164,271,29,22,7,0,0,0,403,75,6,42,74,206,1261,332,116,320,75,418,98857,26354,13817,20308,18703,19675,1527,508,52,204,138,625
40,ND,38,,,,,040C0US38,North Dakota -- In metropolitan statistical area,282671,142474,27611,108,1919,6757,13902,2051,2796,78,31122,341,1156,7239,7303,5232,7473,2378,22225,200,753,4792,4751,3461,5493,2775,42213,494,1687,11004,9654,6034,8778,4562,19303,2120,1028,5407,4235,1247,3215,2051,140197,25850,183,1136,5219,12779,2268,4029,236,27055,241,806,3938,4684,4239,9665,3482,19984,228,330,2730,3984,3582,6472,2658,42722,637,1019,9391,9875,7170,10248,4382,24586,2129,1264,9188,5473,1380,3862,1290,229210,114863,673,152,247,2083,610,1170,1343,1501,28442,6998,18945,15974,24959,6614,2953,2199,114347,787,171,347,1930,606,796,1264,753,25247,6583,17433,16371,30247,8973,1297,1542,229210,1460,3,34,0,10,141,135,128,466,219,3794,1216,1966,2607,2254,45662,8027,13581,36378,32345,55206,15587,4250,3741,210152,104923,6409,25877,38272,34365,105229,4918,23433,37232,39646,4851,2997,309,786,1171,731,1854,372,434,674,374,5819,2820,563,807,1189,261,2999,453,579,1373,594,4070,2017,353,315,331,1018,2053,552,286,324,891,47,44,0,30,14,0,3,0,0,3,0,1045,557,74,281,136,66,488,15,174,185,114,3226,1505,71,346,804,284,1721,344,341,596,440,207333,103173,6158,25148,37817,34050,104160,4790,23058,36983,39329,4361,2537,465,1013,634,425,1824,239,625,515,445,78784,36725,14372,6197,1320,2937,842,3076,17087,6936,1149,4413,1795,2794,5266,2208,358,1039,986,675,42059,18284,4222,3770,3292,2625,4375,18623,2946,3388,4107,4288,3894,5152,383,739,326,2466,1238,86359,3490,6317,2428,3386,4750,4564,683,11721,16799,13759,2710,2501,1990,3407,7854,78784,22892,10724,16114,13002,16052,74011,20673,10251,15467,12666,14954,1105,594,133,127,26,225,855,182,66,134,138,335,1909,1172,211,199,141,186,0,0,0,0,0,0,180,55,6,16,10,93,724,216,57,171,21,259,73379,20456,10239,15398,12638,14648,870,289,33,94,40,414
40,ND,38,,,,,040C1US38,North Dakota -- In metropolitan statistical area -- in principal city,192171,96202,22222,96,1185,5025,11745,1549,2568,54,21922,306,837,4823,5254,3352,5670,1680,13710,130,555,2940,2851,1785,3670,1779,25965,304,976,6307,5676,3495,5908,3299,12383,1318,537,3157,2627,699,2332,1713,95969,20682,116,805,4017,10401,1660,3492,191,18758,188,608,2735,3153,2793,6679,2602,12181,179,206,1735,2719,2041,3587,1714,26860,469,674,5314,6028,4638,6639,3098,17488,1495,871,6687,3609,888,2840,1098,149267,73980,503,95,180,1280,309,698,880,1018,17227,4479,11929,9331,17580,4622,2232,1617,75287,572,131,266,1362,436,464,840,619,16471,4050,11459,10360,19745,6280,948,1284,149267,1075,0,10,0,8,103,105,105,341,170,2472,745,1162,1720,1637,28236,5462,8529,23388,19691,37325,10902,3180,2901,135532,66798,3935,15555,23245,24063,68734,3387,15197,23634,26516,4017,2549,250,586,1041,672,1468,269,388,570,241,2830,1307,379,344,487,97,1523,199,224,855,245,3613,1801,313,285,269,934,1812,487,223,277,825,44,44,0,30,14,0,0,0,0,0,0,827,400,52,189,96,63,427,15,171,160,81,2404,1081,34,238,587,222,1323,333,268,373,349,133747,65695,3760,15148,22960,23827,68052,3327,14882,23459,26384,3025,1721,369,590,425,337,1304,171,562,373,198,54308,26051,10277,4592,1042,1840,573,2230,11729,4560,818,3127,1177,2047,4045,1760,288,731,694,572,28257,12310,2957,2324,2227,1666,3136,12009,1967,2230,2357,2797,2658,3938,297,533,241,1839,1028,59728,2402,4055,1688,2639,3454,3387,434,7930,11000,9281,2054,1963,1606,2499,5336,54308,16133,7235,10523,8746,11671,50579,14208,6855,10036,8531,10949,913,562,129,107,20,95,342,71,0,39,52,180,1759,1087,192,195,126,159,0,0,0,0,0,0,144,47,6,9,0,82,571,158,53,137,17,206,50211,14046,6846,10007,8523,10789,535,223,9,38,8,257
40,ND,38,,,,,040C2US38,North Dakota -- In metropolitan statistical area -- not in principal city,90500,46272,5389,12,734,1732,2157,502,228,24,9200,35,319,2416,2049,1880,1803,698,8515,70,198,1852,1900,1676,1823,996,16248,190,711,4697,3978,2539,2870,1263,6920,802,491,2250,1608,548,883,338,44228,5168,67,331,1202,2378,608,537,45,8297,53,198,1203,1531,1446,2986,880,7803,49,124,995,1265,1541,2885,944,15862,168,345,4077,3847,2532,3609,1284,7098,634,393,2501,1864,492,1022,192,79943,40883,170,57,67,803,301,472,463,483,11215,2519,7016,6643,7379,1992,721,582,39060,215,40,81,568,170,332,424,134,8776,2533,5974,6011,10502,2693,349,258,79943,385,3,24,0,2,38,30,23,125,49,1322,471,804,887,617,17426,2565,5052,12990,12654,17881,4685,1070,840,74620,38125,2474,10322,15027,10302,36495,1531,8236,13598,13130,834,448,59,200,130,59,386,103,46,104,133,2989,1513,184,463,702,164,1476,254,355,518,349,457,216,40,30,62,84,241,65,63,47,66,3,0,0,0,0,0,3,0,0,3,0,218,157,22,92,40,3,61,0,3,25,33,822,424,37,108,217,62,398,11,73,223,91,73586,37478,2398,10000,14857,10223,36108,1463,8176,13524,12945,1336,816,96,423,209,88,520,68,63,142,247,24476,10674,4095,1605,278,1097,269,846,5358,2376,331,1286,618,747,1221,448,70,308,292,103,13802,5974,1265,1446,1065,959,1239,6614,979,1158,1750,1491,1236,1214,86,206,85,627,210,26631,1088,2262,740,747,1296,1177,249,3791,5799,4478,656,538,384,908,2518,24476,6759,3489,5591,4256,4381,23432,6465,3396,5431,4135,4005,192,32,4,20,6,130,513,111,66,95,86,155,150,85,19,4,15,27,0,0,0,0,0,0,36,8,0,7,10,11,153,58,4,34,4,53,23168,6410,3393,5391,4115,3859,335,66,24,56,32,157
40,ND,38,,,,,040E0US38,North Dakota -- In micropolitan statistical area,135009,71486,12479,56,1113,4862,4784,760,871,33,16243,113,844,4871,4557,2062,3034,762,10809,146,577,3233,2537,1493,2074,749,21923,345,1147,7828,5320,3001,3214,1068,10032,1436,662,3470,2028,470,1221,745,63523,9341,125,1031,2537,4172,567,870,39,12330,126,273,2358,3391,1599,3764,819,9090,175,182,1995,2332,1361,2115,930,20029,330,531,5744,5318,2747,4007,1352,12733,1247,1007,4996,3012,720,1393,358,113189,59007,335,46,109,1550,550,937,918,825,19402,4508,9934,7026,9543,2115,690,519,54182,285,106,77,1410,336,386,808,463,15093,4087,9966,6427,11279,2693,452,314,113189,620,4,4,0,59,10,75,61,125,349,2611,886,1323,1726,1288,29646,4849,8595,19900,13453,20822,4808,1142,833,104616,54147,4506,17905,19746,11990,50469,3457,14387,18835,13790,2164,1475,231,400,649,195,689,17,98,395,179,1670,697,155,293,193,56,973,212,117,510,134,1084,520,0,207,127,186,564,54,129,95,286,78,43,0,4,10,29,35,0,0,35,0,1233,784,273,175,204,132,449,90,127,141,91,2344,1341,105,418,539,279,1003,41,235,469,258,102718,53066,4309,17541,19373,11843,49652,3310,14191,18516,13635,3378,2001,482,539,606,374,1377,232,391,471,283,27605,12867,5243,1967,526,1268,334,1148,5658,2148,388,1430,886,806,1966,531,141,350,600,344,14738,6042,1135,1037,995,1252,1623,6945,741,1439,1133,2246,1386,1751,85,382,91,940,253,30096,624,2431,808,1198,1299,1134,158,4276,5461,6568,959,1194,670,677,2639,27605,6607,3913,5267,6258,5560,25780,6011,3582,4994,6078,5115,374,228,64,47,22,13,190,64,13,21,17,75,472,146,188,30,23,85,29,22,7,0,0,0,223,20,0,26,64,113,537,116,59,149,54,159,25478,5898,3578,4910,6065,5027,657,219,19,110,98,211
40,ND,38,,,,,040E1US38,North Dakota -- In micropolitan statistical area -- in principal city,90660,47668,8749,45,743,3468,3221,490,749,33,11979,74,654,3629,3383,1352,2261,626,7203,139,430,2174,1926,723,1239,572,13760,213,602,4753,3379,1845,2206,762,5977,710,449,1916,1264,280,843,515,42992,7088,119,767,1892,3215,406,664,25,8691,64,192,1725,2486,1030,2582,612,6057,167,107,1360,1609,837,1308,669,12497,249,361,3535,3238,1616,2551,947,8659,816,734,3340,2059,481,1004,225,74823,38919,253,27,83,773,368,649,553,565,12472,3351,6601,4200,6549,1507,549,419,35904,203,72,56,965,244,221,574,355,9960,2618,6774,3964,7445,1917,287,249,74823,456,2,0,0,54,7,36,49,90,198,1540,612,870,1127,920,18894,3538,5969,13375,8164,13994,3424,836,668,68351,35121,2630,11368,12852,8271,33230,2405,9357,12222,9246,1655,1100,227,286,460,127,555,17,98,295,145,1128,441,101,213,85,42,687,119,86,391,91,827,390,0,113,117,160,437,53,112,83,189,54,33,0,4,0,29,21,0,0,21,0,969,705,269,150,154,132,264,60,85,38,81,1839,1129,44,338,484,263,710,36,222,306,146,67022,34392,2469,11120,12633,8170,32630,2267,9244,11950,9169,2498,1550,437,398,391,324,948,198,262,316,172,18922,9024,3799,1273,427,988,239,872,3867,1370,280,961,584,672,1358,297,95,278,434,254,9898,4049,787,640,625,872,1125,4620,399,1093,752,1392,984,1229,36,287,48,668,190,20807,410,1426,562,920,869,724,85,2998,3783,4435,773,890,559,463,1910,18922,4162,2822,3652,4189,4097,17517,3747,2525,3426,4076,3743,272,152,59,47,1,13,133,50,13,9,2,59,349,86,162,27,10,64,29,22,7,0,0,0,213,20,0,26,61,106,409,85,56,117,39,112,17339,3673,2525,3354,4063,3724,496,179,0,98,88,131
40,ND,38,,,,,040E2US38,North Dakota -- In micropolitan statistical area -- not in principal city,44349,23818,3730,11,370,1394,1563,270,122,0,4264,39,190,1242,1174,710,773,136,3606,7,147,1059,611,770,835,177,8163,132,545,3075,1941,1156,1008,306,4055,726,213,1554,764,190,378,230,20531,2253,6,264,645,957,161,206,14,3639,62,81,633,905,569,1182,207,3033,8,75,635,723,524,807,261,7532,81,170,2209,2080,1131,1456,405,4074,431,273,1656,953,239,389,133,38366,20088,82,19,26,777,182,288,365,260,6930,1157,3333,2826,2994,608,141,100,18278,82,34,21,445,92,165,234,108,5133,1469,3192,2463,3834,776,165,65,38366,164,2,4,0,5,3,39,12,35,151,1071,274,453,599,368,10752,1311,2626,6525,5289,6828,1384,306,165,36265,19026,1876,6537,6894,3719,17239,1052,5030,6613,4544,509,375,4,114,189,68,134,0,0,100,34,542,256,54,80,108,14,286,93,31,119,43,257,130,0,94,10,26,127,1,17,12,97,24,10,0,0,10,0,14,0,0,14,0,264,79,4,25,50,0,185,30,42,103,10,505,212,61,80,55,16,293,5,13,163,112,35696,18674,1840,6421,6740,3673,17022,1043,4947,6566,4466,880,451,45,141,215,50,429,34,129,155,111,8683,3843,1444,694,99,280,95,276,1791,778,108,469,302,134,608,234,46,72,166,90,4840,1993,348,397,370,380,498,2325,342,346,381,854,402,522,49,95,43,272,63,9289,214,1005,246,278,430,410,73,1278,1678,2133,186,304,111,214,729,8683,2445,1091,1615,2069,1463,8263,2264,1057,1568,2002,1372,102,76,5,0,21,0,57,14,0,12,15,16,123,60,26,3,13,21,0,0,0,0,0,0,10,0,0,0,3,7,128,31,3,32,15,47,8139,2225,1053,1556,2002,1303,161,40,19,12,10,80
