SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B15001_001,B15001_002,B15001_003,B15001_004,B15001_005,B15001_006,B15001_007,B15001_008,B15001_009,B15001_010,B15001_011,B15001_012,B15001_013,B15001_014,B15001_015,B15001_016,B15001_017,B15001_018,B15001_019,B15001_020,B15001_021,B15001_022,B15001_023,B15001_024,B15001_025,B15001_026,B15001_027,B15001_028,B15001_029,B15001_030,B15001_031,B15001_032,B15001_033,B15001_034,B15001_035,B15001_036,B15001_037,B15001_038,B15001_039,B15001_040,B15001_041,B15001_042,B15001_043,B15001_044,B15001_045,B15001_046,B15001_047,B15001_048,B15001_049,B15001_050,B15001_051,B15001_052,B15001_053,B15001_054,B15001_055,B15001_056,B15001_057,B15001_058,B15001_059,B15001_060,B15001_061,B15001_062,B15001_063,B15001_064,B15001_065,B15001_066,B15001_067,B15001_068,B15001_069,B15001_070,B15001_071,B15001_072,B15001_073,B15001_074,B15001_075,B15001_076,B15001_077,B15001_078,B15001_079,B15001_080,B15001_081,B15001_082,B15001_083,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_013,B15003_014,B15003_015,B15003_016,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,C15002F_001,C15002F_002,C15002F_003,C15002F_004,C15002F_005,C15002F_006,C15002F_007,C15002F_008,C15002F_009,C15002F_010,C15002F_011,C15002G_001,C15002G_002,C15002G_003,C15002G_004,C15002G_005,C15002G_006,C15002G_007,C15002G_008,C15002G_009,C15002G_010,C15002G_011,C15002H_001,C15002H_002,C15002H_003,C15002H_004,C15002H_005,C15002H_006,C15002H_007,C15002H_008,C15002H_009,C15002H_010,C15002H_011,C15002I_001,C15002I_002,C15002I_003,C15002I_004,C15002I_005,C15002I_006,C15002I_007,C15002I_008,C15002I_009,C15002I_010,C15002I_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010,B15012_011,B15012_012,B15012_013,B15012_014,B15012_015,B15012_016,C15010_001,C15010_002,C15010_003,C15010_004,C15010_005,C15010_006,C15010A_001,C15010A_002,C15010A_003,C15010A_004,C15010A_005,C15010A_006,C15010B_001,C15010B_002,C15010B_003,C15010B_004,C15010B_005,C15010B_006,C15010C_001,C15010C_002,C15010C_003,C15010C_004,C15010C_005,C15010C_006,C15010D_001,C15010D_002,C15010D_003,C15010D_004,C15010D_005,C15010D_006,C15010E_001,C15010E_002,C15010E_003,C15010E_004,C15010E_005,C15010E_006,C15010F_001,C15010F_002,C15010F_003,C15010F_004,C15010F_005,C15010F_006,C15010G_001,C15010G_002,C15010G_003,C15010G_004,C15010G_005,C15010G_006,C15010H_001,C15010H_002,C15010H_003,C15010H_004,C15010H_005,C15010H_006,C15010I_001,C15010I_002,C15010I_003,C15010I_004,C15010I_005,C15010I_006
40,NY,36,,,,,04000US36,New York,15471048,7394535,991765,21580,118496,281466,387243,57292,115318,10370,1408242,59176,105819,327444,256591,113198,375133,170881,1226384,72388,92345,313917,200493,104630,260892,181719,2542227,150346,195990,740370,433451,213148,459568,349354,1225917,131841,114749,352531,178440,66548,177728,204080,8076513,975200,13629,88892,225906,407408,65805,153947,19613,1423137,43700,84195,245213,230290,131092,425477,263170,1275418,61889,82142,254712,194729,138187,288793,254966,2734874,156755,180950,732081,458010,304402,484838,417838,1667884,206028,162579,603186,225980,93102,181774,195235,13504083,6402770,117395,53337,118050,124969,104335,122106,130604,151858,1734262,302121,766854,497524,1273321,585721,207826,112487,7101313,138952,67706,126632,135082,103614,117751,138979,149522,1835192,322848,786161,666783,1380882,880247,164405,86557,13504083,256347,2520,3664,9664,21765,42686,40744,72539,172143,69243,190808,207949,239857,269583,301380,3050606,518848,624969,1553015,1164307,2654203,1465968,372231,199044,9038866,4349131,435863,1157940,1092096,1663232,4689735,432544,1238641,1189269,1829281,2001716,884411,160621,294968,254787,174035,1117305,186606,317022,334909,278768,48002,23232,7097,6861,5812,3462,24770,5683,6943,7700,4444,1121517,523234,106226,91628,80878,244502,598283,136850,105272,86764,269397,5118,2400,417,729,453,801,2718,482,789,858,589,1023033,493810,185447,151176,100163,57024,529223,188213,139773,118919,82318,265831,126552,26983,30960,32310,36299,139279,27860,26752,37373,47294,8053689,3870035,296702,1019426,984860,1569047,4183654,293294,1109907,1068836,1711617,2220244,1069781,356741,312934,233436,166670,1150463,361004,291034,272262,226163,4691446,2179355,772339,310971,39971,177730,32167,211500,1025208,428175,57642,238771,57080,243540,381808,168694,20465,69614,39662,83373,2512091,969225,299075,94102,169311,107734,299003,1165857,312652,149710,205188,190040,308267,377009,82384,45703,25764,119772,103386,5039402,221997,235938,156632,285950,517693,284406,35487,436347,919447,572400,306552,292202,338296,209753,226302,4691446,1601951,407593,886378,546455,1249069,3492513,1162780,272689,628680,452882,975482,452803,139754,56521,96635,46175,113718,7906,2775,577,1044,987,2523,513899,222347,58423,111600,24177,97352,1390,436,150,419,62,323,139342,42590,12529,33399,16278,34546,83593,31269,6704,14601,5894,25125,3280664,1091613,255468,584047,430777,918759,392833,127517,33444,85609,42782,103481
40,NY,36,,,,,04001US36,New York -- Urban,13615325,6458362,891479,18977,105544,243625,356545,49088,107921,9779,1284411,55438,95288,283615,231188,98367,356880,163635,1093224,68770,82647,268397,175008,88735,239899,169768,2160425,141410,169773,594400,365240,171343,406318,311941,1028823,119648,95854,283815,147282,52067,152930,177227,7156963,888744,11669,79866,201308,376479,56764,144129,18529,1312344,41257,79226,219437,207758,113862,402808,247996,1143229,59365,77143,223147,170821,115724,263919,233110,2359794,151413,164641,613130,388311,246444,428967,366888,1452852,196493,142813,512252,192612,76774,159262,172646,11835102,5566883,109986,51454,114645,109181,91799,102428,111335,138000,1430227,249592,669126,410512,1156027,529455,192117,100999,6268219,132554,66668,124735,124571,95898,104467,123843,139615,1567966,270638,688864,552804,1254956,788553,152954,79133,11835102,242540,2385,3448,9384,21260,41789,39856,71130,168250,65132,168620,187697,206895,235178,277615,2564940,433253,520230,1357990,963316,2410983,1318008,345071,180132,7445696,3557095,351820,867790,866186,1471299,3888601,370618,978614,935528,1603841,1975582,866070,155653,288116,250336,171965,1109512,185607,315346,332209,276350,39488,19268,6354,5241,4696,2977,20220,5203,5534,5890,3593,1106767,517259,105835,90900,79816,240708,589508,135779,103975,85001,264753,4782,2256,402,696,381,777,2526,474,663,808,581,1011822,486652,182947,149057,98572,56076,525170,187297,138793,117986,81094,250965,118283,25817,28427,29243,34796,132682,27373,25041,34884,45384,6488021,3092242,215411,733566,762735,1380530,3395779,233222,852754,819357,1490446,2177747,1045934,350750,305937,227116,162131,1131813,358145,286979,266407,220282,4254194,1978598,731721,293989,37538,170987,28589,200618,916720,379817,51101,217391,47990,220421,330157,146430,17348,62193,31573,72613,2275596,909111,281260,87077,160962,95907,283905,1034577,277496,131590,187045,160573,277873,331908,74061,39848,23608,102493,91898,4570503,204508,202115,139731,259352,482718,255589,32739,390021,852558,489230,281701,266855,314133,197404,201849,4254194,1453053,364502,822186,467125,1147328,3075140,1021734,231682,567499,375615,878610,448315,138339,56163,95877,45631,112305,6570,2187,450,909,851,2173,505461,218562,57448,110352,23457,95642,1358,430,147,402,61,318,137170,41791,12233,33004,16026,34116,80180,30010,6379,14143,5484,24164,2870976,953250,214836,524372,354351,824167,382413,123891,32765,83606,41660,100491
40,NY,36,,,,,04043US36,New York -- Rural,1855723,936173,100286,2603,12952,37841,30698,8204,7397,591,123831,3738,10531,43829,25403,14831,18253,7246,133160,3618,9698,45520,25485,15895,20993,11951,381802,8936,26217,145970,68211,41805,53250,37413,197094,12193,18895,68716,31158,14481,24798,26853,919550,86456,1960,9026,24598,30929,9041,9818,1084,110793,2443,4969,25776,22532,17230,22669,15174,132189,2524,4999,31565,23908,22463,24874,21856,375080,5342,16309,118951,69699,57958,55871,50950,215032,9535,19766,90934,33368,16328,22512,22589,1668981,835887,7409,1883,3405,15788,12536,19678,19269,13858,304035,52529,97728,87012,117294,56266,15709,11488,833094,6398,1038,1897,10511,7716,13284,15136,9907,267226,52210,97297,113979,125926,91694,11451,7424,1668981,13807,135,216,280,505,897,888,1409,3893,4111,22188,20252,32962,34405,23765,485666,85595,104739,195025,200991,243220,147960,27160,18912,1593170,792036,84043,290150,225910,191933,801134,61926,260027,253741,225440,26134,18341,4968,6852,4451,2070,7793,999,1676,2700,2418,8514,3964,743,1620,1116,485,4550,480,1409,1810,851,14750,5975,391,728,1062,3794,8775,1071,1297,1763,4644,336,144,15,33,72,24,192,8,126,50,8,11211,7158,2500,2119,1591,948,4053,916,980,933,1224,14866,8269,1166,2533,3067,1503,6597,487,1711,2489,1910,1565668,777793,81291,285860,222125,188517,787875,60072,257153,249479,221171,42497,23847,5991,6997,6320,4539,18650,2859,4055,5855,5881,437252,200757,40618,16982,2433,6743,3578,10882,108488,48358,6541,21380,9090,23119,51651,22264,3117,7421,8089,10760,236495,60114,17815,7025,8349,11827,15098,131280,35156,18120,18143,29467,30394,45101,8323,5855,2156,17279,11488,468899,17489,33823,16901,26598,34975,28817,2748,46326,66889,83170,24851,25347,24163,12349,24453,437252,148898,43091,64192,79330,101741,417373,141046,41007,61181,77267,96872,4488,1415,358,758,544,1413,1336,588,127,135,136,350,8438,3785,975,1248,720,1710,32,6,3,17,1,5,2172,799,296,395,252,430,3413,1259,325,458,410,961,409688,138363,40632,59675,76426,94592,10420,3626,679,2003,1122,2990
40,NY,36,,,,,040A0US36,New York -- In metropolitan or micropolitan statistical area,15152636,7231538,970710,21171,115300,273599,380208,55561,114569,10302,1384499,58462,103074,318426,251791,110417,372625,169704,1203617,71638,90003,304775,196303,101950,258535,180413,2481515,148554,190467,715363,422690,206449,453151,344841,1191197,129350,110477,339790,172959,63899,174160,200562,7921098,957948,13382,87073,221031,400345,64222,152489,19406,1403242,43295,82962,239999,225613,128218,422270,260885,1254162,61452,81062,248142,190824,134751,285672,252259,2676692,155639,177501,711768,446102,295752,478241,411689,1629054,203940,158445,586205,219784,90488,178359,191833,13223978,6260828,115874,52822,117255,122053,101430,117419,126051,149121,1678354,293486,750257,482715,1258471,578202,206274,111044,6963150,137897,67454,126109,132866,101660,115048,135490,147772,1786114,313751,768572,649209,1364542,867840,163113,85713,13223978,253771,2493,3641,9578,21631,42397,40536,72230,171134,68223,186696,203090,232467,261541,296893,2962715,501753,607237,1518829,1131924,2623013,1446042,369387,196757,8777815,4219203,418534,1106414,1054930,1639325,4558612,419935,1191406,1147272,1799999,1991935,877335,158476,292442,252950,173467,1114600,186199,316265,333917,278219,47254,22766,7014,6621,5723,3408,24488,5614,6835,7656,4383,1119237,522279,106129,91433,80776,243941,596958,136656,105104,86421,268777,5067,2383,417,715,450,801,2684,475,765,858,586,1020003,492074,184787,150471,99884,56932,527929,187688,139386,118676,82179,262667,124788,26668,30258,31745,36117,137879,27729,26353,36732,47065,7799366,3744041,280594,969262,948504,1545681,4055325,281195,1063425,1027673,1683032,2208927,1063099,354628,310452,232003,166016,1145828,359889,289717,270895,225327,4635199,2153991,766964,308814,39631,176915,31525,210079,1012305,422717,56846,236582,55686,240474,374722,165906,20122,68577,38413,81704,2481208,960950,296559,93326,168139,105950,296976,1150066,308734,147343,203404,186259,304326,370192,81242,44621,25384,117038,101907,4978940,219952,231681,154688,282352,513068,281583,35189,430225,911759,560208,303252,288654,334995,208296,223038,4635199,1583972,401889,879001,534871,1235466,3439324,1146054,267292,621759,441704,962515,451686,139323,56416,96400,46040,113507,7791,2722,569,1041,975,2484,512718,221837,58283,111463,24040,97095,1387,436,147,419,62,323,139111,42538,12529,33359,16213,34472,83182,31062,6653,14560,5837,25070,3228713,1075406,250148,577303,419710,906146,391343,126928,33358,85386,42624,103047
40,NY,36,,,,,040C0US36,New York -- In metropolitan statistical area,14356561,6833533,913923,19694,107717,255401,358050,51403,111638,10020,1322509,56048,96332,296787,238882,103648,364508,166304,1146111,69709,84648,283984,185037,94900,252032,175801,2336980,143568,178989,656790,397067,189834,437911,332821,1114010,123551,101924,311882,161079,58224,166147,191203,7523028,904450,12322,81859,207611,375090,60246,148269,19053,1349040,41903,79590,226826,213538,120154,412979,254050,1199752,60215,78079,234552,180094,124919,277610,244283,2534524,152606,169449,663591,420059,272121,461064,395634,1535262,198927,148930,545640,204630,83543,169750,183842,12538188,5919610,112008,51606,115509,113753,94882,107392,116333,143286,1549443,271498,710567,446606,1220598,557977,201189,106963,6618578,134640,66814,125225,126972,97421,107408,128145,143074,1670609,291337,726984,600737,1321403,834623,159629,83557,12538188,246648,2455,3529,9483,21256,41796,39901,71476,169258,65851,174874,192303,214800,244478,286360,2761055,458997,562835,1437551,1047343,2542001,1392600,360818,190520,8135637,3905155,379268,986576,963720,1575591,4230482,388253,1080326,1039961,1721942,1974150,863821,154059,287046,250104,172612,1110329,185349,314987,332579,277414,41565,20042,6503,5646,4766,3127,21523,5311,5980,6299,3933,1113295,519724,105753,91127,80358,242486,593571,136072,104540,85825,267134,4832,2317,399,706,446,766,2515,462,634,840,579,1012822,487377,182660,149256,98842,56619,525445,186842,138811,117973,81819,255887,121174,26127,29086,30435,35526,134713,27410,25331,35581,46391,7167899,3435836,243226,851310,858691,1482609,3732063,250679,953842,921635,1605907,2189387,1051571,350103,307118,229335,165015,1137816,357781,287439,268623,223973,4485939,2086727,750172,302036,38627,174593,29587,205329,979205,409288,54635,230585,51566,233131,357350,158879,19098,66369,34879,78125,2399212,937518,289493,90823,165453,100937,290812,1108102,298174,142195,197937,175023,294773,353592,78492,42214,24751,110083,98052,4817642,214758,220884,149410,272120,500748,274037,34409,414847,891638,525850,294678,279436,327729,204184,212914,4485939,1536362,387592,859688,502075,1200222,3297533,1101733,253707,603430,409594,929069,450026,138713,56262,96209,45867,112975,7060,2437,506,954,889,2274,509620,220267,57942,111070,23864,96477,1345,409,147,418,48,323,138438,42216,12475,33261,16155,34331,81917,30587,6553,14346,5658,24773,3088516,1031643,236666,559201,387903,873103,388988,126067,33195,84981,42247,102498
40,NY,36,,,,,040C1US36,New York -- In metropolitan statistical area -- in principal city,7679800,3602379,496948,12405,67418,132286,191253,23171,64182,6233,830413,36904,67534,172424,138199,54685,247083,113584,641008,47553,56554,160293,95859,44486,138528,97735,1121662,107027,118201,317590,175899,72793,187841,142311,512348,89892,58595,136404,62603,20306,67284,77264,4077421,513874,8073,53564,112979,209464,30459,88350,10985,876319,28497,59945,143395,133270,65731,285269,160212,678253,44299,58303,141981,97912,60501,153198,122059,1258820,120421,123380,339443,197172,103861,206583,167960,750155,149607,84957,231822,84902,34003,80804,84060,6668978,3105431,80504,36594,85467,78811,65648,67970,73241,94025,786711,115723,356837,192270,640736,278401,100647,51846,3563547,101641,50919,97341,92923,72138,72294,84958,97195,856641,129849,383407,264096,725854,397728,91602,44961,6668978,182145,1605,2672,6575,15550,31395,29716,54499,128309,47046,124688,137786,140264,158199,191220,1382591,260761,245572,740244,456366,1366590,676129,192249,96807,3219615,1551546,193724,343775,312709,701338,1668069,208210,374499,325236,760124,1572525,675047,128011,226203,190548,130285,897478,159736,260966,264040,212736,25822,12423,4740,3125,2791,1767,13399,3879,3677,3792,2051,872972,408759,96297,78794,63494,170174,464213,122103,87103,66497,188510,3237,1618,299,516,263,540,1619,368,409,548,294,805581,378453,142221,116107,76397,43728,427128,155692,113066,94482,63888,169226,77585,16968,18191,18628,23798,91641,19421,16921,22757,32542,2569615,1239849,97510,253593,246885,641861,1329766,105448,287722,249094,687502,1614752,759565,261207,222176,161243,114939,855187,285172,217138,196282,156595,2331775,1071630,489288,198768,23981,112325,12269,141945,437794,177547,24604,90717,18726,126200,144548,63889,7066,24317,10714,38562,1260145,596627,188111,50774,108422,42630,206690,498654,137197,57675,86856,63427,153499,164864,41500,17894,12703,39824,52943,2514099,117278,101316,70126,137604,299594,133321,18939,193967,452816,196708,177440,161442,229685,121128,102735,2331775,807012,181994,435340,187590,719839,1461462,498868,91587,243081,120456,507470,343021,105246,40623,72236,35018,89898,3818,1405,210,327,503,1373,358684,148296,35994,84112,15971,74311,834,231,63,251,17,272,107616,32389,9426,25565,12305,27931,56340,20577,4091,9768,3320,18584,1329363,454240,81731,216202,108232,468958,271534,87934,21891,57705,27603,76401
40,NY,36,,,,,040C2US36,New York -- In metropolitan statistical area -- not in principal city,6676761,3231154,416975,7289,40299,123115,166797,28232,47456,3787,492096,19144,28798,124363,100683,48963,117425,52720,505103,22156,28094,123691,89178,50414,113504,78066,1215318,36541,60788,339200,221168,117041,250070,190510,601662,33659,43329,175478,98476,37918,98863,113939,3445607,390576,4249,28295,94632,165626,29787,59919,8068,472721,13406,19645,83431,80268,54423,127710,93838,521499,15916,19776,92571,82182,64418,124412,122224,1275704,32185,46069,324148,222887,168260,254481,227674,785107,49320,63973,313818,119728,49540,88946,99782,5869210,2814179,31504,15012,30042,34942,29234,39422,43092,49261,762732,155775,353730,254336,579862,279576,100542,55117,3055031,32999,15895,27884,34049,25283,35114,43187,45879,813968,161488,343577,336641,595549,436895,68027,38596,5869210,64503,850,857,2908,5706,10401,10185,16977,40949,18805,50186,54517,74536,86279,95140,1378464,198236,317263,697307,590977,1175411,716471,168569,93713,4916022,2353609,185544,642801,651011,874253,2562413,180043,705827,714725,961818,401625,188774,26048,60843,59556,42327,212851,25613,54021,68539,64678,15743,7619,1763,2521,1975,1360,8124,1432,2303,2507,1882,240323,110965,9456,12333,16864,72312,129358,13969,17437,19328,78624,1595,699,100,190,183,226,896,94,225,292,285,207241,108924,40439,33149,22445,12891,98317,31150,25745,23491,17931,86661,43589,9159,10895,11807,11728,43072,7989,8410,12824,13849,4598284,2195987,145716,597717,611806,840748,2402297,145231,666120,672541,918405,574635,292006,88896,84942,68092,50076,282629,72609,70301,72341,67378,2154164,1015097,260884,103268,14646,62268,17318,63384,541411,231741,30031,139868,32840,106931,212802,94990,12032,42052,24165,39563,1139067,340891,101382,40049,57031,58307,84122,609448,160977,84520,111081,111596,141274,188728,36992,24320,12048,70259,45109,2303543,97480,119568,79284,134516,201154,140716,15470,220880,438822,329142,117238,117994,98044,83056,110179,2154164,729350,205598,424348,314485,480383,1836071,602865,162120,360349,289138,421599,107005,33467,15639,23973,10849,23077,3242,1032,296,627,386,901,150936,71971,21948,26958,7893,22166,511,178,84,167,31,51,30822,9827,3049,7696,3850,6400,25577,10010,2462,4578,2338,6189,1759153,577403,154935,342999,279671,404145,117454,38133,11304,27276,14644,26097
40,NY,36,,,,,040E0US36,New York -- In micropolitan statistical area,796075,398005,56787,1477,7583,18198,22158,4158,2931,282,61990,2414,6742,21639,12909,6769,8117,3400,57506,1929,5355,20791,11266,7050,6503,4612,144535,4986,11478,58573,25623,16615,15240,12020,77187,5799,8553,27908,11880,5675,8013,9359,398070,53498,1060,5214,13420,25255,3976,4220,353,54202,1392,3372,13173,12075,8064,9291,6835,54410,1237,2983,13590,10730,9832,8062,7976,142168,3033,8052,48177,26043,23631,17177,16055,93792,5013,9515,40565,15154,6945,8609,7991,685790,341218,3866,1216,1746,8300,6548,10027,9718,5835,128911,21988,39690,36109,37873,20225,5085,4081,344572,3257,640,884,5894,4239,7640,7345,4698,115505,22414,41588,48472,43139,33217,3484,2156,685790,7123,38,112,95,375,601,635,754,1876,2372,11822,10787,17667,17063,10533,201660,42756,44402,81278,84581,81012,53442,8569,6237,642178,314048,39266,119838,91210,63734,328130,31682,111080,107311,78057,17785,13514,4417,5396,2846,855,4271,850,1278,1338,805,5689,2724,511,975,957,281,2965,303,855,1357,450,5942,2555,376,306,418,1455,3387,584,564,596,1643,235,66,18,9,4,35,169,13,131,18,7,7181,4697,2127,1215,1042,313,2484,846,575,703,360,6780,3614,541,1172,1310,591,3166,319,1022,1151,674,631467,308205,37368,117952,89813,63072,323262,30516,109583,106038,77125,19540,11528,4525,3334,2668,1001,8012,2108,2278,2272,1354,149260,67264,16792,6778,1004,2322,1938,4750,33100,13429,2211,5997,4120,7343,17372,7027,1024,2208,3534,3579,81996,23432,7066,2503,2686,5013,6164,41964,10560,5148,5467,11236,9553,16600,2750,2407,633,6955,3855,161298,5194,10797,5278,10232,12320,7546,780,15378,20121,34358,8574,9218,7266,4112,10124,149260,47610,14297,19313,32796,35244,141791,44321,13585,18329,32110,33446,1660,610,154,191,173,532,731,285,63,87,86,210,3098,1570,341,393,176,618,42,27,0,1,14,0,673,322,54,98,58,141,1265,475,100,214,179,297,140197,43763,13482,18102,31807,33043,2355,861,163,405,377,549
40,NY,36,,,,,040E1US36,New York -- In micropolitan statistical area -- in principal city,197207,94453,18138,193,2330,4585,8539,1418,960,113,17236,502,2076,4899,4312,1687,2692,1068,14150,423,1569,4691,2933,1658,1591,1285,29679,1337,2517,10443,5670,3377,3365,2970,15250,1149,1703,5257,2566,1098,1576,1901,102754,20779,155,2003,4299,11560,1173,1477,112,15844,257,1075,3701,3747,2115,2879,2070,13620,223,1219,2933,3113,2186,2059,1887,30511,909,2109,9822,5316,4957,4006,3392,22000,1307,2299,9436,3792,1567,1891,1708,158290,76315,1084,393,592,1342,1553,2790,2108,1414,25290,5222,10259,7820,9224,4959,1140,1125,81975,845,345,269,1237,1301,2192,1888,1321,25892,5686,10282,10825,10835,7784,763,510,158290,1929,13,49,15,132,292,237,221,640,693,1886,2854,4982,3996,2735,41029,10153,10908,20541,18645,20059,12743,1903,1635,142891,67212,8529,22613,20798,15272,75679,8063,24163,24755,18698,7144,4728,1541,1592,1167,428,2416,480,766,818,352,666,332,26,124,167,15,334,54,102,97,81,1942,877,151,164,167,395,1065,216,210,178,461,47,29,8,0,0,21,18,6,0,5,7,3428,1831,814,445,479,93,1597,509,416,504,168,2172,1306,207,352,523,224,866,70,235,436,125,138107,64821,7434,21902,20397,15088,73286,7322,23383,24150,18431,8942,4552,2082,1255,943,272,4390,1317,1360,1263,450,36340,16448,5247,1745,302,772,760,1668,7724,3015,430,1411,1091,1777,3477,1262,224,520,719,752,19892,6768,1744,699,666,1725,1934,9525,2385,1133,1230,2558,2219,3599,602,550,212,1413,822,39641,1234,1843,1199,2634,3403,1468,181,3682,5022,8527,2328,2382,1785,1240,2713,36340,10753,3338,4811,8266,9172,33970,9708,3174,4466,8076,8546,780,254,76,110,71,269,96,70,0,10,0,16,856,388,65,135,34,234,28,21,0,0,7,0,261,109,10,43,43,56,349,203,13,47,35,51,33519,9507,3122,4433,7975,8482,722,285,62,98,165,112
40,NY,36,,,,,040E2US36,New York -- In micropolitan statistical area -- not in principal city,598868,303552,38649,1284,5253,13613,13619,2740,1971,169,44754,1912,4666,16740,8597,5082,5425,2332,43356,1506,3786,16100,8333,5392,4912,3327,114856,3649,8961,48130,19953,13238,11875,9050,61937,4650,6850,22651,9314,4577,6437,7458,295316,32719,905,3211,9121,13695,2803,2743,241,38358,1135,2297,9472,8328,5949,6412,4765,40790,1014,1764,10657,7617,7646,6003,6089,111657,2124,5943,38355,20727,18674,13171,12663,71792,3706,7216,31129,11362,5378,6718,6283,527500,264903,2782,823,1154,6958,4995,7237,7610,4421,103621,16766,29431,28289,28649,15266,3945,2956,262597,2412,295,615,4657,2938,5448,5457,3377,89613,16728,31306,37647,32304,25433,2721,1646,527500,5194,25,63,80,243,309,398,533,1236,1679,9936,7933,12685,13067,7798,160631,32603,33494,60737,65936,60953,40699,6666,4602,499287,246836,30737,97225,70412,48462,252451,23619,86917,82556,59359,10641,8786,2876,3804,1679,427,1855,370,512,520,453,5023,2392,485,851,790,266,2631,249,753,1260,369,4000,1678,225,142,251,1060,2322,368,354,418,1182,188,37,10,9,4,14,151,7,131,13,0,3753,2866,1313,770,563,220,887,337,159,199,192,4608,2308,334,820,787,367,2300,249,787,715,549,493360,243384,29934,96050,69416,47984,249976,23194,86200,81888,58694,10598,6976,2443,2079,1725,729,3622,791,918,1009,904,112920,50816,11545,5033,702,1550,1178,3082,25376,10414,1781,4586,3029,5566,13895,5765,800,1688,2815,2827,62104,16664,5322,1804,2020,3288,4230,32439,8175,4015,4237,8678,7334,13001,2148,1857,421,5542,3033,121657,3960,8954,4079,7598,8917,6078,599,11696,15099,25831,6246,6836,5481,2872,7411,112920,36857,10959,14502,24530,26072,107821,34613,10411,13863,24034,24900,880,356,78,81,102,263,635,215,63,77,86,194,2242,1182,276,258,142,384,14,6,0,1,7,0,412,213,44,55,15,85,916,272,87,167,144,246,106678,34256,10360,13669,23832,24561,1633,576,101,307,212,437
