SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B15001_001,B15001_002,B15001_003,B15001_004,B15001_005,B15001_006,B15001_007,B15001_008,B15001_009,B15001_010,B15001_011,B15001_012,B15001_013,B15001_014,B15001_015,B15001_016,B15001_017,B15001_018,B15001_019,B15001_020,B15001_021,B15001_022,B15001_023,B15001_024,B15001_025,B15001_026,B15001_027,B15001_028,B15001_029,B15001_030,B15001_031,B15001_032,B15001_033,B15001_034,B15001_035,B15001_036,B15001_037,B15001_038,B15001_039,B15001_040,B15001_041,B15001_042,B15001_043,B15001_044,B15001_045,B15001_046,B15001_047,B15001_048,B15001_049,B15001_050,B15001_051,B15001_052,B15001_053,B15001_054,B15001_055,B15001_056,B15001_057,B15001_058,B15001_059,B15001_060,B15001_061,B15001_062,B15001_063,B15001_064,B15001_065,B15001_066,B15001_067,B15001_068,B15001_069,B15001_070,B15001_071,B15001_072,B15001_073,B15001_074,B15001_075,B15001_076,B15001_077,B15001_078,B15001_079,B15001_080,B15001_081,B15001_082,B15001_083,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_013,B15003_014,B15003_015,B15003_016,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,C15002F_001,C15002F_002,C15002F_003,C15002F_004,C15002F_005,C15002F_006,C15002F_007,C15002F_008,C15002F_009,C15002F_010,C15002F_011,C15002G_001,C15002G_002,C15002G_003,C15002G_004,C15002G_005,C15002G_006,C15002G_007,C15002G_008,C15002G_009,C15002G_010,C15002G_011,C15002H_001,C15002H_002,C15002H_003,C15002H_004,C15002H_005,C15002H_006,C15002H_007,C15002H_008,C15002H_009,C15002H_010,C15002H_011,C15002I_001,C15002I_002,C15002I_003,C15002I_004,C15002I_005,C15002I_006,C15002I_007,C15002I_008,C15002I_009,C15002I_010,C15002I_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010,B15012_011,B15012_012,B15012_013,B15012_014,B15012_015,B15012_016,C15010_001,C15010_002,C15010_003,C15010_004,C15010_005,C15010_006,C15010A_001,C15010A_002,C15010A_003,C15010A_004,C15010A_005,C15010A_006,C15010B_001,C15010B_002,C15010B_003,C15010B_004,C15010B_005,C15010B_006,C15010C_001,C15010C_002,C15010C_003,C15010C_004,C15010C_005,C15010C_006,C15010D_001,C15010D_002,C15010D_003,C15010D_004,C15010D_005,C15010D_006,C15010E_001,C15010E_002,C15010E_003,C15010E_004,C15010E_005,C15010E_006,C15010F_001,C15010F_002,C15010F_003,C15010F_004,C15010F_005,C15010F_006,C15010G_001,C15010G_002,C15010G_003,C15010G_004,C15010G_005,C15010G_006,C15010H_001,C15010H_002,C15010H_003,C15010H_004,C15010H_005,C15010H_006,C15010I_001,C15010I_002,C15010I_003,C15010I_004,C15010I_005,C15010I_006
40,OH,39,,,,,04000US39,Ohio,8947081,4323093,559376,9804,77273,197629,211634,19324,41164,2548,736708,17824,55093,220750,173235,57980,152929,58897,698368,16848,50441,224109,150930,54931,128733,72376,1550906,35670,112503,577461,308107,116361,246918,153886,777735,47006,80993,282321,142763,32974,102508,89170,4623988,539659,7820,58451,151143,237087,22818,57304,5036,732540,14340,41582,157867,173589,83840,174113,87209,707864,13517,36053,171994,153541,89344,148768,94647,1625323,31604,99990,560252,338903,175855,258907,159812,1018602,56161,115530,459386,175898,47625,98119,65883,7848046,3763717,34065,8636,14198,60449,51026,82512,98461,67031,1304641,252827,522208,262246,631088,246704,76630,50995,4084329,34483,8194,13302,59643,47726,83301,101898,60230,1349499,285415,556516,396664,679907,324594,49494,33463,7848046,68548,990,1050,1014,2628,6053,5095,7433,20067,19330,100762,98752,165813,200359,127261,2352099,302041,538242,1078724,658910,1310995,571298,126124,84458,6652740,3205721,322016,1127032,871586,885087,3447019,313550,1178431,1013688,941350,871629,399476,68338,142518,131346,57274,472153,69456,137011,182287,83399,15256,7897,1531,2730,2513,1123,7359,1166,2206,2708,1279,149939,70630,7766,7561,8266,47037,79309,11289,12466,11481,44073,2083,950,160,353,232,205,1133,186,282,378,287,54173,29694,10072,9752,6317,3553,24479,6635,6637,7150,4057,102226,49349,6495,14695,17021,11138,52877,6495,12466,20903,13013,6521185,3139222,304139,1106399,856173,872511,3381963,299302,1159944,995725,926992,202895,104398,30286,33261,24330,16521,98497,22920,27535,28353,19689,2092875,1005417,308167,126923,19488,74153,18687,68916,505572,199774,32301,141439,40644,91414,191678,75964,11747,45621,29709,28637,1087458,381469,102281,56237,69094,61134,92723,541987,112979,85684,108907,117637,116780,164002,22838,21731,11455,76205,31773,2244136,85035,125308,74232,94726,142468,165001,12676,243210,466896,357346,82503,100824,79284,94621,120006,2092875,640759,227188,450669,344016,430243,1826437,535226,200230,393703,319397,377881,140673,39815,15192,35540,16948,33178,2402,808,191,526,458,419,91110,53403,8495,14207,4042,10963,492,197,51,112,35,97,7610,2629,608,1769,746,1858,24151,8681,2421,4812,2390,5847,1799503,524663,197644,388157,317010,372029,36210,13203,3333,7657,3597,8420
40,OH,39,,,,,04001US39,Ohio -- Urban,6993944,3340683,456320,5433,62175,153058,182262,14570,36553,2269,609138,11865,46355,168809,145778,45453,136311,54567,547248,11498,40535,161972,119792,41658,108718,63075,1152243,25344,83918,390693,233638,86291,201797,130562,575734,33189,57475,191343,110161,24978,83922,74666,3653261,448341,3491,47498,120923,204788,17680,49481,4480,610557,9092,36244,126583,145010,65431,151183,77014,559317,9614,30117,127563,122682,67125,122792,79424,1236650,23549,77356,398497,264554,130987,210943,130764,798396,43874,90642,345310,143178,38339,81528,55525,6089283,2884363,26927,7226,11945,35798,38562,62212,76586,50923,912817,192971,416398,198380,530748,210527,67494,44849,3204920,28750,7274,11499,38606,38466,65181,81881,48831,997953,223746,451678,301882,566446,269693,43393,29641,6089283,55677,752,825,944,2330,5209,4440,6413,17031,15087,59317,77028,127393,158467,99754,1675824,234946,416717,868076,500262,1097194,480220,110887,74490,4938520,2350231,220389,742778,648909,738155,2588289,228071,833098,759248,767872,857279,390884,66478,140022,128585,55799,466395,68813,135079,180500,82003,12375,6318,1192,2129,2091,906,6057,953,1764,2236,1104,143356,68022,7516,7334,7831,45341,75334,10686,11512,10707,42429,1728,738,144,301,126,167,990,183,280,290,237,48797,26497,9047,8668,5572,3210,22300,6125,6007,6453,3715,87228,41673,5413,11585,14635,10040,45555,5657,10213,17872,11813,4819862,2290030,203790,724397,635238,726605,2529832,214779,816814,743459,754780,183434,94388,27857,29724,21650,15157,89046,21365,24576,25165,17940,1762791,853618,274254,114151,17095,66208,14912,61888,420776,166984,25597,119288,31150,77757,158588,62729,9420,39220,22956,24263,909173,328420,90667,46051,60024,48562,83116,443700,95232,68421,90880,89919,99248,137053,20274,18025,9767,61404,27583,1892699,74768,100074,63378,83057,126904,141273,11129,197949,399490,279810,74055,86491,69169,84094,101058,1762791,550037,184609,385387,268903,373855,1506027,448241,158772,330364,245357,323293,137802,38952,14896,34945,16714,32295,2010,662,186,453,349,360,87770,51740,8021,13549,3828,10632,404,161,47,84,15,97,6925,2440,513,1600,659,1713,21853,7841,2174,4392,1981,5465,1481385,438500,156464,325268,243245,317908,33097,12112,2988,7071,3165,7761
40,OH,39,,,,,04043US39,Ohio -- Rural,1953137,982410,103056,4371,15098,44571,29372,4754,4611,279,127570,5959,8738,51941,27457,12527,16618,4330,151120,5350,9906,62137,31138,13273,20015,9301,398663,10326,28585,186768,74469,30070,45121,23324,202001,13817,23518,90978,32602,7996,18586,14504,970727,91318,4329,10953,30220,32299,5138,7823,556,121983,5248,5338,31284,28579,18409,22930,10195,148547,3903,5936,44431,30859,22219,25976,15223,388673,8055,22634,161755,74349,44868,47964,29048,220206,12287,24888,114076,32720,9286,16591,10358,1758763,879354,7138,1410,2253,24651,12464,20300,21875,16108,391824,59856,105810,63866,100340,36177,9136,6146,879409,5733,920,1803,21037,9260,18120,20017,11399,351546,61669,104838,94782,113461,54901,6101,3822,1758763,12871,238,225,70,298,844,655,1020,3036,4243,41445,21724,38420,41892,27507,676275,67095,121525,210648,158648,213801,91078,15237,9968,1714220,855490,101627,384254,222677,146932,858730,85479,345333,254440,173478,14350,8592,1860,2496,2761,1475,5758,643,1932,1787,1396,2881,1579,339,601,422,217,1302,213,442,472,175,6583,2608,250,227,435,1696,3975,603,954,774,1644,355,212,16,52,106,38,143,3,2,88,50,5376,3197,1025,1084,745,343,2179,510,630,697,342,14998,7676,1082,3110,2386,1098,7322,838,2253,3031,1200,1701323,849192,100349,382002,220935,145906,852131,84523,343130,252266,172212,19461,10010,2429,3537,2680,1364,9451,1555,2959,3188,1749,330084,151799,33913,12772,2393,7945,3775,7028,84796,32790,6704,22151,9494,13657,33090,13235,2327,6401,6753,4374,178285,53049,11614,10186,9070,12572,9607,98287,17747,17263,18027,27718,17532,26949,2564,3706,1688,14801,4190,351437,10267,25234,10854,11669,15564,23728,1547,45261,67406,77536,8448,14333,10115,10527,18948,330084,90722,42579,65282,75113,56388,320410,86985,41458,63339,74040,54588,2871,863,296,595,234,883,392,146,5,73,109,59,3340,1663,474,658,214,331,88,36,4,28,20,0,685,189,95,169,87,145,2298,840,247,420,409,382,318118,86163,41180,62889,73765,54121,3113,1091,345,586,432,659
40,OH,39,,,,,040A0US39,Ohio -- In metropolitan or micropolitan statistical area,8603949,4152847,539438,8347,74186,189005,206388,18551,40466,2495,711023,15991,52486,209740,167881,55950,150689,58286,671490,15125,48224,211964,145584,52885,126378,71330,1488136,32267,106749,545487,297590,111789,242576,151678,742760,43439,76587,266004,137841,31608,100017,87264,4451102,521179,6419,55994,144779,231035,21834,56161,4957,708050,12549,40071,150650,167782,80575,170699,85724,681446,12132,34462,163469,148168,85012,145580,92623,1563372,29142,94830,533360,327284,168395,254169,156192,977055,52739,110443,437323,170112,45911,96112,64415,7543332,3613409,32208,8253,13516,52845,48136,78187,93318,64405,1233195,243205,505691,252232,619660,242376,75673,50509,3929923,33229,7895,12789,52649,45402,79049,97310,58045,1284802,274444,538902,379893,666560,317182,48853,32919,7543332,65437,967,999,950,2524,5779,4929,7144,19161,18336,87158,93538,157236,190628,122450,2229741,288256,517649,1044593,632125,1286220,559558,124526,83428,6357531,3060910,298090,1057818,836646,868356,3296621,291995,1115206,969515,919905,868640,397351,67618,141699,130876,57158,471289,69289,136560,182108,83332,14692,7532,1477,2516,2432,1107,7160,1125,2158,2628,1249,148916,70226,7681,7434,8218,46893,78690,11179,12235,11376,43900,2034,921,160,353,203,205,1113,186,282,367,278,52269,28527,9683,9272,6073,3499,23742,6389,6331,7007,4015,99250,47942,6159,14103,16680,11000,51308,6205,12030,20238,12835,6228526,2995683,280558,1037690,821515,855920,3232843,278038,1097245,951853,905707,198131,101841,29535,32229,23754,16323,96290,22350,26669,27827,19444,2053732,988218,303736,125745,19090,73197,17892,67812,497201,196880,31728,139339,39132,90122,187281,74378,11405,44815,28537,28146,1065514,374049,100635,54747,68015,59146,91506,530938,111524,83556,107329,113434,115095,160527,22548,21230,11329,74249,31171,2202713,84065,122546,73346,93446,140722,162823,12520,237601,460092,345342,81619,99164,78305,93751,117371,2053732,631710,221756,444024,332390,423852,1788261,526481,194907,387235,307974,371664,140490,39768,15185,35505,16882,33150,2356,802,183,496,458,417,90793,53265,8457,14162,3989,10920,483,197,47,112,30,97,7514,2591,598,1756,725,1844,23835,8606,2379,4758,2332,5760,1761627,516071,192342,381737,305617,365860,35767,12968,3308,7596,3540,8355
40,OH,39,,,,,040C0US39,Ohio -- In metropolitan statistical area,7120608,3422907,446555,5921,61258,152367,173289,14992,36396,2332,598403,12058,42409,164961,142661,46211,136270,53833,556150,11701,39690,163319,120092,43599,112878,64871,1221953,25093,84921,417790,248556,92284,216185,137124,599846,33870,59475,201629,114903,26123,87428,76418,3697701,433734,4358,47049,115865,193826,17523,50623,4490,601507,9619,33668,121163,141235,65492,152848,77482,570275,9215,28904,127582,123417,68139,129661,83357,1295370,23460,75876,416691,276412,137622,227131,138178,796815,43247,87888,343276,144105,38075,83238,56986,6240319,2976352,26539,7094,10951,38138,38973,61683,74014,51825,947699,198534,427678,208217,552761,217230,69531,45485,3263967,28100,6911,11065,39465,37119,63283,78102,47832,1008712,228796,456373,309328,592878,280411,45530,30062,6240319,54639,866,839,812,2239,4907,4342,6056,15960,15026,62577,76092,124966,152116,99657,1727861,228550,427330,884051,517545,1145639,497641,115061,75547,5114971,2458244,223832,784394,679636,770382,2656727,222056,847614,779124,807933,840475,379676,63603,135072,125429,55572,460799,67415,132548,178753,82083,12033,6089,1137,2036,1969,947,5944,985,1783,2225,951,141354,67053,7300,7086,7723,44944,74301,10551,11154,10539,42057,1752,757,160,262,169,166,995,131,249,352,263,44403,23867,8155,7510,5177,3025,20536,5528,5359,6036,3613,85331,40666,5030,11339,14326,9971,44665,5211,10005,17468,11981,5001178,2401069,208565,767283,666381,758840,2600109,209596,832034,764011,794468,173464,88415,25467,27144,20751,15053,85049,19812,23028,24002,18207,1833888,885007,275705,115034,17160,67145,14675,61691,445456,178489,27692,126527,32103,80645,163846,65708,9817,40230,23198,24893,948881,335281,92156,48667,61277,50198,82983,473376,102445,74018,97096,95125,104692,140224,20636,18494,10277,62688,28129,1966824,77868,107044,66727,84734,129717,148698,11481,209918,417172,288797,74394,88034,71273,86517,104450,1833888,574468,195848,402552,277987,383033,1578315,473195,169841,347828,254582,332869,137655,39055,14981,34792,16546,32281,1898,641,172,413,308,364,87001,51221,7990,13507,3808,10475,429,164,47,112,15,91,6638,2303,560,1470,638,1667,21952,7889,2257,4430,2090,5286,1553308,463347,167404,342605,252437,327515,33260,12117,3164,7080,3211,7688
40,OH,39,,,,,040C1US39,Ohio -- In metropolitan statistical area -- in principal city,2015552,963916,156517,2390,23147,48064,64442,4153,13272,1049,214543,5436,20412,55709,52424,13100,47964,19498,155178,5329,17074,47498,35392,11643,24646,13596,307190,10943,34210,112027,65756,21763,40026,22465,130488,10267,17715,43298,24402,5678,15764,13364,1051636,156297,1588,18737,40041,70615,5594,17835,1887,219522,4578,18077,46260,53399,20477,51418,25313,157812,4202,13782,39353,37532,17704,28092,17147,328265,10655,31601,106447,78084,31878,43859,25741,189740,14828,27347,75143,34224,8568,16975,12655,1702738,807399,11066,3381,5191,12337,16041,24590,30760,18020,258532,51526,126448,52184,128400,44460,13991,10472,895339,12807,3212,4829,13415,14862,24928,33506,17511,267203,62134,141105,78627,140344,62029,11241,7586,1702738,23873,273,199,339,1044,2692,2046,2623,7397,5721,20031,30903,49518,64266,35531,446313,79422,113660,267553,130811,268744,106489,25232,18058,1073164,519916,64179,158362,143943,153432,553248,63673,167835,157907,163833,519184,232898,45071,87340,74355,26132,286286,50162,87514,109221,39389,5072,2514,628,983,638,265,2558,593,773,821,371,45680,22378,3930,3104,2688,12656,23302,4939,3594,3040,11729,544,311,83,117,10,101,233,25,61,81,66,23629,12785,5195,4176,2217,1197,10844,3367,3021,2901,1555,35465,16597,2300,4450,6307,3540,18868,2311,4405,7895,4257,1025965,495337,56359,150553,138898,149527,530628,57034,161292,152351,159951,79115,41440,14079,13261,8633,5467,37675,11058,10744,10054,5819,418523,197323,87817,37928,4939,19398,3566,21986,80378,29431,4456,20519,6674,19298,29128,10624,1743,6840,3901,6020,221200,100773,31045,11914,17829,11508,28477,90797,20439,11599,18601,15987,24171,29630,4896,3956,2289,11414,7075,452466,17828,25683,14244,22403,36281,27519,3710,41730,88761,55324,21847,23181,22267,23044,28644,418523,134363,38607,85476,53050,107027,317265,98063,29310,62655,42958,84279,65521,18500,6662,16374,8251,15734,636,216,57,120,86,157,24385,14351,1884,3771,868,3511,167,55,34,13,5,60,2752,714,165,656,235,982,7797,2464,495,1887,647,2304,309478,94818,28834,61038,42328,82460,11286,4130,694,2479,986,2997
40,OH,39,,,,,040C2US39,Ohio -- In metropolitan statistical area -- not in principal city,5105056,2458991,290038,3531,38111,104303,108847,10839,23124,1283,383860,6622,21997,109252,90237,33111,88306,34335,400972,6372,22616,115821,84700,31956,88232,51275,914763,14150,50711,305763,182800,70521,176159,114659,469358,23603,41760,158331,90501,20445,71664,63054,2646065,277437,2770,28312,75824,123211,11929,32788,2603,381985,5041,15591,74903,87836,45015,101430,52169,412463,5013,15122,88229,85885,50435,101569,66210,967105,12805,44275,310244,198328,105744,183272,112437,607075,28419,60541,268133,109881,29507,66263,44331,4537581,2168953,15473,3713,5760,25801,22932,37093,43254,33805,689167,147008,301230,156033,424361,172770,55540,35013,2368628,15293,3699,6236,26050,22257,38355,44596,30321,741509,166662,315268,230701,452534,218382,34289,22476,4537581,30766,593,640,473,1195,2215,2296,3433,8563,9305,42546,45189,75448,87850,64126,1281548,149128,313670,616498,386734,876895,391152,89829,57489,4041807,1938328,159653,626032,535693,616950,2103479,158383,679779,621217,644100,321291,146778,18532,47732,51074,29440,174513,17253,45034,69532,42694,6961,3575,509,1053,1331,682,3386,392,1010,1404,580,95674,44675,3370,3982,5035,32288,50999,5612,7560,7499,30328,1208,446,77,145,159,65,762,106,188,271,197,20774,11082,2960,3334,2960,1828,9692,2161,2338,3135,2058,49866,24069,2730,6889,8019,6431,25797,2900,5600,9573,7724,3975213,1905732,152206,616730,527483,609313,2069481,152562,670742,611660,634517,94349,46975,11388,13883,12118,9586,47374,8754,12284,13948,12388,1415365,687684,187888,77106,12221,47747,11109,39705,365078,149058,23236,106008,25429,61347,134718,55084,8074,33390,19297,18873,727681,234508,61111,36753,43448,38690,54506,382579,82006,62419,78495,79138,80521,110594,15740,14538,7988,51274,21054,1514358,60040,81361,52483,62331,93436,121179,7771,168188,328411,233473,52547,64853,49006,63473,75806,1415365,440105,157241,317076,224937,276006,1261050,375132,140531,285173,211624,248590,72134,20555,8319,18418,8295,16547,1262,425,115,293,222,207,62616,36870,6106,9736,2940,6964,262,109,13,99,10,31,3886,1589,395,814,403,685,14155,5425,1762,2543,1443,2982,1243830,368529,138570,281567,210109,245055,21974,7987,2470,4601,2225,4691
40,OH,39,,,,,040E0US39,Ohio -- In micropolitan statistical area,1483341,729940,92883,2426,12928,36638,33099,3559,4070,163,112620,3933,10077,44779,25220,9739,14419,4453,115340,3424,8534,48645,25492,9286,13500,6459,266183,7174,21828,127697,49034,19505,26391,14554,142914,9569,17112,64375,22938,5485,12589,10846,753401,87445,2061,8945,28914,37209,4311,5538,467,106543,2930,6403,29487,26547,15083,17851,8242,111171,2917,5558,35887,24751,16873,15919,9266,268002,5682,18954,116669,50872,30773,27038,18014,180240,9492,22555,94047,26007,7836,12874,7429,1303013,637057,5669,1159,2565,14707,9163,16504,19304,12580,285496,44671,78013,44015,66899,25146,6142,5024,665956,5129,984,1724,13184,8283,15766,19208,10213,276090,45648,82529,70565,73682,36771,3323,2857,1303013,10798,101,160,138,285,872,587,1088,3201,3310,24581,17446,32270,38512,22793,501880,59706,90319,160542,114580,140581,61917,9465,7881,1242560,602666,74258,273424,157010,97974,639894,69939,267592,190391,111972,28165,17675,4015,6627,5447,1586,10490,1874,4012,3355,1249,2659,1443,340,480,463,160,1216,140,375,403,298,7562,3173,381,348,495,1949,4389,628,1081,837,1843,282,164,0,91,34,39,118,55,33,15,15,7866,4660,1528,1762,896,474,3206,861,972,971,402,13919,7276,1129,2764,2354,1029,6643,994,2025,2770,854,1227348,594614,71993,270407,155134,97080,632734,68442,265211,187842,111239,24667,13426,4068,5085,3003,1270,11241,2538,3641,3825,1237,219844,103211,28031,10711,1930,6052,3217,6121,51745,18391,4036,12812,7029,9477,23435,8670,1588,4585,5339,3253,116633,38768,8479,6080,6738,8948,8523,57562,9079,9538,10233,18309,10403,20303,1912,2736,1052,11561,3042,235889,6197,15502,6619,8712,11005,14125,1039,27683,42920,56545,7225,11130,7032,7234,12921,219844,57242,25908,41472,54403,40819,209946,53286,25066,39407,53392,38795,2835,713,204,713,336,869,458,161,11,83,150,53,3792,2044,467,655,181,445,54,33,0,0,15,6,876,288,38,286,87,177,1883,717,122,328,242,474,208319,52724,24938,39132,53180,38345,2507,851,144,516,329,667
40,OH,39,,,,,040E1US39,Ohio -- In micropolitan statistical area -- in principal city,441882,209647,36333,496,4170,11791,16791,999,2029,57,37519,867,3896,13904,8886,2369,5606,1991,31277,711,2741,12521,7517,1828,3869,2090,66628,2280,6671,29091,12091,4700,7015,4780,37890,2750,4061,15892,6388,1339,3653,3807,232235,37262,194,3104,10956,19510,1258,2030,210,35549,530,2981,10397,9358,4044,5381,2858,31414,651,2050,10253,7766,3915,4102,2677,70795,1529,5994,29236,14023,7705,7337,4971,57215,2980,7308,29129,8348,2358,4742,2350,368287,173314,1938,442,1032,3196,2599,5133,6093,3544,71408,12500,22382,10236,20143,8353,2153,2162,194973,1694,437,625,2934,3125,5134,6635,3439,79015,13389,26106,18022,21562,10651,1024,1181,368287,3632,18,61,75,111,363,251,516,1141,1084,5046,5724,10267,12728,6983,130390,20033,25889,48488,28258,41705,19004,3177,3343,337105,156420,20490,65748,40405,29777,180685,21577,74008,53092,32008,17055,9692,2150,3462,3115,965,7363,1311,2967,2347,738,888,443,73,89,190,91,445,47,157,104,137,4074,1880,235,190,151,1304,2194,252,470,339,1133,123,52,0,48,4,0,71,33,31,7,0,3861,2187,603,927,448,209,1674,436,618,547,73,5181,2640,426,944,805,465,2541,367,764,1081,329,330215,152720,19237,64524,39577,29382,177495,20679,73100,52043,31673,11532,6209,2025,2282,1355,547,5323,1426,1698,1725,474,67229,32811,10483,4180,690,1993,992,2628,14868,5320,1082,3461,1816,3189,7460,2880,473,1425,1559,1123,34418,11653,2959,1417,1895,2247,3135,15673,2454,2452,2673,4825,3269,7092,814,882,410,3932,1054,72706,1875,4505,2135,3114,4135,4572,356,7476,12315,16205,2805,4056,2630,2527,4000,67229,18607,6996,11857,15371,14398,61785,16267,6571,10828,14790,13329,1703,360,143,413,234,553,228,77,0,23,128,0,2437,1447,227,345,141,277,0,0,0,0,0,0,282,126,8,134,0,14,794,330,47,114,78,225,61055,15975,6571,10736,14658,13115,1021,407,8,209,141,256
40,OH,39,,,,,040E2US39,Ohio -- In micropolitan statistical area -- not in principal city,1041459,520293,56550,1930,8758,24847,16308,2560,2041,106,75101,3066,6181,30875,16334,7370,8813,2462,84063,2713,5793,36124,17975,7458,9631,4369,199555,4894,15157,98606,36943,14805,19376,9774,105024,6819,13051,48483,16550,4146,8936,7039,521166,50183,1867,5841,17958,17699,3053,3508,257,70994,2400,3422,19090,17189,11039,12470,5384,79757,2266,3508,25634,16985,12958,11817,6589,197207,4153,12960,87433,36849,23068,19701,13043,123025,6512,15247,64918,17659,5478,8132,5079,934726,463743,3731,717,1533,11511,6564,11371,13211,9036,214088,32171,55631,33779,46756,16793,3989,2862,470983,3435,547,1099,10250,5158,10632,12573,6774,197075,32259,56423,52543,52120,26120,2299,1676,934726,7166,83,99,63,174,509,336,572,2060,2226,19535,11722,22003,25784,15810,371490,39673,64430,112054,86322,98876,42913,6288,4538,905455,446246,53768,207676,116605,68197,459209,48362,193584,137299,79964,11110,7983,1865,3165,2332,621,3127,563,1045,1008,511,1771,1000,267,391,273,69,771,93,218,299,161,3488,1293,146,158,344,645,2195,376,611,498,710,159,112,0,43,30,39,47,22,2,8,15,4005,2473,925,835,448,265,1532,425,354,424,329,8738,4636,703,1820,1549,564,4102,627,1261,1689,525,897133,441894,52756,205883,115557,67698,455239,47763,192111,135799,79566,13135,7217,2043,2803,1648,723,5918,1112,1943,2100,763,152615,70400,17548,6531,1240,4059,2225,3493,36877,13071,2954,9351,5213,6288,15975,5790,1115,3160,3780,2130,82215,27115,5520,4663,4843,6701,5388,41889,6625,7086,7560,13484,7134,13211,1098,1854,642,7629,1988,163183,4322,10997,4484,5598,6870,9553,683,20207,30605,40340,4420,7074,4402,4707,8921,152615,38635,18912,29615,39032,26421,148161,37019,18495,28579,38602,25466,1132,353,61,300,102,316,230,84,11,60,22,53,1355,597,240,310,40,168,54,33,0,0,15,6,594,162,30,152,87,163,1089,387,75,214,164,249,147264,36749,18367,28396,38522,25230,1486,444,136,307,188,411
