SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B15001_001,B15001_002,B15001_003,B15001_004,B15001_005,B15001_006,B15001_007,B15001_008,B15001_009,B15001_010,B15001_011,B15001_012,B15001_013,B15001_014,B15001_015,B15001_016,B15001_017,B15001_018,B15001_019,B15001_020,B15001_021,B15001_022,B15001_023,B15001_024,B15001_025,B15001_026,B15001_027,B15001_028,B15001_029,B15001_030,B15001_031,B15001_032,B15001_033,B15001_034,B15001_035,B15001_036,B15001_037,B15001_038,B15001_039,B15001_040,B15001_041,B15001_042,B15001_043,B15001_044,B15001_045,B15001_046,B15001_047,B15001_048,B15001_049,B15001_050,B15001_051,B15001_052,B15001_053,B15001_054,B15001_055,B15001_056,B15001_057,B15001_058,B15001_059,B15001_060,B15001_061,B15001_062,B15001_063,B15001_064,B15001_065,B15001_066,B15001_067,B15001_068,B15001_069,B15001_070,B15001_071,B15001_072,B15001_073,B15001_074,B15001_075,B15001_076,B15001_077,B15001_078,B15001_079,B15001_080,B15001_081,B15001_082,B15001_083,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_013,B15003_014,B15003_015,B15003_016,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,C15002F_001,C15002F_002,C15002F_003,C15002F_004,C15002F_005,C15002F_006,C15002F_007,C15002F_008,C15002F_009,C15002F_010,C15002F_011,C15002G_001,C15002G_002,C15002G_003,C15002G_004,C15002G_005,C15002G_006,C15002G_007,C15002G_008,C15002G_009,C15002G_010,C15002G_011,C15002H_001,C15002H_002,C15002H_003,C15002H_004,C15002H_005,C15002H_006,C15002H_007,C15002H_008,C15002H_009,C15002H_010,C15002H_011,C15002I_001,C15002I_002,C15002I_003,C15002I_004,C15002I_005,C15002I_006,C15002I_007,C15002I_008,C15002I_009,C15002I_010,C15002I_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010,B15012_011,B15012_012,B15012_013,B15012_014,B15012_015,B15012_016,C15010_001,C15010_002,C15010_003,C15010_004,C15010_005,C15010_006,C15010A_001,C15010A_002,C15010A_003,C15010A_004,C15010A_005,C15010A_006,C15010B_001,C15010B_002,C15010B_003,C15010B_004,C15010B_005,C15010B_006,C15010C_001,C15010C_002,C15010C_003,C15010C_004,C15010C_005,C15010C_006,C15010D_001,C15010D_002,C15010D_003,C15010D_004,C15010D_005,C15010D_006,C15010E_001,C15010E_002,C15010E_003,C15010E_004,C15010E_005,C15010E_006,C15010F_001,C15010F_002,C15010F_003,C15010F_004,C15010F_005,C15010F_006,C15010G_001,C15010G_002,C15010G_003,C15010G_004,C15010G_005,C15010G_006,C15010H_001,C15010H_002,C15010H_003,C15010H_004,C15010H_005,C15010H_006,C15010I_001,C15010I_002,C15010I_003,C15010I_004,C15010I_005,C15010I_006
40,OK,40,,,,,04000US40,Oklahoma,2923264,1432903,200804,4700,30904,72521,72553,7905,11454,767,271421,9846,23851,87824,68471,19602,47163,14664,238316,10791,21887,77263,55964,16603,38487,17321,473304,20796,40853,159843,107457,32209,73158,38988,249058,16308,22602,75843,55412,12532,37275,29086,1490361,188182,2981,23672,54863,79215,10667,15599,1185,262322,7282,19491,65908,68118,24982,57310,19231,234975,8737,16150,59660,55977,24836,48176,21439,492055,16004,35271,154428,119768,42736,80863,42985,312827,18926,34095,120829,70545,14463,31386,22583,2534278,1232099,12419,6478,16063,22781,23497,27932,35607,22157,400773,85211,202093,80946,196083,63689,21185,15185,1302179,11746,5016,12130,22057,21293,29521,35220,18973,400825,99558,214850,107017,217735,84293,13010,8935,2534278,24165,234,352,993,2054,4402,3459,4889,23304,11539,33299,44790,57453,70827,41130,674234,127364,184769,416943,187963,413818,147982,34195,24120,1957535,950940,115073,304680,285209,245978,1006595,109976,312292,322498,261829,170237,82869,10543,30615,28335,13376,87368,9242,27095,33208,17823,164020,78443,13050,29435,24416,11542,85577,11696,28778,30017,15086,49665,22416,3445,4285,4457,10229,27249,5344,5621,5888,10396,2720,1298,278,563,257,200,1422,249,638,335,200,54680,30846,15259,8574,5126,1887,23834,11081,6429,4282,2042,135421,65287,9286,22621,20450,12930,70134,8368,19972,25197,16597,1846208,892325,90257,288178,274384,239506,953883,90614,297755,310464,255050,181446,97100,42572,27764,17649,9115,84346,32060,23400,18968,9918,620115,296142,90100,35353,5783,22755,4785,21424,139681,50292,9987,38647,15430,25325,66361,24518,3119,17039,12211,9474,323973,111176,29112,14931,21633,18589,26911,158828,30327,22009,33128,44225,29139,53969,6396,5076,5356,26851,10290,662667,21927,42923,22298,28170,35635,36693,4831,65870,143500,125768,18340,30851,19512,24549,41800,620115,175998,60905,138558,122091,122563,507807,140922,49043,114513,102979,100350,31199,8177,2980,7773,5002,7267,26628,6286,2936,5574,6552,5280,20625,10547,2467,3920,1254,2437,400,203,11,53,54,79,3929,1457,298,813,749,612,29527,8406,3170,5912,5501,6538,494556,136643,47721,111273,101347,97572,19033,6328,1716,4379,2614,3996
40,OK,40,,,,,04001US40,Oklahoma -- Urban,1937786,937852,148292,3444,20560,50361,57795,6106,9393,633,199032,8125,17115,57916,50495,14477,38237,12667,160305,8604,14655,47092,37275,11376,27841,13462,288484,14428,23492,84280,66018,20561,51068,28637,141739,7930,11214,37699,32462,7308,24795,20331,999934,140539,2322,15874,38349,62002,7993,12879,1120,192748,6008,13915,45210,49466,17477,44655,16017,158702,7009,11285,37032,37524,16976,33004,15872,311166,11460,21625,89296,77701,26910,54384,29790,196779,11864,19702,71692,46084,9621,22067,15749,1648955,789560,9266,4715,12741,12365,15091,16137,20793,14455,226987,54329,131921,53722,141941,46809,16723,11565,859395,9022,3964,9641,13714,13854,18155,21584,12934,243230,66672,144103,70984,154110,60090,10298,7040,1648955,18288,166,258,808,1661,3138,2648,3721,18661,7573,18506,28945,34292,42377,27389,392740,77477,121001,276024,124706,296051,106899,27021,18605,1240859,593528,69424,164542,181357,178205,647331,69388,182788,210326,184829,149940,71261,8607,25958,24851,11845,78679,8104,24280,30060,16235,82895,38812,6323,13351,12597,6541,44083,5979,13742,16152,8210,44550,20444,3057,3778,4094,9515,24106,4762,4887,5195,9262,2211,1073,257,509,161,146,1138,209,511,265,153,44399,24946,12216,6911,4145,1674,19453,9109,5174,3523,1647,84101,39496,5679,11938,12767,9112,44605,5317,11848,16238,11202,1146514,543902,47915,150882,172365,172740,602612,52256,170714,200496,179146,150936,80572,35763,22645,14395,7769,70364,27567,19152,15417,8228,448576,217038,72242,28375,4378,18769,3274,17446,99670,36298,6430,28873,8741,19328,45126,16775,1987,12534,6794,7036,231538,85546,23018,10732,16708,12549,22539,108176,21803,15048,22714,26848,21763,37816,4866,3520,3737,17721,7972,480733,16715,27783,16394,21260,28483,28974,3931,45928,106940,78492,15050,24185,15911,20296,30391,448576,131135,42095,103335,75927,96084,363034,102626,33287,84539,64047,78535,28080,7497,2703,6927,4478,6475,14751,3762,1419,3291,2872,3407,18777,9782,2302,3555,1039,2099,299,159,11,30,29,70,3321,1272,263,670,598,518,20314,6037,2110,4323,2864,4980,351886,99113,32198,81698,62687,76190,15997,5289,1418,3775,2120,3395
40,OK,40,,,,,04043US40,Oklahoma -- Rural,985478,495051,52512,1256,10344,22160,14758,1799,2061,134,72389,1721,6736,29908,17976,5125,8926,1997,78011,2187,7232,30171,18689,5227,10646,3859,184820,6368,17361,75563,41439,11648,22090,10351,107319,8378,11388,38144,22950,5224,12480,8755,490427,47643,659,7798,16514,17213,2674,2720,65,69574,1274,5576,20698,18652,7505,12655,3214,76273,1728,4865,22628,18453,7860,15172,5567,180889,4544,13646,65132,42067,15826,26479,13195,116048,7062,14393,49137,24461,4842,9319,6834,885323,442539,3153,1763,3322,10416,8406,11795,14814,7702,173786,30882,70172,27224,54142,16880,4462,3620,442784,2724,1052,2489,8343,7439,11366,13636,6039,157595,32886,70747,36033,63625,24203,2712,1895,885323,5877,68,94,185,393,1264,811,1168,4643,3966,14793,15845,23161,28450,13741,281494,49887,63768,140919,63257,117767,41083,7174,5515,716676,357412,45649,140138,103852,67773,359264,40588,129504,112172,77000,20297,11608,1936,4657,3484,1531,8689,1138,2815,3148,1588,81125,39631,6727,16084,11819,5001,41494,5717,15036,13865,6876,5115,1972,388,507,363,714,3143,582,734,693,1134,509,225,21,54,96,54,284,40,127,70,47,10281,5900,3043,1663,981,213,4381,1972,1255,759,395,51320,25791,3607,10683,7683,3818,25529,3051,8124,8959,5395,699694,348423,42342,137296,102019,66766,351271,38358,127041,109968,75904,30510,16528,6809,5119,3254,1346,13982,4493,4248,3551,1690,171539,79104,17858,6978,1405,3986,1511,3978,40011,13994,3557,9774,6689,5997,21235,7743,1132,4505,5417,2438,92435,25630,6094,4199,4925,6040,4372,50652,8524,6961,10414,17377,7376,16153,1530,1556,1619,9130,2318,181934,5212,15140,5904,6910,7152,7719,900,19942,36560,47276,3290,6666,3601,4253,11409,171539,44863,18810,35223,46164,26479,144773,38296,15756,29974,38932,21815,3119,680,277,846,524,792,11877,2524,1517,2283,3680,1873,1848,765,165,365,215,338,101,44,0,23,25,9,608,185,35,143,151,94,9213,2369,1060,1589,2637,1558,142670,37530,15523,29575,38660,21382,3036,1039,298,604,494,601
40,OK,40,,,,,040A0US40,Oklahoma -- In metropolitan or micropolitan statistical area,2509745,1226224,177299,3951,25668,62562,66463,7259,10677,719,238960,9029,19976,73337,60727,17712,44052,14127,206172,9193,18220,64009,48562,14763,35205,16220,400862,16995,32437,129384,92065,28208,65928,35845,202931,12114,17163,59308,45688,10524,32314,25820,1283521,167078,2644,19909,47397,71554,9611,14825,1138,232619,6524,16904,55963,60066,22136,52782,18244,205058,7823,13770,49520,48583,22012,43415,19935,419933,13269,28507,127765,103339,36780,71846,38427,258833,14843,26916,98517,59365,12229,27327,19636,2165368,1048925,10611,5372,13945,17403,18767,21930,28364,18735,326038,73275,173767,71207,177499,58040,20024,13948,1116443,10366,4331,10610,17152,17368,23971,28342,16416,331765,86559,184794,93157,195370,75666,12202,8374,2165368,20977,202,291,802,1813,3705,2890,4149,20406,9307,25248,36135,45901,56706,35151,553247,104556,159834,358561,164364,372869,133706,32226,22322,1674112,811289,93244,247878,246787,223380,862823,90304,258499,278811,235209,159871,76729,9228,27788,26719,12994,83142,8456,25480,31939,17267,122180,58208,9147,20684,18664,9713,63972,8137,20475,23130,12230,48275,21786,3346,4085,4359,9996,26489,5185,5427,5706,10171,2345,1109,235,489,210,175,1236,183,548,309,196,47285,26487,12810,7286,4644,1747,20798,9600,5493,3818,1887,111300,53317,7117,17828,16866,11506,57983,6691,15843,20797,14652,1571275,757292,70398,232982,236720,217192,813983,72313,245156,267759,228755,163527,87165,37813,24570,16112,8670,76362,29032,20823,17160,9347,561123,269511,84348,33046,5318,21779,4029,20176,127029,45931,8964,36091,12740,23303,58134,21599,2736,15457,9877,8465,291612,102660,27362,13660,20298,16158,25182,141989,27685,19741,30027,37498,27038,46963,5804,4324,4701,22895,9239,599897,20400,37529,20210,25771,33089,34865,4549,59346,132871,106328,17224,28219,18558,23251,37687,561123,161427,54743,128353,103197,113403,458589,128851,43951,105997,86889,92901,30261,7889,2901,7599,4765,7107,21943,5271,2355,4812,5029,4476,20167,10364,2379,3850,1220,2354,371,191,11,40,50,79,3634,1367,276,741,712,538,26158,7494,2870,5314,4532,5948,445947,124777,42691,102873,85392,90214,18017,5990,1633,4163,2427,3804
40,OK,40,,,,,040C0US40,Oklahoma -- In metropolitan statistical area,1945252,948674,131516,3042,19189,47542,47738,4935,8495,575,188981,7565,15215,55250,48618,14280,36391,11662,163229,7399,13894,48705,38623,11597,29627,13384,312803,13065,23926,96237,72832,22722,54498,29523,152145,8875,12265,42788,34710,8068,25406,20033,996578,124014,2051,15024,35246,52212,6702,11811,968,186246,5199,13127,43143,47163,17914,44259,15441,162766,6426,10496,37896,38277,17585,35528,16558,328785,10473,21198,96904,82895,29264,57538,30513,194767,10939,19651,73144,45429,9484,21047,15073,1689722,817158,8448,4189,11610,12657,14068,15631,21118,14483,242980,58141,136642,56667,145922,47249,17060,10293,872564,8422,3443,8795,12377,13098,17466,21059,12849,251087,69293,144471,74247,158372,60368,10518,6699,1689722,16870,167,225,685,1454,2799,2302,3429,16976,7081,17953,27166,33097,42177,27332,416823,77244,127434,281113,130914,304294,107617,27578,16992,1301826,631155,70169,183287,194844,182855,670671,67921,193762,219150,189838,143414,67669,7834,24159,23810,11866,75745,7457,23176,29222,15890,79870,37791,5773,13066,12361,6591,42079,5255,13079,15454,8291,42589,18994,2952,3715,3805,8522,23595,4714,4954,5058,8869,1998,950,199,449,146,156,1048,140,501,222,185,36289,20381,10131,5337,3708,1205,15908,7180,4119,3232,1377,83736,40218,5146,12967,12776,9329,43518,4842,11496,15673,11507,1214176,585622,50791,170817,186306,177708,628554,51997,182687,209682,184188,134605,71186,31168,19718,13251,7049,63419,24224,16861,14535,7799,456481,220524,70087,27189,4370,19101,2871,16556,104998,37925,7165,30874,9386,19648,45439,16474,1979,12850,7099,7037,235957,85528,22888,11389,17059,12759,21433,114309,22722,15741,24485,28494,22867,36120,4574,3319,3526,17191,7510,488063,16727,28566,16054,20744,28539,29200,3838,47736,111630,80205,14433,24098,15911,20251,30131,456481,131772,43963,107895,77800,95051,372693,105431,35227,88485,65699,77851,27756,7232,2558,7165,4074,6727,14882,3467,1554,3668,3224,2969,17391,8542,2144,3521,1125,2059,341,167,11,40,47,76,2582,847,174,635,423,503,20836,6086,2295,4381,3208,4866,361896,102067,34177,85702,64494,75456,14848,4672,1269,3708,1781,3418
40,OK,40,,,,,040C1US40,Oklahoma -- In metropolitan statistical area -- in principal city,872776,425079,60370,2001,9143,22263,19804,2290,4515,354,94927,5768,8879,24897,23316,6484,19218,6365,74145,5264,7281,20786,16556,4969,13178,6111,135217,8256,11038,36280,31175,9224,25000,14244,60420,3506,4386,14425,13995,2828,11959,9321,447697,57756,1266,7615,16677,22116,3022,6502,558,92617,3623,7983,20680,22206,7831,22117,8177,73111,4508,5983,15914,16486,7466,14878,7876,142310,6401,9487,38254,35706,11839,26470,14153,81903,4963,7077,27761,20449,4250,10107,7296,754650,364709,5138,3027,8760,5869,7848,6984,9997,6755,96388,24213,60829,23505,69355,22251,9360,4430,389941,5144,2366,6239,5746,6978,7848,9457,6247,102609,29677,65170,31386,73572,28411,6009,3082,754650,10282,94,117,440,1203,1917,1622,2262,12737,4236,7379,14826,14832,19454,13002,166353,32644,53890,125999,54891,142927,50662,15369,7512,534706,260191,33903,63845,77625,84818,274515,30875,70213,87525,85902,103690,48056,5993,17740,16433,7890,55634,5746,17304,21639,10945,25426,11627,1945,3559,3887,2236,13799,1880,3920,5124,2875,27895,12752,2280,2490,2549,5433,15143,3425,3135,3168,5415,1440,738,171,397,56,114,702,114,355,133,100,25340,14069,7556,3476,2275,762,11271,5471,3069,1868,863,36153,17276,2530,4881,5722,4143,18877,2514,4613,6776,4974,474758,228844,18371,55856,72596,82021,245914,18332,62560,82235,82787,92453,49163,24436,12692,7934,4101,43290,18795,11850,8248,4397,216470,105396,35552,14446,2073,9394,1172,8467,48564,17817,2944,14697,3965,9141,21280,7902,981,6470,2558,3369,111074,41716,11364,5582,7862,5297,11611,51955,10723,7142,11411,11233,11446,17403,2485,1458,1821,7603,4036,231755,8211,13046,7468,10640,14610,14616,1886,22030,53229,32956,7438,12136,8637,10781,14071,216470,64737,20180,51655,31828,48070,170720,49679,15426,40814,26191,38610,18835,5101,1720,4799,2673,4542,5111,1262,487,1331,897,1134,10848,5192,1362,2272,799,1223,214,130,0,17,0,67,1625,604,148,362,250,261,9117,2769,1037,2060,1018,2233,164808,47817,14841,39397,25522,37231,8498,2735,739,1982,1036,2006
40,OK,40,,,,,040C2US40,Oklahoma -- In metropolitan statistical area -- not in principal city,1072476,523595,71146,1041,10046,25279,27934,2645,3980,221,94054,1797,6336,30353,25302,7796,17173,5297,89084,2135,6613,27919,22067,6628,16449,7273,177586,4809,12888,59957,41657,13498,29498,15279,91725,5369,7879,28363,20715,5240,13447,10712,548881,66258,785,7409,18569,30096,3680,5309,410,93629,1576,5144,22463,24957,10083,22142,7264,89655,1918,4513,21982,21791,10119,20650,8682,186475,4072,11711,58650,47189,17425,31068,16360,112864,5976,12574,45383,24980,5234,10940,7777,935072,452449,3310,1162,2850,6788,6220,8647,11121,7728,146592,33928,75813,33162,76567,24998,7700,5863,482623,3278,1077,2556,6631,6120,9618,11602,6602,148478,39616,79301,42861,84800,31957,4509,3617,935072,6588,73,108,245,251,882,680,1167,4239,2845,10574,12340,18265,22723,14330,250470,44600,73544,155114,76023,161367,56955,12209,9480,767120,370964,36266,119442,117219,98037,396156,37046,123549,131625,103936,39724,19613,1841,6419,7377,3976,20111,1711,5872,7583,4945,54444,26164,3828,9507,8474,4355,28280,3375,9159,10330,5416,14694,6242,672,1225,1256,3089,8452,1289,1819,1890,3454,558,212,28,52,90,42,346,26,146,89,85,10949,6312,2575,1861,1433,443,4637,1709,1050,1364,514,47583,22942,2616,8086,7054,5186,24641,2328,6883,8897,6533,739418,356778,32420,114961,113710,95687,382640,33665,120127,127447,101401,42152,22023,6732,7026,5317,2948,20129,5429,5011,6287,3402,240011,115128,34535,12743,2297,9707,1699,8089,56434,20108,4221,16177,5421,10507,24159,8572,998,6380,4541,3668,124883,43812,11524,5807,9197,7462,9822,62354,11999,8599,13074,17261,11421,18717,2089,1861,1705,9588,3474,256308,8516,15520,8586,10104,13929,14584,1952,25706,58401,47249,6995,11962,7274,9470,16060,240011,67035,23783,56240,45972,46981,201973,55752,19801,47671,39508,39241,8921,2131,838,2366,1401,2185,9771,2205,1067,2337,2327,1835,6543,3350,782,1249,326,836,127,37,11,23,47,9,957,243,26,273,173,242,11719,3317,1258,2321,2190,2633,197088,54250,19336,46305,38972,38225,6350,1937,530,1726,745,1412
40,OK,40,,,,,040E0US40,Oklahoma -- In micropolitan statistical area,564493,277550,45783,909,6479,15020,18725,2324,2182,144,49979,1464,4761,18087,12109,3432,7661,2465,42943,1794,4326,15304,9939,3166,5578,2836,88059,3930,8511,33147,19233,5486,11430,6322,50786,3239,4898,16520,10978,2456,6908,5787,286943,43064,593,4885,12151,19342,2909,3014,170,46373,1325,3777,12820,12903,4222,8523,2803,42292,1397,3274,11624,10306,4427,7887,3377,91148,2796,7309,30861,20444,7516,14308,7914,64066,3904,7265,25373,13936,2745,6280,4563,475646,231767,2163,1183,2335,4746,4699,6299,7246,4252,83058,15134,37125,14540,31577,10791,2964,3655,243879,1944,888,1815,4775,4270,6505,7283,3567,80678,17266,40323,18910,36998,15298,1684,1675,475646,4107,35,66,117,359,906,588,720,3430,2226,7295,8969,12804,14529,7819,136424,27312,32400,77448,33450,68575,26089,4648,5330,372286,180134,23075,64591,51943,40525,192152,22383,64737,59661,45371,16457,9060,1394,3629,2909,1128,7397,999,2304,2717,1377,42310,20417,3374,7618,6303,3122,21893,2882,7396,7676,3939,5686,2792,394,370,554,1474,2894,471,473,648,1302,347,159,36,40,64,19,188,43,47,87,11,10996,6106,2679,1949,936,542,4890,2420,1374,586,510,27564,13099,1971,4861,4090,2177,14465,1849,4347,5124,3145,357099,171670,19607,62165,50414,39484,185429,20316,62469,58077,44567,28922,15979,6645,4852,2861,1621,12943,4808,3962,2625,1548,104642,48987,14261,5857,948,2678,1158,3620,22031,8006,1799,5217,3354,3655,12695,5125,757,2607,2778,1428,55655,17132,4474,2271,3239,3399,3749,27680,4963,4000,5542,9004,4171,10843,1230,1005,1175,5704,1729,111834,3673,8963,4156,5027,4550,5665,711,11610,21241,26123,2791,4121,2647,3000,7556,104642,29655,10780,20458,25397,18352,85896,23420,8724,17512,21190,15050,2505,657,343,434,691,380,7061,1804,801,1144,1805,1507,2776,1822,235,329,95,295,30,24,0,0,3,3,1052,520,102,106,289,35,5322,1408,575,933,1324,1082,84051,22710,8514,17171,20898,14758,3169,1318,364,455,646,386
40,OK,40,,,,,040E1US40,Oklahoma -- In micropolitan statistical area -- in principal city,289058,140258,29909,472,3301,8376,14272,1745,1661,82,28301,837,2504,8852,6799,2251,5216,1842,21347,1097,2163,6961,4951,1584,2771,1820,39025,1952,3637,12756,8342,2573,5963,3802,21676,1086,2012,5888,4820,1061,3536,3273,148800,28680,349,2422,6932,14385,2146,2304,142,25690,851,2028,6497,7217,2023,5121,1953,20807,772,1942,5356,4850,2171,3896,1820,41699,1427,3354,12587,9808,3402,6893,4228,31924,1896,3599,11931,7023,1422,3575,2478,230469,110349,1110,657,1243,1962,2217,2697,3277,2125,34457,7053,17859,7469,17486,6212,1982,2543,120120,1069,612,1055,2210,2150,3156,3794,1823,36371,8582,20316,9018,19485,8238,1095,1146,230469,2179,25,51,93,268,413,419,379,1919,1287,2885,4367,5853,7071,3948,58149,12679,15635,38175,16487,36971,14450,3077,3689,176571,83578,10380,25766,24348,23084,92993,11009,28614,29376,23994,12139,6530,854,2527,2298,851,5609,721,1753,2022,1113,17342,8506,1424,2929,2702,1451,8836,1201,2745,3143,1747,4308,2111,163,217,420,1311,2197,290,335,449,1123,207,99,26,25,37,11,108,43,25,32,8,7304,3958,1572,1310,616,460,3346,1588,950,415,393,12598,5567,869,1683,1960,1055,7031,1017,1949,2479,1586,167122,78270,8341,24199,23387,22343,88852,9728,27314,28338,23472,18471,10068,3901,3107,1845,1215,8403,3109,2468,1788,1038,58187,28223,9477,3948,595,1662,694,2578,11937,4579,752,2941,1490,2175,6809,2875,371,1477,1283,803,29964,10211,2829,1152,1957,1833,2440,13700,2708,1963,2653,4070,2306,6053,798,549,731,2923,1052,62586,2346,4555,2693,2853,2764,3939,486,5934,11843,12679,2034,2485,1461,2070,4444,58187,17737,5382,11421,12293,11354,47078,13408,4343,9720,10205,9402,1964,519,204,354,601,286,3198,915,321,547,617,798,2434,1696,185,290,48,215,19,16,0,0,0,3,853,459,92,71,212,19,2641,724,237,439,610,631,45815,12880,4226,9533,10011,9165,2253,1044,239,253,415,302
40,OK,40,,,,,040E2US40,Oklahoma -- In micropolitan statistical area -- not in principal city,275435,137292,15874,437,3178,6644,4453,579,521,62,21678,627,2257,9235,5310,1181,2445,623,21596,697,2163,8343,4988,1582,2807,1016,49034,1978,4874,20391,10891,2913,5467,2520,29110,2153,2886,10632,6158,1395,3372,2514,138143,14384,244,2463,5219,4957,763,710,28,20683,474,1749,6323,5686,2199,3402,850,21485,625,1332,6268,5456,2256,3991,1557,49449,1369,3955,18274,10636,4114,7415,3686,32142,2008,3666,13442,6913,1323,2705,2085,245177,121418,1053,526,1092,2784,2482,3602,3969,2127,48601,8081,19266,7071,14091,4579,982,1112,123759,875,276,760,2565,2120,3349,3489,1744,44307,8684,20007,9892,17513,7060,589,529,245177,1928,10,15,24,91,493,169,341,1511,939,4410,4602,6951,7458,3871,78275,14633,16765,39273,16963,31604,11639,1571,1641,195715,96556,12695,38825,27595,17441,99159,11374,36123,30285,21377,4318,2530,540,1102,611,277,1788,278,551,695,264,24968,11911,1950,4689,3601,1671,13057,1681,4651,4533,2192,1378,681,231,153,134,163,697,181,138,199,179,140,60,10,15,27,8,80,0,22,55,3,3692,2148,1107,639,320,82,1544,832,424,171,117,14966,7532,1102,3178,2130,1122,7434,832,2398,2645,1559,189977,93400,11266,37966,27027,17141,96577,10588,35155,29739,21095,10451,5911,2744,1745,1016,406,4540,1699,1494,837,510,46455,20764,4784,1909,353,1016,464,1042,10094,3427,1047,2276,1864,1480,5886,2250,386,1130,1495,625,25691,6921,1645,1119,1282,1566,1309,13980,2255,2037,2889,4934,1865,4790,432,456,444,2781,677,49248,1327,4408,1463,2174,1786,1726,225,5676,9398,13444,757,1636,1186,930,3112,46455,11918,5398,9037,13104,6998,38818,10012,4381,7792,10985,5648,541,138,139,80,90,94,3863,889,480,597,1188,709,342,126,50,39,47,80,11,8,0,0,3,0,199,61,10,35,77,16,2681,684,338,494,714,451,38236,9830,4288,7638,10887,5593,916,274,125,202,231,84
