SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B15001_001,B15001_002,B15001_003,B15001_004,B15001_005,B15001_006,B15001_007,B15001_008,B15001_009,B15001_010,B15001_011,B15001_012,B15001_013,B15001_014,B15001_015,B15001_016,B15001_017,B15001_018,B15001_019,B15001_020,B15001_021,B15001_022,B15001_023,B15001_024,B15001_025,B15001_026,B15001_027,B15001_028,B15001_029,B15001_030,B15001_031,B15001_032,B15001_033,B15001_034,B15001_035,B15001_036,B15001_037,B15001_038,B15001_039,B15001_040,B15001_041,B15001_042,B15001_043,B15001_044,B15001_045,B15001_046,B15001_047,B15001_048,B15001_049,B15001_050,B15001_051,B15001_052,B15001_053,B15001_054,B15001_055,B15001_056,B15001_057,B15001_058,B15001_059,B15001_060,B15001_061,B15001_062,B15001_063,B15001_064,B15001_065,B15001_066,B15001_067,B15001_068,B15001_069,B15001_070,B15001_071,B15001_072,B15001_073,B15001_074,B15001_075,B15001_076,B15001_077,B15001_078,B15001_079,B15001_080,B15001_081,B15001_082,B15001_083,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_013,B15003_014,B15003_015,B15003_016,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,C15002F_001,C15002F_002,C15002F_003,C15002F_004,C15002F_005,C15002F_006,C15002F_007,C15002F_008,C15002F_009,C15002F_010,C15002F_011,C15002G_001,C15002G_002,C15002G_003,C15002G_004,C15002G_005,C15002G_006,C15002G_007,C15002G_008,C15002G_009,C15002G_010,C15002G_011,C15002H_001,C15002H_002,C15002H_003,C15002H_004,C15002H_005,C15002H_006,C15002H_007,C15002H_008,C15002H_009,C15002H_010,C15002H_011,C15002I_001,C15002I_002,C15002I_003,C15002I_004,C15002I_005,C15002I_006,C15002I_007,C15002I_008,C15002I_009,C15002I_010,C15002I_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010,B15012_011,B15012_012,B15012_013,B15012_014,B15012_015,B15012_016,C15010_001,C15010_002,C15010_003,C15010_004,C15010_005,C15010_006,C15010A_001,C15010A_002,C15010A_003,C15010A_004,C15010A_005,C15010A_006,C15010B_001,C15010B_002,C15010B_003,C15010B_004,C15010B_005,C15010B_006,C15010C_001,C15010C_002,C15010C_003,C15010C_004,C15010C_005,C15010C_006,C15010D_001,C15010D_002,C15010D_003,C15010D_004,C15010D_005,C15010D_006,C15010E_001,C15010E_002,C15010E_003,C15010E_004,C15010E_005,C15010E_006,C15010F_001,C15010F_002,C15010F_003,C15010F_004,C15010F_005,C15010F_006,C15010G_001,C15010G_002,C15010G_003,C15010G_004,C15010G_005,C15010G_006,C15010H_001,C15010H_002,C15010H_003,C15010H_004,C15010H_005,C15010H_006,C15010I_001,C15010I_002,C15010I_003,C15010I_004,C15010I_005,C15010I_006
40,PA,42,,,,,04000US42,Pennsylvania,10079709,4870053,625422,11193,76290,220805,231289,24345,57868,3632,827446,21404,56694,258589,147601,69178,197770,76210,754817,21957,48590,252217,125988,63345,151282,91438,1744980,46769,116803,680583,280919,131629,291897,196380,917388,60218,92439,355714,128257,39238,122881,118641,5209656,604441,8076,55547,177712,250498,29062,77439,6107,806846,16358,40414,182494,146877,81310,221720,117673,760642,17004,34771,195237,133517,87216,172889,120008,1821868,43086,96351,667559,311737,186087,309669,207379,1215859,77897,134931,590856,157885,54177,109932,90181,8849846,4244631,43624,13215,22578,70931,57127,90921,95887,70591,1547103,226789,455976,303390,763830,307371,102051,73247,4605215,44010,13375,22022,74938,52985,90811,99736,62935,1636146,256754,493262,408790,814210,418548,66165,50528,8849846,87634,1281,1118,2276,3780,9282,8853,13068,31532,25543,120326,110112,181732,195623,133526,2831106,352143,483543,949238,712180,1578040,725919,168216,123775,7456949,3588005,341421,1316256,835417,1094911,3868944,337261,1417793,949590,1164300,867018,401648,66223,168824,106854,59747,465370,64964,157411,154036,88959,16143,8232,2271,2703,2003,1255,7911,2052,2478,2027,1354,264718,124862,19836,17843,15236,71947,139856,27027,22806,19413,70610,2522,1111,260,353,237,261,1411,392,408,377,234,136959,70074,26639,25302,12343,5790,66885,21968,21424,15788,7705,105537,50699,8224,15822,14065,12588,54838,7148,13826,17575,16289,7209210,3464201,303831,1275401,810256,1074713,3745009,305939,1382302,918136,1138632,437139,220834,73457,75971,43671,27735,216305,60749,64184,54204,37168,2595950,1246499,393364,163438,22061,92798,23553,91514,611613,258908,36160,158998,45699,111848,241522,101083,13601,51445,36678,38715,1349451,487476,145671,62211,80548,74494,124552,661862,159499,105148,118631,136740,141844,200113,33560,26665,12508,81516,45864,2785119,118127,170298,98334,140657,200194,189729,17489,286796,534112,415892,122514,131700,101128,109624,148525,2595950,862159,265846,514928,398680,554337,2259211,719488,230314,450202,369542,489665,148706,45989,15239,33639,18233,35606,2609,1000,122,499,331,657,142557,78779,16325,22282,6354,18817,495,177,111,100,34,73,13495,5362,1337,2717,1412,2667,28877,11364,2398,5489,2774,6852,2213345,702382,225694,441137,364353,479779,64903,24152,6281,13104,7297,14069
40,PA,42,,,,,04001US42,Pennsylvania -- Urban,7939676,3791357,520399,6778,60339,173752,206727,18972,50566,3265,685975,15254,45762,200420,123669,54924,175678,70268,597805,16867,38430,184503,101197,48025,127781,81002,1308013,36134,86750,468505,216931,97182,236751,165760,679165,41969,65955,247521,97151,29865,99480,97224,4148319,512391,3984,44486,144531,223800,23461,66777,5352,679816,11395,33919,146614,123341,65040,193364,106143,606727,13509,28111,146133,106948,65992,143330,102704,1396171,34715,75025,479371,242420,141398,251119,172123,953214,60459,105067,450769,127457,43124,91241,75097,6906886,3270958,35363,12077,19666,43118,40552,67654,73038,55653,1100949,173852,365096,229996,639690,261902,88980,63372,3635928,37516,12302,19931,50329,40254,71366,79628,50874,1222887,201833,398333,315554,679054,353501,58076,44490,6906886,72879,1125,962,1980,3564,8598,8150,11948,27649,20254,73193,80806,139020,152666,106527,2056102,267734,375685,763429,545550,1318744,615403,147056,107862,5567759,2645885,229104,881861,625810,909110,2921874,241667,1010489,712684,957034,844302,385757,63657,161821,102599,57680,458545,64177,155463,151843,87062,14280,7252,2106,2229,1792,1125,7028,1895,2142,1771,1220,253579,120315,19371,17310,14503,69131,133264,26044,21454,18205,67561,2263,1007,254,327,225,201,1256,372,324,337,223,130906,66235,25238,23799,11751,5447,64671,21520,20784,15130,7237,93797,44507,7391,13602,12264,11250,49290,6525,12231,15750,14784,5340363,2532242,194016,844733,602928,890565,2808121,211744,977869,684810,933698,407726,205012,69119,70221,40121,25551,202714,58732,60234,49596,34152,2189065,1053944,349804,146116,19194,83982,19047,81465,507436,215684,28524,134767,34676,93785,196704,82382,11076,43760,27507,31979,1135121,424855,129506,52900,70441,61446,110562,543928,134307,83720,99875,106153,119873,166338,29294,21504,10727,65631,39182,2350160,103429,139116,82845,121512,175394,161878,14946,234960,460201,328121,107990,112087,88232,97824,121625,2189065,737289,216918,443552,314460,476846,1866144,600402,182879,381422,286575,414866,144742,44768,14759,32774,17833,34608,2345,912,111,458,294,570,136692,75864,15606,21246,5959,18017,424,131,111,86,32,64,12684,4976,1267,2554,1384,2503,26034,10236,2185,5012,2383,6218,1824263,584577,178604,373181,281883,406018,59703,22469,5860,11991,6622,12761
40,PA,42,,,,,04043US42,Pennsylvania -- Rural,2140033,1078696,105023,4415,15951,47053,24562,5373,7302,367,141471,6150,10932,58169,23932,14254,22092,5942,157012,5090,10160,67714,24791,15320,23501,10436,436967,10635,30053,212078,63988,34447,55146,30620,238223,18249,26484,108193,31106,9373,23401,21417,1061337,92050,4092,11061,33181,26698,5601,10662,755,127030,4963,6495,35880,23536,16270,28356,11530,153915,3495,6660,49104,26569,21224,29559,17304,425697,8371,21326,188188,69317,44689,58550,35256,262645,17438,29864,140087,30428,11053,18691,15084,1942960,973673,8261,1138,2912,27813,16575,23267,22849,14938,446154,52937,90880,73394,124140,45469,13071,9875,969287,6494,1073,2091,24609,12731,19445,20108,12061,413259,54921,94929,93236,135156,65047,8089,6038,1942960,14755,156,156,296,216,684,703,1120,3883,5289,47133,29306,42712,42957,26999,775004,84409,107858,185809,166630,259296,110516,21160,15913,1889190,942120,112317,434395,209607,185801,947070,95594,407304,236906,207266,22716,15891,2566,7003,4255,2067,6825,787,1948,2193,1897,1863,980,165,474,211,130,883,157,336,256,134,11139,4547,465,533,733,2816,6592,983,1352,1208,3049,259,104,6,26,12,60,155,20,84,40,11,6053,3839,1401,1503,592,343,2214,448,640,658,468,11740,6192,833,2220,1801,1338,5548,623,1595,1825,1505,1868847,931959,109815,430668,207328,184148,936888,94195,404433,233326,204934,29413,15822,4338,5750,3550,2184,13591,2017,3950,4608,3016,406885,192555,43560,17322,2867,8816,4506,10049,104177,43224,7636,24231,11023,18063,44818,18701,2525,7685,9171,6736,214330,62621,16165,9311,10107,13048,13990,117934,25192,21428,18756,30587,21971,33775,4266,5161,1781,15885,6682,434959,14698,31182,15489,19145,24800,27851,2543,51836,73911,87771,14524,19613,12896,11800,26900,406885,124870,48928,71376,84220,77491,393067,119086,47435,68780,82967,74799,3964,1221,480,865,400,998,264,88,11,41,37,87,5865,2915,719,1036,395,800,71,46,0,14,2,9,811,386,70,163,28,164,2843,1128,213,477,391,634,389082,117805,47090,67956,82470,73761,5200,1683,421,1113,675,1308
40,PA,42,,,,,040A0US42,Pennsylvania -- In metropolitan or micropolitan statistical area,9773274,4713920,607859,10638,73908,212700,226423,23527,57072,3591,804347,20626,54432,248118,143901,67034,194924,75312,731623,21341,46648,240611,122148,61285,149065,90525,1687545,45481,111927,649860,272817,127615,286646,193199,882546,57644,88091,339535,123846,37910,119909,115611,5059354,588882,7686,54017,171639,245233,28109,76150,6048,788139,15873,39370,176674,142995,79125,218164,115938,740358,16681,33730,187482,129684,84564,169908,118309,1766555,42139,92922,641038,302690,180658,303672,203436,1175420,75265,130097,569313,152822,52678,107343,87902,8576533,4106061,42219,12970,22197,67706,54542,86423,91821,68312,1478124,219287,443425,293844,750544,301740,100755,72152,4470472,43011,13216,21731,72000,51279,87643,96091,61106,1574507,248817,479374,397025,799087,410405,65370,49810,8576533,85230,1266,1108,2258,3725,9132,8697,12955,30973,24719,114987,105821,174066,187912,129418,2716158,336473,468104,922799,690869,1549631,712145,166125,121962,7194284,3457526,324759,1251175,807406,1074186,3736758,323004,1356940,916672,1140142,861100,396320,64892,166023,105814,59591,464780,64855,157175,153930,88820,15623,7954,2219,2544,1962,1229,7669,2001,2407,1927,1334,263594,124407,19798,17722,15151,71736,139187,26976,22650,19266,70295,2461,1087,260,346,225,256,1374,392,393,355,234,135940,69274,26332,24949,12235,5758,66666,21866,21372,15760,7668,103531,49493,7930,15365,13763,12435,54038,6983,13570,17306,16179,6948973,3335110,287561,1210921,782466,1054162,3613863,291820,1321766,885631,1114646,433021,218113,72618,74757,43224,27514,214908,60481,63790,53691,36946,2549863,1225191,388060,161578,21595,91964,22769,90154,601611,255508,35364,156831,44046,109862,235520,98785,13300,50628,35145,37662,1324672,479729,143880,61165,79377,72609,122698,649698,157308,103096,117136,132776,139382,195245,33018,25981,12355,79139,44752,2735696,116830,166999,97033,138378,197755,187427,17217,281044,527188,403227,120673,128979,99697,108349,144900,2549863,850077,260501,508291,386484,544510,2214328,707863,225111,443808,357450,480096,148411,45904,15172,33581,18214,35540,2563,977,122,482,328,654,142031,78537,16281,22209,6318,18686,490,172,111,100,34,73,13426,5346,1327,2698,1398,2657,28614,11278,2377,5413,2742,6804,2168808,690847,220523,434810,352334,470294,64460,24021,6236,13023,7199,13981
40,PA,42,,,,,040C0US42,Pennsylvania -- In metropolitan statistical area,8887477,4268545,553199,8861,66868,190728,207653,21264,54390,3435,737954,18033,48374,219139,133400,60112,186011,72885,663061,18878,41275,208694,110181,55484,141412,87137,1524911,41204,99107,565358,249630,114667,270562,184383,789420,50887,77454,294507,111895,34214,112066,108397,4618932,539342,6398,49141,155667,225007,25465,71889,5775,731943,14281,35911,158830,133023,71695,206859,111344,679109,15346,30776,166169,118545,75584,160421,112268,1609923,38769,83349,565246,279411,164153,286306,192689,1058615,67678,115428,503412,140181,48555,100526,82835,7794936,3715346,37803,12525,21094,57580,47471,75770,81136,61833,1287698,197781,407325,264477,710051,287744,96356,68702,4079590,39818,12932,20716,62608,45643,78072,85708,56041,1393657,228755,442405,359987,754112,388892,63002,47242,7794936,77621,1212,1084,2126,3670,8961,8404,12343,29467,22113,98075,93114,153842,166844,117874,2390121,291234,426536,849730,624464,1464163,676636,159358,115944,6445912,3090713,278951,1071966,725848,1013948,3355199,280065,1178987,824919,1071228,842542,381022,61508,158167,102436,58911,461520,64345,155937,153020,88218,14427,7281,2050,2259,1782,1190,7146,1871,2216,1795,1264,259623,122702,19511,17434,14784,70973,136921,26505,22350,18883,69183,2306,1000,254,315,204,227,1306,372,389,339,206,132553,66727,25610,23692,11775,5650,65826,21699,21112,15509,7506,97573,45901,7328,13865,12754,11954,51672,6681,12666,16682,15643,6207926,2972904,243030,1033586,701813,994475,3235022,249429,1144594,794757,1046242,420289,209326,70193,70912,41394,26827,210963,59677,62662,52400,36224,2416101,1162853,371130,155385,20437,88693,20829,85786,571260,244191,33247,150495,39496,103831,220463,93310,12154,48386,31238,35375,1253248,455966,138155,57058,76133,67152,117468,613921,150193,96411,112054,122273,132990,183361,31632,24122,11906,72966,42735,2592486,112883,158014,92083,131888,189027,180407,16446,262909,505845,369315,115577,122553,96467,104362,134710,2416101,812866,243429,487667,353954,518185,2085176,672525,208593,423883,325463,454712,147129,45504,15025,33316,18072,35212,2454,938,114,481,311,610,140156,77663,16052,21995,6115,18331,433,157,111,67,34,64,13156,5243,1296,2620,1369,2628,27597,10836,2238,5305,2590,6628,2040717,655877,204168,415009,320521,445142,63051,23541,6023,12863,6978,13646
40,PA,42,,,,,040C1US42,Pennsylvania -- In metropolitan statistical area -- in principal city,2200872,1038148,189667,2909,22160,58870,80495,5292,18260,1681,238584,6841,21359,70778,40457,13639,56710,28800,160043,8680,17291,57821,27431,9252,23814,15754,306419,18227,36473,120524,51308,17533,36301,26053,143435,15541,20901,50929,19249,5125,14261,17429,1162724,194660,1886,18101,53414,90156,6547,22233,2323,243222,5889,18602,58220,44453,17714,60893,37451,168114,7599,15112,48662,33632,15581,26682,20846,340488,19349,34518,123695,64056,28283,39822,30765,216240,22450,32757,94578,27415,7139,15321,16580,1816545,848481,15598,7563,10038,16090,16349,26619,31470,21586,300052,41408,97037,45549,131086,51332,20795,15909,968064,18150,7207,11077,18853,17155,28820,34094,20920,325155,52398,117158,68717,142718,76264,16880,12498,1816545,33748,552,504,1196,2358,5055,5105,6808,14307,9625,25318,33504,55439,65564,42506,538489,86718,93806,214195,114266,273804,127596,37675,28407,1049636,505972,65949,169739,107028,163256,543664,70132,186539,116209,170784,533738,231874,43162,99742,59231,29739,301864,49014,107273,98081,47496,6982,3461,1392,1016,707,346,3521,1252,994,730,545,95678,45351,12278,8525,5457,19091,50327,14965,8910,6440,20012,1215,491,186,89,127,89,724,252,199,187,86,87568,42263,17823,14974,6771,2695,45305,16309,15259,9799,3938,41728,19069,4523,5967,4673,3906,22659,4352,5981,6827,5499,933694,449376,45108,149926,97562,156780,484318,50361,168751,102955,162251,237934,115407,45195,40465,19257,10490,122527,42155,38365,27440,14567,467482,219122,108441,49260,5642,22284,3557,27698,78991,30905,5119,17256,5144,20567,31690,12995,1824,5771,3987,7113,248360,124926,43320,14676,18332,11300,37298,91533,22028,12494,15879,15796,25336,31901,5986,3431,2220,10713,9551,506273,20400,33513,16673,28260,47395,29770,4076,47298,85054,52829,29468,29604,29517,24161,28255,467482,164494,43186,81742,50497,127563,334040,114491,29135,55396,37911,97107,77235,22811,7705,16964,9390,20365,891,286,59,168,131,247,39103,20757,4963,6026,1687,5670,175,28,52,63,0,32,6633,2327,713,1308,636,1649,9405,3794,559,1817,742,2493,319031,109265,27768,52852,35823,93323,25057,9002,2173,4675,3022,6185
40,PA,42,,,,,040C2US42,Pennsylvania -- In metropolitan statistical area -- not in principal city,6686605,3230397,363532,5952,44708,131858,127158,15972,36130,1754,499370,11192,27015,148361,92943,46473,129301,44085,503018,10198,23984,150873,82750,46232,117598,71383,1218492,22977,62634,444834,198322,97134,234261,158330,645985,35346,56553,243578,92646,29089,97805,90968,3456208,344682,4512,31040,102253,134851,18918,49656,3452,488721,8392,17309,100610,88570,53981,145966,73893,510995,7747,15664,117507,84913,60003,133739,91422,1269435,19420,48831,441551,215355,135870,246484,161924,842375,45228,82671,408834,112766,41416,85205,66255,5978391,2866865,22205,4962,11056,41490,31122,49151,49666,40247,987646,156373,310288,218928,578965,236412,75561,52793,3111526,21668,5725,9639,43755,28488,49252,51614,35121,1068502,176357,325247,291270,611394,312628,46122,34744,5978391,43873,660,580,930,1312,3906,3299,5535,15160,12488,72757,59610,98403,101280,75368,1851632,204516,332730,635535,510198,1190359,549040,121683,87537,5396276,2584741,213002,902227,618820,850692,2811535,209933,992448,708710,900444,308804,149148,18346,58425,43205,29172,159656,15331,48664,54939,40722,7445,3820,658,1243,1075,844,3625,619,1222,1065,719,163945,77351,7233,8909,9327,51882,86594,11540,13440,12443,49171,1091,509,68,226,77,138,582,120,190,152,120,44985,24464,7787,8718,5004,2955,20521,5390,5853,5710,3568,55845,26832,2805,7898,8081,8048,29013,2329,6685,9855,10144,5274232,2523528,197922,883660,604251,837695,2750704,199068,975843,691802,883991,182355,93919,24998,30447,22137,16337,88436,17522,24297,24960,21657,1948619,943731,262689,106125,14795,66409,17272,58088,492269,213286,28128,133239,34352,83264,188773,80315,10330,42615,27251,28262,1004888,331040,94835,42382,57801,55852,80170,522388,128165,83917,96175,106477,107654,151460,25646,20691,9686,62253,33184,2086213,92483,124501,75410,103628,141632,150637,12370,215611,420791,316486,86109,92949,66950,80201,106455,1948619,648372,200243,405925,303457,390622,1751136,558034,179458,368487,287552,357605,69894,22693,7320,16352,8682,14847,1563,652,55,313,180,363,101053,56906,11089,15969,4428,12661,258,129,59,4,34,32,6523,2916,583,1312,733,979,18192,7042,1679,3488,1848,4135,1721686,546612,176400,362157,284698,351819,37994,14539,3850,8188,3956,7461
40,PA,42,,,,,040E0US42,Pennsylvania -- In micropolitan statistical area,885797,445375,54660,1777,7040,21972,18770,2263,2682,156,66393,2593,6058,28979,10501,6922,8913,2427,68562,2463,5373,31917,11967,5801,7653,3388,162634,4277,12820,84502,23187,12948,16084,8816,93126,6757,10637,45028,11951,3696,7843,7214,440422,49540,1288,4876,15972,20226,2644,4261,273,56196,1592,3459,17844,9972,7430,11305,4594,61249,1335,2954,21313,11139,8980,9487,6041,156632,3370,9573,75792,23279,16505,17366,10747,116805,7587,14669,65901,12641,4123,6817,5067,781597,390715,4416,445,1103,10126,7071,10653,10685,6479,190426,21506,36100,29367,40493,13996,4399,3450,390882,3193,284,1015,9392,5636,9571,10383,5065,180850,20062,36969,37038,44975,21513,2368,2568,781597,7609,54,24,132,55,171,293,612,1506,2606,16912,12707,20224,21068,11544,326037,45239,41568,73069,66405,85468,35509,6767,6018,748372,366813,45808,179209,81558,60238,381559,42939,177953,91753,68914,18558,15298,3384,7856,3378,680,3260,510,1238,910,602,1196,673,169,285,180,39,523,130,191,132,70,3971,1705,287,288,367,763,2266,471,300,383,1112,155,87,6,31,21,29,68,20,4,16,28,3387,2547,722,1257,460,108,840,167,260,251,162,5958,3592,602,1500,1009,481,2366,302,904,624,536,741047,362206,44531,177335,80653,59687,378841,42391,177172,90874,68404,12732,8787,2425,3845,1830,687,3945,804,1128,1291,722,133762,62338,16930,6193,1158,3271,1940,4368,30351,11317,2117,6336,4550,6031,15057,5475,1146,2242,3907,2287,71424,23763,5725,4107,3244,5457,5230,35777,7115,6685,5082,10503,6392,11884,1386,1859,449,6173,2017,143210,3947,8985,4950,6490,8728,7020,771,18135,21343,33912,5096,6426,3230,3987,10190,133762,37211,17072,20624,32530,26325,129152,35338,16518,19925,31987,25384,1282,400,147,265,142,328,109,39,8,1,17,44,1875,874,229,214,203,355,57,15,0,33,0,9,270,103,31,78,29,29,1017,442,139,108,152,176,128091,34970,16355,19801,31813,25152,1409,480,213,160,221,335
40,PA,42,,,,,040E1US42,Pennsylvania -- In micropolitan statistical area -- in principal city,137478,64587,14947,119,1087,3690,9051,297,690,13,10167,200,890,3894,1877,1036,1664,606,9244,175,717,4141,1889,640,1179,503,19319,435,1534,8912,3095,1506,2331,1506,10910,700,1245,4360,1531,572,1328,1174,72891,15324,37,713,3589,9594,532,820,39,10374,104,671,3460,1900,1252,2231,756,9300,119,576,3149,2006,1289,1259,902,20723,378,1193,9217,3347,2287,2649,1652,17170,1122,2175,9412,1803,617,1203,838,107207,49640,574,33,71,832,835,1419,1396,736,21307,2924,5468,3754,6502,2279,862,648,57567,456,86,164,1017,778,1423,1566,848,25238,3370,5686,5445,7342,3196,355,597,107207,1030,13,0,0,0,59,47,97,138,370,1479,1613,2842,2962,1584,39954,6591,6294,11154,9199,13844,5475,1217,1245,102048,47274,5563,20203,11589,9919,54774,6037,24224,13698,10815,2994,1547,252,809,345,141,1447,174,582,499,192,104,20,0,12,8,0,84,7,42,29,6,693,200,12,8,54,126,493,68,49,102,274,50,27,0,12,15,0,23,0,4,0,19,401,187,35,91,54,7,214,7,104,67,36,917,385,34,172,81,98,532,45,233,106,148,100746,46683,5440,19995,11463,9785,54063,5813,24077,13556,10617,1763,798,174,275,215,134,965,238,244,239,244,21781,10291,3283,1076,150,671,324,1062,4506,1560,235,1054,549,1108,2502,932,195,395,488,492,11490,4234,853,696,377,966,1342,5215,1148,816,777,1172,1302,2041,245,272,65,1008,451,23541,442,1211,765,1197,1649,998,123,2538,3562,4714,1318,1328,807,934,1955,21781,5814,2364,3339,4507,5757,20734,5488,2280,3174,4377,5415,333,135,24,13,42,119,6,0,0,0,0,6,400,98,13,73,47,169,19,0,0,19,0,0,43,0,0,34,9,0,246,93,47,26,32,48,20402,5376,2233,3129,4327,5337,378,112,47,54,62,103
40,PA,42,,,,,040E2US42,Pennsylvania -- In micropolitan statistical area -- not in principal city,748319,380788,39713,1658,5953,18282,9719,1966,1992,143,56226,2393,5168,25085,8624,5886,7249,1821,59318,2288,4656,27776,10078,5161,6474,2885,143315,3842,11286,75590,20092,11442,13753,7310,82216,6057,9392,40668,10420,3124,6515,6040,367531,34216,1251,4163,12383,10632,2112,3441,234,45822,1488,2788,14384,8072,6178,9074,3838,51949,1216,2378,18164,9133,7691,8228,5139,135909,2992,8380,66575,19932,14218,14717,9095,99635,6465,12494,56489,10838,3506,5614,4229,674390,341075,3842,412,1032,9294,6236,9234,9289,5743,169119,18582,30632,25613,33991,11717,3537,2802,333315,2737,198,851,8375,4858,8148,8817,4217,155612,16692,31283,31593,37633,18317,2013,1971,674390,6579,41,24,132,55,112,246,515,1368,2236,15433,11094,17382,18106,9960,286083,38648,35274,61915,57206,71624,30034,5550,4773,646324,319539,40245,159006,69969,50319,326785,36902,153729,78055,58099,15564,13751,3132,7047,3033,539,1813,336,656,411,410,1092,653,169,273,172,39,439,123,149,103,64,3278,1505,275,280,313,637,1773,403,251,281,838,105,60,6,19,6,29,45,20,0,16,9,2986,2360,687,1166,406,101,626,160,156,184,126,5041,3207,568,1328,928,383,1834,257,671,518,388,640301,315523,39091,157340,69190,49902,324778,36578,153095,77318,57787,10969,7989,2251,3570,1615,553,2980,566,884,1052,478,111981,52047,13647,5117,1008,2600,1616,3306,25845,9757,1882,5282,4001,4923,12555,4543,951,1847,3419,1795,59934,19529,4872,3411,2867,4491,3888,30562,5967,5869,4305,9331,5090,9843,1141,1587,384,5165,1566,119669,3505,7774,4185,5293,7079,6022,648,15597,17781,29198,3778,5098,2423,3053,8235,111981,31397,14708,17285,28023,20568,108418,29850,14238,16751,27610,19969,949,265,123,252,100,209,103,39,8,1,17,38,1475,776,216,141,156,186,38,15,0,14,0,9,227,103,31,44,20,29,771,349,92,82,120,128,107689,29594,14122,16672,27486,19815,1031,368,166,106,159,232
