SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B15001_001,B15001_002,B15001_003,B15001_004,B15001_005,B15001_006,B15001_007,B15001_008,B15001_009,B15001_010,B15001_011,B15001_012,B15001_013,B15001_014,B15001_015,B15001_016,B15001_017,B15001_018,B15001_019,B15001_020,B15001_021,B15001_022,B15001_023,B15001_024,B15001_025,B15001_026,B15001_027,B15001_028,B15001_029,B15001_030,B15001_031,B15001_032,B15001_033,B15001_034,B15001_035,B15001_036,B15001_037,B15001_038,B15001_039,B15001_040,B15001_041,B15001_042,B15001_043,B15001_044,B15001_045,B15001_046,B15001_047,B15001_048,B15001_049,B15001_050,B15001_051,B15001_052,B15001_053,B15001_054,B15001_055,B15001_056,B15001_057,B15001_058,B15001_059,B15001_060,B15001_061,B15001_062,B15001_063,B15001_064,B15001_065,B15001_066,B15001_067,B15001_068,B15001_069,B15001_070,B15001_071,B15001_072,B15001_073,B15001_074,B15001_075,B15001_076,B15001_077,B15001_078,B15001_079,B15001_080,B15001_081,B15001_082,B15001_083,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_013,B15003_014,B15003_015,B15003_016,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,C15002F_001,C15002F_002,C15002F_003,C15002F_004,C15002F_005,C15002F_006,C15002F_007,C15002F_008,C15002F_009,C15002F_010,C15002F_011,C15002G_001,C15002G_002,C15002G_003,C15002G_004,C15002G_005,C15002G_006,C15002G_007,C15002G_008,C15002G_009,C15002G_010,C15002G_011,C15002H_001,C15002H_002,C15002H_003,C15002H_004,C15002H_005,C15002H_006,C15002H_007,C15002H_008,C15002H_009,C15002H_010,C15002H_011,C15002I_001,C15002I_002,C15002I_003,C15002I_004,C15002I_005,C15002I_006,C15002I_007,C15002I_008,C15002I_009,C15002I_010,C15002I_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010,B15012_011,B15012_012,B15012_013,B15012_014,B15012_015,B15012_016,C15010_001,C15010_002,C15010_003,C15010_004,C15010_005,C15010_006,C15010A_001,C15010A_002,C15010A_003,C15010A_004,C15010A_005,C15010A_006,C15010B_001,C15010B_002,C15010B_003,C15010B_004,C15010B_005,C15010B_006,C15010C_001,C15010C_002,C15010C_003,C15010C_004,C15010C_005,C15010C_006,C15010D_001,C15010D_002,C15010D_003,C15010D_004,C15010D_005,C15010D_006,C15010E_001,C15010E_002,C15010E_003,C15010E_004,C15010E_005,C15010E_006,C15010F_001,C15010F_002,C15010F_003,C15010F_004,C15010F_005,C15010F_006,C15010G_001,C15010G_002,C15010G_003,C15010G_004,C15010G_005,C15010G_006,C15010H_001,C15010H_002,C15010H_003,C15010H_004,C15010H_005,C15010H_006,C15010I_001,C15010I_002,C15010I_003,C15010I_004,C15010I_005,C15010I_006
40,RI,44,,,,,04000US44,Rhode Island,842085,402478,58584,656,6860,17843,23550,2809,6270,596,69586,2401,4921,19647,14978,4647,16362,6630,61983,3067,3960,17493,12046,5180,12312,7925,141626,6988,10711,42499,24081,12132,26799,18416,70699,7398,7177,18419,9993,3766,12011,11935,439607,58793,597,4342,15531,27791,2616,7305,611,68195,1506,3642,13107,15691,6160,18877,9212,63848,2407,3141,13815,12902,6548,14801,10234,152953,7420,7827,40675,29330,17757,29117,20827,95818,10503,11489,34993,13627,5436,10017,9753,724708,343894,5032,4127,3756,6939,6415,7743,7150,5461,98058,18208,42890,25725,67484,28423,8843,7640,380814,5939,4799,4031,7067,6886,7180,7269,4764,102590,20672,50878,35901,72812,38437,6522,5067,724708,10971,73,103,730,1391,2700,3929,2415,5372,3802,10204,13301,14923,14419,10225,167868,32780,38880,93768,61626,140296,66860,15365,12707,612770,288751,32759,83039,73265,99688,324019,33762,87561,92843,109853,40429,19817,3905,5816,6083,4013,20612,4052,6189,6216,4155,3346,1769,372,684,376,337,1577,307,694,448,128,20936,9874,1636,1725,1578,4935,11062,2234,1914,1948,4966,330,119,8,22,13,76,211,8,22,130,51,34707,17458,6908,5308,3731,1511,17249,6486,4698,4156,1909,12190,6106,1035,1464,1777,1830,6084,1086,1512,1710,1776,574466,270829,27953,76627,69523,96726,303637,28722,80793,87372,106750,78168,38099,12869,12174,8119,4937,40069,12227,12199,10360,5283,235228,112390,32683,13686,1647,6391,1415,9544,55761,22787,3092,13240,3375,13267,23946,9546,1017,5598,2632,5153,122838,39950,13302,4166,6460,4879,11143,63118,16261,9097,10123,11248,16389,19770,4129,2756,1064,6015,5806,255077,9835,14943,7823,14587,22368,16099,1901,23548,44208,31713,14898,14832,13797,8480,16045,235228,79711,21775,42876,29564,61302,209541,68407,19592,38123,28017,55402,8168,3237,603,1677,526,2125,465,174,38,133,33,87,9901,5447,794,1489,412,1759,127,18,56,26,27,0,3420,927,251,920,373,949,3606,1501,441,508,176,980,203476,66466,19119,36682,27405,53804,10220,3095,788,2592,979,2766
40,RI,44,,,,,04001US44,Rhode Island -- Urban,763609,363278,54646,626,6531,16349,22245,2587,5721,587,65180,2364,4678,18163,14098,4299,15193,6385,56544,2988,3753,15766,10950,4614,11200,7273,124043,6723,9813,37215,21196,10502,22748,15846,62865,6951,6622,16562,8874,3138,10432,10286,400331,55249,597,4043,14403,26672,2363,6614,557,64363,1494,3537,12334,15074,5770,17494,8660,58340,2406,3088,12731,11892,5953,12935,9335,135240,7236,7314,36413,26092,15401,24925,17859,87139,10052,10787,32042,12366,4799,8697,8396,653714,308632,4744,4096,3610,6576,5933,7311,6579,5043,87706,16360,38758,22553,59573,25158,7715,6917,345082,5695,4777,3937,6779,6530,6804,6860,4532,93520,18986,46438,31923,64051,33865,5893,4492,653714,10439,73,103,730,1370,2700,3897,2348,5199,3750,9605,12463,14115,13439,9575,151162,30064,35346,85196,54476,123624,59023,13608,11409,544161,254829,30192,73088,64435,87114,289332,31771,78820,82933,95808,39858,19420,3858,5717,6007,3838,20438,4043,6122,6185,4088,3087,1615,329,605,354,327,1472,286,622,443,121,20306,9566,1594,1718,1485,4769,10740,2234,1837,1881,4788,242,79,8,0,13,58,163,8,6,130,19,34359,17226,6877,5205,3654,1490,17133,6486,4673,4139,1835,11701,5897,1034,1373,1723,1767,5804,1086,1440,1636,1642,506543,237249,25447,66779,60735,84288,269294,26789,72146,77526,92833,77144,37513,12778,11968,8010,4757,39631,12169,12088,10296,5078,207664,99363,30574,12808,1547,6086,1323,8810,48071,19156,2698,11452,2974,11791,20718,8054,819,5000,2298,4547,108301,36972,12316,3844,5881,4493,10438,54236,13901,7797,8717,9497,14324,17093,3471,2390,919,5206,5107,225409,8791,12736,6764,12715,20086,13817,1722,20618,39260,27684,13313,13550,12391,7847,14115,207664,69706,19095,38055,25791,55017,182922,58856,17148,33430,24296,49192,7926,3089,573,1631,518,2115,448,164,31,133,33,87,9557,5269,701,1460,385,1742,77,0,24,26,27,0,3325,904,241,867,364,949,3409,1424,377,508,168,932,177121,57016,16687,32079,23710,47629,9835,2943,766,2449,953,2724
40,RI,44,,,,,04043US44,Rhode Island -- Rural,78476,39200,3938,30,329,1494,1305,222,549,9,4406,37,243,1484,880,348,1169,245,5439,79,207,1727,1096,566,1112,652,17583,265,898,5284,2885,1630,4051,2570,7834,447,555,1857,1119,628,1579,1649,39276,3544,0,299,1128,1119,253,691,54,3832,12,105,773,617,390,1383,552,5508,1,53,1084,1010,595,1866,899,17713,184,513,4262,3238,2356,4192,2968,8679,451,702,2951,1261,637,1320,1357,70994,35262,288,31,146,363,482,432,571,418,10352,1848,4132,3172,7911,3265,1128,723,35732,244,22,94,288,356,376,409,232,9070,1686,4440,3978,8761,4572,629,575,70994,532,0,0,0,21,0,32,67,173,52,599,838,808,980,650,16706,2716,3534,8572,7150,16672,7837,1757,1298,68609,33922,2567,9951,8830,12574,34687,1991,8741,9910,14045,571,397,47,99,76,175,174,9,67,31,67,259,154,43,79,22,10,105,21,72,5,7,630,308,42,7,93,166,322,0,77,67,178,88,40,0,22,0,18,48,0,16,0,32,348,232,31,103,77,21,116,0,25,17,74,489,209,1,91,54,63,280,0,72,74,134,67923,33580,2506,9848,8788,12438,34343,1933,8647,9846,13917,1024,586,91,206,109,180,438,58,111,64,205,27564,13027,2109,878,100,305,92,734,7690,3631,394,1788,401,1476,3228,1492,198,598,334,606,14537,2978,986,322,579,386,705,8882,2360,1300,1406,1751,2065,2677,658,366,145,809,699,29668,1044,2207,1059,1872,2282,2282,179,2930,4948,4029,1585,1282,1406,633,1930,27564,10005,2680,4821,3773,6285,26619,9551,2444,4693,3721,6210,242,148,30,46,8,10,17,10,7,0,0,0,344,178,93,29,27,17,50,18,32,0,0,0,95,23,10,53,9,0,197,77,64,0,8,48,26355,9450,2432,4603,3695,6175,385,152,22,143,26,42
40,RI,44,,,,,040A0US44,Rhode Island -- In metropolitan or micropolitan statistical area,842085,402478,58584,656,6860,17843,23550,2809,6270,596,69586,2401,4921,19647,14978,4647,16362,6630,61983,3067,3960,17493,12046,5180,12312,7925,141626,6988,10711,42499,24081,12132,26799,18416,70699,7398,7177,18419,9993,3766,12011,11935,439607,58793,597,4342,15531,27791,2616,7305,611,68195,1506,3642,13107,15691,6160,18877,9212,63848,2407,3141,13815,12902,6548,14801,10234,152953,7420,7827,40675,29330,17757,29117,20827,95818,10503,11489,34993,13627,5436,10017,9753,724708,343894,5032,4127,3756,6939,6415,7743,7150,5461,98058,18208,42890,25725,67484,28423,8843,7640,380814,5939,4799,4031,7067,6886,7180,7269,4764,102590,20672,50878,35901,72812,38437,6522,5067,724708,10971,73,103,730,1391,2700,3929,2415,5372,3802,10204,13301,14923,14419,10225,167868,32780,38880,93768,61626,140296,66860,15365,12707,612770,288751,32759,83039,73265,99688,324019,33762,87561,92843,109853,40429,19817,3905,5816,6083,4013,20612,4052,6189,6216,4155,3346,1769,372,684,376,337,1577,307,694,448,128,20936,9874,1636,1725,1578,4935,11062,2234,1914,1948,4966,330,119,8,22,13,76,211,8,22,130,51,34707,17458,6908,5308,3731,1511,17249,6486,4698,4156,1909,12190,6106,1035,1464,1777,1830,6084,1086,1512,1710,1776,574466,270829,27953,76627,69523,96726,303637,28722,80793,87372,106750,78168,38099,12869,12174,8119,4937,40069,12227,12199,10360,5283,235228,112390,32683,13686,1647,6391,1415,9544,55761,22787,3092,13240,3375,13267,23946,9546,1017,5598,2632,5153,122838,39950,13302,4166,6460,4879,11143,63118,16261,9097,10123,11248,16389,19770,4129,2756,1064,6015,5806,255077,9835,14943,7823,14587,22368,16099,1901,23548,44208,31713,14898,14832,13797,8480,16045,235228,79711,21775,42876,29564,61302,209541,68407,19592,38123,28017,55402,8168,3237,603,1677,526,2125,465,174,38,133,33,87,9901,5447,794,1489,412,1759,127,18,56,26,27,0,3420,927,251,920,373,949,3606,1501,441,508,176,980,203476,66466,19119,36682,27405,53804,10220,3095,788,2592,979,2766
40,RI,44,,,,,040C0US44,Rhode Island -- In metropolitan statistical area,842085,402478,58584,656,6860,17843,23550,2809,6270,596,69586,2401,4921,19647,14978,4647,16362,6630,61983,3067,3960,17493,12046,5180,12312,7925,141626,6988,10711,42499,24081,12132,26799,18416,70699,7398,7177,18419,9993,3766,12011,11935,439607,58793,597,4342,15531,27791,2616,7305,611,68195,1506,3642,13107,15691,6160,18877,9212,63848,2407,3141,13815,12902,6548,14801,10234,152953,7420,7827,40675,29330,17757,29117,20827,95818,10503,11489,34993,13627,5436,10017,9753,724708,343894,5032,4127,3756,6939,6415,7743,7150,5461,98058,18208,42890,25725,67484,28423,8843,7640,380814,5939,4799,4031,7067,6886,7180,7269,4764,102590,20672,50878,35901,72812,38437,6522,5067,724708,10971,73,103,730,1391,2700,3929,2415,5372,3802,10204,13301,14923,14419,10225,167868,32780,38880,93768,61626,140296,66860,15365,12707,612770,288751,32759,83039,73265,99688,324019,33762,87561,92843,109853,40429,19817,3905,5816,6083,4013,20612,4052,6189,6216,4155,3346,1769,372,684,376,337,1577,307,694,448,128,20936,9874,1636,1725,1578,4935,11062,2234,1914,1948,4966,330,119,8,22,13,76,211,8,22,130,51,34707,17458,6908,5308,3731,1511,17249,6486,4698,4156,1909,12190,6106,1035,1464,1777,1830,6084,1086,1512,1710,1776,574466,270829,27953,76627,69523,96726,303637,28722,80793,87372,106750,78168,38099,12869,12174,8119,4937,40069,12227,12199,10360,5283,235228,112390,32683,13686,1647,6391,1415,9544,55761,22787,3092,13240,3375,13267,23946,9546,1017,5598,2632,5153,122838,39950,13302,4166,6460,4879,11143,63118,16261,9097,10123,11248,16389,19770,4129,2756,1064,6015,5806,255077,9835,14943,7823,14587,22368,16099,1901,23548,44208,31713,14898,14832,13797,8480,16045,235228,79711,21775,42876,29564,61302,209541,68407,19592,38123,28017,55402,8168,3237,603,1677,526,2125,465,174,38,133,33,87,9901,5447,794,1489,412,1759,127,18,56,26,27,0,3420,927,251,920,373,949,3606,1501,441,508,176,980,203476,66466,19119,36682,27405,53804,10220,3095,788,2592,979,2766
40,RI,44,,,,,040C1US44,Rhode Island -- In metropolitan statistical area -- in principal city,205513,98098,18309,254,2318,4558,8565,752,1740,122,20816,1279,1428,5271,4196,1157,4830,2655,15976,1570,1544,4023,3031,1068,2791,1949,29706,2656,3329,8576,4601,2253,4725,3566,13291,1890,1478,3318,1664,584,2276,2081,107415,20368,304,1383,4796,10289,1002,2349,245,21189,905,1661,3775,4803,1634,5205,3206,15644,1202,1389,3851,2690,1492,2602,2418,31509,3011,2282,8316,6022,3176,4634,4068,18705,2724,1997,6309,2615,1081,2044,1935,166836,79789,1649,1871,1619,2256,1963,2183,1975,1658,21188,3788,9704,5062,14622,5862,1978,2411,87047,2216,1469,1854,2303,1903,1988,2091,1347,22251,4573,11557,7383,14485,8190,1820,1617,166836,3865,44,26,483,616,1072,1099,957,2516,1427,3132,3866,4171,4066,3005,35962,7477,8361,21261,12445,29107,14052,3798,4028,114410,54698,7660,14113,12977,19948,59712,7268,15038,16252,21154,17581,8370,1791,2440,2487,1652,9211,1749,2614,2996,1852,1540,726,153,409,118,46,814,166,253,355,40,7871,3853,787,716,519,1831,4018,1155,649,532,1682,74,11,0,0,0,11,63,0,0,63,0,21378,10181,4426,3082,2015,658,11197,4441,3251,2671,834,3982,1950,357,428,438,727,2032,392,446,644,550,98092,47321,5191,11584,11676,18870,50771,4809,11981,14011,19970,41597,19670,7624,6274,3769,2003,21927,7490,6651,5572,2214,50985,24873,9864,4113,391,1736,360,3264,10652,4302,727,2074,644,2905,4357,1454,247,913,384,1359,26112,11009,4173,827,1693,1099,3217,11124,2891,1298,1849,1332,3754,3979,955,607,241,837,1339,55940,1833,3381,2062,3226,5607,3126,634,4503,8713,5023,4378,3821,4387,1937,3309,50985,17888,4097,8506,4656,15838,41102,14023,3309,6465,4073,13232,3504,1221,303,786,244,950,86,27,0,19,0,40,3513,1823,247,634,139,670,11,0,11,0,0,0,1492,268,121,430,158,515,1277,526,106,172,42,431,38840,13377,3185,5876,3840,12562,4217,1076,318,1075,402,1346
40,RI,44,,,,,040C2US44,Rhode Island -- In metropolitan statistical area -- not in principal city,636572,304380,40275,402,4542,13285,14985,2057,4530,474,48770,1122,3493,14376,10782,3490,11532,3975,46007,1497,2416,13470,9015,4112,9521,5976,111920,4332,7382,33923,19480,9879,22074,14850,57408,5508,5699,15101,8329,3182,9735,9854,332192,38425,293,2959,10735,17502,1614,4956,366,47006,601,1981,9332,10888,4526,13672,6006,48204,1205,1752,9964,10212,5056,12199,7816,121444,4409,5545,32359,23308,14581,24483,16759,77113,7779,9492,28684,11012,4355,7973,7818,557872,264105,3383,2256,2137,4683,4452,5560,5175,3803,76870,14420,33186,20663,52862,22561,6865,5229,293767,3723,3330,2177,4764,4983,5192,5178,3417,80339,16099,39321,28518,58327,30247,4702,3450,557872,7106,29,77,247,775,1628,2830,1458,2856,2375,7072,9435,10752,10353,7220,131906,25303,30519,72507,49181,111189,52808,11567,8679,498360,234053,25099,68926,60288,79740,264307,26494,72523,76591,88699,22848,11447,2114,3376,3596,2361,11401,2303,3575,3220,2303,1806,1043,219,275,258,291,763,141,441,93,88,13065,6021,849,1009,1059,3104,7044,1079,1265,1416,3284,256,108,8,22,13,65,148,8,22,67,51,13329,7277,2482,2226,1716,853,6052,2045,1447,1485,1075,8208,4156,678,1036,1339,1103,4052,694,1066,1066,1226,476374,223508,22762,65043,57847,77856,252866,23913,68812,73361,86780,36571,18429,5245,5900,4350,2934,18142,4737,5548,4788,3069,184243,87517,22819,9573,1256,4655,1055,6280,45109,18485,2365,11166,2731,10362,19589,8092,770,4685,2248,3794,96726,28941,9129,3339,4767,3780,7926,51994,13370,7799,8274,9916,12635,15791,3174,2149,823,5178,4467,199137,8002,11562,5761,11361,16761,12973,1267,19045,35495,26690,10520,11011,9410,6543,12736,184243,61823,17678,34370,24908,45464,168439,54384,16283,31658,23944,42170,4664,2016,300,891,282,1175,379,147,38,114,33,47,6388,3624,547,855,273,1089,116,18,45,26,27,0,1928,659,130,490,215,434,2329,975,335,336,134,549,164636,53089,15934,30806,23565,41242,6003,2019,470,1517,577,1420
50,RI,44,001,,,,05000US44001,"Bristol County, Rhode Island",39638,18856,2825,0,137,740,1537,46,339,26,2431,18,121,547,376,186,842,341,2571,44,102,375,593,157,815,485,6981,146,439,1297,886,581,1786,1846,4048,434,360,1009,430,159,630,1026,20782,2664,0,82,722,1498,84,246,32,2375,21,48,270,526,267,811,432,2778,5,29,295,556,314,762,817,7739,122,376,1684,1039,941,1981,1596,5226,573,455,1648,637,235,749,929,34149,16031,141,222,126,153,233,341,254,194,3228,777,1508,1083,4073,2106,939,653,18118,218,250,64,189,221,279,228,180,3897,844,1914,1757,4303,2775,718,281,34149,359,0,8,0,29,115,320,44,146,45,297,454,620,482,374,5783,1342,1621,3422,2840,8376,4881,1657,934,32897,15457,1619,3115,3279,7444,17440,1518,3806,4366,7750,404,242,15,51,27,149,162,71,16,50,25,0,0,0,0,0,0,0,0,0,0,0,512,199,11,32,36,120,313,12,59,28,214,0,0,0,0,0,0,0,0,0,0,0,88,36,17,0,10,9,52,1,0,51,0,248,97,2,30,16,49,151,27,16,20,88,32397,15203,1557,3074,3254,7318,17194,1518,3806,4250,7620,640,317,84,61,37,135,323,1,0,167,155,15848,7771,1708,568,66,303,86,685,4407,1856,305,1105,193,948,1656,722,78,286,196,374,8077,1891,537,203,294,176,681,4508,1237,589,683,603,1396,1678,392,140,130,486,530,17162,515,1139,464,1008,1418,1139,125,1526,2881,1915,1166,1135,1098,737,896,15848,5312,1381,2801,1740,4614,15194,4878,1355,2769,1687,4505,174,167,0,0,0,7,0,0,0,0,0,0,334,201,26,32,31,44,0,0,0,0,0,0,9,0,0,0,0,9,137,66,0,0,22,49,14938,4788,1355,2699,1665,4431,290,115,0,70,22,83
50,RI,44,003,,,,05000US44003,"Kent County, Rhode Island",132941,63033,6319,5,828,2301,2180,292,665,48,10280,43,731,2856,2215,898,2665,872,10144,109,464,2801,2481,997,1993,1299,24204,658,1345,7395,4388,2736,4968,2714,12086,724,1179,3498,1904,748,2574,1459,69908,6034,18,587,1345,2785,331,959,9,10303,25,366,2126,2221,1076,2944,1545,10290,154,286,1803,2155,1753,2391,1748,26546,472,1007,7032,6272,3875,4592,3296,16735,1018,1794,6825,2679,1097,1888,1434,120588,56714,369,149,104,912,651,1181,997,890,16550,3218,7770,5379,12200,4327,1211,806,63874,461,188,333,687,773,1086,880,714,17786,4369,8958,7801,11815,6460,905,658,120588,830,0,0,65,0,22,250,125,312,493,1106,1424,2267,1877,1604,28435,5901,7587,16728,13180,24015,10787,2116,1464,113195,52849,4973,15675,15180,17021,60346,4648,17055,20167,18476,1817,987,63,247,391,286,830,38,277,196,319,196,113,0,22,46,45,83,17,0,45,21,2724,1308,86,177,267,778,1416,282,183,313,638,13,13,0,0,13,0,0,0,0,0,0,1373,852,69,271,262,250,521,13,141,208,159,1270,592,62,158,208,164,678,124,130,199,225,111047,51857,4905,15359,14898,16695,59190,4581,16781,19616,18212,3475,1741,91,570,506,574,1734,104,439,764,427,38382,18544,5141,1840,172,1052,342,1735,9370,3690,633,2191,678,2178,4033,1169,223,1296,435,910,19838,6209,2028,719,956,997,1509,10307,2480,1460,1691,1870,2806,3322,602,661,262,1043,754,41573,1328,2086,1148,2422,3290,2376,327,4063,7709,5787,2042,2420,1789,1490,3296,38382,11809,3868,7448,5365,9892,35497,10493,3729,6906,5208,9161,605,215,0,217,46,127,66,27,19,0,0,20,1416,876,91,212,49,188,0,0,0,0,0,0,409,35,0,46,27,301,389,163,29,67,35,95,34907,10273,3712,6772,5138,9012,1001,299,17,210,74,401
50,RI,44,005,,,,05000US44005,"Newport County, Rhode Island",67528,32983,4136,115,364,1079,1236,223,1009,110,4953,119,159,1014,837,350,1974,500,4971,85,66,1375,908,315,1373,849,11841,195,682,2990,1813,757,2942,2462,7082,375,347,1445,971,463,1517,1964,34545,3974,72,172,1093,1857,101,645,34,4409,18,1,679,931,333,1769,678,4584,127,33,612,867,397,1678,870,12786,187,406,2724,2285,1265,3543,2376,8792,606,703,2739,1675,524,1331,1214,59418,28847,225,130,125,294,380,350,230,294,6824,1409,3120,1885,7806,3865,1036,874,30571,222,139,166,411,223,445,276,199,6754,1741,4017,2519,8321,3967,647,524,59418,447,0,34,7,0,164,64,30,261,130,575,603,795,506,493,11517,2061,3150,7137,4404,16127,7832,1683,1398,54698,26260,1660,6195,5844,12561,28438,1793,6305,7659,12681,1726,905,47,233,242,383,821,99,216,295,211,122,90,71,0,6,13,32,20,12,0,0,943,452,52,86,61,253,491,29,81,103,278,26,26,0,0,0,26,0,0,0,0,0,803,435,129,140,102,64,368,96,48,76,148,1100,679,69,170,159,281,421,44,92,144,141,53494,25677,1540,6070,5714,12353,27817,1723,6209,7440,12445,2074,1148,250,281,250,367,926,164,157,272,333,27040,13581,3648,1540,203,847,192,866,6452,2953,190,1336,239,1734,3481,1818,80,456,306,821,13459,3659,1212,358,437,385,1267,7255,1984,1343,876,1121,1931,2545,696,322,52,592,883,29345,1236,1841,942,1420,3085,2471,291,2689,4116,3077,1956,1870,1734,957,1660,27040,10203,2496,4004,2835,7502,25242,9347,2271,3683,2741,7200,594,296,30,106,45,117,13,13,0,0,0,0,531,309,20,69,13,120,26,0,0,26,0,0,212,95,59,56,2,0,422,143,116,64,34,65,24798,9163,2233,3635,2683,7084,700,300,38,134,68,160
