SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B15001_001,B15001_002,B15001_003,B15001_004,B15001_005,B15001_006,B15001_007,B15001_008,B15001_009,B15001_010,B15001_011,B15001_012,B15001_013,B15001_014,B15001_015,B15001_016,B15001_017,B15001_018,B15001_019,B15001_020,B15001_021,B15001_022,B15001_023,B15001_024,B15001_025,B15001_026,B15001_027,B15001_028,B15001_029,B15001_030,B15001_031,B15001_032,B15001_033,B15001_034,B15001_035,B15001_036,B15001_037,B15001_038,B15001_039,B15001_040,B15001_041,B15001_042,B15001_043,B15001_044,B15001_045,B15001_046,B15001_047,B15001_048,B15001_049,B15001_050,B15001_051,B15001_052,B15001_053,B15001_054,B15001_055,B15001_056,B15001_057,B15001_058,B15001_059,B15001_060,B15001_061,B15001_062,B15001_063,B15001_064,B15001_065,B15001_066,B15001_067,B15001_068,B15001_069,B15001_070,B15001_071,B15001_072,B15001_073,B15001_074,B15001_075,B15001_076,B15001_077,B15001_078,B15001_079,B15001_080,B15001_081,B15001_082,B15001_083,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_013,B15003_014,B15003_015,B15003_016,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,C15002F_001,C15002F_002,C15002F_003,C15002F_004,C15002F_005,C15002F_006,C15002F_007,C15002F_008,C15002F_009,C15002F_010,C15002F_011,C15002G_001,C15002G_002,C15002G_003,C15002G_004,C15002G_005,C15002G_006,C15002G_007,C15002G_008,C15002G_009,C15002G_010,C15002G_011,C15002H_001,C15002H_002,C15002H_003,C15002H_004,C15002H_005,C15002H_006,C15002H_007,C15002H_008,C15002H_009,C15002H_010,C15002H_011,C15002I_001,C15002I_002,C15002I_003,C15002I_004,C15002I_005,C15002I_006,C15002I_007,C15002I_008,C15002I_009,C15002I_010,C15002I_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010,B15012_011,B15012_012,B15012_013,B15012_014,B15012_015,B15012_016,C15010_001,C15010_002,C15010_003,C15010_004,C15010_005,C15010_006,C15010A_001,C15010A_002,C15010A_003,C15010A_004,C15010A_005,C15010A_006,C15010B_001,C15010B_002,C15010B_003,C15010B_004,C15010B_005,C15010B_006,C15010C_001,C15010C_002,C15010C_003,C15010C_004,C15010C_005,C15010C_006,C15010D_001,C15010D_002,C15010D_003,C15010D_004,C15010D_005,C15010D_006,C15010E_001,C15010E_002,C15010E_003,C15010E_004,C15010E_005,C15010E_006,C15010F_001,C15010F_002,C15010F_003,C15010F_004,C15010F_005,C15010F_006,C15010G_001,C15010G_002,C15010G_003,C15010G_004,C15010G_005,C15010G_006,C15010H_001,C15010H_002,C15010H_003,C15010H_004,C15010H_005,C15010H_006,C15010I_001,C15010I_002,C15010I_003,C15010I_004,C15010I_005,C15010I_006
40,TN,47,,,,,04000US47,Tennessee,5053084,2429010,316126,5007,38430,124211,115398,10402,21556,1122,426360,13407,35921,142986,97192,26656,80782,29416,415306,16471,36456,142677,86842,26520,68608,37732,839005,42027,79779,293223,167492,51971,129464,75049,432213,50513,43982,131766,80356,17912,59102,48582,2624074,309618,3307,28542,97869,131086,13749,32492,2573,434840,10242,27702,110706,102633,36744,99335,47478,425311,11454,27402,114077,95346,40324,85682,51026,902069,32203,65350,301848,200061,79510,140003,83094,552236,61346,66293,214319,101171,22044,49805,37258,4427340,2112884,26207,13554,22516,60141,39961,56670,61496,38011,710652,128916,302966,123059,337956,117581,42563,30635,2314456,24253,10886,18200,61906,37734,53772,60414,34827,740950,153469,345742,178622,374825,168506,29115,21235,4427340,50460,464,716,1615,3442,9744,8459,10683,30033,27255,94792,77695,110442,121910,72838,1180447,271155,282385,648708,301681,712781,286087,71678,51870,3571428,1717790,240770,573911,449513,453596,1853638,227363,609994,528918,487363,672756,305396,55053,116488,87218,46637,367360,53430,109825,126466,77639,12785,6043,1394,1610,1705,1334,6742,1444,1742,2408,1148,70175,31754,4072,5038,4773,17871,38421,6375,7208,6638,18200,1867,930,118,319,321,172,937,182,205,446,104,46011,25911,12982,6413,3436,3080,20100,9065,5277,3346,2412,52318,25060,4167,6873,7975,6045,27258,4133,6699,9611,6815,3461949,1658705,218185,555843,439631,445046,1803244,210471,596862,517750,478161,162216,88269,37007,25533,14403,11326,73947,27172,19367,15502,11906,1122416,528735,162070,60875,8943,41120,8593,42539,258981,98630,16077,73819,18787,51668,107684,45209,7187,25752,12505,17031,593681,215107,59096,29607,38008,32401,55995,291511,59140,42655,65778,62634,61304,87063,13465,9679,7703,37191,19025,1204475,40039,78811,39988,54972,70103,74777,8264,123165,261801,178242,50129,60245,42864,48440,72635,1122416,336415,114148,252180,172111,247562,940959,273944,96561,210782,148199,211473,124276,35624,11233,31068,19719,26632,2482,766,220,582,353,561,36071,18759,4415,6253,1868,4776,276,141,0,21,27,87,5492,2304,498,1111,399,1180,12860,4877,1221,2363,1546,2853,923207,267437,94988,207012,146363,207407,23232,8386,2059,4862,2469,5456
40,TN,47,,,,,04001US47,Tennessee -- Urban,3348051,1580817,227577,3838,26676,80908,89604,7239,18346,966,308669,10814,23783,88346,73055,19045,67810,25816,278992,11955,22138,81733,60313,18076,53913,30864,515649,21904,42084,156250,107993,34939,96031,56448,249930,22368,22260,69823,48248,10609,41415,35207,1767234,231642,2261,20863,67839,102387,9199,26894,2199,322050,8743,19711,70353,75640,25981,81187,40435,291238,8885,17438,68372,64972,26550,65391,39630,573516,19547,38651,166064,133059,51187,103748,61260,348788,33031,39862,128370,68765,14759,36782,27219,2888832,1353240,16845,8111,14638,27447,21718,30170,35118,23259,396152,80918,208691,82669,259169,90628,33931,23776,1535592,16971,7588,12395,33252,22814,31807,37727,23314,433159,97590,244846,118477,287108,128996,22551,16997,2888832,33816,319,475,1128,2177,6219,5381,6456,20577,14609,46090,44532,61977,72845,46573,684621,144690,178508,453537,201146,546277,219624,56482,40773,2128695,1007530,111660,278908,277558,339404,1121165,119705,317733,325882,357845,610802,272348,46869,101774,80523,43182,338454,48623,99256,117945,72630,8724,4180,1065,1066,1089,960,4544,1040,1022,1733,749,63436,29249,3685,4677,4321,16566,34187,5676,6338,5576,16597,1492,761,111,258,267,125,731,143,142,342,104,40259,22736,11489,5539,2980,2728,17523,8014,4679,2729,2101,35424,16436,2427,3930,5540,4539,18988,2667,3989,6706,5626,2036863,958033,91941,264410,269411,332271,1078830,104641,307197,316801,350191,137741,74947,32397,21003,12056,9491,62794,24220,16011,12553,10010,863156,407504,135307,51025,6966,34545,6560,36211,195575,73927,11336,56922,12780,40610,76622,32297,5121,18683,8089,12432,455652,174684,49577,23004,31132,23582,47389,216967,44995,30637,50427,42488,48420,64001,10106,7138,5570,26636,14551,926291,31472,57057,30694,44313,57567,57456,6478,91074,204549,124480,42028,46706,35680,40848,55889,863156,261927,84202,197279,120135,199613,697249,204855,68500,159019,98787,166088,115812,32913,10290,29325,18052,25232,1709,464,169,388,235,453,33163,17570,3927,5615,1635,4416,229,110,0,21,11,87,4829,2113,454,974,277,1011,10165,3902,862,1937,1138,2326,682462,199235,67187,155764,97440,162836,19501,7282,1749,4211,1848,4411
40,TN,47,,,,,04043US47,Tennessee -- Rural,1705033,848193,88549,1169,11754,43303,25794,3163,3210,156,117691,2593,12138,54640,24137,7611,12972,3600,136314,4516,14318,60944,26529,8444,14695,6868,323356,20123,37695,136973,59499,17032,33433,18601,182283,28145,21722,61943,32108,7303,17687,13375,856840,77976,1046,7679,30030,28699,4550,5598,374,112790,1499,7991,40353,26993,10763,18148,7043,134073,2569,9964,45705,30374,13774,20291,11396,328553,12656,26699,135784,67002,28323,36255,21834,203448,28315,26431,85949,32406,7285,13023,10039,1538508,759644,9362,5443,7878,32694,18243,26500,26378,14752,314500,47998,94275,40390,78787,26953,8632,6859,778864,7282,3298,5805,28654,14920,21965,22687,11513,307791,55879,100896,60145,87717,39510,6564,4238,1538508,16644,145,241,487,1265,3525,3078,4227,9456,12646,48702,33163,48465,49065,26265,495826,126465,103877,195171,100535,166504,66463,15196,11097,1442733,710260,129110,295003,171955,114192,732473,107658,292261,203036,129518,61954,33048,8184,14714,6695,3455,28906,4807,10569,8521,5009,4061,1863,329,544,616,374,2198,404,720,675,399,6739,2505,387,361,452,1305,4234,699,870,1062,1603,375,169,7,61,54,47,206,39,63,104,0,5752,3175,1493,874,456,352,2577,1051,598,617,311,16894,8624,1740,2943,2435,1506,8270,1466,2710,2905,1189,1425086,700672,126244,291433,170220,112775,724414,105830,289665,200949,127970,24475,13322,4610,4530,2347,1835,11153,2952,3356,2949,1896,259260,121231,26763,9850,1977,6575,2033,6328,63406,24703,4741,16897,6007,11058,31062,12912,2066,7069,4416,4599,138029,40423,9519,6603,6876,8819,8606,74544,14145,12018,15351,20146,12884,23062,3359,2541,2133,10555,4474,278184,8567,21754,9294,10659,12536,17321,1786,32091,57252,53762,8101,13539,7184,7592,16746,259260,74488,29946,54901,51976,47949,243710,69089,28061,51763,49412,45385,8464,2711,943,1743,1667,1400,773,302,51,194,118,108,2908,1189,488,638,233,360,47,31,0,0,16,0,663,191,44,137,122,169,2695,975,359,426,408,527,240745,68202,27801,51248,48923,44571,3731,1104,310,651,621,1045
40,TN,47,,,,,040A0US47,Tennessee -- In metropolitan or micropolitan statistical area,4558355,2183071,289022,4664,34306,110412,108227,9528,20804,1081,388678,12412,30603,124470,89606,24883,77986,28718,375122,14804,30898,123471,79261,24541,65924,36223,751372,35642,67641,252951,152416,48167,123017,71538,378877,40539,37130,112370,71890,16246,54944,45758,2375284,285760,2941,25887,88063,122927,12309,31140,2493,401288,9760,24891,97820,94154,33496,95359,45808,387799,10485,24044,99794,86880,36897,81411,48288,813185,27476,56830,262589,183057,72671,132809,77753,487252,50203,56886,187032,92002,20030,46441,34658,3983573,1894049,23177,11468,19575,49177,33657,47399,51949,33267,613262,116753,276420,113837,321871,111856,40872,29509,2089524,21741,9453,15923,50807,32767,46075,52286,31523,647235,138282,317811,163094,356020,158653,27474,20380,3983573,44918,432,642,1431,2888,8263,7265,9182,26316,23019,76965,66424,93474,104235,64790,1029568,230929,255035,594231,276931,677891,270509,68346,49889,3172593,1523082,199042,487474,405919,430647,1649511,190253,524751,476056,458451,638803,286851,49480,107490,84133,45748,351952,50292,103354,122220,76086,11173,5241,1159,1348,1477,1257,5932,1265,1407,2176,1084,68452,31056,3977,4833,4680,17566,37396,6238,6819,6476,17863,1716,862,111,306,273,172,854,170,146,434,104,44460,24918,12469,6201,3341,2907,19542,8833,5114,3215,2380,46376,22039,3431,5610,7187,5811,24337,3524,5644,8610,6559,3068613,1467198,177468,470958,396431,422341,1601415,173900,512321,465384,449810,154898,83970,35445,23715,13817,10993,70928,26373,18425,14814,11316,1066635,504108,156579,59007,8555,39746,7951,41320,246827,93667,15418,70719,17336,49687,100702,42381,6654,24230,11361,16076,562527,206085,57260,28162,36473,29967,54223,275343,56600,40266,62555,56861,59061,81099,12737,9109,7157,34107,17989,1145032,38423,73956,38089,52720,67614,72107,7909,116775,250033,163378,48591,57480,41516,47255,69186,1066635,321652,108164,240880,157583,238356,889098,260617,90845,200146,134637,202853,121834,34839,11075,30623,19010,26287,2341,709,211,576,299,546,35429,18404,4372,6206,1841,4606,276,141,0,21,27,87,5287,2198,483,1062,381,1163,12370,4744,1178,2246,1388,2814,872151,254317,89470,196462,132945,198957,22309,8162,1838,4729,2311,5269
40,TN,47,,,,,040C0US47,Tennessee -- In metropolitan statistical area,3883546,1858021,248615,4112,29104,92521,94170,8332,19371,1005,340798,10830,25845,103101,79616,21846,72481,27079,323855,12586,25410,99602,69513,22244,60672,33828,637493,27642,54582,203980,132013,42542,111672,65062,307260,29859,28772,88028,59912,13176,47766,39747,2025525,247289,2368,22761,73609,107104,10400,28783,2264,352439,8389,21143,79988,82611,29246,88278,42784,335138,9033,19836,81130,73988,31741,74734,44676,691132,21549,46244,210265,159820,63197,120374,69683,399527,37732,46240,150308,77365,16945,40646,30291,3387642,1609406,19392,9330,15725,36470,27014,36917,42512,28166,494711,98185,242869,99808,292591,101422,37313,26981,1778236,18149,7720,13061,37773,26359,37168,43215,26721,521691,115608,278176,141129,324032,143545,25220,18669,3387642,37541,361,561,1154,2266,6645,6063,7254,21532,17723,56520,53373,74085,85727,54887,838645,177757,213793,521045,240937,616623,244967,62533,45650,2620258,1259485,150220,377723,344121,387421,1360773,144727,407240,398576,410230,612904,274392,47130,101254,81240,44768,338512,47919,97945,117855,74793,9254,4446,907,1050,1333,1156,4808,937,1075,1866,930,65200,29731,3744,4634,4487,16866,35469,5994,6397,6089,16989,1524,769,111,291,219,148,755,130,135,394,96,39606,22057,10823,5470,3162,2602,17549,7759,4587,2892,2311,38896,18526,2591,4289,6300,5346,20370,2700,4312,7241,6117,2527995,1209733,131048,363532,335504,379649,1318262,130219,396610,389018,402415,137456,74542,31217,20555,12618,10152,62914,23247,16015,13260,10392,969773,458307,145457,54800,7797,37168,7038,38654,225337,85568,13710,65396,14898,45765,87513,36803,5717,21330,9516,14147,511466,190816,53831,25833,33988,26109,51055,249713,52693,36134,57251,48977,54658,70937,11494,8008,6251,29184,16000,1041702,35497,66644,35233,48833,63427,64985,7218,105134,229884,140768,45311,52272,39320,44857,62319,969773,295189,97199,221384,135722,220279,797651,235949,80425,181759,113614,185904,119561,34300,10850,30027,18538,25846,2086,621,195,527,277,466,33855,17766,4148,5857,1669,4415,244,133,0,21,3,87,4913,2116,483,998,376,940,11463,4304,1098,2195,1245,2621,782064,230017,79208,178289,112316,182234,20544,7701,1672,4426,1896,4849
40,TN,47,,,,,040C1US47,Tennessee -- In metropolitan statistical area -- in principal city,1759450,830229,133591,2234,14795,43650,55575,3886,12822,629,186421,7313,14293,48481,43609,10646,44607,17472,144186,7578,12270,40550,30267,9510,27765,16246,255593,11305,23088,76503,53180,16939,47075,27503,110438,9055,10292,28171,22073,4635,18690,17522,929221,141737,1274,11955,37027,66111,5158,18689,1523,192153,5864,12551,37459,43373,14362,52065,26479,147828,5319,10571,33835,31133,12941,32845,21184,283992,9796,20692,76968,67976,24962,51854,31744,163511,14042,19364,55852,34131,6604,18525,14993,1484122,696638,9973,4579,8198,12501,11970,15570,19891,12512,193705,37980,111149,41730,138137,46570,19035,13138,787484,9724,4071,7052,14174,11944,16991,21128,13115,204114,46135,130478,58869,155289,70615,13158,10627,1484122,19697,51,266,605,1180,3650,2898,3207,12043,7320,19355,23914,32561,41019,25627,334402,63417,84115,241627,100599,293426,117185,32193,23765,915731,439762,44504,105512,120015,169731,475969,46438,116069,133201,180261,477398,211226,37859,79325,62173,31869,266172,40073,78870,92730,54499,4164,2050,640,411,463,536,2114,487,476,777,374,37054,17409,2284,2721,2541,9863,19645,3668,3630,3077,9270,1004,559,83,214,162,100,445,77,60,230,78,28062,15695,8482,3481,2119,1613,12367,6096,3100,1840,1331,20709,9937,1342,2041,3386,3168,10772,1360,1909,3627,3876,861044,409288,31895,97116,115138,165139,451756,37443,109771,128277,176265,86290,47936,21785,12515,7501,6135,38354,15795,9753,7142,5664,466569,216880,85352,32032,4344,20856,3816,24304,95316,34746,5356,26983,5781,22450,36212,14247,2509,8635,3952,6869,249689,107618,31358,13183,18656,12549,31872,108553,23194,14346,24568,19477,26968,33518,5767,3449,2564,13312,8426,503278,17071,31536,16146,24915,34672,26311,3759,46866,106687,61177,26524,26983,23801,26045,30785,466569,141344,43187,102262,58887,120889,349992,102356,32226,76235,43548,95627,86368,24571,7540,20778,13456,20023,910,327,116,140,89,238,19133,10173,2362,3061,886,2651,178,85,0,21,3,69,2944,1231,330,583,165,635,7044,2601,613,1444,740,1646,341404,99122,31684,74427,42872,93299,11799,4303,832,2489,1020,3155
40,TN,47,,,,,040C2US47,Tennessee -- In metropolitan statistical area -- not in principal city,2124096,1027792,115024,1878,14309,48871,38595,4446,6549,376,154377,3517,11552,54620,36007,11200,27874,9607,179669,5008,13140,59052,39246,12734,32907,17582,381900,16337,31494,127477,78833,25603,64597,37559,196822,20804,18480,59857,37839,8541,29076,22225,1096304,105552,1094,10806,36582,40993,5242,10094,741,160286,2525,8592,42529,39238,14884,36213,16305,187310,3714,9265,47295,42855,18800,41889,23492,407140,11753,25552,133297,91844,38235,68520,37939,236016,23690,26876,94456,43234,10341,22121,15298,1903520,912768,9419,4751,7527,23969,15044,21347,22621,15654,301006,60205,131720,58078,154454,54852,18278,13843,990752,8425,3649,6009,23599,14415,20177,22087,13606,317577,69473,147698,82260,168743,72930,12062,8042,1903520,17844,310,295,549,1086,2995,3165,4047,9489,10403,37165,29459,41524,44708,29260,504243,114340,129678,279418,140338,323197,127782,30340,21885,1704527,819723,105716,272211,224106,217690,884804,98289,291171,265375,229969,135506,63166,9271,21929,19067,12899,72340,7846,19075,25125,20294,5090,2396,267,639,870,620,2694,450,599,1089,556,28146,12322,1460,1913,1946,7003,15824,2326,2767,3012,7719,520,210,28,77,57,48,310,53,75,164,18,11544,6362,2341,1989,1043,989,5182,1663,1487,1052,980,18187,8589,1249,2248,2914,2178,9598,1340,2403,3614,2241,1666951,800445,99153,266416,220366,214510,866506,92776,286839,260741,226150,51166,26606,9432,8040,5117,4017,24560,7452,6262,6118,4728,503204,241427,60105,22768,3453,16312,3222,14350,130021,50822,8354,38413,9117,23315,51301,22556,3208,12695,5564,7278,261777,83198,22473,12650,15332,13560,19183,141160,29499,21788,32683,29500,27690,37419,5727,4559,3687,15872,7574,538424,18426,35108,19087,23918,28755,38674,3459,58268,123197,79591,18787,25289,15519,18812,31534,503204,153845,54012,119122,76835,99390,447659,133593,48199,105524,70066,90277,33193,9729,3310,9249,5082,5823,1176,294,79,387,188,228,14722,7593,1786,2796,783,1764,66,48,0,0,0,18,1969,885,153,415,211,305,4419,1703,485,751,505,975,440660,130895,47524,103862,69444,88935,8745,3398,840,1937,876,1694
40,TN,47,,,,,040E0US47,Tennessee -- In micropolitan statistical area,674809,325050,40407,552,5202,17891,14057,1196,1433,76,47880,1582,4758,21369,9990,3037,5505,1639,51267,2218,5488,23869,9748,2297,5252,2395,113879,8000,13059,48971,20403,5625,11345,6476,71617,10680,8358,24342,11978,3070,7178,6011,349759,38471,573,3126,14454,15823,1909,2357,229,48849,1371,3748,17832,11543,4250,7081,3024,52661,1452,4208,18664,12892,5156,6677,3612,122053,5927,10586,52324,23237,9474,12435,8070,87725,12471,10646,36724,14637,3085,5795,4367,595931,284643,3785,2138,3850,12707,6643,10482,9437,5101,118551,18568,33551,14029,29280,10434,3559,2528,311288,3592,1733,2862,13034,6408,8907,9071,4802,125544,22674,39635,21965,31988,15108,2254,1711,595931,7377,71,81,277,622,1618,1202,1928,4784,5296,20445,13051,19389,18508,9903,190923,53172,41242,73186,35994,61268,25542,5813,4239,552335,263597,48822,109751,61798,43226,288738,45526,117511,77480,48221,25899,12459,2350,6236,2893,980,13440,2373,5409,4365,1293,1919,795,252,298,144,101,1124,328,332,310,154,3252,1325,233,199,193,700,1927,244,422,387,874,192,93,0,15,54,24,99,40,11,40,8,4854,2861,1646,731,179,305,1993,1074,527,323,69,7480,3513,840,1321,887,465,3967,824,1332,1369,442,540618,257465,46420,107426,60927,42692,283153,43681,115711,76366,47395,17442,9428,4228,3160,1199,841,8014,3126,2410,1554,924,96862,45801,11122,4207,758,2578,913,2666,21490,8099,1708,5323,2438,3922,13189,5578,937,2900,1845,1929,51061,15269,3429,2329,2485,3858,3168,25630,3907,4132,5304,7884,4403,10162,1243,1101,906,4923,1989,103330,2926,7312,2856,3887,4187,7122,691,11641,20149,22610,3280,5208,2196,2398,6867,96862,26463,10965,19496,21861,18077,91447,24668,10420,18387,21023,16949,2273,539,225,596,472,441,255,88,16,49,22,80,1574,638,224,349,172,191,32,8,0,0,24,0,374,82,0,64,5,223,907,440,80,51,143,193,90087,24300,10262,18173,20629,16723,1765,461,166,303,415,420
40,TN,47,,,,,040E1US47,Tennessee -- In micropolitan statistical area -- in principal city,191420,89126,15086,241,1633,5738,6340,468,615,51,16799,922,1808,6678,3643,768,2297,683,13706,982,1608,5663,2757,469,1660,567,27091,2125,2699,10717,5095,1403,2894,2158,16444,2309,1496,5535,2806,723,1887,1688,102294,15528,209,1210,5085,7699,471,808,46,15543,744,1324,4722,4152,1144,2303,1154,14513,640,1382,5064,3635,1107,1691,994,31437,1618,3084,12063,6509,2347,3619,2197,25273,3525,2861,10306,4792,673,1857,1259,160806,74040,1252,768,1447,2871,1671,2515,2154,1271,28593,4861,9440,3363,8738,3060,1185,851,86766,1122,645,1195,3565,1995,2401,2724,1531,32155,6525,12563,5271,9470,4294,752,558,160806,2374,44,35,84,250,596,404,627,2015,1506,4930,3666,4916,4878,2802,46904,13844,11386,22003,8634,18208,7354,1937,1409,136360,62559,11112,23394,15503,12550,73801,12490,27282,20583,13446,16965,7732,1390,4076,1746,520,9233,1552,3819,3003,859,760,391,190,116,32,53,369,144,86,116,23,1554,679,112,69,90,408,875,90,217,59,509,90,53,0,5,48,0,37,13,3,21,0,2489,1504,889,398,45,172,985,497,336,126,26,2588,1122,256,535,200,131,1466,392,412,451,211,130526,59426,9584,22333,15107,12402,71100,11358,26475,20172,13095,8830,4869,2519,1546,483,321,3961,1808,1174,594,385,28908,13834,4145,1574,336,988,308,939,6114,2181,394,1486,747,1306,3575,1560,252,781,500,482,15074,4674,1059,719,784,1116,996,7284,1159,1076,1418,2212,1419,3116,363,267,215,1581,690,30560,878,1915,676,1090,1286,2463,145,3302,5804,6677,1034,1276,753,733,2528,28908,7896,3044,5672,6464,5832,25996,6961,2804,5012,6016,5203,1379,291,143,378,268,299,76,30,7,39,0,0,917,398,82,216,108,113,0,0,0,0,0,0,198,22,0,5,5,166,342,194,8,22,67,51,25497,6841,2770,4912,5818,5156,706,164,42,136,203,161
40,TN,47,,,,,040E2US47,Tennessee -- In micropolitan statistical area -- not in principal city,483389,235924,25321,311,3569,12153,7717,728,818,25,31081,660,2950,14691,6347,2269,3208,956,37561,1236,3880,18206,6991,1828,3592,1828,86788,5875,10360,38254,15308,4222,8451,4318,55173,8371,6862,18807,9172,2347,5291,4323,247465,22943,364,1916,9369,8124,1438,1549,183,33306,627,2424,13110,7391,3106,4778,1870,38148,812,2826,13600,9257,4049,4986,2618,90616,4309,7502,40261,16728,7127,8816,5873,62452,8946,7785,26418,9845,2412,3938,3108,435125,210603,2533,1370,2403,9836,4972,7967,7283,3830,89958,13707,24111,10666,20542,7374,2374,1677,224522,2470,1088,1667,9469,4413,6506,6347,3271,93389,16149,27072,16694,22518,10814,1502,1153,435125,5003,27,46,193,372,1022,798,1301,2769,3790,15515,9385,14473,13630,7101,144019,39328,29856,51183,27360,43060,18188,3876,2830,415975,201038,37710,86357,46295,30676,214937,33036,90229,56897,34775,8934,4727,960,2160,1147,460,4207,821,1590,1362,434,1159,404,62,182,112,48,755,184,246,194,131,1698,646,121,130,103,292,1052,154,205,328,365,102,40,0,10,6,24,62,27,8,19,8,2365,1357,757,333,134,133,1008,577,191,197,43,4892,2391,584,786,687,334,2501,432,920,918,231,410092,198039,36836,85093,45820,30290,212053,32323,89236,56194,34300,8612,4559,1709,1614,716,520,4053,1318,1236,960,539,67954,31967,6977,2633,422,1590,605,1727,15376,5918,1314,3837,1691,2616,9614,4018,685,2119,1345,1447,35987,10595,2370,1610,1701,2742,2172,18346,2748,3056,3886,5672,2984,7046,880,834,691,3342,1299,72770,2048,5397,2180,2797,2901,4659,546,8339,14345,15933,2246,3932,1443,1665,4339,67954,18567,7921,13824,15397,12245,65451,17707,7616,13375,15007,11746,894,248,82,218,204,142,179,58,9,10,22,80,657,240,142,133,64,78,32,8,0,0,24,0,176,60,0,59,0,57,565,246,72,29,76,142,64590,17459,7492,13261,14811,11567,1059,297,124,167,212,259
