SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B15001_001,B15001_002,B15001_003,B15001_004,B15001_005,B15001_006,B15001_007,B15001_008,B15001_009,B15001_010,B15001_011,B15001_012,B15001_013,B15001_014,B15001_015,B15001_016,B15001_017,B15001_018,B15001_019,B15001_020,B15001_021,B15001_022,B15001_023,B15001_024,B15001_025,B15001_026,B15001_027,B15001_028,B15001_029,B15001_030,B15001_031,B15001_032,B15001_033,B15001_034,B15001_035,B15001_036,B15001_037,B15001_038,B15001_039,B15001_040,B15001_041,B15001_042,B15001_043,B15001_044,B15001_045,B15001_046,B15001_047,B15001_048,B15001_049,B15001_050,B15001_051,B15001_052,B15001_053,B15001_054,B15001_055,B15001_056,B15001_057,B15001_058,B15001_059,B15001_060,B15001_061,B15001_062,B15001_063,B15001_064,B15001_065,B15001_066,B15001_067,B15001_068,B15001_069,B15001_070,B15001_071,B15001_072,B15001_073,B15001_074,B15001_075,B15001_076,B15001_077,B15001_078,B15001_079,B15001_080,B15001_081,B15001_082,B15001_083,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_013,B15003_014,B15003_015,B15003_016,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,C15002F_001,C15002F_002,C15002F_003,C15002F_004,C15002F_005,C15002F_006,C15002F_007,C15002F_008,C15002F_009,C15002F_010,C15002F_011,C15002G_001,C15002G_002,C15002G_003,C15002G_004,C15002G_005,C15002G_006,C15002G_007,C15002G_008,C15002G_009,C15002G_010,C15002G_011,C15002H_001,C15002H_002,C15002H_003,C15002H_004,C15002H_005,C15002H_006,C15002H_007,C15002H_008,C15002H_009,C15002H_010,C15002H_011,C15002I_001,C15002I_002,C15002I_003,C15002I_004,C15002I_005,C15002I_006,C15002I_007,C15002I_008,C15002I_009,C15002I_010,C15002I_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010,B15012_011,B15012_012,B15012_013,B15012_014,B15012_015,B15012_016,C15010_001,C15010_002,C15010_003,C15010_004,C15010_005,C15010_006,C15010A_001,C15010A_002,C15010A_003,C15010A_004,C15010A_005,C15010A_006,C15010B_001,C15010B_002,C15010B_003,C15010B_004,C15010B_005,C15010B_006,C15010C_001,C15010C_002,C15010C_003,C15010C_004,C15010C_005,C15010C_006,C15010D_001,C15010D_002,C15010D_003,C15010D_004,C15010D_005,C15010D_006,C15010E_001,C15010E_002,C15010E_003,C15010E_004,C15010E_005,C15010E_006,C15010F_001,C15010F_002,C15010F_003,C15010F_004,C15010F_005,C15010F_006,C15010G_001,C15010G_002,C15010G_003,C15010G_004,C15010G_005,C15010G_006,C15010H_001,C15010H_002,C15010H_003,C15010H_004,C15010H_005,C15010H_006,C15010I_001,C15010I_002,C15010I_003,C15010I_004,C15010I_005,C15010I_006
40,VT,50,,,,,04000US50,Vermont,504558,246083,34586,339,3342,10826,15590,926,3494,69,36069,646,2748,11943,6244,2493,9135,2860,35594,595,2165,10920,6534,2983,8087,4310,91551,1691,5630,32605,15164,7450,16799,12212,48283,3648,3243,14462,6399,2825,8228,9478,258475,32668,167,2608,8498,15420,1308,4286,381,35680,435,1452,7806,7016,2927,11146,4898,36365,208,1063,7419,7202,3893,10185,6395,95852,1541,3273,25911,17538,10684,21235,15670,57910,3389,3713,19588,9434,4199,10008,7579,437304,211497,1417,284,739,4140,2441,4143,4079,3123,69930,9961,24380,15751,42249,18102,6292,4466,225807,1009,394,425,3745,2128,2622,2980,1771,60724,12496,28694,21703,52574,26622,4606,3314,437304,2426,46,55,115,158,78,226,353,811,896,6989,4569,6765,7059,4894,114813,15841,22457,53074,37454,94823,44724,10898,7780,419643,202986,18579,68352,47930,68125,216657,13650,59065,60281,83661,3525,2185,399,399,703,684,1340,253,161,458,468,1448,609,186,162,142,119,839,105,192,340,202,5695,2446,556,334,331,1225,3249,677,599,577,1396,111,59,9,13,7,30,52,5,8,13,26,1282,540,112,86,159,183,742,145,141,168,288,5600,2672,525,584,820,743,2928,239,558,1056,1075,415462,200931,18288,67889,47364,67390,214531,13442,58639,59637,82813,5644,2680,442,546,775,917,2964,393,504,952,1115,158225,71109,17673,8174,787,2739,497,5476,35730,16702,1637,5913,2651,8827,17706,8331,840,2245,1796,4494,87116,24500,9131,2116,2983,2858,7412,45029,13416,4833,5043,8584,13153,17587,3622,2089,855,5163,5858,172492,5791,15174,5913,11137,16290,9278,1518,13471,20565,22754,14271,12329,10653,4698,8650,158225,59376,12302,19778,21549,45220,151786,56418,11916,18752,21101,43599,1152,350,81,284,58,379,321,123,16,27,44,111,2621,1497,243,342,105,434,56,41,0,0,0,15,471,252,3,130,19,67,1818,695,43,243,222,615,150203,55626,11813,18586,20966,43212,2032,1048,108,304,152,420
40,VT,50,,,,,04001US50,Vermont -- Urban,197998,93954,19439,57,1335,4761,10597,350,2312,27,16707,294,1124,4448,2796,974,5228,1843,13166,239,896,3330,2626,925,3243,1907,29497,556,1832,9823,5043,2451,5292,4500,15145,1058,1204,4684,2081,862,2517,2739,104044,19676,121,1323,3805,10762,602,2762,301,16700,285,759,3253,3215,1155,5423,2610,14034,119,611,2631,2868,1228,4018,2559,31982,880,1280,8189,6067,3672,6580,5314,21652,1526,1547,7560,3343,1677,3476,2523,158883,74515,632,134,241,1140,863,1495,1404,1294,22285,3579,8967,5212,16280,6799,2477,1713,84368,627,184,258,1741,915,1038,1419,825,21633,4665,10828,7732,19497,10011,1725,1270,158883,1259,30,35,3,89,33,128,200,299,300,2581,1778,2533,2823,2119,37954,5964,8244,19795,12944,35777,16810,4202,2983,148804,69465,6075,21417,16619,25354,79339,5904,20719,22053,30663,2486,1532,265,267,516,484,954,220,117,287,330,395,191,74,40,59,18,204,47,40,67,50,4178,1937,525,285,188,939,2241,618,451,326,846,43,15,0,8,7,0,28,5,5,12,6,638,247,27,38,59,123,391,70,92,59,170,2339,1128,237,230,310,351,1211,143,209,421,438,146915,68550,5984,21254,16376,24936,78365,5774,20434,21767,30390,2620,1205,133,197,329,546,1415,237,321,432,425,59772,27269,9568,4315,402,1545,231,3075,12445,5668,651,2269,790,3067,5256,2159,177,765,757,1398,32503,11254,4304,841,1517,1105,3487,15250,4362,1547,1869,2692,4780,5999,1238,777,347,1770,1867,65541,2429,4882,1741,4519,6322,3826,692,4893,8571,7708,5826,4951,3814,2056,3311,59772,22046,4395,8312,7345,17674,56017,20287,4162,7650,7138,16780,814,251,56,179,27,301,68,10,7,0,38,13,1785,1076,170,238,30,271,6,6,0,0,0,0,293,127,0,112,9,45,789,289,0,133,103,264,55326,19916,4108,7577,7113,16612,971,509,54,197,35,176
40,VT,50,,,,,04043US50,Vermont -- Rural,306560,152129,15147,282,2007,6065,4993,576,1182,42,19362,352,1624,7495,3448,1519,3907,1017,22428,356,1269,7590,3908,2058,4844,2403,62054,1135,3798,22782,10121,4999,11507,7712,33138,2590,2039,9778,4318,1963,5711,6739,154431,12992,46,1285,4693,4658,706,1524,80,18980,150,693,4553,3801,1772,5723,2288,22331,89,452,4788,4334,2665,6167,3836,63870,661,1993,17722,11471,7012,14655,10356,36258,1863,2166,12028,6091,2522,6532,5056,278421,136982,785,150,498,3000,1578,2648,2675,1829,47645,6382,15413,10539,25969,11303,3815,2753,141439,382,210,167,2004,1213,1584,1561,946,39091,7831,17866,13971,33077,16611,2881,2044,278421,1167,16,20,112,69,45,98,153,512,596,4408,2791,4232,4236,2775,76859,9877,14213,33279,24510,59046,27914,6696,4797,270839,133521,12504,46935,31311,42771,137318,7746,38346,38228,52998,1039,653,134,132,187,200,386,33,44,171,138,1053,418,112,122,83,101,635,58,152,273,152,1517,509,31,49,143,286,1008,59,148,251,550,68,44,9,5,0,30,24,0,3,1,20,644,293,85,48,100,60,351,75,49,109,118,3261,1544,288,354,510,392,1717,96,349,635,637,268547,132381,12304,46635,30988,42454,136166,7668,38205,37870,52423,3024,1475,309,349,446,371,1549,156,183,520,690,98453,43840,8105,3859,385,1194,266,2401,23285,11034,986,3644,1861,5760,12450,6172,663,1480,1039,3096,54613,13246,4827,1275,1466,1753,3925,29779,9054,3286,3174,5892,8373,11588,2384,1312,508,3393,3991,106951,3362,10292,4172,6618,9968,5452,826,8578,11994,15046,8445,7378,6839,2642,5339,98453,37330,7907,11466,14204,27546,95769,36131,7754,11102,13963,26819,338,99,25,105,31,78,253,113,9,27,6,98,836,421,73,104,75,163,50,35,0,0,0,15,178,125,3,18,10,22,1029,406,43,110,119,351,94877,35710,7705,11009,13853,26600,1061,539,54,107,117,244
40,VT,50,,,,,040A0US50,Vermont -- In metropolitan or micropolitan statistical area,373025,181398,26332,238,2421,7624,12309,709,2990,41,27101,430,1872,8217,4621,1793,7669,2499,26307,450,1534,7372,4937,2182,6395,3437,67136,1195,3816,23412,10928,5485,12744,9556,34522,2550,2262,10363,4421,2117,5937,6872,191627,25016,162,2098,5922,11884,979,3618,353,27078,299,973,5460,5259,2275,8738,4074,26903,177,752,5187,5171,2781,7836,4999,70483,1261,2306,18615,12663,7908,15910,11820,42147,2359,2615,14168,6817,3333,7450,5405,321677,155066,1023,220,590,2792,1645,2847,2795,2197,49364,7189,17718,11577,32745,13879,5014,3471,166611,817,285,322,2672,1511,1851,2127,1157,43430,9138,20772,16297,39934,20115,3592,2591,321677,1840,38,47,84,147,65,124,272,640,662,4802,3156,4698,4922,3354,81627,11167,16327,38490,27874,72679,33994,8606,6062,307874,148423,12677,48186,34948,52612,159451,9545,42074,44382,63450,2866,1769,261,314,547,647,1097,181,140,341,435,990,426,153,108,100,65,564,97,137,188,142,4743,2084,529,289,230,1036,2659,619,507,445,1088,87,59,9,13,7,30,28,0,0,8,20,1026,363,68,42,102,151,663,125,128,147,263,4091,1942,412,412,550,568,2149,175,444,696,834,304744,146877,12466,47879,34542,51990,157867,9370,41785,43922,62790,4218,1953,276,345,536,796,2265,317,349,687,912,121341,55109,14638,6671,694,2269,419,4585,27662,12988,1365,4739,1972,6598,12809,6097,543,1688,1312,3169,66232,19357,7202,1690,2417,2231,5817,34020,10010,3851,4185,6384,9590,12855,2775,1665,703,3663,4049,132522,4598,11331,4220,8543,12704,7683,1123,10747,16584,16921,10621,9426,7910,3615,6496,121341,45743,9808,16001,15981,33808,116062,43320,9490,15050,15637,32565,1082,326,77,275,48,356,207,90,15,27,44,31,2124,1191,211,305,84,333,50,35,0,0,0,15,414,222,1,126,12,53,1402,559,14,218,156,455,114780,42677,9401,14892,15532,32278,1708,899,92,296,115,306
40,VT,50,,,,,040C0US50,Vermont -- In metropolitan statistical area,173438,84155,15052,123,1069,3328,8035,247,2236,14,14296,247,782,3466,2282,903,5035,1581,12772,203,570,2993,2333,1006,3616,2051,29250,580,1365,8718,4737,2578,6192,5080,12785,1103,700,3518,1527,844,2333,2760,89283,15150,110,1009,2736,8075,370,2667,183,14166,210,481,2031,2706,1101,5226,2411,13058,114,271,2097,2595,1171,4112,2698,30616,680,943,7244,5247,3644,7284,5574,16293,1031,906,5314,2439,1260,3135,2208,143236,69103,458,84,335,1256,373,1174,919,951,18695,3124,7755,5331,17176,6999,2704,1769,74133,505,191,140,1199,678,762,724,437,16686,3761,9226,7176,19757,9687,1895,1309,143236,963,20,13,74,59,27,82,202,273,292,2163,1051,1936,1643,1388,30811,4570,6885,16981,12507,36933,16686,4599,3078,134548,64974,4624,18019,15423,26908,69574,3710,15805,19014,31045,1932,1133,122,189,321,501,799,168,113,253,265,585,256,124,52,72,8,329,82,78,105,64,3440,1562,465,224,99,774,1878,556,367,263,692,27,22,0,8,0,14,5,0,0,0,5,631,252,21,32,85,114,379,35,88,105,151,2073,904,194,171,210,329,1169,85,235,423,426,132928,64149,4487,17903,15264,26495,68779,3635,15628,18758,30758,2276,1063,162,125,235,541,1213,127,207,425,454,61296,28648,9336,4316,372,1496,242,2910,14219,7275,660,2380,774,3130,5093,2582,162,701,552,1096,32648,11014,4247,908,1326,1285,3248,16291,4938,1856,2128,2872,4497,5343,1368,715,338,1437,1485,67198,2655,5797,1977,4384,6615,4915,634,5213,8711,7602,5014,4381,3867,2126,3307,61296,24726,4673,8369,7162,16366,57953,23137,4487,7703,6963,15663,766,220,46,189,28,283,72,8,7,0,44,13,1466,867,130,186,62,221,19,19,0,0,0,0,265,131,1,122,0,11,755,344,2,169,65,175,57253,22730,4445,7601,6919,15558,995,549,43,236,54,113
40,VT,50,,,,,040C1US50,Vermont -- In metropolitan statistical area -- in principal city,52580,25334,7683,45,259,931,5148,109,1181,10,4940,60,263,508,894,170,2239,806,3189,99,146,545,585,232,1093,489,6255,274,281,1403,987,471,1351,1488,3267,219,201,753,420,180,748,746,27246,8194,49,463,947,5177,83,1460,15,4695,129,150,384,636,226,2101,1069,3108,65,86,342,526,197,1139,753,6525,324,245,1168,985,487,1673,1643,4724,203,245,1390,720,491,862,813,36703,17651,206,43,93,310,104,307,203,277,3209,820,2066,1053,5431,2031,849,649,19052,286,73,39,323,150,180,245,151,3284,797,2070,1401,5775,3041,711,526,36703,492,0,0,0,56,10,50,82,50,78,555,254,487,448,428,5640,853,1617,4136,2454,11206,5072,1560,1175,32403,15619,1044,2965,3564,8046,16784,836,2916,3782,9250,1168,656,90,73,191,302,512,149,85,190,88,199,100,47,7,46,0,99,20,18,23,38,2074,958,316,117,67,458,1116,392,159,156,409,8,8,0,8,0,0,0,0,0,0,0,354,146,20,0,35,91,208,18,42,21,127,497,164,26,39,36,63,333,32,64,96,141,31826,15332,969,2910,3482,7971,16494,823,2809,3702,9160,961,458,98,55,133,172,503,31,137,120,215,19013,8960,3894,1911,128,615,35,1205,3572,1797,177,598,143,857,1494,680,55,191,192,376,10053,4156,1742,376,443,308,1287,4222,1266,442,348,686,1480,1675,395,217,138,309,616,21189,686,1815,525,1465,2387,1308,311,1499,2454,1755,2278,1639,1329,842,896,19013,7791,1395,2333,1673,5821,17296,6938,1257,2065,1606,5430,390,122,46,81,21,120,38,0,0,0,38,0,867,515,92,98,8,154,0,0,0,0,0,0,218,118,0,89,0,11,204,98,0,0,0,106,17131,6829,1248,2059,1606,5389,387,242,9,95,0,41
40,VT,50,,,,,040C2US50,Vermont -- In metropolitan statistical area -- not in principal city,120858,58821,7369,78,810,2397,2887,138,1055,4,9356,187,519,2958,1388,733,2796,775,9583,104,424,2448,1748,774,2523,1562,22995,306,1084,7315,3750,2107,4841,3592,9518,884,499,2765,1107,664,1585,2014,62037,6956,61,546,1789,2898,287,1207,168,9471,81,331,1647,2070,875,3125,1342,9950,49,185,1755,2069,974,2973,1945,24091,356,698,6076,4262,3157,5611,3931,11569,828,661,3924,1719,769,2273,1395,106533,51452,252,41,242,946,269,867,716,674,15486,2304,5689,4278,11745,4968,1855,1120,55081,219,118,101,876,528,582,479,286,13402,2964,7156,5775,13982,6646,1184,783,106533,471,20,13,74,3,17,32,120,223,214,1608,797,1449,1195,960,25171,3717,5268,12845,10053,25727,11614,3039,1903,102145,49355,3580,15054,11859,18862,52790,2874,12889,15232,21795,764,477,32,116,130,199,287,19,28,63,177,386,156,77,45,26,8,230,62,60,82,26,1366,604,149,107,32,316,762,164,208,107,283,19,14,0,0,0,14,5,0,0,0,5,277,106,1,32,50,23,171,17,46,84,24,1576,740,168,132,174,266,836,53,171,327,285,101102,48817,3518,14993,11782,18524,52285,2812,12819,15056,21598,1315,605,64,70,102,369,710,96,70,305,239,42283,19688,5442,2405,244,881,207,1705,10647,5478,483,1782,631,2273,3599,1902,107,510,360,720,22595,6858,2505,532,883,977,1961,12069,3672,1414,1780,2186,3017,3668,973,498,200,1128,869,46009,1969,3982,1452,2919,4228,3607,323,3714,6257,5847,2736,2742,2538,1284,2411,42283,16935,3278,6036,5489,10545,40657,16199,3230,5638,5357,10233,376,98,0,108,7,163,34,8,7,0,6,13,599,352,38,88,54,67,19,19,0,0,0,0,47,13,1,33,0,0,551,246,2,169,65,69,40122,15901,3197,5542,5313,10169,608,307,34,141,54,72
40,VT,50,,,,,040E0US50,Vermont -- In micropolitan statistical area,199587,97243,11280,115,1352,4296,4274,462,754,27,12805,183,1090,4751,2339,890,2634,918,13535,247,964,4379,2604,1176,2779,1386,37886,615,2451,14694,6191,2907,6552,4476,21737,1447,1562,6845,2894,1273,3604,4112,102344,9866,52,1089,3186,3809,609,951,170,12912,89,492,3429,2553,1174,3512,1663,13845,63,481,3090,2576,1610,3724,2301,39867,581,1363,11371,7416,4264,8626,6246,25854,1328,1709,8854,4378,2073,4315,3197,178441,85963,565,136,255,1536,1272,1673,1876,1246,30669,4065,9963,6246,15569,6880,2310,1702,92478,312,94,182,1473,833,1089,1403,720,26744,5377,11546,9121,20177,10428,1697,1282,178441,877,18,34,10,88,38,42,70,367,370,2639,2105,2762,3279,1966,50816,6597,9442,21509,15367,35746,17308,4007,2984,173326,83449,8053,30167,19525,25704,89877,5835,26269,25368,32405,934,636,139,125,226,146,298,13,27,88,170,405,170,29,56,28,57,235,15,59,83,78,1303,522,64,65,131,262,781,63,140,182,396,60,37,9,5,7,16,23,0,0,8,15,395,111,47,10,17,37,284,90,40,42,112,2018,1038,218,241,340,239,980,90,209,273,408,171816,82728,7979,29976,19278,25495,89088,5735,26157,25164,32032,1942,890,114,220,301,255,1052,190,142,262,458,60045,26461,5302,2355,322,773,177,1675,13443,5713,705,2359,1198,3468,7716,3515,381,987,760,2073,33584,8343,2955,782,1091,946,2569,17729,5072,1995,2057,3512,5093,7512,1407,950,365,2226,2564,65324,1943,5534,2243,4159,6089,2768,489,5534,7873,9319,5607,5045,4043,1489,3189,60045,21017,5135,7632,8819,17442,58109,20183,5003,7347,8674,16902,316,106,31,86,20,73,135,82,8,27,0,18,658,324,81,119,22,112,31,16,0,0,0,15,149,91,0,4,12,42,647,215,12,49,91,280,57527,19947,4956,7291,8613,16720,713,350,49,60,61,193
40,VT,50,,,,,040E1US50,Vermont -- In micropolitan statistical area -- in principal city,27135,12507,1386,0,166,692,349,30,149,0,2147,17,225,943,271,127,375,189,1833,63,303,570,413,74,257,153,4486,101,321,1992,729,277,678,388,2655,248,230,924,335,167,441,310,14628,1367,16,191,476,374,108,176,26,2409,32,121,586,612,176,676,206,2016,6,58,446,633,242,440,191,5169,171,179,1515,1043,670,1068,523,3667,337,285,1512,498,283,449,303,24382,11121,171,5,46,207,290,245,351,193,4429,533,1215,645,1751,610,278,152,13261,64,10,38,434,121,196,183,143,4059,911,1875,1371,2633,1062,150,11,24382,235,0,0,0,5,10,0,13,71,128,513,411,441,534,336,7381,1107,1444,3090,2016,4384,1672,428,163,23475,10587,1381,4327,2246,2633,12888,1155,4019,4031,3683,264,209,79,24,82,24,55,0,1,21,33,23,14,14,0,0,0,9,9,0,0,0,285,108,0,26,14,68,177,0,16,73,88,14,7,0,0,7,0,7,0,0,7,0,13,13,4,0,0,9,0,0,0,0,0,308,183,30,52,44,57,125,25,23,25,52,23247,10505,1381,4314,2202,2608,12742,1131,3968,3980,3663,251,105,4,32,44,25,146,24,51,51,20,6647,2791,738,236,12,203,17,270,1302,472,112,250,134,334,751,292,55,83,122,199,3856,1226,364,40,305,158,359,1878,456,244,297,370,511,752,88,132,36,259,237,7197,153,398,235,527,582,191,63,664,1207,1088,634,473,440,121,421,6647,1908,595,1174,1060,1910,6316,1795,557,1105,1032,1827,57,33,0,4,0,20,0,0,0,0,0,0,156,68,38,36,0,14,0,0,0,0,0,0,9,0,0,0,9,0,109,12,0,29,19,49,6271,1795,557,1085,1007,1827,45,0,0,20,25,0
40,VT,50,,,,,040E2US50,Vermont -- In micropolitan statistical area -- not in principal city,172452,84736,9894,115,1186,3604,3925,432,605,27,10658,166,865,3808,2068,763,2259,729,11702,184,661,3809,2191,1102,2522,1233,33400,514,2130,12702,5462,2630,5874,4088,19082,1199,1332,5921,2559,1106,3163,3802,87716,8499,36,898,2710,3435,501,775,144,10503,57,371,2843,1941,998,2836,1457,11829,57,423,2644,1943,1368,3284,2110,34698,410,1184,9856,6373,3594,7558,5723,22187,991,1424,7342,3880,1790,3866,2894,154059,74842,394,131,209,1329,982,1428,1525,1053,26240,3532,8748,5601,13818,6270,2032,1550,79217,248,84,144,1039,712,893,1220,577,22685,4466,9671,7750,17544,9366,1547,1271,154059,642,18,34,10,83,28,42,57,296,242,2126,1694,2321,2745,1630,43435,5490,7998,18419,13351,31362,15636,3579,2821,149851,72862,6672,25840,17279,23071,76989,4680,22250,21337,28722,670,427,60,101,144,122,243,13,26,67,137,382,156,15,56,28,57,226,6,59,83,78,1018,414,64,39,117,194,604,63,124,109,308,46,30,9,5,0,16,16,0,0,1,15,382,98,43,10,17,28,284,90,40,42,112,1710,855,188,189,296,182,855,65,186,248,356,148569,72223,6598,25662,17076,22887,76346,4604,22189,21184,28369,1691,785,110,188,257,230,906,166,91,211,438,53398,23670,4564,2119,310,570,160,1405,12141,5241,593,2109,1064,3134,6965,3223,326,904,638,1874,29728,7117,2591,742,786,788,2210,15851,4616,1751,1760,3142,4582,6760,1319,818,329,1967,2327,58127,1790,5136,2008,3632,5507,2577,426,4870,6666,8231,4973,4572,3603,1368,2768,53398,19109,4540,6458,7759,15532,51793,18388,4446,6242,7642,15075,259,73,31,82,20,53,135,82,8,27,0,18,502,256,43,83,22,98,31,16,0,0,0,15,140,91,0,4,3,42,538,203,12,20,72,231,51256,18152,4399,6206,7606,14893,668,350,49,40,36,193
