SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B15001_001,B15001_002,B15001_003,B15001_004,B15001_005,B15001_006,B15001_007,B15001_008,B15001_009,B15001_010,B15001_011,B15001_012,B15001_013,B15001_014,B15001_015,B15001_016,B15001_017,B15001_018,B15001_019,B15001_020,B15001_021,B15001_022,B15001_023,B15001_024,B15001_025,B15001_026,B15001_027,B15001_028,B15001_029,B15001_030,B15001_031,B15001_032,B15001_033,B15001_034,B15001_035,B15001_036,B15001_037,B15001_038,B15001_039,B15001_040,B15001_041,B15001_042,B15001_043,B15001_044,B15001_045,B15001_046,B15001_047,B15001_048,B15001_049,B15001_050,B15001_051,B15001_052,B15001_053,B15001_054,B15001_055,B15001_056,B15001_057,B15001_058,B15001_059,B15001_060,B15001_061,B15001_062,B15001_063,B15001_064,B15001_065,B15001_066,B15001_067,B15001_068,B15001_069,B15001_070,B15001_071,B15001_072,B15001_073,B15001_074,B15001_075,B15001_076,B15001_077,B15001_078,B15001_079,B15001_080,B15001_081,B15001_082,B15001_083,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_013,B15003_014,B15003_015,B15003_016,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,C15002F_001,C15002F_002,C15002F_003,C15002F_004,C15002F_005,C15002F_006,C15002F_007,C15002F_008,C15002F_009,C15002F_010,C15002F_011,C15002G_001,C15002G_002,C15002G_003,C15002G_004,C15002G_005,C15002G_006,C15002G_007,C15002G_008,C15002G_009,C15002G_010,C15002G_011,C15002H_001,C15002H_002,C15002H_003,C15002H_004,C15002H_005,C15002H_006,C15002H_007,C15002H_008,C15002H_009,C15002H_010,C15002H_011,C15002I_001,C15002I_002,C15002I_003,C15002I_004,C15002I_005,C15002I_006,C15002I_007,C15002I_008,C15002I_009,C15002I_010,C15002I_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010,B15012_011,B15012_012,B15012_013,B15012_014,B15012_015,B15012_016,C15010_001,C15010_002,C15010_003,C15010_004,C15010_005,C15010_006,C15010A_001,C15010A_002,C15010A_003,C15010A_004,C15010A_005,C15010A_006,C15010B_001,C15010B_002,C15010B_003,C15010B_004,C15010B_005,C15010B_006,C15010C_001,C15010C_002,C15010C_003,C15010C_004,C15010C_005,C15010C_006,C15010D_001,C15010D_002,C15010D_003,C15010D_004,C15010D_005,C15010D_006,C15010E_001,C15010E_002,C15010E_003,C15010E_004,C15010E_005,C15010E_006,C15010F_001,C15010F_002,C15010F_003,C15010F_004,C15010F_005,C15010F_006,C15010G_001,C15010G_002,C15010G_003,C15010G_004,C15010G_005,C15010G_006,C15010H_001,C15010H_002,C15010H_003,C15010H_004,C15010H_005,C15010H_006,C15010I_001,C15010I_002,C15010I_003,C15010I_004,C15010I_005,C15010I_006
40,WA,53,,,,,04000US53,Washington,5468551,2708601,345279,6174,51036,116480,119504,22234,27950,1901,521626,17310,37288,131280,124787,46957,117822,46182,467868,21642,29687,102693,105514,45811,102760,59761,923133,34667,48754,216379,225871,90714,188572,118176,450695,20928,24241,102981,102524,30381,92754,76886,2759950,319048,4072,37111,86857,123813,26651,38198,2346,498420,13048,25926,95806,121519,54337,131564,56220,455258,18681,21201,82728,101338,52932,110698,67680,945077,33384,40740,206980,246600,109965,194154,113254,542147,29367,35632,162309,140560,38603,83793,51883,4804224,2363322,25967,13946,26770,27864,25520,31126,40202,43122,553333,170808,387888,213863,501908,199898,57741,43366,2440902,28783,14549,25745,25403,22231,29553,35088,36627,547823,194997,415020,255837,520209,219113,42481,27443,4804224,54750,764,1115,2503,5147,11092,7874,10493,42022,13036,40231,47751,60679,75290,79749,911101,190055,365805,802908,469700,1022117,419011,100222,70809,3870874,1908245,155602,454188,640439,658016,1962629,134233,448491,724611,655294,161979,88464,9399,23064,35989,20012,73515,9876,17845,30068,15726,57564,27788,5442,9380,10008,2958,29776,4748,8264,12331,4433,389319,172643,18593,24168,37401,92481,216676,33084,35935,46863,100794,26469,12990,1684,5619,4200,1487,13479,1882,5504,4572,1521,143619,77354,36123,18628,15191,7412,66265,27691,16467,14594,7513,154400,75838,7674,18286,29331,20547,78562,6465,15317,32815,23965,3628715,1782973,110588,422627,610744,639014,1845742,97514,421629,692677,633922,417680,218272,84998,54589,50089,28596,199408,67760,47221,52593,31834,1612159,802913,244799,128428,12186,43384,6893,53908,388474,191874,22138,75329,20231,78902,169640,82289,9233,30549,18337,29232,809246,278905,106322,27480,41370,24070,79663,394665,117210,49858,62904,57891,106802,135676,27826,19050,10006,42661,36133,1757820,95823,123034,63570,88970,167115,159747,17584,153181,277185,181324,93457,101693,78817,68136,88184,1612159,653949,139945,263542,170083,384640,1313310,509853,112059,210374,151776,329248,35738,13244,3788,7584,2841,8281,7391,2654,564,1296,925,1952,193275,102345,18901,33875,8731,29423,3008,1170,137,730,245,726,14925,5568,1326,2617,1700,3714,44512,19115,3170,7066,3865,11296,1272936,493279,108899,202888,148432,319438,60430,24130,4769,11101,5554,14876
40,WA,53,,,,,04001US53,Washington -- Urban,4605844,2272426,304229,4899,42098,100479,108180,20237,26507,1829,467433,14820,31780,111498,111458,41979,111446,44452,408046,18320,25176,85078,91562,39557,93101,55252,745229,28683,37985,164273,178063,72929,159842,103454,347489,16810,17563,75931,76334,23244,74764,62843,2333418,282850,3251,31248,74471,111846,23832,36014,2188,447144,11134,22706,82043,106216,48438,122858,53749,395296,16307,18224,68735,85924,44663,99953,61490,766862,28834,32799,161195,196882,87285,163572,96295,441266,25987,29073,129918,112497,31347,69252,43192,4018765,1968197,22447,11713,22300,22173,20546,24911,31342,35705,436780,139315,318102,177709,439153,176812,50709,38480,2050568,25946,12929,22560,20827,18885,23850,28991,31076,441891,160168,341351,211733,455635,192237,37804,24685,4018765,48393,610,959,2110,4423,9615,6925,9141,35719,11032,31968,39431,48761,60333,66781,724627,154044,299483,659453,389442,894788,369049,88513,63165,3155651,1547927,121648,347273,513155,565851,1607724,108614,350933,584710,563467,157125,85431,9004,22223,34870,19334,71694,9743,17492,29333,15126,37734,18068,3617,5816,6644,1991,19666,3095,5331,8163,3077,379440,169149,18224,23531,36637,90757,210291,32194,34612,44971,98514,25236,12306,1641,5406,3970,1289,12930,1806,5341,4366,1417,126358,67573,30372,16609,13735,6857,58785,23963,14759,13163,6900,137221,67743,6631,15922,26115,19075,69478,5649,13423,28546,21860,2943637,1438577,83575,320073,486493,548436,1505060,76566,327938,556364,544192,367245,191195,71899,47794,45182,26320,176050,58942,41270,46952,28886,1415515,705154,230256,122012,11463,40170,6067,50544,337291,167255,19189,65915,16037,68895,137607,66498,7509,25607,14300,23693,710361,260383,100617,25083,38894,21101,74688,337534,101786,41580,54591,46896,92681,112444,23302,15773,8482,34893,29994,1545028,88360,102742,55298,78843,150370,144755,16204,132378,245798,148823,83793,89408,70414,62323,75519,1415515,581470,120597,233659,139294,340495,1129318,442120,93888,182809,122504,287997,34460,12812,3595,7312,2762,7979,5068,1926,421,819,561,1341,189271,100615,18481,33276,8334,28565,2706,1049,137,631,237,652,13757,5315,1197,2263,1544,3438,40935,17633,2878,6549,3352,10523,1092628,426862,91046,175801,119730,279189,55206,22448,4295,10214,4725,13524
40,WA,53,,,,,04043US53,Washington -- Rural,862707,436175,41050,1275,8938,16001,11324,1997,1443,72,54193,2490,5508,19782,13329,4978,6376,1730,59822,3322,4511,17615,13952,6254,9659,4509,177904,5984,10769,52106,47808,17785,28730,14722,103206,4118,6678,27050,26190,7137,17990,14043,426532,36198,821,5863,12386,11967,2819,2184,158,51276,1914,3220,13763,15303,5899,8706,2471,59962,2374,2977,13993,15414,8269,10745,6190,178215,4550,7941,45785,49718,22680,30582,16959,100881,3380,6559,32391,28063,7256,14541,8691,785459,395125,3520,2233,4470,5691,4974,6215,8860,7417,116553,31493,69786,36154,62755,23086,7032,4886,390334,2837,1620,3185,4576,3346,5703,6097,5551,105932,34829,73669,44104,64574,26876,4677,2758,785459,6357,154,156,393,724,1477,949,1352,6303,2004,8263,8320,11918,14957,12968,186474,36011,66322,143455,80258,127329,49962,11709,7644,715223,360318,33954,106915,127284,92165,354905,25619,97558,139901,91827,4854,3033,395,841,1119,678,1821,133,353,735,600,19830,9720,1825,3564,3364,967,10110,1653,2933,4168,1356,9879,3494,369,637,764,1724,6385,890,1323,1892,2280,1233,684,43,213,230,198,549,76,163,206,104,17261,9781,5751,2019,1456,555,7480,3728,1708,1431,613,17179,8095,1043,2364,3216,1472,9084,816,1894,4269,2105,685078,344396,27013,102554,124251,90578,340682,20948,93691,136313,89730,50435,27077,13099,6795,4907,2276,23358,8818,5951,5641,2948,196644,97759,14543,6416,723,3214,826,3364,51183,24619,2949,9414,4194,10007,32033,15791,1724,4942,4037,5539,98885,18522,5705,2397,2476,2969,4975,57131,15424,8278,8313,10995,14121,23232,4524,3277,1524,7768,6139,212792,7463,20292,8272,10127,16745,14992,1380,20803,31387,32501,9664,12285,8403,5813,12665,196644,72479,19348,29883,30789,44145,183992,67733,18171,27565,29272,41251,1278,432,193,272,79,302,2323,728,143,477,364,611,4004,1730,420,599,397,858,302,121,0,99,8,74,1168,253,129,354,156,276,3577,1482,292,517,513,773,180308,66417,17853,27087,28702,40249,5224,1682,474,887,829,1352
40,WA,53,,,,,040A0US53,Washington -- In metropolitan or micropolitan statistical area,5343693,2646687,340042,5987,49595,114367,118307,22082,27830,1874,514501,16921,36586,128557,123181,46387,116885,45984,460053,21069,28866,100493,103747,45074,101721,59083,900456,33794,47262,209566,219666,88900,185042,116226,431635,20217,23115,98682,97798,29187,88954,73682,2697006,314282,3994,36304,85228,122240,26355,37879,2282,491647,12754,25456,93949,119735,53500,130339,55914,447633,18323,20798,80940,99247,51973,109425,66927,920855,32529,39268,200862,239925,107334,190054,110883,522589,28655,34364,156948,135158,37216,80566,49682,4689369,2306645,25495,13614,25834,27058,24563,30261,38975,42030,537298,166642,377750,209548,492602,196191,56549,42235,2382724,28313,14398,25109,24441,21554,28297,34155,35880,532699,190306,403759,250023,510384,214562,41864,26980,4689369,53808,753,1112,2492,5065,10885,7705,10182,40761,12658,38841,46117,58558,73130,77910,885142,184855,356948,781509,459571,1002986,410753,98413,69215,3768012,1857679,150762,439907,623618,643392,1910333,129760,434890,705087,640596,161533,88187,9360,22996,35865,19966,73346,9838,17831,29975,15702,52881,25372,4935,8493,9190,2754,27509,4390,7616,11290,4213,388147,172255,18532,24106,37301,92316,215892,32915,35739,46636,100602,26312,12907,1679,5579,4176,1473,13405,1846,5475,4565,1519,140645,75618,35061,18295,14879,7383,65027,27095,16139,14352,7441,151839,74627,7501,17922,28911,20293,77212,6303,15009,32183,23717,3529872,1734476,106783,408843,594235,624615,1795396,93848,408430,673524,619594,410394,214365,82861,53706,49461,28337,196029,66312,46439,51889,31389,1581367,787577,242939,127601,12066,43118,6732,53422,382002,188755,21849,74366,19527,77505,162636,78669,8781,29573,17657,27956,793790,276598,105512,27297,41094,23687,79008,386944,114908,48671,62280,56506,104579,130248,26626,18544,9699,41092,34287,1724244,94889,119612,61784,87136,164149,157858,17359,150210,273624,176165,91159,99249,77006,67295,86749,1581367,642071,137208,260130,165201,376757,1283988,498590,109469,207211,147051,321667,35668,13244,3784,7537,2824,8279,6967,2529,533,1217,859,1829,192918,102187,18816,33825,8715,29375,2992,1163,137,726,245,721,14824,5533,1324,2604,1692,3671,44010,18825,3145,7010,3815,11215,1244209,482210,106343,199825,143772,312059,59726,23888,4733,10973,5481,14651
40,WA,53,,,,,040C0US53,Washington -- In metropolitan statistical area,4901757,2424951,304624,4793,44753,102746,104596,19652,26319,1765,479023,14586,33157,117421,114334,43239,112264,44022,429499,18524,26350,91264,96547,41753,98239,56822,829040,30077,41977,188986,200588,81450,175462,110500,382765,17661,19859,86108,86113,25434,80551,67039,2476806,283095,3487,33387,76715,107762,23644,35913,2187,459920,11441,23248,86787,110121,49651,124796,53876,418445,16012,19206,74164,91906,47997,105073,64087,847063,29264,35211,182826,218126,98269,178815,104552,468283,26384,30388,139446,119983,33040,73515,45527,4314038,2120327,23140,12091,22725,22892,21453,27294,34365,38231,483779,151289,346293,191876,466516,185070,53858,39455,2193711,26516,13078,22350,21157,19283,25234,30394,33142,483223,171155,368981,228957,482199,202885,39822,25335,4314038,49656,708,1011,2147,4571,9814,6918,9019,36056,11153,32896,40736,52528,64759,71373,801073,165929,322444,715274,420833,948715,387955,93680,64790,3438838,1694412,132870,392117,565169,604256,1744426,114816,390507,637336,601767,156989,85468,8807,22222,34902,19537,71521,9538,17517,29165,15301,45499,21800,4173,7152,8049,2426,23699,3684,6442,9849,3724,379637,168844,18230,23514,36433,90667,210793,32120,34867,45174,98632,25678,12552,1654,5411,4083,1404,13126,1828,5369,4428,1501,124957,67092,29606,16933,13478,7075,57865,23308,14566,13186,6805,142440,70159,6851,16430,27344,19534,72281,5860,13955,29955,22511,3220593,1581666,93849,363874,537590,586353,1638927,82391,365943,608786,581807,372294,194003,71881,49219,45889,27014,178291,58694,42605,47379,29613,1495140,744899,233533,122967,11561,41867,6108,51030,363776,180525,20660,71121,17913,73557,147590,71912,7939,26782,15577,25380,750241,265537,101252,26274,39705,22157,76149,365662,109155,46078,59490,51779,99160,119042,24465,17154,8907,36969,31547,1631236,92008,110202,58239,82079,156907,151962,16743,142132,260649,160858,87094,93302,73412,64926,80723,1495140,610276,129666,247872,150503,356823,1206023,470268,102746,196200,133323,303486,34838,12857,3665,7435,2779,8102,6150,2257,491,1025,684,1693,189299,100410,18347,33313,8515,28714,2905,1130,137,717,236,685,13880,5259,1252,2430,1471,3468,42045,18095,3028,6752,3495,10675,1168160,454660,99729,189123,130310,294338,56627,22735,4555,10489,4941,13907
40,WA,53,,,,,040C1US53,Washington -- In metropolitan statistical area -- in principal city,2061609,1017980,136889,2037,17021,41068,50054,9406,16114,1189,237459,6924,14056,48589,51349,19785,66715,30041,184928,8195,10929,34911,39413,17046,45423,29011,313418,12531,16410,66112,70796,29909,68798,48862,145286,7633,7052,29778,30646,8573,32647,28957,1043629,135860,1588,12984,30900,56086,10614,22404,1284,221046,4981,10615,34692,47670,21249,68269,33570,172909,6759,8081,27404,33961,18543,45819,32342,319062,12916,13265,63038,76230,35589,71199,46825,194752,12684,12339,54122,48532,12973,32128,21974,1788860,881091,10078,4885,10168,10152,8689,11399,12858,15501,179390,56863,135341,75313,213583,88737,27170,20964,907769,12240,5965,10127,9008,7876,10510,12216,13698,179256,63894,142499,88354,217415,98861,21146,14704,1788860,22318,302,529,957,1897,3828,3337,4680,15615,4883,14277,16565,21909,25074,29199,291232,67414,120757,277840,163667,430998,187598,48316,35668,1351590,665385,49241,134298,207376,274470,686205,43211,134527,234353,274114,86230,46608,5423,12601,18237,10347,39622,5478,9967,15875,8302,16506,7622,1680,2457,2727,758,8884,1505,2210,3708,1461,200554,92711,11132,12306,18269,51004,107843,17733,17621,20369,52120,11818,5811,766,2483,1987,575,6007,949,2300,2097,661,55996,29925,12366,7718,6313,3528,26071,9647,6743,5880,3801,66166,33029,3122,7527,12608,9772,33137,3117,5888,12465,11667,1265780,620339,34724,123861,195697,266057,645441,31985,125572,223451,264433,154886,81334,28175,19735,20531,12893,73552,22312,16950,19505,14785,702580,350454,135333,75945,6266,21041,2698,29383,153517,76973,8736,26846,6305,34657,61604,29853,3255,10999,5635,11862,352126,142699,57952,13055,19871,8985,42836,155325,49363,18565,22720,18659,46018,54102,11819,7746,3901,15112,15524,773377,48244,52299,28311,39225,83368,72097,8533,63743,111274,61976,47837,46515,41551,34025,34379,702580,301905,57623,105378,57394,180280,548584,224021,43721,79682,49305,151855,18649,7187,1886,3922,1387,4267,2219,792,215,287,202,723,103124,56492,9750,17335,3976,15571,1236,547,45,250,60,334,7329,3072,723,945,672,1917,21439,9794,1283,2957,1792,5613,530490,216132,42414,76669,48091,147184,27678,11790,2131,4362,2131,7264
40,WA,53,,,,,040C2US53,Washington -- In metropolitan statistical area -- not in principal city,2840148,1406971,167735,2756,27732,61678,54542,10246,10205,576,241564,7662,19101,68832,62985,23454,45549,13981,244571,10329,15421,56353,57134,24707,52816,27811,515622,17546,25567,122874,129792,51541,106664,61638,237479,10028,12807,56330,55467,16861,47904,38082,1433177,147235,1899,20403,45815,51676,13030,13509,903,238874,6460,12633,52095,62451,28402,56527,20306,245536,9253,11125,46760,57945,29454,59254,31745,528001,16348,21946,119788,141896,62680,107616,57727,273531,13700,18049,85324,71451,20067,41387,23553,2525178,1239236,13062,7206,12557,12740,12764,15895,21507,22730,304389,94426,210952,116563,252933,96333,26688,18491,1285942,14276,7113,12223,12149,11407,14724,18178,19444,303967,107261,226482,140603,264784,104024,18676,10631,2525178,27338,406,482,1190,2674,5986,3581,4339,20441,6270,18619,24171,30619,39685,42174,509841,98515,201687,437434,257166,517717,200357,45364,29122,2087248,1029027,83629,257819,357793,329786,1058221,71605,255980,402983,327653,70759,38860,3384,9621,16665,9190,31899,4060,7550,13290,6999,28993,14178,2493,4695,5322,1668,14815,2179,4232,6141,2263,179083,76133,7098,11208,18164,39663,102950,14387,17246,24805,46512,13860,6741,888,2928,2096,829,7119,879,3069,2331,840,68961,37167,17240,9215,7165,3547,31794,13661,7823,7306,3004,76274,37130,3729,8903,14736,9762,39144,2743,8067,17490,10844,1954813,961327,59125,240013,341893,320296,993486,50406,240371,385335,317374,217408,112669,43706,29484,25358,14121,104739,36382,25655,27874,14828,792560,394445,98200,47022,5295,20826,3410,21647,210259,103552,11924,44275,11608,38900,85986,42059,4684,15783,9942,13518,398115,122838,43300,13219,19834,13172,33313,210337,59792,27513,36770,33120,53142,64940,12646,9408,5006,21857,16023,857859,43764,57903,29928,42854,73539,79865,8210,78389,149375,98882,39257,46787,31861,30901,46344,792560,308371,72043,142494,93109,176543,657439,246247,59025,116518,84018,151631,16189,5670,1779,3513,1392,3835,3931,1465,276,738,482,970,86175,43918,8597,15978,4539,13143,1669,583,92,467,176,351,6551,2187,529,1485,799,1551,20606,8301,1745,3795,1703,5062,637670,238528,57315,112454,82219,147154,28949,10945,2424,6127,2810,6643
40,WA,53,,,,,040E0US53,Washington -- In micropolitan statistical area,441936,221736,35418,1194,4842,11621,13711,2430,1511,109,35478,2335,3429,11136,8847,3148,4621,1962,30554,2545,2516,9229,7200,3321,3482,2261,71416,3717,5285,20580,19078,7450,9580,5726,48870,2556,3256,12574,11685,3753,8403,6643,220200,31187,507,2917,8513,14478,2711,1966,95,31727,1313,2208,7162,9614,3849,5543,2038,29188,2311,1592,6776,7341,3976,4352,2840,73792,3265,4057,18036,21799,9065,11239,6331,54306,2271,3976,17502,15175,4176,7051,4155,375331,186318,2355,1523,3109,4166,3110,2967,4610,3799,53519,15353,31457,17672,26086,11121,2691,2780,189013,1797,1320,2759,3284,2271,3063,3761,2738,49476,19151,34778,21066,28185,11677,2042,1645,375331,4152,45,101,345,494,1071,787,1163,4705,1505,5945,5381,6030,8371,6537,84069,18926,34504,66235,38738,54271,22798,4733,4425,329174,163267,17892,47790,58449,39136,165907,14944,44383,67751,38829,4544,2719,553,774,963,429,1825,300,314,810,401,7382,3572,762,1341,1141,328,3810,706,1174,1441,489,8510,3411,302,592,868,1649,5099,795,872,1462,1970,634,355,25,168,93,69,279,18,106,137,18,15688,8526,5455,1362,1401,308,7162,3787,1573,1166,636,9399,4468,650,1492,1567,759,4931,443,1054,2228,1206,309279,152810,12934,44969,56645,38262,156469,11457,42487,64738,37787,38100,20362,10980,4487,3572,1323,17738,7618,3834,4510,1776,86227,42678,9406,4634,505,1251,624,2392,18226,8230,1189,3245,1614,3948,15046,6757,842,2791,2080,2576,43549,11061,4260,1023,1389,1530,2859,21282,5753,2593,2790,4727,5419,11206,2161,1390,792,4123,2740,93008,2881,9410,3545,5057,7242,5896,616,8078,12975,15307,4065,5947,3594,2369,6026,86227,31795,7542,12258,14698,19934,77965,28322,6723,11011,13728,18181,830,387,119,102,45,177,817,272,42,192,175,136,3619,1777,469,512,200,661,87,33,0,9,9,36,944,274,72,174,221,203,1965,730,117,258,320,540,76049,27550,6614,10702,13462,17721,3099,1153,178,484,540,744
40,WA,53,,,,,040E1US53,Washington -- In micropolitan statistical area -- in principal city,129235,63496,18144,227,1317,4620,9186,1600,1094,100,13310,400,1074,3505,3598,1303,2129,1301,8903,542,769,2111,2136,949,1189,1207,14643,803,1496,3680,3648,1307,2057,1652,8496,620,574,2212,2042,685,1115,1248,65739,17911,121,812,3787,10022,1802,1296,71,11672,184,717,2320,3187,1515,2511,1238,8498,628,303,1797,1987,1137,1524,1122,15692,975,986,3436,4672,1571,2268,1784,11966,666,1100,3999,3227,893,1382,699,93180,45352,618,315,746,686,922,952,1035,1004,11508,3950,7474,4244,6490,3299,749,1360,47828,604,230,602,1017,632,1066,966,442,11552,5089,7984,5116,7685,3543,577,723,93180,1222,0,13,25,44,322,141,242,1106,349,1354,1554,2018,2001,1446,18329,4731,9039,15458,9360,14175,6842,1326,2083,78524,38150,4545,10058,13601,9946,40374,4146,9863,15829,10536,2103,1149,138,289,368,354,954,191,194,338,231,1405,651,123,200,275,53,754,147,204,298,105,4457,1926,110,211,422,1183,2531,293,414,677,1147,222,117,11,72,14,20,105,10,61,18,16,3868,2180,1162,317,603,98,1688,712,467,307,202,2601,1179,189,361,385,244,1422,60,349,722,291,71539,34548,3007,9154,12828,9559,36991,3080,9262,14519,10130,11830,6323,2858,1434,1488,543,5507,1889,1251,1700,667,24426,11898,4827,2585,341,401,338,1162,4708,1882,293,643,463,1427,2363,1008,147,324,427,457,12528,5145,2365,442,453,546,1339,5302,1678,506,567,1024,1527,2081,282,189,198,847,565,26465,1009,2884,1206,1727,2002,1562,305,2073,2733,3862,1496,1897,1070,869,1770,24426,9800,1918,2586,3645,6477,20482,7760,1518,2115,3447,5642,585,256,104,55,18,152,158,60,14,14,25,45,2330,1369,265,280,69,347,36,0,0,7,9,20,300,111,2,59,39,89,535,244,15,56,38,182,19689,7356,1501,2028,3370,5434,1210,568,24,146,116,356
40,WA,53,,,,,040E2US53,Washington -- In micropolitan statistical area -- not in principal city,312701,158240,17274,967,3525,7001,4525,830,417,9,22168,1935,2355,7631,5249,1845,2492,661,21651,2003,1747,7118,5064,2372,2293,1054,56773,2914,3789,16900,15430,6143,7523,4074,40374,1936,2682,10362,9643,3068,7288,5395,154461,13276,386,2105,4726,4456,909,670,24,20055,1129,1491,4842,6427,2334,3032,800,20690,1683,1289,4979,5354,2839,2828,1718,58100,2290,3071,14600,17127,7494,8971,4547,42340,1605,2876,13503,11948,3283,5669,3456,282151,140966,1737,1208,2363,3480,2188,2015,3575,2795,42011,11403,23983,13428,19596,7822,1942,1420,141185,1193,1090,2157,2267,1639,1997,2795,2296,37924,14062,26794,15950,20500,8134,1465,922,282151,2930,45,88,320,450,749,646,921,3599,1156,4591,3827,4012,6370,5091,65740,14195,25465,50777,29378,40096,15956,3407,2342,250650,125117,13347,37732,44848,29190,125533,10798,34520,51922,28293,2441,1570,415,485,595,75,871,109,120,472,170,5977,2921,639,1141,866,275,3056,559,970,1143,384,4053,1485,192,381,446,466,2568,502,458,785,823,412,238,14,96,79,49,174,8,45,119,2,11820,6346,4293,1045,798,210,5474,3075,1106,859,434,6798,3289,461,1131,1182,515,3509,383,705,1506,915,237740,118262,9927,35815,43817,28703,119478,8377,33225,50219,27657,26270,14039,8122,3053,2084,780,12231,5729,2583,2810,1109,61801,30780,4579,2049,164,850,286,1230,13518,6348,896,2602,1151,2521,12683,5749,695,2467,1653,2119,31021,5916,1895,581,936,984,1520,15980,4075,2087,2223,3703,3892,9125,1879,1201,594,3276,2175,66543,1872,6526,2339,3330,5240,4334,311,6005,10242,11445,2569,4050,2524,1500,4256,61801,21995,5624,9672,11053,13457,57483,20562,5205,8896,10281,12539,245,131,15,47,27,25,659,212,28,178,150,91,1289,408,204,232,131,314,51,33,0,2,0,16,644,163,70,115,182,114,1430,486,102,202,282,358,56360,20194,5113,8674,10092,12287,1889,585,154,338,424,388
