SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B15001_001,B15001_002,B15001_003,B15001_004,B15001_005,B15001_006,B15001_007,B15001_008,B15001_009,B15001_010,B15001_011,B15001_012,B15001_013,B15001_014,B15001_015,B15001_016,B15001_017,B15001_018,B15001_019,B15001_020,B15001_021,B15001_022,B15001_023,B15001_024,B15001_025,B15001_026,B15001_027,B15001_028,B15001_029,B15001_030,B15001_031,B15001_032,B15001_033,B15001_034,B15001_035,B15001_036,B15001_037,B15001_038,B15001_039,B15001_040,B15001_041,B15001_042,B15001_043,B15001_044,B15001_045,B15001_046,B15001_047,B15001_048,B15001_049,B15001_050,B15001_051,B15001_052,B15001_053,B15001_054,B15001_055,B15001_056,B15001_057,B15001_058,B15001_059,B15001_060,B15001_061,B15001_062,B15001_063,B15001_064,B15001_065,B15001_066,B15001_067,B15001_068,B15001_069,B15001_070,B15001_071,B15001_072,B15001_073,B15001_074,B15001_075,B15001_076,B15001_077,B15001_078,B15001_079,B15001_080,B15001_081,B15001_082,B15001_083,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_013,B15003_014,B15003_015,B15003_016,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,C15002F_001,C15002F_002,C15002F_003,C15002F_004,C15002F_005,C15002F_006,C15002F_007,C15002F_008,C15002F_009,C15002F_010,C15002F_011,C15002G_001,C15002G_002,C15002G_003,C15002G_004,C15002G_005,C15002G_006,C15002G_007,C15002G_008,C15002G_009,C15002G_010,C15002G_011,C15002H_001,C15002H_002,C15002H_003,C15002H_004,C15002H_005,C15002H_006,C15002H_007,C15002H_008,C15002H_009,C15002H_010,C15002H_011,C15002I_001,C15002I_002,C15002I_003,C15002I_004,C15002I_005,C15002I_006,C15002I_007,C15002I_008,C15002I_009,C15002I_010,C15002I_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010,B15012_011,B15012_012,B15012_013,B15012_014,B15012_015,B15012_016,C15010_001,C15010_002,C15010_003,C15010_004,C15010_005,C15010_006,C15010A_001,C15010A_002,C15010A_003,C15010A_004,C15010A_005,C15010A_006,C15010B_001,C15010B_002,C15010B_003,C15010B_004,C15010B_005,C15010B_006,C15010C_001,C15010C_002,C15010C_003,C15010C_004,C15010C_005,C15010C_006,C15010D_001,C15010D_002,C15010D_003,C15010D_004,C15010D_005,C15010D_006,C15010E_001,C15010E_002,C15010E_003,C15010E_004,C15010E_005,C15010E_006,C15010F_001,C15010F_002,C15010F_003,C15010F_004,C15010F_005,C15010F_006,C15010G_001,C15010G_002,C15010G_003,C15010G_004,C15010G_005,C15010G_006,C15010H_001,C15010H_002,C15010H_003,C15010H_004,C15010H_005,C15010H_006,C15010I_001,C15010I_002,C15010I_003,C15010I_004,C15010I_005,C15010I_006
40,WV,54,,,,,04000US54,West Virginia,1466244,717740,86927,959,11043,35902,31699,2597,4453,274,111425,1467,9798,44888,23337,7311,16820,7804,115237,2778,10343,49510,22464,7735,14527,7880,257057,11833,27764,114781,43151,12905,28111,18512,147094,17795,18250,56787,22966,4875,13834,12587,748504,82199,749,9037,25328,34884,3810,7700,691,107208,1212,7825,30725,26227,11448,19699,10072,112911,2077,7225,35550,25487,13153,18760,10659,265156,8708,21737,109996,48879,23326,30274,22236,181030,18177,23159,82734,27893,7136,11809,10122,1297118,630813,5873,2354,5351,20295,17292,19493,20406,8964,265966,34076,77842,32826,73292,29578,10681,6524,666305,5339,1694,3486,19655,13923,20504,18163,7356,259005,42308,86178,55063,80542,42813,6020,4256,1297118,11212,122,254,496,611,1317,1248,2230,6607,9973,29977,31215,39997,38569,16320,437243,87728,76384,164020,87889,153834,72391,16701,10780,1226353,593542,94901,252911,133980,111750,632811,85951,248368,173271,125221,40943,22574,2983,8993,7346,3252,18369,2085,7117,6013,3154,2503,1255,382,468,219,186,1248,278,276,527,167,9627,4284,164,438,565,3117,5343,520,980,837,3006,459,191,19,113,43,16,268,54,77,137,0,3304,2095,506,613,510,466,1209,240,343,253,373,13929,6872,1073,2430,2081,1288,7057,992,1844,2511,1710,1216240,588268,93774,251230,132678,110586,627972,85133,246856,171772,124211,13796,7477,1801,2460,1834,1382,6319,1096,1843,2007,1373,253706,120075,35263,14420,2361,7354,2761,8367,58391,21366,4536,14468,7391,10630,26421,9845,1475,5782,5238,4081,133631,45516,12002,7823,7436,8243,10012,66184,11406,12340,11314,19805,11319,21931,2740,2624,1889,10524,4154,272863,8067,17819,8815,13453,13384,15449,1715,33888,50212,56091,8759,12239,6597,7975,18400,253706,71779,31159,48243,53962,48563,236971,64906,29134,45682,51771,45478,6406,1843,433,1585,1155,1390,353,87,41,29,101,95,6123,3351,1044,570,287,871,16,15,0,0,0,1,839,407,185,48,99,100,2998,1170,322,329,549,628,234797,64185,28872,45309,51440,44991,2755,928,412,386,389,640
40,WV,54,,,,,04001US54,West Virginia -- Urban,720905,344444,51180,398,4925,18165,22708,1582,3191,211,59843,598,4133,19993,13528,4232,11600,5759,54673,866,3989,19911,12129,4176,8368,5234,113815,3817,9583,43788,22300,6798,16352,11177,64933,5217,6424,23246,11984,2409,8269,7384,376461,47816,331,4364,13222,21981,1833,5568,517,59937,481,4207,14743,15014,6091,12328,7073,54232,647,3009,14377,12104,6518,10860,6717,123411,3548,8345,45172,25038,11820,17354,12134,91065,7231,10458,40596,16059,3652,6981,6088,621909,293264,2611,619,1343,5925,5595,6631,7818,4085,106938,16956,42985,17615,44589,18080,7144,4330,328645,2558,751,1320,7278,5940,8380,7998,3701,114888,22341,45874,28081,47523,25248,3834,2930,621909,5169,45,115,130,211,438,431,706,1957,3284,9919,11535,15011,15816,7786,183838,37988,39297,88859,45696,92112,43328,10978,7260,570158,267224,31490,98329,69804,67601,302934,34996,106759,88134,73045,32146,16542,2025,6288,5539,2690,15604,1617,5860,5351,2776,1276,646,247,203,92,104,630,113,197,252,68,7632,3631,124,400,487,2620,4001,412,712,639,2238,224,77,0,37,25,15,147,11,42,94,0,2120,1194,230,336,349,279,926,191,274,190,271,8353,3950,511,1345,1260,834,4403,586,1044,1636,1137,563805,264227,30827,97439,69115,66846,299578,34352,105886,87052,72288,8624,4215,984,1260,1079,892,4409,875,1124,1377,1033,153678,74143,24038,10032,1560,4889,1687,5870,34452,12340,2417,8751,4101,6843,15653,5937,972,3732,2577,2435,79535,28836,8306,4326,4884,4548,6772,37630,6820,6757,6633,10466,6954,13069,1536,1660,1120,6267,2486,165462,5382,10355,5596,8755,8619,9544,980,19281,31252,30927,5859,7677,4322,5959,10954,153678,44971,17692,30009,29646,31360,140646,39229,16261,28124,28023,29009,5466,1632,353,1307,935,1239,172,70,16,0,57,29,4858,2957,745,410,169,577,15,15,0,0,0,0,550,231,159,13,91,56,1971,837,158,155,371,450,139134,38693,16113,27878,27801,28649,1925,693,273,252,272,435
40,WV,54,,,,,04043US54,West Virginia -- Rural,745339,373296,35747,561,6118,17737,8991,1015,1262,63,51582,869,5665,24895,9809,3079,5220,2045,60564,1912,6354,29599,10335,3559,6159,2646,143242,8016,18181,70993,20851,6107,11759,7335,82161,12578,11826,33541,10982,2466,5565,5203,372043,34383,418,4673,12106,12903,1977,2132,174,47271,731,3618,15982,11213,5357,7371,2999,58679,1430,4216,21173,13383,6635,7900,3942,141745,5160,13392,64824,23841,11506,12920,10102,89965,10946,12701,42138,11834,3484,4828,4034,675209,337549,3262,1735,4008,14370,11697,12862,12588,4879,159028,17120,34857,15211,28703,11498,3537,2194,337660,2781,943,2166,12377,7983,12124,10165,3655,144117,19967,40304,26982,33019,17565,2186,1326,675209,6043,77,139,366,400,879,817,1524,4650,6689,20058,19680,24986,22753,8534,253405,49740,37087,75161,42193,61722,29063,5723,3520,656195,326318,63411,154582,64176,44149,329877,50955,141609,85137,52176,8797,6032,958,2705,1807,562,2765,468,1257,662,378,1227,609,135,265,127,82,618,165,79,275,99,1995,653,40,38,78,497,1342,108,268,198,768,235,114,19,76,18,1,121,43,35,43,0,1184,901,276,277,161,187,283,49,69,63,102,5576,2922,562,1085,821,454,2654,406,800,875,573,652435,324041,62947,153791,63563,43740,328394,50781,140970,84720,51923,5172,3262,817,1200,755,490,1910,221,719,630,340,100028,45932,11225,4388,801,2465,1074,2497,23939,9026,2119,5717,3290,3787,10768,3908,503,2050,2661,1646,54096,16680,3696,3497,2552,3695,3240,28554,4586,5583,4681,9339,4365,8862,1204,964,769,4257,1668,107401,2685,7464,3219,4698,4765,5905,735,14607,18960,25164,2900,4562,2275,2016,7446,100028,26808,13467,18234,24316,17203,96325,25677,12873,17558,23748,16469,940,211,80,278,220,151,181,17,25,29,44,66,1265,394,299,160,118,294,1,0,0,0,0,1,289,176,26,35,8,44,1027,333,164,174,178,178,95663,25492,12759,17431,23639,16342,830,235,139,134,117,205
40,WV,54,,,,,040A0US54,West Virginia -- In metropolitan or micropolitan statistical area,1141746,557543,70505,728,8458,27667,27449,2110,3862,231,89241,1145,7138,33447,19590,6273,14745,6903,90416,2083,7486,36997,18101,6358,12308,7083,197589,7893,19722,85161,35019,10303,23563,15928,109792,11682,12774,41927,17694,4088,11342,10285,584203,66679,486,7188,19362,29354,2875,6793,621,85953,987,6149,23205,20980,9283,16694,8655,88809,1499,5094,26342,20346,10482,15895,9151,204708,6059,15568,82552,38877,18514,24918,18220,138054,12545,17205,62972,22134,5560,9534,8104,1004562,487038,4401,1489,3195,13718,12157,13734,14535,6694,197532,27283,63121,27022,61958,25255,9445,5499,517524,3910,1243,2374,13563,9992,15178,13277,5569,195071,33166,69171,43839,67041,35341,5132,3657,1004562,8311,101,180,303,417,791,940,1308,4261,6565,20716,22149,28912,27812,12263,326749,65854,60449,132292,70861,128999,60596,14577,9156,943714,455092,65793,186851,108039,94409,488622,61841,185799,137192,103790,35485,19303,2480,7377,6418,3028,16182,1613,6318,5421,2830,1953,990,262,413,141,174,963,205,256,401,101,8753,4037,138,420,554,2925,4716,476,892,702,2646,372,163,19,85,43,16,209,0,77,132,0,2628,1701,351,443,474,433,927,133,285,166,343,11657,5752,880,1943,1757,1172,5905,838,1444,2162,1461,935286,450834,64932,185562,106947,93393,484452,61140,184609,135872,102831,11375,6002,1358,1858,1567,1219,5373,944,1482,1687,1260,213328,102157,30895,12784,1881,6615,2182,7433,49635,18171,3763,12600,5920,9181,21627,8218,1293,4791,3991,3334,111171,38838,10425,6523,6380,6727,8783,54695,9666,10239,9630,15431,9729,17638,2270,2146,1602,8367,3253,229303,6999,14928,7622,11512,11470,13506,1346,28069,43205,44425,7597,10194,5556,7185,15689,213328,61534,25845,41618,42618,41713,198199,55044,24165,39300,40712,38978,5858,1760,318,1466,1004,1310,275,46,41,29,90,69,5571,3213,852,509,239,758,16,15,0,0,0,1,776,385,178,34,95,84,2633,1071,291,280,478,513,196224,54367,23913,39000,40396,38548,2479,870,358,313,370,568
40,WV,54,,,,,040C0US54,West Virginia -- In metropolitan statistical area,900428,440147,57062,639,6581,21496,23149,1684,3288,225,71376,910,5546,26100,15458,4955,12150,6257,71287,1627,5612,28518,14312,5056,10064,6098,155255,5749,14988,65995,27945,8351,18860,13367,85167,8835,9616,31988,13989,3245,9083,8411,460281,54024,422,5587,15277,24145,2277,5854,462,68344,729,4780,18032,16655,7536,13413,7199,70249,955,4085,20950,15661,8239,12671,7688,160880,4596,11554,64768,30896,14155,19915,14996,106784,9216,13302,48186,17525,4341,7574,6640,789342,383085,3619,1141,2242,10119,8656,10722,10790,5594,152601,21850,49854,21607,50157,21269,8124,4740,406257,2972,909,1771,9844,7590,11431,10174,4526,151936,26556,54181,34271,53573,29012,4340,3171,789342,6591,97,99,251,236,624,743,1008,3005,4662,15301,16246,22153,20964,10120,253171,51366,48406,104035,55878,103730,50281,12464,7911,737366,355505,49301,143413,85285,77506,381861,46431,144226,107271,83933,30333,16601,2171,6348,5409,2673,13732,1378,5250,4766,2338,1479,804,219,300,123,162,675,186,181,207,101,7731,3684,138,393,509,2644,4047,411,702,601,2333,316,145,19,85,25,16,171,0,42,129,0,2330,1493,334,405,401,353,837,120,285,138,294,9787,4853,701,1657,1559,936,4934,691,1250,1896,1097,730369,351929,48539,142404,84395,76591,378440,45832,143317,106183,83108,9552,5098,1193,1514,1283,1108,4454,800,1173,1386,1095,174386,84290,26216,11016,1627,5540,1724,6309,40580,14851,3065,10371,4679,7614,17494,7003,1017,3740,3056,2678,90096,31539,9030,5020,5201,5227,7061,44343,7916,8317,7732,12028,8350,14214,1999,1792,1300,6515,2608,187625,5919,12446,6940,9489,9866,11192,1007,22676,35169,34661,6468,8520,4522,6381,12369,174386,51815,20838,33884,33229,34620,161439,46265,19400,31838,31745,32191,5011,1447,282,1300,807,1175,263,46,41,29,90,57,4977,2892,712,451,212,710,16,15,0,0,0,1,647,282,159,34,92,80,2033,868,244,232,283,406,159699,45669,19195,31560,31461,31814,2203,779,292,291,335,506
40,WV,54,,,,,040C1US54,West Virginia -- In metropolitan statistical area -- in principal city,205963,98867,19371,134,1653,5393,10566,296,1237,92,17225,217,1021,5351,3697,1130,3572,2237,14329,166,957,4748,3279,1052,2235,1892,30729,972,2724,10009,5946,1896,5031,4151,17213,882,1322,5470,3294,642,2881,2722,107096,17609,167,1311,4181,8913,609,2281,147,16414,172,1363,3245,4411,1258,3626,2339,14491,116,663,3670,3316,1843,2863,2020,33330,1112,2046,10579,6958,3233,5517,3885,25252,1603,2541,10605,4565,1139,2437,2362,168983,79496,711,174,208,1144,1276,1650,1997,1101,25578,4529,11687,4720,13719,5732,3474,1796,89487,646,253,264,1840,1716,2015,1930,952,28099,5999,13251,7473,14443,7974,1511,1121,168983,1357,5,57,82,39,131,113,144,328,655,2329,2992,3665,3927,2053,44164,9513,10528,24938,12193,28162,13706,4985,2917,149202,69613,6911,22211,18206,22285,79589,8553,24751,23518,22767,13068,6661,1002,2665,2024,970,6407,681,2585,2246,895,339,198,67,26,23,82,141,37,67,18,19,2972,1449,41,209,156,1043,1523,94,292,224,913,97,29,0,0,14,15,68,0,0,68,0,424,295,89,68,80,58,129,18,46,24,41,2881,1251,151,399,433,268,1630,233,358,625,414,147441,68699,6630,21993,18062,22014,78742,8325,24598,23238,22581,2336,1221,391,279,220,331,1115,308,212,353,242,49770,24721,7789,3422,390,1414,452,2111,11329,4013,814,2915,1287,2300,5603,2199,401,1344,788,871,25049,8561,2746,1085,1428,1122,2180,11689,2428,1907,2026,2747,2581,4799,758,806,365,1939,931,53876,1704,3383,2461,3184,3440,2866,295,5883,9771,8699,2445,2782,1512,2410,3041,49770,15566,5403,9492,8335,10974,45052,13534,4818,8852,7824,10024,1865,509,145,359,326,526,101,21,16,0,52,12,1956,1181,311,212,38,214,15,15,0,0,0,0,99,47,29,0,19,4,682,259,84,69,76,194,44595,13399,4801,8763,7761,9871,573,185,29,95,75,189
40,WV,54,,,,,040C2US54,West Virginia -- In metropolitan statistical area -- not in principal city,694465,341280,37691,505,4928,16103,12583,1388,2051,133,54151,693,4525,20749,11761,3825,8578,4020,56958,1461,4655,23770,11033,4004,7829,4206,124526,4777,12264,55986,21999,6455,13829,9216,67954,7953,8294,26518,10695,2603,6202,5689,353185,36415,255,4276,11096,15232,1668,3573,315,51930,557,3417,14787,12244,6278,9787,4860,55758,839,3422,17280,12345,6396,9808,5668,127550,3484,9508,54189,23938,10922,14398,11111,81532,7613,10761,37581,12960,3202,5137,4278,620359,303589,2908,967,2034,8975,7380,9072,8793,4493,127023,17321,38167,16887,36438,15537,4650,2944,316770,2326,656,1507,8004,5874,9416,8244,3574,123837,20557,40930,26798,39130,21038,2829,2050,620359,5234,92,42,169,197,493,630,864,2677,4007,12972,13254,18488,17037,8067,209007,41853,37878,79097,43685,75568,36575,7479,4994,588164,285892,42390,121202,67079,55221,302272,37878,119475,83753,61166,17265,9940,1169,3683,3385,1703,7325,697,2665,2520,1443,1140,606,152,274,100,80,534,149,114,189,82,4759,2235,97,184,353,1601,2524,317,410,377,1420,219,116,19,85,11,1,103,0,42,61,0,1906,1198,245,337,321,295,708,102,239,114,253,6906,3602,550,1258,1126,668,3304,458,892,1271,683,582928,283230,41909,120411,66333,54577,299698,37507,118719,82945,60527,7216,3877,802,1235,1063,777,3339,492,961,1033,853,124616,59569,18427,7594,1237,4126,1272,4198,29251,10838,2251,7456,3392,5314,11891,4804,616,2396,2268,1807,65047,22978,6284,3935,3773,4105,4881,32654,5488,6410,5706,9281,5769,9415,1241,986,935,4576,1677,133749,4215,9063,4479,6305,6426,8326,712,16793,25398,25962,4023,5738,3010,3971,9328,124616,36249,15435,24392,24894,23646,116387,32731,14582,22986,23921,22167,3146,938,137,941,481,649,162,25,25,29,38,45,3021,1711,401,239,174,496,1,0,0,0,0,1,548,235,130,34,73,76,1351,609,160,163,207,212,115104,32270,14394,22797,23700,21943,1630,594,263,196,260,317
40,WV,54,,,,,040E0US54,West Virginia -- In micropolitan statistical area,241318,117396,13443,89,1877,6171,4300,426,574,6,17865,235,1592,7347,4132,1318,2595,646,19129,456,1874,8479,3789,1302,2244,985,42334,2144,4734,19166,7074,1952,4703,2561,24625,2847,3158,9939,3705,843,2259,1874,123922,12655,64,1601,4085,5209,598,939,159,17609,258,1369,5173,4325,1747,3281,1456,18560,544,1009,5392,4685,2243,3224,1463,43828,1463,4014,17784,7981,4359,5003,3224,31270,3329,3903,14786,4609,1219,1960,1464,215220,103953,782,348,953,3599,3501,3012,3745,1100,44931,5433,13267,5415,11801,3986,1321,759,111267,938,334,603,3719,2402,3747,3103,1043,43135,6610,14990,9568,13468,6329,792,486,215220,1720,4,81,52,181,167,197,300,1256,1903,5415,5903,6759,6848,2143,73578,14488,12043,28257,14983,25269,10315,2113,1245,206348,99587,16492,43438,22754,16903,106761,15410,41573,29921,19857,5152,2702,309,1029,1009,355,2450,235,1068,655,492,474,186,43,113,18,12,288,19,75,194,0,1022,353,0,27,45,281,669,65,190,101,313,56,18,0,0,18,0,38,0,35,3,0,298,208,17,38,73,80,90,13,0,28,49,1870,899,179,286,198,236,971,147,194,266,364,204917,98905,16393,43158,22552,16802,106012,15308,41292,29689,19723,1823,904,165,344,284,111,919,144,309,301,165,38942,17867,4679,1768,254,1075,458,1124,9055,3320,698,2229,1241,1567,4133,1215,276,1051,935,656,21075,7299,1395,1503,1179,1500,1722,10352,1750,1922,1898,3403,1379,3424,271,354,302,1852,645,41678,1080,2482,682,2023,1604,2314,339,5393,8036,9764,1129,1674,1034,804,3320,38942,9719,5007,7734,9389,7093,36760,8779,4765,7462,8967,6787,847,313,36,166,197,135,12,0,0,0,0,12,594,321,140,58,27,48,0,0,0,0,0,0,129,103,19,0,3,4,600,203,47,48,195,107,36525,8698,4718,7440,8935,6734,276,91,66,22,35,62
40,WV,54,,,,,040E1US54,West Virginia -- In micropolitan statistical area -- in principal city,46074,21452,3021,0,234,1199,1232,181,169,6,3839,29,290,1200,1127,270,782,141,3237,0,356,1293,693,190,503,202,7009,248,606,2650,1492,398,1155,460,4346,222,511,1581,683,182,653,514,24622,3381,9,315,837,1783,148,275,14,4256,38,255,1335,1059,434,773,362,3214,79,160,855,718,303,836,263,7641,225,575,2723,1593,806,943,776,6130,515,604,2804,1081,213,552,361,39672,18431,84,27,100,288,379,448,731,205,6724,1106,2889,1040,3093,887,280,150,21241,187,82,73,515,367,419,498,310,7717,1458,2993,1756,3104,1452,201,109,39672,271,4,14,9,36,11,35,47,126,175,628,746,867,1229,515,11994,2447,2564,5882,2796,6197,2339,481,259,35926,16580,2017,6005,4466,4092,19346,2270,6986,5574,4516,2961,1497,169,614,495,219,1464,108,659,442,255,114,64,37,15,0,12,50,0,16,34,0,184,89,0,7,40,42,95,8,9,31,47,0,0,0,0,0,0,0,0,0,0,0,48,18,7,0,0,11,30,8,0,22,0,439,183,32,83,34,34,256,57,47,104,48,35579,16455,2017,5982,4385,4071,19124,2209,6938,5481,4496,495,203,32,49,94,28,292,83,48,141,20,9276,4410,1318,542,9,250,128,389,1925,625,122,522,197,459,1167,252,107,354,248,206,4866,1846,370,280,306,288,602,2107,467,309,361,712,258,913,61,97,100,462,193,10119,388,549,165,475,465,447,129,1005,1961,2140,326,443,498,258,870,9276,2317,924,1893,2035,2107,8608,2037,895,1782,1889,2005,474,175,29,86,115,69,12,0,0,0,0,12,89,38,0,25,9,17,0,0,0,0,0,0,11,7,0,0,0,4,82,60,0,0,22,0,8567,2021,895,1768,1889,1994,48,23,0,14,0,11
40,WV,54,,,,,040E2US54,West Virginia -- In micropolitan statistical area -- not in principal city,195244,95944,10422,89,1643,4972,3068,245,405,0,14026,206,1302,6147,3005,1048,1813,505,15892,456,1518,7186,3096,1112,1741,783,35325,1896,4128,16516,5582,1554,3548,2101,20279,2625,2647,8358,3022,661,1606,1360,99300,9274,55,1286,3248,3426,450,664,145,13353,220,1114,3838,3266,1313,2508,1094,15346,465,849,4537,3967,1940,2388,1200,36187,1238,3439,15061,6388,3553,4060,2448,25140,2814,3299,11982,3528,1006,1408,1103,175548,85522,698,321,853,3311,3122,2564,3014,895,38207,4327,10378,4375,8708,3099,1041,609,90026,751,252,530,3204,2035,3328,2605,733,35418,5152,11997,7812,10364,4877,591,377,175548,1449,0,67,43,145,156,162,253,1130,1728,4787,5157,5892,5619,1628,61584,12041,9479,22375,12187,19072,7976,1632,986,170422,83007,14475,37433,18288,12811,87415,13140,34587,24347,15341,2191,1205,140,415,514,136,986,127,409,213,237,360,122,6,98,18,0,238,19,59,160,0,838,264,0,20,5,239,574,57,181,70,266,56,18,0,0,18,0,38,0,35,3,0,250,190,10,38,73,69,60,5,0,6,49,1431,716,147,203,164,202,715,90,147,162,316,169338,82450,14376,37176,18167,12731,86888,13099,34354,24208,15227,1328,701,133,295,190,83,627,61,261,160,145,29666,13457,3361,1226,245,825,330,735,7130,2695,576,1707,1044,1108,2966,963,169,697,687,450,16209,5453,1025,1223,873,1212,1120,8245,1283,1613,1537,2691,1121,2511,210,257,202,1390,452,31559,692,1933,517,1548,1139,1867,210,4388,6075,7624,803,1231,536,546,2450,29666,7402,4083,5841,7354,4986,28152,6742,3870,5680,7078,4782,373,138,7,80,82,66,0,0,0,0,0,0,505,283,140,33,18,31,0,0,0,0,0,0,118,96,19,0,3,0,518,143,47,48,173,107,27958,6677,3823,5672,7046,4740,228,68,66,8,35,51
