SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B15001_001,B15001_002,B15001_003,B15001_004,B15001_005,B15001_006,B15001_007,B15001_008,B15001_009,B15001_010,B15001_011,B15001_012,B15001_013,B15001_014,B15001_015,B15001_016,B15001_017,B15001_018,B15001_019,B15001_020,B15001_021,B15001_022,B15001_023,B15001_024,B15001_025,B15001_026,B15001_027,B15001_028,B15001_029,B15001_030,B15001_031,B15001_032,B15001_033,B15001_034,B15001_035,B15001_036,B15001_037,B15001_038,B15001_039,B15001_040,B15001_041,B15001_042,B15001_043,B15001_044,B15001_045,B15001_046,B15001_047,B15001_048,B15001_049,B15001_050,B15001_051,B15001_052,B15001_053,B15001_054,B15001_055,B15001_056,B15001_057,B15001_058,B15001_059,B15001_060,B15001_061,B15001_062,B15001_063,B15001_064,B15001_065,B15001_066,B15001_067,B15001_068,B15001_069,B15001_070,B15001_071,B15001_072,B15001_073,B15001_074,B15001_075,B15001_076,B15001_077,B15001_078,B15001_079,B15001_080,B15001_081,B15001_082,B15001_083,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_013,B15003_014,B15003_015,B15003_016,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,C15002F_001,C15002F_002,C15002F_003,C15002F_004,C15002F_005,C15002F_006,C15002F_007,C15002F_008,C15002F_009,C15002F_010,C15002F_011,C15002G_001,C15002G_002,C15002G_003,C15002G_004,C15002G_005,C15002G_006,C15002G_007,C15002G_008,C15002G_009,C15002G_010,C15002G_011,C15002H_001,C15002H_002,C15002H_003,C15002H_004,C15002H_005,C15002H_006,C15002H_007,C15002H_008,C15002H_009,C15002H_010,C15002H_011,C15002I_001,C15002I_002,C15002I_003,C15002I_004,C15002I_005,C15002I_006,C15002I_007,C15002I_008,C15002I_009,C15002I_010,C15002I_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010,B15012_011,B15012_012,B15012_013,B15012_014,B15012_015,B15012_016,C15010_001,C15010_002,C15010_003,C15010_004,C15010_005,C15010_006,C15010A_001,C15010A_002,C15010A_003,C15010A_004,C15010A_005,C15010A_006,C15010B_001,C15010B_002,C15010B_003,C15010B_004,C15010B_005,C15010B_006,C15010C_001,C15010C_002,C15010C_003,C15010C_004,C15010C_005,C15010C_006,C15010D_001,C15010D_002,C15010D_003,C15010D_004,C15010D_005,C15010D_006,C15010E_001,C15010E_002,C15010E_003,C15010E_004,C15010E_005,C15010E_006,C15010F_001,C15010F_002,C15010F_003,C15010F_004,C15010F_005,C15010F_006,C15010G_001,C15010G_002,C15010G_003,C15010G_004,C15010G_005,C15010G_006,C15010H_001,C15010H_002,C15010H_003,C15010H_004,C15010H_005,C15010H_006,C15010I_001,C15010I_002,C15010I_003,C15010I_004,C15010I_005,C15010I_006
40,WY,56,,,,,04000US56,Wyoming,444185,225801,30310,399,4392,10635,11201,2098,1495,90,42540,885,2896,13606,10302,4762,8238,1851,36673,589,1787,11525,10061,4093,5505,3113,78066,1172,4292,25276,19965,7832,12190,7339,38212,1492,2645,11778,8743,2207,6611,4736,218384,26813,398,3033,7655,11684,2080,1866,97,39122,531,1817,8040,11831,5085,8667,3151,34030,525,1173,7659,9199,4995,7067,3412,75924,816,3951,20141,21297,9471,12639,7609,42495,1360,3520,14907,11215,2947,5836,2710,387062,195491,722,495,900,2021,1800,3011,3892,2917,62185,14745,34326,18894,32544,10517,3249,3273,191571,380,300,935,1617,1878,2917,3188,2478,50747,17188,36354,22498,34209,13398,1938,1546,387062,1102,69,80,31,88,329,198,248,1587,777,2861,3678,5928,7080,5395,93152,19780,31933,70680,41392,66753,23915,5187,4819,360066,181750,13425,57630,63429,47266,178316,11766,47532,70608,48410,3409,2220,109,765,961,385,1189,137,236,585,231,7323,3625,682,1293,1269,381,3698,503,1057,1756,382,3628,1484,52,379,328,725,2144,259,486,579,820,123,83,0,64,6,13,40,0,11,16,13,5945,3027,1059,1049,789,130,2918,654,715,1092,457,6568,3302,431,1005,1183,683,3266,374,710,1404,778,338364,170702,10397,53571,60722,46012,167662,9043,44634,66907,47078,30076,15596,4503,5706,3940,1447,14480,3626,3766,5180,1908,100674,49583,14287,6686,675,2193,1195,3538,23949,11199,1731,4218,3114,3687,11347,5347,764,1720,2058,1458,51091,17408,4879,2282,2456,3401,4390,25137,5691,3719,3550,7063,5114,8546,1298,1184,563,3671,1830,109386,2535,11995,4771,4523,6743,7175,490,11525,15407,21858,3641,4942,3129,2741,7911,100674,35100,10355,14700,20502,20017,95676,33123,9920,13824,19731,19078,616,261,25,113,69,148,763,161,138,123,164,177,1545,682,98,418,197,150,26,13,7,0,6,0,587,221,22,88,138,118,1461,639,145,134,197,346,93090,32181,9564,13399,19396,18550,3355,1189,392,519,479,776
40,WY,56,,,,,04001US56,Wyoming -- Urban,287182,145161,23061,342,3006,7749,9016,1614,1244,90,31380,719,2186,9609,7633,3517,6188,1528,23845,466,1364,7374,6313,2792,3527,2009,45886,721,2791,14537,11548,4931,7089,4269,20989,913,1548,6575,4687,1100,3629,2537,142021,20225,289,1807,5681,9351,1620,1385,92,28103,352,1274,5383,8649,3534,6437,2474,21798,403,818,5133,6209,3021,3957,2257,44975,580,2571,12298,12489,5472,7153,4412,26920,977,2373,9622,6976,1892,3302,1778,243896,122100,572,320,669,1258,1113,2102,2522,2152,38095,9253,20928,12340,20433,6178,1985,2180,121796,273,202,724,1113,1261,1813,2269,1693,32436,11509,22814,13919,20849,8611,1251,1059,243896,845,65,59,10,66,166,156,153,1240,539,1832,2374,3915,4791,3845,56632,13899,20762,43742,26259,41282,14789,3236,3239,225312,112466,9047,34891,39370,29158,112846,8161,30382,44550,29753,3043,1962,92,658,892,320,1081,134,166,569,212,2861,1455,262,538,525,130,1406,141,427,703,135,2998,1295,20,365,280,630,1703,173,359,450,721,87,54,0,49,5,0,33,0,11,16,6,5052,2545,900,956,625,64,2507,555,639,897,416,4543,2323,387,638,824,474,2220,184,452,1057,527,208426,103631,6600,31519,37266,28246,104795,6101,27995,41789,28910,23770,12543,3673,4791,3041,1038,11227,2779,3116,3947,1385,62546,30776,10557,4896,493,1546,749,2873,14053,6292,960,2591,1942,2268,6166,2766,492,815,1211,882,31770,12217,3515,1573,1713,2133,3283,14473,3215,1712,2191,4427,2928,5080,709,812,375,2119,1065,67903,1566,6321,2811,3196,4221,4795,330,6761,9634,13455,2220,3132,2096,1897,5468,62546,21393,6042,9231,12581,13299,58911,19803,5800,8623,12116,12569,532,245,16,80,62,129,265,39,74,29,21,102,1351,634,71,365,168,113,6,0,0,0,6,0,480,190,22,61,112,95,1001,482,59,73,96,291,57156,19042,5588,8338,11880,12308,2423,963,248,352,363,497
40,WY,56,,,,,04043US56,Wyoming -- Rural,157003,80640,7249,57,1386,2886,2185,484,251,0,11160,166,710,3997,2669,1245,2050,323,12828,123,423,4151,3748,1301,1978,1104,32180,451,1501,10739,8417,2901,5101,3070,17223,579,1097,5203,4056,1107,2982,2199,76363,6588,109,1226,1974,2333,460,481,5,11019,179,543,2657,3182,1551,2230,677,12232,122,355,2526,2990,1974,3110,1155,30949,236,1380,7843,8808,3999,5486,3197,15575,383,1147,5285,4239,1055,2534,932,143166,73391,150,175,231,763,687,909,1370,765,24090,5492,13398,6554,12111,4339,1264,1093,69775,107,98,211,504,617,1104,919,785,18311,5679,13540,8579,13360,4787,687,487,143166,257,4,21,21,22,163,42,95,347,238,1029,1304,2013,2289,1550,36520,5881,11171,26938,15133,25471,9126,1951,1580,134754,69284,4378,22739,24059,18108,65470,3605,17150,26058,18657,366,258,17,107,69,65,108,3,70,16,19,4462,2170,420,755,744,251,2292,362,630,1053,247,630,189,32,14,48,95,441,86,127,129,99,36,29,0,15,1,13,7,0,0,0,7,893,482,159,93,164,66,411,99,76,195,41,2025,979,44,367,359,209,1046,190,258,347,251,129938,67071,3797,22052,23456,17766,62867,2942,16639,25118,18168,6306,3053,830,915,899,409,3253,847,650,1233,523,38128,18807,3730,1790,182,647,446,665,9896,4907,771,1627,1172,1419,5181,2581,272,905,847,576,19321,5191,1364,709,743,1268,1107,10664,2476,2007,1359,2636,2186,3466,589,372,188,1552,765,41483,969,5674,1960,1327,2522,2380,160,4764,5773,8403,1421,1810,1033,844,2443,38128,13707,4313,5469,7921,6718,36765,13320,4120,5201,7615,6509,84,16,9,33,7,19,498,122,64,94,143,75,194,48,27,53,29,37,20,13,7,0,0,0,107,31,0,27,26,23,460,157,86,61,101,55,35934,13139,3976,5061,7516,6242,932,226,144,167,116,279
40,WY,56,,,,,040A0US56,Wyoming -- In metropolitan or micropolitan statistical area,320851,162879,23849,346,3435,7747,9309,1671,1251,90,33094,613,2285,10224,7745,3884,6913,1430,27034,466,1335,8181,7176,3163,4329,2384,54516,707,2996,17097,13575,5943,8794,5404,24386,886,1704,7027,5422,1561,4477,3309,157972,21119,197,2014,5903,9512,1749,1647,97,30308,344,1279,6119,9121,3721,7072,2652,25273,350,811,5753,6848,3397,5349,2765,53436,695,2834,13978,14817,6320,9139,5653,27836,858,2447,9690,7275,1872,3626,2068,275883,139030,527,273,563,1309,1256,2219,2748,2097,42529,10084,23834,14551,24513,7334,2577,2616,136853,308,200,728,1011,1293,2148,2258,1672,35540,12324,25737,15310,25186,10211,1627,1300,275883,835,46,59,21,69,166,112,151,1140,469,1851,2549,4367,5006,3769,63417,14652,22408,49571,29861,49699,17545,4204,3916,253969,127985,9284,38823,44881,34997,125984,8149,32822,49003,36010,3039,1960,99,660,825,376,1079,134,193,536,216,6447,3157,615,1167,1035,340,3290,438,1015,1473,364,2914,1245,24,304,253,664,1669,156,357,445,711,88,70,0,52,5,13,18,0,11,0,7,4598,2196,730,802,585,79,2402,490,568,917,427,4828,2417,240,721,885,571,2411,251,574,997,589,237156,119414,7162,35732,42672,33848,117742,6234,30581,46106,34821,23372,12014,3158,4401,3176,1279,11358,2632,2940,4073,1713,75364,37040,11644,5333,494,1947,872,2998,17610,8363,1351,3112,1951,2833,7786,3531,519,1078,1457,1201,38324,14053,4064,1951,1880,2563,3595,18577,4395,2711,2537,5047,3887,5694,814,908,396,2284,1292,82043,2001,8200,3858,3423,5280,5664,427,8914,11525,15112,2809,3850,2595,2128,6257,75364,26500,7934,10950,14174,15806,71007,24746,7543,10232,13537,14949,592,261,16,113,54,148,704,150,130,101,146,177,1375,624,72,378,161,140,20,13,7,0,0,0,506,194,22,62,128,100,1160,512,144,64,148,292,68669,23858,7194,9866,13235,14516,2992,1105,385,434,436,632
40,WY,56,,,,,040C0US56,Wyoming -- In metropolitan statistical area,135255,68037,8930,194,1510,3175,3142,465,407,37,13896,160,1179,4421,3375,1737,2542,482,11264,61,601,3509,3244,1519,1527,803,23122,247,1251,6765,6293,2769,3598,2199,10825,323,741,3116,2532,739,1939,1435,67218,7863,143,993,2759,2670,665,586,47,12634,128,492,2436,4271,1628,2542,1137,10576,43,252,2141,3134,1702,1998,1306,22977,298,1364,5846,6689,3065,3259,2456,13168,413,1275,4607,3374,907,1691,901,118462,59107,191,56,173,371,503,995,1222,1052,17811,4606,10838,6764,9606,3152,972,795,59355,106,50,370,356,644,808,1084,847,15030,6239,11229,7302,9490,4387,853,560,118462,297,0,0,21,0,81,4,73,470,144,583,1147,1803,2306,1899,25931,6910,10845,22067,14066,19096,7539,1825,1355,109444,54299,3949,16070,20369,13911,55145,3671,13951,22929,14594,2360,1609,73,545,765,226,751,107,148,399,97,954,544,106,227,146,65,410,39,95,240,36,1312,520,4,214,201,101,792,123,252,225,192,16,5,0,0,5,0,11,0,11,0,0,2392,1171,361,470,303,37,1221,237,362,505,117,1984,959,70,285,419,185,1025,88,211,472,254,101706,50427,3149,14578,19384,13316,51279,2736,13098,21426,14019,10939,5587,1220,2146,1563,658,5352,1243,1236,2161,712,29815,14525,4211,1980,191,597,250,1193,6940,2899,480,1575,813,1173,3374,1421,230,527,729,467,15290,5537,1354,899,705,1061,1518,7161,1670,1022,1134,2001,1334,2592,354,496,189,1080,473,32350,906,2849,1187,1381,1797,2177,189,3693,4902,6414,731,1515,1007,1052,2550,29815,9678,3318,4727,5934,6158,28505,9258,3217,4438,5792,5800,323,136,16,90,15,66,101,24,0,28,7,42,293,101,16,105,31,40,0,0,0,0,0,0,154,14,22,17,27,74,439,145,47,49,62,136,27335,8779,3073,4277,5597,5609,1370,493,180,178,228,291
40,WY,56,,,,,040C1US56,Wyoming -- In metropolitan statistical area -- in principal city,92963,45935,5845,194,926,2031,2030,262,372,30,10368,123,794,3187,2503,1277,2075,409,7836,9,372,2427,2180,1137,1128,583,14976,81,780,4054,4397,1661,2472,1531,6910,231,471,2011,1664,418,1202,913,47028,5797,89,702,1934,2052,560,420,40,9339,90,272,1751,2828,1208,2162,1028,6981,1,100,1384,2180,1119,1291,906,15050,169,904,3606,4630,1868,2234,1639,9861,359,822,3277,2631,642,1366,764,81321,40090,116,7,104,217,236,687,666,828,11679,3235,7509,4493,6877,2188,715,533,41231,93,6,253,267,271,480,744,603,10018,4324,7945,4837,7053,3332,592,413,81321,209,0,0,0,0,13,0,65,292,57,427,507,1167,1410,1431,17135,4562,7559,15454,9330,13930,5520,1307,946,74515,36446,2488,10299,13780,9879,38069,2277,9327,15620,10845,2004,1327,33,530,602,162,677,107,144,333,93,802,431,95,177,124,35,371,39,81,230,21,1065,429,0,163,201,65,636,108,171,188,169,15,4,0,0,4,0,11,0,11,0,0,1591,834,227,382,199,26,757,154,172,361,70,1329,619,18,128,327,146,710,32,112,374,192,68679,33581,1907,9180,13065,9429,35098,1661,8658,14357,10422,8011,4095,828,1585,1177,505,3916,818,843,1738,517,21703,10313,3373,1533,167,523,206,944,4825,1860,328,1117,598,922,2115,880,146,276,539,274,11390,4483,1116,725,596,766,1280,4777,1028,637,751,1388,973,2130,276,443,160,891,360,23408,659,1697,685,1122,1362,1558,142,2641,3568,4735,540,1178,701,834,1986,21703,6693,2446,3423,4388,4753,20724,6335,2369,3237,4303,4480,255,115,12,69,15,44,56,24,0,0,7,25,234,97,13,53,31,40,0,0,0,0,0,0,96,14,22,17,0,43,338,108,30,47,32,121,19851,5981,2252,3076,4161,4381,1022,368,153,178,152,171
40,WY,56,,,,,040C2US56,Wyoming -- In metropolitan statistical area -- not in principal city,42292,22102,3085,0,584,1144,1112,203,35,7,3528,37,385,1234,872,460,467,73,3428,52,229,1082,1064,382,399,220,8146,166,471,2711,1896,1108,1126,668,3915,92,270,1105,868,321,737,522,20190,2066,54,291,825,618,105,166,7,3295,38,220,685,1443,420,380,109,3595,42,152,757,954,583,707,400,7927,129,460,2240,2059,1197,1025,817,3307,54,453,1330,743,265,325,137,37141,19017,75,49,69,154,267,308,556,224,6132,1371,3329,2271,2729,964,257,262,18124,13,44,117,89,373,328,340,244,5012,1915,3284,2465,2437,1055,261,147,37141,88,0,0,21,0,68,4,8,178,87,156,640,636,896,468,8796,2348,3286,6613,4736,5166,2019,518,409,34929,17853,1461,5771,6589,4032,17076,1394,4624,7309,3749,356,282,40,15,163,64,74,0,4,66,4,152,113,11,50,22,30,39,0,14,10,15,247,91,4,51,0,36,156,15,81,37,23,1,1,0,0,1,0,0,0,0,0,0,801,337,134,88,104,11,464,83,190,144,47,655,340,52,157,92,39,315,56,99,98,62,33027,16846,1242,5398,6319,3887,16181,1075,4440,7069,3597,2928,1492,392,561,386,153,1436,425,393,423,195,8112,4212,838,447,24,74,44,249,2115,1039,152,458,215,251,1259,541,84,251,190,193,3900,1054,238,174,109,295,238,2384,642,385,383,613,361,462,78,53,29,189,113,8942,247,1152,502,259,435,619,47,1052,1334,1679,191,337,306,218,564,8112,2985,872,1304,1546,1405,7781,2923,848,1201,1489,1320,68,21,4,21,0,22,45,0,0,28,0,17,59,4,3,52,0,0,0,0,0,0,0,0,58,0,0,0,27,31,101,37,17,2,30,15,7484,2798,821,1201,1436,1228,348,125,27,0,76,120
40,WY,56,,,,,040E0US56,Wyoming -- In micropolitan statistical area,185596,94842,14919,152,1925,4572,6167,1206,844,53,19198,453,1106,5803,4370,2147,4371,948,15770,405,734,4672,3932,1644,2802,1581,31394,460,1745,10332,7282,3174,5196,3205,13561,563,963,3911,2890,822,2538,1874,90754,13256,54,1021,3144,6842,1084,1061,50,17674,216,787,3683,4850,2093,4530,1515,14697,307,559,3612,3714,1695,3351,1459,30459,397,1470,8132,8128,3255,5880,3197,14668,445,1172,5083,3901,965,1935,1167,157421,79923,336,217,390,938,753,1224,1526,1045,24718,5478,12996,7787,14907,4182,1605,1821,77498,202,150,358,655,649,1340,1174,825,20510,6085,14508,8008,15696,5824,774,740,157421,538,46,59,0,69,85,108,78,670,325,1268,1402,2564,2700,1870,37486,7742,11563,27504,15795,30603,10006,2379,2561,144525,73686,5335,22753,24512,21086,70839,4478,18871,26074,21416,679,351,26,115,60,150,328,27,45,137,119,5493,2613,509,940,889,275,2880,399,920,1233,328,1602,725,20,90,52,563,877,33,105,220,519,72,65,0,52,0,13,7,0,0,0,7,2206,1025,369,332,282,42,1181,253,206,412,310,2844,1458,170,436,466,386,1386,163,363,525,335,135450,68987,4013,21154,23288,20532,66463,3498,17483,24680,20802,12433,6427,1938,2255,1613,621,6006,1389,1704,1912,1001,45549,22515,7433,3353,303,1350,622,1805,10670,5464,871,1537,1138,1660,4412,2110,289,551,728,734,23034,8516,2710,1052,1175,1502,2077,11416,2725,1689,1403,3046,2553,3102,460,412,207,1204,819,49693,1095,5351,2671,2042,3483,3487,238,5221,6623,8698,2078,2335,1588,1076,3707,45549,16822,4616,6223,8240,9648,42502,15488,4326,5794,7745,9149,269,125,0,23,39,82,603,126,130,73,139,135,1082,523,56,273,130,100,20,13,7,0,0,0,352,180,0,45,101,26,721,367,97,15,86,156,41334,15079,4121,5589,7638,8907,1622,612,205,256,208,341
40,WY,56,,,,,040E1US56,Wyoming -- In micropolitan statistical area -- in principal city,105730,54217,11046,109,1119,3181,4895,950,739,53,13174,377,835,3606,3050,1472,3104,730,9125,334,565,2511,2316,875,1455,1069,15173,240,984,4555,3317,1532,2687,1858,5699,333,440,1762,1263,205,1002,694,51513,9438,30,585,1819,5344,789,826,45,11572,154,538,2223,3257,1263,3094,1043,8298,296,425,2050,2433,702,1575,817,14546,222,712,3941,3854,1491,2835,1491,7659,310,644,2792,1897,553,861,602,85246,43171,234,165,276,609,511,811,855,647,12434,3065,6881,4084,8248,2300,849,1202,42075,128,53,333,468,412,632,717,558,11006,3290,8151,4009,8365,3086,423,444,85246,362,0,59,0,51,34,74,22,587,292,785,923,1443,1572,1205,19165,4275,6355,15032,8093,16613,5386,1272,1646,79114,40186,3542,11696,13323,11625,38928,2965,10341,14319,11303,451,231,19,41,41,130,220,0,1,124,95,1196,523,96,135,225,67,673,27,299,232,115,1180,563,20,28,22,493,617,9,48,138,422,49,49,0,49,0,0,0,0,0,0,0,1578,748,310,234,166,38,830,208,123,285,214,1678,871,121,251,253,246,807,92,194,352,169,72973,36839,2437,10600,12494,11308,36134,2256,9412,13489,10977,8143,4361,1515,1470,1005,371,3782,960,1100,1143,579,24917,12599,5120,2424,164,792,287,1453,5783,3149,415,843,628,748,1696,753,82,173,336,352,12318,5479,1790,678,662,886,1463,5376,1306,648,808,1578,1036,1463,227,245,135,448,408,27310,684,2723,1548,1219,1873,2314,165,2610,3675,4407,1240,1236,802,713,2101,24917,9649,2232,3413,4163,5460,22928,8702,2100,3083,3907,5136,225,109,0,23,27,66,182,8,66,44,14,50,915,447,51,213,113,91,0,0,0,0,0,0,252,106,0,35,85,26,415,277,15,15,17,91,22285,8399,1994,3021,3838,5033,950,421,106,103,154,166
40,WY,56,,,,,040E2US56,Wyoming -- In micropolitan statistical area -- not in principal city,79866,40625,3873,43,806,1391,1272,256,105,0,6024,76,271,2197,1320,675,1267,218,6645,71,169,2161,1616,769,1347,512,16221,220,761,5777,3965,1642,2509,1347,7862,230,523,2149,1627,617,1536,1180,39241,3818,24,436,1325,1498,295,235,5,6102,62,249,1460,1593,830,1436,472,6399,11,134,1562,1281,993,1776,642,15913,175,758,4191,4274,1764,3045,1706,7009,135,528,2291,2004,412,1074,565,72175,36752,102,52,114,329,242,413,671,398,12284,2413,6115,3703,6659,1882,756,619,35423,74,97,25,187,237,708,457,267,9504,2795,6357,3999,7331,2738,351,296,72175,176,46,0,0,18,51,34,56,83,33,483,479,1121,1128,665,18321,3467,5208,12472,7702,13990,4620,1107,915,65411,33500,1793,11057,11189,9461,31911,1513,8530,11755,10113,228,120,7,74,19,20,108,27,44,13,24,4297,2090,413,805,664,208,2207,372,621,1001,213,422,162,0,62,30,70,260,24,57,82,97,23,16,0,3,0,13,7,0,0,0,7,628,277,59,98,116,4,351,45,83,127,96,1166,587,49,185,213,140,579,71,169,173,166,62477,32148,1576,10554,10794,9224,30329,1242,8071,11191,9825,4290,2066,423,785,608,250,2224,429,604,769,422,20632,9916,2313,929,139,558,335,352,4887,2315,456,694,510,912,2716,1357,207,378,392,382,10716,3037,920,374,513,616,614,6040,1419,1041,595,1468,1517,1639,233,167,72,756,411,22383,411,2628,1123,823,1610,1173,73,2611,2948,4291,838,1099,786,363,1606,20632,7173,2384,2810,4077,4188,19574,6786,2226,2711,3838,4013,44,16,0,0,12,16,421,118,64,29,125,85,167,76,5,60,17,9,20,13,7,0,0,0,100,74,0,10,16,0,306,90,82,0,69,65,19049,6680,2127,2568,3800,3874,672,191,99,153,54,175
