SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,AZ,04,,,,,04000US04,Arizona,6728577,5235158,287110,296732,205229,12863,468906,222579,47299,175280,5424677,358764,369109,268095,28637,521066,296732,273198,28093,117,247,189,106,3049,85,391,1016,1589,112,182,37,270,41,74,12412,4,926,87,89,37,3127,146679,117,120,415,19532,397,1492,19,157,156,1795,166,230,20731,382,0,14519,5311,8700,3845,992,193,22,380,293,69,35,278,12749,5670,205229,47138,1540,275,2600,2753,37835,37832,306,891,9997,15407,2516,301,57,1531,46,2721,374,1381,4247,28256,42,2307,4876,12863,4123,1938,1179,104,2129,1042,1014,216,0,717,401,377995,344481,34508,165,2198,511,149,15307,705,1205,2076,4413,297,709,150,949,152,288,15237,4,1931,388,262,117,6135,159513,379,120,596,22948,573,2656,107,463,276,4185,482,379,23814,422,15,20438,6687,12572,6292,1845,257,44,664,436,69,375,333,25044,276837,51676,1664,373,2766,3642,48612,61544,354,1837,21686,22110,3217,347,229,1801,196,3108,487,1978,7251,32107,149,9703,29457,10445,3702,1830,301,3450,1197,1453,298,0,6781,6728577,6505998,5235158,287110,296732,205229,12863,468906,222579,47299,175280,205443,46143,48598,41651,6752,62299,15301,1835
40,AZ,04,,,,,04001US04,Arizona -- Urban,6040448,4746501,273374,164084,197744,11619,441887,205239,44630,160609,4921122,341312,225907,257880,26347,491309,164084,144536,15171,108,215,167,62,2582,85,337,856,1400,58,142,37,235,10,69,5696,4,827,79,89,18,2938,68257,117,120,184,8580,384,1181,19,142,96,1629,146,136,10488,262,0,13732,2470,5408,3496,805,190,18,257,293,12,35,237,11113,3897,197744,45761,1370,275,2600,2678,37085,35690,293,820,9177,14914,2355,301,57,1508,46,2636,367,1256,4081,27563,42,2105,4764,11619,3438,1758,1138,104,2036,1000,903,199,0,650,393,232267,203064,19899,150,1652,479,87,12719,433,1066,1829,3859,198,559,146,832,103,283,8133,4,1615,360,209,89,5723,78530,378,120,334,10971,540,2155,107,416,194,3456,430,285,13243,296,0,19159,3303,8720,5617,1597,243,40,532,395,12,375,292,21697,266375,50190,1494,373,2766,3563,47543,58244,341,1702,20248,21353,3032,347,229,1765,177,3023,480,1831,7039,31339,149,9147,27141,9266,3391,1765,291,3316,1143,1306,273,0,6390,6040448,5835209,4746501,273374,164084,197744,11619,441887,205239,44630,160609,189064,44187,40449,39744,5997,58687,14374,1801
40,AZ,04,,,,,04043US04,Arizona -- Rural,688129,488657,13736,132648,7485,1244,27019,17340,2669,14671,503555,17452,143202,10215,2290,29757,132648,128662,12922,9,32,22,44,467,0,54,160,189,54,40,0,35,31,5,6716,0,99,8,0,19,189,78422,0,0,231,10952,13,311,0,15,60,166,20,94,10243,120,0,787,2841,3292,349,187,3,4,123,0,57,0,41,1636,1773,7485,1377,170,0,0,75,750,2142,13,71,820,493,161,0,0,23,0,85,7,125,166,693,0,202,112,1244,685,180,41,0,93,42,111,17,0,67,8,145728,141417,14609,15,546,32,62,2588,272,139,247,554,99,150,4,117,49,5,7104,0,316,28,53,28,412,80983,1,0,262,11977,33,501,0,47,82,729,52,94,10571,126,15,1279,3384,3852,675,248,14,4,132,41,57,0,41,3347,10462,1486,170,0,0,79,1069,3300,13,135,1438,757,185,0,0,36,19,85,7,147,212,768,0,556,2316,1179,311,65,10,134,54,147,25,0,391,688129,670789,488657,13736,132648,7485,1244,27019,17340,2669,14671,16379,1956,8149,1907,755,3612,927,34
40,AZ,04,,,,,040A0US04,Arizona -- In metropolitan or micropolitan statistical area,6626703,5195244,286497,240720,204771,12734,466439,220298,46963,173335,5382889,357489,311505,267473,28427,518260,240720,218446,27162,73,237,189,106,2985,85,391,993,1584,112,178,37,270,41,74,12333,4,911,87,89,35,3100,95883,117,120,410,19285,365,1451,19,157,137,1756,166,230,20613,311,0,14462,5016,6872,3741,912,193,22,312,281,69,35,278,12310,5033,204771,47024,1540,275,2600,2727,37802,37662,300,891,9997,15373,2512,296,57,1531,46,2721,374,1381,4227,28217,42,2300,4876,12734,4054,1938,1179,104,2119,1000,1014,216,0,717,393,319746,287008,33191,121,2065,511,149,14913,680,1205,2041,4353,286,705,141,949,152,279,15079,4,1902,388,262,115,6108,107602,378,120,591,22690,541,2476,107,463,257,4029,482,379,23681,351,10,20361,6377,10514,6143,1750,257,44,591,414,69,375,333,24512,276215,51562,1664,373,2766,3616,48562,61286,348,1837,21677,22073,3213,342,229,1801,196,3108,487,1978,7231,32063,149,9654,29239,10347,3702,1830,293,3421,1155,1453,290,0,6748,6626703,6406405,5195244,286497,240720,204771,12734,466439,220298,46963,173335,203312,45853,47494,41582,6513,61870,15151,1835
40,AZ,04,,,,,040C0US04,Arizona -- In metropolitan statistical area,6381239,5032631,284325,179754,203072,12567,455059,213831,45775,168056,5214525,353997,246394,265219,28077,505631,179754,159583,4963,69,168,186,106,2784,85,391,918,1555,105,178,37,270,11,74,5632,4,911,79,89,35,3079,68182,117,120,367,18976,362,1183,19,151,109,1576,160,216,20122,281,0,14385,4930,6598,3663,813,193,22,213,281,69,35,269,11818,3608,203072,46867,1476,275,2473,2683,37525,37256,300,891,9861,15162,2454,296,57,1524,46,2721,374,1381,4206,28070,42,2276,4856,12567,3989,1938,1161,104,2102,1000,1013,216,0,717,327,252879,221463,8896,114,1905,508,149,14117,609,1183,1957,4150,245,687,141,921,122,277,8022,4,1876,380,262,115,6044,77956,378,120,505,22196,532,2042,107,457,225,3669,476,365,23099,321,0,20100,6161,10070,6047,1630,257,44,492,393,69,375,324,23415,273941,51405,1600,373,2639,3572,48213,60729,348,1830,21408,21825,3155,342,229,1794,196,3108,487,1978,7201,31878,149,9482,28823,10088,3702,1804,293,3388,1155,1452,290,0,6651,6381239,6167408,5032631,284325,179754,203072,12567,455059,213831,45775,168056,197097,45016,44031,41283,6217,60550,14916,1818
40,AZ,04,,,,,040C1US04,Arizona -- In metropolitan statistical area -- in principal city,3309422,2523016,173630,74134,110000,7567,306588,114487,27385,87102,2617577,213325,107194,143917,15832,336967,74134,63019,3358,34,70,141,14,1411,45,211,554,812,34,99,13,166,10,55,2650,0,441,68,68,6,1751,29792,38,120,70,4512,117,488,19,28,43,963,104,59,5474,12,0,5951,1471,1747,1559,297,42,0,78,141,12,24,219,7364,1676,110000,27269,748,275,2231,1239,22428,18173,210,554,5322,7177,1209,184,23,1240,0,1036,266,534,2346,13716,8,1481,2331,7567,1396,1171,956,67,1336,979,654,120,0,600,288,110308,93486,5599,76,909,318,31,6504,146,539,1006,2108,145,199,65,541,28,131,4043,0,779,153,119,64,3163,35241,188,120,156,5694,206,1072,107,189,105,1857,265,168,6739,36,0,8951,2127,3599,2858,642,70,14,78,155,12,313,230,13092,148731,30040,796,275,2324,1739,28176,30651,218,989,11810,10607,1504,218,186,1289,66,1349,357,835,3877,15709,100,5616,16348,4861,1900,1227,198,1993,1122,879,165,0,4003,3309422,3194935,2523016,173630,74134,110000,7567,306588,114487,27385,87102,104952,23845,19632,22206,4198,35071,8329,1206
40,AZ,04,,,,,040C2US04,Arizona -- In metropolitan statistical area -- not in principal city,3071817,2509615,110695,105620,93072,5000,148471,99344,18390,80954,2596948,140672,139200,121302,12245,168664,105620,96564,1605,35,98,45,92,1373,40,180,364,743,71,79,24,104,1,19,2982,4,470,11,21,29,1328,38390,79,0,297,14464,245,695,0,123,66,613,56,157,14648,269,0,8434,3459,4851,2104,516,151,22,135,140,57,11,50,4454,1932,93072,19598,728,0,242,1444,15097,19083,90,337,4539,7985,1245,112,34,284,46,1685,108,847,1860,14354,34,795,2525,5000,2593,767,205,37,766,21,359,96,0,117,39,142571,127977,3297,38,996,190,118,7613,463,644,951,2042,100,488,76,380,94,146,3979,4,1097,227,143,51,2881,42715,190,0,349,16502,326,970,0,268,120,1812,211,197,16360,285,0,11149,4034,6471,3189,988,187,30,414,238,57,62,94,10323,125210,21365,804,98,315,1833,20037,30078,130,841,9598,11218,1651,124,43,505,130,1759,130,1143,3324,16169,49,3866,12475,5227,1802,577,95,1395,33,573,125,0,2648,3071817,2972473,2509615,110695,105620,93072,5000,148471,99344,18390,80954,92145,21171,24399,19077,2019,25479,6587,612
40,AZ,04,,,,,040E0US04,Arizona -- In micropolitan statistical area,245464,162613,2172,60966,1699,167,11380,6467,1188,5279,168364,3492,65111,2254,350,12629,60966,58863,22199,4,69,3,0,201,0,0,75,29,7,0,0,0,30,0,6701,0,0,8,0,0,21,27701,0,0,43,309,3,268,0,6,28,180,6,14,491,30,0,77,86,274,78,99,0,0,99,0,0,0,9,492,1425,1699,157,64,0,127,44,277,406,0,0,136,211,58,0,0,7,0,0,0,0,21,147,0,24,20,167,65,0,18,0,17,0,1,0,0,0,66,66867,65545,24295,7,160,3,0,796,71,22,84,203,41,18,0,28,30,2,7057,0,26,8,0,0,64,29646,0,0,86,494,9,434,0,6,32,360,6,14,582,30,10,261,216,444,96,120,0,0,99,21,0,0,9,1097,2274,157,64,0,127,44,349,557,0,7,269,248,58,0,0,7,0,0,0,0,30,185,0,172,416,259,0,26,0,33,0,1,0,0,97,245464,238997,162613,2172,60966,1699,167,11380,6467,1188,5279,6215,837,3463,299,296,1320,235,17
40,AZ,04,,,,,040E1US04,Arizona -- In micropolitan statistical area -- in principal city,56143,50023,305,992,469,0,3642,712,287,425,50560,444,1234,678,54,3976,992,887,255,0,69,0,0,17,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,443,0,0,0,38,0,3,0,0,0,20,0,0,21,0,0,0,0,9,1,0,0,0,0,0,0,0,0,78,26,469,15,0,0,59,44,43,81,0,0,27,120,10,0,0,0,0,0,0,0,14,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1291,1165,287,0,91,0,0,46,0,0,0,34,0,0,0,0,0,0,24,0,0,0,0,0,0,549,0,0,0,38,0,3,0,0,0,32,0,0,21,0,0,2,0,38,1,21,0,0,0,21,0,0,0,104,678,15,0,0,59,44,49,138,0,0,36,120,10,0,0,0,0,0,0,0,14,56,0,137,54,44,0,0,0,0,0,0,0,0,10,56143,55431,50023,305,992,469,0,3642,712,287,425,621,101,151,35,0,334,91,0
40,AZ,04,,,,,040E2US04,Arizona -- In micropolitan statistical area -- not in principal city,189321,112590,1867,59974,1230,167,7738,5755,901,4854,117804,3048,63877,1576,296,8653,59974,57976,21944,4,0,3,0,184,0,0,75,23,7,0,0,0,30,0,6695,0,0,8,0,0,21,27258,0,0,43,271,3,265,0,6,28,160,6,14,470,30,0,77,86,265,77,99,0,0,99,0,0,0,9,414,1399,1230,142,64,0,68,0,234,325,0,0,109,91,48,0,0,7,0,0,0,0,7,91,0,24,20,167,65,0,18,0,17,0,1,0,0,0,66,65576,64380,24008,7,69,3,0,750,71,22,84,169,41,18,0,28,30,2,7033,0,26,8,0,0,64,29097,0,0,86,456,9,431,0,6,32,328,6,14,561,30,10,259,216,406,95,99,0,0,99,0,0,0,9,993,1596,142,64,0,68,0,300,419,0,7,233,128,48,0,0,7,0,0,0,0,16,129,0,35,362,215,0,26,0,33,0,1,0,0,87,189321,183566,112590,1867,59974,1230,167,7738,5755,901,4854,5594,736,3312,264,296,986,144,17
