SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,DE,10,,,,,04000US10,Delaware,934695,647002,203027,3494,34428,461,20452,25831,2615,23216,668801,220122,9266,40276,1442,23261,3494,2439,25,0,36,0,0,468,0,5,17,5,0,0,0,0,0,301,0,0,160,0,46,0,150,44,0,7,0,0,0,0,30,42,0,0,94,31,0,0,0,0,0,978,166,25,9,0,0,0,16,0,4,810,50,34428,13648,65,0,16,205,8434,3491,49,49,441,2289,225,0,0,198,0,2185,87,367,265,1667,0,255,492,461,117,30,0,6,219,38,0,33,0,18,0,9443,6427,88,0,290,7,0,2224,0,46,62,39,0,0,0,8,33,486,29,0,264,0,123,0,417,48,0,7,15,0,10,0,30,201,0,136,290,31,0,0,6,0,0,1537,428,36,9,0,11,0,16,0,4,2548,40945,14285,65,0,16,306,9369,5377,49,49,1391,3001,255,21,0,209,0,2254,87,402,382,2223,0,1204,1452,415,51,5,33,268,38,65,33,0,544,934695,908864,647002,203027,3494,34428,461,20452,25831,2615,23216,23339,11812,2534,3679,1532,3782,2342,150
40,DE,10,,,,,04001US10,Delaware -- Urban,772541,509866,185382,2738,32070,442,18897,23146,2249,20897,529267,200955,7896,37351,1408,21293,2738,1820,12,0,36,0,0,360,0,0,17,5,0,0,0,0,0,198,0,0,132,0,46,0,35,44,0,0,0,0,0,0,30,42,0,0,94,12,0,0,0,0,0,757,166,25,9,0,0,0,16,0,4,675,48,32070,13274,65,0,16,183,8036,3097,49,49,425,2137,178,0,0,198,0,1437,87,367,229,1498,0,253,492,442,114,30,0,6,203,38,0,33,0,18,0,8071,5472,61,0,288,7,0,2019,0,41,62,39,0,0,0,8,33,352,0,0,196,0,123,0,294,48,0,0,15,0,10,0,30,201,0,116,290,12,0,0,6,0,0,1221,384,36,9,0,11,0,16,0,4,2175,38010,13832,65,0,16,284,8911,4898,49,49,1346,2752,208,21,0,209,0,1506,87,402,346,1959,0,1070,1408,398,51,5,33,252,38,65,33,0,533,772541,749395,509866,185382,2738,32070,442,18897,23146,2249,20897,20782,10553,2073,3304,1468,3384,2245,119
40,DE,10,,,,,04043US10,Delaware -- Rural,162154,137136,17645,756,2358,19,1555,2685,366,2319,139534,19167,1370,2925,34,1968,756,619,13,0,0,0,0,108,0,5,0,0,0,0,0,0,0,103,0,0,28,0,0,0,115,0,0,7,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,221,0,0,0,0,0,0,0,0,0,135,2,2358,374,0,0,0,22,398,394,0,0,16,152,47,0,0,0,0,748,0,0,36,169,0,2,0,19,3,0,0,0,16,0,0,0,0,0,0,1372,955,27,0,2,0,0,205,0,5,0,0,0,0,0,0,0,134,29,0,68,0,0,0,123,0,0,7,0,0,0,0,0,0,0,20,0,19,0,0,0,0,0,316,44,0,0,0,0,0,0,0,0,373,2935,453,0,0,0,22,458,479,0,0,45,249,47,0,0,0,0,748,0,0,36,264,0,134,44,17,0,0,0,16,0,0,0,0,11,162154,159469,137136,17645,756,2358,19,1555,2685,366,2319,2557,1259,461,375,64,398,97,31
40,DE,10,,,,,040A0US10,Delaware -- In metropolitan or micropolitan statistical area,934695,647002,203027,3494,34428,461,20452,25831,2615,23216,668801,220122,9266,40276,1442,23261,3494,2439,25,0,36,0,0,468,0,5,17,5,0,0,0,0,0,301,0,0,160,0,46,0,150,44,0,7,0,0,0,0,30,42,0,0,94,31,0,0,0,0,0,978,166,25,9,0,0,0,16,0,4,810,50,34428,13648,65,0,16,205,8434,3491,49,49,441,2289,225,0,0,198,0,2185,87,367,265,1667,0,255,492,461,117,30,0,6,219,38,0,33,0,18,0,9443,6427,88,0,290,7,0,2224,0,46,62,39,0,0,0,8,33,486,29,0,264,0,123,0,417,48,0,7,15,0,10,0,30,201,0,136,290,31,0,0,6,0,0,1537,428,36,9,0,11,0,16,0,4,2548,40945,14285,65,0,16,306,9369,5377,49,49,1391,3001,255,21,0,209,0,2254,87,402,382,2223,0,1204,1452,415,51,5,33,268,38,65,33,0,544,934695,908864,647002,203027,3494,34428,461,20452,25831,2615,23216,23339,11812,2534,3679,1532,3782,2342,150
40,DE,10,,,,,040C0US10,Delaware -- In metropolitan statistical area,934695,647002,203027,3494,34428,461,20452,25831,2615,23216,668801,220122,9266,40276,1442,23261,3494,2439,25,0,36,0,0,468,0,5,17,5,0,0,0,0,0,301,0,0,160,0,46,0,150,44,0,7,0,0,0,0,30,42,0,0,94,31,0,0,0,0,0,978,166,25,9,0,0,0,16,0,4,810,50,34428,13648,65,0,16,205,8434,3491,49,49,441,2289,225,0,0,198,0,2185,87,367,265,1667,0,255,492,461,117,30,0,6,219,38,0,33,0,18,0,9443,6427,88,0,290,7,0,2224,0,46,62,39,0,0,0,8,33,486,29,0,264,0,123,0,417,48,0,7,15,0,10,0,30,201,0,136,290,31,0,0,6,0,0,1537,428,36,9,0,11,0,16,0,4,2548,40945,14285,65,0,16,306,9369,5377,49,49,1391,3001,255,21,0,209,0,2254,87,402,382,2223,0,1204,1452,415,51,5,33,268,38,65,33,0,544,934695,908864,647002,203027,3494,34428,461,20452,25831,2615,23216,23339,11812,2534,3679,1532,3782,2342,150
40,DE,10,,,,,040C1US10,Delaware -- In metropolitan statistical area -- in principal city,108853,41331,57483,302,2047,74,3978,3638,661,2977,44039,59968,1461,2686,257,4644,302,183,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,98,4,0,0,0,0,0,0,0,0,105,10,2047,381,0,0,0,39,513,394,49,13,28,203,0,0,0,70,0,125,0,66,0,67,0,45,54,74,23,0,0,0,51,0,0,0,0,0,0,1479,856,0,0,3,7,0,401,0,41,0,0,0,0,0,8,0,24,0,0,5,0,0,0,178,4,0,0,0,0,0,0,0,38,0,5,0,0,0,0,0,0,0,142,30,0,0,0,0,0,0,0,0,593,2808,403,0,0,0,39,535,628,49,13,304,278,0,0,0,70,0,127,0,66,0,71,0,225,257,121,0,5,17,53,0,0,0,0,61,108853,105215,41331,57483,302,2047,74,3978,3638,661,2977,3134,1233,264,347,482,808,444,60
40,DE,10,,,,,040C2US10,Delaware -- In metropolitan statistical area -- not in principal city,825842,605671,145544,3192,32381,387,16474,22193,1954,20239,624762,160154,7805,37590,1185,18617,3192,2256,25,0,36,0,0,426,0,5,17,5,0,0,0,0,0,301,0,0,155,0,46,0,150,44,0,7,0,0,0,0,30,4,0,0,94,31,0,0,0,0,0,880,162,25,9,0,0,0,16,0,4,705,40,32381,13267,65,0,16,166,7921,3097,0,36,413,2086,225,0,0,128,0,2060,87,301,265,1600,0,210,438,387,94,30,0,6,168,38,0,33,0,18,0,7964,5571,88,0,287,0,0,1823,0,5,62,39,0,0,0,0,33,462,29,0,259,0,123,0,239,44,0,7,15,0,10,0,30,163,0,131,290,31,0,0,6,0,0,1395,398,36,9,0,11,0,16,0,4,1955,38137,13882,65,0,16,267,8834,4749,0,36,1087,2723,255,21,0,139,0,2127,87,336,382,2152,0,979,1195,294,51,0,16,215,38,65,33,0,483,825842,803649,605671,145544,3192,32381,387,16474,22193,1954,20239,20205,10579,2270,3332,1050,2974,1898,90
50,DE,10,001,,,,05000US10001,"Kent County, Delaware",171474,114958,42097,1123,3433,104,2551,7208,472,6736,120603,47112,3000,5340,684,3055,1123,750,13,0,0,0,0,156,0,0,17,0,0,0,0,0,0,240,0,0,55,0,0,0,0,0,0,0,0,0,0,0,30,42,0,0,0,0,0,0,0,0,0,197,10,9,9,0,0,0,0,0,0,334,20,3433,924,0,0,0,0,478,1047,0,0,129,336,0,0,0,0,0,95,0,66,53,160,0,39,106,104,36,16,0,0,52,0,0,0,0,0,0,3089,2059,28,0,18,0,0,650,0,41,30,0,0,0,0,8,29,318,0,0,61,0,3,0,146,4,0,0,15,0,0,0,30,175,0,46,97,0,0,0,0,0,0,360,92,9,9,0,0,0,0,0,0,929,5506,995,0,0,0,0,639,2160,0,0,438,510,0,21,0,0,0,133,0,66,119,186,0,239,684,258,37,0,0,52,0,0,0,0,337,171474,164266,114958,42097,1123,3433,104,2551,7208,472,6736,6156,2893,606,963,676,1018,992,60
50,DE,10,003,,,,05000US10003,"New Castle County, Delaware",551997,359253,134502,1347,28581,209,14025,14080,1594,12486,371506,143670,4012,31780,518,15744,1347,881,6,0,36,0,0,228,0,0,0,5,0,0,0,0,0,61,0,0,75,0,46,0,70,44,0,0,0,0,0,0,0,0,0,0,94,19,0,0,0,0,0,197,120,16,0,0,0,0,16,0,0,307,23,28581,12403,65,0,8,183,7546,1883,49,43,280,1816,161,0,0,115,0,1838,87,301,100,1111,0,210,382,209,53,14,0,6,49,38,0,33,0,16,0,4095,2689,48,0,233,7,0,1036,0,0,24,35,0,0,0,0,4,154,0,0,95,0,108,0,183,44,0,0,0,0,10,0,0,26,0,85,193,19,0,0,6,0,0,379,264,27,0,0,11,0,16,0,0,1115,32249,12838,65,0,8,284,8272,2535,49,43,890,2312,175,0,0,126,0,1861,87,336,135,1505,0,728,518,111,14,5,33,89,38,0,33,0,195,551997,537917,359253,134502,1347,28581,209,14025,14080,1594,12486,12986,6670,1140,2433,658,2085,1035,59
50,DE,10,005,,,,05000US10005,"Sussex County, Delaware",211224,172791,26428,1024,2414,148,3876,4543,549,3994,176692,29340,2254,3156,240,4462,1024,808,6,0,0,0,0,84,0,5,0,0,0,0,0,0,0,0,0,0,30,0,0,0,80,0,0,7,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,584,36,0,0,0,0,0,0,0,4,169,7,2414,321,0,0,8,22,410,561,0,6,32,137,64,0,0,83,0,252,0,0,112,396,0,6,4,148,28,0,0,0,118,0,0,0,0,2,0,2259,1679,12,0,39,0,0,538,0,5,8,4,0,0,0,0,0,14,29,0,108,0,12,0,88,0,0,7,0,0,0,0,0,0,0,5,0,12,0,0,0,0,0,798,72,0,0,0,0,0,0,0,4,504,3190,452,0,0,8,22,458,682,0,6,63,179,80,0,0,83,0,260,0,0,128,532,0,237,250,46,0,0,0,127,0,65,0,0,12,211224,206681,172791,26428,1024,2414,148,3876,4543,549,3994,4197,2249,788,283,198,679,315,31
