SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,MA,25,,,,,04000US25,Massachusetts,6742143,5343665,489233,13931,411736,2002,278562,203014,32167,170847,5522528,599429,47859,465476,9509,314493,13931,8246,77,0,117,45,318,935,15,64,229,53,0,49,0,6,53,10,0,0,198,0,19,0,676,206,7,0,0,0,5,31,0,53,0,144,1433,87,17,4,0,0,0,3395,883,241,13,80,103,40,0,5,24,4086,451,411736,93441,2701,847,748,28732,149029,12772,836,1420,10259,24687,3903,495,209,6194,20,7216,1264,4576,3279,46711,213,3503,8681,2002,631,264,10,11,471,14,18,222,0,361,0,49405,31842,604,40,2275,362,604,7049,101,223,468,596,48,106,293,290,159,132,16,0,1976,24,104,35,1044,406,123,0,8,0,46,78,0,162,98,960,2601,112,17,4,0,59,0,10619,2618,419,39,97,151,108,0,24,24,14502,476529,101773,2793,1051,1076,32144,166833,21098,906,2166,18269,30575,4595,763,278,6431,87,8145,1500,5177,4490,52068,365,13946,9601,2296,694,74,46,846,14,84,289,19,5239,6742143,6539129,5343665,489233,13931,411736,2002,278562,203014,32167,170847,189951,84659,20610,40477,4538,39667,12082,981
40,MA,25,,,,,04001US25,Massachusetts -- Urban,6204458,4832491,483883,13120,403255,1797,275433,194479,31052,163427,5003327,591429,44620,454090,8880,310227,13120,7589,77,0,112,40,318,846,11,64,229,50,0,49,0,0,53,10,0,0,132,0,19,0,661,175,7,0,0,0,5,31,0,53,0,90,1410,87,17,0,0,0,0,3043,820,238,13,80,100,40,0,5,24,4013,436,403255,91688,2677,847,742,28517,146240,12262,818,1383,9757,23627,3871,481,195,6114,20,6897,1172,4514,3233,45978,213,3401,8608,1797,592,219,10,11,430,14,18,155,0,348,0,46092,29299,581,28,2180,327,604,6649,91,223,437,593,48,106,283,202,97,126,16,0,1607,24,104,35,1023,369,121,0,8,0,46,78,0,146,98,901,2487,112,17,0,0,59,0,9473,2457,407,39,97,148,99,0,24,24,13905,464998,99591,2760,1051,1070,31891,163408,20162,888,2061,17138,29093,4520,708,264,6341,84,7821,1408,5068,4428,51265,365,13613,8965,2076,649,74,46,763,14,84,222,19,5018,6204458,6009979,4832491,483883,13120,403255,1797,275433,194479,31052,163427,181907,82834,18649,37776,4365,38283,11601,971
40,MA,25,,,,,04043US25,Massachusetts -- Rural,537685,511174,5350,811,8481,205,3129,8535,1115,7420,519201,8000,3239,11386,629,4266,811,657,0,0,5,5,0,89,4,0,0,3,0,0,0,6,0,0,0,0,66,0,0,0,15,31,0,0,0,0,0,0,0,0,0,54,23,0,0,4,0,0,0,352,63,3,0,0,3,0,0,0,0,73,15,8481,1753,24,0,6,215,2789,510,18,37,502,1060,32,14,14,80,0,319,92,62,46,733,0,102,73,205,39,45,0,0,41,0,0,67,0,13,0,3313,2543,23,12,95,35,0,400,10,0,31,3,0,0,10,88,62,6,0,0,369,0,0,0,21,37,2,0,0,0,0,0,0,16,0,59,114,0,0,4,0,0,0,1146,161,12,0,0,3,9,0,0,0,597,11531,2182,33,0,6,253,3425,936,18,105,1131,1482,75,55,14,90,3,324,92,109,62,803,0,333,636,220,45,0,0,83,0,0,67,0,221,537685,529150,511174,5350,811,8481,205,3129,8535,1115,7420,8044,1825,1961,2701,173,1384,481,10
40,MA,25,,,,,040A0US25,Massachusetts -- In metropolitan or micropolitan statistical area,6731449,5334543,488507,13869,411631,2002,278326,202571,32105,170466,5512995,598627,47510,465297,9509,314195,13869,8246,77,0,117,45,318,935,15,64,229,53,0,49,0,6,53,10,0,0,198,0,19,0,676,206,7,0,0,0,5,31,0,53,0,144,1433,87,17,4,0,0,0,3395,883,241,13,80,103,40,0,5,24,4024,451,411631,93433,2701,847,748,28729,148985,12772,836,1420,10259,24661,3903,495,209,6194,20,7216,1264,4576,3267,46711,213,3496,8676,2002,631,264,10,11,471,14,18,222,0,361,0,49056,31587,604,40,2275,362,604,6936,101,154,468,545,48,106,293,290,159,132,16,0,1954,24,104,35,1044,406,123,0,8,0,46,78,0,162,98,960,2601,112,17,4,0,59,0,10619,2618,419,39,97,151,108,0,24,24,14408,476345,101765,2793,1051,1076,32141,166789,21098,906,2166,18247,30531,4595,763,278,6431,87,8145,1500,5177,4446,52068,365,13927,9601,2296,694,74,46,846,14,84,289,19,5239,6731449,6528878,5334543,488507,13869,411631,2002,278326,202571,32105,170466,189532,84607,20379,40435,4538,39573,12058,981
40,MA,25,,,,,040C0US25,Massachusetts -- In metropolitan statistical area,6643396,5252976,486989,13424,410435,1943,277556,200073,31844,168229,5429201,595808,46297,463514,9256,313149,13424,7901,77,0,117,45,318,909,15,64,229,50,0,49,0,6,53,10,0,0,187,0,19,0,672,182,7,0,0,0,5,31,0,53,0,144,1418,87,17,0,0,0,0,3137,827,241,13,80,103,40,0,5,24,3987,444,410435,93269,2701,847,748,28725,148614,12662,836,1420,10210,24493,3902,495,209,6048,20,7216,1264,4576,3247,46568,213,3486,8666,1943,631,264,10,11,471,14,18,163,0,361,0,47833,30665,604,28,2239,356,604,6755,97,154,468,529,48,106,293,290,159,132,16,0,1842,24,104,35,1036,382,123,0,8,0,46,78,0,158,98,902,2574,112,17,0,0,59,0,10189,2509,419,39,97,151,108,0,24,24,14216,474540,101548,2793,1051,1076,32137,166291,20901,906,2138,18104,30245,4579,745,278,6285,87,8142,1500,5177,4413,51913,365,13866,9341,2280,694,74,46,846,14,84,230,19,5054,6643396,6443323,5252976,486989,13424,410435,1943,277556,200073,31844,168229,187391,83788,19890,40001,4463,39249,11701,981
40,MA,25,,,,,040C1US25,Massachusetts -- In metropolitan statistical area -- in principal city,1414593,884858,251760,4889,121138,469,89859,61620,10150,51470,937995,290175,12969,135378,2690,101273,4889,2463,22,0,83,0,96,398,0,0,20,7,0,12,0,0,53,10,0,0,65,0,19,0,208,57,0,0,0,0,0,25,0,40,0,0,514,52,17,0,0,0,0,765,428,3,0,0,3,0,0,0,0,1804,191,121138,21983,982,588,122,2144,51023,2901,116,330,2839,7957,527,191,144,1467,0,1797,377,1699,1236,20037,186,464,2028,469,185,8,10,11,17,0,0,155,0,83,0,13396,8099,195,18,574,37,139,1987,4,14,57,197,26,48,26,104,97,42,7,0,461,24,27,0,379,170,23,0,0,0,22,25,0,65,9,79,898,57,17,0,0,0,0,2271,696,79,13,17,45,0,0,4,0,4522,138375,24514,991,603,203,2409,56168,5070,133,604,4867,9177,622,284,144,1496,0,2029,422,1926,1430,21148,300,3835,2766,699,92,30,23,111,0,8,222,8,1573,1414593,1352973,884858,251760,4889,121138,469,89859,61620,10150,51470,57858,29276,4092,10083,1872,12535,3308,454
40,MA,25,,,,,040C2US25,Massachusetts -- In metropolitan statistical area -- not in principal city,5228803,4368118,235229,8535,289297,1474,187697,138453,21694,116759,4491206,305633,33328,328136,6566,211876,8535,5438,55,0,34,45,222,511,15,64,209,43,0,37,0,6,0,0,0,0,122,0,0,0,464,125,7,0,0,0,5,6,0,13,0,144,904,35,0,0,0,0,0,2372,399,238,13,80,100,40,0,5,24,2183,253,289297,71286,1719,259,626,26581,97591,9761,720,1090,7371,16536,3375,304,65,4581,20,5419,887,2877,2011,26531,27,3022,6638,1474,446,256,0,0,454,14,18,8,0,278,0,34437,22566,409,10,1665,319,465,4768,93,140,411,332,22,58,267,186,62,90,9,0,1381,0,77,35,657,212,100,0,8,0,24,53,0,93,89,823,1676,55,0,0,0,59,0,7918,1813,340,26,80,106,108,0,20,24,9694,336165,77034,1802,448,873,29728,110123,15831,773,1534,13237,21068,3957,461,134,4789,87,6113,1078,3251,2983,30765,65,10031,6575,1581,602,44,23,735,14,76,8,11,3481,5228803,5090350,4368118,235229,8535,289297,1474,187697,138453,21694,116759,129533,54512,15798,29918,2591,26714,8393,527
40,MA,25,,,,,040E0US25,Massachusetts -- In micropolitan statistical area,88053,81567,1518,445,1196,59,770,2498,261,2237,83794,2819,1213,1783,253,1046,445,345,0,0,0,0,0,26,0,0,0,3,0,0,0,0,0,0,0,0,11,0,0,0,4,24,0,0,0,0,0,0,0,0,0,0,15,0,0,4,0,0,0,258,56,0,0,0,0,0,0,0,0,37,7,1196,164,0,0,0,4,371,110,0,0,49,168,1,0,0,146,0,0,0,0,20,143,0,10,10,59,0,0,0,0,0,0,0,59,0,0,0,1223,922,0,12,36,6,0,181,4,0,0,16,0,0,0,0,0,0,0,0,112,0,0,0,8,24,0,0,0,0,0,0,0,4,0,58,27,0,0,4,0,0,0,430,109,0,0,0,0,0,0,0,0,192,1805,217,0,0,0,4,498,197,0,28,143,286,16,18,0,146,0,3,0,0,33,155,0,61,260,16,0,0,0,0,0,0,59,0,185,88053,85555,81567,1518,445,1196,59,770,2498,261,2237,2141,819,489,434,75,324,357,0
40,MA,25,,,,,040E1US25,Massachusetts -- In micropolitan statistical area -- in principal city,19619,17995,545,0,194,0,291,594,133,461,18464,821,122,382,0,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,31,0,0,0,0,66,7,0,0,7,46,0,0,0,0,0,0,0,0,0,27,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,122,55,0,0,23,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,67,382,31,0,0,0,0,90,23,0,0,7,133,15,0,0,0,0,0,0,0,0,27,0,56,0,0,0,0,0,0,0,0,0,0,0,19619,19025,17995,545,0,194,0,291,594,133,461,594,169,92,146,30,157,0,0
40,MA,25,,,,,040E2US25,Massachusetts -- In micropolitan statistical area -- not in principal city,68434,63572,973,445,1002,59,479,1904,128,1776,65330,1998,1091,1401,253,622,445,345,0,0,0,0,0,26,0,0,0,3,0,0,0,0,0,0,0,0,11,0,0,0,4,24,0,0,0,0,0,0,0,0,0,0,15,0,0,4,0,0,0,258,56,0,0,0,0,0,0,0,0,37,7,1002,133,0,0,0,4,305,103,0,0,42,122,1,0,0,146,0,0,0,0,20,116,0,0,10,59,0,0,0,0,0,0,0,59,0,0,0,1101,867,0,12,13,0,0,178,4,0,0,16,0,0,0,0,0,0,0,0,107,0,0,0,8,24,0,0,0,0,0,0,0,4,0,58,27,0,0,4,0,0,0,412,109,0,0,0,0,0,0,0,0,125,1423,186,0,0,0,4,408,174,0,28,136,153,1,18,0,146,0,3,0,0,33,128,0,5,260,16,0,0,0,0,0,0,59,0,185,68434,66530,63572,973,445,1002,59,479,1904,128,1776,1547,650,397,288,45,167,357,0
40,MA,25,,,,,040G0US25,Massachusetts -- Not in metropolitan or micropolitan statistical area,10694,9122,726,62,105,0,236,443,62,381,9533,802,349,179,0,298,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,105,8,0,0,0,3,44,0,0,0,0,26,0,0,0,0,0,0,0,0,12,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,349,255,0,0,0,0,0,113,0,69,0,51,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,184,8,0,0,0,3,44,0,0,0,22,44,0,0,0,0,0,0,0,0,44,0,0,19,0,0,0,0,0,0,0,0,0,0,0,10694,10251,9122,726,62,105,0,236,443,62,381,419,52,231,42,0,94,24,0
40,MA,25,,,,,040H0US25,Massachusetts -- Not in metropolitan statistical area,98747,90689,2244,507,1301,59,1006,2941,323,2618,93327,3621,1562,1962,253,1344,507,345,0,0,0,0,0,26,0,0,0,3,0,0,0,0,0,0,0,0,11,0,0,0,4,24,0,0,0,0,0,0,0,0,0,0,15,0,0,4,0,0,0,258,56,0,0,0,0,0,0,0,0,99,7,1301,172,0,0,0,7,415,110,0,0,49,194,1,0,0,146,0,0,0,0,32,143,0,17,15,59,0,0,0,0,0,0,0,59,0,0,0,1572,1177,0,12,36,6,0,294,4,69,0,67,0,0,0,0,0,0,0,0,134,0,0,0,8,24,0,0,0,0,0,0,0,4,0,58,27,0,0,4,0,0,0,430,109,0,0,0,0,0,0,0,0,286,1989,225,0,0,0,7,542,197,0,28,165,330,16,18,0,146,0,3,0,0,77,155,0,80,260,16,0,0,0,0,0,0,59,0,185,98747,95806,90689,2244,507,1301,59,1006,2941,323,2618,2560,871,720,476,75,418,381,0
50,MA,25,001,,,,05000US25001,"Barnstable County, Massachusetts",214703,198374,5611,909,3066,184,2339,4220,776,3444,201965,7244,2541,4102,284,3296,909,703,0,0,0,0,12,66,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,580,106,0,0,0,0,0,0,0,0,100,0,3066,440,0,0,43,87,1062,246,0,0,69,387,0,0,0,94,0,320,70,0,45,197,0,0,6,184,13,2,0,0,30,0,0,139,0,0,0,2565,1921,0,0,61,23,12,239,0,25,0,19,0,0,45,0,0,0,0,0,52,0,0,1,31,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,1391,190,0,0,0,0,0,0,0,0,454,4118,548,0,0,43,149,1168,376,0,0,218,463,0,0,0,94,0,320,70,0,70,253,0,346,284,98,2,0,0,30,0,0,139,0,15,214703,210483,198374,5611,909,3066,184,2339,4220,776,3444,3789,1123,1156,563,70,877,353,78
