SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,MN,27,,,,,04000US27,Minnesota,5450868,4597525,310853,56904,246819,1969,88296,148502,11416,137086,4733097,375691,103345,289804,7448,101105,56904,46649,140,29,135,275,204,599,100,51,35144,441,0,21,53,54,53,59,0,17,144,76,43,68,918,172,29,38,64,5,212,96,1,25,42,5728,275,39,9,25,5,0,2,1258,1577,148,26,21,66,18,1,16,59,8212,259,246819,40846,745,560,9954,7271,28076,10250,72962,570,3976,15977,10895,296,93,2020,17,2263,723,1045,2343,27575,6,3632,4724,1969,614,373,70,15,275,14,336,12,34,208,18,104514,78030,361,29,1038,721,237,3780,153,167,51394,969,8,29,130,190,74,94,7,58,797,79,62,177,1595,423,81,62,64,21,299,96,6,202,77,10449,446,88,12,25,10,11,2,3507,3571,542,66,162,152,95,1,66,85,22286,297069,45416,793,560,10518,8999,35176,18612,75422,1055,9455,24751,13729,636,124,2197,62,2632,944,1330,4298,31602,31,8727,7629,2295,774,80,131,597,34,535,56,35,3092,5450868,5302366,4597525,310853,56904,246819,1969,88296,148502,11416,137086,138282,49360,34297,33172,3869,17584,9404,816
40,MN,27,,,,,04001US27,Minnesota -- Urban,4016042,3242113,302719,28168,234797,1467,79964,126814,9980,116834,3357347,362038,63184,273063,5934,91179,28168,22005,123,0,105,148,180,425,79,14,14337,313,0,16,28,45,32,47,0,17,101,57,12,45,827,119,26,19,26,0,137,67,0,22,29,3393,253,30,6,17,0,0,0,910,1048,82,21,16,24,16,0,5,28,4842,163,234797,39575,726,560,9776,6983,26602,8787,70381,556,3723,14393,9686,281,86,1931,17,2127,719,954,2141,26867,0,3466,4460,1467,516,268,66,11,225,14,194,0,20,146,7,64115,45112,294,0,860,480,202,2931,86,126,25197,713,0,23,70,170,51,73,7,58,646,60,30,140,1416,327,68,43,26,16,210,67,0,180,64,7205,383,65,6,17,0,0,0,2802,2636,388,53,150,95,85,0,5,41,15938,279852,43713,774,560,10338,8627,33104,16050,72797,1030,8635,21946,12369,586,117,2061,62,2483,868,1185,3963,30519,25,8040,6025,1880,544,74,105,470,34,379,44,20,2475,4016042,3889228,3242113,302719,28168,234797,1467,79964,126814,9980,116834,117671,45166,24269,29454,3451,15331,8453,690
40,MN,27,,,,,04043US27,Minnesota -- Rural,1434826,1355412,8134,28736,12022,502,8332,21688,1436,20252,1375750,13653,40161,16741,1514,9926,28736,24644,17,29,30,127,24,174,21,37,20807,128,0,5,25,9,21,12,0,0,43,19,31,23,91,53,3,19,38,5,75,29,1,3,13,2335,22,9,3,8,5,0,2,348,529,66,5,5,42,2,1,11,31,3370,96,12022,1271,19,0,178,288,1474,1463,2581,14,253,1584,1209,15,7,89,0,136,4,91,202,708,6,166,264,502,98,105,4,4,50,0,142,12,14,62,11,40399,32918,67,29,178,241,35,849,67,41,26197,256,8,6,60,20,23,21,0,0,151,19,32,37,179,96,13,19,38,5,89,29,6,22,13,3244,63,23,6,8,10,11,2,705,935,154,13,12,57,10,1,61,44,6348,17217,1703,19,0,180,372,2072,2562,2625,25,820,2805,1360,50,7,136,0,149,76,145,335,1083,6,687,1604,415,230,6,26,127,0,156,12,15,617,1434826,1413138,1355412,8134,28736,12022,502,8332,21688,1436,20252,20611,4194,10028,3718,418,2253,951,126
40,MN,27,,,,,040A0US27,Minnesota -- In metropolitan or micropolitan statistical area,4937539,4117271,306991,45376,242960,1612,83922,139407,10742,128665,4244139,369484,86719,284580,6741,95951,45376,36471,126,29,97,183,200,530,87,23,27774,357,0,21,49,52,39,51,0,16,128,38,27,55,881,95,26,38,63,5,155,76,1,2,41,3826,272,39,9,21,5,0,2,1032,1377,134,21,16,64,16,1,16,55,7136,203,242960,40587,733,560,9839,7249,27701,9809,72268,566,3940,15605,10032,296,86,2016,17,2253,723,1045,2221,27219,5,3505,4685,1612,575,315,66,15,209,14,191,12,31,166,18,87771,64192,345,29,981,561,233,3462,113,139,41621,860,3,29,111,186,58,86,7,57,743,41,45,162,1521,323,76,62,63,13,242,76,1,178,76,7971,426,88,12,21,5,0,2,3164,3174,512,61,157,140,87,1,66,77,19816,291736,45067,781,560,10403,8966,34585,17766,74709,1051,9346,24097,12717,636,117,2180,62,2613,944,1328,4143,31129,30,8506,6882,2094,665,74,131,517,34,384,56,31,2896,4937539,4798132,4117271,306991,45376,242960,1612,83922,139407,10742,128665,129598,47548,29612,32121,3756,16561,9034,775
40,MN,27,,,,,040C0US27,Minnesota -- In metropolitan statistical area,4212944,3454114,294568,28028,233692,1394,73534,127614,9949,117665,3570099,353294,63971,272563,5904,84663,28028,21933,101,0,93,169,120,410,86,14,15144,298,0,18,31,51,32,51,0,15,121,33,27,45,826,79,26,25,36,0,99,66,1,0,19,2748,272,26,6,17,5,0,0,823,1037,92,21,9,29,16,1,16,55,4763,148,233692,40193,688,560,9203,6844,26330,9218,71111,560,3734,14712,8704,252,61,1789,17,2183,713,1022,1652,26373,5,3278,4490,1394,532,250,66,13,165,14,143,7,30,160,14,64932,45870,310,0,929,508,142,2947,107,130,26588,764,3,25,78,180,51,82,7,56,697,36,45,151,1365,290,74,49,36,8,172,66,1,175,54,6489,419,61,9,17,5,0,0,2744,2574,408,53,141,103,85,1,25,77,16003,279449,44448,736,560,9721,8554,33016,16358,73539,1042,8736,22555,11243,589,92,1919,62,2540,843,1296,3497,30075,30,7998,5984,1969,547,74,129,434,34,184,51,30,2532,4212944,4085330,3454114,294568,28028,233692,1394,73534,127614,9949,117665,118410,44533,25050,30083,3532,15212,8500,704
40,MN,27,,,,,040C1US27,Minnesota -- In metropolitan statistical area -- in principal city,1302823,932824,161026,11617,111374,417,33793,51772,4067,47705,978678,186737,26395,126863,2293,38450,11617,8790,80,0,89,59,75,51,44,0,5669,112,0,16,0,20,10,10,0,14,65,31,5,38,522,18,23,8,0,0,37,15,0,0,19,1263,200,8,6,0,0,0,0,283,398,73,21,7,24,16,0,5,28,2226,102,111374,16385,405,0,7664,3233,11623,2672,43058,147,1714,6178,2805,154,32,1058,17,990,285,471,492,8670,0,1392,1929,417,152,37,0,7,29,14,57,0,0,121,0,26804,18458,107,0,622,254,75,1223,51,65,9893,370,0,16,24,80,10,30,0,55,381,31,5,40,706,209,60,8,0,0,73,15,0,121,54,2699,240,8,6,0,0,0,0,927,981,152,28,35,24,60,0,5,39,7174,129456,18472,418,0,7988,3982,14176,5047,44095,357,3488,9226,3777,373,32,1130,31,1140,352,580,1185,10091,25,3491,2314,676,141,0,85,102,30,75,0,0,1205,1302823,1251051,932824,161026,11617,111374,417,33793,51772,4067,47705,47274,18230,8676,11785,2236,6347,4175,323
40,MN,27,,,,,040C2US27,Minnesota -- In metropolitan statistical area -- not in principal city,2910121,2521290,133542,16411,122318,977,39741,75842,5882,69960,2591421,166557,37576,145700,3611,46213,16411,13143,21,0,4,110,45,359,42,14,9475,186,0,2,31,31,22,41,0,1,56,2,22,7,304,61,3,17,36,0,62,51,1,0,0,1485,72,18,0,17,5,0,0,540,639,19,0,2,5,0,1,11,27,2537,46,122318,23808,283,560,1539,3611,14707,6546,28053,413,2020,8534,5899,98,29,731,0,1193,428,551,1160,17703,5,1886,2561,977,380,213,66,6,136,0,86,7,30,39,14,38128,27412,203,0,307,254,67,1724,56,65,16695,394,3,9,54,100,41,52,7,1,316,5,40,111,659,81,14,41,36,8,99,51,1,54,0,3790,179,53,3,17,5,0,0,1817,1593,256,25,106,79,25,1,20,38,8829,149993,25976,318,560,1733,4572,18840,11311,29444,685,5248,13329,7466,216,60,789,31,1400,491,716,2312,19984,5,4507,3670,1293,406,74,44,332,4,109,51,30,1327,2910121,2834279,2521290,133542,16411,122318,977,39741,75842,5882,69960,71136,26303,16374,18298,1296,8865,4325,381
40,MN,27,,,,,040E0US27,Minnesota -- In micropolitan statistical area,724595,663157,12423,17348,9268,218,10388,11793,793,11000,674040,16190,22748,12017,837,11288,17348,14538,25,29,4,14,80,120,1,9,12630,59,0,3,18,1,7,0,0,1,7,5,0,10,55,16,0,13,27,5,56,10,0,2,22,1078,0,13,3,4,0,0,2,209,340,42,0,7,35,0,0,0,0,2373,55,9268,394,45,0,636,405,1371,591,1157,6,206,893,1328,44,25,227,0,70,10,23,569,846,0,227,195,218,43,65,0,2,44,0,48,5,1,6,4,22839,18322,35,29,52,53,91,515,6,9,15033,96,0,4,33,6,7,4,0,1,46,5,0,11,156,33,2,13,27,5,70,10,0,3,22,1482,7,27,3,4,0,0,2,420,600,104,8,16,37,2,0,41,0,3813,12287,619,45,0,682,412,1569,1408,1170,9,610,1542,1474,47,25,261,0,73,101,32,646,1054,0,508,898,125,118,0,2,83,0,200,5,1,364,724595,712802,663157,12423,17348,9268,218,10388,11793,793,11000,11188,3015,4562,2038,224,1349,534,71
40,MN,27,,,,,040E1US27,Minnesota -- In micropolitan statistical area -- in principal city,304210,270348,10136,3754,6374,130,7758,5710,497,5213,275559,12281,5554,8016,456,8295,3754,3096,14,0,0,0,80,68,0,0,2313,7,0,0,0,0,0,0,0,1,0,0,0,0,37,0,0,0,26,0,24,0,0,0,0,398,0,4,0,0,0,0,0,124,8,40,0,7,33,0,0,0,0,593,17,6374,306,45,0,547,274,1165,198,701,0,146,493,745,42,25,215,0,69,9,21,529,637,0,153,54,130,7,45,0,0,31,0,47,0,0,0,0,5571,4243,20,0,0,0,80,175,0,0,3000,31,0,0,0,0,0,0,0,1,8,0,0,0,131,0,0,0,26,0,24,0,0,0,0,596,0,4,0,0,0,0,0,147,166,47,0,14,33,0,0,0,0,1115,8102,406,45,0,547,274,1259,685,701,0,365,861,873,42,25,215,0,69,36,21,553,747,0,378,456,16,57,0,0,58,0,191,0,0,134,304210,298500,270348,10136,3754,6374,130,7758,5710,497,5213,5469,1893,1539,1141,51,845,241,0
40,MN,27,,,,,040E2US27,Minnesota -- In micropolitan statistical area -- not in principal city,420385,392809,2287,13594,2894,88,2630,6083,296,5787,398481,3909,17194,4001,381,2993,13594,11442,11,29,4,14,0,52,1,9,10317,52,0,3,18,1,7,0,0,0,7,5,0,10,18,16,0,13,1,5,32,10,0,2,22,680,0,9,3,4,0,0,2,85,332,2,0,0,2,0,0,0,0,1780,38,2894,88,0,0,89,131,206,393,456,6,60,400,583,2,0,12,0,1,1,2,40,209,0,74,141,88,36,20,0,2,13,0,1,5,1,6,4,17268,14079,15,29,52,53,11,340,6,9,12033,65,0,4,33,6,7,4,0,0,38,5,0,11,25,33,2,13,1,5,46,10,0,3,22,886,7,23,3,4,0,0,2,273,434,57,8,2,4,2,0,41,0,2698,4185,213,0,0,135,138,310,723,469,9,245,681,601,5,0,46,0,4,65,11,93,307,0,130,442,109,61,0,2,25,0,9,5,1,230,420385,414302,392809,2287,13594,2894,88,2630,6083,296,5787,5719,1122,3023,897,173,504,293,71
