SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,MT,30,,,,,04000US30,Montana,1023391,911907,4260,67222,7481,841,5158,26522,1435,25087,936991,9498,83614,12642,2333,6719,67222,61109,165,357,12316,174,13,559,5598,67,3160,56,103,15,777,162,10048,27,120,0,61,0,11,0,74,628,5,9,27,0,177,21,65,49,340,5283,25,0,15,4,10,72,0,20516,772,201,79,8,52,37,0,25,32,3885,1223,7481,407,5,0,0,72,1850,1307,0,147,918,1435,82,41,42,160,0,59,37,37,308,435,0,29,110,841,591,61,28,0,75,9,43,0,0,12,22,85285,76690,324,392,14095,289,13,2144,6576,187,5343,204,114,59,1312,259,10881,59,145,0,243,0,11,7,149,724,16,20,73,6,448,21,145,257,425,6666,25,0,15,6,36,115,0,24886,1161,447,160,15,119,118,0,35,37,6950,12936,603,5,0,0,72,2551,3543,0,193,2084,1945,156,41,97,216,12,121,37,53,389,570,0,248,2368,1169,237,59,0,204,9,105,0,0,585,1023391,996869,911907,4260,67222,7481,841,5158,26522,1435,25087,24719,3760,14438,3525,432,2564,1725,78
40,MT,30,,,,,04001US30,Montana -- Urban,575982,515456,3427,31334,5350,391,3458,16566,859,15707,531146,7471,40695,8949,1244,4380,31334,27552,88,205,7114,96,13,343,1355,35,1999,25,61,5,481,162,4064,9,68,0,47,0,0,0,42,137,0,1,0,0,127,2,8,49,200,3655,0,0,0,0,0,49,0,7112,391,101,67,4,18,12,0,0,7,2558,725,5350,338,5,0,0,22,1444,770,0,58,623,1101,82,37,10,160,0,59,0,9,149,364,0,29,90,391,269,14,0,0,75,9,24,0,0,0,0,41682,36494,206,224,8171,191,13,1110,1987,78,3323,54,72,35,862,241,4596,41,68,0,179,0,0,0,64,160,10,12,39,6,263,2,67,252,200,4329,0,0,0,0,21,88,0,9530,613,243,139,11,28,65,0,0,7,4325,9136,477,5,0,0,22,1987,2207,0,102,1503,1412,146,37,45,216,0,121,0,25,198,499,0,134,1253,574,114,0,0,164,9,24,0,0,368,575982,559416,515456,3427,31334,5350,391,3458,16566,859,15707,15268,2898,8049,2527,393,1401,1259,39
40,MT,30,,,,,04043US30,Montana -- Rural,447409,396451,833,35888,2131,450,1700,9956,576,9380,405845,2027,42919,3693,1089,2339,35888,33557,77,152,5202,78,0,216,4243,32,1161,31,42,10,296,0,5984,18,52,0,14,0,11,0,32,491,5,8,27,0,50,19,57,0,140,1628,25,0,15,4,10,23,0,13404,381,100,12,4,34,25,0,25,25,1327,498,2131,69,0,0,0,50,406,537,0,89,295,334,0,4,32,0,0,0,37,28,159,71,0,0,20,450,322,47,28,0,0,0,19,0,0,12,22,43603,40196,118,168,5924,98,0,1034,4589,109,2020,150,42,24,450,18,6285,18,77,0,64,0,11,7,85,564,6,8,34,0,185,19,78,5,225,2337,25,0,15,6,15,27,0,15356,548,204,21,4,91,53,0,35,30,2625,3800,126,0,0,0,50,564,1336,0,91,581,533,10,4,52,0,12,0,37,28,191,71,0,114,1115,595,123,59,0,40,0,81,0,0,217,447409,437453,396451,833,35888,2131,450,1700,9956,576,9380,9451,862,6389,998,39,1163,466,39
40,MT,30,,,,,040A0US30,Montana -- In metropolitan or micropolitan statistical area,666368,617030,3619,18594,5763,457,3583,17322,1029,16293,633403,7604,28016,9905,1525,4716,18594,15396,93,180,2604,12,13,362,1159,55,1558,25,63,9,209,154,3033,14,68,0,37,0,0,0,74,291,5,9,21,0,60,0,0,49,141,1255,25,0,0,0,0,0,0,3818,412,45,13,8,12,12,0,0,5,2287,449,5763,341,0,0,0,31,1554,837,0,58,722,1206,78,37,10,160,0,59,9,25,207,309,0,29,91,457,277,58,0,0,75,9,24,0,0,6,8,28699,23672,185,199,3721,54,13,1436,1668,113,2761,96,74,39,562,235,3289,42,68,0,189,0,0,7,129,347,15,20,66,0,189,0,21,252,151,1664,25,0,0,0,21,32,0,5989,653,201,94,15,17,65,0,10,5,4168,10143,452,0,0,0,31,2196,2664,0,104,1663,1543,142,37,30,216,12,121,9,41,266,431,0,185,1542,600,216,0,0,164,9,24,0,0,529,666368,649046,617030,3619,18594,5763,457,3583,17322,1029,16293,15890,2836,8168,2861,348,1677,1387,45
40,MT,30,,,,,040C0US30,Montana -- In metropolitan statistical area,361564,328741,2517,13532,3231,342,2120,11081,664,10417,339102,5457,19492,5718,897,2824,13532,11344,61,72,2148,5,3,170,1015,55,810,25,59,9,157,154,2758,5,68,0,23,0,0,0,8,123,0,0,0,0,44,0,0,0,141,818,0,0,0,0,0,0,0,2613,282,35,3,8,12,12,0,0,5,1465,401,3231,160,0,0,0,9,871,500,0,32,408,527,78,37,10,110,0,51,0,0,112,249,0,22,55,342,204,24,0,0,75,9,24,0,0,6,0,19999,16672,81,72,2930,41,3,642,1293,90,1484,45,70,14,475,186,2968,33,68,0,157,0,0,0,41,150,10,11,39,0,173,0,0,203,141,1100,0,0,0,0,21,32,0,4099,391,130,52,8,12,58,0,0,5,2801,5877,250,0,0,0,9,1276,1552,0,76,1104,663,142,37,10,110,0,113,0,0,161,340,0,34,897,415,64,0,0,149,9,24,0,0,236,361564,350483,328741,2517,13532,3231,342,2120,11081,664,10417,10252,2086,5035,1714,277,1140,813,16
40,MT,30,,,,,040C1US30,Montana -- In metropolitan statistical area -- in principal city,238685,214370,1811,9857,2704,191,1470,8282,532,7750,222050,4193,14191,4625,572,2002,9857,8391,61,59,1703,5,3,131,789,35,500,25,57,9,152,43,1985,5,68,0,23,0,0,0,0,65,0,0,0,0,0,0,0,0,8,695,0,0,0,0,0,0,0,1970,174,6,0,0,0,6,0,0,5,1088,193,2704,141,0,0,0,0,833,372,0,32,299,431,78,37,3,21,0,51,0,0,100,236,0,22,48,191,92,0,0,0,75,0,24,0,0,0,0,14485,12388,61,59,2264,35,3,510,938,62,938,42,68,9,383,64,2118,33,68,0,144,0,0,0,0,84,10,11,39,0,129,0,0,199,8,944,0,0,0,0,21,32,0,3112,250,6,0,0,0,6,0,0,5,1836,4756,220,0,0,0,0,1214,1167,0,76,771,505,132,37,3,21,0,113,0,0,149,322,0,26,572,226,0,0,0,149,0,24,0,0,173,238685,230403,214370,1811,9857,2704,191,1470,8282,532,7750,7628,1643,3544,1329,248,864,642,12
40,MT,30,,,,,040C2US30,Montana -- In metropolitan statistical area -- not in principal city,122879,114371,706,3675,527,151,650,2799,132,2667,117052,1264,5301,1093,325,822,3675,2953,0,13,445,0,0,39,226,20,310,0,2,0,5,111,773,0,0,0,0,0,0,0,8,58,0,0,0,0,44,0,0,0,133,123,0,0,0,0,0,0,0,643,108,29,3,8,12,6,0,0,0,377,208,527,19,0,0,0,9,38,128,0,0,109,96,0,0,7,89,0,0,0,0,12,13,0,0,7,151,112,24,0,0,0,9,0,0,0,6,0,5514,4284,20,13,666,6,0,132,355,28,546,3,2,5,92,122,850,0,0,0,13,0,0,0,41,66,0,0,0,0,44,0,0,4,133,156,0,0,0,0,0,0,0,987,141,124,52,8,12,52,0,0,0,965,1121,30,0,0,0,9,62,385,0,0,333,158,10,0,7,89,0,0,0,0,12,18,0,8,325,189,64,0,0,0,9,0,0,0,63,122879,120080,114371,706,3675,527,151,650,2799,132,2667,2624,443,1491,385,29,276,171,4
40,MT,30,,,,,040E0US30,Montana -- In micropolitan statistical area,304804,288289,1102,5062,2532,115,1463,6241,365,5876,294301,2147,8524,4187,628,1892,5062,4052,32,108,456,7,10,192,144,0,748,0,4,0,52,0,275,9,0,0,14,0,0,0,66,168,5,9,21,0,16,0,0,49,0,437,25,0,0,0,0,0,0,1205,130,10,10,0,0,0,0,0,0,822,48,2532,181,0,0,0,22,683,337,0,26,314,679,0,0,0,50,0,8,9,25,95,60,0,7,36,115,73,34,0,0,0,0,0,0,0,0,8,8700,7000,104,127,791,13,10,794,375,23,1277,51,4,25,87,49,321,9,0,0,32,0,0,7,88,197,5,9,27,0,16,0,21,49,10,564,25,0,0,0,0,0,0,1890,262,71,42,7,5,7,0,10,0,1367,4266,202,0,0,0,22,920,1112,0,28,559,880,0,0,20,106,12,8,9,41,105,91,0,151,645,185,152,0,0,15,0,0,0,0,293,304804,298563,288289,1102,5062,2532,115,1463,6241,365,5876,5638,750,3133,1147,71,537,574,29
40,MT,30,,,,,040E1US30,Montana -- In micropolitan statistical area -- in principal city,127190,119225,771,2459,1708,58,480,2489,97,2392,121633,1298,3676,2456,183,605,2459,2068,16,51,262,7,10,85,80,0,395,0,4,0,52,0,190,0,0,0,0,0,0,0,0,8,0,1,0,0,16,0,0,0,0,252,0,0,0,0,0,0,0,639,0,10,10,0,0,0,0,0,0,360,21,1708,165,0,0,0,22,544,176,0,26,69,550,0,0,0,50,0,8,0,8,5,55,0,7,23,58,44,14,0,0,0,0,0,0,0,0,0,3785,3082,84,51,337,13,10,323,152,0,604,0,4,0,87,47,215,0,0,0,0,0,0,0,14,8,0,1,0,0,16,0,0,0,0,288,0,0,0,0,0,0,0,828,95,45,33,7,5,0,0,0,0,563,2479,186,0,0,0,22,693,403,0,26,156,662,0,0,0,106,0,8,0,24,11,75,0,107,183,112,61,0,0,0,0,0,0,0,10,127190,124701,119225,771,2459,1708,58,480,2489,97,2392,2317,422,1078,647,27,143,172,0
40,MT,30,,,,,040E2US30,Montana -- In micropolitan statistical area -- not in principal city,177614,169064,331,2603,824,57,983,3752,268,3484,172668,849,4848,1731,445,1287,2603,1984,16,57,194,0,0,107,64,0,353,0,0,0,0,0,85,9,0,0,14,0,0,0,66,160,5,8,21,0,0,0,0,49,0,185,25,0,0,0,0,0,0,566,130,0,0,0,0,0,0,0,0,462,27,824,16,0,0,0,0,139,161,0,0,245,129,0,0,0,0,0,0,9,17,90,5,0,0,13,57,29,20,0,0,0,0,0,0,0,0,8,4915,3918,20,76,454,0,0,471,223,23,673,51,0,25,0,2,106,9,0,0,32,0,0,7,74,189,5,8,27,0,0,0,21,49,10,276,25,0,0,0,0,0,0,1062,167,26,9,0,0,7,0,10,0,804,1787,16,0,0,0,0,227,709,0,2,403,218,0,0,20,0,12,0,9,17,94,16,0,44,462,73,91,0,0,15,0,0,0,0,283,177614,173862,169064,331,2603,824,57,983,3752,268,3484,3321,328,2055,500,44,394,402,29
