SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,ND,38,,,,,04000US38,North Dakota,736162,649730,14761,38369,9296,336,5691,17979,1459,16520,666676,19443,48021,12497,1234,7238,38369,33883,10,45,79,37,0,267,246,2,16070,2,0,0,7,10,50,0,30,0,41,1,0,6,1,252,25,4,8,5,14,4,0,0,30,10873,0,0,0,35,13,32,0,5684,1085,155,21,7,48,23,44,12,11,2789,446,9296,1731,88,497,0,27,1784,1686,11,12,269,507,13,0,7,819,0,203,139,10,188,745,13,442,105,336,127,47,0,0,113,35,11,0,0,0,3,48686,42373,84,45,209,172,0,806,291,15,19913,43,6,16,40,17,64,0,164,0,190,1,0,6,13,267,25,10,42,8,25,13,0,0,63,12944,2,0,0,39,13,32,0,6795,1664,232,29,13,90,29,46,25,11,4406,12941,2081,88,549,0,48,2301,2722,11,12,887,871,20,0,7,881,0,245,148,10,269,929,16,846,1237,416,264,3,6,218,43,17,0,0,270,736162,718183,649730,14761,38369,9296,336,5691,17979,1459,16520,17035,3309,8610,2527,328,2261,921,23
40,ND,38,,,,,04001US38,North Dakota -- Urban,445388,395870,12930,11174,8092,271,3882,13169,1110,12059,408276,16832,17510,10673,1027,5066,11174,9208,10,45,18,2,0,150,240,0,3988,0,0,0,0,0,35,0,6,0,0,0,0,0,0,167,0,0,6,0,12,0,0,0,0,3223,0,0,0,35,0,24,0,1247,310,68,21,0,3,0,44,0,0,1353,235,8092,1403,88,497,0,27,1690,1342,11,12,180,246,9,0,7,819,0,203,139,6,148,722,0,438,105,271,100,46,0,0,107,7,11,0,0,0,0,17854,14773,75,45,64,39,0,500,249,0,6722,39,0,0,22,0,35,0,57,0,132,0,0,0,0,172,0,2,38,0,12,0,0,0,0,4712,0,0,0,39,0,24,0,1795,530,93,21,6,3,6,44,13,0,2458,11092,1695,88,549,0,48,2185,2106,11,12,686,475,12,0,7,881,0,245,148,6,215,894,3,826,1027,349,233,0,0,201,7,17,0,0,220,445388,432219,395870,12930,11174,8092,271,3882,13169,1110,12059,12358,2729,5554,2018,248,1809,795,16
40,ND,38,,,,,04043US38,North Dakota -- Rural,290774,253860,1831,27195,1204,65,1809,4810,349,4461,258400,2611,30511,1824,207,2172,27195,24675,0,0,61,35,0,117,6,2,12082,2,0,0,7,10,15,0,24,0,41,1,0,6,1,85,25,4,2,5,2,4,0,0,30,7650,0,0,0,0,13,8,0,4437,775,87,0,7,45,23,0,12,11,1436,211,1204,328,0,0,0,0,94,344,0,0,89,261,4,0,0,0,0,0,0,4,40,23,13,4,0,65,27,1,0,0,6,28,0,0,0,0,3,30832,27600,9,0,145,133,0,306,42,15,13191,4,6,16,18,17,29,0,107,0,58,1,0,6,13,95,25,8,4,8,13,13,0,0,63,8232,2,0,0,0,13,8,0,5000,1134,139,8,7,87,23,2,12,11,1948,1849,386,0,0,0,0,116,616,0,0,201,396,8,0,0,0,0,0,0,4,54,35,13,20,210,67,31,3,6,17,36,0,0,0,50,290774,285964,253860,1831,27195,1204,65,1809,4810,349,4461,4677,580,3056,509,80,452,126,7
40,ND,38,,,,,040A0US38,North Dakota -- In metropolitan or micropolitan statistical area,539393,483195,13750,14774,8625,278,4205,14566,1217,13349,496951,17966,21812,11516,1071,5505,14774,12679,10,45,28,2,0,193,240,0,3949,0,0,0,0,0,38,0,6,0,0,0,0,0,0,195,25,0,5,0,14,0,0,0,9,6479,0,0,0,35,0,24,0,1382,303,60,21,0,20,19,0,0,0,1528,204,8625,1708,88,497,0,27,1714,1361,11,12,205,418,9,0,7,819,0,203,139,10,148,706,0,438,105,278,94,47,0,0,113,13,11,0,0,0,0,22097,18643,77,45,109,48,0,583,260,0,6750,39,0,0,23,0,38,0,57,0,135,0,0,0,0,210,25,6,39,0,16,0,0,0,42,8051,0,0,0,39,0,24,0,2027,668,129,21,6,62,25,2,13,0,2657,11934,2022,88,549,0,48,2214,2199,11,12,787,760,13,0,7,881,0,245,148,10,215,881,3,841,1071,358,242,0,3,209,13,17,0,0,229,539393,524827,483195,13750,14774,8625,278,4205,14566,1217,13349,13725,2977,6216,2315,267,1950,821,20
40,ND,38,,,,,040C0US38,North Dakota -- In metropolitan statistical area,363037,323682,9723,11761,7055,109,1864,8843,632,8211,332047,12491,16123,8851,431,2504,11761,9988,10,45,6,0,0,123,240,0,2586,0,0,0,0,0,21,0,6,0,0,0,0,0,0,36,0,0,5,0,12,0,0,0,9,5788,0,0,0,35,0,24,0,1042,252,17,0,0,17,0,0,0,0,1310,194,7055,1320,88,497,0,27,1588,793,11,12,146,262,9,0,4,752,0,203,139,5,54,659,0,415,71,109,45,47,0,0,17,0,0,0,0,0,0,16326,13839,41,45,49,46,0,282,254,0,4301,35,0,0,7,0,21,0,38,0,114,0,0,0,0,51,0,6,39,0,14,0,0,0,9,7003,0,0,0,39,0,24,0,1421,485,78,0,0,59,6,0,13,0,1924,9150,1565,88,549,0,48,1963,1096,11,12,562,503,13,0,4,814,0,245,148,5,114,749,3,658,431,149,82,0,3,33,0,0,0,0,164,363037,354194,323682,9723,11761,7055,109,1864,8843,632,8211,8285,1914,3839,1477,86,969,549,9
40,ND,38,,,,,040C1US38,North Dakota -- In metropolitan statistical area -- in principal city,240762,212673,8092,5677,6175,96,1544,6505,527,5978,218958,10084,8916,7416,251,2071,5677,4278,10,45,0,0,0,79,240,0,1645,0,0,0,0,0,10,0,6,0,0,0,0,0,0,27,0,0,3,0,12,0,0,0,0,1618,0,0,0,15,0,24,0,544,208,3,0,0,3,0,0,0,0,1032,156,6175,1039,88,497,0,5,1479,638,11,12,113,235,9,0,4,752,0,197,139,5,54,465,0,372,61,96,43,36,0,0,17,0,0,0,0,0,0,9091,7094,15,45,8,37,0,185,249,0,3037,13,0,0,6,0,10,0,38,0,111,0,0,0,0,32,0,2,35,0,12,0,0,0,0,2393,0,0,0,19,0,24,0,823,438,15,0,0,3,3,0,9,0,1544,7690,1207,88,549,0,26,1795,860,11,12,324,385,9,0,4,814,0,203,148,5,106,552,0,592,251,114,56,0,0,33,0,0,0,0,48,240762,234257,212673,8092,5677,6175,96,1544,6505,527,5978,6082,1455,2808,1084,59,676,417,6
40,ND,38,,,,,040C2US38,North Dakota -- In metropolitan statistical area -- not in principal city,122275,111009,1631,6084,880,13,320,2338,105,2233,113089,2407,7207,1435,180,433,6084,5710,0,0,6,0,0,44,0,0,941,0,0,0,0,0,11,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,0,9,4170,0,0,0,20,0,0,0,498,44,14,0,0,14,0,0,0,0,278,38,880,281,0,0,0,22,109,155,0,0,33,27,0,0,0,0,0,6,0,0,0,194,0,43,10,13,2,11,0,0,0,0,0,0,0,0,0,7235,6745,26,0,41,9,0,97,5,0,1264,22,0,0,1,0,11,0,0,0,3,0,0,0,0,19,0,4,4,0,2,0,0,0,9,4610,0,0,0,20,0,0,0,598,47,63,0,0,56,3,0,4,0,380,1460,358,0,0,0,22,168,236,0,0,238,118,4,0,0,0,0,42,0,0,8,197,3,66,180,35,26,0,3,0,0,0,0,0,116,122275,119937,111009,1631,6084,880,13,320,2338,105,2233,2203,459,1031,393,27,293,132,3
40,ND,38,,,,,040E0US38,North Dakota -- In micropolitan statistical area,176356,159513,4027,3013,1570,169,2341,5723,585,5138,164904,5475,5689,2665,640,3001,3013,2691,0,0,22,2,0,70,0,0,1363,0,0,0,0,0,17,0,0,0,0,0,0,0,0,159,25,0,0,0,2,0,0,0,0,691,0,0,0,0,0,0,0,340,51,43,21,0,3,19,0,0,0,218,10,1570,388,0,0,0,0,126,568,0,0,59,156,0,0,3,67,0,0,0,5,94,47,0,23,34,169,49,0,0,0,96,13,11,0,0,0,0,5771,4804,36,0,60,2,0,301,6,0,2449,4,0,0,16,0,17,0,19,0,21,0,0,0,0,159,25,0,0,0,2,0,0,0,33,1048,0,0,0,0,0,0,0,606,183,51,21,6,3,19,2,0,0,733,2784,457,0,0,0,0,251,1103,0,0,225,257,0,0,3,67,0,0,0,5,101,132,0,183,640,209,160,0,0,176,13,17,0,0,65,176356,170633,159513,4027,3013,1570,169,2341,5723,585,5138,5440,1063,2377,838,181,981,272,11
40,ND,38,,,,,040E1US38,North Dakota -- In micropolitan statistical area -- in principal city,116510,103907,2996,1994,1169,72,1930,4442,425,4017,108154,4122,3960,1991,506,2429,1994,1798,0,0,18,2,0,9,0,0,964,0,0,0,0,0,17,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,420,0,0,0,0,0,0,0,228,40,21,21,0,0,0,0,0,0,135,0,1169,331,0,0,0,0,98,446,0,0,44,0,0,0,3,67,0,0,0,1,94,35,0,23,27,72,43,0,0,0,22,7,0,0,0,0,0,4032,3421,34,0,46,2,0,190,0,0,1836,4,0,0,16,0,17,0,0,0,21,0,0,0,0,140,0,0,0,0,0,0,0,0,0,674,0,0,0,0,0,0,0,441,108,27,21,6,0,0,0,0,0,476,2103,372,0,0,0,0,209,811,0,0,175,72,0,0,3,67,0,0,0,1,94,120,0,179,506,185,160,0,0,100,7,0,0,0,54,116510,112068,103907,2996,1994,1169,72,1930,4442,425,4017,4232,948,1851,569,66,798,210,0
40,ND,38,,,,,040E2US38,North Dakota -- In micropolitan statistical area -- not in principal city,59846,55606,1031,1019,401,97,411,1281,160,1121,56750,1353,1729,674,134,572,1019,893,0,0,4,0,0,61,0,0,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,25,0,0,0,2,0,0,0,0,271,0,0,0,0,0,0,0,112,11,22,0,0,3,19,0,0,0,83,10,401,57,0,0,0,0,28,122,0,0,15,156,0,0,0,0,0,0,0,4,0,12,0,0,7,97,6,0,0,0,74,6,11,0,0,0,0,1739,1383,2,0,14,0,0,111,6,0,613,0,0,0,0,0,0,0,19,0,0,0,0,0,0,19,25,0,0,0,2,0,0,0,33,374,0,0,0,0,0,0,0,165,75,24,0,0,3,19,2,0,0,257,681,85,0,0,0,0,42,292,0,0,50,185,0,0,0,0,0,0,0,4,7,12,0,4,134,24,0,0,0,76,6,17,0,0,11,59846,58565,55606,1031,1019,401,97,411,1281,160,1121,1208,115,526,269,115,183,62,11
