SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,NJ,34,,,,,04000US34,New Jersey,8915456,6075710,1207221,18470,819208,2811,566323,225713,53011,172702,6251613,1320790,60563,892474,11909,624673,18470,10481,78,0,291,44,785,1272,13,18,77,4,0,3,43,37,0,963,47,65,270,0,76,0,1712,176,0,16,0,0,46,62,0,53,27,104,2114,813,0,16,0,0,0,1256,1270,114,0,0,75,39,0,0,8,6134,463,819208,349901,11000,9,569,1679,144515,117521,145,1892,13501,97161,739,492,228,1258,0,29647,2471,6691,3281,22543,258,5103,8604,2811,760,265,16,6,683,10,276,210,0,544,41,62804,40211,408,10,3627,241,1365,11129,129,54,313,341,7,65,91,368,37,3403,87,65,1782,50,158,23,3699,673,6,35,28,10,117,179,8,727,41,701,4967,1022,0,57,0,43,0,4145,3621,239,14,24,125,48,0,28,8,18725,904161,364442,11587,19,700,2174,160452,136917,196,2637,21042,105142,1038,850,375,1337,18,31704,2729,7624,4809,25897,313,22159,12058,2317,490,42,43,1086,10,283,268,30,7489,8915456,8689743,6075710,1207221,18470,819208,2811,566323,225713,53011,172702,206461,67869,18213,45048,8707,66624,17733,1519
40,NJ,34,,,,,04001US34,New Jersey -- Urban,8445887,5658953,1184118,17581,806177,2744,559363,216951,51621,165330,5827965,1294347,56718,876491,11199,616131,17581,9913,78,0,291,44,756,1230,13,9,69,0,0,0,43,37,0,728,34,65,269,0,76,0,1696,176,0,16,0,0,46,62,0,53,15,95,2114,813,0,16,0,0,0,1069,1237,114,0,0,75,39,0,0,8,5859,450,806177,345376,10821,9,569,1664,141341,116418,90,1872,13371,95605,722,490,228,1244,0,29033,2471,6544,3089,21701,258,4870,8391,2744,735,265,16,6,675,10,276,210,0,510,41,58778,37216,322,10,3404,241,1309,10340,95,45,288,329,7,62,91,325,37,2702,74,65,1604,50,158,23,3670,561,6,35,28,0,104,92,8,651,15,677,4961,1022,0,32,0,43,0,3730,3463,239,14,24,125,48,0,28,8,17852,887892,359483,11408,19,700,2159,156368,135110,141,2512,20578,103313,959,828,375,1323,18,31090,2729,7348,4488,25025,313,21605,11348,2252,480,42,43,1073,10,283,268,30,6867,8445887,8228936,5658953,1184118,17581,806177,2744,559363,216951,51621,165330,198503,66221,16471,42999,8024,64788,16965,1483
40,NJ,34,,,,,04043US34,New Jersey -- Rural,469569,416757,23103,889,13031,67,6960,8762,1390,7372,423648,26443,3845,15983,710,8542,889,568,0,0,0,0,29,42,0,9,8,4,0,3,0,0,0,235,13,0,1,0,0,0,16,0,0,0,0,0,0,0,0,0,12,9,0,0,0,0,0,0,0,187,33,0,0,0,0,0,0,0,0,275,13,13031,4525,179,0,0,15,3174,1103,55,20,130,1556,17,2,0,14,0,614,0,147,192,842,0,233,213,67,25,0,0,0,8,0,0,0,0,34,0,4026,2995,86,0,223,0,56,789,34,9,25,12,0,3,0,43,0,701,13,0,178,0,0,0,29,112,0,0,0,10,13,87,0,76,26,24,6,0,0,25,0,0,0,415,158,0,0,0,0,0,0,0,0,873,16269,4959,179,0,0,15,4084,1807,55,125,464,1829,79,22,0,14,0,614,0,276,321,872,0,554,710,65,10,0,0,13,0,0,0,0,622,469569,460807,416757,23103,889,13031,67,6960,8762,1390,7372,7958,1648,1742,2049,683,1836,768,36
40,NJ,34,,,,,040A0US34,New Jersey -- In metropolitan or micropolitan statistical area,8915456,6075710,1207221,18470,819208,2811,566323,225713,53011,172702,6251613,1320790,60563,892474,11909,624673,18470,10481,78,0,291,44,785,1272,13,18,77,4,0,3,43,37,0,963,47,65,270,0,76,0,1712,176,0,16,0,0,46,62,0,53,27,104,2114,813,0,16,0,0,0,1256,1270,114,0,0,75,39,0,0,8,6134,463,819208,349901,11000,9,569,1679,144515,117521,145,1892,13501,97161,739,492,228,1258,0,29647,2471,6691,3281,22543,258,5103,8604,2811,760,265,16,6,683,10,276,210,0,544,41,62804,40211,408,10,3627,241,1365,11129,129,54,313,341,7,65,91,368,37,3403,87,65,1782,50,158,23,3699,673,6,35,28,10,117,179,8,727,41,701,4967,1022,0,57,0,43,0,4145,3621,239,14,24,125,48,0,28,8,18725,904161,364442,11587,19,700,2174,160452,136917,196,2637,21042,105142,1038,850,375,1337,18,31704,2729,7624,4809,25897,313,22159,12058,2317,490,42,43,1086,10,283,268,30,7489,8915456,8689743,6075710,1207221,18470,819208,2811,566323,225713,53011,172702,206461,67869,18213,45048,8707,66624,17733,1519
40,NJ,34,,,,,040C0US34,New Jersey -- In metropolitan statistical area,8915456,6075710,1207221,18470,819208,2811,566323,225713,53011,172702,6251613,1320790,60563,892474,11909,624673,18470,10481,78,0,291,44,785,1272,13,18,77,4,0,3,43,37,0,963,47,65,270,0,76,0,1712,176,0,16,0,0,46,62,0,53,27,104,2114,813,0,16,0,0,0,1256,1270,114,0,0,75,39,0,0,8,6134,463,819208,349901,11000,9,569,1679,144515,117521,145,1892,13501,97161,739,492,228,1258,0,29647,2471,6691,3281,22543,258,5103,8604,2811,760,265,16,6,683,10,276,210,0,544,41,62804,40211,408,10,3627,241,1365,11129,129,54,313,341,7,65,91,368,37,3403,87,65,1782,50,158,23,3699,673,6,35,28,10,117,179,8,727,41,701,4967,1022,0,57,0,43,0,4145,3621,239,14,24,125,48,0,28,8,18725,904161,364442,11587,19,700,2174,160452,136917,196,2637,21042,105142,1038,850,375,1337,18,31704,2729,7624,4809,25897,313,22159,12058,2317,490,42,43,1086,10,283,268,30,7489,8915456,8689743,6075710,1207221,18470,819208,2811,566323,225713,53011,172702,206461,67869,18213,45048,8707,66624,17733,1519
40,NJ,34,,,,,040C1US34,New Jersey -- In metropolitan statistical area -- in principal city,964926,381526,326377,4028,86833,329,137707,28126,9749,18377,399629,343535,9278,93305,1577,148433,4028,2254,0,0,170,0,180,379,13,0,14,0,0,0,0,0,0,85,9,57,12,0,0,0,293,15,0,0,0,0,6,60,0,0,0,0,719,81,0,2,0,0,0,159,271,6,0,0,0,6,0,0,0,1388,109,86833,36759,2734,0,55,398,12228,18719,13,125,787,3915,45,8,6,172,0,3641,351,488,213,4454,0,654,1068,329,36,21,6,0,63,0,16,0,0,187,0,9626,5699,10,0,644,38,200,1633,38,0,19,5,0,0,0,20,0,386,9,57,212,50,0,0,320,174,6,0,0,0,6,68,0,19,0,39,962,85,0,2,0,0,0,697,420,16,0,0,0,6,0,10,0,3491,94745,38428,2820,0,55,557,13581,20449,27,133,1451,4352,79,24,13,228,0,3837,355,504,365,4822,0,2665,1585,188,56,10,23,134,0,16,0,0,1158,964926,936800,381526,326377,4028,86833,329,137707,28126,9749,18377,25705,8425,1283,2473,1798,11726,2162,259
40,NJ,34,,,,,040C2US34,New Jersey -- In metropolitan statistical area -- not in principal city,7950530,5694184,880844,14442,732375,2482,428616,197587,43262,154325,5851984,977255,51285,799169,10332,476240,14442,8227,78,0,121,44,605,893,0,18,63,4,0,3,43,37,0,878,38,8,258,0,76,0,1419,161,0,16,0,0,40,2,0,53,27,104,1395,732,0,14,0,0,0,1097,999,108,0,0,75,33,0,0,8,4746,354,732375,313142,8266,9,514,1281,132287,98802,132,1767,12714,93246,694,484,222,1086,0,26006,2120,6203,3068,18089,258,4449,7536,2482,724,244,10,6,620,10,260,210,0,357,41,53178,34512,398,10,2983,203,1165,9496,91,54,294,336,7,65,91,348,37,3017,78,8,1570,0,158,23,3379,499,0,35,28,10,111,111,8,708,41,662,4005,937,0,55,0,43,0,3448,3201,223,14,24,125,42,0,18,8,15234,809416,326014,8767,19,645,1617,146871,116468,169,2504,19591,100790,959,826,362,1109,18,27867,2374,7120,4444,21075,313,19494,10473,2129,434,32,20,952,10,267,268,30,6331,7950530,7752943,5694184,880844,14442,732375,2482,428616,197587,43262,154325,180756,59444,16930,42575,6909,54898,15571,1260
50,NJ,34,001,,,,05000US34001,"Atlantic County, New Jersey",274026,184371,42711,563,22658,66,14225,9432,3391,6041,190313,48045,2224,24912,879,17834,563,277,0,0,0,0,0,85,0,0,8,0,0,0,0,0,0,49,13,0,16,0,0,0,0,0,0,0,0,0,24,0,0,0,0,11,6,0,0,2,0,0,0,63,65,0,0,0,0,0,0,0,0,221,0,22658,6455,2058,0,0,46,3826,2981,0,11,143,1107,165,55,8,29,0,1269,15,61,127,3619,0,146,537,66,0,7,0,0,54,0,0,0,0,5,0,2380,1578,23,0,74,0,0,545,0,0,22,13,0,2,0,22,16,230,13,0,55,0,17,0,0,100,0,0,0,0,24,87,0,19,0,30,63,0,0,2,0,0,0,221,88,14,14,0,0,0,0,0,0,700,25757,6931,2162,0,0,46,4354,3734,0,41,369,1197,178,62,8,29,0,1313,15,83,160,4247,0,828,879,97,7,0,0,54,0,0,0,0,721,274026,264594,184371,42711,563,22658,66,14225,9432,3391,6041,8683,2550,612,931,416,4174,749,0
50,NJ,34,003,,,,05000US34003,"Bergen County, New Jersey",930310,658572,54765,1777,147370,303,45625,21898,5027,16871,676605,63557,4699,157005,904,51384,1777,825,25,0,43,11,14,185,0,9,0,0,0,0,0,0,0,107,0,0,46,0,0,0,73,17,0,0,0,0,0,0,0,0,0,6,167,0,0,0,0,0,0,122,217,0,0,0,0,0,0,0,8,719,8,147370,34241,473,0,194,267,18744,21284,0,186,6225,57144,23,187,40,121,0,3281,300,889,693,715,9,389,1965,303,94,17,0,6,100,0,0,34,0,40,12,4892,2712,33,0,221,37,79,629,0,9,5,37,0,0,0,0,0,267,7,0,209,0,24,0,315,29,0,0,0,0,0,0,0,20,0,28,496,21,0,0,0,0,0,246,357,0,0,0,0,0,0,0,8,1815,159189,36249,551,0,261,276,20887,24069,8,250,7554,58860,23,242,60,121,0,3634,311,1039,803,1077,42,2872,916,186,66,0,14,157,0,0,34,0,459,930310,908412,658572,54765,1777,147370,303,45625,21898,5027,16871,20083,5208,785,7291,745,6054,1688,127
50,NJ,34,005,,,,05000US34005,"Burlington County, New Jersey",450236,326657,72668,495,21503,157,11390,17366,1946,15420,340559,83521,5434,26744,839,13741,495,246,0,0,7,0,0,28,0,0,0,0,0,0,0,0,0,9,0,8,24,0,3,0,46,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,76,25,0,0,0,0,0,0,0,0,179,45,21503,9620,273,0,87,203,2845,3330,55,53,330,2025,0,25,61,0,0,1170,195,202,222,353,0,236,218,157,129,0,0,0,19,0,0,0,0,9,0,5683,3693,30,0,514,57,32,1438,0,2,30,71,7,0,5,34,21,111,9,8,197,0,44,2,89,70,0,0,0,0,0,0,0,84,0,161,98,0,0,0,0,0,0,579,201,9,0,9,0,0,0,0,0,1780,27081,10222,282,0,87,250,3391,4660,55,225,1327,2758,0,26,133,0,0,1369,256,224,431,666,0,719,839,393,0,0,0,45,0,0,0,0,401,450236,432870,326657,72668,495,21503,157,11390,17366,1946,15420,14353,5629,1443,2862,1255,3164,2794,219
