SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,OH,39,,,,,04000US39,Ohio,11586941,9519506,1421943,21459,224520,3248,98088,298177,24850,273327,9789856,1600622,99097,281256,10812,126039,21459,13825,406,0,645,84,247,4894,6,83,544,318,0,225,72,266,35,205,44,2,485,44,214,76,541,617,48,38,22,7,44,89,70,53,68,768,1021,124,0,15,0,63,33,1309,850,424,34,58,101,0,19,212,73,5368,919,224520,73098,1053,3637,1597,5938,51743,16745,692,1223,10127,16074,4088,462,169,6473,25,4702,950,2607,2796,15074,77,2068,3102,3248,1199,416,17,12,553,216,273,18,37,468,39,104392,73693,1782,33,8116,237,383,37692,471,437,1908,2053,0,417,341,753,292,837,122,2,2227,148,513,113,998,1422,110,144,50,15,228,204,102,509,231,2783,2181,201,0,132,0,141,115,5250,4031,811,117,86,218,58,42,290,99,25758,286858,79658,1097,3969,1765,7215,59916,30803,788,1630,18658,22643,5219,637,190,6829,98,5367,1156,3161,4674,18344,141,12900,11068,3580,1103,95,39,1291,239,368,47,43,4263,11586941,11288764,9519506,1421943,21459,224520,3248,98088,298177,24850,273327,277192,139975,49619,42070,11565,33963,19563,1422
40,OH,39,,,,,04001US39,Ohio -- Urban,9049642,7063025,1398900,17598,214716,2740,89130,263533,21922,241611,7299878,1564412,79906,265979,9435,113885,17598,11087,341,0,477,72,247,3692,6,73,460,221,0,172,66,254,29,183,28,0,401,44,183,76,419,532,39,10,22,7,24,89,69,52,58,498,1009,74,0,15,0,59,8,1078,750,385,34,22,101,0,19,209,73,4563,740,214716,70887,1020,3637,1496,5784,49855,15367,637,1182,9532,14807,3939,458,169,6242,25,4521,938,2536,2570,14215,77,1817,3005,2740,987,338,17,12,485,212,176,11,37,427,38,84176,58942,1559,9,6809,223,382,29059,467,378,1554,1592,0,337,215,605,162,690,68,0,1761,117,447,96,855,1178,96,83,22,15,115,204,94,478,203,2291,2127,82,0,21,0,137,20,4391,3116,716,81,50,204,54,40,287,92,21310,271335,77011,1064,3969,1655,7017,57341,27836,727,1576,16986,20617,4994,633,190,6598,98,5146,1144,3047,4255,17246,141,12044,9686,2993,975,76,39,1173,231,244,40,43,3872,9049642,8786109,7063025,1398900,17598,214716,2740,89130,263533,21922,241611,244587,129145,36353,37692,11278,30119,17716,1230
40,OH,39,,,,,04043US39,Ohio -- Rural,2537299,2456481,23043,3861,9804,508,8958,34644,2928,31716,2489978,36210,19191,15277,1377,12154,3861,2738,65,0,168,12,0,1202,0,10,84,97,0,53,6,12,6,22,16,2,84,0,31,0,122,85,9,28,0,0,20,0,1,1,10,270,12,50,0,0,0,4,25,231,100,39,0,36,0,0,0,3,0,805,179,9804,2211,33,0,101,154,1888,1378,55,41,595,1267,149,4,0,231,0,181,12,71,226,859,0,251,97,508,212,78,0,0,68,4,97,7,0,41,1,20216,14751,223,24,1307,14,1,8633,4,59,354,461,0,80,126,148,130,147,54,2,466,31,66,17,143,244,14,61,28,0,113,0,8,31,28,492,54,119,0,111,0,4,95,859,915,95,36,36,14,4,2,3,7,4448,15523,2647,33,0,110,198,2575,2967,61,54,1672,2026,225,4,0,231,0,221,12,114,419,1098,0,856,1382,587,128,19,0,118,8,124,7,0,391,2537299,2502655,2456481,23043,3861,9804,508,8958,34644,2928,31716,32605,10830,13266,4378,287,3844,1847,192
40,OH,39,,,,,040A0US39,Ohio -- In metropolitan or micropolitan statistical area,11134094,9083711,1417757,20703,222868,3129,94938,290988,24189,266799,9346996,1593123,95194,279089,10605,122086,20703,13293,406,0,622,84,247,4603,6,83,507,287,0,207,72,261,35,190,44,2,483,44,214,70,527,615,48,10,22,7,44,89,70,52,59,749,1016,124,0,15,0,63,33,1283,841,421,34,58,101,0,19,209,73,5223,852,222868,72929,1053,3637,1550,5871,51405,16403,692,1223,9964,15931,3971,462,169,6463,25,4702,950,2601,2695,14925,77,2068,3102,3129,1169,414,17,12,549,212,198,18,37,464,39,100241,70716,1718,33,7946,237,383,36040,467,404,1765,1969,0,396,294,689,281,764,122,2,2141,148,513,95,969,1400,96,83,50,15,188,204,102,508,204,2721,2168,201,0,132,0,141,45,5082,3827,806,117,86,218,58,40,287,99,24793,284668,79441,1097,3969,1718,7148,59501,30287,788,1630,18447,22391,5042,637,190,6819,98,5367,1156,3150,4573,18190,141,12888,10861,3494,1101,81,39,1287,235,291,47,43,4243,11134094,10843106,9083711,1417757,20703,222868,3129,94938,290988,24189,266799,270502,137239,46893,41608,11532,33230,19118,1368
40,OH,39,,,,,040C0US39,Ohio -- In metropolitan statistical area,9216232,7278410,1373786,17027,210913,2622,81790,251684,20961,230723,7504626,1527787,78650,262069,9025,105195,17027,10516,377,0,516,84,100,3644,6,39,421,265,0,156,49,221,13,185,44,2,389,44,214,23,454,400,30,10,22,7,39,89,10,41,59,441,925,124,0,15,0,17,33,1008,745,330,34,0,68,0,19,209,73,4619,744,210913,70848,1034,3637,1506,5637,48168,14770,657,1099,8879,14830,3544,430,169,6229,25,4548,914,2558,2456,14025,69,1906,2975,2622,993,347,17,12,489,62,198,18,37,411,38,82919,57871,1507,33,6618,216,236,29020,461,325,1528,1661,0,320,249,622,232,619,109,2,1848,117,480,43,872,989,78,52,22,15,136,204,30,407,193,2031,1991,195,0,132,0,90,45,4143,3188,641,81,28,169,58,40,265,80,21139,267293,76993,1078,3969,1674,6914,55821,27299,747,1493,16339,20722,4464,544,183,6585,98,5183,1120,3056,4191,17039,133,11648,9264,2943,1014,76,26,1145,81,266,33,43,3637,9216232,8964548,7278410,1373786,17027,210913,2622,81790,251684,20961,230723,233591,119241,36547,37964,10888,28951,16907,1186
40,OH,39,,,,,040C1US39,Ohio -- In metropolitan statistical area -- in principal city,2606193,1525890,854768,6914,69548,850,41593,106630,10323,96307,1618661,931123,33049,83961,3080,53350,6914,4276,232,0,146,36,53,1441,0,0,135,67,0,62,20,46,0,70,15,0,135,44,69,0,150,54,0,10,0,7,15,27,9,25,57,282,778,31,0,0,0,10,8,242,347,99,27,0,60,0,0,12,9,1881,302,69548,18756,449,2924,924,3206,16420,4071,323,283,1986,4104,2122,200,57,3759,15,1109,461,762,627,4710,29,908,1343,850,393,145,17,12,84,31,13,11,29,77,38,34855,24343,696,9,3116,60,97,12125,279,161,527,567,0,147,52,225,59,354,42,0,617,93,165,20,277,294,10,46,0,15,71,126,29,157,102,827,1294,31,0,0,0,67,8,1578,1241,188,27,9,133,7,0,12,9,9074,86040,20337,482,3211,984,3965,18662,7060,364,433,4139,5608,2798,242,64,4050,15,1220,564,873,1232,5576,39,4122,3222,1247,390,66,26,267,31,13,11,29,1142,2606193,2499563,1525890,854768,6914,69548,850,41593,106630,10323,96307,96894,55741,11080,9385,7099,13589,9129,607
40,OH,39,,,,,040C2US39,Ohio -- In metropolitan statistical area -- not in principal city,6610039,5752520,519018,10113,141365,1772,40197,145054,10638,134416,5885965,596664,45601,178108,5945,51845,10113,6240,145,0,370,48,47,2203,6,39,286,198,0,94,29,175,13,115,29,2,254,0,145,23,304,346,30,0,22,0,24,62,1,16,2,159,147,93,0,15,0,7,25,766,398,231,7,0,8,0,19,197,64,2738,442,141365,52092,585,713,582,2431,31748,10699,334,816,6893,10726,1422,230,112,2470,10,3439,453,1796,1829,9315,40,998,1632,1772,600,202,0,0,405,31,185,7,8,334,0,48064,33528,811,24,3502,156,139,16895,182,164,1001,1094,0,173,197,397,173,265,67,2,1231,24,315,23,595,695,68,6,22,0,65,78,1,250,91,1204,697,164,0,132,0,23,37,2565,1947,453,54,19,36,51,40,253,71,12065,181253,56656,596,758,690,2949,37159,20239,383,1060,12200,15114,1666,302,119,2535,83,3963,556,2183,2959,11463,94,7526,6042,1696,624,10,0,878,50,253,22,14,2495,6610039,6464985,5752520,519018,10113,141365,1772,40197,145054,10638,134416,136697,63500,25467,28579,3789,15362,7778,579
40,OH,39,,,,,040E0US39,Ohio -- In micropolitan statistical area,1917862,1805301,43971,3676,11955,507,13148,39304,3228,36076,1842370,65336,16544,17020,1580,16891,3676,2777,29,0,106,0,147,959,0,44,86,22,0,51,23,40,22,5,0,0,94,0,0,47,73,215,18,0,0,0,5,0,60,11,0,308,91,0,0,0,0,46,0,275,96,91,0,58,33,0,0,0,0,604,108,11955,2081,19,0,44,234,3237,1633,35,124,1085,1101,427,32,0,234,0,154,36,43,239,900,8,162,127,507,176,67,0,0,60,150,0,0,0,53,1,17322,12845,211,0,1328,21,147,7020,6,79,237,308,0,76,45,67,49,145,13,0,293,31,33,52,97,411,18,31,28,0,52,0,72,101,11,690,177,6,0,0,0,51,0,939,639,165,36,58,49,0,0,22,19,3654,17375,2448,19,0,44,234,3680,2988,41,137,2108,1669,578,93,7,234,0,184,36,94,382,1151,8,1240,1597,551,87,5,13,142,154,25,14,0,606,1917862,1878558,1805301,43971,3676,11955,507,13148,39304,3228,36076,36911,17998,10346,3644,644,4279,2211,182
40,OH,39,,,,,040E1US39,Ohio -- In micropolitan statistical area -- in principal city,563769,504127,27401,1355,6787,272,6467,17360,1536,15824,520433,38659,5826,8710,660,8373,1355,1007,0,0,47,0,147,211,0,16,16,0,0,0,23,0,0,5,0,0,28,0,0,32,46,212,0,0,0,0,5,0,0,8,0,79,12,0,0,0,0,0,0,120,61,33,0,0,33,0,0,0,0,180,74,6787,1342,19,0,17,173,2017,684,0,112,654,403,378,7,0,225,0,28,19,43,116,467,0,1,82,272,115,0,0,0,40,79,0,0,0,38,0,6131,4451,116,0,498,14,147,2102,6,51,16,46,0,21,23,5,10,113,13,0,89,0,0,32,52,341,0,25,0,0,33,0,5,44,0,254,39,0,0,0,0,5,0,351,200,33,0,0,33,0,0,0,19,1428,8854,1431,19,0,17,173,2152,1180,0,112,966,562,414,68,7,225,0,28,19,56,150,650,0,625,662,133,10,0,0,80,79,0,14,0,346,563769,546409,504127,27401,1355,6787,272,6467,17360,1536,15824,15933,9252,3072,1395,361,1853,1322,105
40,OH,39,,,,,040E2US39,Ohio -- In micropolitan statistical area -- not in principal city,1354093,1301174,16570,2321,5168,235,6681,21944,1692,20252,1321937,26677,10718,8310,920,8518,2321,1770,29,0,59,0,0,748,0,28,70,22,0,51,0,40,22,0,0,0,66,0,0,15,27,3,18,0,0,0,0,0,60,3,0,229,79,0,0,0,0,46,0,155,35,58,0,58,0,0,0,0,0,424,34,5168,739,0,0,27,61,1220,949,35,12,431,698,49,25,0,9,0,126,17,0,123,433,8,161,45,235,61,67,0,0,20,71,0,0,0,15,1,11191,8394,95,0,830,7,0,4918,0,28,221,262,0,55,22,62,39,32,0,0,204,31,33,20,45,70,18,6,28,0,19,0,67,57,11,436,138,6,0,0,0,46,0,588,439,132,36,58,16,0,0,22,0,2226,8521,1017,0,0,27,61,1528,1808,41,25,1142,1107,164,25,0,9,0,156,17,38,232,501,8,615,935,418,77,5,13,62,75,25,0,0,260,1354093,1332149,1301174,16570,2321,5168,235,6681,21944,1692,20252,20978,8746,7274,2249,283,2426,889,77
