SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,SD,46,,,,,04000US46,South Dakota,851058,721410,14078,74187,11351,313,7480,22239,1463,20776,742183,20025,87437,14449,1221,8998,74187,67655,66,123,114,0,0,196,213,67,727,64,26,4,0,4,118,0,65,0,64,94,0,5,76,350,0,129,3,0,64,29,0,7,44,63626,0,0,0,0,1,0,11,1365,682,76,52,19,3,2,0,0,4,5545,225,11351,1055,41,377,1732,121,2131,1396,23,65,253,1007,555,6,6,341,0,105,30,12,563,878,0,381,273,313,62,55,50,0,109,0,0,0,0,37,0,87776,78527,77,132,165,46,0,569,309,86,868,170,26,8,6,40,132,19,65,0,128,94,8,5,159,538,22,129,3,0,94,33,2,68,58,72513,9,5,0,0,1,0,11,1929,1352,149,93,50,3,3,0,0,4,7744,14895,1353,44,441,1742,153,2576,2265,48,94,654,1562,639,8,65,487,38,172,38,12,811,1129,0,564,1239,221,157,108,3,185,0,0,0,0,565,851058,828819,721410,14078,74187,11351,313,7480,22239,1463,20776,21305,4483,11538,2144,706,2434,867,67
40,SD,46,,,,,04001US46,South Dakota -- Urban,486672,418208,12178,25872,9665,213,5902,14634,1270,13364,431840,16746,33297,12049,876,7202,25872,22803,6,61,81,0,0,129,151,28,487,60,26,0,0,0,102,0,0,0,16,94,0,0,42,216,0,129,0,0,15,12,0,3,29,20533,0,0,0,0,1,0,4,578,383,54,40,14,0,0,0,0,4,2519,109,9665,888,40,377,1593,121,1886,959,23,30,203,760,538,6,0,332,0,97,12,11,539,641,0,356,253,213,56,34,30,0,56,0,0,0,0,37,0,33479,28747,6,67,124,40,0,348,213,47,557,102,26,0,0,31,102,19,0,0,47,94,8,0,120,354,0,129,0,0,45,16,0,10,29,25121,9,5,0,0,1,0,4,1073,686,90,72,18,0,0,0,0,4,3952,12449,1127,40,441,1593,153,2237,1569,48,49,457,1274,612,8,59,478,38,161,12,11,745,865,0,472,884,157,61,61,0,129,0,0,0,0,476,486672,472038,418208,12178,25872,9665,213,5902,14634,1270,13364,13985,3583,6312,1616,382,2092,602,47
40,SD,46,,,,,04043US46,South Dakota -- Rural,364386,303202,1900,48315,1686,100,1578,7605,193,7412,310343,3279,54140,2400,345,1796,48315,44852,60,62,33,0,0,67,62,39,240,4,0,4,0,4,16,0,65,0,48,0,0,5,34,134,0,0,3,0,49,17,0,4,15,43093,0,0,0,0,0,0,7,787,299,22,12,5,3,2,0,0,0,3026,116,1686,167,1,0,139,0,245,437,0,35,50,247,17,0,6,9,0,8,18,1,24,237,0,25,20,100,6,21,20,0,53,0,0,0,0,0,0,54297,49780,71,65,41,6,0,221,96,39,311,68,0,8,6,9,30,0,65,0,81,0,0,5,39,184,22,0,3,0,49,17,2,58,29,47392,0,0,0,0,0,0,7,856,666,59,21,32,3,3,0,0,0,3792,2446,226,4,0,149,0,339,696,0,45,197,288,27,0,6,9,0,11,26,1,66,264,0,92,355,64,96,47,3,56,0,0,0,0,89,364386,356781,303202,1900,48315,1686,100,1578,7605,193,7412,7320,900,5226,528,324,342,265,20
40,SD,46,,,,,040A0US46,South Dakota -- In metropolitan or micropolitan statistical area,633337,563865,13197,22769,10104,212,6653,16537,1351,15186,579309,18334,31127,12820,1049,8039,22769,19710,19,61,89,0,0,120,98,56,536,60,26,0,0,4,102,0,0,0,55,94,0,0,35,183,0,129,3,0,0,19,0,3,29,17353,0,0,0,0,1,0,4,631,374,59,40,19,0,0,0,0,4,2523,99,10104,891,34,377,1665,121,1833,909,23,65,253,868,555,6,6,341,0,105,30,12,547,817,0,380,266,212,62,10,30,0,73,0,0,0,0,37,0,31299,26199,19,68,137,45,0,355,164,56,640,143,26,2,0,38,102,19,0,0,86,94,8,0,116,330,0,129,3,0,30,23,0,10,43,22340,0,5,0,0,1,0,4,1163,747,122,72,50,0,0,0,0,4,4227,13211,1158,34,441,1675,153,2237,1710,48,94,583,1325,631,8,27,487,0,172,38,12,776,1051,0,551,1057,197,106,88,3,149,0,0,0,0,514,633337,616800,563865,13197,22769,10104,212,6653,16537,1351,15186,15788,4101,7138,1844,437,2268,702,47
40,SD,46,,,,,040C0US46,South Dakota -- In metropolitan statistical area,404742,354471,10704,15573,5822,134,5284,12754,1039,11715,366307,14910,21886,7879,779,6343,15573,13853,19,61,37,0,0,60,3,56,239,60,26,0,0,4,3,0,0,0,49,94,0,0,35,119,0,0,3,0,0,0,0,3,29,12520,0,0,0,0,0,0,4,429,176,59,40,19,0,0,0,0,4,1433,48,5822,533,0,377,25,121,1052,615,7,65,218,468,555,6,0,320,0,99,18,12,157,702,0,242,230,134,41,10,0,0,51,0,0,0,0,32,0,21998,18819,19,62,72,31,0,213,55,56,302,135,26,0,0,24,3,19,0,0,58,94,8,0,48,254,0,0,3,0,0,0,0,10,43,16481,0,5,0,0,0,0,4,794,355,91,72,19,0,0,0,0,4,2729,8217,750,0,441,35,153,1410,1160,32,94,420,812,602,8,21,466,0,163,26,12,380,885,0,347,783,124,81,27,0,124,0,0,0,0,427,404742,391988,354471,10704,15573,5822,134,5284,12754,1039,11715,12179,3385,5356,1347,316,1775,546,29
40,SD,46,,,,,040C1US46,South Dakota -- In metropolitan statistical area -- in principal city,240325,200267,9229,12487,4949,47,4123,9223,803,8420,208804,12555,16837,6486,378,4932,12487,11144,0,61,34,0,0,47,0,28,188,47,26,0,0,0,0,0,0,0,10,0,0,0,35,112,0,0,0,0,0,0,0,3,29,10137,0,0,0,0,0,0,4,383,120,54,40,14,0,0,0,0,4,1135,30,4949,424,0,377,22,121,899,423,7,30,137,296,494,0,0,311,0,97,0,11,142,702,0,237,219,47,25,0,0,0,3,0,0,0,0,19,0,16911,14467,0,61,64,0,0,173,34,28,242,66,26,0,0,17,0,19,0,0,19,0,8,0,45,212,0,0,0,0,0,0,0,10,29,12758,0,5,0,0,0,0,4,647,243,54,40,14,0,0,0,0,4,2143,6797,610,0,441,22,153,1170,800,32,49,301,607,513,0,21,457,0,161,0,11,314,852,0,283,382,58,5,0,0,9,0,0,0,0,310,240325,231102,200267,9229,12487,4949,47,4123,9223,803,8420,8812,2574,3599,1017,293,1329,382,29
40,SD,46,,,,,040C2US46,South Dakota -- In metropolitan statistical area -- not in principal city,164417,154204,1475,3086,873,87,1161,3531,236,3295,157503,2355,5049,1393,401,1411,3086,2709,19,0,3,0,0,13,3,28,51,13,0,0,0,4,3,0,0,0,39,94,0,0,0,7,0,0,3,0,0,0,0,0,0,2383,0,0,0,0,0,0,0,46,56,5,0,5,0,0,0,0,0,298,18,873,109,0,0,3,0,153,192,0,35,81,172,61,6,0,9,0,2,18,1,15,0,0,5,11,87,16,10,0,0,48,0,0,0,0,13,0,5087,4352,19,1,8,31,0,40,21,28,60,69,0,0,0,7,3,0,0,0,39,94,0,0,3,42,0,0,3,0,0,0,0,0,14,3723,0,0,0,0,0,0,0,147,112,37,32,5,0,0,0,0,0,586,1420,140,0,0,13,0,240,360,0,45,119,205,89,8,0,9,0,2,26,1,66,33,0,64,401,66,76,27,0,115,0,0,0,0,117,164417,160886,154204,1475,3086,873,87,1161,3531,236,3295,3367,811,1757,330,23,446,164,0
40,SD,46,,,,,040E0US46,South Dakota -- In micropolitan statistical area,228595,209394,2493,7196,4282,78,1369,3783,312,3471,213002,3424,9241,4941,270,1696,7196,5857,0,0,52,0,0,60,95,0,297,0,0,0,0,0,99,0,0,0,6,0,0,0,0,64,0,129,0,0,0,19,0,0,0,4833,0,0,0,0,1,0,0,202,198,0,0,0,0,0,0,0,0,1090,51,4282,358,34,0,1640,0,781,294,16,0,35,400,0,0,6,21,0,6,12,0,390,115,0,138,36,78,21,0,30,0,22,0,0,0,0,5,0,9301,7380,0,6,65,14,0,142,109,0,338,8,0,2,0,14,99,0,0,0,28,0,0,0,68,76,0,129,0,0,30,23,0,0,0,5859,0,0,0,0,1,0,0,369,392,31,0,31,0,0,0,0,0,1498,4994,408,34,0,1640,0,827,550,16,0,163,513,29,0,6,21,0,9,12,0,396,166,0,204,274,73,25,61,3,25,0,0,0,0,87,228595,224812,209394,2493,7196,4282,78,1369,3783,312,3471,3609,716,1782,497,121,493,156,18
40,SD,46,,,,,040E1US46,South Dakota -- In micropolitan statistical area -- in principal city,152358,137003,1894,5571,3927,66,1136,2761,268,2493,139615,2594,7030,4408,174,1419,5571,4434,0,0,43,0,0,54,2,0,292,0,0,0,0,0,99,0,0,0,6,0,0,0,0,64,0,129,0,0,0,7,0,0,0,3574,0,0,0,0,1,0,0,163,184,0,0,0,0,0,0,0,0,902,51,3927,318,34,0,1583,0,700,180,16,0,33,361,0,0,0,21,0,0,12,0,390,107,0,138,34,66,21,0,30,0,10,0,0,0,0,5,0,7086,5668,0,6,56,13,0,107,16,0,325,8,0,0,0,10,99,0,0,0,28,0,0,0,68,64,0,129,0,0,30,11,0,0,0,4421,0,0,0,0,1,0,0,276,309,4,0,4,0,0,0,0,0,1105,4459,368,34,0,1583,0,732,331,16,0,116,474,27,0,0,21,0,0,12,0,395,156,0,194,178,25,22,61,0,10,0,0,0,0,60,152358,149597,137003,1894,5571,3927,66,1136,2761,268,2493,2648,512,1253,376,105,402,109,4
40,SD,46,,,,,040E2US46,South Dakota -- In micropolitan statistical area -- not in principal city,76237,72391,599,1625,355,12,233,1022,44,978,73387,830,2211,533,96,277,1625,1423,0,0,9,0,0,6,93,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1259,0,0,0,0,0,0,0,39,14,0,0,0,0,0,0,0,0,188,0,355,40,0,0,57,0,81,114,0,0,2,39,0,0,6,0,0,6,0,0,0,8,0,0,2,12,0,0,0,0,12,0,0,0,0,0,0,2215,1712,0,0,9,1,0,35,93,0,13,0,0,2,0,4,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,1438,0,0,0,0,0,0,0,93,83,27,0,27,0,0,0,0,0,393,535,40,0,0,57,0,95,219,0,0,47,39,2,0,6,0,0,9,0,0,1,10,0,10,96,48,3,0,3,15,0,0,0,0,27,76237,75215,72391,599,1625,355,12,233,1022,44,978,961,204,529,121,16,91,47,14
